"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","外部リンク","事業主体","専門分野","管理運営","正式名称","延床面積","アクセス","前身","館長","ウェブサイト","愛称","建物設計","来館者数","開設","英語名称","略称"
"リンク先の項目はまだありません。新規の執筆や他言語版からの翻訳が望まれます。","[ ディアボーン天文台（英語版） - イリノイ州 - ノースウェスタン大学附属天文台 - 47cm屈折式望遠鏡[7] ","https://ja.wikipedia.org","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"リンク先の項目はまだありません。新規の執筆や他言語版からの翻訳が望まれます。","[ フロスティドリュー天文台（英語版） - ロードアイランド州チャールズタウン - 40cm反射式望遠鏡[8] ","https://ja.wikipedia.org","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ジョージ・メイソン大学","[ ジョージ・メイソン大学天文台 - バージニア州 - 81cm反射式望遠鏡[9] この大学は アメリカ合衆国建国の父 の一人であり、バージニア権利憲章を起草した ジョージ・メイソン にちなんで名付けられた。略称はGMU。メインキャンパスは、 ワシントンD.C. 郊外のバージニア州 フェアファックス 郡に所在するが、同州 アーリントン などに複数のキャンパスがあり、同州最大の州立大学である。スクールカラーは深緑および黄金。スポーツチームの愛称はパトリオッツ（Patriots）。同大学の最も著名な機関はAntonin Scalia Law School(法科大学院)であり、U.S. NEWSが発表した全米ランキングで41位に選ばれた。","https://ja.wikipedia.org/wiki/ジョージ・メイソン大学","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","http://www.gmu.edu/","","","","","",""
"リンク先の項目はまだありません。新規の執筆や他言語版からの翻訳が望まれます。","[ アフトン湖公開天文台（英語版） - カンザス州ウィチタ - ウィチタ大学附属天文台 - 40cm反射式望遠鏡[10] ","https://ja.wikipedia.org","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"メンデル天文台 (存在しないページ)","[ メンデル天文台 - マサチューセッツ州 - メリマック大学附属天文台 - 50cm反射式望遠鏡[11]]","https://ja.wikipedia.org/w/index.php?title=メンデル天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ミシガン州立大学付属天文台 (存在しないページ)","[ ミシガン州立大学付属天文台 - ミシガン州 - 60cm反射式望遠鏡[12]]","https://ja.wikipedia.org/w/index.php?title=ミシガン州立大学付属天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"リンク先の項目はまだありません。新規の執筆や他言語版からの翻訳が望まれます。","[ フォックスパーク公開天文台（英語版） - ミシガン州 - [13] ","https://ja.wikipedia.org","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"モンゴメリーヒル天文台 (存在しないページ)","[ モンゴメリーヒル天文台 - カリフォルニア州 - 35cm反射式望遠鏡[14]]","https://ja.wikipedia.org/w/index.php?title=モンゴメリーヒル天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ワイドナー大学附属天文台 (存在しないページ)","[ ワイドナー大学附属天文台 - ペンシルベニア州 - 40cm反射式望遠鏡[15]]","https://ja.wikipedia.org/w/index.php?title=ワイドナー大学附属天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ニコラス・R・アンダーソン天文台 (存在しないページ)","[ ニコラス・R・アンダーソン天文台 - バージニア州 - バージニア工科大学附属天文台 - 35cm反射式望遠鏡[16]]","https://ja.wikipedia.org/w/index.php?title=ニコラス・R・アンダーソン天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"リンク先の項目はまだありません。新規の執筆や他言語版からの翻訳が望まれます。","[ シャボー宇宙科学センター（英語版） - カリフォルニア州オークランド - [17] ","https://ja.wikipedia.org","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"リンク先の項目はまだありません。新規の執筆や他言語版からの翻訳が望まれます。","[ カスター天文台（英語版） - ニューヨーク州 - [18] ","https://ja.wikipedia.org","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"リンク先の項目はまだありません。新規の執筆や他言語版からの翻訳が望まれます。","[ コペルニク天文台&科学センター（英語版） - ニューヨーク州ベスタル - [19] ","https://ja.wikipedia.org","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ワッシュバーン天文台 (存在しないページ)","[ ワッシュバーン天文台 - ウィスコンシン州 - [20]]","https://ja.wikipedia.org/w/index.php?title=ワッシュバーン天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"リンク先の項目はまだありません。新規の執筆や他言語版からの翻訳が望まれます。","[ キラーニー州立公園天文台（英語版） - オンタリオ州 - [21] ","https://ja.wikipedia.org","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"リンク先の項目はまだありません。新規の執筆や他言語版からの翻訳が望まれます。","[ エアドリー公開天文台（英語版） -  スコットランド・ノース・ラナークシャーエアドリー - [22] ","https://ja.wikipedia.org","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"リンク先の項目はまだありません。新規の執筆や他言語版からの翻訳が望まれます。","[ コーツ天文台（英語版） -  スコットランド・レンフルーシャーペイズリー - [23] ","https://ja.wikipedia.org","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"リンク先の項目はまだありません。新規の執筆や他言語版からの翻訳が望まれます。","[ ミルズ天文台（英語版） -  スコットランド・ダンディー - [24] ","https://ja.wikipedia.org","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ハンウェルコミュニティ天文台 (存在しないページ)","[ ハンウェルコミュニティ天文台 -  イングランド・オックスフォードシャー - 76cm反射式望遠鏡[25]]","https://ja.wikipedia.org/w/index.php?title=ハンウェルコミュニティ天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"キール天文台 (存在しないページ)","[ キール天文台 -  イングランド・スタッフォードシャー - キール大学附属天文台 - 43cm反射式望遠鏡、31cm屈折式望遠鏡[26]]","https://ja.wikipedia.org/w/index.php?title=キール天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"リンク先の項目はまだありません。新規の執筆や他言語版からの翻訳が望まれます。","[ カフナー天文台（英語版） - ウィーン - [27] ","https://ja.wikipedia.org","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"シャルルコスモスセンター&amp;天文台 (存在しないページ)","[ シャルルコスモスセンター&天文台 - クイーンズランド州 - 30cm反射式望遠鏡[28]]","https://ja.wikipedia.org/w/index.php?title=シャルルコスモスセンター&天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"マッジー天文台 (存在しないページ)","[ マッジー天文台 - ニューサウスウェールズ州 - 40cm反射式望遠鏡、28cm反射式望遠鏡、25cm反射式望遠鏡[29]]","https://ja.wikipedia.org/w/index.php?title=マッジー天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ペンリス天文台 (存在しないページ)","[ ペンリス天文台 - ニューサウスウェールズ州 - ウェスタンシドニー大学附属天文台 - 60cm反射式望遠鏡[30]]","https://ja.wikipedia.org/w/index.php?title=ペンリス天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"シドニー天文台 (存在しないページ)","[ シドニー天文台 - ニューサウスウェールズ州 - 40cm反射式望遠鏡[31]]","https://ja.wikipedia.org/w/index.php?title=シドニー天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
