"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","面積","総人口","人口密度","地方","都道府県","市町村コード","法人番号","隣接自治体","市長","所在地","外部リンク","市の花","市の木","市の鳥","特記事項","他のシンボル","市の歌","市の花木"
"山口市","[21山口県35203山口市1,023.2193247.724.2%797774.875.7%] 山口市 （やまぐちし）は、 山口県 の中部に位置する 市 。山口県の 県庁所在地 である。","https://ja.wikipedia.org/wiki/山口市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度10分40.9秒東経131度28分25.6秒","日本","1,023.23km2","193,492人（推計人口、2021年6月1日）","189人/km2","中国地方中国・四国地方","山口県","35203-9","2000020352039","周南市、美祢市、宇部市、防府市、萩市島根県：鹿足郡津和野町、吉賀町","渡辺純忠","〒753-8650山口県山口市亀山町2番1号北緯34度10分40.9秒東経131度28分25.6秒﻿ / ﻿北緯34.178028度 東経131.473778度﻿ /34.178028; 131.473778﻿ (山口市)座標:北緯34度10分40.9秒東経131度28分25.6秒﻿ / ﻿北緯34.178028度 東経131.473778度﻿ /34.178028; 131.473778﻿ (山口市)市庁舎位置","公式ウェブサイト","菜の花","イチョウ","","","","","サクラ"
"奥州市","[22岩手県03215奥州市993.3120444.744.8%269543.454.7%] 奥州市 （おうしゅうし）は、 東北地方 の中部、 岩手県 の内陸南部に位置する県内第二の人口を擁する 市 。","https://ja.wikipedia.org/wiki/奥州市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯39度8分40.1秒東経141度8分20.9秒","日本","993.30km2（境界未定部分あり）","111,898人（推計人口、2021年6月1日）","113人/km2","東北地方","岩手県","03215-8","6000020032158","花巻市、北上市、一関市、遠野市、和賀郡西和賀町、胆沢郡金ケ崎町、西磐井郡平泉町、気仙郡住田町秋田県雄勝郡東成瀬村","小沢昌記","〒023-8501岩手県奥州市水沢大手町一丁目1番地北緯39度8分40.1秒東経141度8分20.9秒﻿ / ﻿北緯39.144472度 東経141.139139度﻿ /39.144472; 141.139139","奥州市","サクラ","モミジ","キジ","","","",""
"松本市","[23長野県20202松本市978.5249243.124.8%1,001740.775.7%] 松本市 （まつもとし）は、 長野県 中信地方 に位置する 市 である。 中核市 、 国際会議観光都市 に指定されている。","https://ja.wikipedia.org/wiki/松本市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度14分16.8秒東経137度58分19.1秒","日本","978.47km2","238,971人（推計人口、2021年6月1日）","244人/km2","中部地方、甲信越地方、信越地方","長野県","20202-9","2000020202029","塩尻市、安曇野市、大町市、岡谷市、上田市、諏訪郡下諏訪町、東筑摩郡山形村、朝日村、筑北村、小県郡長和町、青木村、木曽郡木曽町、木祖村岐阜県高山市","臥雲義尚","〒390-8620長野県松本市丸の内3番7号北緯36度14分16.8秒東経137度58分19.1秒﻿ / ﻿北緯36.238000度 東経137.971972度﻿ /36.238000; 137.971972座標:北緯36度14分16.8秒東経137度58分19.1秒﻿ / ﻿北緯36.238000度 東経137.971972度﻿ /36.238000; 137.971972松本市役所庁舎","公式ウェブサイト","れんげつつじ","あかまつ","","市庁舎位置の標高：592.21m","","",""
"上越市","[24新潟県15222上越市973.8202427.243.9%461525.954.0%] 上越市 （じょうえつし）は、 新潟県 の南西部（ 上越地方 ）に位置する 都市 である。 施行時特例市 に指定されており、新潟県内では 新潟市 、 長岡市 に次いで第3位の市域人口を擁する。都市雇用圏人口についても、当市を中心とする上越都市圏は県内第3位である。 日本三大夜桜 のひとつと称される 高田城址公園の桜   や、 高田城 下町の総延長16 kmもの 雁木通り の町並み  などで知られる。","https://ja.wikipedia.org/wiki/上越市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯37度8分52.3秒東経138度14分9.9秒","日本","973.81km2","186,539人（推計人口、2021年6月1日）","192人/km2","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","新潟県","15222-6","9000020152226","柏崎市、十日町市、糸魚川市、妙高市、佐渡市長野県：飯山市、下水内郡栄村","村山秀幸","〒943-8601新潟県上越市木田一丁目1番3号北緯37度8分52.3秒東経138度14分9.9秒﻿ / ﻿北緯37.147861度 東経138.236083度﻿ /37.147861; 138.236083座標:北緯37度8分52.3秒東経138度14分9.9秒﻿ / ﻿北緯37.147861度 東経138.236083度﻿ /37.147861; 138.236083","公式ウェブサイト","ツバキ","サクラ","","","","",""
"魚沼市","[25新潟県15225魚沼市946.840145.215.3%257789.183.3%] 魚沼市 （うおぬまし）は、 新潟県 中越地方 の南東部に位置する 市 。","https://ja.wikipedia.org/wiki/魚沼市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯37度13分48.4秒東経138度57分41.3秒","日本","946.76km2","33,956人（推計人口、2021年6月1日）","35.9人/km2","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","新潟県","15225-1","8000020152251","三条市、長岡市、小千谷市、十日町市、南魚沼市、群馬県：利根郡みなかみ町、片品村福島県：南会津郡只見町、檜枝岐村","内田幹夫","〒946-8601新潟県魚沼市小出島910北緯37度13分48.4秒東経138度57分41.3秒﻿ / ﻿北緯37.230111度 東経138.961472度﻿ /37.230111; 138.961472座標:北緯37度13分48.4秒東経138度57分41.3秒﻿ / ﻿北緯37.230111度 東経138.961472度﻿ /37.230111; 138.961472","公式ウェブサイト","カタクリ","コブシ","","","","",""
"豊田市","[26愛知県23211豊田市918.3460292.831.9%1,443624.968.1%] 豊田市 （とよたし）は、 愛知県 の北部に位置する都市。 中核市 、 中枢中核都市 に指定されている。","https://ja.wikipedia.org/wiki/豊田市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度4分56.7秒東経137度9分22.8秒","日本","918.32km2","421,509人（推計人口、2021年5月1日）","459人/km2","中部地方、東海地方","愛知県","23211-4","5000020232114","安城市、岡崎市、刈谷市、新城市、瀬戸市、知立市、日進市、長久手市、みよし市、北設楽郡設楽町岐阜県：恵那市、土岐市、瑞浪市長野県下伊那郡根羽村","太田稔彦","〒471-8501愛知県豊田市西町三丁目60番地北緯35度4分56.7秒東経137度9分22.8秒﻿ / ﻿北緯35.082417度 東経137.156333度﻿ /35.082417; 137.156333豊田市役所西庁舎（画像奥）及び東庁舎（画像手前）（2018年（平成30年）10月）豊田市役所南庁舎（2018年（平成30年）10月）市庁舎位置","公式ウェブサイト","ヒマワリ","ケヤキ","","ここでのデータは2005年4月1日の合併時のもの。合併前のデータは本文中に掲載する。","-","",""
"大館市","[27秋田県05204大館市913.281190.920.9%389700.976.8%] 大館市 （おおだてし）は、 秋田県 北部に位置する 市 。市の北境で 青森県 と接している。","https://ja.wikipedia.org/wiki/大館市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯40度16分17秒東経140度33分51.3秒","日本","913.22km2","68,230人（推計人口、2021年6月1日）","74.7人/km2","東北地方","秋田県","05204-3","3000020052043","北秋田市、鹿角市、鹿角郡小坂町、山本郡藤里町青森県：弘前市、平川市、南津軽郡大鰐町、中津軽郡西目屋村","福原淳嗣","〒017-8555秋田県大館市字中城20番地北緯40度16分17秒東経140度33分51.3秒﻿ / ﻿北緯40.27139度 東経140.564250度﻿ /40.27139; 140.564250座標:北緯40度16分17秒東経140度33分51.3秒﻿ / ﻿北緯40.27139度 東経140.564250度﻿ /40.27139; 140.564250","公式ウェブサイト","キク","秋田杉","","","-","",""
"花巻市","[28岩手県03205花巻市908.4108320.935.3%304584.464.3%] 花巻市 （はなまきし）は、 岩手県 の中西部に位置する 市 である。市の西部に観光地として 花巻温泉郷 を擁する。","https://ja.wikipedia.org/wiki/花巻市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯39度23分19秒東経141度7分0.9秒","日本","908.39km2","92,555人（推計人口、2021年6月1日）","102人/km2","東北地方","岩手県","03205-1","5000020032051","盛岡市、北上市、遠野市、奥州市、宮古市、和賀郡西和賀町、岩手郡雫石町、紫波郡紫波町","上田東一","〒025-8601岩手県花巻市花城町9番30号北緯39度23分19秒東経141度7分0.9秒﻿ / ﻿北緯39.38861度 東経141.116917度﻿ /39.38861; 141.116917座標:北緯39度23分19秒東経141度7分0.9秒﻿ / ﻿北緯39.38861度 東経141.116917度﻿ /39.38861; 141.116917市庁舎位置","公式ウェブサイト","ハヤチネウスユキソウ","こぶし","フクロウ","","","",""
"広島市","[29広島県34100広島市906.51,317292.832.3%4,078603.666.6%] 広島市 （ひろしまし）は、 広島県 西部の 安芸地方 に位置する 市 。 広島県 の 県庁所在地 で、 政令指定都市 である。人口は約119.5万人。","https://ja.wikipedia.org/wiki/広島市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度23分6.9秒東経132度27分19.1秒","日本","906.68km2","1,195,649人（推計人口、2021年6月1日）","1,319人/km2","中国地方、山陽地方中国・四国地方","広島県","34100-2","9000020341002","呉市、東広島市、安芸高田市、廿日市市安芸郡熊野町、海田町、府中町、坂町山県郡北広島町、安芸太田町（海を隔てて）江田島市","松井一實","〒730-8586広島県広島市中区国泰寺町一丁目6番34号北緯34度23分6.9秒東経132度27分19.1秒﻿ / ﻿北緯34.385250度 東経132.455306度﻿ /34.385250; 132.455306座標:北緯34度23分6.9秒東経132度27分19.1秒﻿ / ﻿北緯34.385250度 東経132.455306度﻿ /34.385250; 132.455306広島市役所庁舎位置広島市役所庁舎","広島市","キョウチクトウ","クスノキ","","市章は1896年5月19日制定","","広島市歌（1965年制定）",""
"秋田市","[30秋田県05201秋田市906.1349287.231.7%1,100614.567.8%] 秋田市 （あきたし）は、 秋田県 の沿岸中部に位置する 市 。秋田県の 県庁所在地 で、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/秋田市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯39度43分11.6秒東経140度6分9.3秒","日本","906.07km2","302,444人（推計人口、2021年6月1日）","334人/km2","東北地方","秋田県","05201-9","3000020052019","北秋田市由利本荘市大仙市仙北市潟上市北秋田郡上小阿仁村南秋田郡五城目町井川町","穂積志","〒010-8560秋田県秋田市山王一丁目1番1号北緯39度43分11.6秒東経140度6分9.3秒﻿ / ﻿北緯39.719889度 東経140.102583度﻿ /39.719889; 140.102583座標:北緯39度43分11.6秒東経140度6分9.3秒﻿ / ﻿北緯39.719889度 東経140.102583度﻿ /39.719889; 140.102583市庁舎位置","公式ウェブサイト","さつき","けやき","","市章は1928年6月8日制定海抜5.745m","","",""
"佐伯市","[31大分県44205佐伯市903.180113.512.6%636783.386.7%] 佐伯市 （さいきし）は、 大分県 の南東端に位置する 市 である。","https://ja.wikipedia.org/wiki/佐伯市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯32度57分35秒東経131度54分00秒","日本","903.11km2","66,076人（推計人口、2021年6月1日）","73.2人/km2","九州地方","大分県","44205-4","2000020442054","大分県：臼杵市、津久見市、豊後大野市宮崎県：延岡市西臼杵郡：日之影町","田中利明","〒876-8585大分県佐伯市中村南町1番1号北緯32度57分35秒東経131度54分00秒﻿ / ﻿北緯32.95972度 東経131.90000度﻿ /32.95972; 131.90000","公式ウェブサイト","ヤマザクラ","カシ（ウバメガシ、アラカシ）","","","","",""
"長岡市","[32新潟県15202長岡市891.1309447.850.3%614437.649.1%] 長岡市 （ながおかし）は、 新潟県 の中南部（ 中越地方 ）に位置する 市 である。県内では 新潟市 に次いで第2位の 人口 をもち、中越地方では最大の人口を有する。 施行時特例市 に指定されている。 長岡まつり 大 花火 大会で知られる。","https://ja.wikipedia.org/wiki/長岡市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯37度26分46.3秒東経138度51分4.5秒","日本","891.06km2（境界未定部分あり）","265,085人（推計人口、2021年6月1日）","297人/km2","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","新潟県","15202-1","7000020152021","新潟市・燕市・三条市・見附市・魚沼市・小千谷市・十日町市・柏崎市・三島郡出雲崎町・刈羽郡刈羽村・西蒲原郡弥彦村","磯田達伸","〒940-8501新潟県長岡市大手通1丁目4番地10北緯37度26分46.3秒東経138度51分4.5秒﻿ / ﻿北緯37.446194度 東経138.851250度﻿ /37.446194; 138.851250座標:北緯37度26分46.3秒東経138度51分4.5秒﻿ / ﻿北緯37.446194度 東経138.851250度﻿ /37.446194; 138.851250","公式ウェブサイト","ツツジ","ケヤキ","","","","",""
"盛岡市","[33岩手県03201盛岡市886.5336238.326.9%1,249648.873.2%] 盛岡市 （もりおかし）は、 岩手県 の中部に位置する 市 。岩手県の 県庁所在地 であり、 中核市 に指定されている  。","https://ja.wikipedia.org/wiki/盛岡市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯39度42分7.5秒東経141度9分16.2秒","日本","886.47km2","288,837人（推計人口、2021年6月1日）","326人/km2","東北地方","岩手県","03201-8","6000020032018","花巻市八幡平市宮古市滝沢市岩手郡雫石町岩手町葛巻町紫波郡紫波町矢巾町下閉伊郡岩泉町","谷藤裕明","〒020-8530岩手県盛岡市内丸12番2号北緯39度42分7.5秒東経141度9分16.2秒﻿ / ﻿北緯39.702083度 東経141.154500度﻿ /39.702083; 141.154500座標:北緯39度42分7.5秒東経141度9分16.2秒﻿ / ﻿北緯39.702083度 東経141.154500度﻿ /39.702083; 141.154500市庁舎位置","公式ページ","カキツバタ","カツラ","","","","",""
"岩国市","[34山口県35208岩国市873.7157161.018.4%849707.080.9%] 岩国市 （いわくにし）は、 山口県 の最東部に位置する 市 。","https://ja.wikipedia.org/wiki/岩国市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度9分59.7秒東経132度13分7.8秒","日本","873.72km2","128,019人（推計人口、2021年6月1日）","147人/km2","中国地方中国・四国地方","山口県","35208-0","1000020352080","光市、柳井市、周南市、玖珂郡和木町、熊毛郡田布施町広島県：大竹市、廿日市市島根県：益田市、鹿足郡吉賀町","福田良彦","〒740-8585山口県岩国市今津町一丁目14番51号北緯34度9分59.7秒東経132度13分7.8秒﻿ / ﻿北緯34.166583度 東経132.218833度﻿ /34.166583; 132.218833﻿ (岩国市)座標:北緯34度9分59.7秒東経132度13分7.8秒﻿ / ﻿北緯34.166583度 東経132.218833度﻿ /34.166583; 132.218833﻿ (岩国市)市庁舎位置","公式ウェブサイト","","","","","","",""
"大野市","[35福井県18205大野市872.438129.814.9%255741.185.0%] 大野市 （おおのし）は、 福井県 東部に位置する 市 である。","https://ja.wikipedia.org/wiki/大野市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度58分47秒東経136度29分15秒","日本","872.43km2","30,914人（推計人口、2021年6月1日）","35.4人/km2","中部地方、北陸地方","福井県","18205-2","6000020182052","福井市、勝山市、今立郡池田町石川県白山市岐阜県：高山市、郡上市、関市、本巣市、揖斐郡揖斐川町","石山志保","〒912-8666福井県大野市天神町1番1号北緯35度58分47秒東経136度29分15秒﻿ / ﻿北緯35.97972度 東経136.48750度﻿ /35.97972; 136.48750座標:北緯35度58分47秒東経136度29分15秒﻿ / ﻿北緯35.97972度 東経136.48750度﻿ /35.97972; 136.48750","公式ウェブサイト","コブシ","ブナ","","人口は現市域分推計値の合計大野市の旧境界（2005年11月7日合併前）1. 大野市　2.旧:和泉村","鳥：ウグイス魚：イトヨ","",""
"延岡市","[36宮崎県45203延岡市868.0144135.015.5%927730.284.1%] 延岡市 （のべおかし）は、 宮崎県 北部に位置する 市 である。中心地域は宮崎県北部の中心都市としての性格を有する。","https://ja.wikipedia.org/wiki/延岡市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯32度34分56.2秒東経131度39分53.6秒","日本","868.02km2","117,156人（推計人口、2021年6月1日）","135人/km2","九州地方","宮崎県","45203-3","6000020452033","東臼杵郡門川町、美郷町、西臼杵郡日之影町大分県佐伯市","読谷山洋司","〒882-8686宮崎県延岡市東本小路2番地1北緯32度34分56.2秒東経131度39分53.6秒﻿ / ﻿北緯32.582278度 東経131.664889度﻿ /32.582278; 131.664889﻿ (延岡市)座標:北緯32度34分56.2秒東経131度39分53.6秒﻿ / ﻿北緯32.582278度 東経131.664889度﻿ /32.582278; 131.664889﻿ (延岡市)","公式ウェブサイト","カンナ","クロガネモチ","","","","","フジ"
"大仙市","[37秋田県05212大仙市866.896366.842.3%226495.657.2%] 大仙市 （だいせんし）は、 秋田県 の南東部に位置する 市 である。","https://ja.wikipedia.org/wiki/大仙市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯39度27分11秒東経140度28分31.6秒","日本","866.79km2","75,590人（推計人口、2021年6月1日）","87.2人/km2","東北地方","秋田県","05212-4","5000020052124","秋田市由利本荘市横手市仙北市仙北郡美郷町岩手県和賀郡西和賀町","老松博行","〒014-8601秋田県大仙市大曲花園町1-1北緯39度27分11秒東経140度28分31.6秒﻿ / ﻿北緯39.45306度 東経140.475444度﻿ /39.45306; 140.475444座標:北緯39度27分11秒東経140度28分31.6秒﻿ / ﻿北緯39.45306度 東経140.475444度﻿ /39.45306; 140.475444","公式ウェブサイト","コスモス","ケヤキ","","市外局番0187（下記地域以外）018（協和地域）人口密度=109.16人/km2","市の鳥 :カワセミ市民の歌 : 夢、この大地市の記念日 :3月22日","",""
"芦別市","[38北海道01216芦別市865.017137.315.9%107721.883.4%] 芦別市 （あしべつし）は、 北海道 中部（ 道央地方 ）に位置し、 空知総合振興局 に属する市。","https://ja.wikipedia.org/wiki/芦別市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯43度31分5.6秒東経142度11分22.6秒","日本","865.04km2","12,594人（住民基本台帳人口、2021年5月31日）","14.6人/km2","北海道地方","北海道（空知総合振興局）","01216-5","9000020012165","深川市、赤平市、歌志内市、美唄市、三笠市、夕張市、旭川市、富良野市、上川郡美瑛町、空知郡上砂川町、奈井江町、南富良野町、中富良野町","荻原貢","〒075-8711北海道芦別市北1条東1丁目3番地北緯43度31分5.6秒東経142度11分22.6秒﻿ / ﻿北緯43.518222度 東経142.189611度﻿ /43.518222; 142.189611","公式ウェブサイト","ユリ","ミズナラ","シジュウカラ","","","",""
"むつ市","[39青森県02208むつ市864.268135.315.7%432716.482.9%] むつ市 （むつし）は、 青森県 東北部、 下北地方 に位置する 市 である。","https://ja.wikipedia.org/wiki/むつ市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯41度17分34.2秒東経141度11分1秒","日本","864.12km2","52,809人（推計人口、2021年6月1日）","61.1人/km2","東北地方","青森県","02208-0","1000020022080","上北郡横浜町、下北郡大間町、東通村、風間浦村、佐井村","宮下宗一郎","〒035-8686青森県むつ市中央一丁目8番1号北緯41度17分34.2秒東経141度11分1秒﻿ / ﻿北緯41.292833度 東経141.18361度﻿ /41.292833; 141.18361むつ市役所 新庁舎（2009年8月5日撮影）","むつ市","はまなす","ヒバ","オオハクチョウ","","","",""
