"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","種類","管理者","統計年度","発着数","面積","開港","公式サイト","旅客数","貨物取扱量","最高標高","所在海域","海岸線長","所属諸島","都道府県","係留施設数","最高峰","コンテナ数"
"勝本港","[勝本港] 勝本港 （かつもとこう）は、 長崎県 壱岐市 勝本町 にある 地方港湾 。港湾管理者は長崎県。","https://ja.wikipedia.org/wiki/勝本港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯33度51分15.1秒東経129度41分36.3秒","長崎県壱岐市勝本町","日本","地方港湾","長崎県","2015年度","27,698隻（293,169総トン）","","1952年5月（設立）","","32,742人","","","","","","","","",""
"比田勝港","[比田勝港] 比田勝港 （ひたかつこう）は、 長崎県 対馬市 上対馬町 にある 地方港湾 。 港則法 適用港湾であり、検疫港の指定を受けている。","https://ja.wikipedia.org/wiki/比田勝港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度39分18.6秒東経129度28分24.8秒","長崎県対馬市上対馬町","日本","地方港湾","長崎県","2015年度","13,775隻（653,633総トン）","","","","294,125人（国際航路281,576人）","","","","","","","","",""
"富江港 (存在しないページ)","[富江港]","https://ja.wikipedia.org/w/index.php?title=富江港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"有川港","[有川港] 有川港 （ありかわこう）は、 長崎県 南松浦郡 新上五島町 有川郷にある 地方港湾 。港湾管理者は長崎県。","https://ja.wikipedia.org/wiki/有川港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯32度59分7.6秒東経129度6分44.4秒","長崎県南松浦郡新上五島町有川郷","日本","地方港湾","長崎県","2015年度","6,688隻（2,286,854総トン）","","","","135,679人","","","","","","","","",""
"西郷港 (長崎県) (存在しないページ)","[西郷港]","https://ja.wikipedia.org/w/index.php?title=西郷港_(長崎県)&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"多比良港","[多比良港] 多比良港 （たいらこう）は、 長崎県 雲仙市 国見町 土黒甲にある 地方港湾 。港湾管理者は長崎県。","https://ja.wikipedia.org/wiki/多比良港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯32度52分33.5秒東経130度18分37.5秒","長崎県雲仙市国見町","日本","地方港湾","長崎県","2015年度","6,388隻（4,989,236総トン）","","","","914,953人","","","","","","","","",""
"大村港 (存在しないページ)","[大村港]","https://ja.wikipedia.org/w/index.php?title=大村港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"印通寺港","[印通寺港] 印通寺港 （いんどうじこう, Indoji Port）は、 長崎県 壱岐市 石田町 印通寺浦にある 地方港湾 。港湾管理者は長崎県である。「いんつうじ」と呼ぶ島民もいる。 壱岐島 の海の表玄関の一つである。壱岐島の一番南になり、九州本土に一番近い。また、 国道382号 の壱岐島内の終点となっており、本港からは 海上国道 区間となる。","https://ja.wikipedia.org/wiki/印通寺港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯33度44分31.4秒東経129度45分18.3秒","長崎県壱岐市石田町印通寺浦","日本","地方港湾","長崎県","2015年度","5,168隻（1,631,817総トン）","","","","150,713人","","","","","","","","",""
"小茂田港 (存在しないページ)","[小茂田港]","https://ja.wikipedia.org/w/index.php?title=小茂田港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"青方港 (存在しないページ)","[青方港]","https://ja.wikipedia.org/w/index.php?title=青方港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"小浜港 (長崎県) (存在しないページ)","[小浜港]","https://ja.wikipedia.org/w/index.php?title=小浜港_(長崎県)&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"神ノ浦港 (存在しないページ)","[神ノ浦港]","https://ja.wikipedia.org/w/index.php?title=神ノ浦港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"池島 (長崎県)","[池島港] 池島 （いけしま）は、 長崎県 西彼杵半島 の西方約7kmに位置する、いわゆる西彼諸島に属する島。長崎県 長崎市 に属する。","https://ja.wikipedia.org/wiki/池島_(長崎県)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯32度53分1.8秒東経129度35分44.9秒","日本（長崎県）長崎市","","","","","","0.9km²","","","","","","五島灘","4km","","","","",""
"松島 (長崎県)","[松島港] 松島 （まつしま）は、 長崎県 の 西彼杵半島 の西1km沖の 五島灘 に浮かぶ 島 である。全域が長崎県 西海市 に属する。","https://ja.wikipedia.org/wiki/松島_(長崎県)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯32度55分41秒東経129度36分41秒","日本（長崎県西海市）","","","","","","6.39km²","","","","","（遠見山）217m","五島灘","16.3km","","","","",""
"峰港 (存在しないページ)","[峰港]","https://ja.wikipedia.org/w/index.php?title=峰港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"宮浦港 (長崎県) (存在しないページ)","[宮浦港]","https://ja.wikipedia.org/w/index.php?title=宮浦港_(長崎県)&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"時津港 (存在しないページ)","[時津港]","https://ja.wikipedia.org/w/index.php?title=時津港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"川棚港 (存在しないページ)","[川棚港]","https://ja.wikipedia.org/w/index.php?title=川棚港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"彼杵港 (存在しないページ)","[彼杵港]","https://ja.wikipedia.org/w/index.php?title=彼杵港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"佐々港 (存在しないページ)","[佐々港]","https://ja.wikipedia.org/w/index.php?title=佐々港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"川内港 (存在しないページ)","[川内港]","https://ja.wikipedia.org/w/index.php?title=川内港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"大島 (長崎県佐世保市)","[大島港] 大島 （おおしま）は、 長崎県 の 大村湾 北部にある 島 （有人島）。全島が同県 佐世保市 に属する。別称、 江上大島 （えがみおおしま）。","https://ja.wikipedia.org/wiki/大島_(長崎県佐世保市)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯33度04分32秒東経129度46分54秒","日本（長崎県佐世保市）","","","","","","0.40km²","","","","","50.9m","大村湾","約3.5km","","","","",""
"調川港 (存在しないページ)","[調川港]","https://ja.wikipedia.org/w/index.php?title=調川港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"佐須奈港 (存在しないページ)","[佐須奈港]","https://ja.wikipedia.org/w/index.php?title=佐須奈港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"鹿見港 (存在しないページ)","[鹿見港]","https://ja.wikipedia.org/w/index.php?title=鹿見港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"玉ノ浦港 (存在しないページ)","[玉ノ浦港]","https://ja.wikipedia.org/w/index.php?title=玉ノ浦港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"岐宿港 (存在しないページ)","[岐宿港]","https://ja.wikipedia.org/w/index.php?title=岐宿港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"若松島","[若松港] 若松島 （わかまつじま）は、 五島列島 を構成する島の一つである。五島列島では4番目に大きな島で、 奈留島 と 中通島 の間に位置する。全島が 長崎県 南松浦郡 新上五島町 に属し、人口は 2010年 国勢調査 確定値時点で1,661人    。","https://ja.wikipedia.org/wiki/若松島","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯32度52分東経129度01分","日本（長崎県南松浦郡新上五島町）","","","","","","30.99km²","","","","","339.2m","","123.7km","五島列島","","","鳥越山",""
"太田和港 (存在しないページ)","[太田和港]","https://ja.wikipedia.org/w/index.php?title=太田和港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"仁位港 (存在しないページ)","[仁位港]","https://ja.wikipedia.org/w/index.php?title=仁位港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"竹敷港 (存在しないページ)","[竹敷港]","https://ja.wikipedia.org/w/index.php?title=竹敷港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"瀬川港 (存在しないページ)","[瀬川港]","https://ja.wikipedia.org/w/index.php?title=瀬川港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"仁田港 (存在しないページ)","[仁田港]","https://ja.wikipedia.org/w/index.php?title=仁田港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"佐世保港","[相の浦港] 佐世保港 （させぼこう）は 長崎県 佐世保市 に位置する 港湾 。港湾管理者は佐世保市。 港湾法 上の 重要港湾 、 港則法 上の 特定港 に指定されている。 美称は 葉港 。 佐世保湾 の ヤツデ の葉のような形状と佐世保の字からきている（サセボのサが草冠、佐世保の世、木という漢字をくずしてホ、三つを組み合わせて葉になる）。","https://ja.wikipedia.org/wiki/佐世保港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯33度09分30秒東経129度42分30秒","長崎県佐世保市","日本","重要港湾,特定港","佐世保市","","","","","佐世保市公式サイト 佐世保港の概要","","","","","","","","","",""
"福島 (長崎県)","[福島港] 福島 （ふくしま）は、 九州 北西部の 伊万里湾 内にある島。全島が 長崎県 松浦市 に属する。","https://ja.wikipedia.org/wiki/福島_(長崎県)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯33度22分1秒東経129度49分12秒","日本（長崎県）","","","","","","16.94km²","","","","","","伊万里湾","","","","","",""
"太田尾港 (存在しないページ)","[太田尾港]","https://ja.wikipedia.org/w/index.php?title=太田尾港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"早岐","[早岐港] 早岐 （はいき）は、 長崎県 佐世保市 南東部の中核地域である。旧 東彼杵郡 早岐町 および 広田村 。 針尾島 との間に 佐世保湾 と 大村湾 を繋ぐ 早岐瀬戸 が通る。早岐瀬戸には早岐川・ 小森川 ・金田川などが流入している。","https://ja.wikipedia.org/wiki/早岐","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","〒859-3215長崎県佐世保市早岐1丁目6-38","日本","","","","","","","","","","","","","","長崎県","","",""
"久山港 (存在しないページ)","[久山港]","https://ja.wikipedia.org/w/index.php?title=久山港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"古里港 (存在しないページ)","[古里港]","https://ja.wikipedia.org/w/index.php?title=古里港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"小口港 (存在しないページ)","[小口港]","https://ja.wikipedia.org/w/index.php?title=小口港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"大瀬戸柳港 (存在しないページ)","[大瀬戸柳港]","https://ja.wikipedia.org/w/index.php?title=大瀬戸柳港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"田結港 (存在しないページ)","[田結港]","https://ja.wikipedia.org/w/index.php?title=田結港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"神代港 (存在しないページ)","[神代港]","https://ja.wikipedia.org/w/index.php?title=神代港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"七ツ釜港 (存在しないページ)","[七ツ釜港]","https://ja.wikipedia.org/w/index.php?title=七ツ釜港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"面高港 (存在しないページ)","[面高港]","https://ja.wikipedia.org/w/index.php?title=面高港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"榎津港 (存在しないページ)","[榎津港]","https://ja.wikipedia.org/w/index.php?title=榎津港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"郷ノ首港 (存在しないページ)","[郷ノ首港]","https://ja.wikipedia.org/w/index.php?title=郷ノ首港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"長与港 (存在しないページ)","[長与港]","https://ja.wikipedia.org/w/index.php?title=長与港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"堂崎港 (存在しないページ)","[堂崎港]","https://ja.wikipedia.org/w/index.php?title=堂崎港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"椛島","[椛島港] 椛島 （かばしま、 英語 ：Kabashima）は、 五島列島 を構成する島の一つである。行政区分は 長崎県 五島市 に属する。 長崎市 の西方沖約80Kmに位置しており、五島列島では8番目に大きな島である。","https://ja.wikipedia.org/wiki/椛島","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯32度45分54.4秒東経128度59分46.6秒","日本（長崎県五島市）","","","","","","8.68km²","","","","","","","27.5km","五島列島","","","致彦山（326m）",""
"古江港 (長崎県) (存在しないページ)","[古江港]","https://ja.wikipedia.org/w/index.php?title=古江港_(長崎県)&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"床浪港 (存在しないページ)","[床浪港]","https://ja.wikipedia.org/w/index.php?title=床浪港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"松浦港 (存在しないページ)","[松浦港]","https://ja.wikipedia.org/w/index.php?title=松浦港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"森ノ浜港 (存在しないページ)","[森ノ浜港]","https://ja.wikipedia.org/w/index.php?title=森ノ浜港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"曽根港 (存在しないページ)","[曽根港]","https://ja.wikipedia.org/w/index.php?title=曽根港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"芦ノ浦港 (存在しないページ)","[芦ノ浦港]","https://ja.wikipedia.org/w/index.php?title=芦ノ浦港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"城ノ下港 (存在しないページ)","[城ノ下港]","https://ja.wikipedia.org/w/index.php?title=城ノ下港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"小瀬良港 (存在しないページ)","[小瀬良港]","https://ja.wikipedia.org/w/index.php?title=小瀬良港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"浜窄港 (存在しないページ)","[浜窄港]","https://ja.wikipedia.org/w/index.php?title=浜窄港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"曽ノ浦港 (存在しないページ)","[曽ノ浦港]","https://ja.wikipedia.org/w/index.php?title=曽ノ浦港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"神崎港 (存在しないページ)","[神崎港]","https://ja.wikipedia.org/w/index.php?title=神崎港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"下田港 (長崎県) (存在しないページ)","[下田港]","https://ja.wikipedia.org/w/index.php?title=下田港_(長崎県)&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"三浦船津港 (存在しないページ)","[三浦船津港]","https://ja.wikipedia.org/w/index.php?title=三浦船津港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"紐差港 (存在しないページ)","[紐差港]","https://ja.wikipedia.org/w/index.php?title=紐差港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"岳崎港 (存在しないページ)","[岳崎港]","https://ja.wikipedia.org/w/index.php?title=岳崎港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"小迎港 (存在しないページ)","[小迎港]","https://ja.wikipedia.org/w/index.php?title=小迎港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"石田港 (存在しないページ)","[石田港]","https://ja.wikipedia.org/w/index.php?title=石田港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"獅子吼港 (存在しないページ)","[獅子吼港]","https://ja.wikipedia.org/w/index.php?title=獅子吼港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"三代港 (存在しないページ)","[三代港]","https://ja.wikipedia.org/w/index.php?title=三代港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"三里港 (存在しないページ)","[三里港]","https://ja.wikipedia.org/w/index.php?title=三里港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"大川港 (存在しないページ)","[大川港]","https://ja.wikipedia.org/w/index.php?title=大川港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"淵ノ元港 (存在しないページ)","[淵ノ元港]","https://ja.wikipedia.org/w/index.php?title=淵ノ元港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"東望港 (存在しないページ)","[東望港]","https://ja.wikipedia.org/w/index.php?title=東望港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"中の浦港 (存在しないページ)","[中の浦港]","https://ja.wikipedia.org/w/index.php?title=中の浦港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"大川原港 (存在しないページ)","[大川原港]","https://ja.wikipedia.org/w/index.php?title=大川原港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿房下港 (存在しないページ)","[阿房下港]","https://ja.wikipedia.org/w/index.php?title=阿房下港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"大塔港 (存在しないページ)","[大塔港]","https://ja.wikipedia.org/w/index.php?title=大塔港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"久吹港 (存在しないページ)","[久吹港]","https://ja.wikipedia.org/w/index.php?title=久吹港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"鯨ヶ浦港 (存在しないページ)","[鯨ヶ浦港]","https://ja.wikipedia.org/w/index.php?title=鯨ヶ浦港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"原港 (存在しないページ)","[原港]","https://ja.wikipedia.org/w/index.php?title=原港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"浜脇港 (存在しないページ)","[浜脇港]","https://ja.wikipedia.org/w/index.php?title=浜脇港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"折紙港 (存在しないページ)","[折紙港]","https://ja.wikipedia.org/w/index.php?title=折紙港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"毛吹港 (存在しないページ)","[毛吹港]","https://ja.wikipedia.org/w/index.php?title=毛吹港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"カヅメ港 (存在しないページ)","[カヅメ港]","https://ja.wikipedia.org/w/index.php?title=カヅメ港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"節を編集: 熊本県","[編集] 日本の港湾一覧 （にほんのこうわんいちらん）は、 日本 の 港湾 の 一覧 である。","https://ja.wikipedia.org/w/index.php?title=日本の港湾一覧&amp;action=edit&amp;section=38","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"三角港","[三角港] 三角港 （みすみこう）は、 熊本県 宇城市 三角町にある 港湾 である。港湾管理者は熊本県。 港湾法 上の 重要港湾 、 港則法 上の 特定港 に指定されている。西港（旧港）と東港に別れているが、西港は、 世界遺産 「 明治日本の産業革命遺産 製鉄・製鋼、造船、石炭産業 」の構成資産のひとつである。","https://ja.wikipedia.org/wiki/三角港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"八代港","[八代港] 八代港 （やつしろこう）は、 熊本県 八代市 にある 港湾 である。港湾管理者は熊本県。 重要港湾 に指定されている。かつては天草までの旅客フェリーの発着もあった。","https://ja.wikipedia.org/wiki/八代港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","熊本県八代市","日本","重要港湾","熊本県","","","","","","","","","","","","","","",""
"熊本港","[熊本港] 港湾施設は全て人工島上にある。今まで有明海の浅瀬のために大型船は入港出来なかったが、 2013年 （平成25年）には、国により岸壁と合わせた係留施設総延長が240mとなり、 クルーズ客船 等の大型船の着岸が可能になった。","https://ja.wikipedia.org/wiki/熊本港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯32度45分48.5秒東経130度35分24.7秒","熊本県熊本市西区新港","日本","重要港湾","熊本県","","","","1993年","公式ウェブサイト","938,222人","3,725,805トン","","","","","","","",""
