"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","種類","面積","時代","完成","発掘期間","関係考古学者","全長","幅","分類","駐車場","バリアフリー","公式サイト","Hidden","Hidden","Hidden","Hidden","Hidden"
"城山貝塚","[城山貝塚] 城山貝塚 （しろやまかいづか）は、 徳島県 徳島市 徳島町城内 の 徳島中央公園 内、 城山 山麓にある 貝塚 遺跡である。 とくしま市民遺産 選定。","https://ja.wikipedia.org/wiki/城山貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯34度04分27.0秒 東経134度33分22.1秒","","","","","","","","","","","","","","","","","","",""
"森崎貝塚","[森崎貝塚] 森崎貝塚 （もりさきかいづか）は、 徳島県 鳴門市 大麻町大谷 森崎にある 縄文時代 の 貝塚 遺跡である。徳島県指定 史跡 。","https://ja.wikipedia.org/wiki/森崎貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯34度09分31.3秒 東経134度32分43.5秒","","","","","","","","","","","","","","","","","","",""
"平城貝塚 (存在しないページ)","[平城貝塚（愛南町）]","https://ja.wikipedia.org/w/index.php?title=平城貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宿毛貝塚","[宿毛貝塚（宿毛市）] 宿毛貝塚 （すくもかいづか）は、 高知県 宿毛市 宿毛にある 縄文時代 後期（約3,500年前）の 貝塚 。1957年（ 昭和32年 ）7月27日に国の 史跡 に指定された    。","https://ja.wikipedia.org/wiki/宿毛貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯32度56分14秒 東経132度42分55秒","","","","","","","","","","","","","","","","","","",""
"御塚貝塚 (存在しないページ)","[御塚貝塚]","https://ja.wikipedia.org/w/index.php?title=御塚貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"黒橋貝塚 (存在しないページ)","[黒橋貝塚]","https://ja.wikipedia.org/w/index.php?title=黒橋貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山鹿貝塚","[山鹿貝塚] 山鹿貝塚 （やまがかいづか  ）は 福岡県 遠賀郡 芦屋町 山鹿字狩尾にある 縄文時代 早期から晩期にかけての 貝塚 。福岡県の県指定 史跡  。","https://ja.wikipedia.org/wiki/山鹿貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯33度54分36秒 東経130度40分01秒","","","","","","","","","","","","","","","","","","",""
"新延貝塚 (存在しないページ)","[新延貝塚]","https://ja.wikipedia.org/w/index.php?title=新延貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"元岡瓜尾貝塚 (存在しないページ)","[元岡瓜尾貝塚（福岡市）]","https://ja.wikipedia.org/w/index.php?title=元岡瓜尾貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"飛櫛貝塚 (存在しないページ)","[飛櫛貝塚（福岡市）]","https://ja.wikipedia.org/w/index.php?title=飛櫛貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天神山貝塚 (存在しないページ)","[天神山貝塚（糸島市）]","https://ja.wikipedia.org/w/index.php?title=天神山貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇木汲田貝塚 (存在しないページ)","[宇木汲田貝塚]","https://ja.wikipedia.org/w/index.php?title=宇木汲田貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"詫田西分貝塚 (存在しないページ)","[詫田西分貝塚]","https://ja.wikipedia.org/w/index.php?title=詫田西分貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東名遺跡","[東名貝塚] 本遺跡は、 佐賀平野 の中部  、現代における佐賀市街の北に位置する。現在の海岸線よりも12kmほど内陸にあるが、 縄文海進 極大の直前であった約7,000年前（較正年代約8,000年前）当時の海岸線は遺跡付近にあり、近くには大きな河川があって遺跡はその左岸と推定される  。遺跡は現在の標高 T.P.3mから T.P.-3mにかけての低湿地にあった  。","https://ja.wikipedia.org/wiki/東名遺跡","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯33度17分45秒 東経130度18分30秒","","","","","","","","","","","","","","","","","","",""
"原の辻貝塚 (存在しないページ)","[原の辻貝塚]","https://ja.wikipedia.org/w/index.php?title=原の辻貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大浜貝塚 (存在しないページ)","[大浜貝塚]","https://ja.wikipedia.org/w/index.php?title=大浜貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白浜貝塚 (存在しないページ)","[白浜貝塚]","https://ja.wikipedia.org/w/index.php?title=白浜貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"寄神貝塚 (存在しないページ)","[寄神貝塚]","https://ja.wikipedia.org/w/index.php?title=寄神貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"横尾貝塚","[横尾貝塚] 横尾貝塚 （よこおかいづか）は、 大分県 大分市 横尾にある 貝塚 遺跡。2009年2月12日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/横尾貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯33度12分12秒 東経131度40分37秒","","","","","","","","","","","","","","","","","","",""
"立石貝塚 (存在しないページ)","[立石貝塚]","https://ja.wikipedia.org/w/index.php?title=立石貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"御領貝塚","[御領貝塚（城南町）] 御領貝塚 （ごりょうかいづか）は、 熊本県 南区 城南町 にある 縄文時代 の 貝塚 。 1970年 3月9日、国の史跡に指定された  。 熊本平野 南縁部の標高20メートルの丘陵上に位置する、九州最大級の貝塚である。貝種は98パーセント以上がシジミである。本遺跡出土の土器は「御領式」と呼ばれ、縄文時代後期の標式土器の一つである。土器のほか、石器、骨角器、抜歯痕のある人骨などが出土している。","https://ja.wikipedia.org/wiki/御領貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯32度41分55秒 東経130度43分25秒","","","","","","","","","","","","","","","","","","",""
"阿高黒橋貝塚","[阿高黒橋貝塚（城南町）] 阿高黒橋貝塚 （あだかくろはしかいづか）は、 熊本県 熊本市 南区 城南町 阿高字東原に位置する、 縄文時代 中期から後期にかけての 貝塚  。 1916年 （ 大正 5年）に発見され、 1980年 （ 昭和 55年）に 国の史跡 に指定されている  。 佐賀市 の 東名遺跡 と並ぶ西日本最大級の縄文貝塚とされる。","https://ja.wikipedia.org/wiki/阿高黒橋貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"轟貝塚","[轟貝塚（宇土市）] 轟貝塚 （とどろきかいづか）は、 熊本県 宇土市 宮庄町にある 縄文時代 の貝塚遺跡である。","https://ja.wikipedia.org/wiki/轟貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"曽畑貝塚 (存在しないページ)","[曽畑貝塚]","https://ja.wikipedia.org/w/index.php?title=曽畑貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"松添貝塚 (存在しないページ)","[松添貝塚]","https://ja.wikipedia.org/w/index.php?title=松添貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"跡江貝塚 (存在しないページ)","[跡江貝塚]","https://ja.wikipedia.org/w/index.php?title=跡江貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大貫貝塚 (存在しないページ)","[大貫貝塚]","https://ja.wikipedia.org/w/index.php?title=大貫貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇宿貝塚","[宇宿貝塚] 宇宿貝塚 （うしゅくかいづか）は、 鹿児島県 奄美市 笠利町宇宿にある 貝塚 である。 縄文時代 晩期の 竪穴住居 跡や 土器 、 石器 や骨角器、中世の埋葬跡などが発見され、1986年10月7日に 国史跡 に指定された  。縄文時代前期から中世にかけての複合遺跡となっている   。貝塚のほか、石組住居址や溝状遺構、貯蔵穴、土壙墓などからなる  。","https://ja.wikipedia.org/wiki/宇宿貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯28度27分09秒 東経129度42分49秒","","","","","","","","","","","","","","","","","","",""
"市来貝塚 (存在しないページ)","[市来貝塚]","https://ja.wikipedia.org/w/index.php?title=市来貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"柊原貝塚 (存在しないページ)","[柊原貝塚]","https://ja.wikipedia.org/w/index.php?title=柊原貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宮坂貝塚 (存在しないページ)","[宮坂貝塚]","https://ja.wikipedia.org/w/index.php?title=宮坂貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高橋貝塚 (存在しないページ)","[高橋貝塚]","https://ja.wikipedia.org/w/index.php?title=高橋貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"兼久貝塚 (存在しないページ)","[兼久貝塚]","https://ja.wikipedia.org/w/index.php?title=兼久貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"犬田布貝塚 (存在しないページ)","[犬田布貝塚]","https://ja.wikipedia.org/w/index.php?title=犬田布貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"面縄貝塚","[面縄貝塚] 面縄貝塚 （おもなわかいづか）は、 鹿児島県 徳之島 の 砂丘 ・ 珊瑚礁 崖にある 縄文時代 後期以降の 貝塚 遺跡群である。2017年（平成29年）2月9日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/面縄貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯27度21分30秒 東経128度31分43秒","","","","","","","","","","","","","","","","","","",""
"伊波貝塚","[伊波貝塚（うるま市）] 伊波貝塚 （いはかいづか）は、 沖縄県 うるま市 石川伊波にある 貝塚 。 1972年 （昭和52年）5月15日に国の 史跡 に指定された   。","https://ja.wikipedia.org/wiki/伊波貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯26度25分13.6秒 東経127度49分14.5秒","","","","","","","","","","","","","","","","","","",""
"室川貝塚","[室川貝塚（沖縄市）] 室川貝塚 （むろかわかいづか）は、 沖縄県 沖縄市 に所在する 貝塚 。 曽畑式 ・ヤブチ式土器の発見により、6700年前の 新石器時代 前期の遺跡と推定されている  。現在では沖縄市役所の敷地内にあり、歴史公園として整備され、市指定文化財に指定されている。","https://ja.wikipedia.org/wiki/室川貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平川貝塚 (存在しないページ)","[平川貝塚（石垣市）]","https://ja.wikipedia.org/w/index.php?title=平川貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"荻堂貝塚","[荻堂貝塚（北中城村）] 荻堂貝塚 （おぎどうかいづか）は、 沖縄県 北中城村 にある 先史時代 の 貝塚 遺跡。 1972年 （ 昭和 47年） 5月15日 に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/荻堂貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯26度17分34.4秒 東経127度47分55.3秒","","","","","","","","","","","","","","","","","","",""
"大山貝塚","[大山貝塚（宜野湾市）] 大山貝塚 （おおやまかいづか）は、 沖縄県 宜野湾市 大山富盛原18にある 貝塚 。 1972年 （昭和47年）5月15日に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/大山貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯26度16分24.4秒 東経127度44分42.1秒","","","","","","","","","","","","","","","","","","",""
"米須貝塚 (存在しないページ)","[米須貝塚（糸満市）]","https://ja.wikipedia.org/w/index.php?title=米須貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
