"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","位置","種類","略称","本社所在地"
"堀切菖蒲園駅","堀切菖蒲園駅（ほりきりしょうぶえんえき）","https://ja.wikipedia.org/wiki/堀切菖蒲園駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度44分51.5秒東経139度49分39秒","■本線","8.8 km（京成上野起点）","京成電鉄","高架駅","1931年（昭和6年）12月19日","2面2線","東京都葛飾区堀切五丁目1番1号北緯35度44分51.5秒東経139度49分39秒﻿ / ﻿北緯35.747639度 東経139.82750度﻿ /35.747639; 139.82750座標:北緯35度44分51.5秒東経139度49分39秒﻿ / ﻿北緯35.747639度 東経139.82750度﻿ /35.747639; 139.82750","","KS07","","11,321人/日（降車客含まず）-2019年-","22,589人/日-2019年-","","","","","","",""
"堀米駅","堀米駅（ほりごめえき）","https://ja.wikipedia.org/wiki/堀米駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度19分41.88秒東経139度34分49.30秒","■佐野線","13.1 km（館林起点）","東武鉄道","地上駅","1894年（明治27年）3月20日","1面2線","栃木県佐野市堀米町1274北緯36度19分41.88秒東経139度34分49.30秒﻿ / ﻿北緯36.3283000度 東経139.5803611度﻿ /36.3283000; 139.5803611﻿ (堀米駅)座標:北緯36度19分41.88秒東経139度34分49.30秒﻿ / ﻿北緯36.3283000度 東経139.5803611度﻿ /36.3283000; 139.5803611﻿ (堀米駅)","簡易委託駅","TI35","コメ","","424人/日-2019年-","","","","","","",""
"堀田駅 (名鉄)","堀田駅 (名鉄)（ほりたえき・名鉄名古屋本線）","https://ja.wikipedia.org/wiki/堀田駅_(名鉄)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度7分13秒東経136度55分12秒","名古屋本線","61.1 km（豊橋起点）","名古屋鉄道","高架駅","1928年（昭和3年）4月15日","2面4線","名古屋市瑞穂区新開町28番26号[1]北緯35度7分13秒東経136度55分12秒﻿ / ﻿北緯35.12028度 東経136.92000度﻿ /35.12028; 136.92000座標:北緯35度7分13秒東経136度55分12秒﻿ / ﻿北緯35.12028度 東経136.92000度﻿ /35.12028; 136.92000","終日有人駅","NH  32 ","","","14,441人/日-2019年[2]-","","","","","","",""
"堀田駅 (名古屋市営地下鉄)","堀田駅 (名古屋市営地下鉄)（ほりたえき・名古屋市営地下鉄名城線）","https://ja.wikipedia.org/wiki/堀田駅_(名古屋市営地下鉄)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度6分59.5秒東経136度55分18.2秒","名城線","13.3 km（大曽根起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","1974年（昭和49年）3月30日","1面2線","名古屋市瑞穂区苗代町25-18北緯35度6分59.5秒東経136度55分18.2秒﻿ / ﻿北緯35.116528度 東経136.921722度﻿ /35.116528; 136.921722座標:北緯35度6分59.5秒東経136度55分18.2秒﻿ / ﻿北緯35.116528度 東経136.921722度﻿ /35.116528; 136.921722","","M25","","7,669人/日（降車客含まず）-2019年-","15,013[1]人/日-2019年-","","","","","","",""
"堀詰停留場","堀詰停留場（ほりづめていりゅうじょう）","https://ja.wikipedia.org/wiki/堀詰停留場","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度33分34.18秒東経133度32分21.23秒","伊野線","0.3 km（はりまや橋起点）","とさでん交通","地上駅","1904年（明治37年）5月2日","2面2線","高知県高知市本町一丁目北緯33度33分34.18秒東経133度32分21.23秒﻿ / ﻿北緯33.5594944度 東経133.5392306度﻿ /33.5594944; 133.5392306﻿ (堀詰停留場)","","","","","","","","","","","",""
"堀内駅","堀内駅（ほりないえき）","https://ja.wikipedia.org/wiki/堀内駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯40度3分7.03秒東経141度51分33.30秒","■リアス線","143.4 km（盛起点）","三陸鉄道","地上駅","1975年（昭和50年）7月20日","1面1線","岩手県下閉伊郡普代村北緯40度3分7.03秒東経141度51分33.30秒座標:北緯40度3分7.03秒 東経141度51分33.30秒","","","ホナ","","36人/日-2018年-","","","","","","",""
"堀ノ内駅","堀ノ内駅（ほりのうちえき）","https://ja.wikipedia.org/wiki/堀ノ内駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度15分48.8秒東経139度41分12.2秒","■本線","52.3 km（品川起点）","京浜急行電鉄","地上駅","1930年（昭和5年）4月1日","2面4線","神奈川県横須賀市三春町3-45北緯35度15分48.8秒東経139度41分12.2秒﻿ / ﻿北緯35.263556度 東経139.686722度﻿ /35.263556; 139.686722﻿ (堀ノ内駅)座標:北緯35度15分48.8秒東経139度41分12.2秒﻿ / ﻿北緯35.263556度 東経139.686722度﻿ /35.263556; 139.686722﻿ (堀ノ内駅)","","KK61","","","12,254人/日-2019年-","","","","","","",""
"甫嶺駅","甫嶺駅（ほれいえき）","https://ja.wikipedia.org/wiki/甫嶺駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","リアス線","14.3 km（盛起点）","三陸鉄道","地上駅","1973年（昭和48年）7月1日","1面1線","","無人駅","","ホレ","8人/日（降車客含まず）-2017年-","","","","","","","",""
"幌糠駅","幌糠駅（ほろぬかえき）","https://ja.wikipedia.org/wiki/幌糠駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯43度51分20.13秒東経141度45分30.24秒","留萌本線","34.5 km（深川起点）","北海道旅客鉄道（JR北海道）","地上駅","1910年（明治43年）11月23日","1面1線","北海道留萌市幌糠町北緯43度51分20.13秒東経141度45分30.24秒","無人駅","","ホヌ","","","","","","","","",""
"幌延駅","幌延駅（ほろのべえき）","https://ja.wikipedia.org/wiki/幌延駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯45度0分52.6秒東経141度50分45.3秒","■宗谷本線","199.4 km（旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1925年（大正14年）7月20日","2面2線","北海道天塩郡幌延町1条南1丁目北緯45度0分52.6秒東経141度50分45.3秒","直営駅（管理駅）みどりの窓口 有","○W72","ノヘ","","66人/日-2018年-","","","","","","",""
"幌平橋駅","幌平橋駅（ほろひらばしえき）","https://ja.wikipedia.org/wiki/幌平橋駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯43度2分24.8秒東経141度21分21.5秒","札幌市営地下鉄南北線","7.8 km（麻生起点）","札幌市交通局","地下駅","1971年（昭和46年）12月16日","2面2線","札幌市中央区南15条西4丁目[1]北緯43度2分24.8秒東経141度21分21.5秒﻿ / ﻿北緯43.040222度 東経141.355972度﻿ /43.040222; 141.355972座標:北緯43度2分24.8秒東経141度21分21.5秒﻿ / ﻿北緯43.040222度 東経141.355972度﻿ /43.040222; 141.355972","","○N10","","5,035人/日（降車客含まず）-2019年-","","静修学園前（札幌市電山鼻線） - 乗継指定停留場","","","","","",""
"幌別駅","幌別駅（ほろべつえき）","https://ja.wikipedia.org/wiki/幌別駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯42度24分35.43秒東経141度6分25.82秒","■室蘭本線","86.8 km（長万部起点）","北海道旅客鉄道（JR北海道）","地上駅（橋上駅）","1892年（明治25年）8月1日","2面3線","北海道登別市幌別町3丁目北緯42度24分35.43秒東経141度6分25.82秒座標:北緯42度24分35.43秒 東経141度6分25.82秒","業務委託駅みどりの窓口有","○H30","ヘツ","724人/日（降車客含まず）-2019年-","","","","","","","",""
"幌向駅","幌向駅（ほろむいえき）","https://ja.wikipedia.org/wiki/幌向駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯43度9分5.27秒東経141度39分19.99秒","■函館本線","316.7 km（函館起点）","北海道旅客鉄道（JR北海道）","橋上駅","1882年（明治15年）11月13日","2面3線","北海道岩見沢市幌向南1条3丁目北緯43度9分5.27秒東経141度39分19.99秒﻿ / ﻿北緯43.1514639度 東経141.6555528度﻿ /43.1514639; 141.6555528﻿ (幌向駅)","業務委託駅[新聞 1]みどりの窓口有","○A11","ムイ","1,137人/日（降車客含まず）-2019年-","","","","","","","",""
"本厚木駅","本厚木駅（ほんあつぎえき）","https://ja.wikipedia.org/wiki/本厚木駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度26分22秒東経139度21分52秒","小田原線","45.4 km（新宿起点）","小田急電鉄","高架駅","1927年（昭和2年）4月1日","2面4線","神奈川県厚木市泉町1番1号北緯35度26分22秒東経139度21分52秒﻿ / ﻿北緯35.43944度 東経139.36444度﻿ /35.43944; 139.36444座標:北緯35度26分22秒東経139度21分52秒﻿ / ﻿北緯35.43944度 東経139.36444度﻿ /35.43944; 139.36444","","OH34","","","151,791人/日-2019年-","","","","","","",""
"本諫早駅","本諫早駅（ほんいさはやえき）","https://ja.wikipedia.org/wiki/本諫早駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯32度50分30.13秒東経130度3分11.2秒","■島原鉄道線","1.5 km（諫早起点）","島原鉄道","地上駅","1911年（明治44年）6月20日","2面2線","長崎県諫早市東小路町北緯32度50分30.13秒東経130度3分11.2秒﻿ / ﻿北緯32.8417028度 東経130.053111度﻿ /32.8417028; 130.053111﻿ (本諫早駅)座標:北緯32度50分30.13秒東経130度3分11.2秒﻿ / ﻿北緯32.8417028度 東経130.053111度﻿ /32.8417028; 130.053111﻿ (本諫早駅)","* 年間乗車人員を日数で除算","","","*867人/日（降車客含まず）-2017年-","","","","","","","",""
"本石倉駅","本石倉駅（ほんいしくらえき）","https://ja.wikipedia.org/wiki/本石倉駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯42度9分34.8秒東経140度28分19.1秒","■函館本線","60.0 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1944年（昭和19年）9月10日","2面2線","北海道茅部郡森町石倉町北緯42度9分34.8秒東経140度28分19.1秒﻿ / ﻿北緯42.159667度 東経140.471972度﻿ /42.159667; 140.471972﻿ (本石倉駅)","無人駅","○H59","ホイ","","","","","","","","",""
"本川越駅","本川越駅（ほんかわごええき）","https://ja.wikipedia.org/wiki/本川越駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度54分51秒東経139度28分53秒","■新宿線[1]","47.5 km（西武新宿起点）","西武鉄道[1]","地上駅","1895年（明治28年）3月21日[1]","2面3線","埼玉県川越市新富町一丁目22北緯35度54分51秒東経139度28分53秒﻿ / ﻿北緯35.91417度 東経139.48139度﻿ /35.91417; 139.48139﻿ (本川越駅)座標:北緯35度54分51秒東経139度28分53秒﻿ / ﻿北緯35.91417度 東経139.48139度﻿ /35.91417; 139.48139﻿ (本川越駅)","","SS29","","","53,230人/日-2019年-","川越市駅（東武東上線）","","","","","",""
"本川内駅","本川内駅（ほんかわちえき）","https://ja.wikipedia.org/wiki/本川内駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯32度49分57.8秒東経129度53分59.32秒","長崎本線（長与支線）","12.3 km（喜々津起点）","九州旅客鉄道（JR九州）","地上駅","1952年（昭和27年）6月1日","1面1線","長崎県西彼杵郡長与町本川内郷902北緯32度49分57.8秒東経129度53分59.32秒﻿ / ﻿北緯32.832722度 東経129.8998111度﻿ /32.832722; 129.8998111﻿ (本川内駅)","無人駅（自動券売機 有）","","ホカ","81人/日（降車客含まず）-2016年-","","","","","","","",""
"本川町停留場","本川町停留場（ほんかわちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/本川町停留場","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度23分48.62秒東経132度27分1.74秒","■本線","2.8 km（広島駅起点）","広島電鉄","地上駅","1912年（大正元年）12月8日","2面2線","広島市中区本川町二丁目北緯34度23分48.62秒東経132度27分1.74秒﻿ / ﻿北緯34.3968389度 東経132.4504833度﻿ /34.3968389; 132.4504833﻿ (本川町停留場)座標:北緯34度23分48.62秒東経132度27分1.74秒﻿ / ﻿北緯34.3968389度 東経132.4504833度﻿ /34.3968389; 132.4504833﻿ (本川町停留場)","","●M11","","","1,897[1]人/日-2019年-","","","","","","",""
"本宮駅 (富山県)","本宮駅 (富山県)（ほんぐうえき・富山地方鉄道立山線）","https://ja.wikipedia.org/wiki/本宮駅_(富山県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度34分29.79秒東経137度23分44.92秒","■立山線","19.4 km（寺田起点）","富山地方鉄道","地上駅","1937年（昭和12年）10月1日","単式1面1線","富山県富山市本宮字下覚知割1157北緯36度34分29.79秒東経137度23分44.92秒﻿ / ﻿北緯36.5749417度 東経137.3958111度﻿ /36.5749417; 137.3958111﻿ (本宮駅)座標:北緯36度34分29.79秒東経137度23分44.92秒﻿ / ﻿北緯36.5749417度 東経137.3958111度﻿ /36.5749417; 137.3958111﻿ (本宮駅)","","T55","","18人/日（降車客含まず）-2019年-","31人/日-2019年-","","","","","","",""
"本鵠沼駅","本鵠沼駅（ほんくげぬまえき）","https://ja.wikipedia.org/wiki/本鵠沼駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度19分51秒東経139度28分30秒","江ノ島線","24.6 km（相模大野起点）新宿から56.9 km","小田急電鉄","地上駅","1929年（昭和4年）4月1日","2面2線","神奈川県藤沢市本鵠沼二丁目13番14号北緯35度19分51秒東経139度28分30秒﻿ / ﻿北緯35.33083度 東経139.47500度﻿ /35.33083; 139.47500座標:北緯35度19分51秒東経139度28分30秒﻿ / ﻿北緯35.33083度 東経139.47500度﻿ /35.33083; 139.47500","","OE14","","","13,938人/日-2019年-","","","","","","",""
"本黒田駅","本黒田駅（ほんくろだえき）","https://ja.wikipedia.org/wiki/本黒田駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","I加古川線","42.0 km（加古川起点）","西日本旅客鉄道（JR西日本）","地上駅","1924年（大正13年）12月27日","1面1線","","無人駅","","ホク[要出典]","34人/日（降車客含まず）-2019年-","","","","","","","",""
"本郷駅 (広島県)","本郷駅 (広島県)（ほんごうえき・西日本旅客鉄道山陽本線）","https://ja.wikipedia.org/wiki/本郷駅_(広島県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度24分35.76秒東経132度59分12.08秒","G山陽本線","242.8 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1894年（明治27年）6月10日","2面2線","広島県三原市本郷南六丁目22-1北緯34度24分35.76秒東経132度59分12.08秒﻿ / ﻿北緯34.4099333度 東経132.9866889度﻿ /34.4099333; 132.9866889座標:北緯34度24分35.76秒東経132度59分12.08秒﻿ / ﻿北緯34.4099333度 東経132.9866889度﻿ /34.4099333; 132.9866889","業務委託駅みどりの窓口有","JR-G15","ホン","1,582人/日（降車客含まず）-2018年-","","","","","","","",""
"本郷駅 (長野県)","本郷駅 (長野県)（ほんごうえき・長野電鉄長野線）","https://ja.wikipedia.org/wiki/本郷駅_(長野県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度39分45.0秒東経138度12分14.0秒","長野線","2.7 km（長野起点）","長野電鉄","地上駅（橋上駅）[1]","1926年（大正15年）6月28日[1]","2面2線[1]","長野県長野市三輪三丁目[1]15-9北緯36度39分45.0秒東経138度12分14.0秒﻿ / ﻿北緯36.662500度 東経138.203889度﻿ /36.662500; 138.203889座標:北緯36度39分45.0秒東経138度12分14.0秒﻿ / ﻿北緯36.662500度 東経138.203889度﻿ /36.662500; 138.203889","終日駅員配置駅[1]","N5","ホコ[1]","1,266人/日（降車客含まず）-2018年-","","","","","","","",""
"本郷駅 (愛知県)","本郷駅 (愛知県)（ほんごうえき・名古屋市営地下鉄東山線）","https://ja.wikipedia.org/wiki/本郷駅_(愛知県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度10分31秒東経137度0分49秒","東山線","19.3 km（高畑起点）","名古屋市交通局（名古屋市営地下鉄）","高架駅","1969年（昭和44年）4月1日","2面2線","名古屋市名東区本郷二丁目153北緯35度10分31秒東経137度0分49秒﻿ / ﻿北緯35.17528度 東経137.01361度﻿ /35.17528; 137.01361座標:北緯35度10分31秒東経137度0分49秒﻿ / ﻿北緯35.17528度 東経137.01361度﻿ /35.17528; 137.01361","","H21","","11,185人/日（降車客含まず）-2019年-","22,266[1]人/日-2019年-","","","","","","",""
"本郷駅 (福岡県)","本郷駅 (福岡県)（ほんごうえき・西鉄甘木線）","https://ja.wikipedia.org/wiki/本郷駅_(福岡県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度23分5.72秒東経130度37分43.5秒","■甘木線","13.1 km（宮の陣起点）","西日本鉄道","地上駅","1921年（大正10年）12月8日","1面2線","福岡県三井郡大刀洗町大字本郷北緯33度23分5.72秒東経130度37分43.5秒﻿ / ﻿北緯33.3849222度 東経130.628750度﻿ /33.3849222; 130.628750座標:北緯33度23分5.72秒東経130度37分43.5秒﻿ / ﻿北緯33.3849222度 東経130.628750度﻿ /33.3849222; 130.628750","","A  04 ","","","363人/日-2019年-","","","","","","",""
"本郷三丁目駅","本郷三丁目駅（ほんごうさんちょうめえき）","https://ja.wikipedia.org/wiki/本郷三丁目駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","●[2]東京メトロ丸ノ内線","5.6 km（池袋起点）","東京地下鉄（東京メトロ）東京都交通局（都営地下鉄）","地下駅","1954年（昭和29年）1月20日","2面2線（丸ノ内線）1面2線（大江戸線）","","","M21[2]","ホサ（東京メトロ）本[1]（東京都交通局、駅名略称）","","（東京メトロ）-2019年-56,671人/日（東京都交通局）-2019年-22,270人/日","両線は地上乗り換え","","","","","",""
"本郷台駅","本郷台駅（ほんごうだいえき）","https://ja.wikipedia.org/wiki/本郷台駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度22分2.7秒東経139度33分1.0秒","■根岸線","18.5km（横浜起点）大宮から77.6km八王子から62.9 km","東日本旅客鉄道（JR東日本）","地上駅","1973年（昭和48年）4月9日","1面2線","横浜市栄区小菅ケ谷一丁目1-2北緯35度22分2.7秒東経139度33分1.0秒座標:北緯35度22分2.7秒 東経139度33分1.0秒","業務委託駅みどりの窓口有横浜市内駅","JK02","ホコ","18,564人/日（降車客含まず）-2019年-","","","","","","","",""
"本駒込駅","本駒込駅（ほんこまごめえき）","https://ja.wikipedia.org/wiki/本駒込駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度43分27秒東経139度45分13.7秒","●[1]南北線","13.6 km（目黒起点）","東京地下鉄（東京メトロ）","地下駅","1996年（平成8年）3月26日[2]","1面2線","東京都文京区向丘二丁目37-1北緯35度43分27秒東経139度45分13.7秒﻿ / ﻿北緯35.72417度 東経139.753806度﻿ /35.72417; 139.753806﻿ (本駒込駅)座標:北緯35度43分27秒東経139度45分13.7秒﻿ / ﻿北緯35.72417度 東経139.753806度﻿ /35.72417; 139.753806﻿ (本駒込駅)","業務委託駅（メトロコマース）","N13[1]","ホコ","","22,933人/日-2019年-","","","","","","",""
"本塩釜駅","本塩釜駅（ほんしおがまえき）","https://ja.wikipedia.org/wiki/本塩釜駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯38度19分3.9秒東経141度1分21.3秒","■仙石線","16.0 km（あおば通起点）","東日本旅客鉄道（JR東日本）","高架駅","1926年（大正15年）4月14日","2面2線","宮城県塩竈市海岸通15-1北緯38度19分3.9秒東経141度1分21.3秒座標:北緯38度19分3.9秒 東経141度1分21.3秒","業務委託駅みどりの窓口有","","ホカ","2,755人/日（降車客含まず）-2019年-","","","","","","","",""
"本所吾妻橋駅","本所吾妻橋駅（ほんじょあづまばしえき）","https://ja.wikipedia.org/wiki/本所吾妻橋駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度42分30.9秒東経139度48分16.6秒","●[1]浅草線","17.5 km（西馬込起点）","東京都交通局（都営地下鉄）","地下駅","1960年（昭和35年）12月4日[2]","2面2線","東京都墨田区吾妻橋三丁目7-16北緯35度42分30.9秒東経139度48分16.6秒﻿ / ﻿北緯35.708583度 東経139.804611度﻿ /35.708583; 139.804611﻿ (都営地下鉄 本所吾妻橋駅)座標:北緯35度42分30.9秒東経139度48分16.6秒﻿ / ﻿北緯35.708583度 東経139.804611度﻿ /35.708583; 139.804611﻿ (都営地下鉄 本所吾妻橋駅)","","A19[1]","吾（駅名略称）","","19,630人/日-2019年-","","","","","","",""
"本荘駅","本荘駅（ほんじょうえき・えちぜん鉄道三国芦原線）","https://ja.wikipedia.org/wiki/本荘駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度12分18秒東経136度12分10.5秒","■三国芦原線","17.4km（福井口起点）福井から18.9 km","えちぜん鉄道","地上駅","1928年（昭和3年）12月30日[2]","1面2線","福井県あわら市中番15字池ノ上1[1]北緯36度12分18秒東経136度12分10.5秒﻿ / ﻿北緯36.20500度 東経136.202917度﻿ /36.20500; 136.202917座標:北緯36度12分18秒東経136度12分10.5秒﻿ / ﻿北緯36.20500度 東経136.202917度﻿ /36.20500; 136.202917","無人駅","○E38","","","107人/日-2018年-","","","","","","",""
"本城駅","本城駅（ほんじょうえき・九州旅客鉄道筑豊本線）","https://ja.wikipedia.org/wiki/本城駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度52分29.32秒東経130度43分22.08秒","JE筑豊本線（若松線）","9.3 km（若松起点）","九州旅客鉄道（JR九州）","地上駅（橋上駅）[1]","2003年（平成15年）3月15日[1]","1面2線[1]","北九州市八幡西区力丸町[1]25-14北緯33度52分29.32秒東経130度43分22.08秒﻿ / ﻿北緯33.8748111度 東経130.7228000度﻿ /33.8748111; 130.7228000﻿ (本城駅)座標:北緯33度52分29.32秒東経130度43分22.08秒﻿ / ﻿北緯33.8748111度 東経130.7228000度﻿ /33.8748111; 130.7228000﻿ (本城駅)","無人駅駅集中管理システム（Smart Support Station）採用北九州市内駅","JE  02 ","ホン","1,121人/日（降車客含まず）-2019年-","","","","","","","",""
"本庄駅","本庄駅（ほんじょうえき・東日本旅客鉄道高崎線）","https://ja.wikipedia.org/wiki/本庄駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度14分10.8秒東経139度11分19.07秒","■高崎線","55.7km（大宮起点）東京から尾久経由で86.2 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1883年（明治16年）10月21日[1]","2面3線[1]","埼玉県本庄市銀座三丁目6-19北緯36度14分10.8秒東経139度11分19.07秒﻿ / ﻿北緯36.236333度 東経139.1886306度﻿ /36.236333; 139.1886306座標:北緯36度14分10.8秒東経139度11分19.07秒﻿ / ﻿北緯36.236333度 東経139.1886306度﻿ /36.236333; 139.1886306","直営駅（管理駅）みどりの窓口有[1]","","ホン","9,853人/日（降車客含まず）-2019年-","","","","","","","",""
"本庄早稲田駅","本庄早稲田駅（ほんじょうわせだえき）","https://ja.wikipedia.org/wiki/本庄早稲田駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度13分7.8秒東経139度10分46.2秒","■上越新幹線（■北陸新幹線直通含む）","55.7km（大宮起点）東京から86.0 km","東日本旅客鉄道（JR東日本）","高架駅","2004年（平成16年）3月13日","2面2線[2]","埼玉県本庄市早稲田の杜一丁目1-1[注釈 1]北緯36度13分7.8秒東経139度10分46.2秒﻿ / ﻿北緯36.218833度 東経139.179500度﻿ /36.218833; 139.179500座標:北緯36度13分7.8秒東経139度10分46.2秒﻿ / ﻿北緯36.218833度 東経139.179500度﻿ /36.218833; 139.179500","直営駅みどりの窓口有[2]","","ホワ","2,233人/日（降車客含まず）-2019年-","","","","","","","",""
"本陣駅","本陣駅（ほんじんえき）","https://ja.wikipedia.org/wiki/本陣駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度10分38秒東経136度52分1秒","東山線","4.6 km（高畑起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","1969年（昭和44年）4月1日[2]","2面2線","名古屋市中村区鳥居通二丁目36北緯35度10分38秒東経136度52分1秒﻿ / ﻿北緯35.17722度 東経136.86694度﻿ /35.17722; 136.86694座標:北緯35度10分38秒東経136度52分1秒﻿ / ﻿北緯35.17722度 東経136.86694度﻿ /35.17722; 136.86694","","H06","","8,486人/日（降車客含まず）-2019年-","16,644[1]人/日-2019年-","","","","","","",""
