"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","初登頂","プロミネンス","総称","所属山脈","種類","アイソレーション","山の種類","最容易,ルート","最新噴火","最新の噴火","公式サイト","翻訳","公用語","住民の呼称","海外領土"
"サントメ山","[126  サントメ・プリンシペサントメ山2,024 m] サントメ島は全体が、 大西洋 から3000メートル以上隆起した巨大な 楯状火山 である。 カメルーン 南西部から大西洋に向かって延びる、 カメルーン火山列 の一部をなす。過去に噴出した溶岩の大部分は、百万年以上の年月を経て 玄武岩 になっている。サントメ島で最も新しい岩石は約10万年前のものだが、南東部からはそれよりも若い噴石丘が発見されている。","https://ja.wikipedia.org/wiki/サントメ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯0度16分03秒東経6度32分36秒","2,024 m(6,640 ft) ","サントメ・プリンシペ、サントメ島","","","","2,024 m(6,640 ft) ","国内最高峰ウルトラ・プロミネント峰","","","","楯状火山","","","不詳","","","","",""
"Mont Idoukal-n-Taghès","[127  ニジェールMont Idoukal-n-Taghès2,022 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Mont_Idoukal-n-Taghès","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"トゥルキーノ山","[128  キューバトゥルキーノ山1,974 m] ","https://ja.wikipedia.org/wiki/トゥルキーノ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯19度59分22秒西経76度50分09秒","1,974m"," キューバサンティアーゴ・デ・クーバ州","北緯19度59分22秒西経76度50分09秒﻿ / ﻿北緯19.98944度 西経76.83583度﻿ /19.98944; -76.83583座標:北緯19度59分22秒西経76度50分09秒﻿ / ﻿北緯19.98944度 西経76.83583度﻿ /19.98944; -76.83583","マエストラ山脈","","","","","","","","","","","","","","",""
"オリンポス山","[129  キプロスオリンポス山（英語版）1,951 m]","https://ja.wikipedia.org/w/index.php?title=オリンポス山_(キプロス)&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"漢拏山","[130  韓国漢拏山1,950 m韓国は朝鮮半島全土の領有権を主張しているため、それに沿えば白頭山が国内最高峰となる。なお、韓国統治下の離島を除く本土の最高地点としては智異山(1,915 m)である。] 漢拏山は一帯が 国立公園 に指定（1970年3月24日）されており、また、韓国の天然記念物第182号として天然保護区域となっている。2007年6月27日には「 済州の火山島と溶岩洞窟群 」の主要部分として、 ユネスコ の 世界遺産 にも登録された。初夏の ゲンカイツツジ や オンツツジ が咲く時期は中腹がピンクの花で覆われ、また、秋の 紅葉 も美しいため、多くの登山客が訪れる。海抜1,000 - 1,500メートルの地帯は タンナザサ などの ササ 類が多く茂り、 チョウセンシラベ ( Abies koreana )も多い。","https://ja.wikipedia.org/wiki/漢拏山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯33度21分44.42秒東経126度32分9.96秒","1,947m","韓国済州特別自治道済州市・西帰浦市","北緯33度21分44.42秒東経126度32分9.96秒﻿ / ﻿北緯33.3623389度 東経126.5361000度﻿ /33.3623389; 126.5361000座標:北緯33度21分44.42秒東経126度32分9.96秒﻿ / ﻿北緯33.3623389度 東経126.5361000度﻿ /33.3623389; 126.5361000","","","","","","楯状火山","","","","","","","","","",""
"ビントゥマニ山","[131  シエラレオネビントゥマニ山（ロマ・マンサ山）1,948 m] 山名の「ビントゥマニ」の由来は地元住民の神話の話で山に住むと信じられている女性の 精霊 の名に因んでいる。","https://ja.wikipedia.org/wiki/ビントゥマニ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯9度13分30秒西経11度07分00秒","1,945m","シエラレオネ","北緯9度13分30秒西経11度07分00秒﻿ / ﻿北緯9.22500度 西経11.11667度﻿ /9.22500; -11.11667座標:北緯9度13分30秒西経11度07分00秒﻿ / ﻿北緯9.22500度 西経11.11667度﻿ /9.22500; -11.11667","ロマ山地（英語版）","","","","","","","","","","","","","","",""
"Jabal Bil Ays","[132  アラブ首長国連邦Unnamed knoll west ofJabal Bil Ays1,910 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Jabal_Bil_Ays","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Mount Tabwemasana","[133  バヌアツMount Tabwemasana1,877 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Mount_Tabwemasana","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Emlembe","[134  エスワティニEmlembe1,862 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Emlembe","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Mauga Silisili","[135  サモアMauga Silisili(Savaii)1,857 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Mauga_Silisili","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ウンム・アッ＝ダーミー山","[136  ヨルダンウンム・アッ＝ダーミー山（英語版）1,854 m]","https://ja.wikipedia.org/w/index.php?title=ウンム・アッ＝ダーミー山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"パゴン山","[137  ブルネイパゴン山1,850 m] ウツボカズラ の1種 Nepenthes lowii がこの 山 の 斜面 で見られる  。","https://ja.wikipedia.org/wiki/パゴン山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯4度17分40秒東経115度19分20秒","1,850m","ブルネイ・テンブロン地区マレーシア・サラワク州","北緯4度17分40秒東経115度19分20秒﻿ / ﻿北緯4.29444度 東経115.32222度﻿ /4.29444; 115.32222座標:北緯4度17分40秒東経115度19分20秒﻿ / ﻿北緯4.29444度 東経115.32222度﻿ /4.29444; 115.32222","","","","","","","","","","","","","","","",""
"Dinara","[138  クロアチアDinara1,831 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Dinara","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"アオラル山","[139  カンボジアアオラル山1,810 m] ","https://ja.wikipedia.org/wiki/アオラル山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯12度02分00秒東経104度10分00秒","1,813m","カンボジアコンポンスプー州アオラル郡（英語版）","北緯12度02分00秒東経104度10分00秒﻿ / ﻿北緯12.03333度 東経104.16667度﻿ /12.03333; 104.16667座標:北緯12度02分00秒東経104度10分00秒﻿ / ﻿北緯12.03333度 東経104.16667度﻿ /12.03333; 104.16667","カルダモン山脈（英語版）","","","","","","","","","","","","","","",""
"ニンバ山","[140  コートジボワールニンバ山1,752 m] 1944年 から、リベリア領内を除いて、 自然保護区 に指定されている。現在180km 2 をカバーしている ニンバ山厳正自然保護区 は、 熱帯雨林 と サバンナ を含んでおり、 ユネスコ の 世界遺産 にも登録されている。厳正自然保護区であるため、観光客の立ち入りは禁じられている。","https://ja.wikipedia.org/wiki/ニンバ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯7度37分00秒西経8度24分43秒","1,752m","コートジボワール十八山州ギニアンゼレコレ州リベリアニンバ郡","北緯7度37分00秒西経8度24分43秒﻿ / ﻿北緯7.61667度 西経8.41194度﻿ /7.61667; -8.41194座標:北緯7度37分00秒西経8度24分43秒﻿ / ﻿北緯7.61667度 西経8.41194度﻿ /7.61667; -8.41194","","","","","","","","","","","","","","","",""
"ニンバ山","[140  ギニアニンバ山1,752 m] 1944年 から、リベリア領内を除いて、 自然保護区 に指定されている。現在180km 2 をカバーしている ニンバ山厳正自然保護区 は、 熱帯雨林 と サバンナ を含んでおり、 ユネスコ の 世界遺産 にも登録されている。厳正自然保護区であるため、観光客の立ち入りは禁じられている。","https://ja.wikipedia.org/wiki/ニンバ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯7度37分00秒西経8度24分43秒","1,752m","コートジボワール十八山州ギニアンゼレコレ州リベリアニンバ郡","北緯7度37分00秒西経8度24分43秒﻿ / ﻿北緯7.61667度 西経8.41194度﻿ /7.61667; -8.41194座標:北緯7度37分00秒西経8度24分43秒﻿ / ﻿北緯7.61667度 西経8.41194度﻿ /7.61667; -8.41194","","","","","","","","","","","","","","","",""
"スニェシュカ山","[144  チェコスニェシュカ山（英語版）1,602 m]","https://ja.wikipedia.org/w/index.php?title=スニェシュカ山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"シャンビ山","[145  チュニジアシャンビ山1,544 m] ","https://ja.wikipedia.org/wiki/シャンビ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯35度11分00秒東経8度39分00秒","1,544メートル (5,066 ft)m","チュニジア","北緯35度11分00秒東経8度39分00秒﻿ / ﻿北緯35.18333度 東経8.65000度﻿ /35.18333; 8.65000","","","","","","","","","","","","","","","",""
"Otse Hill","[146  ボツワナOtse Hill1,491 mSRTMのデータによると、Monalanongが標高1,494mでOtseよりも高いとされる。ただしSRTMのデータには15mほどの誤差が入っている可能性もある。イギリスの登山家が両方の山に登ってGPSで高度を確認し、Otseの方が高いことが確認された。]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Otse_Hill","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ディアブロティン山","[148  ドミニカ国ディアブロティン山1,447 m] ディアブロティンの名は、 ズグロシロハラミズナギドリ （ 英語版 ） の現地での呼称と同じである  。","https://ja.wikipedia.org/wiki/ディアブロティン山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯15度30分12秒西経61度23分50秒","1,447m","ドミニカ国","北緯15度30分12秒西経61度23分50秒﻿ / ﻿北緯15.50333度 西経61.39722度﻿ /15.50333; -61.39722座標:北緯15度30分12秒西経61度23分50秒﻿ / ﻿北緯15.50333度 西経61.39722度﻿ /15.50333; -61.39722","小アンティル諸島火山弧（英語版）","","","","","成層火山","","","","約3万年前","","","","","",""
"Mount Wuteve","[149  リベリアMount Wuteve1,440 m[1]]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Mount_Wuteve","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ンガウィ山","[150  中央アフリカ共和国ンガウィ山1,420 m] ","https://ja.wikipedia.org/wiki/ンガウィ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯6度36分00秒東経14度54分00秒","1,410m","中央アフリカカメルーン","北緯6度36分00秒東経14度54分00秒﻿ / ﻿北緯6.60000度 東経14.90000度﻿ /6.60000; 14.90000座標:北緯6度36分00秒東経14度54分00秒﻿ / ﻿北緯6.60000度 東経14.90000度﻿ /6.60000; 14.90000","","","","","","","","","","","","","","","",""
"ベン・ネヴィス山","[152  イギリスベン・ネヴィス山1,344 m本土グレートブリテン島。イギリス領全体ではサウスジョージア諸島のパジェット山（2,934 m）。] スコットランド の山々でも知名度は高く、地元住民や 登山家 には「ザ・ベン」として知られている   。登山者は年間10万人にのぼる  が、その4分の3  はふもとのグレン・ネビスから山の南斜面を進む「ポニー・トラック」から登る。他方、国内最大級の高さ700mを誇る北壁は多くのクライマーや登山家をひきつけており、幅広い難易度のスクランブリング（ザイルを使わず頂上を目指すスポーツ）ないし ロッククライミング ルートが用意されている。アイスクライミングにおいてもイギリスで重要な位置を占める。","https://ja.wikipedia.org/wiki/ベン・ネヴィス山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯56度47分49秒西経5度00分13秒","1,344 m(4,409 ft)","","","","1771年8月17日（ジェームズ・ロバートソン）","1,344 m(4,409 ft) イギリス諸島最高峰","マンロー（標高3000フィート以上）、マリリン（150m以上）、ハイランド地方ならびにインヴァーネスシャー最高峰","","","738.62キロメートル (458.96 mi)","","ハイキングコース","","","","「有毒な山」もしくは「頂に雲のかかった山」の意味(スコットランド・ゲール語)","","",""
"トマニビ山","[154  フィジートマニビ山（英語版）1,324 m]","https://ja.wikipedia.org/w/index.php?title=トマニビ山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ハルティ","[154  フィンランドハルティ1,324 m[4] ハルティ （Halti）は フィンランド の最高峰である山。標高は1,324m。 ラップランド州 エノンテキオ区 に位置しており、フィンランドと ノルウェー の間に位置している。","https://ja.wikipedia.org/wiki/ハルティ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯69度18分46秒 東経21度17分08秒","","","","","","","","","","","","","","","","","","",""
"スフリエール山","[156  セントビンセント・グレナディーンスフリエール山1,234 m] 標高 1,234 mあるスフリエール山はセントビンセント島の最高峰であると同時に、 島国 である セントビンセント・グレナディーン の最高標高地点である  。スフリエール山は 火口湖 を持つ 成層火山 であり、島の最北に位置する最も新しい火山でもある。","https://ja.wikipedia.org/wiki/スフリエール山_(セントビンセント・グレナディーン)","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯13度20分0秒西経61度11分0秒","1,234m","セントビンセント・グレナディーンセントビンセント島","北緯13度20分0秒西経61度11分0秒﻿ / ﻿北緯13.33333度 西経61.18333度﻿ /13.33333; -61.18333座標:北緯13度20分0秒西経61度11分0秒﻿ / ﻿北緯13.33333度 西経61.18333度﻿ /13.33333; -61.18333","","","","","","成層火山","","","","1979年","","","","","",""
"ジュリアナトップ山","[157  スリナムジュリアナトップ山（英語版）1,230 m]","https://ja.wikipedia.org/w/index.php?title=ジュリアナトップ山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"メロン山","[158  イスラエルメロン山1,208 m2,236 mのヘルモン山の南部稜線にあたるゴラン高原はイスラエルの支配下にあるが、国際的に認められていない。] 標高1,208mのイスラエル最高峰である   が、イスラエルが占領する ゴラン高原 には多くのメロン山より高い峰がある  。","https://ja.wikipedia.org/wiki/メロン山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯33度00分東経35度25分","1,208 m(3,963 ft)","","","","","","","","","","","","","","","","","",""
"リアムイガ山","[159  セントクリストファー・ネイビスリアムイガ山（英語版）1,156 m]","https://ja.wikipedia.org/w/index.php?title=リアムイガ山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"オンボリ山","[160  マリオンボリ山（英語版）1,155 m]","https://ja.wikipedia.org/w/index.php?title=オンボリ山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ドイルス・ディライト山","[161  ベリーズドイルス・ディライト山（英語版）1,124 m]","https://ja.wikipedia.org/w/index.php?title=ドイルス・ディライト山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Mont Bengoué","[162  ガボンMont Bengoué1,070 mMont Iboundjiが高度1500mで最高地点とする説もあるが、SRTMによればその説は否定される。]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Mont_Bengoué","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Mowdok Mual","[163  バングラデシュMowdok Mual1,052 mケオクラドン山（英語版）が最高地点とする説もあるが、SRTM、GPSのいずれもこれを否定する。]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Mowdok_Mual","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"キャラントゥール山","[164 アイルランドキャラントゥール山1,038 m] キャラントゥール山は、スコットランド登山クラブ(SMC)によって標高 3000フィート（914.4m）以上の「ファース」に分類されている  。スコットランドでは3000フィート級の山を「マンロー」と呼称するが、スコットランドの外にあるため、ときおり「アイルランドマンロー」と呼ばれることがある。","https://ja.wikipedia.org/wiki/キャラントゥール山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯51度59分58秒西経9度44分34秒","1,038 m(3,406 ft) ","アイルランド共和国ケリー県","","","","1,038 m(3,406 ft) ブリテン諸島において第3位","国内最高峰","マクギリーカディ山脈","","","","","","","","Tuathal's sickle/Tuathal's serrated mountain(アイルランド語)","","",""
"カオ島","[165  トンガカオ島（英語版）の無名の山1,033 m]","https://ja.wikipedia.org/w/index.php?title=カオ島&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ナベンバ山","[166  コンゴ共和国ナベンバ山1,020 m] ブラザヴィル にある ナベンバ・タワー はこの山の名に因んで命名された  。","https://ja.wikipedia.org/wiki/ナベンバ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯1度51分00秒東経13度59分00秒","1,020m","コンゴ共和国サンガ県","北緯1度51分00秒東経13度59分00秒﻿ / ﻿北緯1.85000度 東経13.98333度﻿ /1.85000; 13.98333座標:北緯1度51分00秒東経13度59分00秒﻿ / ﻿北緯1.85000度 東経13.98333度﻿ /1.85000; 13.98333","","","","","","","","","","","","","","","",""
"Tall Asur","[167  パレスチナTall Asur1,016 mパレスチナ地区の統治については紛争がある。詳細はパレスチナ問題などを参照。]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Tall_Asur","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ケーケシュ山","[168  ハンガリーケーケシュ山1,014 m] 青みがかった色に見えることから、Kékes（ハンガリー語で「青い」の意）の名が付けられた。","https://ja.wikipedia.org/wiki/ケーケシュ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯47度52分44秒東経20度00分37秒","1,014m"," ハンガリーヘヴェシュ県ジェンジェシュ（英語版）","北緯47度52分44秒東経20度00分37秒﻿ / ﻿北緯47.87889度 東経20.01028度﻿ /47.87889; 20.01028座標:北緯47度52分44秒東経20度00分37秒﻿ / ﻿北緯47.87889度 東経20.01028度﻿ /47.87889; 20.01028","西カルパティア山脈（英語版）ハンガリー国内の名称:北部中央山脈（英語版）マートラ山地（英語版）","","","","","","","","","","","","","","",""
"アグー山","[169  トーゴアグー山986 m] ","https://ja.wikipedia.org/wiki/アグー山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯6度52分00秒東経0度45分00秒","986m","トーゴ高原州","北緯6度52分00秒東経0度45分00秒﻿ / ﻿北緯6.86667度 東経0.75000度﻿ /6.86667; 0.75000座標:北緯6度52分00秒東経0度45分00秒﻿ / ﻿北緯6.86667度 東経0.75000度﻿ /6.86667; 0.75000","","","","","","","","","","","","","","","",""
"ジミー山","[173  セントルシアジミー山（英語版）950 m]","https://ja.wikipedia.org/w/index.php?title=ジミー山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"アリポ山","[174  トリニダード・トバゴアリポ山（英語版）940 m]","https://ja.wikipedia.org/w/index.php?title=アリポ山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Kediet ej Jill","[175  モーリタニアKediet ej Jill915 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Kediet_ej_Jill","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"モルヌ・セシェロワ","[177  セーシェルモルヌ・セシェロワ（英語版）905 m]","https://ja.wikipedia.org/w/index.php?title=モルヌ・セシェロワ&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"アファジャ山","[179  ガーナアファジャ山（英語版）880 m]","https://ja.wikipedia.org/w/index.php?title=アファジャ山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ペロー山","[182  パラグアイペロー山（トレス・カンドゥー山）842 m] この小山はパラグアイの国防軍の重要な場所であり、通信するための軍の中継器または無線回線を置くための戦略的な場所である。国営の電気会社（ANDE）も無線通信中継器を山に備えている。現在、それらの設備は長期間動作を停止し放棄されている。","https://ja.wikipedia.org/wiki/ペロー山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯25度54分06秒西経56度09分36秒","842m","パラグアイグアイラー県ヘネラル・エウヘニオ・アレハンドリーノ・ガライ村","南緯25度54分06秒西経56度09分36秒﻿ / ﻿南緯25.90167度 西経56.16000度﻿ /-25.90167; -56.16000座標:南緯25度54分06秒西経56度09分36秒﻿ / ﻿南緯25.90167度 西経56.16000度﻿ /-25.90167; -56.16000","ウブトゥルス","","","","","","","","","","","","","","",""
"セント・キャサリン山","[183  グレナダセント・キャサリン山（英語版）|840 m]","https://ja.wikipedia.org/w/index.php?title=セント・キャサリン山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Piton de la Petite Rivière Noire","[184  モーリシャスPiton de la Petite Rivière Noire828 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Piton_de_la_Petite_Rivière_Noire","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Dolohmwar","[185  ミクロネシア連邦Dolohmwar(Totolom)791 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Dolohmwar","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ティターノ山","[187  サンマリノティターノ山755 m] 2008年に「中世以来の独立した共和制の継続を示す証拠」として首都 サンマリノ市 の史跡群とともに ユネスコ の 世界遺産 に登録された  。","https://ja.wikipedia.org/wiki/ティターノ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯43度55分42秒東経12度27分08秒","739 m(2,425 ft) ","サンマリノ","","","","189 m(620 ft) ","国内最高峰","アペニン山脈","","5.82キロメートル (3.62 mi)","","","","","","","","",""
"Tena Kourou","[188  ブルキナファソTena Kourou749 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Tena_Kourou","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Signal de Botrange","[190  ベルギーSignal de Botrange694 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Signal_de_Botrange","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Mont Sokbaro","[192  ベナンMont Sokbaro658 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Mont_Sokbaro","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Nepen Diakha","[195  セネガルunnamed feature nearNepen Diakha581 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Nepen_Diakha","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"クナイフ","[196  ルクセンブルククナイフ560 m] ","https://ja.wikipedia.org/wiki/クナイフ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯50度09分27.7秒東経6度02分13.8秒","560m","ルクセンブルクディーキルヒ広域行政区クレルヴォー郡（英語版）","北緯50度09分27.7秒東経6度02分13.8秒﻿ / ﻿北緯50.157694度 東経6.037167度﻿ /50.157694; 6.037167座標:北緯50度09分27.7秒東経6度02分13.8秒﻿ / ﻿北緯50.157694度 東経6.037167度﻿ /50.157694; 6.037167","","","","","","丘","","","","","","","","","",""
"カテドラル山","[198  ウルグアイカテドラル山514 m] カラペ山脈は、 先カンブリア時代 に形成されマルドナド県を西から東へ横断し ロチャ県 へ続く。 ラバジェハ県 とマルドナド県との県境を構成している。カテドラル山またはコルジレラ山は、ラスカーニャス地域に位置し、マルドナド県の第8司法区と第9警察区にある。 カテドラル山付近に、ホセイグナシオ川（ Arroyo José Ignacio ）の水源があり北から南へ流れる。また、コロニラ川（ Arroyo Coronilla ）の水源もあり北西に流れ、アイグアへ流れ込む。","https://ja.wikipedia.org/wiki/カテドラル山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯34度22分55.9秒西経54度40分27.7秒","513.66m","ウルグアイマルドナド県","南緯34度22分55.9秒西経54度40分27.7秒﻿ / ﻿南緯34.382194度 西経54.674361度﻿ /-34.382194; -54.674361座標:南緯34度22分55.9秒西経54度40分27.7秒﻿ / ﻿南緯34.382194度 西経54.674361度﻿ /-34.382194; -54.674361","カラペ山脈（グランデ山地の一部）","","","","","","","","","","","","","","",""
"Dealul Bălăneşti","[201  モルドバDealul Bălăneşti430 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Dealul_Bălăneşti","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"オバマ山","[205  アンティグア・バーブーダオバマ山402 m] 2009年8月4日、 アメリカ合衆国 の バラク・オバマ 大統領の誕生日に、アンティグア・バーブーダの ボールドウィン・スペンサー 首相が山の正式名をオバマ山に改称した  。","https://ja.wikipedia.org/wiki/オバマ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯17度02分31秒西経61度51分04秒","402m","アンティグア・バーブーダセント・メアリー教区","北緯17度02分31秒西経61度51分04秒﻿ / ﻿北緯17.04194度 西経61.85111度﻿ /17.04194; -61.85111座標:北緯17度02分31秒西経61度51分04秒﻿ / ﻿北緯17.04194度 西経61.85111度﻿ /17.04194; -61.85111","シェカーリー山地（英語版）","","","","","","","","","","","","","","",""
