"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","泉質","交通","泉温（,摂氏,）","外部リンク","宿泊施設数","液性の分類","pH","湧出量","浸透圧の分類","総収容人員数","特記事項","年間浴客数","統計年","営業時間","温泉施設数","登録路線","登録回","登録日"
"片倉温泉 (山口県)","[片倉温泉] 片倉温泉 （かたくらおんせん）は、 山口県 宇部市 西岐波 （旧国 周防国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/片倉温泉_(山口県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度58分23.3秒東経131度17分56.6秒","山口県宇部市西岐波片倉温泉山口駅山口県地図","なし","鉄道 :宇部線床波駅より宇部市営バスで約10分車 :山口宇部道路片倉インターチェンジ下車すぐ","20.1°C","","","弱アルカリ性","7.7","","低張性","","","","","","","","",""
"一ノ俣温泉","[一ノ俣温泉] 一の俣温泉 （いちのまたおんせん）は 山口県 下関市 豊田町 一ノ俣（旧国 長門国 ）にある 温泉 。別名「豊田富士」とも呼ばれる 一位ヶ岳 のすそ野にある。","https://ja.wikipedia.org/wiki/一ノ俣温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度15分28.59秒東経131度03分18.52秒","山口県下関市豊田町一ノ俣一の俣温泉山口駅山口県地図","硫黄泉","鉄道：山陰本線滝部駅下車、ブルーライン交通バスで約35分車：中国自動車道小月ICから国道491号、県道下関長門線、国道435号経由で約45分","","一の俣温泉","4","アルカリ性","10.0","","","","","","","","","","",""
"湯谷温泉 (山口県)","[湯谷温泉] 湯谷温泉 （ゆたにおんせん）は、 山口県 下関市 （旧国 長門国 ）の吉田地方（よしだじかた）にあった 温泉 。","https://ja.wikipedia.org/wiki/湯谷温泉_(山口県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度6分26.8秒東経131度5分52.4秒","山口県下関市吉田字湯谷湯谷温泉山口駅山口県地図","単純弱放射能泉","鉄道・バス：山陽本線小月駅よりサンデン交通バスで約15分","22.5°C","","4軒（1988年時点）","","","毎分51ℓ","","","","","","","","","",""
"川棚温泉","[川棚温泉] 川棚温泉 （かわたなおんせん）は、 山口県 下関市 豊浦町 川棚（旧国 長門国 ）にある温泉。1886年の『日本鉱泉誌』では「鍵湯鉱泉」と紹介されている。","https://ja.wikipedia.org/wiki/川棚温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度8分23秒東経130度56分23秒","山口県下関市豊浦町川棚川棚温泉山口駅山口県地図","放射能泉（含弱放射能―カルシウム・ナトリウム―塩化物泉）","鉄道：山陰本線川棚温泉駅下車バス：サンデン交通・ブルーライン交通で川棚温泉行き終点下車車：中国自動車道小月ICから約20分","42.8～43.6℃","https://www.kawatana.com/","6","弱アルカリ性","7.9～8.1","","低張性","","","","","","","","",""
"王司温泉","[王司温泉] 王司温泉（おうじおんせん）は、 山口県 下関市 にある温泉。","https://ja.wikipedia.org/wiki/王司温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度03分8.0秒東経130度59分56.0秒","山口県下関市員光町3丁目4-17王司温泉山口駅山口県地図","単純弱放射能温泉","長府駅からバスで15分（「王司温泉」で下車）","29.9°C","https://shimonoseki.travel/spot/detail.php?uid=223&c=78&sc=95&area=","","弱アルカリ性","7.9","147L/min（自噴）","低張性","","","","","","1","","",""
"大河内温泉","[大河内温泉] 大河内温泉 （おおかわちおんせん／おおこうちおんせん）は、 山口県 下関市 豊浦町 にある温泉。","https://ja.wikipedia.org/wiki/大河内温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度12分51.2秒東経130度56分56.8秒","山口県下関市豊浦町宇賀大河内","単純温泉（アルカリ性単純温泉）","JR山陰本線湯玉駅からタクシーで10分","31.1～33.8℃","http://www.oidemase.or.jp/tourism-information/spots/10723","","アルカリ性","9.4～9.5","78～87L/min（動力）","低張性","","","","","","1","","",""
"菊川温泉","[菊川温泉] 菊川温泉 （きくがわおんせん）は、 山口県 下関市 菊川町 大字下岡枝にある 温泉 。","https://ja.wikipedia.org/wiki/菊川温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度7分49.5秒東経131度2分5.5秒","山口県下関市菊川町大字下岡枝","炭酸水素塩泉（ナトリウム－炭酸水素塩・塩化物泉）","JR山陽本線小月駅からバス","32.8°C","http://www.oidemase.or.jp/tourism-information/spots/10683","","弱アルカリ性","8.2","","低張性","","","","","","2","","",""
"西ノ市温泉","[西ノ市温泉] 西ノ市温泉（にしのいちおんせん）は、 山口県 下関市 豊田町 にある 温泉 。","https://ja.wikipedia.org/wiki/西ノ市温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度11分54秒東経131度4分36.4秒","山口県下関市豊田町大字中村876-4西ノ市温泉山口駅山口県地図","なし","","18.1°C","http://www.toyota-hotaru.com/access/","","アルカリ性","9.0","","低張性","","","","","","1","","",""
"日乃出温泉","[日乃出温泉] 日乃出温泉 （ひのでおんせん）は、 山口県 下関市 にある 温泉 。下関市街地では唯一の天然温泉 銭湯 である。","https://ja.wikipedia.org/wiki/日乃出温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度56分41.9秒東経130度55分2.3秒","山口県下関市大和町1-12-12日乃出温泉山口駅山口県地図","塩化物泉（ナトリウムー塩化物冷鉱泉）","","19.2°C","http://hinode-onsen.com/","","弱アルカリ性","7.90","","低張性","","","","","","1","","",""
"吉見温泉","[吉見温泉] 吉見温泉 （よしみおんせん）は、 山口県 下関市 吉見上町にある温泉。","https://ja.wikipedia.org/wiki/吉見温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度4分56.1秒東経130度55分1.4秒","山口県下関市吉見上町395－1吉見温泉山口駅山口県地図","単純温泉（アルカリ性単純温泉）","JR山陰本線吉見駅より送迎バス","28℃","http://yoshimi-onsen.co.jp/","","アルカリ性","9.8","27L/分","低張性","","","","","","1","","",""
"吉田温泉","[吉田温泉] 吉田温泉 （よしだおんせん）は、山口県下関市にある温泉。「湯の里温泉」といわれることもある。","https://ja.wikipedia.org/wiki/吉田温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度5分14.2秒東経131度4分16.8秒","山口県下関市大字吉田清水1202－3吉田温泉山口駅山口県地図","放射能泉（単純弱放射能冷鉱泉）","","19.9°C","","","弱アルカリ性","8.4","","低張性","","","","","","1","","",""
"江汐湖温泉","[江汐湖温泉] 江汐温泉 （えじおおんせん）は、 山口県 山陽小野田市 （旧国 長門国 ）にある 温泉 。「江汐湖温泉」とも表記される。","https://ja.wikipedia.org/wiki/江汐湖温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度02分00秒東経131度11分09秒","山口県山陽小野田市千崎128江汐温泉山口駅山口県地図","塩化物泉","鉄道：山陽本線小野田駅よりバスで約10分","18.4°C","","1","","8.6","分90リットル","","","","","","","","","",""
"王喜温泉・糸根温泉","[王喜温泉・糸根温泉] 王喜温泉 （おうきおんせん）・ 糸根温泉 （いとねおんせん）は 山口県 （旧国 長門国 ）にある 温泉 。泉源の位置で名称が異なる（王喜温泉： 下関市 松屋町、糸根温泉： 山陽小野田市 埴生 ）が、同一施設で運営されているため、一括して記す。入浴施設の所在地から、 埴生温泉 （はぶおんせん）と表記されることもある  。","https://ja.wikipedia.org/wiki/王喜温泉・糸根温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度02分33.1秒東経131度04分15.1秒","山口県山陽小野田市埴生2216-18王喜温泉・糸根温泉山口駅山口県地図","放射能泉（含弱放射能―ナトリウム・カルシウム―塩化物冷鉱泉）","山陽自動車道埴生ICから国道2号（旧道）方面へ","19.4 - 21.7°C","みちしお","","中性","6.9 - 7.4","","低張性・高張性","","","","","","","","",""
"くすのき温泉","[くすのき温泉] くすのき温泉 （くすのきおんせん）は、 山口県 宇部市 にある温泉。","https://ja.wikipedia.org/wiki/くすのき温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度4分10.9秒東経131度14分39.5秒","山口県宇部市大字西万倉1662番地1くすのき温泉山口駅山口県地図","単純温泉（アルカリ性単純温泉）","","34.4°C","公式ウェブサイト","","アルカリ性","9.0","","低張性","","","","","","1","","",""
"持世寺温泉","[（じせいじ）温泉] 持世寺温泉 （じせいじおんせん）は、 山口県 宇部市 にある 温泉 。","https://ja.wikipedia.org/wiki/持世寺温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度1分59.7秒東経131度15分35.8秒","山口県宇部市吉見持世寺持世寺温泉山口駅山口県地図","放射能泉・単純温泉","電車：JR山陽本線厚東駅下車","26.7～39.8","","","弱アルカリ性・アルカリ性","8.1～8.9","","低張性","","","","","","","","",""
"黄波戸温泉","[（きわど）温泉] 黄波戸温泉 （きわどおんせん）は、 山口県 長門市 （旧 大津郡 日置町 ）にある海沿いの 温泉 。長門市街より西方にある。","https://ja.wikipedia.org/wiki/黄波戸温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度23分46.2秒東経131度7分55.2秒","山口県長門市黄波戸温泉山口駅山口県地図","単純温泉（アルカリ性単純温泉）","鉄道：JR山陰本線黄波戸駅下車車：国道191号線から境川交差点を北上。県道長門油谷線沿い","31.6°C","","","アルカリ性","9.4","","低張性","","","","","","","","",""
"湯免温泉","[（ゆめん）温泉] 湯免温泉 （ゆめんおんせん）は、 山口県 長門市 （旧国 長門国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/湯免温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度21分33.9秒東経131度15分38.8秒","山口県長門市三隅中湯免温泉山口駅山口県地図","単純温泉・放射能泉","JR山陰本線長門三隅駅下車タクシーまたはバス","29.4～35.2","","","アルカリ性","8.85～9.06","","低張性","","","","","","","","",""
"長門湯本温泉","[長門湯本温泉] 長門湯本温泉 （ながと ゆもと おんせん）は、 山口県 長門市 （旧国 長門国 ）にある 温泉 。山口県を代表する温泉（「 防長四湯 」）の一つである。","https://ja.wikipedia.org/wiki/長門湯本温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度19分50秒東経131度10分15秒","山口県長門市","アルカリ性単純温泉","空路 -山口宇部空港鉄道 -JR西日本美祢線長門湯本駅バス -サンデン交通：バス停「湯本温泉入口」車 -中国自動車道美祢IC","39.0°C","http://www.yumotoonsen.com/","12軒","","9.62","36.5L/分","","","湧出量・pHの値は恩湯のもの","","","","","","",""
"俵山温泉","[俵山温泉] 俵山温泉 （たわらやまおんせん）は、 山口県 長門市 （旧国 長門国 ）にある 温泉 。山口県を代表する温泉（「 防長四湯 」）の一つ。療養向けの温泉で、 リウマチ に効くとして知られる。1886年の『日本鉱泉誌』では「湯町鉱泉」として紹介されている。","https://ja.wikipedia.org/wiki/俵山温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度17分27秒東経131度6分0.8秒","山口県長門市俵山温泉山口駅山口県地図","アルカリ性単純温泉","空路 -山口宇部空港鉄道 -JR西日本美祢線：長門湯本駅バス -サンデン交通：バス停「俵山温泉」車 -中国自動車道：美祢IC","41°C","http://www.tawarayama-onsen.com/","","アルカリ性","9.9","","低調性","","","","","","","","",""
"油谷湾温泉","[油谷湾温泉] 油谷湾温泉 （ゆやわんおんせん）は、 山口県 長門市 （旧国 長門国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/油谷湾温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度22分15秒東経131度1分48.9秒","山口県長門市油谷湾温泉山口駅山口県地図","単純温泉","車 :中国自動車道美祢ICから約50分鉄道 :山陰本線伊上駅下車","25°C","ホテル楊貴館","1","","","","","","","","","","","","",""
"阿武川温泉","[阿武川温泉] 阿武川温泉 （あぶがわおんせん）は 山口県 萩市 川上 （旧国 長門国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/阿武川温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度21分33.7秒東経131度28分52.2秒","山口県萩市川上阿武川温泉山口駅山口県地図","単純温泉","萩バスセンター・山陰本線東萩駅から防長交通バスで約20分","34.7°C","","","アルカリ性","","","","","","","","","","","",""
"萩本陣温泉","[萩本陣温泉] 萩本陣温泉 （はぎほんじんおんせん）は、 山口県 萩市 （旧国 長門国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/萩本陣温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度24分54.6秒東経131度25分8.1秒","山口県萩市萩本陣温泉山口駅山口県地図","塩化物泉","車 :中国自動車道美祢ICから約50分鉄道 : JR東萩駅からタクシー5分","28.3〜34.3","","","","","","","","","","","","","","",""
"千春楽温泉","[千春楽温泉] 千春楽温泉 （せんしゅんらくおんせん）は、 山口県 萩市 （旧国 長門国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/千春楽温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度24分58.4秒東経131度23分13.4秒","山口県萩市千春楽温泉山口駅山口県地図","含硫黄‐ナトリウム・マグネシウム‐塩化物冷鉱泉","車：中国自動車道美祢ICより約50分鉄道：JR東萩駅からタクシー10分","18.5°C","萩焼の宿千春楽","","","7.55","","","","","","","","","","",""
"湯ノ口温泉 (山口県)","[湯ノ口温泉] 湯の口温泉 （ゆのくちおんせん）は、 山口県 美祢市 美東町 にある 温泉 。","https://ja.wikipedia.org/wiki/湯ノ口温泉_(山口県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度9分36秒東経131度20分42.7秒","山口県美祢市美東町真名湯の口温泉山口駅山口県地図","なし","車 :中国自動車道美祢東JCT及び小郡萩道路十文字IC鉄道 :山陽新幹線新山口駅から車で約20分。秋芳洞行きバス（湯の口温泉バス停下車）","19.9°C","https://tenjukunomori.com/","1","アルカリ性","9.66","34.5L/min（動力）","低張性","","","","","","","","",""
"於福温泉","[於福温泉] 於福温泉 （おふくおんせん）は、 山口県 美祢市 （旧国 長門国 ）にある 温泉 。近年は 道の駅 開設の影響もあり、平仮名で おふく温泉 と呼ぶこともある。","https://ja.wikipedia.org/wiki/於福温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度14分15.8秒東経131度12分30.5秒","山口県美祢市於福温泉山口駅山口県地図","単純温泉","鉄道：JR美祢線於福駅下車自動車：国道2号線から厚狭にて国道316号を北上","25.4°C","https://michinoeki-ofuku.jp/free/ofukuonsen","2軒","弱アルカリ性","8.22","","低張性","","","","","","","","",""
"祖谷温泉","[（いや）温泉] 祖谷温泉 （いやおんせん）は、 徳島県 三好市 （旧国 阿波国 ）の 祖谷渓 沿いにある 温泉 。 北海道 の ニセコ薬師温泉 、 青森県 の 谷地温泉 とともに 日本 三大秘湯の一つに数えられる  。","https://ja.wikipedia.org/wiki/祖谷温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度55分17秒東経133度49分3.0秒","徳島県三好市池田町松尾松本祖谷温泉徳島駅徳島県地図","単純硫化水素泉","JR四国土讃線阿波池田駅からバスで約50分","","","1","","9.1","","","","","","","","","","",""
"新祖谷温泉","[新祖谷温泉] 新祖谷温泉 （しんいやおんせん）は、 徳島県 三好市 （旧国 阿波国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/新祖谷温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度52分46.0秒東経133度49分35.9秒","徳島県三好市新祖谷温泉徳島駅徳島県地図","硫黄泉","鉄道：JR四国土讃線大歩危駅よりバスで約20分","17.9°C","","1","","","毎分30.8L","","","","","","","","","",""
"大歩危温泉","[（おおぼけ）温泉] 大歩危温泉 （おおぼけおんせん）は、 徳島県 三好市 （旧国 阿波国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/大歩危温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度53分2.4秒東経133度45分34.3秒","徳島県三好市大歩危温泉徳島駅徳島県地図","単純温泉","鉄道：土讃線小歩危駅より徒歩約15分","21°C","","2","アルカリ性","","","","","","","","","","","",""
"紅葉温泉","[紅葉温泉（もみじ川温泉）] 紅葉温泉 （もみじおんせん）は、 徳島県 三好市 （旧国 阿波国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/紅葉温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度03分27.9秒東経133度59分15.9秒","徳島県三好市紅葉温泉徳島駅徳島県地図","重曹泉","鉄道：土讃線阿波池田駅よりバスで約25分","","","","","","","","","","","","","","","",""
"鷲敷温泉","[鷲敷温泉] 鷲敷温泉 （わじきおんせん）とは 徳島県 那賀郡 那賀町 （旧国 阿波国 ）にある 温泉 である。","https://ja.wikipedia.org/wiki/鷲敷温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度50分18.8秒東経134度29分46.0秒","徳島県那賀郡那賀町鷲敷温泉徳島駅徳島県地図","単純硫黄泉","アクセスの項を参照","","","","","","","","","","","","","","","",""
"御所温泉 (存在しないページ)","[御所温泉]","https://ja.wikipedia.org/w/index.php?title=御所温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宍喰温泉 (存在しないページ)","[宍喰温泉]","https://ja.wikipedia.org/w/index.php?title=宍喰温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"船瀬温泉","[船瀬温泉] かもだ岬温泉 （かもだみさきおんせん）（旧名称：船瀬温泉）は、 徳島県 阿南市 椿町 （旧国 阿波国 ）にある 温泉 である。","https://ja.wikipedia.org/wiki/船瀬温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度49分54.0秒東経134度43分35.5秒","徳島県阿南市椿町船瀬60番地2かもだ岬温泉徳島駅徳島県地図","低張性弱アルカリ性単純温泉","","41.4°C","","0（日帰り入浴施設一軒）","","","90","","","","","","","","","",""
"神山温泉","[神山温泉] 神山温泉 （かみやまおんせん）は、 徳島県 名西郡 神山町 にある 温泉 である。","https://ja.wikipedia.org/wiki/神山温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度58分18.7秒東経134度22分12.0秒","徳島県名西郡神山町神領本上角80-2神山温泉徳島駅徳島県地図","ナトリウム塩化物・炭酸水素塩泉（含重曹食塩泉）","JR徳島駅前より徳島バス「神山線」で、約60分、「神山温泉前」下車、徒歩3分。徳島自動車道「藍住IC」より車で約55分、「板野IC」より車で約60分、「鳴門IC」より、板野IC経由、車で約65分。","","神山温泉","","","","","","","","","","","","","",""
"八万温泉","[八万温泉] 八万温泉 （はちまんおんせん）は、 徳島県 徳島市 八万町 にある 温泉 である。","https://ja.wikipedia.org/wiki/八万温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度02分42.6秒東経134度31分3.0秒","徳島県徳島市八万町下長谷258番地八万温泉徳島駅徳島県地図","メタケイ酸含有冷鉱泉","徳島自動車道「徳島インターチェンジ」より国道11号、国道55号、国道438号経由、徳島県立文化の森総合公園方面へ30分。徳島市営バス「しらさぎ台、一宮、入田」行き「園瀬橋」下車より徒歩約8分。","18.6°C","www.hachimanonsen.com/","","","","37","","","","","","","","","",""
"塩江温泉","[（しおのえ）温泉] 塩江温泉 （しおのえおんせん）は、 香川県 高松市 塩江町 安原上東（旧国 讃岐国 ）にある 温泉 。古くから讃岐の 奥座敷 として知られる。","https://ja.wikipedia.org/wiki/塩江温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度10分5.8秒東経134度05分5.6秒","香川県高松市塩江町安原上東塩江温泉高松駅香川県地図","単純硫化水素泉","鉄道 :JR高松駅からことでんバスで約50分航空 :高松空港からタクシーで約20分","","","10","","","","","","","","","","","","",""
"美霞洞温泉","[（みかど）温泉] 美霞洞温泉 （みかどおんせん）は、 香川県 仲多度郡 まんのう町 （旧国 讃岐国 ）にある山あいの 温泉 。","https://ja.wikipedia.org/wiki/美霞洞温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度05分42.5秒東経134度00分28.4秒","香川県仲多度郡まんのう町美霞洞温泉高松駅香川県地図","単純硫化水素泉","自動車：琴平町から国道438号線を南下","","","","","","","","","","","","","","","",""
"こんぴら温泉郷","[こんぴら温泉郷] こんぴら温泉郷 （こんぴらおんせんきょう）は、 香川県仲多度郡琴平町 の 温泉街 である。以前は 金毘羅山 の門前町であって温泉は無かったものの、掘削を行い温泉を掘り当て、1997年以降に温泉地としての整備が開始された。","https://ja.wikipedia.org/wiki/こんぴら温泉郷","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度11分27.8秒東経133度49分13.2秒","香川県仲多度郡琴平町こんぴら温泉高松駅香川県地図","塩化物泉・重炭酸土類泉","鉄道 -JR四国土讃線：琴平駅琴電：琴電琴平駅車 -高松自動車道：善通寺IC","","こんぴら温泉郷","12","","","","","","","","","","","","",""
"小豆島温泉","[小豆島温泉] 小豆島温泉 （しょうどしまおんせん）は 香川県 の 小豆島 に湧出する 温泉 の総称。源泉により、 小豆島温泉オリビアンの湯 、 小豆島温泉塩の湯 、 オリーブ温泉 、 サン・オリーブ温泉 、 湯元オリーブ温泉 、 里枝温泉 と名づけられている。","https://ja.wikipedia.org/wiki/小豆島温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度31分12.1秒東経134度13分17.3秒","香川県土庄町・小豆島町小豆島温泉高松駅香川県地図","","小豆島オリーブバス各バス停、土庄港からの送迎バス","","","","","","","","","","","","","","","",""
"道後温泉郷","[道後温泉郷道後温泉奥道後温泉東道後温泉媛彦温泉星乃岡温泉久米之癒東道後のそらともり南道後温泉道後さや温泉権現温泉見奈良温泉川内温泉] 道後温泉郷 （どうごおんせんきょう）は、 愛媛県 の 道後平野 にある 温泉 の総称（ 温泉郷 ）である。","https://ja.wikipedia.org/wiki/道後温泉郷","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"道後温泉","[道後温泉] 道後温泉 （どうごおんせん）は、 四国 ・ 愛媛県 松山市 （旧国 伊予国 ）に湧出する 温泉 である。 日本三古湯 の一つといわれる。","https://ja.wikipedia.org/wiki/道後温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度51分7.2秒東経132度47分11.2秒","日本愛媛県松山市道後温泉松山駅愛媛県地図","単純温泉","詳しくはアクセスの項を参照のこと","42 - 51°C","道後温泉道後温泉物語 - 道後温泉旅館協同組合","","","","","","","","","","","","","",""
"奥道後温泉","[奥道後温泉] 奥道後温泉 （おくどうごおんせん）は、 愛媛県 松山市 （旧国 伊予国 ）に湧出する 温泉 。","https://ja.wikipedia.org/wiki/奥道後温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度51分57.8秒東経132度49分31.6秒","愛媛県松山市奥道後温泉松山駅愛媛県地図","単純硫黄温泉","伊予鉄バス松山空港線・河中線、せとうちバス松山―今治・大三島特急バスで奥道後バス停","38.4°C","","","アルカリ性","","","","","","","","","","","",""
"東道後温泉","[東道後温泉媛彦温泉星乃岡温泉久米之癒東道後のそらともり] 東道後温泉郷 （ひがしどうごおんせんきょう）は、 愛媛県 松山市 （旧国 伊予国 ）の南久米町、北久米町、鷹ノ子町、星岡町、福音寺町の周辺に湧出する 温泉 の総称。","https://ja.wikipedia.org/wiki/東道後温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","愛媛県松山市","単純温泉","アクセスの項を参照のこと","32.8 - 48.0°C","","","アルカリ性","","","","","","","","","","","",""
"媛彦温泉","[媛彦温泉] 媛彦温泉 （ひめひこおんせん）は、 愛媛県 松山市 （旧国 伊予国 ）に湧出する 温泉 。","https://ja.wikipedia.org/wiki/媛彦温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度49分38.7秒東経132度48分2.9秒","愛媛県松山市媛彦温泉松山駅愛媛県地図","単純温泉","バス：伊予鉄バス10番線繁多寺口車：松山自動車道松山ICより北北東約5km","34.2°C","媛彦温泉","","アルカリ性","","","低張性","","","","","","","","",""
"星乃岡温泉","[星乃岡温泉] 星乃岡温泉（ほしのおかおんせん） とは、（株）大東興産が経営している、 愛媛県 松山市 星岡町 にある3棟からなる 温泉 施設である。","https://ja.wikipedia.org/wiki/星乃岡温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度49分4.2秒東経132度47分11.4秒","愛媛県松山市星岡町星乃岡温泉松山駅愛媛県地図","アルカリ性単純温泉","鉄道：伊予鉄道横河原線で福音寺駅下車徒歩約5分","39.8°C","星乃岡温泉","26部屋","弱アルカリ性","","","低張性","","","","","","","","",""
"久米之癒","[久米之癒] 久米之癒 （くめのゆ）は、 愛媛県 松山市 南久米町325-1にある 公衆浴場 である。 東道後温泉郷 に所在している。","https://ja.wikipedia.org/wiki/久米之癒","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","愛媛県松山市南久米町325-1","アルカリ性単純温泉","鉄道：伊予鉄道横河原線久米駅より徒歩3分。車：松山自動車道松山IC・川内ICおよび市内中心部から約15分。","42.6°C","http://yu.kume.cc/","","弱アルカリ性","9.0","","低張性","","","","","","","","",""
