"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","路線記号","乗車人員,-統計年次-","種類","市場情報","本社所在地"
"若栗駅","若栗駅（わかぐりえき）","https://ja.wikipedia.org/wiki/若栗駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度52分16.26秒東経137度29分34.33秒","■本線","41.7 km（電鉄富山起点）","富山地方鉄道","1922年（大正11年）11月5日","地上駅","単式1面1線","富山県黒部市若栗1860北緯36度52分16.26秒東経137度29分34.33秒﻿ / ﻿北緯36.8711833度 東経137.4928694度﻿ /36.8711833; 137.4928694﻿ (若栗駅)座標:北緯36度52分16.26秒東経137度29分34.33秒﻿ / ﻿北緯36.8711833度 東経137.4928694度﻿ /36.8711833; 137.4928694﻿ (若栗駅)","","","","T33","61人/日-2019年-","","","","","","",""
"若桜駅","若桜駅（わかさえき）","https://ja.wikipedia.org/wiki/若桜駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","若桜線","19.2 km（郡家起点）","若桜鉄道","1930年（昭和5年）12月1日","地上駅","1面1線","","直営駅","ワサ","","","249人/日-2018年-","","","","","","",""
"若狭有田駅","若狭有田駅（わかさありたえき）","https://ja.wikipedia.org/wiki/若狭有田駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度29分8.34秒東経135度52分5.94秒","■小浜線","35.4 km（敦賀起点）","西日本旅客鉄道（JR西日本）","1964年（昭和39年）6月20日[1]","地上駅","1面1線","福井県三方上中郡若狭町有田15-16北緯35度29分8.34秒東経135度52分5.94秒﻿ / ﻿北緯35.4856500度 東経135.8683167度﻿ /35.4856500; 135.8683167座標:北緯35度29分8.34秒東経135度52分5.94秒﻿ / ﻿北緯35.4856500度 東経135.8683167度﻿ /35.4856500; 135.8683167","無人駅","ワア","58人/日（降車客含まず）-2019年-","","","","","","","","",""
"若狭高浜駅","若狭高浜駅（わかさたかはまえき）","https://ja.wikipedia.org/wiki/若狭高浜駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度29分11.08秒東経135度32分51.05秒","■小浜線","68.9 km（敦賀起点）","西日本旅客鉄道（JR西日本）","1921年（大正10年）4月3日","地上駅","2面3線","福井県大飯郡高浜町宮崎77-2北緯35度29分11.08秒東経135度32分51.05秒﻿ / ﻿北緯35.4864111度 東経135.5475139度﻿ /35.4864111; 135.5475139座標:北緯35度29分11.08秒東経135度32分51.05秒﻿ / ﻿北緯35.4864111度 東経135.5475139度﻿ /35.4864111; 135.5475139","簡易委託駅みどりの窓口有","タハ","320人/日（降車客含まず）-2019年-","","","","","","","","",""
"若狭本郷駅","若狭本郷駅（わかさほんごうえき）","https://ja.wikipedia.org/wiki/若狭本郷駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度28分57.63秒東経135度37分9.51秒","■小浜線","61.8 km（敦賀起点）","西日本旅客鉄道（JR西日本）","1921年（大正10年）4月3日[1][2][3]","地上駅","2面2線","福井県大飯郡おおい町本郷153-1北緯35度28分57.63秒東経135度37分9.51秒﻿ / ﻿北緯35.4826750度 東経135.6193083度﻿ /35.4826750; 135.6193083座標:北緯35度28分57.63秒東経135度37分9.51秒﻿ / ﻿北緯35.4826750度 東経135.6193083度﻿ /35.4826750; 135.6193083","簡易委託駅みどりの窓口有","ホコ","281人/日（降車客含まず）-2019年-","","","","","","","","",""
"若狭和田駅","若狭和田駅（わかさわだえき）","https://ja.wikipedia.org/wiki/若狭和田駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度29分19.85秒東経135度34分52.14秒","■小浜線","65.7 km（敦賀起点）","西日本旅客鉄道（JR西日本）","1925年（大正14年）6月26日*","地上駅","1面1線","福井県大飯郡高浜町和田2-12北緯35度29分19.85秒東経135度34分52.14秒﻿ / ﻿北緯35.4888472度 東経135.5811500度﻿ /35.4888472; 135.5811500座標:北緯35度29分19.85秒東経135度34分52.14秒﻿ / ﻿北緯35.4888472度 東経135.5811500度﻿ /35.4888472; 135.5811500","簡易委託駅POS端末設置","ワワ","124人/日（降車客含まず）-2019年-","","","","","","","","",""
"和賀仙人駅","和賀仙人駅（わかせんにんえき）","https://ja.wikipedia.org/wiki/和賀仙人駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯39度18分30.87秒東経140度54分34.01秒","■北上線","20.3 km（北上起点）","東日本旅客鉄道（JR東日本）","1921年（大正10年）11月18日[1]","地上駅","1面2線","岩手県北上市和賀町仙人7地割18北緯39度18分30.87秒東経140度54分34.01秒座標:北緯39度18分30.87秒 東経140度54分34.01秒","無人駅","ニン","","","","","","","","","",""
"若葉駅","若葉駅（わかばえき）","https://ja.wikipedia.org/wiki/若葉駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度56分57秒東経139度24分32秒","■東上本線","38.9 km（池袋起点）","東武鉄道","1979年（昭和54年）4月2日","地上駅","1面2線","埼玉県坂戸市関間四丁目13-1北緯35度56分57秒東経139度24分32秒﻿ / ﻿北緯35.949125度 東経139.408756度﻿ /35.949125; 139.408756座標:北緯35度56分57秒東経139度24分32秒﻿ / ﻿北緯35.949125度 東経139.408756度﻿ /35.949125; 139.408756","業務委託駅","ワカ","","TJ25","38,038人/日-2019年-","","","","","","",""
"若葉台駅","若葉台駅（わかばだいえき）","https://ja.wikipedia.org/wiki/若葉台駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度37分9.5秒東経139度28分21秒","■相模原線","8.8 km（調布起点）新宿から24.3 km","京王電鉄","1974年（昭和49年）10月18日","高架・地平駅","2面4線（有効長210m）","川崎市麻生区黒川609番地北緯35度37分9.5秒東経139度28分21秒﻿ / ﻿北緯35.619306度 東経139.47250度﻿ /35.619306; 139.47250﻿ (若葉台駅)座標:北緯35度37分9.5秒東経139度28分21秒﻿ / ﻿北緯35.619306度 東経139.47250度﻿ /35.619306; 139.47250﻿ (若葉台駅)","若葉台検車区所在駅","","","KO39","26,954人/日-2019年-","","","","","","",""
"若葉町停留場","若葉町停留場（わかばまちていりゅうじょう）","https://ja.wikipedia.org/wiki/若葉町停留場","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯32度47分16.2秒東経129度51分42秒","本線（■1号系統・□2号系統・■3号系統）","0.6km（住吉起点）赤迫から0.8 km","長崎電気軌道","1952年（昭和27年）4月","地上駅","2面2線","長崎県長崎市若葉町4番21号先北緯32度47分16.2秒東経129度51分42秒﻿ / ﻿北緯32.787833度 東経129.86167度﻿ /32.787833; 129.86167﻿ (若葉町停留場)","","","","14","1,400人/日-2015年-","","","","","","",""
"若林駅 (愛知県)","若林駅 (愛知県)（わかばやしえき・名鉄三河線）","https://ja.wikipedia.org/wiki/若林駅_(愛知県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度1分35.8秒東経137度5分47.3秒","三河線","15.1km（猿投起点）知立から6.2 km","名古屋鉄道","1920年（大正9年）7月5日","地上駅","島式 1面2線","愛知県豊田市若林東町沖田37北緯35度1分35.8秒東経137度5分47.3秒﻿ / ﻿北緯35.026611度 東経137.096472度﻿ /35.026611; 137.096472座標:北緯35度1分35.8秒東経137度5分47.3秒﻿ / ﻿北緯35.026611度 東経137.096472度﻿ /35.026611; 137.096472","無人駅（駅集中管理システム導入駅）","","","MY  03 ","6,224人/日-2019年[1]-","","","","","","",""
"若林駅 (東京都)","若林駅 (東京都)（わかばやしえき・東急世田谷線）","https://ja.wikipedia.org/wiki/若林駅_(東京都)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度38分45.6秒東経139度39分35.6秒","■世田谷線","0.9 km（三軒茶屋起点）","東急電鉄","1925年（大正14年）1月18日","地上駅","2面2線","東京都世田谷区若林4-3-15北緯35度38分45.6秒東経139度39分35.6秒﻿ / ﻿北緯35.646000度 東経139.659889度﻿ /35.646000; 139.659889座標:北緯35度38分45.6秒東経139度39分35.6秒﻿ / ﻿北緯35.646000度 東経139.659889度﻿ /35.646000; 139.659889","","","","SG03","","","","","","","",""
"若松駅","若松駅（わかまつえき）","https://ja.wikipedia.org/wiki/若松駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯33度54分4.01秒東経130度48分22.71秒","JE筑豊本線（若松線）","0.0 km（若松起点）","九州旅客鉄道（JR九州）","1891年（明治24年）8月30日[1][2]","地上駅","1面2線[1]","北九州市若松区白山[1]一丁目18-1北緯33度54分4.01秒東経130度48分22.71秒﻿ / ﻿北緯33.9011139度 東経130.8063083度﻿ /33.9011139; 130.8063083﻿ (若松駅)","駅集中管理システム（Smart Support Station）採用のため無人駅[注 1]北九州市内駅","ワカ","1,146人/日（降車客含まず）-2019年-","JE  06 ","","","","","","","",""
"若松河田駅","若松河田駅（わかまつかわだえき）","https://ja.wikipedia.org/wiki/若松河田駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度41分57.3秒東経139度43分5.5秒","●[1]大江戸線","3.2 km（都庁前起点）","東京都交通局（都営地下鉄）","2000年（平成12年）12月12日","地下駅","1面2線","東京都新宿区河田町10-10北緯35度41分57.3秒東経139度43分5.5秒﻿ / ﻿北緯35.699250度 東経139.718194度﻿ /35.699250; 139.718194座標:北緯35度41分57.3秒東経139度43分5.5秒﻿ / ﻿北緯35.699250度 東経139.718194度﻿ /35.699250; 139.718194","","若（駅名略称）","","E03[1]","32,326人/日-2019年-","","","","","","",""
"若宮駅","若宮駅（わかみやえき）","https://ja.wikipedia.org/wiki/若宮駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯37度32分6.9秒東経139度49分41.8秒","■只見線","18.9 km（会津若松起点）","東日本旅客鉄道（JR東日本）","1934年（昭和9年）11月1日","地上駅","1面1線","福島県河沼郡会津坂下町大字五ノ併北緯37度32分6.9秒東経139度49分41.8秒﻿ / ﻿北緯37.535250度 東経139.828278度﻿ /37.535250; 139.828278座標:北緯37度32分6.9秒東経139度49分41.8秒﻿ / ﻿北緯37.535250度 東経139.828278度﻿ /37.535250; 139.828278","無人駅","ワミ","14人/日（降車客含まず）-2004年-","","","","","","","","",""
"和歌山駅","和歌山駅（わかやまえき）","https://ja.wikipedia.org/wiki/和歌山駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度13分55.55秒東経135度11分28.29秒","W紀勢本線（JR西日本）（当駅より宮前方は「きのくに線」）","380.9km（亀山起点）新宮から200.7 km","西日本旅客鉄道（JR西日本）和歌山電鐵**","1924年（大正13年）2月28日[1]","地上駅","5面8線","和歌山県和歌山市美園町五丁目61北緯34度13分55.55秒東経135度11分28.29秒﻿ / ﻿北緯34.2320972度 東経135.1911917度﻿ /34.2320972; 135.1911917座標:北緯34度13分55.55秒東経135度11分28.29秒﻿ / ﻿北緯34.2320972度 東経135.1911917度﻿ /34.2320972; 135.1911917","共同使用駅JR西日本：直営駅（管理駅）JR西日本：みどりの窓口有*1968年に東和歌山駅から改称。** 貴志川線ホームに中間改札有。","ワカ","（JR西日本）18,258人/日（降車客含まず）-2019年-","JR-R54","（和歌山電鐵）4,346人/日-2019年-","","","","","","",""
"和歌山港駅","和歌山港駅（わかやまこうえき）","https://ja.wikipedia.org/wiki/和歌山港駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度13分2.6秒東経135度8分45.9秒","■和歌山港線","2.8km（和歌山市起点）難波から67.0 km","南海電気鉄道","1971年（昭和46年）3月6日","地上駅（築堤上）","1面2線","和歌山県和歌山市薬種畑北緯34度13分2.6秒東経135度8分45.9秒﻿ / ﻿北緯34.217389度 東経135.146083度﻿ /34.217389; 135.146083座標:北緯34度13分2.6秒東経135度8分45.9秒﻿ / ﻿北緯34.217389度 東経135.146083度﻿ /34.217389; 135.146083","無人駅","ワカコ","","NK 45-1","478人/日-2019年-","南海フェリー","","","","","",""
"和歌山市駅","和歌山市駅（わかやましえき）","https://ja.wikipedia.org/wiki/和歌山市駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","","","南海電気鉄道（南海・駅詳細）西日本旅客鉄道（JR西日本・駅詳細）","","","","和歌山県和歌山市","","","","","","","","","","","",""
"和歌山大学前駅","和歌山大学前駅（わかやまだいがくまええき）","https://ja.wikipedia.org/wiki/和歌山大学前駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度16分34.7秒東経135度8分49.5秒","■南海本線[1][2]","58.0 km（難波起点）","南海電気鉄道[1][2]","2012年（平成24年）4月1日[1][2]","地上駅（橋上駅舎）[1]","2面2線[3]","和歌山県和歌山市中575番地3北緯34度16分34.7秒東経135度8分49.5秒﻿ / ﻿北緯34.276306度 東経135.147083度﻿ /34.276306; 135.147083座標:北緯34度16分34.7秒東経135度8分49.5秒﻿ / ﻿北緯34.276306度 東経135.147083度﻿ /34.276306; 135.147083","","","","NK 43","9,659人/日-2019年-","","","","","","",""
"和木駅","和木駅（わきえき）","https://ja.wikipedia.org/wiki/和木駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度12分14.89秒東経132度13分39.49秒","R山陽本線","342.3 km（神戸起点）","西日本旅客鉄道（JR西日本）","2008年（平成20年）3月15日","地上駅","2面2線","山口県玖珂郡和木町和木四丁目1-1北緯34度12分14.89秒東経132度13分39.49秒﻿ / ﻿北緯34.2041361度 東経132.2276361度﻿ /34.2041361; 132.2276361座標:北緯34度12分14.89秒東経132度13分39.49秒﻿ / ﻿北緯34.2041361度 東経132.2276361度﻿ /34.2041361; 132.2276361","簡易委託駅POS端末設置","ワキ","1,008人/日（降車客含まず）-2019年-","JR-R15","","","","","","","",""
"掖上駅","掖上駅（わきがみえき）","https://ja.wikipedia.org/wiki/掖上駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度27分9秒東経135度45分46.8秒","T和歌山線","20.9 km（王寺起点）","西日本旅客鉄道（JR西日本）","1896年（明治29年）5月10日[1]","地上駅","2面2線","奈良県御所市柏原上方723北緯34度27分9秒東経135度45分46.8秒﻿ / ﻿北緯34.45250度 東経135.763000度﻿ /34.45250; 135.763000座標:北緯34度27分9秒東経135度45分46.8秒﻿ / ﻿北緯34.45250度 東経135.763000度﻿ /34.45250; 135.763000","無人駅（自動券売機 有）*1903年から1940年は壺阪駅","ワキ","132人/日（降車客含まず）-2018年-","","","","","","","","",""
"脇田停留場","脇田停留場（わきだていりゅうじょう）","https://ja.wikipedia.org/wiki/脇田停留場","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯31度32分38.39秒東経130度32分15.16秒","鹿児島市電谷山線（1系統）","4.3km（武之橋起点）鹿児島駅前から7.3 km","鹿児島市交通局","1912年12月1日","地上駅","2面2線","鹿児島県鹿児島市宇宿三丁目北緯31度32分38.39秒東経130度32分15.16秒﻿ / ﻿北緯31.5439972度 東経130.5375444度﻿ /31.5439972; 130.5375444﻿ (脇田停留場)","","","","●I22","2,492人/日-2015年-","","","","","","",""
"脇ノ沢駅","脇ノ沢駅（わきのさわえき）","https://ja.wikipedia.org/wiki/脇ノ沢駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■大船渡線BRT","26.3km（気仙沼起点）一ノ関から88.3 km","東日本旅客鉄道（JR東日本）","2013年（平成25年）3月2日*","地上駅","","","無人駅","ワサ","25人/日（降車客含まず）-2019年-","","","","","","","","",""
"脇本駅","脇本駅（わきもとえき）","https://ja.wikipedia.org/wiki/脇本駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯39度54分54秒東経139度54分10.7秒","■男鹿線","18.9km（追分起点）秋田から31.9 km","東日本旅客鉄道（JR東日本）","1914年（大正3年）11月8日","地上駅","1面2線","秋田県男鹿市脇本脇本字曲田13-2北緯39度54分54秒東経139度54分10.7秒﻿ / ﻿北緯39.91500度 東経139.902972度﻿ /39.91500; 139.902972座標:北緯39度54分54秒東経139度54分10.7秒﻿ / ﻿北緯39.91500度 東経139.902972度﻿ /39.91500; 139.902972","無人駅","ワモ","205人/日（降車客含まず）-2009年-","","","","","","","","",""
"涌谷駅","涌谷駅（わくやえき）","https://ja.wikipedia.org/wiki/涌谷駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯38度32分17.34秒東経141度7分38.02秒","■石巻線（■気仙沼線直通含む）","6.2 km（小牛田起点）","東日本旅客鉄道（JR東日本）","1912年（大正元年）10月28日[1]","地上駅","2面2線[1]","宮城県遠田郡涌谷町字新町裏124北緯38度32分17.34秒東経141度7分38.02秒座標:北緯38度32分17.34秒 東経141度7分38.02秒","無人駅（自動券売機 有）[2]","クヤ","507人/日（降車客含まず）-2019年-","","","","","","","","",""
"和倉温泉駅","和倉温泉駅（わくらおんせんえき）","https://ja.wikipedia.org/wiki/和倉温泉駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯37度4分30.10秒東経136度55分31.73秒","■七尾線**（JR西日本）","59.5 km（津幡起点）金沢から71.0 km","西日本旅客鉄道（JR西日本）のと鉄道","1925年（大正14年）12月15日[2]","地上駅","2面2線[1]","石川県七尾市石崎町タ55-3北緯37度4分30.10秒東経136度55分31.73秒﻿ / ﻿北緯37.0750278度 東経136.9254806度﻿ /37.0750278; 136.9254806座標:北緯37度4分30.10秒東経136度55分31.73秒﻿ / ﻿北緯37.0750278度 東経136.9254806度﻿ /37.0750278; 136.9254806","共同使用駅（JR西日本の管轄駅）直営駅","ワク","（JR西日本）438人/日（のと鉄道）200人/日（降車客含まず）-2019年-","","","","","","","","",""
"和気駅","和気駅（わけえき）","https://ja.wikipedia.org/wiki/和気駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度47分50.32秒東経134度9分9.42秒","S山陽本線","114.8 km（神戸起点）","西日本旅客鉄道（JR西日本）","1891年（明治24年）3月18日","地上駅","2面3線","岡山県和気郡和気町福富572-9北緯34度47分50.32秒東経134度9分9.42秒﻿ / ﻿北緯34.7973111度 東経134.1526167度﻿ /34.7973111; 134.1526167座標:北緯34度47分50.32秒東経134度9分9.42秒﻿ / ﻿北緯34.7973111度 東経134.1526167度﻿ /34.7973111; 134.1526167","直営駅みどりの券売機プラス設置駅[1]","ワケ","1,355人/日（降車客含まず）-2019年-","JR-S09","","","","","","","",""
"和光市駅","和光市駅（わこうしえき）","https://ja.wikipedia.org/wiki/和光市駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度47分18.5秒東経139度36分45秒","■東武東上本線[1][注釈 2]","12.5 km（池袋起点）","東武鉄道（東武）[2]東京地下鉄（東京メトロ）[3]","1934年（昭和9年）2月1日[2]","高架駅","2面4線[4]","埼玉県和光市本町4-6[1]北緯35度47分18.5秒東経139度36分45秒﻿ / ﻿北緯35.788472度 東経139.61250度﻿ /35.788472; 139.61250座標:北緯35度47分18.5秒東経139度36分45秒﻿ / ﻿北緯35.788472度 東経139.61250度﻿ /35.788472; 139.61250","共同使用駅（東武鉄道の管轄駅）","ワコ","","TJ11[1]","（東武）176,577[1][注釈 1]人/日（東京メトロ）185,865[注釈 1]人/日-2017年-","","","","","","",""
"和佐駅","和佐駅（わさえき）","https://ja.wikipedia.org/wiki/和佐駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","W紀勢本線（きのくに線）","320.4km（亀山起点）新宮から140.2 km","西日本旅客鉄道（JR西日本）","1930年（昭和5年）12月14日[1]","地上駅","2面3線","","無人駅","ワサ","72人/日（降車客含まず）-2019年-","","","","","","","","",""
"和食駅","和食駅（わじきえき）","https://ja.wikipedia.org/wiki/和食駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯33度31分4.18秒東経133度48分34.84秒","■ごめん・なはり線","18.2 km（後免起点）","土佐くろしお鉄道（TKT）","2002年（平成14年）7月1日","高架駅","2面2線","高知県安芸郡芸西村和食甲北緯33度31分4.18秒東経133度48分34.84秒","無人駅","ワシ","","○GN31","201[1]人/日-2019年-","","","","","","",""
"鷲津駅","鷲津駅（わしづえき）","https://ja.wikipedia.org/wiki/鷲津駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度43分0.87秒東経137度32分45.05秒","CA東海道本線（静岡地区）","276.6 km（東京起点）","東海旅客鉄道（JR東海）","1888年（明治21年）9月1日[1]","地上駅","2面3線","静岡県湖西市鷲津1295-14北緯34度43分0.87秒東経137度32分45.05秒","駅長配置駅（管理駅）JR全線きっぷうりば有","ワシ","3,390人/日（降車客含まず）-2019年-","CA  39 ","","","","","","","",""
"鷲塚針原駅","鷲塚針原駅（わしづかはりばらえき）","https://ja.wikipedia.org/wiki/鷲塚針原駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度7分14秒東経136度12分17.5秒","■三国芦原線","8.1km（福井口起点）福井から9.6km越前武生から26.9 km","えちぜん鉄道","1928年（昭和3年）12月30日[1]","地上駅","2面3線","福井県福井市川合鷲塚町33-46北緯36度7分14秒東経136度12分17.5秒﻿ / ﻿北緯36.12056度 東経136.204861度﻿ /36.12056; 136.204861座標:北緯36度7分14秒東経136度12分17.5秒﻿ / ﻿北緯36.12056度 東経136.204861度﻿ /36.12056; 136.204861","無人駅","","","○E32","293人/日-2018年-","","","","","","",""
"鷲宮駅","鷲宮駅（わしのみやえき）","https://ja.wikipedia.org/wiki/鷲宮駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度5分47.22秒東経139度39分25.07秒","■伊勢崎線","52.1 km（浅草起点）","東武鉄道","1902年（明治35年）9月6日","地上駅（橋上駅）","2面2線","埼玉県久喜市鷲宮中央一丁目1-17北緯36度5分47.22秒東経139度39分25.07秒﻿ / ﻿北緯36.0964500度 東経139.6569639度﻿ /36.0964500; 139.6569639﻿ (鷲宮駅*)座標:北緯36度5分47.22秒東経139度39分25.07秒﻿ / ﻿北緯36.0964500度 東経139.6569639度﻿ /36.0964500; 139.6569639﻿ (鷲宮駅*)","1955年鷲ノ宮駅から改称。業務委託駅","ワシ","","TI03","6,723人/日-2019年-","","","","","","",""
"鷲別駅","鷲別駅（わしべつえき）","https://ja.wikipedia.org/wiki/鷲別駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯42度21分35.27秒東経141度2分34.73秒","■室蘭本線","79.1 km（長万部起点）","北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）","1901年（明治34年）12月1日","地上駅","2面2線[1][2]","北海道登別市鷲別町2丁目北緯42度21分35.27秒東経141度2分34.73秒﻿ / ﻿北緯42.3597972度 東経141.0429806度﻿ /42.3597972; 141.0429806﻿ (鷲別駅)","無人駅","ワヘ","413人/日（降車客含まず）-2014年-","○H31","","","","","","","",""
"和白駅","和白駅（わじろえき）","https://ja.wikipedia.org/wiki/和白駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","","","九州旅客鉄道（JR九州・駅詳細）西日本鉄道（西鉄・駅詳細）","","","","福岡市東区和白三丁目","","","","","","","","","","","",""
"早稲田駅","早稲田駅（わせだえき・東京地下鉄東西線）","https://ja.wikipedia.org/wiki/早稲田駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度42分21秒東経139度43分16.7秒","●[1]東西線","5.6 km（中野起点）","東京地下鉄（東京メトロ）","1964年（昭和39年）12月23日","地下駅","2面2線","東京都新宿区早稲田南町12北緯35度42分21秒東経139度43分16.7秒﻿ / ﻿北緯35.70583度 東経139.721306度﻿ /35.70583; 139.721306座標:北緯35度42分21秒東経139度43分16.7秒﻿ / ﻿北緯35.70583度 東経139.721306度﻿ /35.70583; 139.721306","","ワセ","","T04[1]","81,284人/日-2019年-","","","","","","",""
"早稲田停留場","早稲田停留場（わせだていりゅうじょう・都電荒川線）","https://ja.wikipedia.org/wiki/早稲田停留場","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度42分42.6秒東経139度43分8秒","都電荒川線（東京さくらトラム）","12.2 km（三ノ輪橋起点）","東京都交通局","1930年（昭和5年）3月30日","地上駅","2面1線 （頭端式ホーム）","東京都新宿区西早稲田一丁目北緯35度42分42.6秒東経139度43分8秒﻿ / ﻿北緯35.711833度 東経139.71889度﻿ /35.711833; 139.71889座標:北緯35度42分42.6秒東経139度43分8秒﻿ / ﻿北緯35.711833度 東経139.71889度﻿ /35.711833; 139.71889","","","","SA30","3,179[1]人/日-2019年-","","","","","","",""
"和田駅","和田駅（わだえき）","https://ja.wikipedia.org/wiki/和田駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯39度39分3.2秒東経140度13分4.1秒","■奥羽本線","285.4 km（福島起点）","東日本旅客鉄道（JR東日本）","1903年（明治36年）10月1日[1]","地上駅（橋上駅）","2面2線","秋田県秋田市河辺和田字上中野129北緯39度39分3.2秒東経140度13分4.1秒座標:北緯39度39分3.2秒 東経140度13分4.1秒","簡易委託駅","ワタ","291人/日（降車客含まず）-2019年-","","","","","","","","",""
