"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","駅数","開業","標高","標高差"
"越前新保駅","越前新保駅（えちぜんしんぼえき）","https://ja.wikipedia.org/wiki/越前新保駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度4分49.5秒東経136度15分4.5秒","■勝山永平寺線","3.4 km（福井起点）","えちぜん鉄道","1916年（大正5年）4月11日[1]","地上駅","福井県福井市新保2丁目608北緯36度4分49.5秒東経136度15分4.5秒﻿ / ﻿北緯36.080417度 東経136.251250度﻿ /36.080417; 136.251250座標:北緯36度4分49.5秒東経136度15分4.5秒﻿ / ﻿北緯36.080417度 東経136.251250度﻿ /36.080417; 136.251250","1面2線","有人駅","","","○E5","532人/日-2018年-","","","","","","",""
"越前高田駅","越前高田駅（えちぜんたかだえき）","https://ja.wikipedia.org/wiki/越前高田駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度1分29.27秒東経136度19分7.65秒","■越美北線（九頭竜線）","11.4km（越前花堂起点）福井から14.0 km","西日本旅客鉄道（JR西日本）","1964年（昭和39年）5月20日","地上駅","福井県福井市高田町29上大道上1北緯36度1分29.27秒東経136度19分7.65秒﻿ / ﻿北緯36.0247972度 東経136.3187917度﻿ /36.0247972; 136.3187917座標:北緯36度1分29.27秒東経136度19分7.65秒﻿ / ﻿北緯36.0247972度 東経136.3187917度﻿ /36.0247972; 136.3187917","1面1線","無人駅","タタ","4人/日（降車客含まず）-2017年-","","","","","","","","",""
"越前竹原駅","越前竹原駅（えちぜんたけはらえき）","https://ja.wikipedia.org/wiki/越前竹原駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度4分26.5秒東経136度24分47秒","■勝山永平寺線","19.3 km（福井起点）","えちぜん鉄道","1914年（大正3年）2月11日","地上駅","福井県吉田郡永平寺町竹原2-11-4北緯36度4分26.5秒東経136度24分47秒﻿ / ﻿北緯36.074028度 東経136.41306度﻿ /36.074028; 136.41306座標:北緯36度4分26.5秒東経136度24分47秒﻿ / ﻿北緯36.074028度 東経136.41306度﻿ /36.074028; 136.41306","1面2線","無人駅","","","○E18","107人/日-2019年-","","","","","","",""
"越前武生駅","越前武生駅（えちぜんたけふえき）","https://ja.wikipedia.org/wiki/越前武生駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度54分22秒東経136度10分13秒","福武線","0.0 km（越前武生起点）","福井鉄道","1924年（大正13年）2月23日[1][2]","地上駅","福井県越前市府中三丁目北緯35度54分22秒東経136度10分13秒﻿ / ﻿北緯35.90611度 東経136.17028度﻿ /35.90611; 136.17028座標:北緯35度54分22秒東経136度10分13秒﻿ / ﻿北緯35.90611度 東経136.17028度﻿ /35.90611; 136.17028","2面3線","有人駅*2010年（平成22年）3月25日に武生新駅から改称","","","○F0","481人/日-2019年-","","","","","","",""
"越前田野駅","越前田野駅（えちぜんたのえき）","https://ja.wikipedia.org/wiki/越前田野駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度59分13.38秒東経136度31分36.06秒","■越美北線（九頭竜線）","34.3km（越前花堂起点）福井から36.9 km","西日本旅客鉄道（JR西日本）","1964年（昭和39年）5月20日","地上駅","福井県大野市田野17字村下81北緯35度59分13.38秒東経136度31分36.06秒﻿ / ﻿北緯35.9870500度 東経136.5266833度﻿ /35.9870500; 136.5266833座標:北緯35度59分13.38秒東経136度31分36.06秒﻿ / ﻿北緯35.9870500度 東経136.5266833度﻿ /35.9870500; 136.5266833","1面1線","無人駅","タノ","0人/日（降車客含まず）-2017年-","","","","","","","","",""
"越前東郷駅","越前東郷駅（えちぜんとうごうえき）","https://ja.wikipedia.org/wiki/越前東郷駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度1分5.35秒東経136度16分26.48秒","■越美北線（九頭竜線）","5.7km（越前花堂起点）福井から8.3 km","西日本旅客鉄道（JR西日本）","1960年（昭和35年）12月15日","地上駅","福井県福井市東郷二ケ町34-4北緯36度1分5.35秒東経136度16分26.48秒﻿ / ﻿北緯36.0181528度 東経136.2740222度﻿ /36.0181528; 136.2740222座標:北緯36度1分5.35秒東経136度16分26.48秒﻿ / ﻿北緯36.0181528度 東経136.2740222度﻿ /36.0181528; 136.2740222","1面1線","無人駅","エト","85人/日（降車客含まず）-2017年-","","","","","","","","",""
"越前富田駅","越前富田駅（えちぜんとみだえき）","https://ja.wikipedia.org/wiki/越前富田駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度59分28.44秒東経136度32分28.25秒","■越美北線（九頭竜線）","35.7km（越前花堂起点）福井から38.3 km","西日本旅客鉄道（JR西日本）","1960年（昭和35年）12月15日","地上駅","福井県大野市上野37字十月田1-6北緯35度59分28.44秒東経136度32分28.25秒﻿ / ﻿北緯35.9912333度 東経136.5411806度﻿ /35.9912333; 136.5411806座標:北緯35度59分28.44秒東経136度32分28.25秒﻿ / ﻿北緯35.9912333度 東経136.5411806度﻿ /35.9912333; 136.5411806","1面1線","無人駅","エタ","4人/日（降車客含まず）-2017年-","","","","","","","","",""
"越前野中駅","越前野中駅（えちぜんのなかえき）","https://ja.wikipedia.org/wiki/越前野中駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度4分58秒東経136度22分37秒","■勝山永平寺線","15.7 km（福井起点）","えちぜん鉄道","1950年(昭和25年)8月15日","地上駅","福井県吉田郡永平寺町野中1-11-4北緯36度4分58秒東経136度22分37秒﻿ / ﻿北緯36.08278度 東経136.37694度﻿ /36.08278; 136.37694座標:北緯36度4分58秒東経136度22分37秒﻿ / ﻿北緯36.08278度 東経136.37694度﻿ /36.08278; 136.37694","1面1線","無人駅","","","○E16","41人/日-2019年-","","","","","","",""
"越前花堂駅","越前花堂駅（えちぜんはなんどうえき）","https://ja.wikipedia.org/wiki/越前花堂駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度2分20秒東経136度13分5秒","■越美北線（九頭竜線）","0.0km（越前花堂起点）福井から2.6 km","西日本旅客鉄道（JR西日本）","1960年（昭和35年）12月15日","地上駅","福井県福井市花堂中一丁目1-12北緯36度2分20秒東経136度13分5秒﻿ / ﻿北緯36.03889度 東経136.21806度﻿ /36.03889; 136.21806座標:北緯36度2分20秒東経136度13分5秒﻿ / ﻿北緯36.03889度 東経136.21806度﻿ /36.03889; 136.21806","3面3線","無人駅（自動券売機 有）平日朝のみ係員配置駅","エハ","476人/日（降車客含まず）-2017年-","","","","","","","","",""
"越前薬師駅","越前薬師駅（えちぜんやくしえき）","https://ja.wikipedia.org/wiki/越前薬師駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度0分19.14秒東経136度23分3.34秒","■越美北線（九頭竜線）","19.5km（越前花堂起点）福井から22.1 km","西日本旅客鉄道（JR西日本）","1960年（昭和35年）12月15日","地上駅","福井県福井市薬師町30比紋谷12-2北緯36度0分19.14秒東経136度23分3.34秒﻿ / ﻿北緯36.0053167度 東経136.3842611度﻿ /36.0053167; 136.3842611座標:北緯36度0分19.14秒東経136度23分3.34秒﻿ / ﻿北緯36.0053167度 東経136.3842611度﻿ /36.0053167; 136.3842611","1面1線","無人駅","ヤク","2人/日（降車客含まず）-2017年-","","","","","","","","",""
"越中泉駅","越中泉駅（えっちゅういずみえき）","https://ja.wikipedia.org/wiki/越中泉駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度41分59.66秒東経137度19分38.08秒","■本線","10.5 km（電鉄富山起点）","富山地方鉄道","1931年（昭和6年）8月15日","地上駅","富山県中新川郡立山町泉北緯36度41分59.66秒東経137度19分38.08秒﻿ / ﻿北緯36.6999056度 東経137.3272444度﻿ /36.6999056; 137.3272444﻿ (越中泉駅)座標:北緯36度41分59.66秒東経137度19分38.08秒﻿ / ﻿北緯36.6999056度 東経137.3272444度﻿ /36.6999056; 137.3272444﻿ (越中泉駅)","単式1面1線","無人駅","","","T09","68人/日-2019年-","","","","","","",""
"越中荏原駅","越中荏原駅（えっちゅうえばらえき）","https://ja.wikipedia.org/wiki/越中荏原駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度41分56.64秒東経137度15分56.04秒","■本線","4.7 km（電鉄富山起点）","富山地方鉄道","1931年（昭和6年）11月7日","地上駅","富山県富山市向新庄町2丁目13番7号北緯36度41分56.64秒東経137度15分56.04秒﻿ / ﻿北緯36.6990667度 東経137.2655667度﻿ /36.6990667; 137.2655667﻿ (越中荏原駅)座標:北緯36度41分56.64秒東経137度15分56.04秒﻿ / ﻿北緯36.6990667度 東経137.2655667度﻿ /36.6990667; 137.2655667﻿ (越中荏原駅)","島式1面2線","直営駅","","1,015人/日（降車客含まず）-2019年-","T05","2,028人/日-2019年-","","","","","","",""
"越中国分駅","越中国分駅（えっちゅうこくぶえき）","https://ja.wikipedia.org/wiki/越中国分駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度48分19.20秒東経137度3分2.34秒","■氷見線","9.0 km（高岡起点）","西日本旅客鉄道（JR西日本）","1953年（昭和28年）7月1日","地上駅","富山県高岡市伏木国分二丁目44北緯36度48分19.20秒東経137度3分2.34秒﻿ / ﻿北緯36.8053333度 東経137.0506500度﻿ /36.8053333; 137.0506500座標:北緯36度48分19.20秒東経137度3分2.34秒﻿ / ﻿北緯36.8053333度 東経137.0506500度﻿ /36.8053333; 137.0506500","1面1線","無人駅","エコ","293人/日（降車客含まず）-2019年-","","","","","","","","",""
"越中三郷駅","越中三郷駅（えっちゅうさんごうえき）","https://ja.wikipedia.org/wiki/越中三郷駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度42分12.3秒東経137度17分28.8秒","■本線","7.0 km（電鉄富山起点）","富山地方鉄道","1931年（昭和6年）8月15日","地上駅","富山県富山市水橋開発460-1北緯36度42分12.3秒東経137度17分28.8秒﻿ / ﻿北緯36.703417度 東経137.291333度﻿ /36.703417; 137.291333座標:北緯36度42分12.3秒東経137度17分28.8秒﻿ / ﻿北緯36.703417度 東経137.291333度﻿ /36.703417; 137.291333","相対式2面2線","無人駅","","219人/日（降車客含まず）-2019年-","T06","522人/日-2019年-","","","","","","",""
"越中島駅","越中島駅（えっちゅうじまえき）","https://ja.wikipedia.org/wiki/越中島駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度40分4.6秒東経139度47分33.7秒","■京葉線（■武蔵野線直通含む）","2.8 km（東京起点）","東日本旅客鉄道（JR東日本）","1990年（平成2年）3月10日[1]","地下駅","東京都江東区越中島二丁目2-14北緯35度40分4.6秒東経139度47分33.7秒﻿ / ﻿北緯35.667944度 東経139.792694度﻿ /35.667944; 139.792694﻿ (越中島駅*)座標:北緯35度40分4.6秒東経139度47分33.7秒﻿ / ﻿北緯35.667944度 東経139.792694度﻿ /35.667944; 139.792694﻿ (越中島駅*)","1面2線","業務委託駅[2]東京都区内駅","エマ","5,910人/日（降車客含まず）-2019年-","JE03","","","","","","","",""
"越中島貨物駅","越中島貨物駅（えっちゅうじまかもつえき）","https://ja.wikipedia.org/wiki/越中島貨物駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度39分43.8秒東経139度48分59秒","総武本線貨物支線（越中島支線）","11.7 km（小岩起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","1958年（昭和33年）11月10日[1]","地上駅","東京都江東区塩浜二丁目18-3北緯35度39分43.8秒東経139度48分59秒﻿ / ﻿北緯35.662167度 東経139.81639度﻿ /35.662167; 139.81639座標:北緯35度39分43.8秒東経139度48分59秒﻿ / ﻿北緯35.662167度 東経139.81639度﻿ /35.662167; 139.81639","","","エカ","","","","","","","","","",""
"越中大門駅","越中大門駅（えっちゅうだいもんえき）","https://ja.wikipedia.org/wiki/越中大門駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度44分3.70秒東経137度3分16.92秒","■あいの風とやま鉄道線","26.5 km（倶利伽羅起点）金沢から44.3 km米原から220.9 km","あいの風とやま鉄道[1]日本貨物鉄道（JR貨物）","1923年（大正12年）10月15日","地上駅","富山県射水市北野1442北緯36度44分3.70秒東経137度3分16.92秒﻿ / ﻿北緯36.7343611度 東経137.0547000度﻿ /36.7343611; 137.0547000座標:北緯36度44分3.70秒東経137度3分16.92秒﻿ / ﻿北緯36.7343611度 東経137.0547000度﻿ /36.7343611; 137.0547000","2面3線","業務委託駅","エモ","1,031人/日（降車客含まず）-2019年-","","","","","","","","",""
"越中中川駅","越中中川駅（えっちゅうなかがわえき）","https://ja.wikipedia.org/wiki/越中中川駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度44分58.63秒東経137度1分39.75秒","■氷見線","1.7 km（高岡起点）","西日本旅客鉄道（JR西日本）","1916年（大正5年）4月1日","地上駅","富山県高岡市中川一丁目2北緯36度44分58.63秒東経137度1分39.75秒﻿ / ﻿北緯36.7496194度 東経137.0277083度﻿ /36.7496194; 137.0277083座標:北緯36度44分58.63秒東経137度1分39.75秒﻿ / ﻿北緯36.7496194度 東経137.0277083度﻿ /36.7496194; 137.0277083","1面1線","簡易委託駅POS端末設置*1920年に中川駅から改称。","エツ","1,331人/日（降車客含まず）-2019年-","","","","","","","","",""
"越中中島駅","越中中島駅（えっちゅうなかじまえき）","https://ja.wikipedia.org/wiki/越中中島駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度43分21.2秒東経137度13分29.5秒","■富山港線","3.3 km（富山駅起点）","富山地方鉄道","2006年4月29日","地上駅","富山県富山市中島北緯36度43分21.2秒東経137度13分29.5秒﻿ / ﻿北緯36.722556度 東経137.224861度﻿ /36.722556; 137.224861﻿ (越中中島駅)座標:北緯36度43分21.2秒東経137度13分29.5秒﻿ / ﻿北緯36.722556度 東経137.224861度﻿ /36.722556; 137.224861﻿ (越中中島駅)","2面1線","旧駅は1924年7月23日開業、2006年3月1日廃止","エナ（転換前）","","C32","199[1]人/日-2019年-","","","","","","",""
"越中中村駅","越中中村駅（えっちゅうなかむらえき）","https://ja.wikipedia.org/wiki/越中中村駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度47分26.24秒東経137度22分57.2秒","■本線","25.6 km（電鉄富山起点）","富山地方鉄道","1935年（昭和10年）12月14日","地上駅","富山県滑川市中村319-1北緯36度47分26.24秒東経137度22分57.2秒﻿ / ﻿北緯36.7906222度 東経137.382556度﻿ /36.7906222; 137.382556﻿ (越中中村駅)座標:北緯36度47分26.24秒東経137度22分57.2秒﻿ / ﻿北緯36.7906222度 東経137.382556度﻿ /36.7906222; 137.382556﻿ (越中中村駅)","単式1面1線","","","","T21","8人/日-2018年-","","","","","","",""
"越中舟橋駅","越中舟橋駅（えっちゅうふなはしえき）","https://ja.wikipedia.org/wiki/越中舟橋駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度42分20.66秒東経137度18分23.74秒","■本線","8.5 km（電鉄富山起点）","富山地方鉄道","1931年（昭和6年）8月15日","地上駅","富山県中新川郡舟橋村竹内602北緯36度42分20.66秒東経137度18分23.74秒﻿ / ﻿北緯36.7057389度 東経137.3065944度﻿ /36.7057389; 137.3065944﻿ (越中舟橋駅)座標:北緯36度42分20.66秒東経137度18分23.74秒﻿ / ﻿北緯36.7057389度 東経137.3065944度﻿ /36.7057389; 137.3065944﻿ (越中舟橋駅)","相対式2面2線","土・休日無人駅","","","T07","616人/日-2018年-","","","","","","",""
"越中宮崎駅","越中宮崎駅（えっちゅうみやざきえき）","https://ja.wikipedia.org/wiki/越中宮崎駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度58分26.07秒東経137度35分57.56秒","■あいの風とやま鉄道線（■えちごトキめき鉄道日本海ひすいライン直通含む）","95.4 km（倶利伽羅起点）泊から4.7 km米原から289.8 km","あいの風とやま鉄道[2]","1957年（昭和32年）11月20日","地上駅","富山県下新川郡朝日町宮崎字横田3239北緯36度58分26.07秒東経137度35分57.56秒﻿ / ﻿北緯36.9739083度 東経137.5993222度﻿ /36.9739083; 137.5993222座標:北緯36度58分26.07秒東経137度35分57.56秒﻿ / ﻿北緯36.9739083度 東経137.5993222度﻿ /36.9739083; 137.5993222","1面2線","無人駅（自動券売機 有）","ミヤ","83人/日（降車客含まず）-2019年-","","","","","","","","",""
"越中八尾駅","越中八尾駅（えっちゅうやつおえき）","https://ja.wikipedia.org/wiki/越中八尾駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度35分28.91秒東経137度8分18.44秒","■高山本線","208.7km（岐阜起点）猪谷から19.5 km","西日本旅客鉄道（JR西日本）","1927年（昭和2年）9月1日","地上駅","富山県富山市八尾町福島50北緯36度35分28.91秒東経137度8分18.44秒﻿ / ﻿北緯36.5913639度 東経137.1384556度﻿ /36.5913639; 137.1384556座標:北緯36度35分28.91秒東経137度8分18.44秒﻿ / ﻿北緯36.5913639度 東経137.1384556度﻿ /36.5913639; 137.1384556","2面3線","業務委託駅みどりの窓口あり","ツオ","991人/日（降車客含まず）-2019年-","","","","","","","","",""
"越中山田駅","越中山田駅（えっちゅうやまだえき）","https://ja.wikipedia.org/wiki/越中山田駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度32分18.55秒東経136度53分16.07秒","■城端線","27.5 km（高岡起点）","西日本旅客鉄道（JR西日本）","1951年（昭和26年）8月10日","地上駅","富山県南砺市竹林字天池田島586北緯36度32分18.55秒東経136度53分16.07秒﻿ / ﻿北緯36.5384861度 東経136.8877972度﻿ /36.5384861; 136.8877972座標:北緯36度32分18.55秒東経136度53分16.07秒﻿ / ﻿北緯36.5384861度 東経136.8877972度﻿ /36.5384861; 136.8877972","1面1線","無人駅","エヤ","57人/日（降車客含まず）-2018年-","","","","","","","","",""
"江釣子駅","江釣子駅（えづりこえき）","https://ja.wikipedia.org/wiki/江釣子駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯39度17分54.23秒東経141度4分32.88秒","■北上線","5.2 km（北上起点）","東日本旅客鉄道（JR東日本）","1923年（大正12年）4月15日[1]","地上駅","岩手県北上市上江釣子17地割36-2北緯39度17分54.23秒東経141度4分32.88秒座標:北緯39度17分54.23秒 東経141度4分32.88秒","1面1線","無人駅","ツリ","","","","","","","","","",""
"江戸川駅","江戸川駅（えどがわえき）","https://ja.wikipedia.org/wiki/江戸川駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度44分15.8秒東経139度53分46.41秒","■本線","15.7 km（京成上野起点）","京成電鉄","1912年（大正元年）11月3日","高架駅","東京都江戸川区北小岩三丁目24-15北緯35度44分15.8秒東経139度53分46.41秒﻿ / ﻿北緯35.737722度 東経139.8962250度﻿ /35.737722; 139.8962250座標:北緯35度44分15.8秒東経139度53分46.41秒﻿ / ﻿北緯35.737722度 東経139.8962250度﻿ /35.737722; 139.8962250","2面2線","","","","KS12","6,264人/日-2019年-","","","","","","",""
"江戸川台駅","江戸川台駅（えどがわだいえき）","https://ja.wikipedia.org/wiki/江戸川台駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","■野田線（東武アーバンパークライン）","35.1 km（大宮起点）","東武鉄道","1958年（昭和33年）2月16日","地上駅（橋上駅）","","2面2線","","エド","","TD20","24,035人/日-2019年-","","","","","","",""
"江戸川橋駅","江戸川橋駅（えどがわばしえき）","https://ja.wikipedia.org/wiki/江戸川橋駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度42分34秒東経139度44分0.7秒","●[1]有楽町線","14.8 km（和光市起点）","東京地下鉄（東京メトロ）","1974年（昭和49年）10月30日","地下駅","東京都文京区関口一丁目19-6北緯35度42分34秒東経139度44分0.7秒﻿ / ﻿北緯35.70944度 東経139.733528度﻿ /35.70944; 139.733528座標:北緯35度42分34秒東経139度44分0.7秒﻿ / ﻿北緯35.70944度 東経139.733528度﻿ /35.70944; 139.733528","1面2線","","エト","","Y12[1]","53,897人/日-2019年-","","","","","","",""
"江戸橋駅","江戸橋駅（えどばしえき）","https://ja.wikipedia.org/wiki/江戸橋駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度44分37秒東経136度30分50.6秒","E名古屋線","13.5 km（伊勢中川起点）","近畿日本鉄道（近鉄）","1917年（大正6年）1月1日","地上駅","三重県津市上浜町三丁目137-1北緯34度44分37秒東経136度30分50.6秒﻿ / ﻿北緯34.74361度 東経136.514056度﻿ /34.74361; 136.514056座標:北緯34度44分37秒東経136度30分50.6秒﻿ / ﻿北緯34.74361度 東経136.514056度﻿ /34.74361; 136.514056","2面4線","","エト","5,013人/日（降車客含まず）-2019年-"," E38 ","","","","","","","",""
"恵那駅","恵那駅（えなえき）","https://ja.wikipedia.org/wiki/恵那駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","","","東海旅客鉄道（JR東海・駅詳細）明知鉄道（駅詳細）","","","岐阜県恵那市大井町[1]","","","","","","","","","","","","",""
"榎井駅","榎井駅（えないえき）","https://ja.wikipedia.org/wiki/榎井駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","■琴平線","31.6 km（高松築港起点）","高松琴平電気鉄道","1927年（昭和2年）3月15日","地上駅","","単式1面1線","無人駅","",""," K20 ","249人/日-2018年-","","","","","","",""
"恵庭駅","恵庭駅（えにわえき）","https://ja.wikipedia.org/wiki/恵庭駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯42度52分57.82秒東経141度35分12.52秒","■千歳線","29.4 km（沼ノ端起点）","北海道旅客鉄道（JR北海道）","1926年（大正15年）8月21日[1]","橋上駅","北海道恵庭市相生町501-1北緯42度52分57.82秒東経141度35分12.52秒座標:北緯42度52分57.82秒 東経141度35分12.52秒","2面2線","業務委託駅[新聞 1]みどりの窓口有","エニ←ヱニ","7,380人/日（降車客含まず）-2019年-","○H10","","","","","","","",""
"江の浦駅","江の浦駅（えのうらえき）","https://ja.wikipedia.org/wiki/江の浦駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度6分35.04秒東経130度26分47.13秒","■天神大牟田線","65.1 km（西鉄福岡（天神）起点）","西日本鉄道","1938年（昭和13年）10月1日","地上駅","福岡県みやま市高田町江浦北緯33度6分35.04秒東経130度26分47.13秒﻿ / ﻿北緯33.1097333度 東経130.4464250度﻿ /33.1097333; 130.4464250座標:北緯33度6分35.04秒東経130度26分47.13秒﻿ / ﻿北緯33.1097333度 東経130.4464250度﻿ /33.1097333; 130.4464250","1面2線","","","","T  43 ","328人/日-2019年-","","","","","","",""
"榎戸駅 (愛知県)","榎戸駅 (愛知県)（えのきどえき・名古屋鉄道常滑線）","https://ja.wikipedia.org/wiki/榎戸駅_(愛知県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度54分18秒東経136度49分41秒","常滑線","27.5 km（神宮前起点）","名古屋鉄道","1944年（昭和19年）11月18日","地上駅","愛知県常滑市港町6-208北緯34度54分18秒東経136度49分41秒﻿ / ﻿北緯34.90500度 東経136.82806度﻿ /34.90500; 136.82806座標:北緯34度54分18秒東経136度49分41秒﻿ / ﻿北緯34.90500度 東経136.82806度﻿ /34.90500; 136.82806","2面2線","無人駅（駅集中管理システム導入駅）","","","TA  20 ","1,758人/日-2019年[1]-","","","","","","",""
"榎戸駅 (千葉県)","榎戸駅 (千葉県)（えのきどえき・東日本旅客鉄道総武本線）","https://ja.wikipedia.org/wiki/榎戸駅_(千葉県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度41分2.4秒東経140度17分17.1秒","■総武本線[1]","62.2[1] km（東京起点）","東日本旅客鉄道（JR東日本）","1958年（昭和33年）4月1日[1]","地上駅（橋上駅）","千葉県八街市榎戸924-2北緯35度41分2.4秒東経140度17分17.1秒座標:北緯35度41分2.4秒 東経140度17分17.1秒","2面2線[1]","業務委託駅","エノ","1,998人/日（降車客含まず）-2019年-","","","","","","","","",""
"榎町駅","榎町駅（えのきまちえき）","https://ja.wikipedia.org/wiki/榎町駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度39分27.42秒東経137度19分1.01秒","■立山線","4.6 km（寺田起点）","富山地方鉄道","1921年（大正10年）3月19日","地上駅","富山県中新川郡立山町前沢2879-2北緯36度39分27.42秒東経137度19分1.01秒﻿ / ﻿北緯36.6576167度 東経137.3169472度﻿ /36.6576167; 137.3169472﻿ (榎町駅)座標:北緯36度39分27.42秒東経137度19分1.01秒﻿ / ﻿北緯36.6576167度 東経137.3169472度﻿ /36.6576167; 137.3169472﻿ (榎町駅)","単式1面1線","平日朝のみ係員配置駅","","","T47","384人/日-2019年-","","","","","","",""
