"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","地図","規模","築造時期","史跡","形状","法人番号","文化財","出土品","山号","宗派","埋葬施設","本尊","別名","創建年","城郭構造","築城主","遺構"
"椚田遺跡","[椚田遺跡（くぬぎだいせき）〔八王子市〕] 椚田遺跡 （くぬぎたいせき）は、 東京都 八王子市 椚田町 にある 縄文時代 の 遺跡  。1978年5月1日、国の史跡に指定された。","https://ja.wikipedia.org/wiki/椚田遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度38分11秒 東経139度18分31秒","","","","","","","","","","","","","","","","","","",""
"小仏関所","[小仏関跡（こぼとけせきあと）〔八王子市〕] 小仏関所 （こぼとけせきしょ）は、 武蔵国 と 相模国 の国境、 高尾山 の 小仏峠 周辺  に設けられた 甲州街道 の 関所 のひとつ  。所在地は現在の 東京都 八王子市 裏高尾町 に相当し  、別称に、富士関、富士見関、駒木野小仏関所がある。","https://ja.wikipedia.org/wiki/小仏関所","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度38分29.2秒 東経139度15分59秒","","","","","","","","","","","","","","","","","","",""
"滝山城","[滝山城跡（たきやまじょうあと）〔八王子市〕1951年6月9日] 滝山城 （たきやまじょう）は、現在の 東京都 八王子市 丹木町 にあった 戦国時代 の 日本の城 である。国の 史跡  。 大石氏 、 北条氏照 の居城。","https://ja.wikipedia.org/wiki/滝山城","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度42分7.06秒東経139度19分41.85秒","","北緯35度42分7.06秒東経139度19分41.85秒﻿ / ﻿北緯35.7019611度 東経139.3282917度﻿ /35.7019611; 139.3282917","滝山城","","","","","","","","","","","","武州瀧山城、瀧山城、横山城、竹山城","","連郭式丘城","大石定重","土塁、横堀、竪堀、畝堀、障子堀、井戸、土橋、枡形虎口、曲輪、堀切"
"八王子城","[八王子城跡（はちおうじじょうあと）〔八王子市〕1951年6月9日国指定] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/八王子城","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度39分10.56秒東経139度15分7.61秒","","北緯35度39分10.56秒東経139度15分7.61秒﻿ / ﻿北緯35.6529333度 東経139.2521139度﻿ /35.6529333; 139.2521139座標:北緯35度39分10.56秒東経139度15分7.61秒﻿ / ﻿北緯35.6529333度 東経139.2521139度﻿ /35.6529333; 139.2521139","八王子城","","","","","","","","","","","","武州八王寺城","","山城","北条氏照","石垣、曲輪、御主殿跡、堀切、井戸、竪堀"
"船田石器時代遺跡","[船田石器時代遺跡（ふなだせっきじだいいせき）〔八王子市〕] 船田石器時代遺跡 （ふなだせっきじだいいせき）は、 東京都 八王子市 長房町 にある、 縄文時代 後期の敷石住居跡である。1928年1月18日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/船田石器時代遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度39分27秒 東経139度17分53秒","","","","","","","","","","","","","","","","","","",""
"高ヶ坂石器時代遺跡","[高ヶ坂石器時代遺跡（こうがさかせっきじだいいせき）〔町田市〕] 高ヶ坂石器時代遺跡 （こうがさかせっきじだいいせき）は、 東京都 町田市 高ヶ坂 にある 縄文時代 中期から後期の敷石住居跡である。","https://ja.wikipedia.org/wiki/高ヶ坂石器時代遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度32分43秒 東経139度27分26秒","","","","","","","","","","","","","","","","","","",""
"橘樹官衙遺跡群","[橘樹官衙遺跡群（たちばなかんがいせきぐん）〔川崎市〕] 橘樹官衙遺跡群 （たちばなかんがいせきぐん）は、 神奈川県 川崎市 高津区 にある 官衙 の遺跡群。 2015年 （平成27年）3月10日に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/橘樹官衙遺跡群","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度34分42秒 東経139度37分09秒","","","","","","","","","","","","","","","","","","",""
"大塚・歳勝土遺跡","[大塚・歳勝土遺跡（おおつか・さいかちどいせき）〔横浜市〕] 大塚・歳勝土遺跡 （おおつか・さいかちどいせき）は、 神奈川県 横浜市 都筑区 （ 港北ニュータウン 内）にある 弥生時代 中期の 遺跡 。国の 史跡 。","https://ja.wikipedia.org/wiki/大塚・歳勝土遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度33分5.1秒東経139度34分50.0秒","日本横浜市都筑区大棚西1","","","","","","","","","","","","","","","","","",""
"神奈川県立歴史博物館","[旧横浜正金銀行本店（きゅうよこはましょうきんぎんこうほんてん）〔横浜市〕] 神奈川県立歴史博物館 （かながわけんりつれきしはくぶつかん）は、 神奈川県 横浜市 中区 南仲通にある神奈川県の 歴史 に関する 博物館 。 馬車道 に面している。最寄り駅は みなとみらい線 の 馬車道駅 。","https://ja.wikipedia.org/wiki/神奈川県立歴史博物館","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度26分56.87秒東経139度38分10.59秒","〒231-0006神奈川県横浜市中区南仲通5-60","北緯35度26分56.87秒東経139度38分10.59秒﻿ / ﻿北緯35.4491306度 東経139.6362750度﻿ /35.4491306; 139.6362750﻿ (神奈川県立歴史博物館)座標:北緯35度26分56.87秒東経139度38分10.59秒﻿ / ﻿北緯35.4491306度 東経139.6362750度﻿ /35.4491306; 139.6362750﻿ (神奈川県立歴史博物館)","","","","","","","","","","","","","","","","",""
"三殿台遺跡","[三殿台遺跡（さんとのだいいせき）〔横浜市〕] 三殿遺跡 （さとのいいせき）は、 神奈川納棚田や綾田瀬端ワタワタ湯アユタヤは県 ","https://ja.wikipedia.org/wiki/三殿台遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"称名寺 (横浜市)","[称名寺境内（しょうみょうじけいだい）〔横浜市〕] 称名寺 （しょうみょうじ）は、 神奈川県 横浜市 金沢区 金沢町 にある 真言律宗 別格本山の 寺院 。 山号 は金沢山（きんたくさん）。本尊は 弥勒菩薩 。 新四国東国八十八箇所 霊場七十五番。","https://ja.wikipedia.org/wiki/称名寺_(横浜市)","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度20分39.05秒東経139度37分49.41秒","神奈川県横浜市金沢区金沢町212-1","北緯35度20分39.05秒東経139度37分49.41秒﻿ / ﻿北緯35.3441806度 東経139.6303917度﻿ /35.3441806; 139.6303917﻿ (称名寺 (横浜市))座標:北緯35度20分39.05秒東経139度37分49.41秒﻿ / ﻿北緯35.3441806度 東経139.6303917度﻿ /35.3441806; 139.6303917﻿ (称名寺 (横浜市))","","","","","","4020005000717","絹本著色北条実時像・北条顕時像・金沢貞顕像・金沢貞将像、文選集注（国宝）木造弥勒菩薩立像、銅鐘、金銅装宝篋印塔ほか（重要文化財）境内（国の史跡）","","金沢山","真言律宗","","弥勒菩薩（重要文化財）","","伝・1258年（正嘉2年）","","",""
"猿島","[猿島砲台跡（さるしまほうだいあと）] 猿島 （さるしま）は、 神奈川県 横須賀市 猿島に所在する 無人島 。 東京湾 最大の 自然島 である。島の大半を 猿島公園 として、横須賀市が整備している。","https://ja.wikipedia.org/wiki/猿島","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度17分10秒東経139度41分39秒","日本神奈川県横須賀市","","","","","","","","","","","","","","","","","",""
"夏島貝塚","[夏島貝塚（なつしまかいづか）〔横須賀市〕　1972年1月27日国指定] 夏島貝塚 （なつしまかいづか）は、 神奈川県 横須賀市 夏島町 に所在する 縄文時代 早期・初期に属する最古級の 貝塚 である。第一貝塚と第二貝塚に分かれ、 1972年 （ 昭和 47年） 1月27日 、島全体が国の 史跡 に指定された。また、出土品についても 1998年 （ 平成 10年）に国の 重要文化財 に指定された。","https://ja.wikipedia.org/wiki/夏島貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分22秒 東経139度38分58.4秒","","","","","","","","","","","","","","","","","","",""
"ウィリアム・アダムス","[三浦安針墓（みうらあんじんのはか）〔横須賀市〕1923年3月7日国指定] 1564年 、 イングランド 南東部の ケント州 ジリンガム の生まれ。船員だった父親を亡くして故郷を後にし、12歳で ロンドン の テムズ川 北岸にある ライムハウス （ 英語版 ） に移り、船大工の棟梁ニコラス・ディギンズに弟子入りする。 造船術 よりも 航海術 に興味を持ったアダムスは、 1588年 に奉公の年限を終えると同時に 海軍 に入り、 フランシス・ドレーク の指揮下にあった貨物補給船リチャード・ダフィールド号の船長として アルマダの海戦 に参加した。","https://ja.wikipedia.org/wiki/ウィリアム・アダムス","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","ウィリアム・アダムス（William Adams、出生名）","","","",""
"長柄桜山古墳群","[長柄桜山古墳群（ながえさくらやまこふんぐん）〔逗子市・三浦郡葉山町〕] 長柄桜山古墳群 （ながえさくらやまこふんぐん）は、 神奈川県 逗子市 桜山と 三浦郡 葉山町 長柄の境界にある、2基の 前方後円墳 で構成される 古墳群 である。 2002年 （平成14年） 12月19日 、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/長柄桜山古墳群","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度17分11.5秒東経139度34分54.6秒","神奈川県逗子市桜山三浦郡葉山町長柄","北緯35度17分11.5秒東経139度34分54.6秒﻿ / ﻿北緯35.286528度 東経139.581833度﻿ /35.286528; 139.581833座標:北緯35度17分11.5秒東経139度34分54.6秒﻿ / ﻿北緯35.286528度 東経139.581833度﻿ /35.286528; 139.581833","長柄桜山古墳群","1号墳：全長90m（県内1位）2号墳：全長88m","4世紀","2002年（平成14年）12月19日国指定史跡","前方後円墳2基","","","円筒埴輪、土師器","","","","","","","","",""
"名越切通し","[名越切通（なごえきりどおし）〔逗子市・鎌倉市〕] 名越切通 （なごえきりどおし）は、 神奈川県 鎌倉市 南東部から 逗子市 に抜ける道である。 鎌倉七口 のひとつに数えられる。国の 史跡 。現在は付近をJR 横須賀線 と 神奈川県道311号鎌倉葉山線 がトンネルで通過しており、一般に交通路としては利用されていない。","https://ja.wikipedia.org/wiki/名越切通し","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度18分26.3秒 東経139度33分53.4秒","","","","","","","","","","","","","","","","","","",""
"赤坂遺跡","[赤坂遺跡（あかさかいせき）〔三浦市〕2011年3月8日国指定] 赤坂遺跡 （あかさかいせき）は、 神奈川県 三浦市 初声町（はっせまち）にある 弥生時代 中期後半から後期にかけての 集落 遺跡 。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/赤坂遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度10分28.0秒 東経139度38分02.8秒","","","","","","","","","","","","","","","","","","",""
"和賀江嶋","[和賀江嶋（わかえのしま）〔鎌倉市・逗子市〕] 和賀江島 （わかえじま/わかえのしま）は 相模湾 東部に位置する 人工島 。 和賀江嶋 、 和賀江の築島  ともいう。国の 史跡 に指定されている（指定名称「和賀江嶋（わかえのしま）」）。","https://ja.wikipedia.org/wiki/和賀江嶋","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度18分2秒東経139度33分2秒","日本（神奈川県）","","","","","","","","","","","","","","","","","",""
"朝比奈切通し","[朝夷奈切通（あさいなきりどおし、あさひなきりどおし）〔鎌倉市・横浜市〕] 朝夷奈切通 （あさいなきりどおし）は 鎌倉七口 のひとつで、 神奈川県 鎌倉市 十二所 から 横浜市 金沢区 朝比奈町 （旧鎌倉郡峠）を結ぶ峠道（ 切通し ）である。国の 史跡 に指定されている。現行地名に合わせ「 朝比奈切通 （ し ）」（あさひなきりどおし）と表記されることもある  。","https://ja.wikipedia.org/wiki/朝比奈切通し","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分38秒 東経139度35分28秒","","","","","","","","","","","","","","","","","","",""
"一升桝遺跡","[一升桝遺跡（いっしょうますいせき）〔鎌倉市〕] 一升桝遺跡 （いっしょうますいせき）は、 神奈川県 鎌倉市 極楽寺 二丁目・極楽寺四丁目にある城郭跡。2007年2月6日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/一升桝遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度18分53秒 東経139度31分39秒","","","","","","","","","","","","","","","","","","",""
"稲村ヶ崎","[稲村ヶ崎（新田義貞徒渉伝説地）（いなむらがさき（にったよしさだとしょうでんせつち））〔鎌倉市〕　1934年3月13日国指定] 稲村ガ崎 （いなむらがさき）は、 神奈川県 鎌倉市 の 町名 。現行行政地名は稲村ガ崎一丁目から稲村ガ崎五丁目。 住居表示 実施済み区域  。 郵便番号 は248-0024  。","https://ja.wikipedia.org/wiki/稲村ヶ崎","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"荏柄天神社","[荏柄天神社境内（えがらてんじんしゃけいだい）〔鎌倉市〕] 荏柄天神社 （えがらてんじんしゃ）は、 神奈川県 鎌倉市 二階堂 にある 菅原道真 を祀る 神社 。","https://ja.wikipedia.org/wiki/荏柄天神社","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分33.07秒 東経139度33分51.52秒","神奈川県鎌倉市二階堂","","","","","","","","","","","","","","","","","",""
"円覚寺","[円覚寺境内（えんがくじけいだい）〔鎌倉市〕] 円覚寺 （えんがくじ）は、 神奈川県 鎌倉市 山ノ内 にある 寺院 。正式には 瑞鹿山円覚興聖禅寺 （ずいろくさんえんがくこうしょうぜんじ 山号 : 瑞鹿山 ）と号する。 臨済宗円覚寺派 の 大本山 であり、 鎌倉五山 第二位に列せられる。本尊は宝冠 釈迦如来 、開基は 北条時宗 、開山は 無学祖元 である。","https://ja.wikipedia.org/wiki/円覚寺","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度20分15.73秒東経139度32分50.99秒","神奈川県鎌倉市山ノ内409","北緯35度20分15.73秒東経139度32分50.99秒﻿ / ﻿北緯35.3377028度 東経139.5474972度﻿ /35.3377028; 139.5474972座標:北緯35度20分15.73秒東経139度32分50.99秒﻿ / ﻿北緯35.3377028度 東経139.5474972度﻿ /35.3377028; 139.5474972","","","","","","2021005001847","舎利殿、梵鐘（国宝）絹本著色五百羅漢像33幅、絹本著色被帽地蔵菩薩像ほか（重文）","","瑞鹿山（ずいろくさん）","円覚寺派","","宝冠釈迦如来","","弘安5年（1282年）","","",""
"円覚寺庭園","[円覚寺庭園（えんがくじていえん）〔鎌倉市〕] 円覚寺庭園 （えんがくじていえん）は、 神奈川県 鎌倉市 山ノ内 に所在し、 鎌倉五山 にも列せられる 臨済宗 円覚寺派の大本山 円覚寺 の境内に設けられた 庭園 である。国の 史跡 および 名勝 に指定されている。","https://ja.wikipedia.org/wiki/円覚寺庭園","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度20分18.51秒 東経139度32分54.24秒","","","","","","","","","","","","","","","","","","",""
"大町釈迦堂口遺跡","[大町釈迦堂口遺跡（おおまちしゃかどうぐちいせき）〔鎌倉市〕] 大町釈迦堂口遺跡 （おおまちしゃかどうぐちいせき）は、 神奈川県 鎌倉市 大町にある 遺跡 。2010年（平成22年）8月5日、 国史跡 に指定された。また、 日本遺産 『いざ、鎌倉』の構成文化財にも認定されている。","https://ja.wikipedia.org/wiki/大町釈迦堂口遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分02秒東経139度33分54秒","神奈川県鎌倉市大町","","","","","","","","","","","","","","","","","",""
"覚園寺","[覚園寺境内（かくおんじけいだい）〔鎌倉市〕] 覚園寺 （かくおんじ）は、 神奈川県 鎌倉市 二階堂 にある 真言宗泉涌寺派 の仏教寺院である。山号を鷲峰山（じゅぶせん）と称する。本尊は 薬師三尊 、 開基 は 北条貞時 、 開山 は智海心慧（ちかいしんえ）である。 鎌倉幕府 執権 北条家 歴代の尊崇を集めた寺院である。 相模国 と 武蔵国 を結ぶ金沢街道から北に入った谷戸の奥に位置し、境内および周辺は自然環境が良好に保全され、都市化が進む以前の鎌倉の面影を最もよく残す寺の1つといわれている  。境内は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/覚園寺","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分55秒東経139度33分49.5秒","神奈川県鎌倉市二階堂421","北緯35度19分55秒東経139度33分49.5秒﻿ / ﻿北緯35.33194度 東経139.563750度﻿ /35.33194; 139.563750座標:北緯35度19分55秒東経139度33分49.5秒﻿ / ﻿北緯35.33194度 東経139.563750度﻿ /35.33194; 139.563750","","","","","","6021005001851","開山塔、大燈塔、木造薬師三尊坐像ほか（重要文化財）","","鷲峰山","真言宗泉涌寺派","","薬師三尊","","建保6年（1218年）","","",""
"高徳院","[鎌倉大仏殿跡（かまくらだいぶつでんあと）〔鎌倉市〕] 高徳院 （こうとくいん）は、 神奈川県 鎌倉市 長谷 にある 浄土宗 の 寺院 。 本尊 は 国宝 銅造 阿弥陀如来 坐像 の 鎌倉大仏  。正式には 大異山高徳院清浄泉寺 （だいいざん こうとくいん しょうじょうせんじ）と号する。開基（創立者）と開山（初代住職）はともに不詳。","https://ja.wikipedia.org/wiki/高徳院","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分0.2秒東経139度32分10.13秒","神奈川県鎌倉市長谷４丁目２番28号","北緯35度19分0.2秒東経139度32分10.13秒﻿ / ﻿北緯35.316722度 東経139.5361472度﻿ /35.316722; 139.5361472﻿ (高徳院)座標:北緯35度19分0.2秒東経139度32分10.13秒﻿ / ﻿北緯35.316722度 東経139.5361472度﻿ /35.316722; 139.5361472﻿ (高徳院)","","","","","","7021005001883","銅造阿弥陀如来坐像（国宝）鎌倉大仏殿跡（国の史跡）","","大異山","浄土宗","","阿弥陀如来","","不詳","","",""
"亀ヶ谷坂","[亀ヶ谷坂（かめがやつざか）〔鎌倉市〕] 亀ヶ谷坂 （かめがやつさか）は 鎌倉七口 のひとつ。現在の 神奈川県 鎌倉市 山ノ内 から 扇ガ谷 を結ぶ坂道。別名、亀返坂（急坂のため亀も引き返した、ひっくり返ったの意）。","https://ja.wikipedia.org/wiki/亀ヶ谷坂","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分49秒 東経139度33分0.6秒","","","","","","","","","","","","","","","","","","",""
"化粧坂","[仮粧坂（けはいさか）〔鎌倉市〕] 化粧坂 （けわいざか）は 鎌倉七口 のひとつで、現在の 神奈川県 鎌倉市 扇ガ谷 から 源氏山公園 を結ぶ 切通し 道。 仮粧坂 （けはいざか）  とも表記する。","https://ja.wikipedia.org/wiki/化粧坂","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分33.4秒 東経139度32分41.4秒","","","","","","","","","","","","","","","","","","",""
"建長寺","[建長寺境内（けんちょうじけいだい）〔鎌倉市〕] 建長寺 （けんちょうじ）は、 神奈川県 鎌倉市 山ノ内 にある 禅宗 の寺院で、 臨済宗建長寺派 の大本山。正式には 巨福山建長興国禅寺 （こふくさんけんちょうこうこくぜんじ）と号する。","https://ja.wikipedia.org/wiki/建長寺","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分54.44秒東経139度33分19.25秒","神奈川県鎌倉市山ノ内8","北緯35度19分54.44秒東経139度33分19.25秒﻿ / ﻿北緯35.3317889度 東経139.5553472度﻿ /35.3317889; 139.5553472﻿ (建長寺)座標:北緯35度19分54.44秒東経139度33分19.25秒﻿ / ﻿北緯35.3317889度 東経139.5553472度﻿ /35.3317889; 139.5553472﻿ (建長寺)","","","","","","2021005001871","絹本淡彩蘭渓道隆像・大覚禅師墨蹟法語規則・梵鐘（国宝）山門・法堂・絹本著色釈迦三尊像ほか（重要文化財）","","巨福山（こふくさん）","臨済宗建長寺派","","地蔵菩薩","","建長5年（1253年）","","",""
"巨福呂坂","[巨福呂坂（こぶくろざか）〔鎌倉市〕] 巨福呂坂 （こぶくろざか）は、 神奈川県 鎌倉市 に存在する 切通し で 鎌倉七口 のひとつ  。 小袋坂 とも書く。 鶴岡八幡宮 裏手の雪ノ下から 山之内 （現在のJR 北鎌倉駅 付近）を結ぶ道。","https://ja.wikipedia.org/wiki/巨福呂坂","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分42.6秒 東経139度33分15.9秒","","","","","","","","","","","","","","","","","","",""
"寿福寺","[寿福寺境内（じゅふくじけいだい）〔鎌倉市〕] 寿福寺 （じゅふくじ）は、 神奈川県 鎌倉市 扇ヶ谷 にある 臨済宗建長寺派 の 寺院 である。正式には 亀谷山寿福金剛禅寺 （きこくさん じゅふくきんごうぜんじ）と号する。 鎌倉五山 第三位の寺院である。本尊は 釈迦如来 、開基（創立者）は 北条政子 、開山（初代住職）は 栄西 である。 鎌倉三十三観音霊場 の第24番。 鎌倉二十四地蔵 の第18番。境内は「寿福寺境内」として 1966年 （ 昭和 41年）3月22日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/寿福寺","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分27秒東経139度32分56.5秒","神奈川県鎌倉市扇ヶ谷1-17-7","北緯35度19分27秒東経139度32分56.5秒﻿ / ﻿北緯35.32417度 東経139.549028度﻿ /35.32417; 139.549028﻿ (壽福寺)座標:北緯35度19分27秒東経139度32分56.5秒﻿ / ﻿北緯35.32417度 東経139.549028度﻿ /35.32417; 139.549028﻿ (壽福寺)","","","","","","1021005001897","木造地蔵菩薩立像（鎌倉国宝館に寄託）・銅造薬師如来坐像・喫茶養生記（重文）","","亀谷山（きこくさん）","臨済宗建長寺派","","釈迦如来","","1200年（正治2年）","","",""
"浄光明寺","[浄光明寺境内・冷泉為相墓（じょうこうみょうじけいだい・れいぜいためすけはか）〔鎌倉市〕] 浄光明寺 （じょうこうみょうじ）は、 神奈川県 鎌倉市 扇ガ谷 （おうぎがやつ）にある 真言宗泉涌寺派 の寺院。山号は泉谷山（せんこくざん）。開基は 北条長時 。開山は真阿。本尊は 阿弥陀如来 である。 北条氏 や 足利氏 とゆかりの深い寺院で、 足利尊氏 は 後醍醐天皇 に対し挙兵する直前、当寺に籠っていたと伝える。 新四国東国八十八ヶ所霊場 の第82番。","https://ja.wikipedia.org/wiki/浄光明寺","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分35.1秒東経139度33分4.2秒","神奈川県鎌倉市扇ガ谷2-12−1","北緯35度19分35.1秒東経139度33分4.2秒﻿ / ﻿北緯35.326417度 東経139.551167度﻿ /35.326417; 139.551167座標:北緯35度19分35.1秒東経139度33分4.2秒﻿ / ﻿北緯35.326417度 東経139.551167度﻿ /35.326417; 139.551167","","","","","","2021005001913","阿弥陀三尊像（国の重要文化財）、地蔵菩薩立像（県重要文化財）","","泉谷山(せんこくざん)","真言宗泉涌寺派","","阿弥陀三尊","","建長3年（1251年）","","",""
"浄智寺","[浄智寺境内（じょうちじけいだい）〔鎌倉市〕] 浄智寺 （じょうちじ）は、 神奈川県 鎌倉市 山ノ内 にある 禅宗 の 寺院 。 臨済宗円覚寺派 に属する。山号は 金宝山 。 鎌倉五山 第四位  。本尊は 阿弥陀如来 ・ 釈迦如来 ・ 弥勒如来 の三世仏で、それぞれ過去・現在・未来を象徴する。境内は「浄智寺境内」として国の史跡に指定されている。","https://ja.wikipedia.org/wiki/浄智寺","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度20分0.2秒東経139度32分47秒","神奈川県鎌倉市山ノ内1402","北緯35度20分0.2秒東経139度32分47秒﻿ / ﻿北緯35.333389度 東経139.54639度﻿ /35.333389; 139.54639﻿ (浄智寺)座標:北緯35度20分0.2秒東経139度32分47秒﻿ / ﻿北緯35.333389度 東経139.54639度﻿ /35.333389; 139.54639﻿ (浄智寺)","","","","","","9021005001907","本文参照","","金峰山","臨済宗円覚寺派","","三世仏（阿弥陀如来・釈迦如来・弥勒如来）","","1283年（弘安6年）","","",""
"浄妙寺 (鎌倉市)","[浄妙寺境内（じょうみょうじけいだい）〔鎌倉市〕] 浄妙寺 （じょうみょうじ）は、 神奈川県 鎌倉市 浄明寺 にある 臨済宗 建長寺 派の 仏教 寺院 。正式には 稲荷山浄妙広利禅寺 （とうかさん じょうみょうこうりぜんじ）と号する。本尊は 釈迦如来 。開基（創立者）は 足利義兼 、開山（初代住持）は 退耕行勇 。 鎌倉五山 の第五位。鎌倉三十三観音第九番。","https://ja.wikipedia.org/wiki/浄妙寺_(鎌倉市)","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分22.2秒東経139度34分16.7秒","神奈川県鎌倉市浄明寺3-8-31","北緯35度19分22.2秒東経139度34分16.7秒﻿ / ﻿北緯35.322833度 東経139.571306度﻿ /35.322833; 139.571306﻿ (浄妙寺)座標:北緯35度19分22.2秒東経139度34分16.7秒﻿ / ﻿北緯35.322833度 東経139.571306度﻿ /35.322833; 139.571306﻿ (浄妙寺)","","","","","","9021005001898","木造退耕行勇坐像（国の重要文化財）ほか","","稲荷山","臨済宗建長寺派","","釈迦如来","","文治4年（1188年）","","",""
"瑞泉寺 (鎌倉市)","[瑞泉寺境内（ずいせんじけいだい）〔鎌倉市〕] 瑞泉寺 （ずいせんじ）は、 神奈川県 鎌倉市 二階堂 にある 臨済宗 円覚寺派 の寺院。山号は錦屏山（きんぺいさん）。本尊は 釈迦如来 で、開基は 二階堂道蘊 である。鎌倉随一の花の寺、紅葉の名所としても知られている。鎌倉三十三観音第6番。鎌倉二十四地蔵第7番。","https://ja.wikipedia.org/wiki/瑞泉寺_(鎌倉市)","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分37.40秒東経139度34分31.34秒","神奈川県鎌倉市二階堂710","北緯35度19分37.40秒東経139度34分31.34秒﻿ / ﻿北緯35.3270556度 東経139.5753722度﻿ /35.3270556; 139.5753722座標:北緯35度19分37.40秒東経139度34分31.34秒﻿ / ﻿北緯35.3270556度 東経139.5753722度﻿ /35.3270556; 139.5753722","","","","","","9021005001915","本文参照","","錦屏山（きんびょうざん）","臨済宗円覚寺派","","釈迦如来","","1327年（嘉暦2年）","","",""
