"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","外部リンク","開駅日","営業時間","タイプ","分野","使用言語","閲覧","登録","ライセンス","運営元","設立","設立者","分類","面積","開園"
"道の駅ほっとぱ〜く・浅科","ほっとぱ〜く・浅科（ほっとぱ〜くあさしな）佐久市国道142号長野-17(北-11) ","https://ja.wikipedia.org/wiki/道の駅ほっとぱ〜く・浅科","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度15分27秒東経138度24分15秒","〒384-2104長野県佐久市甲2177番地1","国道142号","第14回（20011）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1998年9月28日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅アルプス安曇野ほりがねの里","あるぷすあづみのほりがねのさとアルプス安曇野 ほりがねの里（アルプスあづみのほりがねのさと）安曇野市県道57号安曇野インター堀金線長野-18(北-12) ","https://ja.wikipedia.org/wiki/道の駅アルプス安曇野ほりがねの里","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度17分37秒東経137度52分40秒","〒399-8211長野県安曇野市堀金烏川2696番地","長野県道57号","第14回（20012）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","7:00 - 17:00（6 - 9月）8:30 - 17:00（10 - 5月）","","","","","","","","","","","",""
"道の駅安曇野松川","あづみのまつかわ安曇野松川（あづみのまつかわ）北安曇郡松川村県道306号有明大町線長野-19(北-13) ","https://ja.wikipedia.org/wiki/道の駅安曇野松川","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度23分47秒東経137度52分03秒","〒399-8501長野県北安曇郡松川村細野5375番地1","長野県道306号","第14回（20013）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","10:00 - 18:00","","","","","","","","","","","",""
"道の駅風穴の里","ふうけつのさと風穴の里（ふうけつのさと）松本市国道158号長野-20(北-14) ","https://ja.wikipedia.org/wiki/道の駅風穴の里","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度09分12秒東経137度45分07秒","〒390-1504長野県松本市安曇稲核3528番地1","国道158号","第14回（20014）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅北信州やまのうち","きたしんしゅうやまのうち北信州やまのうち（きたしんしゅうやまのうち）下高井郡山ノ内町国道292号長野-21(北-15) ","https://ja.wikipedia.org/wiki/道の駅北信州やまのうち","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度44分29秒東経138度24分17秒","〒381-0402長野県下高井郡山ノ内町大字佐野393番地2","国道292号","第14回（20015）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","8:30 - 18:00","","","","","","","","","","","",""
"道の駅上田 道と川の駅","うえだみちとかわのえき上田 道と川の駅（うえだみちとかわのえき）上田市国道18号長野-22(北-16) ","https://ja.wikipedia.org/wiki/道の駅上田_道と川の駅","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度24分26秒東経138度12分19秒","〒386-1106長野県上田市大字小泉字塩田川原2575-2","国道18号","第14回（20016）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2010年4月1日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅信州蔦木宿","しんしゅうつたきじゅく信州蔦木宿（しんしゅうつたきじゅく）諏訪郡富士見町国道20号長野-23(北-17) ","https://ja.wikipedia.org/wiki/道の駅信州蔦木宿","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度51分48秒東経138度16分37秒","〒399-0214長野県諏訪郡富士見町落合1984番地1","国道20号","第14回（20017）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1999年4月1日","8:00 - 22:00","","","","","","","","","","","",""
"道の駅しなの","しなの上水内郡信濃町国道18号長野-24(北-18) ","https://ja.wikipedia.org/wiki/道の駅しなの","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度49分06秒東経138度11分25秒","〒389-1305長野県上水内郡信濃町大字柏原1260番地4","国道18号","第15回（20018）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1999年不明","9:00 - 18:009：00-19：00（夏季）9:00 - 17:00（冬期）","","","","","","","","","","","",""
"道の駅小谷","おたり小谷（おたり）北安曇郡小谷村国道148号長野-25(北-19) ","https://ja.wikipedia.org/wiki/道の駅小谷","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度50分42.9秒東経137度54分1.7秒","〒399-9601長野県北安曇郡小谷村大字北小谷1861-1","国道148号","第15回（20019）","1999年8月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","10:00 - 21:00","","","","","","","","","","","",""
"道の駅さかきた","さかきた東筑摩郡筑北村国道403号長野-28(北-20) ","https://ja.wikipedia.org/wiki/道の駅さかきた","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度25分34秒東経138度00分43秒","〒399-7601長野県東筑摩郡筑北村坂北4340番地","国道403号","（20020）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","10:00 - 15:00","","","","","","","","","","","",""
"道の駅ぽかぽかランド美麻","ぽかぽかランド美麻（ぽかぽかランドみあさ）大町市県道31号長野大町線長野-29(北-21) ","https://ja.wikipedia.org/wiki/道の駅ぽかぽかランド美麻","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度36分19秒東経137度53分44秒","〒399-9101長野県大町市美麻16784","長野県道31号","第16回（20021）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2001年6月4日","10:00 - 20:30","","","","","","","","","","","",""
"道の駅オアシスおぶせ","おあしすおぶせオアシスおぶせ上高井郡小布施町県道343号村山小布施停車場線長野-31(北-22)上信越自動車道小布施PAと連結（ハイウェイオアシス）","https://ja.wikipedia.org/wiki/道の駅オアシスおぶせ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度41分22秒東経138度17分41秒","〒381-0203長野県上高井郡小布施町大字大島601","長野県道343号","第18回（20022）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2000年4月1日","9:00 - 20:00","","","","","","","","","","","",""
"道の駅雷電くるみの里","らいでんくるみのさと雷電くるみの里（らいでんくるみのさと）東御市県道79号小諸上田線長野-33(北-23) ","https://ja.wikipedia.org/wiki/道の駅雷電くるみの里","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度21分20秒東経138度22分26秒","〒389-0512長野県東御市滋野乙4524-1","長野県道79号","第19回（20023）","2003年8月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2003年9月","7時 - 19時","","","","","","","","","","","",""
"道の駅花の駅 千曲川","はなのえきちくまがわ花の駅千曲川（はなのえきちくまがわ）飯山市国道117号長野-34(北-24) ","https://ja.wikipedia.org/wiki/道の駅花の駅_千曲川","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度52分54秒東経138度23分16秒","〒389-2414長野県飯山市大字常盤7425番地","国道117号","第21回（20024）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2005年8月","9:00 - 19:00","","","","","","","","","","","",""
"道の駅あおき","あおき小県郡青木村国道143号長野-35(北-25) ","https://ja.wikipedia.org/wiki/道の駅あおき","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度22分22秒東経138度08分27秒","〒386-1602長野県小県郡青木村大字村松字大沖29-1","国道143号","第21回（20025）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2006年4月","9:00 - 17:00","","","","","","","","","","","",""
"道の駅おがわ","おがわ上水内郡小川村県道31号長野大町線長野-37(北-26) ","https://ja.wikipedia.org/wiki/道の駅おがわ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度36分48秒東経137度59分26秒","〒381-3302長野県上水内郡小川村大字高府1502番地2","長野県道31号","第24回（20037）","2007年8月10日","国土交通省案内ページ全国道の駅連絡会ページ","1996年5月11日","9:30 - 19:30","","","","","","","","","","","",""
"道の駅美ヶ原高原","うつくしがはらこうげん美ヶ原高原（うつくしがはらこうげん）上田市県道464号美ヶ原公園西内線市道美ヶ原高原台上駐車場線長野-38(北-27) ","https://ja.wikipedia.org/wiki/道の駅美ヶ原高原","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度13分50秒東経138度08分26秒","〒386-0507長野県上田市武石上本入2085-70","長野県道464号","第24回（20038）","2007年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2007年8月","9:00 - 17:00（4月下旬 - 11月中旬）（冬期閉鎖）","","","","","","","","","","","",""
"道の駅今井 恵みの里","いまいめぐみのさと今井 恵みの里（いまいめぐみのさと）松本市県道298号土合松本線長野-39(北-28) ","https://ja.wikipedia.org/wiki/道の駅今井_恵みの里","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度08分54秒東経137度54分10秒","〒390-1131長野県松本市大字今井886番地2","長野県道298号","第32回（20039）","2009年7月31日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2009年8月2日","8:00 - 17:00（4 - 6月）8:00 - 18:00（7 - 9月）8:30 - 17:00（10 - 3月）","","","","","","","","","","","",""
"道の駅FARMUS木島平","ふぁーむすきじまだいらFARMUS木島平（ファームスきじまだいら）下高井郡木島平村国道403号長野-42(北-29)","https://ja.wikipedia.org/wiki/道の駅FARMUS木島平","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度51分08秒東経138度23分18秒","〒389-2303長野県下高井郡木島平村大字上木島38番地1","国道403号","第43回（20042）","2015年4月15日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2015年5月1日","10:00 - 17:00","","","","","","","","","","","",""
"道の駅ヘルシーテラス佐久南","へるしーてらすさくみなみヘルシーテラス佐久南（ヘルシーテラスさくみなみ）佐久市国道142号市道25-3号線長野-44(北-30) ","https://ja.wikipedia.org/wiki/道の駅ヘルシーテラス佐久南","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度14分12秒東経138度26分24秒","〒385-0061長野県佐久市伴野7-1","国道142号市道25-3号線","第46回（20044）","2016年10月7日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2017年7月8日[1][2]","9:00 - 20:00","","","","","","","","","","","",""
"道の駅女神の里たてしな","めがみのさとたてしな女神の里 たてしな（めがみのさとたてしな）北佐久郡立科町国道142号長野-45(北-31) ","https://ja.wikipedia.org/wiki/道の駅女神の里たてしな","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度16分33秒東経138度19分45秒","〒384-2211長野県北佐久郡立科町大字茂田井2480","国道142号","第48回（20045）","2017年11月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2017年12月16日[1][2][3]","9:00 - 18:00","","","","","","","","","","","",""
"道の駅いくさかの郷","いくさかの郷（いくさかのさと）東筑摩郡生坂村県道275号上生坂信濃松川停車場線長野-50(北-32) ","https://ja.wikipedia.org/wiki/道の駅いくさかの郷","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度25分28.0秒東経137度55分58.3秒","〒399-7201長野県東筑摩郡生坂村5204-1","長野県道275号上生坂信濃松川停車場線","第49回（20050）","2018年4月25日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2019年4月27日[2]","9:00 - 17:00","","","","","","","","","","","",""
"道の駅野沢温泉","のざわおんせん野沢温泉（のざわおんせん）下高井郡野沢温泉村国道117号長野-51(北-33) ","https://ja.wikipedia.org/wiki/道の駅野沢温泉","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度57分36.4秒東経138度26分52.5秒","〒389-2613長野県下高井郡野沢温泉村大字虫生2375","国道117号","第51回（20051）","2019年6月19日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2019年8月31日[2]","","","","","","","","","","","","",""
"道の駅ビーナスライン蓼科湖","びーなすらいんたてしなこビーナスライン蓼科湖（ビーナスラインたてしなこ）茅野市県道192号茅野停車場八子ヶ峰公園線長野-52(北-34) ","https://ja.wikipedia.org/wiki/道の駅ビーナスライン蓼科湖","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度03分07秒東経138度15分30秒","〒391-0301長野県茅野市北山4035-2906","長野県道192号茅野停車場八子ヶ峰公園線","第52回（20052）","2020年3月13日[1]","全国道の駅連絡会ページ","2020年7月17日[2]","","","","","","","","","","","","",""
