"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","主祭神","位置","社格,等","例祭","創建","本殿の,様式","地図","主な神事","別名","札所等","神体","法人番号","国","地方","面積","総人口","人口密度","外部リンク"
"北海道神宮","[北海道神宮（札幌市）] 北海道神宮 （ほっかいどうじんぐう）は、 北海道 札幌市 中央区 にある 神社 （ 神宮 ）。 円山公園 に隣接する。 1964年 （昭和39年）までは 札幌神社 。旧 官幣大社 であり、現在は 神社本庁 の 別表神社 。また、全国一の宮会より蝦夷国新 一の宮 に認定されている。","https://ja.wikipedia.org/wiki/北海道神宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯43度3分15.6秒東経141度18分27秒","北海道札幌市中央区宮ヶ丘474","大国魂神大那牟遅神少彦名神明治天皇","北緯43度3分15.6秒東経141度18分27秒﻿ / ﻿北緯43.054333度 東経141.30750度﻿ /43.054333; 141.30750﻿ (北海道神宮)座標:北緯43度3分15.6秒東経141度18分27秒﻿ / ﻿北緯43.054333度 東経141.30750度﻿ /43.054333; 141.30750﻿ (北海道神宮)","旧官幣大社別表神社","6月15日（札幌祭）","明治2年（1869年）","神明造","北海道神宮","","","","","","","","","","",""
"堀出神社","[堀出神社（新潟県新潟市秋葉区）] 堀出神社 （ほりいでじんじゃ）は、 新潟県 新潟市 秋葉区 新津本町 にある 神社 。 旧社格 は 郷社 。","https://ja.wikipedia.org/wiki/堀出神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯37度47分41秒東経139度7分24秒","新潟市秋葉区新津本町3丁目14番6号","伊邪那岐神・伊邪那美神","北緯37度47分41秒東経139度7分24秒﻿ / ﻿北緯37.79472度 東経139.12333度﻿ /37.79472; 139.12333﻿ (堀出神社)座標:北緯37度47分41秒東経139度7分24秒﻿ / ﻿北緯37.79472度 東経139.12333度﻿ /37.79472; 139.12333﻿ (堀出神社)","旧郷社","にいつ夏まつり（夏季例大祭)","1573年(天正元年)","","","","新津総鎮護","","","","","","","","",""
"舞子六神社","[舞子六神社（兵庫県神戸市）] 舞子六神社 （まいころくじんじゃ）は、 兵庫県 神戸市 垂水区 にある 神社 である。境内にある 戎 、 大黒 社の 石像 は 日本一 とされている。","https://ja.wikipedia.org/wiki/舞子六神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度38分14秒東経135度1分44秒","兵庫県神戸市垂水区西舞子1-5-7","伊邪那岐大神伊邪那美大神天照皇大神素盞男大神月夜見大神蛭子大神","北緯34度38分14秒東経135度1分44秒﻿ / ﻿北緯34.63722度 東経135.02889度﻿ /34.63722; 135.02889座標:北緯34度38分14秒東経135度1分44秒﻿ / ﻿北緯34.63722度 東経135.02889度﻿ /34.63722; 135.02889","","10月第二土、日曜日（体育の日の前の土日）","","","舞子六神社舞子六神社 (神戸市)神戸市の地図を表示舞子六神社舞子六神社 (兵庫県)兵庫県の地図を表示","","","","","","","","","","",""
"真清田神社","[真清田神社（愛知県）] 真清田神社 （ますみだじんじゃ、眞清田神社）は、 愛知県 一宮市 真清田にある 神社 。 式内社 （ 名神大社 ）、 尾張国 一宮 。 旧社格 は 国幣中社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/真清田神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度18分27.20秒東経136度48分7.51秒","愛知県一宮市真清田1-2-1","天火明命","北緯35度18分27.20秒東経136度48分7.51秒﻿ / ﻿北緯35.3075556度 東経136.8020861度﻿ /35.3075556; 136.8020861﻿ (真清田神社)座標:北緯35度18分27.20秒東経136度48分7.51秒﻿ / ﻿北緯35.3075556度 東経136.8020861度﻿ /35.3075556; 136.8020861﻿ (真清田神社)","式内社（名神大）尾張国一宮旧国幣中社別表神社","4月3日（桃花祭）","（一伝）初代神武天皇33年（一伝）第10代崇神天皇年間","三間社流造","真清田神社","太々神楽、駒牽神事（10月15日）","","","","","","","","","",""
"松尾大社","[本社：松尾大社（京都市西京区）] 松尾大社 （まつのおたいしゃ/まつおたいしゃ）は、 京都府 京都市 西京区 嵐山宮町にある 神社 。 式内社 （ 名神大社 ）で、 二十二社 （上七社）の一社。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/松尾大社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度59分59.87秒東経135度41分6.62秒","京都府京都市西京区嵐山宮町3","大山咋神中津島姫命","北緯34度59分59.87秒東経135度41分6.62秒﻿ / ﻿北緯34.9999639度 東経135.6851722度﻿ /34.9999639; 135.6851722﻿ (松尾大社)座標:北緯34度59分59.87秒東経135度41分6.62秒﻿ / ﻿北緯34.9999639度 東経135.6851722度﻿ /34.9999639; 135.6851722﻿ (松尾大社)","式内社（名神大2座）二十二社（上七社）旧官幣大社別表神社","4月2日","大宝元年（701年）（創祀は上古か）","三間社両流造檜皮葺","松尾大社京都市の地図を表示松尾大社日本の地図を表示","松尾祭（4月下旬から5月中旬）","","神仏霊場巡拝の道第87番（京都第7番）","松尾山（神体山）","","","","","","",""
"松井神社","[松井神社（熊本県八代市）] 松井神社 （まついじんじゃ）は、 熊本県 八代市 北の丸町に鎮座する 神社 である。旧 社格 は 郷社 。","https://ja.wikipedia.org/wiki/松井神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯32度30分33.3秒東経130度35分58.0秒","熊本県八代市北の丸町2-18","松井康之公松井興長公","北緯32度30分33.3秒東経130度35分58.0秒﻿ / ﻿北緯32.509250度 東経130.599444度﻿ /32.509250; 130.599444座標:北緯32度30分33.3秒東経130度35分58.0秒﻿ / ﻿北緯32.509250度 東経130.599444度﻿ /32.509250; 130.599444","郷社","11月23日","1881年（明治14年）","","","","","","","","","","","","",""
"松阪神社","[松阪神社（三重県松阪市）] 松阪神社 （まつさかじんじゃ）は、 三重県 松阪市 にある 神社 である。 式内社 で、旧 社格 は 郷社 。","https://ja.wikipedia.org/wiki/松阪神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度34分25.4秒東経136度31分29.2秒","三重県松阪市殿町1445番地","誉田別命宇迦御魂神","北緯34度34分25.4秒東経136度31分29.2秒﻿ / ﻿北緯34.573722度 東経136.524778度﻿ /34.573722; 136.524778﻿ (松阪神社)座標:北緯34度34分25.4秒東経136度31分29.2秒﻿ / ﻿北緯34.573722度 東経136.524778度﻿ /34.573722; 136.524778﻿ (松阪神社)","式内社（小）・郷社","10月15日","","神明造","松阪神社","","","","","","","","","","",""
"松橋神社","[松橋神社（熊本県宇城市）] 松橋神社 （まつばせじんじゃ）は、 熊本県 宇城市 松橋町松橋にある 神社 である。 松橋熊野宮 （まつばせくまのぐう）、松橋権現社（まつばせごんげんしゃ）とも称する。旧 社格 は村社。","https://ja.wikipedia.org/wiki/松橋神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯32度39分10.9秒東経130度40分29.0秒","熊本県宇城市松橋町松橋1218","伊邪那美命事解男命速玉男命","北緯32度39分10.9秒東経130度40分29.0秒﻿ / ﻿北緯32.653028度 東経130.674722度﻿ /32.653028; 130.674722座標:北緯32度39分10.9秒東経130度40分29.0秒﻿ / ﻿北緯32.653028度 東経130.674722度﻿ /32.653028; 130.674722","村社","夏祭り（8月1日）例大祭（10月9日）","（伝）1049年（永承4年）","","","","松橋熊野宮松橋権現社","","","","","","","","",""
"松原八幡神社","[松原八幡神社（兵庫県姫路市）] 松原八幡神社 （まつばらはちまんじんじゃ）は、 兵庫県 姫路市 にある 神社 （ 八幡宮 ）。 旧社格は県社。秋季例大祭は 灘のけんか祭り の通称で知られる。","https://ja.wikipedia.org/wiki/松原八幡神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度47分7.8秒東経134度42分22.4秒","兵庫県姫路市白浜町甲399","品陀和気命、息長足姫命、比咩大神","北緯34度47分7.8秒東経134度42分22.4秒﻿ / ﻿北緯34.785500度 東経134.706222度﻿ /34.785500; 134.706222","県社","10月14日・15日（秋季例大祭）","（伝）天平宝字7年（763年）","","","","","","","","","","","","",""
"御形神社","[御形神社（兵庫県宍粟市）] 御形神社 （みかたじんじゃ）は、 兵庫県 宍粟市 にある神社。 式内小社 で、 旧社格 は県社。","https://ja.wikipedia.org/wiki/御形神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度11分21.9秒東経134度37分47.9秒","兵庫県宍粟市一宮町森添280","葦原志許男神（大国主神）","北緯35度11分21.9秒東経134度37分47.9秒﻿ / ﻿北緯35.189417度 東経134.629972度﻿ /35.189417; 134.629972﻿ (御形神社)座標:北緯35度11分21.9秒東経134度37分47.9秒﻿ / ﻿北緯35.189417度 東経134.629972度﻿ /35.189417; 134.629972﻿ (御形神社)","式内社（小）旧県社","5月3日・10月10日","宝亀3年（772年）","流造","御形神社御形神社 (兵庫県)","","","","","","","","","","",""
"御上神社","[御上神社（滋賀県野洲市）] 御上神社 （みかみじんじゃ）は、 滋賀県 野洲市 三上にある 神社 。 式内社 （ 名神大社 ）、 旧社格 は 官幣中社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/御上神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度03分00秒東経136度01分38.5秒","滋賀県野洲市三上838","天之御影命","北緯35度03分00秒東経136度01分38.5秒﻿ / ﻿北緯35.05000度 東経136.027361度﻿ /35.05000; 136.027361﻿ (御上神社)座標:北緯35度03分00秒東経136度01分38.5秒﻿ / ﻿北緯35.05000度 東経136.027361度﻿ /35.05000; 136.027361﻿ (御上神社)","式内社（名神大）旧官幣中社別表神社","5月14日","（伝）第7代孝霊天皇年間","入母屋造","","秋季古例祭（ずいき祭、10月14日）","","神仏霊場巡拝の道第144番（滋賀第12番）","三上山（神体山）","","","","","","",""
"美具久留御魂神社","[美具久留御魂神社（大阪府富田林市）] 美具久留御魂神社 （みぐくるみたまじんじゃ）は、 大阪府 富田林市 にある神社。 式内社 で、 旧社格 は 郷社 。 大阪みどりの百選 に選定されている  。","https://ja.wikipedia.org/wiki/美具久留御魂神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度31分4.72秒東経135度36分5.13秒","大阪府富田林市宮町3丁目2053","美具久留御魂大神（大国主命）","北緯34度31分4.72秒東経135度36分5.13秒﻿ / ﻿北緯34.5179778度 東経135.6014250度﻿ /34.5179778; 135.6014250﻿ (美具久留御魂神社)座標:北緯34度31分4.72秒東経135度36分5.13秒﻿ / ﻿北緯34.5179778度 東経135.6014250度﻿ /34.5179778; 135.6014250﻿ (美具久留御魂神社)","式内社（小）旧郷社","10月第3金曜日","（伝）崇神天皇10年","","美具久留御魂神社","","下水分社","","","","","","","","",""
"御厨神社","[御厨神社（兵庫県明石市）] 御厨神社 （みくりやじんじゃ）は、 兵庫県 明石市 東二見にある 神社 。 菅原道真 が休息した 仮寝の松 や 菅公腰掛松 があったとされ石碑が残る。","https://ja.wikipedia.org/wiki/御厨神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度42分3.77秒東経134度53分0.85秒","兵庫県明石市二見町東二見1323","誉田別尊菅原道真素蓋鳴命（牛頭天王）","北緯34度42分3.77秒東経134度53分0.85秒﻿ / ﻿北緯34.7010472度 東経134.8835694度﻿ /34.7010472; 134.8835694座標:北緯34度42分3.77秒東経134度53分0.85秒﻿ / ﻿北緯34.7010472度 東経134.8835694度﻿ /34.7010472; 134.8835694","","祇園祭り：7月10・11日秋祭：10月20日〜26日の間の土日","","","御厨神社御厨神社 (兵庫県)","","","","","","","","","","",""
"三嶋大社","[本社：三嶋大社（静岡県三島市）（大山祇神及び事代主神）] 三嶋大社 （みしまたいしゃ、三島大社）は、 静岡県 三島市 大宮町にある 神社 。 式内社 （ 名神大社 ）、 伊豆国 一宮 、伊豆国 総社 。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/三嶋大社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度7分20.66秒東経138度55分7.79秒","静岡県三島市大宮町二丁目1番5号","大山祇命積羽八重事代主神","北緯35度7分20.66秒東経138度55分7.79秒﻿ / ﻿北緯35.1224056度 東経138.9188306度﻿ /35.1224056; 138.9188306﻿ (三嶋大社)座標:北緯35度7分20.66秒東経138度55分7.79秒﻿ / ﻿北緯35.1224056度 東経138.9188306度﻿ /35.1224056; 138.9188306﻿ (三嶋大社)","式内社（名神大）伊豆国一宮伊豆国総社旧官幣大社別表神社","8月16日","不詳","三間社流造","三嶋大社伊古奈比咩命神社","お田打ち神事（1月7日）粥占神事（1月15日）奉射神事（1月17日）鳴弦式（節分の日）流鏑馬神事（8月17日）","","","","","","","","","",""
"大山祇神社","[本社：大山祇神社（愛媛県）（大山祇神）] 大山祇神社 （おおやまづみじんじゃ）は、 愛媛県 今治市 大三島町宮浦にある 神社 。 式内社 （ 名神大社 ）、 伊予国 一宮 。 旧社格 は 国幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/大山祇神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度14分52.45秒東経133度0分20.9秒","愛媛県今治市大三島町宮浦3327番地","大山積神","北緯34度14分52.45秒東経133度0分20.9秒﻿ / ﻿北緯34.2479028度 東経133.005806度﻿ /34.2479028; 133.005806﻿ (大山祇神社)座標:北緯34度14分52.45秒東経133度0分20.9秒﻿ / ﻿北緯34.2479028度 東経133.005806度﻿ /34.2479028; 133.005806﻿ (大山祇神社)","式内社（名神大）伊予国一宮旧国幣大社別表神社","旧暦4月22日","（伝）推古天皇2年（594年）","三間社流造檜皮葺","大山祇神社","赤土拝・福木（1月7日）お田植え祭（旧暦5月5日）産須奈大祭（旧暦8月22日）","日本総鎮守","江戸時代後期、熱心な遍路が当社に参拝、別当の神宮寺で納経。","鷲ヶ頭山","","","","","","",""
"水若酢神社","[水若酢神社（島根県隠岐の島町）：（みずわかす）] 水若酢神社 （みずわかすじんじゃ）は、 島根県 隠岐郡 隠岐の島町 郡（こおり）にある 神社 。 式内社 （ 名神大社 ）、 隠岐国 一宮 。 旧社格 は 国幣中社 で、現在は 神社本庁 の 別表神社 。 神紋 は「菊」  。","https://ja.wikipedia.org/wiki/水若酢神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯36度16分48.78秒東経133度14分56.54秒","島根県隠岐郡隠岐の島町郡723","水若酢命","北緯36度16分48.78秒東経133度14分56.54秒﻿ / ﻿北緯36.2802167度 東経133.2490389度﻿ /36.2802167; 133.2490389﻿ (水若酢神社)座標:北緯36度16分48.78秒東経133度14分56.54秒﻿ / ﻿北緯36.2802167度 東経133.2490389度﻿ /36.2802167; 133.2490389﻿ (水若酢神社)","式内社（名神大）隠岐国一宮旧国幣中社別表神社","5月3日","（一伝）第10代崇神天皇年間（別伝）第16代仁徳天皇年間","隠岐造","水若酢神社","祭礼風流（隔年5月3日）","","","","","","","","","",""
"三峯神社","[三峯神社（埼玉県秩父市）] 三峯神社 （みつみねじんじゃ）は、 埼玉県 秩父市 三峰にある 神社 。 旧社格 は 県社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/三峯神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度55分31.55秒東経138度55分49.43秒","埼玉県秩父市三峰298-1","伊弉諾尊伊弉册尊","北緯35度55分31.55秒東経138度55分49.43秒﻿ / ﻿北緯35.9254306度 東経138.9303972度﻿ /35.9254306; 138.9303972﻿ (三峯神社)座標:北緯35度55分31.55秒東経138度55分49.43秒﻿ / ﻿北緯35.9254306度 東経138.9303972度﻿ /35.9254306; 138.9303972﻿ (三峯神社)","旧県社別表神社","4月8日","景行天皇年間","","三峯神社","筒粥神事（1月15日）節分追儺祭（ごもっともさま、2月3日）","","秩父三社","","","","","","","",""
"水無神社","[水無神社[要曖昧さ回避] 水無神社 （すいむじんじゃ / みなしじんじゃ）は 神社 。","https://ja.wikipedia.org/wiki/水無神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"水無瀬神宮","[水無瀬神宮（大阪府島本町）] 水無瀬神宮 （みなせじんぐう）は、 大阪府 三島郡 島本町 にある 神宮 。旧 社格 は 官幣大社 。旧称は 水無瀨宮 。","https://ja.wikipedia.org/wiki/水無瀬神宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度53分5.6秒東経135度40分23.1秒","大阪府三島郡島本町広瀬3丁目10-24","後鳥羽天皇土御門天皇順徳天皇","北緯34度53分5.6秒東経135度40分23.1秒﻿ / ﻿北緯34.884889度 東経135.673083度﻿ /34.884889; 135.673083﻿ (水無瀬神宮)座標:北緯34度53分5.6秒東経135度40分23.1秒﻿ / ﻿北緯34.884889度 東経135.673083度﻿ /34.884889; 135.673083﻿ (水無瀬神宮)","旧官幣大社別表神社","12月7日","1240年（仁治元年）","","水無瀬神宮","","","神仏霊場巡拝の道62番（大阪第21番）","","","","","","","",""
"水屋神社 (存在しないページ)","[水屋神社（三重県）]","https://ja.wikipedia.org/w/index.php?title=水屋神社&amp;action=edit&amp;redlink=1","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"水尾神社","[水尾神社（滋賀県高島市）] 水尾神社 （みおじんじゃ/みをじんじゃ）は、 滋賀県 高島市 拝戸（はいど）にある 神社 。 式内社 （ 名神大社 ）で、 旧社格 は 県社 。 神紋 は「菊」  。","https://ja.wikipedia.org/wiki/水尾神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度18分23.67秒東経135度59分18.13秒","滋賀県高島市拝戸716","磐衝別命比咩神","北緯35度18分23.67秒東経135度59分18.13秒﻿ / ﻿北緯35.3065750度 東経135.9883694度﻿ /35.3065750; 135.9883694﻿ (水尾神社)座標:北緯35度18分23.67秒東経135度59分18.13秒﻿ / ﻿北緯35.3065750度 東経135.9883694度﻿ /35.3065750; 135.9883694﻿ (水尾神社)","式内社（名神大2座）旧県社","5月3日","不詳","流造","","","","","","","","","","","",""
"湊川神社","[湊川神社（兵庫県神戸市）] 湊川神社 （みなとがわじんじゃ）は、 兵庫県 神戸市 中央区 多聞通にある 神社 。祭神は 楠木正成 。地元では親しみを込めて「楠公（なんこう）さん」と呼ばれている。 建武中興十五社 の一社で、 旧社格 は 別格官幣社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/湊川神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度40分53.5秒東経135度10分32秒","兵庫県神戸市中央区多聞通3丁目1-1","楠木正成","北緯34度40分53.5秒東経135度10分32秒﻿ / ﻿北緯34.681528度 東経135.17556度﻿ /34.681528; 135.17556﻿ (湊川神社)座標:北緯34度40分53.5秒東経135度10分32秒﻿ / ﻿北緯34.681528度 東経135.17556度﻿ /34.681528; 135.17556﻿ (湊川神社)","旧別格官幣社別表神社","7月12日","明治5年（1872年）","","湊川神社","","","神仏霊場巡拝の道第70番（兵庫第5番）","","","","","","","",""
"美保神社","[美保神社（島根県）] 美保神社 （みほじんじゃ）は、 島根県 松江市 にある 神社 である。 式内社 で、旧 社格 は 国幣中社 。","https://ja.wikipedia.org/wiki/美保神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度33分44.32秒東経133度18分21.77秒","島根県松江市美保関町美保関608","事代主神三穂津姫命","北緯35度33分44.32秒東経133度18分21.77秒﻿ / ﻿北緯35.5623111度 東経133.3060472度﻿ /35.5623111; 133.3060472﻿ (美保神社)座標:北緯35度33分44.32秒東経133度18分21.77秒﻿ / ﻿北緯35.5623111度 東経133.3060472度﻿ /35.5623111; 133.3060472﻿ (美保神社)","式内社（小）旧国幣中社別表神社","4月7日（青柴垣神事）","不詳","美保造","","神迎神事虫探神事諸手船神事","","出雲國神仏霊場8番","","","","","","","",""
"宮浦宮","[宮浦宮（鹿児島県）] 宮浦宮 （みやうらぐう）は 鹿児島県 霧島市 福山町福山に鎮座する 神社 。『 延喜式神名帳 』に載る 大隅国 の 式内社 5社の1社とされ、 旧社格 は 県社 。","https://ja.wikipedia.org/wiki/宮浦宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯31度40分15.9秒東経130度49分10.3秒","鹿児島県霧島市福山町福山2437","神武天皇天神七代・地神五代","北緯31度40分15.9秒東経130度49分10.3秒﻿ / ﻿北緯31.671083度 東経130.819528度﻿ /31.671083; 130.819528座標:北緯31度40分15.9秒東経130度49分10.3秒﻿ / ﻿北緯31.671083度 東経130.819528度﻿ /31.671083; 130.819528","式内小社・旧県社","4月3日","不明","神明造","","","宮浦大明神","","","","","","","","",""
"三宅八幡宮","[三宅八幡宮（京都市左京区）] 三宅八幡宮 （みやけはちまんぐう）は、 京都府 京都市 左京区 上高野 三宅町 にある 神社 である。御利益は子供の守り神として かんの虫 封じ、夜泣き、安産、学業成就の他、虫退治の神として害虫駆除にも効果があるとされ、別名「 虫八幡 」とも呼ばれる  。近年かんの虫退治の信仰の広がりを物語る大量の大 絵馬 が見つかり、民俗文化の貴重な資料として、国の 重要有形民俗文化財 に指定されている。","https://ja.wikipedia.org/wiki/三宅八幡宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度4分6.08秒東経135度47分38.76秒","京都府京都市左京区上高野三宅町22","応神天皇","北緯35度4分6.08秒東経135度47分38.76秒﻿ / ﻿北緯35.0683556度 東経135.7941000度﻿ /35.0683556; 135.7941000﻿ (三宅八幡宮)座標:北緯35度4分6.08秒東経135度47分38.76秒﻿ / ﻿北緯35.0683556度 東経135.7941000度﻿ /35.0683556; 135.7941000﻿ (三宅八幡宮)","村社（近代社格制度）","9月　14･15･16日　秋の大祭（三宅八幡放生会）","（伝）飛鳥時代","","三宅八幡宮","","虫八幡","","","","","","","","",""
"宮崎神宮","[宮崎神宮（宮崎県）] 宮崎神宮 （みやざきじんぐう）は、 宮崎県 宮崎市 神宮にある 神社 である。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/宮崎神宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯31度56分18.7秒東経131度25分24.5秒","宮崎県宮崎市神宮二丁目4-1","神日本磐余彦尊（神武天皇）","北緯31度56分18.7秒東経131度25分24.5秒﻿ / ﻿北緯31.938528度 東経131.423472度﻿ /31.938528; 131.423472﻿ (宮崎神宮)座標:北緯31度56分18.7秒東経131度25分24.5秒﻿ / ﻿北緯31.938528度 東経131.423472度﻿ /31.938528; 131.423472﻿ (宮崎神宮)","旧官幣大社別表神社","10月26日","不明","切妻造銅板葺","宮崎神宮","皇宮屋破魔矢祭（摂社・皇宮神社＝皇宮屋）（1月14日）神事流鏑馬（4月3日）宮崎神宮大祭（例祭後の土・日曜日）","神武さま","","","","","","","","",""
"宮地嶽神社","[宮地嶽神社（福岡県福津市）] 宮地嶽神社 （みやじだけじんじゃ）は、 福岡県 福津市 に所在する 神社 。 神功皇后 を主祭神とし、勝村大神・勝頼大神を配祀する。","https://ja.wikipedia.org/wiki/宮地嶽神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯33度46分47.2秒東経130度29分9.9秒","福岡県福津市宮司元町7-1","神功皇后","北緯33度46分47.2秒東経130度29分9.9秒﻿ / ﻿北緯33.779778度 東経130.486083度﻿ /33.779778; 130.486083﻿ (宮地嶽神社)座標:北緯33度46分47.2秒東経130度29分9.9秒﻿ / ﻿北緯33.779778度 東経130.486083度﻿ /33.779778; 130.486083﻿ (宮地嶽神社)","県社・別表神社","9月21日-9月23日（御神幸祭）","（伝）神功皇后の時代","","宮地嶽神社","","","","","","","","","","",""
"宮原三神宮","[宮原三神宮（熊本県氷川町）] 宮原三神宮 （みやはらさんじんぐう、みやのはらさんじんぐう）は、 熊本県 八代郡 氷川町 にある 神社 である。旧 社格 は郷社。八代北部全域の守護神として尊崇されている。","https://ja.wikipedia.org/wiki/宮原三神宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯32度33分29秒東経130度40分45秒","熊本県八代郡氷川町宮原492","天照大神国常立尊神武天皇","北緯32度33分29秒東経130度40分45秒﻿ / ﻿北緯32.557986度 東経130.679128度﻿ /32.557986; 130.679128座標:北緯32度33分29秒東経130度40分45秒﻿ / ﻿北緯32.557986度 東経130.679128度﻿ /32.557986; 130.679128","郷社","10月13日","1159年（平治元年）社殿造営1161年（応保元年）勧請・創建","","","","三宮社三宮大明神","","","","","","","","",""
"三吉神社 (札幌市)","[三吉神社（北海道札幌市）] 三吉神社 （みよしじんじゃ）とは、 北海道 札幌市 中央区 南1条西 8丁目にある神社である。 旧社格 は県社。","https://ja.wikipedia.org/wiki/三吉神社_(札幌市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯43度3分30.4秒東経141度20分42.6秒","北海道札幌市中央区南1条西8丁目17番地","大巳貴神少彦名神藤原三吉神金刀比羅宮天満宮","北緯43度3分30.4秒東経141度20分42.6秒﻿ / ﻿北緯43.058444度 東経141.345167度﻿ /43.058444; 141.345167﻿ (三吉神社 (札幌市))座標:北緯43度3分30.4秒東経141度20分42.6秒﻿ / ﻿北緯43.058444度 東経141.345167度﻿ /43.058444; 141.345167﻿ (三吉神社 (札幌市))","県社","5月15日","1878年（明治11年）","切妻造","三吉神社","","","","","","","","","","",""
"陸奥総社宮","[陸奥総社宮（宮城県多賀城市）] 陸奥総社宮 （むつそうしゃのみや/むつそうじゃぐう）は、 宮城県 多賀城市 市川にある 神社 。 陸奥国 総社 で、 旧社格 は 村社 。","https://ja.wikipedia.org/wiki/陸奥総社宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯38度18分39.82秒東経140度59分35.95秒","宮城県多賀城市市川字奏社1番地","八塩道老翁神八塩道老女神","北緯38度18分39.82秒東経140度59分35.95秒﻿ / ﻿北緯38.3110611度 東経140.9933194度﻿ /38.3110611; 140.9933194﻿ (陸奥総社宮)座標:北緯38度18分39.82秒東経140度59分35.95秒﻿ / ﻿北緯38.3110611度 東経140.9933194度﻿ /38.3110611; 140.9933194﻿ (陸奥総社宮)","陸奥国総社旧村社","4月第3日曜","不詳","流造","陸奥総社宮陸奥総社宮 (宮城県)","","奏社宮","","","","","","","","",""
"向日神社","[向日神社（京都府向日市）] 向日神社 （むこうじんじゃ）は、 京都府 向日市 に鎮座する 神社 。 向日明神 とも。 式内社 （ 名神大社 ・小社）で、旧 社格 は 府社 。","https://ja.wikipedia.org/wiki/向日神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度56分38.8秒東経135度41分49.6秒","京都府向日市向日町北山65","向日神火雷大神玉依姫命神武天皇","北緯34度56分38.8秒東経135度41分49.6秒﻿ / ﻿北緯34.944111度 東経135.697111度﻿ /34.944111; 135.697111﻿ (向日神社)座標:北緯34度56分38.8秒東経135度41分49.6秒﻿ / ﻿北緯34.944111度 東経135.697111度﻿ /34.944111; 135.697111﻿ (向日神社)","式内社（名神大・小）旧府社","5月第二日曜日","","三間社流造（国の重要文化財）","向日神社","","","","","","","","","","",""
