"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","標高","山系","種類","最新噴火","最高峰","延長","幅","上位山系","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"蒲生岳","[95がもうだけ蒲生岳福島県828地理院地図Googleマップ北緯37度23分19秒東経139度20分08秒﻿ / ﻿北緯37.388528度 東経139.335533度﻿ /37.388528; 139.335533﻿ (蒲生岳)] 蒲生岳 （がもうだけ）は、 福島県 南会津郡 只見町 にある山である。","https://ja.wikipedia.org/wiki/蒲生岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度23分18.7秒東経139度20分07.8秒","北緯37度23分18.7秒東経139度20分07.8秒﻿ / ﻿北緯37.388528度 東経139.335500度﻿ /37.388528; 139.335500座標:北緯37度23分18.7秒東経139度20分07.8秒﻿ / ﻿北緯37.388528度 東経139.335500度﻿ /37.388528; 139.335500","日本福島県南会津郡只見町","828m","","","","","","","","","","","","","","","",""
"会津朝日岳","[96あいづあさひだけ会津朝日岳福島県1,624.3地理院地図Googleマップ北緯37度13分16秒東経139度20分23秒﻿ / ﻿北緯37.221149度 東経139.339651度﻿ /37.221149; 139.339651﻿ (会津朝日岳)日本二百名山朝日岳] 会津朝日岳 （あいづあさひだけ）は、 福島県 南会津郡 只見町 の南部にある山である。 標高 1,624.2m。三等 三角点 「朝日岳」設置。 越後三山只見国定公園 に属する。","https://ja.wikipedia.org/wiki/会津朝日岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度13分16.1秒東経139度20分22.7秒","北緯37度13分16.1秒東経139度20分22.7秒﻿ / ﻿北緯37.221139度 東経139.339639度﻿ /37.221139; 139.339639座標:北緯37度13分16.1秒東経139度20分22.7秒﻿ / ﻿北緯37.221139度 東経139.339639度﻿ /37.221139; 139.339639","日本福島県南会津郡只見町","1,624.2m","","","","","","","","","","","","","","","",""
"浅草岳","[97あさくさだけ浅草岳福島県新潟県1,585.5地理院地図Googleマップ北緯37度20分37秒東経139度14分01秒﻿ / ﻿北緯37.343589度 東経139.233565度﻿ /37.343589; 139.233565﻿ (浅草岳)日本三百名山越後百山] 浅草岳 （あさくさだけ）は、 越後山脈 に位置し、 新潟県 魚沼市 、 福島県 南会津郡 只見町 にまたがる第四紀火山である。標高1,585.5m。一等 三角点 「浅草岳」設置。 越後三山只見国定公園 に属する。","https://ja.wikipedia.org/wiki/浅草岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度20分36.9秒東経139度14分00.8秒","北緯37度20分36.9秒東経139度14分00.8秒﻿ / ﻿北緯37.343583度 東経139.233556度﻿ /37.343583; 139.233556座標:北緯37度20分36.9秒東経139度14分00.8秒﻿ / ﻿北緯37.343583度 東経139.233556度﻿ /37.343583; 139.233556","日本新潟県魚沼市・福島県南会津郡只見町","1,585.5m","越後山脈","成層火山","","","","","","","","","","","","","",""
"鎌倉岳 (田村市)","[98かまくらだけ鎌倉岳福島県966.8地理院地図Googleマップ北緯37度28分01秒東経140度41分20秒﻿ / ﻿北緯37.467028度 東経140.688885度﻿ /37.467028; 140.688885﻿ (鎌倉岳)花の百名山新・花の百名山] 鎌倉岳 （かまくらだけ）は、 阿武隈高地 中部、 福島県 田村市 常葉（ときわ）地区に位置する標高967mの山である  。 東北百名山 ならびに うつくしま百名山 の一つに選ばれている。","https://ja.wikipedia.org/wiki/鎌倉岳_(田村市)","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度28分01秒東経140度41分20秒","北緯37度28分01秒東経140度41分20秒﻿ / ﻿北緯37.46694度 東経140.68889度﻿ /37.46694; 140.68889座標:北緯37度28分01秒東経140度41分20秒﻿ / ﻿北緯37.46694度 東経140.68889度﻿ /37.46694; 140.68889","日本福島県田村市","966.6m","阿武隈高地","","","","","","","","","","","","","","",""
"蓬田岳","[99よもぎだだけ蓬田岳福島県952.2地理院地図Googleマップ北緯37度15分57秒東経140度32分05秒﻿ / ﻿北緯37.265802度 東経140.534738度﻿ /37.265802; 140.534738﻿ (蓬田岳)] 蓬田岳 （よもぎだだけ）は、 阿武隈高地 に属する標高952mの山である。","https://ja.wikipedia.org/wiki/蓬田岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度15分57秒東経140度32分5秒","北緯37度15分57秒東経140度32分5秒﻿ / ﻿北緯37.26583度 東経140.53472度﻿ /37.26583; 140.53472","日本福島県石川郡平田村・須賀川市・郡山市","952.2m","阿武隈高地","","","","","","","","","","","","","","",""
"二ッ箭山","[100ふたつやさん二ッ箭山福島県709.7地理院地図Googleマップ北緯37度10分23秒東経140度52分13秒﻿ / ﻿北緯37.173030度 東経140.870415度﻿ /37.173030; 140.870415﻿ (二ッ箭山)] 二ッ箭山 （ふたつやさん）は、 福島県 いわき市 にある 山 。 標高 709.7m。二つの矢を立てたように見えるためこう呼ばれている。昔から船乗りや地元の人々の信仰を集めている。磐城地方における 修験道 二大派閥の道場のひとつ。 東北百名山 や うつくしま百名山 にも選定されている。","https://ja.wikipedia.org/wiki/二ッ箭山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度10分23.1秒東経140度52分13.4秒","北緯37度10分23.1秒東経140度52分13.4秒﻿ / ﻿北緯37.173083度 東経140.870389度﻿ /37.173083; 140.870389座標:北緯37度10分23.1秒東経140度52分13.4秒﻿ / ﻿北緯37.173083度 東経140.870389度﻿ /37.173083; 140.870389","日本福島県いわき市","709.7m","阿武隈高地","","","","","","","","","","","","","","",""
"十和田山 (存在しないページ)","[2とわだやま十和田山青森県1,053.9地理院地図Googleマップ北緯40度27分45秒東経140度58分15秒﻿ / ﻿北緯40.462478度 東経140.970967度﻿ /40.462478; 140.970967﻿ (十和田山)十和田湖外輪山]","https://ja.wikipedia.org/w/index.php?title=十和田山&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"釜臥山","[4かまふせやま釜臥山青森県878.3地理院地図Googleマップ北緯41度16分43秒東経141度07分12秒﻿ / ﻿北緯41.278520度 東経141.120011度﻿ /41.278520; 141.120011﻿ (釜臥山)恐山] 釜臥山 （かまふせやま、かまぶせやま）は、 青森県 むつ市 にある山である。 下北半島 中央部に位置する 恐山山地 の最高峰であり 標高 は878.2m。 恐火山 の先カルデラ火山である  。","https://ja.wikipedia.org/wiki/釜臥山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯41度16分43秒東経141度07分12秒","北緯41度16分43秒東経141度07分12秒﻿ / ﻿北緯41.27861度 東経141.12000度﻿ /41.27861; 141.12000座標:北緯41度16分43秒東経141度07分12秒﻿ / ﻿北緯41.27861度 東経141.12000度﻿ /41.27861; 141.12000","日本青森県むつ市","878.2m","恐山山地","火山（恐火山の一部）","","","","","","","","","","","","","",""
"五の宮岳","[10ごのみやだけ五ノ宮岳秋田県1,115.0地理院地図Googleマップ北緯40度08分45秒東経140度50分45秒﻿ / ﻿北緯40.145843度 東経140.845930度﻿ /40.145843; 140.845930﻿ (五ノ宮岳)五ノ宮嶽] 五の宮岳 （ごのみやたけ）は、 秋田県 鹿角市 にある 山 である。 五ノ宮嶽 と表記される場合がある。","https://ja.wikipedia.org/wiki/五の宮岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度08分45秒東経140度50分45秒","北緯40度08分45秒東経140度50分45秒﻿ / ﻿北緯40.14583度 東経140.84583度﻿ /40.14583; 140.84583座標:北緯40度08分45秒東経140度50分45秒﻿ / ﻿北緯40.14583度 東経140.84583度﻿ /40.14583; 140.84583","日本秋田県鹿角市","1,115m","","","","","","","","","","","","","","","",""
"白岩岳 (存在しないページ)","[12しらいわだけ白岩岳秋田県1,177地理院地図Googleマップ北緯39度35分20秒東経140度41分42秒﻿ / ﻿北緯39.588975度 東経140.695122度﻿ /39.588975; 140.695122﻿ (白岩岳)]","https://ja.wikipedia.org/w/index.php?title=白岩岳&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"黒森山 (盛岡市・紫波町)","[22くろもりやま黒森山岩手県836.8地理院地図Googleマップ北緯39度36分13秒東経141度16分39秒﻿ / ﻿北緯39.603732度 東経141.277636度﻿ /39.603732; 141.277636﻿ (黒森山)紫黒森山　] 黒森山 （くろもりやま）とは、 岩手県 盛岡市 と 紫波郡 紫波町 の境に位置する 標高 837.3 m の 山 である。","https://ja.wikipedia.org/wiki/黒森山_(盛岡市・紫波町)","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度36分13.3秒東経141度16分39.5秒","北緯39度36分13.3秒東経141度16分39.5秒﻿ / ﻿北緯39.603694度 東経141.277639度﻿ /39.603694; 141.277639座標:北緯39度36分13.3秒東経141度16分39.5秒﻿ / ﻿北緯39.603694度 東経141.277639度﻿ /39.603694; 141.277639","日本岩手県盛岡市・紫波郡紫波町","837.3m","北上山地","","","","","","","","","","","","","","",""
"稲庭岳","[23いなにわだけ稲庭岳岩手県1,077.9地理院地図Googleマップ北緯40度11分55秒東経141度02分46秒﻿ / ﻿北緯40.198627度 東経141.046202度﻿ /40.198627; 141.046202﻿ (稲庭岳)] 稲庭岳 （いなにわだけ）は、 岩手県 二戸市 にある標高1,078mの 山 である。 稲庭岳は昔は、西側の田山方面への登山道があり、南側の登山道は比較的最近作られたものであった。","https://ja.wikipedia.org/wiki/稲庭岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度11分55秒東経141度02分46秒","北緯40度11分55秒東経141度02分46秒﻿ / ﻿北緯40.19861度 東経141.04611度﻿ /40.19861; 141.04611","日本岩手県：二戸市","1,078m","北部奥羽山脈","","","","","","","","","","","","","","",""
"硯上山 (存在しないページ)","[61画 像 募 集 中けんじょうさん硯上山宮城県519.9地理院地図Googleマップ北緯38度30分10秒東経141度25分51秒﻿ / ﻿北緯38.502660度 東経141.430954度﻿ /38.502660; 141.430954﻿ (硯上山)]","https://ja.wikipedia.org/w/index.php?title=硯上山&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"蛤山 (存在しないページ)","[69画 像 募 集 中はまぐりやま蛤山宮城県980.7地理院地図Googleマップ北緯38度01分44秒東経140度26分48秒﻿ / ﻿北緯38.028766度 東経140.446689度﻿ /38.028766; 140.446689﻿ (蛤山)]","https://ja.wikipedia.org/w/index.php?title=蛤山&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"朳差岳","[80えぶりさしだけ朳差岳新潟県1,636.4地理院地図Googleマップ北緯37度56分33秒東経139度36分32秒﻿ / ﻿北緯37.942613度 東経139.608818度﻿ /37.942613; 139.608818﻿ (朳差岳)日本二百名山飯豊連峰] 朳差岳 （えぶりさしだけ）は、 新潟県 岩船郡 関川村 にある 飯豊山地 北部の山である。 標高 1,636.4m。 日本二百名山 の一つ。山頂付近では ニッコウキスゲ や マツムシソウ などの 高山植物 が見られる。","https://ja.wikipedia.org/wiki/朳差岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度56分33秒東経139度36分32秒","北緯37度56分33秒東経139度36分32秒﻿ / ﻿北緯37.94250度 東経139.60889度﻿ /37.94250; 139.60889座標:北緯37度56分33秒東経139度36分32秒﻿ / ﻿北緯37.94250度 東経139.60889度﻿ /37.94250; 139.60889","日本新潟県岩船郡関川村","1,636.4m","飯豊山地","","","","","","","","","","","","","","",""
"猫魔ヶ岳","[82ねこまがたけ猫魔ヶ岳福島県1,403.7地理院地図Googleマップ北緯37度36分42秒東経140度01分42秒﻿ / ﻿北緯37.611642度 東経140.028365度﻿ /37.611642; 140.028365﻿ (猫魔ヶ岳)] 猫魔ヶ岳 （ねこまがだけ）は 福島県 耶麻郡 磐梯町 、 北塩原村 にある山。標高1,403.6m。","https://ja.wikipedia.org/wiki/猫魔ヶ岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度36分41.9秒東経140度01分42.1秒","北緯37度36分41.9秒東経140度01分42.1秒﻿ / ﻿北緯37.611639度 東経140.028361度﻿ /37.611639; 140.028361座標:北緯37度36分41.9秒東経140度01分42.1秒﻿ / ﻿北緯37.611639度 東経140.028361度﻿ /37.611639; 140.028361","日本福島県耶麻郡磐梯町・北塩原村","1,403.6m","猫魔火山","カルデラ外輪山","","","","","","","","","","","","","",""
