"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","駅番号","備考","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"新高岡駅","新高岡駅（しんたかおかえき）","https://ja.wikipedia.org/wiki/新高岡駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度43分37秒東経137度00分41秒","北陸新幹線[1]","305.8km（高崎起点）東京から410.8 km","西日本旅客鉄道（JR西日本）[1]","富山県高岡市下黒田3011北緯36度43分37秒東経137度00分41秒﻿ / ﻿北緯36.72694度 東経137.01139度﻿ /36.72694; 137.01139﻿ (新高岡駅)座標:北緯36度43分37秒東経137度00分41秒﻿ / ﻿北緯36.72694度 東経137.01139度﻿ /36.72694; 137.01139﻿ (新高岡駅)","高架駅（新幹線）地上駅（在来線）","2015年（平成27年）3月14日[1]","2面2線（新幹線）1面1線（在来線）","","直営駅みどりの窓口有","シタ","2,041[注 1]人/日（降車客含まず）-2019年-","","","","","","","",""
"新高島駅","新高島駅（しんたかしまえき）","https://ja.wikipedia.org/wiki/新高島駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度27分42.8秒東経139度37分36.5秒","■みなとみらい線","0.8 km（横浜起点）","横浜高速鉄道","横浜市西区みなとみらい五丁目1北緯35度27分42.8秒東経139度37分36.5秒﻿ / ﻿北緯35.461889度 東経139.626806度﻿ /35.461889; 139.626806﻿ (新高島駅)","地下駅","2004年（平成16年）2月1日[1]","2面2線","MM02","","","","7,039人/日-2019年-","","","","","","",""
"新高島平駅","新高島平駅（しんたかしまだいらえき）","https://ja.wikipedia.org/wiki/新高島平駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度47分25秒東経139度39分15.3秒","●[1]三田線","25.7 km（目黒起点）","東京都交通局（都営地下鉄）","東京都板橋区高島平七丁目1北緯35度47分25秒東経139度39分15.3秒﻿ / ﻿北緯35.79028度 東経139.654250度﻿ /35.79028; 139.654250﻿ (新高島平駅)座標:北緯35度47分25秒東経139度39分15.3秒﻿ / ﻿北緯35.79028度 東経139.654250度﻿ /35.79028; 139.654250﻿ (新高島平駅)","高架駅","1976年（昭和51年）5月6日","2面2線","I26[1]","業務委託駅","新高（駅名略称）","","10,000人/日-2019年-","","","","","","",""
"新高徳駅","新高徳駅（しんたかとくえき）","https://ja.wikipedia.org/wiki/新高徳駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度46分46.2秒東経139度42分40.0秒","■鬼怒川線","7.1 km（下今市起点）","東武鉄道","栃木県日光市高徳465北緯36度46分46.2秒東経139度42分40.0秒﻿ / ﻿北緯36.779500度 東経139.711111度﻿ /36.779500; 139.711111座標:北緯36度46分46.2秒東経139度42分40.0秒﻿ / ﻿北緯36.779500度 東経139.711111度﻿ /36.779500; 139.711111","地上駅","1917年（大正6年）11月1日","1面2線","TN53","","タト","","335人/日-2019年-","","","","","","",""
"新田辺駅","新田辺駅（しんたなべえき）","https://ja.wikipedia.org/wiki/新田辺駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度49分15.08秒東経135度46分22.34秒","B京都線","19.6 km（京都起点）","近畿日本鉄道（近鉄）","京都府京田辺市河原食田2-3北緯34度49分15.08秒東経135度46分22.34秒﻿ / ﻿北緯34.8208556度 東経135.7728722度﻿ /34.8208556; 135.7728722座標:北緯34度49分15.08秒東経135度46分22.34秒﻿ / ﻿北緯34.8208556度 東経135.7728722度﻿ /34.8208556; 135.7728722","地上駅（橋上駅）","1928年（昭和3年）11月3日","2面4線"," B16 ","","タナ","","（全日）26,060人/日-2019年-","京田辺駅（JR学研都市線）","","","","","",""
"新玉名駅","新玉名駅（しんたまなえき）","https://ja.wikipedia.org/wiki/新玉名駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯32度56分33秒東経130度34分24.8秒","九州新幹線（鹿児島ルート）","90.4km（博多起点）新大阪から712.7 km","九州旅客鉄道（JR九州）","熊本県玉名市玉名1229-3北緯32度56分33秒東経130度34分24.8秒﻿ / ﻿北緯32.94250度 東経130.573556度﻿ /32.94250; 130.573556座標:北緯32度56分33秒東経130度34分24.8秒﻿ / ﻿北緯32.94250度 東経130.573556度﻿ /32.94250; 130.573556","高架駅","2011年（平成23年）3月12日[1]","2面2線[1]","9088","直営駅みどりの窓口有","シタ","602人/日（降車客含まず）-2019年-","","","","","","","",""
"新田老駅","新田老駅（しんたろうえき）","https://ja.wikipedia.org/wiki/新田老駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯39度44分8.16秒東経141度58分2.28秒","■リアス線","105.2 km（盛起点）","三陸鉄道","岩手県宮古市田老字館が森155-7[1][2]北緯39度44分8.16秒東経141度58分2.28秒﻿ / ﻿北緯39.7356000度 東経141.9673000度﻿ /39.7356000; 141.9673000﻿ (新田老駅)","地上駅","2020年（令和2年）5月18日[1][3][4]","1面1線","","無人駅[1]","","","","","","","","","",""
"新地駅","新地駅（しんちえき）","https://ja.wikipedia.org/wiki/新地駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","■常磐線","315.6 km（日暮里起点）","東日本旅客鉄道（JR東日本）","","地上駅","1897年（明治30年）11月10日[1]","2面2線","","簡易委託駅","シチ","279人/日（降車客含まず）-2019年-","","","","","","","",""
"新地中華街停留場","新地中華街停留場（しんちちゅうかがいていりゅうじょう）","https://ja.wikipedia.org/wiki/新地中華街停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯32度44分34.58秒東経129度52分30.08秒","本線（■1号系統・□2号系統）","6.3km（住吉起点）赤迫から6.5 km","長崎電気軌道","長崎県長崎市銅座町1番地先北緯32度44分34.58秒東経129度52分30.08秒﻿ / ﻿北緯32.7429389度 東経129.8750222度﻿ /32.7429389; 129.8750222﻿ (新地中華街停留場)","地上駅","1961年（昭和36年）*","2面2線","31A（崇福寺・蛍茶屋方面）31B（長崎駅前・石橋方面）","* 前身停留場は1915年に開業。開業日については諸説あり","","3,261人/日（降車客含まず）-2015年-","","","","","","","",""
"新千歳空港駅","新千歳空港駅（しんちとせくうこうえき）","https://ja.wikipedia.org/wiki/新千歳空港駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯42度47分15.36秒東経141度40分53.03秒","■千歳線（支線）","2.6 km（南千歳起点）","北海道旅客鉄道（JR北海道）","北海道千歳市美々北緯42度47分15.36秒東経141度40分53.03秒﻿ / ﻿北緯42.7876000度 東経141.6813972度﻿ /42.7876000; 141.6813972﻿ (新千歳空港駅)座標:北緯42度47分15.36秒東経141度40分53.03秒﻿ / ﻿北緯42.7876000度 東経141.6813972度﻿ /42.7876000; 141.6813972﻿ (新千歳空港駅)","地下駅","1992年（平成4年）7月1日[1]","1面2線","○AP15","直営駅（管理駅）みどりの窓口有話せる券売機設置駅[2]","シセ","17,710人/日（降車客含まず）-2019年-","","","","","","","",""
"新千葉駅","新千葉駅（しんちばえき）","https://ja.wikipedia.org/wiki/新千葉駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度36分44.78秒東経140度6分29.71秒","■千葉線","11.7 km（京成津田沼起点）","京成電鉄","千葉市中央区登戸二丁目10番15号北緯35度36分44.78秒東経140度6分29.71秒座標:北緯35度36分44.78秒 東経140度6分29.71秒","地上駅","1923年（大正12年）7月24日","2面2線","KS58","","","","2,025人/日-2019年-","","","","","","",""
"新津田沼駅","新津田沼駅（しんつだぬまえき）","https://ja.wikipedia.org/wiki/新津田沼駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","■新京成線","25.3 km（松戸起点）","新京成電鉄","","地上駅（橋上駅）","1947年（昭和22年）12月27日","2面2線","SL23","","","","68,731人/日-2019年-","JO26JB33津田沼駅（総武本線）","","","","","",""
"新鶴羽駅","新鶴羽駅（しんつるばえき）","https://ja.wikipedia.org/wiki/新鶴羽駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯32度16分31.7秒東経130度57分59.0秒","■湯前線","23.3 km（人吉温泉駅起点）","くま川鉄道","熊本県球磨郡多良木町大字多良木北緯32度16分31.7秒東経130度57分59.0秒﻿ / ﻿北緯32.275472度 東経130.966389度﻿ /32.275472; 130.966389﻿ (新鶴羽駅)座標:北緯32度16分31.7秒東経130度57分59.0秒﻿ / ﻿北緯32.275472度 東経130.966389度﻿ /32.275472; 130.966389﻿ (新鶴羽駅)","地上駅","1989年（平成元年）10月1日","1面1線","","無人駅","","","","","","","","","",""
"神鉄道場駅","神鉄道場駅（しんてつどうじょうえき）","https://ja.wikipedia.org/wiki/神鉄道場駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","三田線","8.5km（有馬口起点）湊川から28.5km新開地から28.9 km","神戸電鉄","","地上駅[1]","1928年（昭和3年）12月18日[1]","1面1線[1]","○KB26","無人駅[1]*1991年に道場川原駅から改称[1]","","1,303人/日（降車客含まず）-2019年-","1,963[2]人/日-2019年-","","","","","","",""
"神鉄六甲駅","神鉄六甲駅（しんてつろっこうえき）","https://ja.wikipedia.org/wiki/神鉄六甲駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","有馬線","18.1km（湊川起点）新開地から18.5 km","神戸電鉄","","地上駅[1]","1928年（昭和3年）11月28日[1]","2面2線[1]","○KB13","無人駅[1]","","560人/日（降車客含まず）-2019年-","1,128[2]人/日-2019年-","","","","","","",""
"新田駅 (京都府)","新田駅 (京都府)（しんでんえき・西日本旅客鉄道奈良線）","https://ja.wikipedia.org/wiki/新田駅_(京都府)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度52分27.27秒東経135度46分49.96秒","D奈良線","16.6 km（木津起点）","西日本旅客鉄道（JR西日本）","京都府宇治市広野町東裏北緯34度52分27.27秒東経135度46分49.96秒﻿ / ﻿北緯34.8742417度 東経135.7805444度﻿ /34.8742417; 135.7805444座標:北緯34度52分27.27秒東経135度46分49.96秒﻿ / ﻿北緯34.8742417度 東経135.7805444度﻿ /34.8742417; 135.7805444","地上駅","1896年（明治29年）1月25日","2面2線","JR-D11","業務委託駅","シテ","3,178人/日（降車客含まず）-2019年-","","","","","","","",""
"新田駅 (埼玉県)","新田駅 (埼玉県)（しんでんえき・東武伊勢崎線）","https://ja.wikipedia.org/wiki/新田駅_(埼玉県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度51分13.94秒東経139度47分44.64秒","■伊勢崎線（東武スカイツリーライン）","20.5 km（浅草駅起点）","東武鉄道","埼玉県草加市金明町道下263-2北緯35度51分13.94秒東経139度47分44.64秒﻿ / ﻿北緯35.8538722度 東経139.7957333度﻿ /35.8538722; 139.7957333﻿ (新田駅)座標:北緯35度51分13.94秒東経139度47分44.64秒﻿ / ﻿北緯35.8538722度 東経139.7957333度﻿ /35.8538722; 139.7957333﻿ (新田駅)","高架駅","1899年（明治32年）12月20日","1面2線","TS18","業務委託駅","シン","","31,295人/日-2019年-","","","","","","",""
"神田（交通局前）停留場","神田（交通局前）停留場（しんでん（こうつうきょくまえ）ていりゅうじょう）","https://ja.wikipedia.org/wiki/神田（交通局前）停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯31度34分23.82秒東経130度32分26.61秒","鹿児島市電唐湊線（2系統）","1.2km（鹿児島中央駅前起点）鹿児島駅前から4.1 km","鹿児島市交通局","鹿児島県鹿児島市上荒田町北緯31度34分23.82秒東経130度32分26.61秒﻿ / ﻿北緯31.5732833度 東経130.5407250度﻿ /31.5732833; 130.5407250﻿ (神田（交通局前）停留場*)","地上駅","1952年6月1日","2面2線","●N15","* 2015年に神田停留場から改称","","","554人/日-2015年-","","","","","","",""
"新田原駅","新田原駅（しんでんばるえき）","https://ja.wikipedia.org/wiki/新田原駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度41分43.91秒東経131度0分29.38秒","■日豊本線","30.2 km（小倉起点）","九州旅客鉄道（JR九州）","福岡県行橋市大字道場寺[1]1589北緯33度41分43.91秒東経131度0分29.38秒","地上駅","1897年（明治30年）9月25日[1]","2面3線[1]","","業務委託駅みどりの窓口有[1]","シル","874人/日（降車客含まず）-2019年-","","","","","","","",""
"新堂駅","新堂駅（しんどうえき）","https://ja.wikipedia.org/wiki/新堂駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度49分15.95秒東経136度12分24.06秒","V関西本線","86.1 km（名古屋起点）亀山から26.2 km","西日本旅客鉄道（JR西日本）","三重県伊賀市新堂中出318北緯34度49分15.95秒東経136度12分24.06秒﻿ / ﻿北緯34.8210972度 東経136.2066833度﻿ /34.8210972; 136.2066833座標:北緯34度49分15.95秒東経136度12分24.06秒﻿ / ﻿北緯34.8210972度 東経136.2066833度﻿ /34.8210972; 136.2066833","地上駅","1921年（大正10年）7月15日","1面2線","","簡易委託駅","シト","195人/日（降車客含まず）-2019年-","","","","","","","",""
"新道東駅","新道東駅（しんどうひがしえき）","https://ja.wikipedia.org/wiki/新道東駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯43度6分16.79秒東経141度22分8.71秒","札幌市営地下鉄東豊線","0.9 km（栄町起点）","札幌市交通局","札幌市東区北34条東16丁目北緯43度6分16.79秒東経141度22分8.71秒﻿ / ﻿北緯43.1046639度 東経141.3690861度﻿ /43.1046639; 141.3690861﻿ (新道東駅)座標:北緯43度6分16.79秒東経141度22分8.71秒﻿ / ﻿北緯43.1046639度 東経141.3690861度﻿ /43.1046639; 141.3690861﻿ (新道東駅)","地下駅","1988年（昭和63年）12月2日[新聞 1][新聞 2]","2面2線","○H02","","","7,977人/日（降車客含まず）-2019年-","","","","","","","",""
"新得駅","新得駅（しんとくえき）","https://ja.wikipedia.org/wiki/新得駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯43度4分56.71秒東経142度49分56.96秒","■■根室本線","136.3 km（滝川起点）","北海道旅客鉄道（JR北海道）","北海道上川郡新得町本通北1丁目北緯43度4分56.71秒東経142度49分56.96秒座標:北緯43度4分56.71秒 東経142度49分56.96秒","地上駅","1907年（明治40年）9月8日","2面3線","○K23","直営駅（管理駅）みどりの窓口有","トク","243人/日（降車客含まず）-2018年-","","","","","","","",""
"新所沢駅","新所沢駅（しんところざわえき）","https://ja.wikipedia.org/wiki/新所沢駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度48分24秒東経139度27分22秒","■新宿線","31.7 km（西武新宿起点）","西武鉄道","埼玉県所沢市緑町一丁目21-25北緯35度48分24秒東経139度27分22秒﻿ / ﻿北緯35.80667度 東経139.45611度﻿ /35.80667; 139.45611座標:北緯35度48分24秒東経139度27分22秒﻿ / ﻿北緯35.80667度 東経139.45611度﻿ /35.80667; 139.45611","地上駅（橋上駅）","1951年（昭和26年）6月11日","2面4線","SS24","前身である所沢御幸町駅の開業日は1938年（昭和13年）6月21日","","","54,822人/日-2019年-","","","","","","",""
"新鳥栖駅","新鳥栖駅（しんとすえき）","https://ja.wikipedia.org/wiki/新鳥栖駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度22分12.7秒東経130度29分28.3秒","■九州新幹線（鹿児島ルート）","28.6km（博多起点）新大阪から650.9 km","九州旅客鉄道（JR九州）","佐賀県鳥栖市原古賀町220-2北緯33度22分12.7秒東経130度29分28.3秒﻿ / ﻿北緯33.370194度 東経130.491194度﻿ /33.370194; 130.491194座標:北緯33度22分12.7秒東経130度29分28.3秒﻿ / ﻿北緯33.370194度 東経130.491194度﻿ /33.370194; 130.491194","高架駅（新幹線）地上駅（在来線）","2011年（平成23年）3月12日","2面4線（新幹線）2面2線（在来線）","JH  02 ","新幹線：直営駅在来線：業務委託駅みどりの窓口有","シト","1,642人/日（降車客含まず）-2019年-","","","","","","","",""
"新栃木駅","新栃木駅（しんとちぎえき）","https://ja.wikipedia.org/wiki/新栃木駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度23分23.01秒東経139度44分32.11秒","■日光線","47.9 km（東武動物公園起点）","東武鉄道","栃木県栃木市平柳町一丁目8-18北緯36度23分23.01秒東経139度44分32.11秒﻿ / ﻿北緯36.3897250度 東経139.7422528度﻿ /36.3897250; 139.7422528﻿ (新栃木駅)座標:北緯36度23分23.01秒東経139度44分32.11秒﻿ / ﻿北緯36.3897250度 東経139.7422528度﻿ /36.3897250; 139.7422528﻿ (新栃木駅)","地上駅","1929年（昭和4年）4月1日","2面3線","TN12","","トチ","","4,163人/日-2019年-","","","","","","",""
"新富町駅","新富町駅（しんとみちょうえき・東京地下鉄有楽町線）","https://ja.wikipedia.org/wiki/新富町駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度40分13.8秒東経139度46分25.4秒","●[1]有楽町線","22.4 km（和光市起点）","東京地下鉄（東京メトロ）","東京都中央区築地一丁目1-1北緯35度40分13.8秒東経139度46分25.4秒﻿ / ﻿北緯35.670500度 東経139.773722度﻿ /35.670500; 139.773722﻿ (新富町駅)座標:北緯35度40分13.8秒東経139度46分25.4秒﻿ / ﻿北緯35.670500度 東経139.773722度﻿ /35.670500; 139.773722﻿ (新富町駅)","地下駅","1980年（昭和55年）3月27日","2面2線","Y20[1]","","トミ","","43,838人/日-2019年-","H11[1]築地駅（東京メトロ日比谷線）","","","","","",""
"新富町停留場","新富町停留場（しんとみちょうていりゅうじょう・富山地方鉄道富山市内軌道線）","https://ja.wikipedia.org/wiki/新富町停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度41分55.6秒東経137度12分40.7秒","富山軌道線（支線）","0.3km（電鉄富山駅・エスタ前起点）南富山駅前から3.9 km","富山地方鉄道","富山県富山市新富町北緯36度41分55.6秒東経137度12分40.7秒﻿ / ﻿北緯36.698778度 東経137.211306度﻿ /36.698778; 137.211306﻿ (新富町停留場*)座標:北緯36度41分55.6秒東経137度12分40.7秒﻿ / ﻿北緯36.698778度 東経137.211306度﻿ /36.698778; 137.211306﻿ (新富町停留場*)","地上駅","1913年（大正2年）9月1日","相対式2面2線","C16","","","","526[1]人/日-2019年-","","","","","","",""
"新豊洲駅","新豊洲駅（しんとよすえき）","https://ja.wikipedia.org/wiki/新豊洲駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度38分55.2秒東経139度47分24.2秒","東京臨海新交通臨海線","14.0 km（新橋起点）","ゆりかもめ","東京都江東区豊洲六丁目北緯35度38分55.2秒東経139度47分24.2秒﻿ / ﻿北緯35.648667度 東経139.790056度﻿ /35.648667; 139.790056﻿ (新豊洲駅)座標:北緯35度38分55.2秒東経139度47分24.2秒﻿ / ﻿北緯35.648667度 東経139.790056度﻿ /35.648667; 139.790056﻿ (新豊洲駅)","高架駅","2006年（平成18年）3月27日[1]","1面2線","U15","無人駅","","","6,600人/日-2018年-","","","","","","",""
"新豊田駅","新豊田駅（しんとよたえき）","https://ja.wikipedia.org/wiki/新豊田駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度5分16.1秒東経137度9分12.8秒","■愛知環状鉄道線","19.5 km（岡崎起点）","愛知環状鉄道*","愛知県豊田市小坂本町1-16北緯35度5分16.1秒東経137度9分12.8秒﻿ / ﻿北緯35.087806度 東経137.153556度﻿ /35.087806; 137.153556座標:北緯35度5分16.1秒東経137度9分12.8秒﻿ / ﻿北緯35.087806度 東経137.153556度﻿ /35.087806; 137.153556","高架駅","1976年（昭和51年）4月26日","2面2線","○12","*1988年にJR東海から移管","トタ","","15,694人/日-2019年-","豊田市駅（名鉄三河線・名鉄豊田線）","","","","","",""
"新豊津駅","新豊津駅（しんとよつえき）","https://ja.wikipedia.org/wiki/新豊津駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度40分46.42秒東経130度57分49.95秒","■田川線","5.8 km（行橋起点）","■平成筑豊鉄道","福岡県京都郡みやこ町彦徳523-2北緯33度40分46.42秒東経130度57分49.95秒座標:北緯33度40分46.42秒 東経130度57分49.95秒","地上駅","1990年（平成2年）10月1日[1]","1面1線","HC26","無人駅","","","","","","","","","",""
"新豊橋駅","新豊橋駅（しんとよはしえき）","https://ja.wikipedia.org/wiki/新豊橋駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度45分44秒東経137度22分58.6秒","渥美線","0.0 km（新豊橋起点）","豊橋鉄道","愛知県豊橋市花田町西宿41番地北緯34度45分44秒東経137度22分58.6秒﻿ / ﻿北緯34.76222度 東経137.382944度﻿ /34.76222; 137.382944座標:北緯34度45分44秒東経137度22分58.6秒﻿ / ﻿北緯34.76222度 東経137.382944度﻿ /34.76222; 137.382944","地上駅","1927年（昭和2年）10月1日","1面2線"," 1 ","駅員配置駅 5:45-23:30*1927年（昭和2年）10月13日豊橋駅前駅より改称","","8,936人/日（降車客含まず）-2019年-","17,989人/日-2019年-","豊橋駅（JR・名鉄線）駅前停留場（豊橋鉄道東田本線）","","","","","",""
"新取手駅","新取手駅（しんとりでえき）","https://ja.wikipedia.org/wiki/新取手駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度55分2.94秒東経140度2分34.18秒","■常総線","3.4 km（取手起点）","関東鉄道","茨城県取手市新取手一丁目1-1北緯35度55分2.94秒東経140度2分34.18秒﻿ / ﻿北緯35.9174833度 東経140.0428278度﻿ /35.9174833; 140.0428278﻿ (新取手駅)座標:北緯35度55分2.94秒東経140度2分34.18秒﻿ / ﻿北緯35.9174833度 東経140.0428278度﻿ /35.9174833; 140.0428278﻿ (新取手駅)","地上駅","1968年（昭和43年）4月1日[2]","1面2線","","無人駅","","","1,985[1]人/日-2019年-","","","","","","",""
"新那加駅","新那加駅（しんなかえき）","https://ja.wikipedia.org/wiki/新那加駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度24分0.46秒東経136度50分1.81秒","各務原線","7.5 km（名鉄岐阜起点）","名古屋鉄道","岐阜県各務原市那加新那加町27北緯35度24分0.46秒東経136度50分1.81秒﻿ / ﻿北緯35.4001278度 東経136.8338361度﻿ /35.4001278; 136.8338361﻿ (新那加駅)座標:北緯35度24分0.46秒東経136度50分1.81秒﻿ / ﻿北緯35.4001278度 東経136.8338361度﻿ /35.4001278; 136.8338361﻿ (新那加駅)","地上駅","1926年（大正15年）1月21日","1面2線","KG  10 ","終日駅員配置駅","","","3,194人/日-2019年-","JR東海高山本線那加駅","","","","","",""
"新中川町停留場","新中川町停留場（しんなかがわまちていりゅうじょう）","https://ja.wikipedia.org/wiki/新中川町停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯32度45分8.26秒東経129度53分26.3秒","蛍茶屋支線（□2号系統・■3号系統・■4号系統・■5号系統）","1.9 km（西浜町起点）","長崎電気軌道","長崎県長崎市新中川町1番地先北緯32度45分8.26秒東経129度53分26.3秒﻿ / ﻿北緯32.7522944度 東経129.890639度﻿ /32.7522944; 129.890639﻿ (新中川町停留場)","地上駅","1934年（昭和9年）12月20日","2面2線","41","","","","2,700人/日-2015年-","","","","","","",""
"新長田駅","新長田駅（しんながたえき）","https://ja.wikipedia.org/wiki/新長田駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）神戸市交通局（駅詳細）","神戸市長田区","","","","","","","","","","","","","","",""
"新中野駅","新中野駅（しんなかのえき）","https://ja.wikipedia.org/wiki/新中野駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度41分50.9秒東経139度40分8.5秒","●[1]丸ノ内線","19.6 km（池袋起点）","東京地下鉄（東京メトロ）","東京都中野区中央四丁目2-15北緯35度41分50.9秒東経139度40分8.5秒﻿ / ﻿北緯35.697472度 東経139.669028度﻿ /35.697472; 139.669028﻿ (新中野駅)座標:北緯35度41分50.9秒東経139度40分8.5秒﻿ / ﻿北緯35.697472度 東経139.669028度﻿ /35.697472; 139.669028﻿ (新中野駅)","地下駅","1961年（昭和36年）2月8日","2面2線","M05[1]","","シナ","","36,488人/日-2019年-","","","","","","",""
"新習志野駅","新習志野駅（しんならしのえき）","https://ja.wikipedia.org/wiki/新習志野駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度40分2.7秒東経140度0分46.8秒","■京葉線（■武蔵野線直通含む）","28.3 km（東京起点）府中本町から79.5 km","東日本旅客鉄道（JR東日本）","千葉県習志野市茜浜二丁目1-1北緯35度40分2.7秒東経140度0分46.8秒﻿ / ﻿北緯35.667417度 東経140.013000度﻿ /35.667417; 140.013000﻿ (新習志野駅)座標:北緯35度40分2.7秒東経140度0分46.8秒﻿ / ﻿北緯35.667417度 東経140.013000度﻿ /35.667417; 140.013000﻿ (新習志野駅)","高架駅","1986年（昭和61年）3月3日","3面4線","JE12","直営駅（管理駅）","シシ","13,295人/日（降車客含まず）-2019年-","","","","","","","",""
