"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","法人番号","文化財","宗派","創建年","本尊","山号","面積","開基","札所等","正式名","寺格","分類","別称","運営者","公式サイト","開山","公式HP"
"浄土寺 (尾道市)","[浄土寺庭園（尾道市）] 浄土寺 （じょうどじ）は、 広島県 尾道市 東久保町 にある 真言宗泉涌寺派 大本山の寺院。山号は転法輪山（てんぽうりんざん）。院号は大乗院。本尊は 十一面観音 で、 中国三十三観音霊場 第九番札所である。","https://ja.wikipedia.org/wiki/浄土寺_(尾道市)","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度24分43.8秒東経133度12分37.1秒","広島県尾道市東久保町20-28","北緯34度24分43.8秒東経133度12分37.1秒﻿ / ﻿北緯34.412167度 東経133.210306度﻿ /34.412167; 133.210306座標:北緯34度24分43.8秒東経133度12分37.1秒﻿ / ﻿北緯34.412167度 東経133.210306度﻿ /34.412167; 133.210306","6240005010881","本堂、多宝塔（国宝）阿弥陀堂、宝篋印塔、方丈等6棟、木造十一面観音立像ほか（国の重要文化財）庭園（名勝）","真言宗泉涌寺派","不詳","十一面観音（国の重要文化財、秘仏）","轉法輪山（てんぽうりんざん）転法輪山","","（伝）聖徳太子","中国33観音9番","轉法輪山大乘院淨土寺転法輪山大乗院浄土寺","大本山","","","","","",""
"帝釈峡","[帝釈川の谷（帝釈峡）（庄原市・神石郡神石高原町）] 帝釈峡 （たいしゃくきょう）は、 中国山地 に位置する 広島県 北東部の 庄原市 及び 神石郡 神石高原町 にまたがる、全長18キロメートルの 峡谷 。国の 名勝 （1923年）に指定されており、 比婆道後帝釈国定公園 の主要景勝地。","https://ja.wikipedia.org/wiki/帝釈峡","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鞆の浦","[鞆公園（福山市）] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯34度22分51.173秒 東経133度22分46.878秒 ﻿ / ﻿ 北緯34.38088139度 東経133.37968833度 ﻿ / 34.38088139; 133.37968833 ﻿ ( 鞆の浦 )","https://ja.wikipedia.org/wiki/鞆の浦","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"広島平和記念公園","[平和記念公園（広島市中区）] 広島平和記念公園 （ひろしまへいわきねんこうえん、 英語 : Hiroshima Peace Memorial Park ）は、 広島県 広島市 中区 中島町 にある 無料 の市民 公園 。 平和記念公園 （ 英 : Peace Memorial Park ）もしくは単に 平和公園 （ 英 : Peace Park ）とも呼ばれる。","https://ja.wikipedia.org/wiki/広島平和記念公園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度23分33.8秒東経132度27分8.5秒","日本広島県広島市中区中島町","","","","","","","","12.2ha","","","","","平和公園","","広島市","","",""
"青海島","[青海島（長門市）] 青海島 （おおみじま、おうみじま）は、 山口県 長門市 の北、 日本海 に浮かぶ 島 である。","https://ja.wikipedia.org/wiki/青海島","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度25分44.2秒東経131度13分19.8秒","日本山口県長門市","","","","","","","","14km²","","","","","","","","","",""
"錦帯橋","[錦帯橋（岩国市）] 錦帯橋 （きんたいきょう）は、 山口県 岩国市 の 錦川 に 架橋 された、5連の木造 アーチ橋 である   。","https://ja.wikipedia.org/wiki/錦帯橋","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度10分03.86秒東経132度10分41.43秒","山口県岩国市","","","","","","","","","","","","","","","","","",""
"狗留孫山 (下関市)","[狗留孫山（下関市）] 狗留孫山 （くるそんざん）は、 山口県 下関市 にある標高616.3mの 山 である。八合目には 真言宗 の古刹 修禅寺 があり、多くの参拝者を集めている。","https://ja.wikipedia.org/wiki/狗留孫山_(下関市)","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度12分52.6秒東経130度58分34.4秒","山口県下関市","北緯34度12分52.6秒東経130度58分34.4秒﻿ / ﻿北緯34.214611度 東経130.976222度﻿ /34.214611; 130.976222","","","","","","","","","","","","","","","","",""
"常栄寺庭園","[常栄寺庭園（山口市）] 常栄寺 （じょうえいじ）は、 山口県 山口市 宮野下平野にある 臨済宗 東福寺派の寺院。山号は香山。後庭は 雪舟 等楊の作と伝えられ、「常栄寺庭園」（通称:雪舟庭）として、国の 史跡 および 名勝 に指定されている。","https://ja.wikipedia.org/wiki/常栄寺庭園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度11分52.861秒東経131度29分23.528秒","〒753-0011 山口県山口市宮野下2001","北緯34度11分52.861秒東経131度29分23.528秒﻿ / ﻿北緯34.19801694度 東経131.48986889度﻿ /34.19801694; 131.48986889座標:北緯34度11分52.861秒東経131度29分23.528秒﻿ / ﻿北緯34.19801694度 東経131.48986889度﻿ /34.19801694; 131.48986889","3250005000257","庭園（国指定の名勝および史跡）","臨済宗東福寺派","永禄6年（1563年）","千手千眼観自在菩薩","香山","","毛利元就","","","","","","","","",""
"宇部市","[宗隣寺庭園（宇部市）] ","https://ja.wikipedia.org/wiki/宇部市","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯33度57分5.7秒東経131度14分48.2秒","〒755-8601山口県宇部市常盤町一丁目7番1号北緯33度57分5.7秒東経131度14分48.2秒﻿ / ﻿北緯33.951583度 東経131.246722度﻿ /33.951583; 131.246722﻿ (宇部市)座標:北緯33度57分5.7秒東経131度14分48.2秒﻿ / ﻿北緯33.951583度 東経131.246722度﻿ /33.951583; 131.246722﻿ (宇部市)市庁舎位置","","3000020352021","","","","","","286.65km2","","","","","","","","","",""
"須佐湾","[須佐湾（萩市）] 須佐湾 （すさわん）は 山口県 萩市 （旧 須佐町 ）にある、 日本海 に面する小湾。国の 名勝 及び 天然記念物 に指定されており（ 1928年 ）、 北長門海岸国定公園 を代表する景観の一つ。湾の内部は穏やかな入り江が見られる一方で、外部は断崖が連続し、特徴的な縞模様で知られる須佐ホルンフェルスがある。","https://ja.wikipedia.org/wiki/須佐湾","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石柱渓","[石柱渓（下関市）] 石柱渓 （せきちゅうけい）は 山口県 下関市 豊田町 に位置する 渓谷 である。","https://ja.wikipedia.org/wiki/石柱渓","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長門峡","[長門峡（山口市・萩市）] 長門峡 （ちょうもんきょう）は、 阿武川 上流、 山口県 山口市 阿東 及び 萩市 川上に位置する 峡谷 である。全長12キロメートル。","https://ja.wikipedia.org/wiki/長門峡","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"毛利邸","[毛利氏庭園（防府市）] 明治維新 後に 爵位 を得て 公爵 となっていた旧 長州藩 主毛利家の 毛利元昭 が、国許に建てた邸宅と庭園  。東京ではなく 山口 に場所を定めたのは、 明治 23年（ 1890年 ）に 毛利元徳 が定めた 家憲 により、公爵毛利家の本拠は山口の「土地健康にして且つ交通便利の地」にすることが規定されていたことによる  。東京の高輪邸（後述）や、江戸時代に 三田尻 に建てられていた三田尻邸（ 三田尻御茶屋 ）に対して、多々良邸（又は防府邸）とも呼ばれていた。完成直後に 大正天皇 が宿泊したのを始め、その後も何度か 天皇 ・ 皇后 が宿泊している。現在では、邸宅・庭園をあわせて国指定の 名勝 となっている。また、邸宅の一部が 毛利博物館 となっており、 国宝 や 重要文化財 など2万点を所蔵・展示している。所在地は、防府市多々良一丁目15番1号（ 地図 ）。","https://ja.wikipedia.org/wiki/毛利邸","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"龍宮の潮吹 (存在しないページ)","[龍宮の潮吹（長門市）]","https://ja.wikipedia.org/w/index.php?title=龍宮の潮吹&amp;action=edit&amp;redlink=1","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿波国分寺","[阿波国分寺庭園（徳島市）] 阿波国分寺 （あわこくぶんじ）は、 徳島県 徳島市 国府町矢野 に位置する 寺院 。 四国八十八箇所 霊場 の第十五番 札所 。札所寺院としては単に 国分寺 と呼ぶのが通例である。薬王山（やくおうさん）、金色院（こんじきいん）と号す。 宗派 は 曹洞宗 。 本尊 は薬師如来。","https://ja.wikipedia.org/wiki/阿波国分寺","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度3分20.2秒東経134度28分25秒","徳島県徳島市国府町矢野718-1","北緯34度3分20.2秒東経134度28分25秒﻿ / ﻿北緯34.055611度 東経134.47361度﻿ /34.055611; 134.47361座標:北緯34度3分20.2秒東経134度28分25秒﻿ / ﻿北緯34.055611度 東経134.47361度﻿ /34.055611; 134.47361","1480005000970","庭園（国の名勝）、県史跡","曹洞宗","天平勝宝8年（756年）以前","薬師如来","薬王山","","（伝）行基","四国八十八箇所15番","薬王山 金色院 国分寺","","","国分寺","","","",""
"旧徳島城表御殿庭園","[旧徳島城表御殿庭園（徳島市）] 旧徳島城表御殿庭園 （きゅうとくしまじょうおもてごてんていえん）は、 徳島県 徳島市 徳島町城内 の 徳島中央公園 内にある 庭園 である。 千秋閣庭園 とも呼ばれている。","https://ja.wikipedia.org/wiki/旧徳島城表御殿庭園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳴門海峡","[鳴門（鳴門市）] 鳴門海峡 （なると かいきょう、 国際名称・ 英語 名 : Naruto Strait ）とは、 日本 の 淡路島 と 四国 にある 大毛島 および 島田島 との間に形成されている 海峡 。 播磨灘 と 紀伊水道 を結ぶ海峡。現在 行政区画 上では、 兵庫県 南あわじ市 と 徳島県 鳴門市 の間に所在する。「 大鳴門 （おおなると）」ともいう。","https://ja.wikipedia.org/wiki/鳴門海峡","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大歩危","[大歩危小歩危（三好市）] 大歩危 （おおぼけ）は、 吉野川 中流域に位置する 渓谷 （先行谷）。","https://ja.wikipedia.org/wiki/大歩危","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"栗林公園","[栗林公園（高松市）] 栗林公園 （りつりんこうえん）は、 香川県 高松市 に所在し、国の 特別名勝 に指定された回遊式 大名庭園 （ 日本庭園 ）である   。県立の 都市公園 （ 歴史公園 ）として運営されている  。","https://ja.wikipedia.org/wiki/栗林公園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度19分49.2秒東経134度2分39.85秒","日本香川県高松市栗林町","","","","","","","","75ha（紫雲山を含む）16ha（平庭部）","","","","","都市公園（歴史公園）、日本庭園","","香川県","栗林公園","",""
"寒霞渓","[神懸山（寒霞渓）（小豆郡小豆島町）] 寒霞渓 （かんかけい）は、 香川県 の 小豆島 にある 渓谷 。国指定の 名勝 。","https://ja.wikipedia.org/wiki/寒霞渓","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"琴弾公園","[琴弾公園（観音寺市） -銭形砂絵として知られる。] 琴弾公園 （ことひきこうえん）は、 香川県 観音寺市 にある香川県営の 都市公園 （風致公園）である  。 瀬戸内海国立公園 に含まれ、国の 名勝 に指定されている。1897年に県立公園として開園。設計は園芸師の 小沢圭次郎 。","https://ja.wikipedia.org/wiki/琴弾公園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度8分0.81秒東経133度38分32.01秒","日本香川県観音寺市有明町","","","","","","","","48ha","","","","","都市公園（風致公園）","","香川県","","",""
"象頭山","[象頭山（仲多度郡琴平町）] 象頭山 （ぞうずさん）","https://ja.wikipedia.org/wiki/象頭山","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高松城 (讃岐国)","[披雲閣庭園（高松市）] 高松城 （たかまつじょう）は、 日本 の 香川県 高松市 玉藻町にあった 日本の城 である。別名・ 玉藻城 （たまもじょう）。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/高松城_(讃岐国)#三の丸","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度21分0.2秒東経134度3分1.4秒","","北緯34度21分0.2秒東経134度3分1.4秒﻿ / ﻿北緯34.350056度 東経134.050389度﻿ /34.350056; 134.050389﻿ (高松城)座標:北緯34度21分0.2秒東経134度3分1.4秒﻿ / ﻿北緯34.350056度 東経134.050389度﻿ /34.350056; 134.050389﻿ (高松城)","","","","","","","","","","","","","","","","",""
"満濃池","[満濃池（仲多度郡まんのう町）] 満濃池 （まんのういけ）は、 香川県 仲多度郡 まんのう町 にある 日本最大 の 灌漑 用の ため池 である。国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/満濃池","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度09分04秒東経133度52分24秒","日本香川県","北緯34度09分04秒東経133度52分24秒﻿ / ﻿北緯34.15111度 東経133.87333度﻿ /34.15111; 133.87333座標:北緯34度09分04秒東経133度52分24秒﻿ / ﻿北緯34.15111度 東経133.87333度﻿ /34.15111; 133.87333","","","","","","","1.421km2","","","","","","","","","",""
"岩屋寺 (愛媛県久万高原町)","[岩屋（上浮穴郡久万高原町）] 岩屋寺 （いわやじ）は、 愛媛県 上浮穴郡 久万高原町 七鳥（ななとり）  にある 真言宗豊山派 の寺院。山号は海岸山（かいがんざん）。 本尊 は 不動明王 。 四国八十八箇所 霊場第四十五番札所。","https://ja.wikipedia.org/wiki/岩屋寺_(愛媛県久万高原町)","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯33度39分31.2秒東経132度58分50.6秒","愛媛県上浮穴郡久万高原町七鳥1468","北緯33度39分31.2秒東経132度58分50.6秒﻿ / ﻿北緯33.658667度 東経132.980722度﻿ /33.658667; 132.980722﻿ (岩屋寺)座標:北緯33度39分31.2秒東経132度58分50.6秒﻿ / ﻿北緯33.658667度 東経132.980722度﻿ /33.658667; 132.980722﻿ (岩屋寺)","9500005002486","","真言宗豊山派","（伝）弘仁6年（815年）","不動明王","海岸山","","（伝）空海（弘法大師）","四国八十八箇所45番","海岸山 岩屋寺","","","","","","","四国霊場第四十五番海岸山岩屋寺"
"大三島","[大三島（今治市）] 大三島 （おおみしま）は、 愛媛県 今治市 に属する 芸予諸島 の中の1つの有人島。愛媛県の最北に位置し、同県に属する島の中では最大である。 大山祇神社 がある「 神 の島」として知られている。","https://ja.wikipedia.org/wiki/大三島","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度14分43秒東経133度0分38.8秒","日本（愛媛県）","","","","","","","","64.54km²","","","","","","","","","",""
"面河渓","[面河渓（上浮穴郡久万高原町）] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯33度44分10.46秒 東経133度6分53.86秒 ﻿ / ﻿ 北緯33.7362389度 東経133.1149611度 ﻿ / 33.7362389; 133.1149611","https://ja.wikipedia.org/wiki/面河渓","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"志島ヶ原 (存在しないページ)","[志島ヶ原（今治市）]","https://ja.wikipedia.org/w/index.php?title=志島ヶ原&amp;action=edit&amp;redlink=1","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天赦園","[天赦園（宇和島市）] 天赦園 （てんしゃえん）は、 愛媛県 宇和島市 にある 日本庭園 。国の 名勝 に指定されている。 寛文 12年（ 1672年 ）に 宇和島藩 2代藩主の 伊達宗利 が海を埋め立てて造成した「浜御殿」の一部であったが、文久3年（1863年)に建物等が整備され百歳長寿の大名と云われる7代藩主の 伊達宗紀 （号は春山 しゅんげん）が移居し「南御殿」と称された後、 慶応 2年（ 1866年 ）に築庭が竣工し、「天赦園」と命名した  。 鬼ヶ城 連峰を 借景 とした池泉回遊式の庭園で、 大名庭園 でもある。","https://ja.wikipedia.org/wiki/天赦園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯33度12分55.85秒東経132度33分40.05秒","日本愛媛県宇和島市天赦公園１","","","","","","","","11240平方メートル","","","","","都市公園（歴史公園）、日本庭園","","公益財団法人宇和島伊達文化保存会","天赦園ブログ","",""
"波止浜 (存在しないページ)","[波止浜（今治市）]","https://ja.wikipedia.org/w/index.php?title=波止浜&amp;action=edit&amp;redlink=1","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"古岩屋","[古岩屋（久万高原町）] 古岩屋 （ふるいわや）は、 愛媛県 上浮穴郡 久万高原町 直瀬にある岩峰が連なる名所である。国の 名勝 に指定されている。 四国カルスト県立自然公園 に属する。","https://ja.wikipedia.org/wiki/古岩屋","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西条市","[保国寺庭園（西条市）] ","https://ja.wikipedia.org/wiki/西条市","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯33度55分10.4秒東経133度10分52.2秒","〒793-8601愛媛県西条市明屋敷164番地北緯33度55分10.4秒東経133度10分52.2秒﻿ / ﻿北緯33.919556度 東経133.181167度﻿ /33.919556; 133.181167﻿ (西条市)座標:北緯33度55分10.4秒東経133度10分52.2秒﻿ / ﻿北緯33.919556度 東経133.181167度﻿ /33.919556; 133.181167﻿ (西条市)","","2000020382060","","","","","","509.98km2","","","","","","","","","",""
"星ヶ森","[星ヶ森（横峰寺石鎚山遥拝所）（西条市）] 横峰寺 （よこみねじ）は、 愛媛県 西条市 小松町にある 真言宗御室派 の 寺院 。 山号 は石鈇山（いしづちざん）、 院号 は福智院（ふくちいん）と号す。 本尊 は 大日如来 で、 四国八十八箇所 60番札所、 石鎚山 の西遥拝所。","https://ja.wikipedia.org/wiki/星ヶ森","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯33度50分16.3秒東経133度6分40.1秒","愛媛県西条市小松町石鎚甲2253","北緯33度50分16.3秒東経133度6分40.1秒﻿ / ﻿北緯33.837861度 東経133.111139度﻿ /33.837861; 133.111139座標:北緯33度50分16.3秒東経133度6分40.1秒﻿ / ﻿北緯33.837861度 東経133.111139度﻿ /33.837861; 133.111139","6500005004031","星ヶ森（国の名勝）伊予遍路道横峰寺道（国の史跡）","真言宗御室派","（伝）白雉2年（651年）","大日如来","石鈇山","","（伝）役小角","四国八十八箇所60番四国 (東予) 七福神・大黒天","石鈇山 福智院 横峰寺","","","","","","",""
"広瀬歴史記念館","[旧広瀬氏庭園（新居浜市）] 広瀬歴史記念館 （ひろせれきしきねんかん）は 愛媛県 新居浜市 にある 博物館 。 明治維新 の動乱から 別子銅山 を守り、さらに近代化を促進した 広瀬宰平 の業績やその生活ぶりを後世に伝えるために新居浜市が設置した。 広瀬公園 の中にあり、展示館と旧広瀬邸からなる。","https://ja.wikipedia.org/wiki/広瀬歴史記念館","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯33度55分8秒東経133度17分10秒","〒792-0046新居浜市上原二丁目10-42（展示館）新居浜市上原二丁目10-52（旧広瀬邸）","北緯33度55分8秒東経133度17分10秒﻿ / ﻿北緯33.91889度 東経133.28611度﻿ /33.91889; 133.28611座標:北緯33度55分8秒東経133度17分10秒﻿ / ﻿北緯33.91889度 東経133.28611度﻿ /33.91889; 133.28611","","","","","","","","","","","","","","","","",""
"入野松原 (存在しないページ)","[入野松原（幡多郡黒潮町）]","https://ja.wikipedia.org/w/index.php?title=入野松原&amp;action=edit&amp;redlink=1","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"竹林寺 (高知市)","[竹林寺庭園（高知市）] 竹林寺 （ちくりんじ）は、 高知県 高知市 五台山 にある 真言宗智山派 の寺院。本尊は 文殊菩薩 。","https://ja.wikipedia.org/wiki/竹林寺_(高知市)","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯33度32分47.8秒東経133度34分38.9秒","高知県高知市五台山3577番地","北緯33度32分47.8秒東経133度34分38.9秒﻿ / ﻿北緯33.546611度 東経133.577472度﻿ /33.546611; 133.577472﻿ (竹林寺)座標:北緯33度32分47.8秒東経133度34分38.9秒﻿ / ﻿北緯33.546611度 東経133.577472度﻿ /33.546611; 133.577472﻿ (竹林寺)","5490005001139","本堂・木造文殊菩薩及侍者像5躯、木造大威徳明王像ほか（重要文化財）客殿、梵鐘、文殊菩薩坐像懸仏（県指定文化財）庭園（名勝）","真言宗智山派","（伝）724年","文殊菩薩","五台山","","（伝）行基","四国八十八箇所第31番","五台山 金色院 竹林寺","","","竹林密寺","","","","五台山竹林寺 四国霊場三十一番札所"
"室戸岬","[室戸岬（室戸市）] 室戸岬 （むろとざき、むろとみさき）は、 高知県 室戸市 に属し、 太平洋 （ フィリピン海 ）に面する 岬 。国の 名勝 （1928年指定）、および 室戸阿南海岸国定公園 に指定されている。 .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯33度14分34秒 東経134度10分35秒 ﻿ / ﻿ 北緯33.24278度 東経134.17639度 ﻿ / 33.24278; 134.17639 ﻿ ( 室戸岬 ) 座標 : 北緯33度14分34秒 東経134度10分35秒 ﻿ / ﻿ 北緯33.24278度 東経134.17639度 ﻿ / 33.24278; 134.17639 ﻿ ( 室戸岬 ) 。 波乗り ( サーフィン )の名所でもある。","https://ja.wikipedia.org/wiki/室戸岬","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"旧戸島家住宅","[戸島氏庭園（柳川市）] 旧戸島家住宅 （きゅうとしまけじゅうたく）は 福岡県 柳川市 にある 江戸時代 後期建築の 侍屋敷 。 庭園 は国の 名勝 。","https://ja.wikipedia.org/wiki/旧戸島家住宅","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯33度9分39.13秒東経130度23分45.16秒","福岡県柳川市鬼童町49-3","北緯33度9分39.13秒東経130度23分45.16秒﻿ / ﻿北緯33.1608694度 東経130.3958778度﻿ /33.1608694; 130.3958778座標:北緯33度9分39.13秒東経130度23分45.16秒﻿ / ﻿北緯33.1608694度 東経130.3958778度﻿ /33.1608694; 130.3958778","","国の名勝（庭園）、県文化財（主屋）","","","","","","","","","","","","","","",""
"立花氏庭園","[立花氏庭園（柳川市）] 立花氏庭園 （たちばなしていえん）は 福岡県 柳川市 にある旧 柳川藩 主 立花家 の御屋敷と庭園。 江戸時代 元文三年（1738）に柳川藩五代藩主、立花貞俶が、柳川城の南西隅にあたる、当時、 御花畠と呼ばれていたこの地に藩主家の人々が暮らす別邸を築いたことに始まる。明治時代、立花家は伯爵となり、建物や庭園も新しく整えられ、明治43年に洋館と和館が並び立つ新しいスタイルの立花伯爵家住宅が完成し、それが現在の立花氏庭園の主要建造物を構成している。","https://ja.wikipedia.org/wiki/立花氏庭園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"清水寺 (みやま市)","[清水寺本坊庭園（みやま市）] 清水寺 （きよみずでら）は 福岡県 みやま市 瀬高町本吉にある 天台宗 の 寺院 。 山号 は本吉山（もとよしざん）。院号は普門院。本尊は 千手観音 。 九州西国霊場 第十六番。また、筑後三十三観音28番 札所 。","https://ja.wikipedia.org/wiki/清水寺_(みやま市)","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","福岡県みやま市瀬高町本吉","","8290005011873","","","","千手観音","本吉山","","","九州西国霊場第16番。筑後三十三観音28番札所。","","","","","","","",""
"魚楽園","[藤江氏魚楽園（田川郡川崎町）] 魚楽園 （ぎょらくえん）は 福岡県 田川郡 川崎町 にある日本庭園。藤江家が管理していることから藤江氏魚楽園ともいう。 雪舟 が室町時代に築庭したといわれる名園で、国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/魚楽園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"旧伊藤伝右衛門邸","[旧伊藤傳右エ門氏庭園（飯塚市）] 旧伊藤伝右衛門邸 （きゅういとうでんえもんてい）は、 福岡県 飯塚市 幸袋にある伝統的建造物。炭鉱経営者であった 伊藤伝右衛門 が 大正 時代中期から 昭和 初期にかけて自身の本邸として造営したものである。門は福岡市天神の赤銅御殿から移築されたもの。","https://ja.wikipedia.org/wiki/旧伊藤伝右衛門邸","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"旧藏内氏庭園","[旧藏内氏庭園（築上郡築上町）] 旧藏内氏庭園 （きゅうくらうちしていえん ）は、 福岡県 築上町 にある、日本の 名勝 に指定されている 庭園 である。","https://ja.wikipedia.org/wiki/旧藏内氏庭園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
