"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜"
"鉄道博物館駅","鉄道博物館駅（てつどうはくぶつかんえき）","https://ja.wikipedia.org/wiki/鉄道博物館駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度55分13.1秒東経139度37分3.4秒","■伊奈線（ニューシャトル）","1.5 km（大宮起点）","埼玉新都市交通","さいたま市大宮区大成町三丁目北緯35度55分13.1秒東経139度37分3.4秒﻿ / ﻿北緯35.920306度 東経139.617611度﻿ /35.920306; 139.617611座標:北緯35度55分13.1秒東経139度37分3.4秒﻿ / ﻿北緯35.920306度 東経139.617611度﻿ /35.920306; 139.617611","高架駅","1983年（昭和58年）12月22日[3]","2面2線","*2007年（平成19年）10月14日に大成駅から改称[3]。","NS02","","5,285人/日（降車客含まず）-2018年-","","","","","","","",""
"鉄砲町停留場","鉄砲町停留場（てっぽうちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/鉄砲町停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度50分52.96秒東経132度46分9.07秒","城北線","2.2 km（古町起点）","伊予鉄道","愛媛県松山市鉄砲町北緯33度50分52.96秒東経132度46分9.07秒﻿ / ﻿北緯33.8480444度 東経132.7691861度﻿ /33.8480444; 132.7691861﻿ (鉄砲町停留場)","地上駅","1927年（昭和2年）4月3日","2面2線","","13","","","747[1]人/日-2015年-","","","","","","",""
"出戸駅","出戸駅（でとえき）","https://ja.wikipedia.org/wiki/出戸駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度36分31.89秒東経135度33分58.42秒","●谷町線","25.9 km（大日起点）","大阪市高速電気軌道(Osaka Metro)","大阪市平野区長吉長原西一丁目1-10北緯34度36分31.89秒東経135度33分58.42秒﻿ / ﻿北緯34.6088583度 東経135.5662278度﻿ /34.6088583; 135.5662278﻿ (出戸駅)","地下駅","1980年（昭和55年）11月27日","1面2線",""," T34 ","","6,874人/日（降車客含まず）-2020年-","13,735人/日-2020年-","","","","","","",""
"出戸浜駅","出戸浜駅（でとはまえき）","https://ja.wikipedia.org/wiki/出戸浜駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯39度50分40.12秒東経140度1分27.77秒","■男鹿線","5.1km（追分起点）秋田から18.1 km","東日本旅客鉄道（JR東日本）","秋田県潟上市天王字北野223北緯39度50分40.12秒東経140度1分27.77秒﻿ / ﻿北緯39.8444778度 東経140.0243806度﻿ /39.8444778; 140.0243806座標:北緯39度50分40.12秒東経140度1分27.77秒﻿ / ﻿北緯39.8444778度 東経140.0243806度﻿ /39.8444778; 140.0243806","地上駅","1951年（昭和26年）12月25日[1]","1面1線","無人駅[2]（自動券売機 有）","","テハ","","","","","","","","",""
"手ノ子駅","手ノ子駅（てのこえき）","https://ja.wikipedia.org/wiki/手ノ子駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯38度0分42.46秒東経139度57分40.75秒","■米坂線","34.7 km（米沢起点）","東日本旅客鉄道（JR東日本）","山形県西置賜郡飯豊町大字手ノ子北緯38度0分42.46秒東経139度57分40.75秒座標:北緯38度0分42.46秒 東経139度57分40.75秒","地上駅","1931年（昭和6年）8月10日","1面1線","無人駅","","テコ","24人/日（降車客含まず）-2004年-","","","","","","","",""
"手原駅","手原駅（てはらえき）","https://ja.wikipedia.org/wiki/手原駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度1分38.37秒東経135度59分57.34秒","C草津線","32.7 km（柘植起点）","西日本旅客鉄道（JR西日本）","滋賀県栗東市手原三丁目1-30北緯35度1分38.37秒東経135度59分57.34秒﻿ / ﻿北緯35.0273250度 東経135.9992611度﻿ /35.0273250; 135.9992611座標:北緯35度1分38.37秒東経135度59分57.34秒﻿ / ﻿北緯35.0273250度 東経135.9992611度﻿ /35.0273250; 135.9992611","地上駅（橋上駅）","1922年（大正11年）11月5日","2面2線","業務委託駅","","テハ","3,069人/日（降車客含まず）-2019年-","","","","","","","",""
"出町柳駅","出町柳駅（でまちやなぎえき）","https://ja.wikipedia.org/wiki/出町柳駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度1分49.85秒東経135度46分23.87秒","","","京阪電気鉄道（駅詳細）叡山電鉄（駅詳細）","京都市左京区北緯35度1分49.85秒東経135度46分23.87秒﻿ / ﻿北緯35.0305139度 東経135.7732972度﻿ /35.0305139; 135.7732972﻿ (出町柳駅)座標:北緯35度1分49.85秒東経135度46分23.87秒﻿ / ﻿北緯35.0305139度 東経135.7732972度﻿ /35.0305139; 135.7732972﻿ (出町柳駅)","","","","","","","","","","","","","","",""
"出屋敷駅","出屋敷駅（でやしきえき）","https://ja.wikipedia.org/wiki/出屋敷駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度43分5.59秒東経135度24分16.62秒","本線","10.1 km（大阪梅田起点）","阪神電気鉄道","兵庫県尼崎市竹谷町二丁目35北緯34度43分5.59秒東経135度24分16.62秒﻿ / ﻿北緯34.7182194度 東経135.4046167度﻿ /34.7182194; 135.4046167﻿ (出屋敷駅)座標:北緯34度43分5.59秒東経135度24分16.62秒﻿ / ﻿北緯34.7182194度 東経135.4046167度﻿ /34.7182194; 135.4046167﻿ (出屋敷駅)","高架駅[1]","1905年（明治38年）4月12日[1]","2面2線[1]","","HS10","","","","","12,677人/日-2019年-","","","","",""
"寺内駅","寺内駅（てらうちえき）","https://ja.wikipedia.org/wiki/寺内駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度24分39.69秒東経139度58分48.41秒","■真岡線","12.6 km（下館起点）","真岡鐵道","栃木県真岡市寺内830-4北緯36度24分39.69秒東経139度58分48.41秒﻿ / ﻿北緯36.4110250度 東経139.9801139度﻿ /36.4110250; 139.9801139﻿ (寺内駅)座標:北緯36度24分39.69秒東経139度58分48.41秒﻿ / ﻿北緯36.4110250度 東経139.9801139度﻿ /36.4110250; 139.9801139﻿ (寺内駅)","地上駅","1912年（明治45年）4月1日[2]","1面1線[2]","","","テウ","38人/日（降車客含まず）-2019年-","","","","","","","",""
"寺尾駅","寺尾駅（てらおえき）","https://ja.wikipedia.org/wiki/寺尾駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯37度53分45.67秒東経138度58分27.01秒","■越後線","74.4 km（柏崎起点）","東日本旅客鉄道（JR東日本）","新潟市西区寺尾[1]上二丁目1-1北緯37度53分45.67秒東経138度58分27.01秒座標:北緯37度53分45.67秒 東経138度58分27.01秒","地上駅（橋上駅）","1914年（大正3年）10月20日[1]","1面2線[1]","業務委託駅みどりの窓口有[1]","","ラオ←ラヲ","2,090人/日（降車客含まず）-2019年-","","","","","","","",""
"寺下駅","寺下駅（てらしたえき）","https://ja.wikipedia.org/wiki/寺下駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度23分1.01秒東経138度12分58.87秒","別所線","3.8 km（上田起点）","上田電鉄","長野県上田市神畑字寺下616-1北緯36度23分1.01秒東経138度12分58.87秒﻿ / ﻿北緯36.3836139度 東経138.2163528度﻿ /36.3836139; 138.2163528座標:北緯36度23分1.01秒東経138度12分58.87秒﻿ / ﻿北緯36.3836139度 東経138.2163528度﻿ /36.3836139; 138.2163528","地上駅","1921年（大正10年）6月17日[1]","単式1面1線[1]","無人駅[1]","BE06","","60人/日（降車客含まず）-2017年-","","","","","","","",""
"寺庄駅","寺庄駅（てらしょうえき）","https://ja.wikipedia.org/wiki/寺庄駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度55分8.76秒東経136度11分9.01秒","C草津線","10.5 km（柘植起点）","西日本旅客鉄道（JR西日本）","滋賀県甲賀市甲南町寺庄484-1北緯34度55分8.76秒東経136度11分9.01秒﻿ / ﻿北緯34.9191000度 東経136.1858361度﻿ /34.9191000; 136.1858361座標:北緯34度55分8.76秒東経136度11分9.01秒﻿ / ﻿北緯34.9191000度 東経136.1858361度﻿ /34.9191000; 136.1858361","地上駅","1959年（昭和34年）12月25日","1面1線","簡易委託駅","","テシ","757人/日（降車客含まず）-2019年-","","","","","","","",""
"寺田駅 (京都府)","寺田駅 (京都府)（てらだえき・近鉄京都線）","https://ja.wikipedia.org/wiki/寺田駅_(京都府)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度51分12.15秒東経135度46分19.68秒","B京都線","15.9 km（京都起点）","近畿日本鉄道（近鉄）","京都府城陽市寺田樋尻41-3北緯34度51分12.15秒東経135度46分19.68秒﻿ / ﻿北緯34.8533750度 東経135.7721333度﻿ /34.8533750; 135.7721333座標:北緯34度51分12.15秒東経135度46分19.68秒﻿ / ﻿北緯34.8533750度 東経135.7721333度﻿ /34.8533750; 135.7721333","地上駅（地下駅舎）","1928年（昭和3年）11月3日","2面2線",""," B14 ","テラタ","（全日）4,691人/日（降車客含まず）-2019年-","","","","","","","",""
"寺田駅 (富山県)","寺田駅 (富山県)（てらだえき・富山地方鉄道本線・立山線）","https://ja.wikipedia.org/wiki/寺田駅_(富山県)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度41分55.76秒東経137度19分7.12秒","■本線","9.8 km（電鉄富山起点）","富山地方鉄道","富山県中新川郡立山町浦田257北緯36度41分55.76秒東経137度19分7.12秒﻿ / ﻿北緯36.6988222度 東経137.3186444度﻿ /36.6988222; 137.3186444﻿ (寺田駅)座標:北緯36度41分55.76秒東経137度19分7.12秒﻿ / ﻿北緯36.6988222度 東経137.3186444度﻿ /36.6988222; 137.3186444﻿ (寺田駅)","地上駅","1931年（昭和6年）8月15日","3面4線","直営駅","T08","","","360人/日-2019年-","","","","","","",""
"寺田町駅","寺田町駅（てらだちょうえき）","https://ja.wikipedia.org/wiki/寺田町駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度38分52.36秒東経135度31分24.13秒","O大阪環状線","天王寺駅経由：12.0km京橋駅経由：9.7 km（大阪起点）","西日本旅客鉄道（JR西日本）","大阪市天王寺区大道四丁目11-21北緯34度38分52.36秒東経135度31分24.13秒﻿ / ﻿北緯34.6478778度 東経135.5233694度﻿ /34.6478778; 135.5233694﻿ (寺田町駅)","高架駅","1932年（昭和7年）7月16日","2面2線","業務委託駅みどりの窓口有大阪市内駅","JR-O02","テタ","17,318人/日（降車客含まず）-2019年-","","","","","","","",""
"寺地町停留場","寺地町停留場（てらぢちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/寺地町停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度34分24.26秒東経135度28分8.98秒","■阪堺線","9.8km（恵美須町起点）天王寺駅前から9.6 km","阪堺電気軌道","堺市堺区寺地町東1丁北緯34度34分24.26秒東経135度28分8.98秒﻿ / ﻿北緯34.5734056度 東経135.4691611度﻿ /34.5734056; 135.4691611座標:北緯34度34分24.26秒東経135度28分8.98秒﻿ / ﻿北緯34.5734056度 東経135.4691611度﻿ /34.5734056; 135.4691611","地上駅","1912年（明治45年）3月5日","相対式 2面2線",""," HN24 ","","","","","","","","","",""
"寺泊駅","寺泊駅（てらどまりえき）","https://ja.wikipedia.org/wiki/寺泊駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯37度37分13.46秒東経138度48分49.62秒","■越後線","39.0 km（柏崎起点）","東日本旅客鉄道（JR東日本）**","新潟県長岡市寺泊竹森[1]北緯37度37分13.46秒東経138度48分49.62秒座標:北緯37度37分13.46秒 東経138度48分49.62秒","地上駅","1913年（大正2年）4月20日[1]","2面3線[1]","簡易委託駅","","テラオツ←ヲツ（大河津駅時代）","165人/日（降車客含まず）-2019年-","","","","","","","",""
"寺原駅","寺原駅（てらはらえき）","https://ja.wikipedia.org/wiki/寺原駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度54分43.1秒東経140度3分16.25秒","■常総線","2.1 km（取手起点）","関東鉄道","茨城県取手市駒場一丁目1-1北緯35度54分43.1秒東経140度3分16.25秒﻿ / ﻿北緯35.911972度 東経140.0545139度﻿ /35.911972; 140.0545139﻿ (寺原駅)座標:北緯35度54分43.1秒東経140度3分16.25秒﻿ / ﻿北緯35.911972度 東経140.0545139度﻿ /35.911972; 140.0545139﻿ (寺原駅)","地上駅","1913年（大正2年）11月1日[2]","2面2線","無人駅","","","","1,960[1]人/日-2019年-","","","","","","",""
"寺前駅","寺前駅（てらまええき）","https://ja.wikipedia.org/wiki/寺前駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","J播但線","29.6 km（姫路起点）","西日本旅客鉄道（JR西日本）","","地上駅[1]","1894年（明治27年）7月26日[1]","2面3線[1]","直営駅[1]みどりの窓口有","","テラ","413人/日（降車客含まず）-2016年-","","","","","","","",""
"寺町停留場","寺町停留場（てらまちていりゅうじょう）","https://ja.wikipedia.org/wiki/寺町停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度24分3.11秒東経132度26分53.28秒","■横川線","0.4 km（十日市町起点）","広島電鉄","広島市中区十日市町二丁目・寺町北緯34度24分3.11秒東経132度26分53.28秒﻿ / ﻿北緯34.4008639度 東経132.4481333度﻿ /34.4008639; 132.4481333﻿ (寺町停留場)座標:北緯34度24分3.11秒東経132度26分53.28秒﻿ / ﻿北緯34.4008639度 東経132.4481333度﻿ /34.4008639; 132.4481333﻿ (寺町停留場)","地上駅","1917年（大正6年）11月1日","2面2線","","●Y2","","","870[1]人/日-2019年-","","","","","","",""
"寺本駅","寺本駅（てらもとえき）","https://ja.wikipedia.org/wiki/寺本駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度0分0.4秒東経136度52分30.6秒","常滑線","15.1 km（神宮前起点）","名古屋鉄道","愛知県知多市八幡西水代135-2北緯35度0分0.4秒東経136度52分30.6秒﻿ / ﻿北緯35.000111度 東経136.875167度﻿ /35.000111; 136.875167座標:北緯35度0分0.4秒東経136度52分30.6秒﻿ / ﻿北緯35.000111度 東経136.875167度﻿ /35.000111; 136.875167","地上駅（橋上駅）","1912年（明治45年）2月18日","2面2線","無人駅（駅集中管理システム導入駅）","TA  11 ","","","3,939人/日-2019年[1]-","","","","","","",""
"光岡駅","光岡駅（てるおかえき）","https://ja.wikipedia.org/wiki/光岡駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度19分39.94秒東経130度55分10.30秒","■久大本線（■日田彦山線直通含む）","45.2 km（久留米起点）","九州旅客鉄道（JR九州）","大分県日田市大字友田[1]北緯33度19分39.94秒東経130度55分10.30秒","地上駅","1934年（昭和9年）6月25日[3]。","1面2線[1]","無人駅[4]","","テル","110人/日（降車客含まず）-2016年[2]-","227人/日-2016年[2]-","","","","","","",""
"テレコムセンター駅","テレコムセンター駅","https://ja.wikipedia.org/wiki/テレコムセンター駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度37分3.2秒東経139度46分45.8秒","東京臨海新交通臨海線","9.2 km（新橋起点）","ゆりかもめ","東京都江東区青海二丁目5-8北緯35度37分3.2秒東経139度46分45.8秒﻿ / ﻿北緯35.617556度 東経139.779389度﻿ /35.617556; 139.779389﻿ (テレコムセンター駅)座標:北緯35度37分3.2秒東経139度46分45.8秒﻿ / ﻿北緯35.617556度 東経139.779389度﻿ /35.617556; 139.779389﻿ (テレコムセンター駅)","高架駅","1995年（平成7年）11月1日[1]","1面2線","無人駅","U09","","6,518人/日（降車客含まず）-2018年-","13,436人/日-2018年-","","","","","","",""
"田園調布駅","田園調布駅（でんえんちょうふえき）","https://ja.wikipedia.org/wiki/田園調布駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度35分48.8秒東経139度40分2.3秒","■東横線[3]","8.2 km（渋谷起点）","東急電鉄","東京都大田区田園調布三丁目25-18[3]北緯35度35分48.8秒東経139度40分2.3秒﻿ / ﻿北緯35.596889度 東経139.667306度﻿ /35.596889; 139.667306座標:北緯35度35分48.8秒東経139度40分2.3秒﻿ / ﻿北緯35.596889度 東経139.667306度﻿ /35.596889; 139.667306","地下駅","1923年（大正12年）3月11日[4]","2面4線","東急電鉄直営駅","TY08[3]","","","（東横線）24,148人/日（目黒線）12,754人/日（合計）36,902人/日-2018年-","","","","","","",""
"天下茶屋駅","天下茶屋駅（てんがちゃやえき）","https://ja.wikipedia.org/wiki/天下茶屋駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度38分13.9秒東経135度29分48.3秒","","","南海電気鉄道（駅詳細）大阪市高速電気軌道（Osaka Metro・駅詳細）","大阪市西成区岸里1丁目1番北緯34度38分13.9秒東経135度29分48.3秒﻿ / ﻿北緯34.637194度 東経135.496750度﻿ /34.637194; 135.496750座標:北緯34度38分13.9秒東経135度29分48.3秒﻿ / ﻿北緯34.637194度 東経135.496750度﻿ /34.637194; 135.496750","","","","","","","","","","","","","","",""
"電気ビル前停留場","電気ビル前停留場（でんきビルまえていりゅうじょう）","https://ja.wikipedia.org/wiki/電気ビル前停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度41分50.38秒東経137度12分57.99秒","富山軌道線（本線）","3.1 km（南富山駅前起点）","富山地方鉄道","富山県富山市桜橋通り北緯36度41分50.38秒東経137度12分57.99秒﻿ / ﻿北緯36.6973278度 東経137.2161083度﻿ /36.6973278; 137.2161083﻿ (電気ビル前停留場)","地上駅","1934年（昭和9年）頃","相対式2面2線","","C12","","","610[1]人/日-2019年-","","","","","","",""
"六甲有馬ロープウェー","天狗岩駅（てんぐいわえき・休止中）","https://ja.wikipedia.org/wiki/六甲有馬ロープウェー","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天空橋駅","天空橋駅（てんくうばしえき）","https://ja.wikipedia.org/wiki/天空橋駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","","","京浜急行電鉄（駅詳細）東京モノレール（駅詳細）","東京都大田区羽田空港一丁目1-2","","","","","","","","","","","","","","",""
"天元台高原","天元台高原駅（てんげんだいこうげんえき）","https://ja.wikipedia.org/wiki/天元台高原","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","","","","山形県米沢市大字李山12118-6","","","","","","","","","","","","1,820 m - 920 m","900 m","6,000 m","32度"
"電車事業所前停留場","電車事業所前停留場（でんしゃじぎょうしょまえていりゅうじょう）","https://ja.wikipedia.org/wiki/電車事業所前停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯43度1分50.2秒東経141度20分15.7秒","山鼻西線","2.873 km（西15丁目起点）","札幌市交通事業振興公社（札幌市電）","札幌市中央区南21条西14丁目北緯43度1分50.2秒東経141度20分15.7秒﻿ / ﻿北緯43.030611度 東経141.337694度﻿ /43.030611; 141.337694座標:北緯43度1分50.2秒東経141度20分15.7秒﻿ / ﻿北緯43.030611度 東経141.337694度﻿ /43.030611; 141.337694","地上駅（停留場）","1931年11月20日","2面2線","運行系統上の起点となる西4丁目より4.309 km","○SC11","","","1,215[1]人/日-2019年-","","","","","","",""
"天神駅","天神駅（てんじんえき）","https://ja.wikipedia.org/wiki/天神駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度35分29.36秒東経130度23分57.69秒","空港線","7.3 km（姪浜起点）","福岡市交通局","福岡市中央区天神二丁目北緯33度35分29.36秒東経130度23分57.69秒﻿ / ﻿北緯33.5914889度 東経130.3993583度﻿ /33.5914889; 130.3993583座標:北緯33度35分29.36秒東経130度23分57.69秒﻿ / ﻿北緯33.5914889度 東経130.3993583度﻿ /33.5914889; 130.3993583","地下駅","1981年（昭和56年）7月26日","1面2線","直営駅","○K08","","84,380人/日（降車客含まず）-2018年-","","天神南駅（福岡市地下鉄七隈線）西鉄福岡（天神）駅（西鉄天神大牟田線）","","","","","",""
"天神川駅","天神川駅（てんじんがわえき）","https://ja.wikipedia.org/wiki/天神川駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度23分23.8秒東経132度29分53.95秒","G山陽本線（Y呉線直通含む）","302.4km（神戸起点）三原から呉線経由で91.1 km","西日本旅客鉄道（JR西日本）","広島市南区東駅町1-13北緯34度23分23.8秒東経132度29分53.95秒﻿ / ﻿北緯34.389944度 東経132.4983194度﻿ /34.389944; 132.4983194座標:北緯34度23分23.8秒東経132度29分53.95秒﻿ / ﻿北緯34.389944度 東経132.4983194度﻿ /34.389944; 132.4983194","地上駅（盛土上）","2004年（平成16年）3月13日","2面2線","業務委託駅みどりの券売機プラス設置駅広島市内駅","JR-G02（山陽本線）JR-Y02（呉線）","テン","10,551人/日（降車客含まず）-2019年-","","","","","","","",""
"谷川岳ロープウェイ","天神平駅（てんじんだいらえき）","https://ja.wikipedia.org/wiki/谷川岳ロープウェイ#駅一覧","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天神ノ森停留場","天神ノ森停留場（てんじんのもりていりゅうじょう）","https://ja.wikipedia.org/wiki/天神ノ森停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度37分46.05秒東経135度29分52.17秒","■阪堺線","2.8 km（恵美須町起点）","阪堺電気軌道","大阪市西成区天神ノ森二丁目北緯34度37分46.05秒東経135度29分52.17秒﻿ / ﻿北緯34.6294583度 東経135.4978250度﻿ /34.6294583; 135.4978250座標:北緯34度37分46.05秒東経135度29分52.17秒﻿ / ﻿北緯34.6294583度 東経135.4978250度﻿ /34.6294583; 135.4978250","地上駅","1911年（明治44年）12月1日","単式 2面2線",""," HN58 ","","","","","","","","","",""
"天神橋筋六丁目駅","天神橋筋六丁目駅（てんじんばしすじろくちょうめえき）","https://ja.wikipedia.org/wiki/天神橋筋六丁目駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度42分38.17秒東経135度30分38.82秒","●Osaka Metro谷町線","8.5 km（大日起点）","大阪市高速電気軌道(Osaka Metro)阪急電鉄","大阪市北区天神橋六丁目北緯34度42分38.17秒東経135度30分38.82秒﻿ / ﻿北緯34.7106028度 東経135.5107833度﻿ /34.7106028; 135.5107833﻿ (天神橋筋六丁目駅)座標:北緯34度42分38.17秒東経135度30分38.82秒﻿ / ﻿北緯34.7106028度 東経135.5107833度﻿ /34.7106028; 135.5107833﻿ (天神橋筋六丁目駅)","地下駅","1925年（大正14年）10月15日","計2面4線","共同使用駅（Osaka Metroの管轄駅）"," T18 ","","（阪急）8,283人/日（Osaka Metro）16,931人/日（降車客含まず）-2019年（阪急）--2020年（Osaka Metro）-","（阪急）16,191人/日（Osaka Metro）33,154人/日-2019年（阪急）--2020年（Osaka Metro）-","","","","","","",""
"天神南駅","天神南駅（てんじんみなみえき）","https://ja.wikipedia.org/wiki/天神南駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度35分17.51秒東経130度24分6.22秒","七隈線","12.0 km（橋本起点）","福岡市交通局","福岡市中央区渡辺通五丁目北緯33度35分17.51秒東経130度24分6.22秒﻿ / ﻿北緯33.5881972度 東経130.4017278度﻿ /33.5881972; 130.4017278﻿ (天神南駅)座標:北緯33度35分17.51秒東経130度24分6.22秒﻿ / ﻿北緯33.5881972度 東経130.4017278度﻿ /33.5881972; 130.4017278﻿ (天神南駅)","地下駅","2005年（平成17年）2月3日","島式 1面2線","業務委託駅博多駅方面は2022年度開業予定","○N16","","26,463人/日（降車客含まず）-2019年-","","天神駅（■福岡市地下鉄空港線）西鉄福岡（天神）駅（西日本鉄道天神大牟田線）","","","","","",""
"天神山駅","天神山駅（てんじんやまえき）","https://ja.wikipedia.org/wiki/天神山駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度11分13.74秒東経131度26分19.17秒","■久大本線","118.1 km（久留米起点）","九州旅客鉄道（JR九州）","大分県由布市庄内町西長宝[1]北緯33度11分13.74秒東経131度26分19.17秒","地上駅","1923年（大正12年）9月29日[2]","1面1線[1]","無人駅[3]（自動券売機 有）","","タマ","110人/日（降車客含まず）-2015年-","217人/日-2015年-","","","","","","",""
"天台駅","天台駅（てんだいえき）","https://ja.wikipedia.org/wiki/天台駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度37分53秒東経140度6分46秒","■2号線","2.5 km（千葉起点）","千葉都市モノレール","千葉市稲毛区天台一丁目1095-2北緯35度37分53秒東経140度6分46秒座標:北緯35度37分53秒 東経140度6分46秒","高架駅","1991年（平成3年）6月12日[1]","相対式、2面2線","無人駅","CM06","","2,197人/日（降車客含まず）-2018年-","","","","","","","",""
