"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","管理運営","事業主体","専門分野","公式サイト","正式名称","アクセス","面積","愛称","種数","館長","前身","頭数","主な飼育動物","水槽総容量","最大水槽容量","来園者数"
"沖縄美ら海水族館","[沖縄美ら海水族館（沖縄県国頭郡本部町、国営沖縄記念公園内）★] 完成当初世界最大だった大水槽「 黒潮 の海」を泳ぐ ジンベエザメ 、 ナンヨウマンタ などが人気で、 沖縄県 の著名な観光地となっている。 2005年 （ 平成 17年）に アメリカ合衆国 の ジョージア水族館 が開館されるまでは世界最大の水族館であった。","https://ja.wikipedia.org/wiki/沖縄美ら海水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯26度41分41秒東経127度52分41秒","〒905-0206沖縄県国頭郡本部町石川424番地","北緯26度41分41秒東経127度52分41秒﻿ / ﻿北緯26.69472度 東経127.87806度﻿ /26.69472; 127.87806座標:北緯26度41分41秒東経127度52分41秒﻿ / ﻿北緯26.69472度 東経127.87806度﻿ /26.69472; 127.87806","（旧館）1979年8月-2002年8月31日（新館）2002年11月1日","一般財団法人沖縄美ら島財団","内閣府沖縄総合事務局・都市再生機構","総合","","","","","美ら海水族館","","","沖縄国際海洋博覧会開催期間「沖縄国際海洋博覧会の海洋生物園」博覧会後「国営沖縄海洋博記念公園水族館」「国営沖縄記念公園水族館」","","","10,400t","7,500t",""
"DMMかりゆし水族館","[DMMかりゆし水族館（沖縄県豊見城市）] DMMかりゆし水族館 （ディーエムエムかりゆしすいぞくかん）は、 沖縄県 豊見城市 豊崎 に 2020年 5月25日 開業した 水族館    。運営会社は 株式会社DMM RESORTS 。 メインテーマは、「最新の映像表現と空間演出を駆使した新しいカタチのエンタテイメント水族館」  。","https://ja.wikipedia.org/wiki/DMMかりゆし水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯26度9分22.7秒東経127度39分1.5秒","〒901-0225沖縄県豊見城市豊崎3-35","北緯26度9分22.7秒東経127度39分1.5秒﻿ / ﻿北緯26.156306度 東経127.650417度﻿ /26.156306; 127.650417座標:北緯26度9分22.7秒東経127度39分1.5秒﻿ / ﻿北緯26.156306度 東経127.650417度﻿ /26.156306; 127.650417","2020年5月25日","株式会社DMM RESORTS","株式会社DMM RESORTS","","DMMかりゆし水族館","DMMかりゆし水族館","","6,937.9 m2","","約190種","市川大介","","約5,000点","","約900t","未定",""
"山の水族館","[山の水族館・郷土館（北海道北見市）：1978年-2011年11月→2012年7月、隣接地におんねゆ温泉・山の水族館として新設し再開。] 山の水族館 （やまのすいぞくかん　YAMA NO Aquarium）は 北海道 北見市 留辺蘂町 （るべしべちょう）の 温根湯温泉 （おんねゆおんせん）にある 淡水魚 の 水族館 。 北の大地の水族館 とも呼称される  。","https://ja.wikipedia.org/wiki/山の水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯43度45分15.4秒東経143度30分1秒","〒091-0153北海道北見市留辺蘂町松山1番地4","北緯43度45分15.4秒東経143度30分1秒﻿ / ﻿北緯43.754278度 東経143.50028度﻿ /43.754278; 143.50028座標:北緯43度45分15.4秒東経143度30分1秒﻿ / ﻿北緯43.754278度 東経143.50028度﻿ /43.754278; 143.50028","1978年(昭和53年)4月29日 - 2011年11月6日移築・2012年7月7日 -","果夢林（かむりん）ショップ運営協議会（指定管理者）","北見市","水族館（淡水魚）","onneyu-aq.com","山の水族館","JR留辺蕊駅から道の駅おんねゆ温泉行きバス約20分、終点下車徒歩2分","約600m2","","約50種","","山の水族館・郷土館","約3000点","イトウなど北海道の魚、ピラルクーなど熱帯魚","","50t",""
"東北大学","[東北帝国大学理学部附属臨海実験所水族館（青森県青森市）：1924年-1984年4月→1983年閉館後、隣接地に青森県営浅虫水族館が新設。] 国内で3番目の 帝国大学 として 1907年 （ 明治 40年）に創設され、仙台においては 1911年 （明治44年）に開学  した東北帝国大学理科大学を源流とする大学である。","https://ja.wikipedia.org/wiki/東北大学","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯38度15分15秒東経140度52分25秒","","","","","","","","","","","","","","","","","","",""
"大洗水族館","[大洗水族館（茨城県）→ アクアワールド・大洗水族館として再開。] 隣接する ひたちなか市 の 国営ひたち海浜公園 とともに茨城県を代表する海岸部のレジャースポットである  。茨城県随一の観光施設であると同時に、大洗町そのもののイメージの形成に深く影響を与える施設でもある  。","https://ja.wikipedia.org/wiki/大洗水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯36度20分0秒東経140度35分38秒","〒311-1301茨城県東茨城郡大洗町磯浜町8252-3","北緯36度20分0秒東経140度35分38秒﻿ / ﻿北緯36.33333度 東経140.59389度﻿ /36.33333; 140.59389座標:北緯36度20分0秒東経140度35分38秒﻿ / ﻿北緯36.33333度 東経140.59389度﻿ /36.33333; 140.59389","初代：1952年6月現行館：2002年3月21日","公益財団法人いばらき文化振興財団","茨城県生活環境部生活文化課","総合","www.aquaworld-oarai.com/","アクアワールド茨城県大洗水族館","大洗駅から周遊バス海遊号乗車約15分","19,800m2","","580種（2015年時点）","石橋丈夫（2017年4月時点）","県立大洗水族館、海のこどもの国大洗水族館","68,000点（2015年時点）","サメ、マンボウ、イルカ、アシカ、エトピリカ、ゴマフアザラシ、フンボルトペンギン、カピバラ","5,100t","1,300t","1,134,313人（2016年度）"
"サンシャイン水族館","[サンシャイン国際水族館（東京都）→ サンシャイン水族館として再開。] サンシャイン水族館 （サンシャインすいぞくかん、 英語 ：Sunshine Aquarium）は、 東京都 豊島区 東池袋 ・ サンシャインシティ 内のワールドインポートマートにある 水族館 。 1978年 10月 開館。株式会社サンシャインエンタプライズが運営している。旧称は サンシャイン国際水族館 。","https://ja.wikipedia.org/wiki/サンシャイン水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度43分45秒東経139度43分11.3秒","〒170-0013東京都豊島区東池袋３丁目１ サンシャインシティ ワールドインポートマートビル 屋上","北緯35度43分45秒東経139度43分11.3秒﻿ / ﻿北緯35.72917度 東経139.719806度﻿ /35.72917; 139.719806座標:北緯35度43分45秒東経139度43分11.3秒﻿ / ﻿北緯35.72917度 東経139.719806度﻿ /35.72917; 139.719806","1978年10月","株式会社サンシャインエンタプライズ","民間","総合","https://sunshinecity.jp/aquarium/","","池袋駅（JR・東京メトロ・西武線・東武線）35番出口より徒歩約8分","約7,765㎡","","約550種","丸山 克志","サンシャイン国際水族館","約23,000匹","","約770 t","240t(サンシャインラグーン)","197万人(2017)"
"恩賜上野動物園","[恩賜上野動物園水族館（東京都台東区）→ 両生爬虫類館（魚類の展示有り）と葛西臨海水族園へ分散される。] 東京都恩賜上野動物公園 （とうきょうとおんしうえのどうぶつこうえん）は 東京都 台東区 上野公園の 上野恩賜公園 内に在る東京都立 動物園 。通称・ 上野動物園 （「恩賜」の語が略される）。","https://ja.wikipedia.org/wiki/恩賜上野動物園","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度43分3秒東経139度46分17秒","〒110-8711東京都台東区上野公園9-83","北緯35度43分3秒東経139度46分17秒﻿ / ﻿北緯35.71750度 東経139.77139度﻿ /35.71750; 139.77139座標:北緯35度43分3秒東経139度46分17秒﻿ / ﻿北緯35.71750度 東経139.77139度﻿ /35.71750; 139.77139","","東京動物園協会2011～2015年度指定管理者","","総合","東京ズーネット","","表門上野駅（東日本旅客鉄道（JR東日本）・東京地下鉄（東京メトロ））京成上野駅（京成電鉄）池之端門根津駅（東京メトロ）","","上野動物園","508種（2008年3月時点）","","","3000頭以上（2014年時点）","","","",""
"江ノ島水族館マリンランド","[江の島水族館（神奈川県藤沢市）→ 新江ノ島水族館として再開。] 1951年頃、 6大映画会社 の1つであった 日活 社長の 堀久作 が、 湘南海岸 沿いをドライブし『この地に水族館があれば』と言うアイディアを実現させたものである。事業会社として株式会社 江ノ島水族館 を 1952年 7月19日 に設立し、 1954年 7月1日 に「水族館（1号館）」が 国道134号 沿いの 片瀬江ノ島駅 寄りの内陸側に開業した。1960年代に国道を隔てた海岸側の 湘南海岸公園 の敷地内に「マリンランド（2号館）」と「海の動物園」が増築され、3館で構成された。","https://ja.wikipedia.org/wiki/江ノ島水族館マリンランド","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度18分32秒 東経139度28分54秒","","","1954年7月","株式会社江の島水族館","","総合","","江の島水族館","","","","","","","","","","5,000t(「マリンランド」水深6m、オセアナリウム式イルカプール水槽)",""
"上越市立水族博物館","[上越市立水族博物館（新潟県）→ 上越市立水族博物館(うみがたり)として再開。] 上越市立水族博物館 （じょうえつしりつすいぞくはくぶつかん）は、 新潟県 上越市 五智 にある上越市営の 水族館 である。起源は 1934年 に遡るが、 2018年 6月に「 うみがたり 」という 愛称 でリニューアルオープンした。","https://ja.wikipedia.org/wiki/上越市立水族博物館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯37度10分24.6秒東経138度13分58.7秒","〒942-0081新潟県上越市五智2丁目15-15","北緯37度10分24.6秒東経138度13分58.7秒﻿ / ﻿北緯37.173500度 東経138.232972度﻿ /37.173500; 138.232972座標:北緯37度10分24.6秒東経138度13分58.7秒﻿ / ﻿北緯37.173500度 東経138.232972度﻿ /37.173500; 138.232972","2018年6月26日","株式会社横浜八景島","上越市","","http://www.umigatari.jp/joetsu/","上越市立水族博物館","#アクセスを参照。","8,439.61平方メートル","うみがたり","約300種","","直江津水族博物館、直江津立水族博物館、上越市立水族博物館","約45,000点","マゼランペンギンハンドウイルカシロイルカなど","3,117t","1,100t","50万人（2018年10月時点）"
"蓼科アミューズメント水族館","[蓼科アミューズメント水族館（長野県茅野市）→ 2012年7月、新運営会社「アクアシアたてしな（株）」にて運営再開。] 蓼科アミューズメント水族館 （たてしなアミューズメントすいぞくかん）は、 長野県 茅野市 にある日本一標高の高い 水族館 。","https://ja.wikipedia.org/wiki/蓼科アミューズメント水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯36度03分59.66秒東経138度18分09.95秒","〒391-0301長野県茅野市北山4035-2409","北緯36度03分59.66秒東経138度18分09.95秒﻿ / ﻿北緯36.0665722度 東経138.3027639度﻿ /36.0665722; 138.3027639座標:北緯36度03分59.66秒東経138度18分09.95秒﻿ / ﻿北緯36.0665722度 東経138.3027639度﻿ /36.0665722; 138.3027639","1993年","株式会社蓼科水族館","株式会社蓼科水族館","淡水域生物","http://www.tateshina-aquarium.jp/","蓼科アミューズメント水族館","JR中央本線茅野駅からバスで60分中央道諏訪ICから車で25km","","","","","","","","","",""
"下関市立水族館","[下関市立水族館（山口県下関市）：1956年-2000年→ 下関市立しものせき水族館 海響館として再開。（正確には移転・新築の上、名称も変えてオープン）] 下関市立水族館 （しものせきしりつすいぞくかん）は、 日本 の 山口県 下関市 長府 にかつて存在した 水族館 。","https://ja.wikipedia.org/wiki/下関市立水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","1956年11月29日","下関市","下関市","","","","","12,000㎡","","鳥獣9種・魚類等241種（被災前）","","","鳥獣46点、魚類など2,454点（被災前）","","","",""
"屋島山上水族館","[屋島山上水族館（香川県高松市）→ 新屋島水族館として再開。] 新屋島水族館 （しんやしますいぞくかん、英称： New Yashima Aquarium ）は、 香川県 高松市 屋島東町にある 水族館 。標高約300mの 屋島 山上にある日本でも珍しい水族館である。","https://ja.wikipedia.org/wiki/屋島山上水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度21分30.5秒東経134度6分0秒","〒761-0111香川県高松市屋島東町字屋島峯1785番地1","北緯34度21分30.5秒東経134度6分0秒﻿ / ﻿北緯34.358472度 東経134.10000度﻿ /34.358472; 134.10000座標:北緯34度21分30.5秒東経134度6分0秒﻿ / ﻿北緯34.358472度 東経134.10000度﻿ /34.358472; 134.10000","2006年12月23日","せとうち夢虫博物館株式会社","","総合","","","","","","","","屋島山上水族館","","","","",""
"長崎水族館","[長崎水族館（長崎県長崎市）：1958年-1998年→ 長崎ペンギン水族館として再開。（正確には移転・新築の上、名称も変えてオープン）] 長崎水族館 （ながさきすいぞくかん）は、かつて 長崎県 長崎市 宿町3番地に存在した 水族館 である。","https://ja.wikipedia.org/wiki/長崎水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"沖縄美ら海水族館","[国営沖縄記念公園水族館（沖縄県）→ 沖縄美ら海水族館として再開。] 完成当初世界最大だった大水槽「 黒潮 の海」を泳ぐ ジンベエザメ 、 ナンヨウマンタ などが人気で、 沖縄県 の著名な観光地となっている。 2005年 （ 平成 17年）に アメリカ合衆国 の ジョージア水族館 が開館されるまでは世界最大の水族館であった。","https://ja.wikipedia.org/wiki/沖縄美ら海水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯26度41分41秒東経127度52分41秒","〒905-0206沖縄県国頭郡本部町石川424番地","北緯26度41分41秒東経127度52分41秒﻿ / ﻿北緯26.69472度 東経127.87806度﻿ /26.69472; 127.87806座標:北緯26度41分41秒東経127度52分41秒﻿ / ﻿北緯26.69472度 東経127.87806度﻿ /26.69472; 127.87806","（旧館）1979年8月-2002年8月31日（新館）2002年11月1日","一般財団法人沖縄美ら島財団","内閣府沖縄総合事務局・都市再生機構","総合","","","","","美ら海水族館","","","沖縄国際海洋博覧会開催期間「沖縄国際海洋博覧会の海洋生物園」博覧会後「国営沖縄海洋博記念公園水族館」「国営沖縄記念公園水族館」","","","10,400t","7,500t",""
"オホーツク水族館","[オホーツク水族館（北海道網走市） -1956年～2002年8月31日] オホーツク水族館 （オホーツクすいぞくかん）は、2002年まで 北海道 網走市 に存在した 水族館 である。","https://ja.wikipedia.org/wiki/オホーツク水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","北海道網走市字二ツ岩1番地","","1956年（昭和31年）6月1日","","財団法人オホーツク水族館(朝倉曻理事長)","水族館","Web-cache","","JR石北本線網走駅下車、網走バス「水族館行き」で終点下車。徒歩約3分。（当時）","土地5,331m2(水族館1,168m2他)","","約150種","本間保","","約1万点","クリオネ、ラッコ、オオカミウオ、アザラシ","","","18万人(1974年)"
"ひろお水族館","[ひろお水族館（北海道広尾郡広尾町） -1980年5月～2005年11月3日] ひろお水族館 （ひろおすいぞくかん）は、かつて 北海道 広尾郡 広尾町 に存在した 水族館 である。","https://ja.wikipedia.org/wiki/ひろお水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","〒089-2561北海道広尾郡広尾町野塚989番地","","1980年5月3日","財団法人広尾青少年教育協会","","","","","十勝バス「シーサイドパーク入口」停留所から徒歩","","","","","","","アザラシ","","",""
"余市天然水族館 (存在しないページ)","[余市天然水族館（北海道余市郡余市町） -1958年～1964年]","https://ja.wikipedia.org/w/index.php?title=余市天然水族館&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"十和田淡水魚水族館 (存在しないページ)","[十和田淡水魚水族館（青森県十和田市）]","https://ja.wikipedia.org/w/index.php?title=十和田淡水魚水族館&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"マリンピア松島水族館","[マリンピア松島水族館（宮城県宮城郡松島町） -1927年4月1日～2015年5月10日] マリンピア松島水族館 （マリンピアまつしますいぞくかん）は、かつて 宮城県 宮城郡 松島町 に存在した 水族館 。 日本三景 ・ 松島 の 松島海岸公園 グリーン広場南端に立地していた。 1927年 （ 昭和 2年） 4月1日 に開館し、 2015年 （ 平成 27年） 5月10日 に閉館した。","https://ja.wikipedia.org/wiki/マリンピア松島水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯38度22分3.2秒東経141度3分35.4秒","〒981-0213宮城県宮城郡松島町松島字浪打浜16","北緯38度22分3.2秒東経141度3分35.4秒﻿ / ﻿北緯38.367556度 東経141.059833度﻿ /38.367556; 141.059833座標:北緯38度22分3.2秒東経141度3分35.4秒﻿ / ﻿北緯38.367556度 東経141.059833度﻿ /38.367556; 141.059833","1927年（昭和2年）","","仙台急行（株）","総合","http://www.marinepia.co.jp","","JR東日本仙石線・松島海岸駅より徒歩3分","0.74ha","","約300種類（閉館時）","","","約4,000匹（閉館時）","ラッコ、イルカ、ペンギン、ビーバー、アシカ、アザラシ、マンボウ、フラミンゴ","","","延べ約2100万人"
"群馬県","[群馬県立水産学習館（群馬県館林市） -1987年～2010年館林市花山3181、当時の群馬県立つつじが岡公園内にあった淡水魚（淡水生物）専門の水族館。敷地面積591m2、鉄骨構造の平屋建てで、延床面積は381.5m2。1987年、内水面漁業の振興を目的に設置。年間入館者数は1990年度の約10万人をピークに漸減し、2000年代後半は2、3万人に落ち込んでいた。2009年、群馬県公共施設のあり方検討委員会が群馬県知事に対し当施設の廃止を答申し、2010年に廃止された[8] 米 麦 栽培・ 養蚕 ・ 繊維 工業などの伝統産業に加え、 畜産 ・ 野菜 栽培・ 機械 工業が盛んで、県北西部は 温泉 ・ 保養地 である。 利根川上流ダム群 の豊かな水量は県内はもとより、 東京都 を始めとする関東の 電力 ・ 上水道 の供給源となっている   。県南東部は 都市化 が進み、 首都圏整備法 の都市開発区域に指定され、 工業地域 を形成している。","https://ja.wikipedia.org/wiki/群馬県","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯36度23分26.4秒東経139度3分37.6秒","〒371-8570群馬県前橋市大手町一丁目1番1号北緯36度23分26.4秒東経139度3分37.6秒﻿ / ﻿北緯36.390667度 東経139.060444度﻿ /36.390667; 139.060444﻿ (群馬県)座標:北緯36度23分26.4秒東経139度3分37.6秒﻿ / ﻿北緯36.390667度 東経139.060444度﻿ /36.390667; 139.060444﻿ (群馬県)","","","","","","","","","6,362.28km2","","","","","","","","",""
"よしもと遊べる水族館","[よしもと遊べる水族館（埼玉県三郷市） -2009年9月17日～2011年4月10日] ヨコハマおもしろ水族館 （ヨコハマおもしろすいぞくかん）とは、 神奈川県 横浜市 中区 の 横浜中華街 にある 水族館 。さまざまな種類の 魚 を展示している  。","https://ja.wikipedia.org/wiki/よしもと遊べる水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度26分34.6秒東経139度38分40.5秒","〒231-0023神奈川県横浜市中区山下町144番地","北緯35度26分34.6秒東経139度38分40.5秒﻿ / ﻿北緯35.442944度 東経139.644583度﻿ /35.442944; 139.644583座標:北緯35度26分34.6秒東経139度38分40.5秒﻿ / ﻿北緯35.442944度 東経139.644583度﻿ /35.442944; 139.644583","2004年","","","","公式サイト","","","","","約400","","","","","","",""
"犬吠埼マリンパーク","[犬吠埼マリンパーク（千葉県銚子市） -1954年7月13日～2018年1月31日] 犬吠埼 の 岬 の上、 太平洋 を見下ろす高台に位置しており  、外観は ピンク 色で  、 内装 は タイル 張りであった  。1階は「オーシャンホール」の名で南米 アマゾン川 の 淡水魚 や ゴマフアザラシ 、 アフリカ の ワニ などを展示し、 銚子漁港 で多く水揚げされる イワシ の大水槽も備え  、2階の「ファンタジーコーナー」は エイ 、 カニ 、 サメ などを、最奥部の「洞窟水槽」では ミズダコ や北の海の生物を展示し、  屋上は 展望台 になっていた  。","https://ja.wikipedia.org/wiki/犬吠埼マリンパーク","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度42分25.7秒東経140度51分54.6秒","〒288-0012千葉県銚子市犬吠埼9575-1","北緯35度42分25.7秒東経140度51分54.6秒﻿ / ﻿北緯35.707139度 東経140.865167度﻿ /35.707139; 140.865167座標:北緯35度42分25.7秒東経140度51分54.6秒﻿ / ﻿北緯35.707139度 東経140.865167度﻿ /35.707139; 140.865167","1954年7月13日","株式会社犬吠埼マリンパーク","株式会社犬吠埼マリンパーク","総合","","犬吠埼マリンパーク","銚子電気鉄道線犬吠駅から徒歩約10分","","","230種","","","2,500点","ピラルクタカアシガニフンボルトペンギンバンドウイルカ","","5t（イワシ水槽）","約12万人（2000年代初頭）"
"東京タワー","[東京タワー水族館（東京都港区、東京タワー内） -1978年4月28日～2018年9月30日] 日本の「塔博士」とも称される 内藤多仲 らによって設計された（詳細は 設計 を参照）。","https://ja.wikipedia.org/wiki/東京タワー#過去施設","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度39分31秒東経139度44分44秒","〒105-0011東京都港区芝公園四丁目2番8号","","","","","","","","","","","","","","","","","",""
"浅草公園水族館","[浅草公園水族館（東京都台東区） -1899年10月15日～1935年?] 浅草公園水族館 （あさくさこうえんすいぞくかん）は、かつて存在した日本の 水族館 である。通称 浅草水族館 。 昭和初年に2階が「余興場」となり、 軽演劇 の劇団「 カジノ・フォーリー 」が旗揚げしたことで知られる。","https://ja.wikipedia.org/wiki/浅草公園水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度42分51.5秒東経139度47分40.5秒","〒111-0032日本東京市浅草区浅草公園四区（現在の東京都台東区浅草二丁目7）","北緯35度42分51.5秒東経139度47分40.5秒﻿ / ﻿北緯35.714306度 東経139.794583度﻿ /35.714306; 139.794583座標:北緯35度42分51.5秒東経139度47分40.5秒﻿ / ﻿北緯35.714306度 東経139.794583度﻿ /35.714306; 139.794583","1899年10月15日","桜井源一郎","私営","海水魚","","浅草公園水族館","","","浅草水族館","","太田實","","","","","",""
"板橋区立淡水魚水族館","[板橋区立淡水魚水族館（東京都板橋区） -1983年4月～2004年3月31日] 板橋区立淡水魚水族館 （いたばしくりつたんすいぎょすいぞくかん）は、 東京都 板橋区 板橋 三丁目の区立 東板橋公園 内にかつて存在した 水族館 である。","https://ja.wikipedia.org/wiki/板橋区立淡水魚水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"よみうりランド","[よみうりランドマリンドーム海水水族館（東京都稲城市）★ -1969年3月19日～2000年11月5日] よみうりランド は、 株式会社よみうりランド が運営する 東京都 稲城市 と 神奈川県 川崎市 多摩区 にまたがる場所にある 遊園地 。","https://ja.wikipedia.org/wiki/よみうりランド","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度37分33秒東経139度31分7秒","〒206-8725本社：東京都稲城市矢野口4015-1（株式会社よみうりランド本社ビル）施設：神奈川県川崎市多摩区菅仙谷4丁目","北緯35度37分33秒東経139度31分7秒﻿ / ﻿北緯35.62583度 東経139.51861度﻿ /35.62583; 139.51861座標:北緯35度37分33秒東経139度31分7秒﻿ / ﻿北緯35.62583度 東経139.51861度﻿ /35.62583; 139.51861","","株式会社よみうりランド","株式会社よみうりランド","","https://www.yomiuriland.com/","","","","","","","","","","","",""
"三笠公園","[三笠水族館（神奈川県横須賀市） -1949年～1959年] 三笠公園 （みかさこうえん）は、 神奈川県 横須賀市 にある 都市公園 （歴史公園）である  。 横須賀新港 に面しており、 大日本帝国海軍 の 戦艦「三笠」 が保存・公開されている ","https://ja.wikipedia.org/wiki/三笠公園#記念艦「三笠」","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度17分6.7秒東経139度40分25.7秒","日本神奈川県横須賀市稲岡町","","","","","","三笠公園管理事務所","","","36,940m2","","","","","","","","",""
"東京大学大学院理学系研究科附属臨海実験所","[東大三崎臨海実験場付属油壺水族館（神奈川県三浦市） -1932年～1971年8月] 東京大学大学院理学系研究科附属臨海実験所 （とうきょうだいがくだいがくいんりがくけいけんきゅうかふぞくりんかいじっけんじょ、英称：Misaki Marine Biological Station, the University of Tokyo）は、 神奈川県 三浦市 三崎町にある 東京大学 の附属 研究所 である。 三崎臨海実験所 （みさきりんかいじっけんじょ）とも呼ばれる。 日本 最初の 臨海実験所 として 1886年 （ 明治 19年）に創設され、 1897年 （明治30年）に 油壺 に移転し現在に至っている。","https://ja.wikipedia.org/wiki/東京大学大学院理学系研究科附属臨海実験所","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度9分29.7秒 東経139度36分43.2秒","","","","","","","","","","","","","","","","","","",""
"鎌倉市","[鎌倉水族館（神奈川県鎌倉市） -1953年10月18日～1959年[12] 鎌倉市 （かまくらし）は、 神奈川県 の南部に位置する 市 。人口は約17.3万人。 三浦半島 西側の付け根にあり、 鎌倉 を中心部とする。","https://ja.wikipedia.org/wiki/鎌倉市","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度19分9.3秒東経139度32分48.1秒","〒248-8686神奈川県鎌倉市御成町18番10号北緯35度19分9.3秒東経139度32分48.1秒﻿ / ﻿北緯35.319250度 東経139.546694度﻿ /35.319250; 139.546694﻿ (鎌倉市)座標:北緯35度19分9.3秒東経139度32分48.1秒﻿ / ﻿北緯35.319250度 東経139.546694度﻿ /35.319250; 139.546694﻿ (鎌倉市)","","","","","","","","","39.67km2","","","","","","","","",""
"真鶴町","[真鶴水族館（神奈川県足柄下郡真鶴町）] 真鶴町 （まなづるまち）は、 神奈川県 の南西部に位置し、 足柄下郡 に属する 町 。","https://ja.wikipedia.org/wiki/真鶴町#名所・旧跡・観光スポット","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度9分30.4秒東経139度8分13.8秒","〒259-0202神奈川県足柄下郡真鶴町岩244-1北緯35度9分30.4秒東経139度8分13.8秒﻿ / ﻿北緯35.158444度 東経139.137167度﻿ /35.158444; 139.137167座標:北緯35度9分30.4秒東経139度8分13.8秒﻿ / ﻿北緯35.158444度 東経139.137167度﻿ /35.158444; 139.137167町庁舎位置","","","","","","","","","7.05km2","","","","","","","","",""
"柏崎水族館 (存在しないページ)","[柏崎水族館（新潟県柏崎市） - 1954年～1956年]","https://ja.wikipedia.org/w/index.php?title=柏崎水族館&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"糸魚川市","[糸魚川水族館（新潟県糸魚川市） - 1949年～1954年[13] 糸魚川市 （いといがわし）は、 新潟県 の最西端に位置する 市 である。 上越地方 に属し、 日本海 に面する。 糸魚川静岡構造線 （ フォッサマグナ の西端）が通り  、日本の東西の境界線上に位置する。世界的にも珍しい ヒスイ の産地であり  、景勝地の 親不知 でも知られる。全域が ユネスコ 世界 ジオパーク （ 糸魚川ジオパーク ）に指定されている  。","https://ja.wikipedia.org/wiki/糸魚川市","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯37度2分20.5秒東経137度51分45.6秒","〒941-8501新潟県糸魚川市一の宮一丁目2番5号北緯37度2分20.5秒東経137度51分45.6秒﻿ / ﻿北緯37.039028度 東経137.862667度﻿ /37.039028; 137.862667座標:北緯37度2分20.5秒東経137度51分45.6秒﻿ / ﻿北緯37.039028度 東経137.862667度﻿ /37.039028; 137.862667","","","","","","","","","746.24km2（境界未定部分あり）","","","","","","","","",""
