"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","最高標高","所在海域","海岸線長","所属諸島","最高峰","人口","都道府県","場所","最大都市","主要な島","時間帯","市町村","諸島","島数","人口密度","言語","郡"
"竹島 (鹿児島県)","[竹島- 4.22km2[11] 竹島 （たけしま）は、 薩南諸島 北部に位置する 島 である。 郵便番号 は890-0903。人口は64人、世帯数は37世帯（ 2020年 5月1日 現在）  。 大隅諸島 には、含まれるとする説と含まれないとする説とがある。","https://ja.wikipedia.org/wiki/竹島_(鹿児島県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯30度48分50秒東経130度25分2.1秒","日本","4.20km²","220m","東シナ海","12.8km","薩南諸島","マゴメ山","78 （2010年）","","","","","","","","","","",""
"臥蛇島","[臥蛇島- 4.05km2[11] 臥蛇島 （がじゃじま）は、 鹿児島県 の 吐噶喇（トカラ）列島 に属しトカラ列島で最大の 中之島 の西約28kmに位置する 無人島 である。 1970年 （昭和45年）に全島民が移住し無人島となった。","https://ja.wikipedia.org/wiki/臥蛇島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯29度54分11秒東経129度32分30秒","日本（鹿児島県十島村）","4.07km²","497m","東シナ海(七島灘)","9km","","御岳","","","","","","","","","","","",""
"諸浦島","[諸浦島- 3.87km2[11] 諸浦島 （しょうらじま）は、 鹿児島県 出水郡 長島町 を構成する 島 の一つである。人口は約500人。","https://ja.wikipedia.org/wiki/諸浦島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度14分28.6秒東経130度10分17.5秒","日本（鹿児島県出水郡）","3.87km²","104.4m","八代海","22.0km","","","","","","","","","","","","","",""
"伊唐島","[伊唐島- 3.71km2[11] 伊唐島 （いからじま）は、 鹿児島県 出水郡 長島町 を構成する 島 の一つである。人口は295人（ 平成22年 現在）。 1996年 （平成8年）に、 伊唐大橋 の開通によって車や徒歩による本土との往来が可能となり、利便性が飛躍的に向上した。","https://ja.wikipedia.org/wiki/伊唐島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度13分7.61秒東経130度12分1.22秒","日本（鹿児島県出水郡）","3.71km²","103.5m","八代海","","","","","","","","","","","","","","",""
"横当島","[横当島- 2.75km2[11] 横当島 （よこあてじま）は、 鹿児島県 の 吐噶喇列島 に属し、同列島の最南端に位置する 無人島 である。 宝島 の南南西約42km、 奄美大島 名瀬港 より北西約60kmに位置し、鹿児島県 鹿児島郡 十島村 に属する。宝島の住人などには、 オガミ と呼ばれる  。また、過去には 与波天島 （よはてじま）と呼ばれていた   。","https://ja.wikipedia.org/wiki/横当島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯28度48分02秒東経128度59分40秒","","2.75 km2(1.06 sq mi)","494.8 m (1,623.4 ft)","","","","東峰","0","鹿児島県","東シナ海","","","UTC+9","十島村","吐噶喇列島","","","","鹿児島郡"
"平島 (鹿児島県)","[平島- 2.08km2[11] 平島 （たいらじま）は、 鹿児島県 の 吐噶喇列島 の中央部に位置する 島 である。","https://ja.wikipedia.org/wiki/平島_(鹿児島県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯29度41分16.1秒東経129度31分42.1秒","日本鹿児島県","2.08km²","","","7.23km","吐噶喇列島","","","","","","","","","","","","",""
"宇治向島","[宇治向島- 1.72km2[11] 宇治向島 （うじむかえしま）は、 鹿児島県 南さつま市 にある 島 。 宇治島 と周辺の小島や岩礁とともに 宇治群島 を構成している。","https://ja.wikipedia.org/wiki/宇治向島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯31度11分13秒東経129度26分41秒","日本鹿児島県南さつま市","1.69km²","319m","東シナ海","10km","宇治群島","","","","","","","","","","","","",""
"天草諸島","[天草諸島- 鹿児島県と熊本県にまたがる。] 天草諸島 （あまくさしょとう）は、 九州 西部の 熊本県 と 鹿児島県 にまたがる 諸島 である。北は 有明海 、東・南東は 八代海 （不知火海）、西・南西は 東シナ海 の 天草灘 に囲まれる。別称は 苓州 ・ 苓洲 （れいしゅう）。天草を 甘草 に掛け、その漢名「苓」から 唐名 風に名付けたもの。","https://ja.wikipedia.org/wiki/天草諸島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度24分東経130度07分","","997.7 km2(385.2 sq mi)","682 m (2,238 ft)","","","","倉岳（上島）","126,445人（2014年11月1日年時点）","熊本県","天草灘、八代海","天草市（人口79,652人）","下島、上島、長島、大矢野島、獅子島、御所浦島","日本標準時（UTC+9）","上天草市天草市天草郡苓北町","","約110～約130","143.4 /km2(371.4 /sq mi)","日本語",""
"甑島列島","[甑島列島] 甑島列島 （こしきしまれっとう  ）は、 東シナ海 にあり、 鹿児島県 薩摩川内市 に属する 列島 。 甑列島 （こしきれっとう）ともいう。 上甑島 （かみこしきしま）、 中甑島 （なかこしきしま）、 下甑島 （しもこしきしま）の有人島3島と多数の小規模な無人島からなる   。中甑島北部にある「 甑 」（ 蒸籠 ）の形をした大岩を甑大明神として崇拝したことに由来し、かつては「古敷島」「小敷島」「子敷島」「古志岐島」などとも書いた     。列島全体では人口5,576人、面積117.56km 2 、海岸線延長183.3kmである  。","https://ja.wikipedia.org/wiki/甑島列島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯31度45分24秒東経129度47分17秒","","117.56 km2(45.39 sq mi)","604 m (1,982 ft)","","","","尾岳","5576（2011年時点）","鹿児島県","東シナ海","","上甑島、中甑島、下甑島","日本標準時（UTC+9）","薩摩川内市","","","47.4 /km2(122.8 /sq mi)","日本語",""
"宇治群島","[宇治群島] 宇治群島 （うじぐんとう）は、 薩摩半島 西方沖にある群島。 鹿児島県 南さつま市 笠沙町 片浦に属し全て 無人島 である。南方の 草垣群島 と同じく、 上三島 、 薩南諸島 のいずれにも属さず、よって南西諸島にも属さない。","https://ja.wikipedia.org/wiki/宇治群島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯31度11分46.6秒東経129度27分0.9秒","","1.7 km2(0.66 sq mi)","319 m (1,047 ft)","","","","清内岳（宇治向島）","0","","東シナ海","","","","","","","","",""
"草垣群島","[草垣群島] 草垣群島 （くさがきぐんとう）は 枕崎市 の南西沖約90km、 東シナ海 に位置する 無人島 群。 鹿児島県 南さつま市 （旧 笠沙町 ）に属する。 縄文時代 から 古墳時代 に至る 遺跡 がある。","https://ja.wikipedia.org/wiki/草垣群島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯30度50分48秒東経129度25分57秒","","0.68 km2(0.26 sq mi)","151 m (495 ft)","","","","下ノ島","0人","鹿児島県","東シナ海","","上ノ島、下ノ島、中ノ島、南小島","UTC+9","南さつま市","","17","","",""
"新島 (鹿児島県)","[新島 (鹿児島県)] 新島 （しんじま）は、 鹿児島湾 の奥、桜島の北東約1.2 km に位置する 島 である  。 燃島 、 安永島 ともいわれる   。桜島の安永大噴火によって隆起して形成された島である  。 離島振興法 に基づく離島振興対策実施地域に指定されている  。また全域が 霧島錦江湾国立公園 の区域である  。","https://ja.wikipedia.org/wiki/新島_(鹿児島県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯31度37分3.58秒東経130度43分24.1秒","日本（鹿児島県）","0.1km²","43m","鹿児島湾","1.45km","","","","","","","","","","","","","",""
"桜島","[桜島] 桜島 （さくらじま）は、 日本 の 九州 南部、 鹿児島県 の 鹿児島湾 （錦江湾）にある東西約12km、南北約10 km、周囲約55 km、面積約77km 2  の 火山 。かつては 島 であったが、 1914年 （ 大正 3年）の噴火により、 鹿児島市 の対岸の 大隅半島 と 陸続き になった         。","https://ja.wikipedia.org/wiki/桜島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯31度35分19秒東経130度39分17秒","日本鹿児島県鹿児島市","","","","","","","","","","","","","","","","","",""
"薩南諸島","[薩南諸島大隅諸島吐噶喇列島小宝島奄美群島] 薩南諸島 （さつなんしょとう）は、 南西諸島 のうち北は 種子島 から南は 与論島 までの 鹿児島県 に属する部分の島々を指す総称である。","https://ja.wikipedia.org/wiki/薩南諸島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯29度30分東経129度30分","","2,352 km2(908 sq mi)","1,936 m (6,352 ft)","","","","宮之浦岳（屋久島）","","鹿児島県","東シナ海、太平洋","奄美市（人口41,096人）","種子島、屋久島、奄美大島、加計呂麻島、徳之島、沖永良部島","日本標準時（UTC+9）","西之表市奄美市熊毛郡中種子町熊毛郡南種子町熊毛郡屋久島町鹿児島郡三島村鹿児島郡十島村大島郡大和村大島郡宇検村大島郡瀬戸内町大島郡龍郷町大島郡喜界町大島郡徳之島町大島郡天城町大島郡伊仙町大島郡和泊町大島郡知名町大島郡与論町南さつま市","南西諸島","約30","","",""
"西表島","[西表島- 289.62km2[11] 西表島 （いりおもてじま）は、 沖縄県 八重山郡 竹富町 に属する 八重山列島 の 島 である。同列島で最大の面積を持つ。人口は2,379人  （2021年3月末現在  ）である。","https://ja.wikipedia.org/wiki/西表島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度17分33秒東経123度51分43秒","日本（沖縄県八重山郡竹富町）","289.61km²","469.5m","東シナ海","130.0km","八重山列島","古見岳","","","","","","","","","","","",""
"石垣島","[石垣島- 222.24km2[11] 石垣島 （いしがきじま）は、 沖縄県 石垣市 に属する 八重山列島 の 島 である。","https://ja.wikipedia.org/wiki/石垣島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度20分04秒東経124度09分22秒","日本（沖縄県石垣市）","222.54km²","525.5m","太平洋（東シナ海・フィリピン海）","162.2km","八重山列島","於茂登岳","","","","","","","","","","","",""
"宮古島","[宮古島- 158.87km2[11] 宮古島 （みやこじま）は、 沖縄県 宮古島市 に属する 宮古列島 の 島 である。","https://ja.wikipedia.org/wiki/宮古島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度48分17秒東経125度16分52秒","日本（沖縄県宮古島市）","158.93km²","114.8m","東シナ海・太平洋（フィリピン海）","133.5km","宮古列島","","","","","","","","","","","","",""
"久米島","[久米島- 59.53km2[11] 久米島 （くめじま）は、 沖縄本島 から西に約100km、 沖縄諸島 に属する島で、最も西に位置する島である。人口は7000人程度で、行政上は島全域が 久米島町 に含まれる。面積は59.53 km 2  で、沖縄県内では、沖縄本島、 西表島 、 石垣島 、 宮古島 に次いで5番目に大きな島である。 ダイビング 地として有名で、３つの リゾートホテル が存在する。長く広がるイーフビーチ周辺には 民宿 なども多く点在する。また、 東北楽天ゴールデンイーグルス が発足年度からこの地に キャンプ を構えたことで、 プロ野球 ファンにも広く知られるようにもなった。","https://ja.wikipedia.org/wiki/久米島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度21分16秒東経126度46分15秒","日本（沖縄県島尻郡久米島町）","59.53km²","310.4m","東シナ海","53.31km","沖縄諸島","宇江城岳","","","","","","","","","","","",""
"南大東島","[南大東島- 30.52km2[11] 南大東島 （みなみだいとうじま）は、 沖縄本島 の約400km東方（ 宮崎県 の真南）に位置する 大東諸島 の 島 で、 沖縄県 内では6番目に面積が大きい。","https://ja.wikipedia.org/wiki/南大東島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯25度50分44秒東経131度14分41秒","日本（沖縄県島尻郡南大東村）","30.53km²","75m","太平洋","21.2km","大東諸島","","","","","","","","","","","","",""
"伊良部島","[伊良部島- 29.06km2[11] 伊良部島 （いらぶじま）は、 宮古列島 の 島 のひとつである。全島が 沖縄県 宮古島市 に属する。","https://ja.wikipedia.org/wiki/伊良部島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度50分20秒東経125度9分56秒","日本（沖縄県宮古島市）","29.06km²","89.0m","東シナ海","72.4km","宮古列島","牧山","","","","","","","","","","","",""
"与那国島","[与那国島- 28.95km2[11] 与那国島 （よなぐにじま）は、 南西諸島 八重山列島 の 島 。 日本 の最西端に位置する島で、 国境 の島と呼ばれる  。","https://ja.wikipedia.org/wiki/与那国島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度28分6秒東経123度0分17秒","日本（沖縄県八重山郡与那国町）","28.95km²","231.3m","東シナ海・太平洋（フィリピン海）","27.49km","八重山諸島","宇良部岳（うらぶだけ）","","","","","","","","","","","",""
"伊江島","[伊江島- 22.76km2[11] 伊江島 （いえじま）は 沖縄県 国頭郡 伊江村 にある島。","https://ja.wikipedia.org/wiki/伊江島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度42分58秒東経127度47分25秒","日本沖縄県国頭郡伊江村","22.77km²","172.2m","","23.6km","沖縄諸島","","","","","","","","","","","","",""
"伊平屋島","[伊平屋島- 20.66km2[11] 伊平屋島 （いへやじま）は 日本 の 南西諸島 、 沖縄本島 北西部の 伊平屋伊是名諸島 に属する島。 沖縄県 島尻郡 伊平屋村 の主島。","https://ja.wikipedia.org/wiki/伊平屋島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯27度02分23秒東経127度58分07秒","日本・沖縄県島尻郡伊平屋村","20.66km²","294m","東シナ海","34.23km","伊平屋伊是名諸島","賀陽山","","","","","","","","","","","",""
"多良間島","[多良間島- 19.81km2[11] 多良間島 （たらまじま）は、 宮古島 と 石垣島 の中間に位置する 宮古列島 の 島 である。行政区分としては、全島が 沖縄県 宮古郡 多良間村 に属する。","https://ja.wikipedia.org/wiki/多良間島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度39分28秒東経124度42分01秒","日本沖縄県宮古郡多良間村","19.75km²","34.2m","東シナ海","19.0km","","","","","","","","","","","","","",""
"渡嘉敷島","[渡嘉敷島- 15.31km2[11] 渡嘉敷島 （とかしきじま）は、 沖縄県 島尻郡 渡嘉敷村 に属する島である。 那覇 の西方約30kmに位置し、 慶良間諸島 の東端にある。渡嘉敷村の 役場 が設置されるなど、慶良間諸島を構成する主たる島の一つとなっている。","https://ja.wikipedia.org/wiki/渡嘉敷島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度11分52秒東経127度21分52秒","日本（沖縄県島尻郡渡嘉敷村）","15.31km²","227m","東シナ海","25km","慶良間諸島","赤間山","","","","","","","","","","","",""
"伊是名島","[伊是名島- 14.12km2[11] 伊是名島 （いぜなじま）は 日本 の 南西諸島 、 沖縄本島 北西部の 伊平屋伊是名諸島 に属する島。 沖縄県 島尻郡 伊是名村 の主島。","https://ja.wikipedia.org/wiki/伊是名島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度55分40秒東経127度56分28秒","日本・沖縄県島尻郡伊是名村","14.12km²","119.9m","東シナ海","16.7km","伊平屋伊是名諸島","大野山","","","","","","","","","","","",""
"波照間島","[波照間島- 12.73km2[11] 波照間島 （はてるまじま）は、 沖縄県 の 八重山諸島 の島。 八重山郡 竹富町 に属する。 日本最南端 の有人島である。 面積 12.73 km 2  、人口は482人（2021年3月末現在  ）。","https://ja.wikipedia.org/wiki/波照間島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度3分33秒東経123度46分57秒","日本沖縄県八重山郡竹富町","12.73km²","59.7m","東シナ海・太平洋（フィリピン海）","14.8km","八重山諸島","","","","","","","","","","","","",""
"北大東島","[北大東島- 11.93km2[11] 北大東島 （きただいとうじま）は、 大東諸島 に属する 島 で、 沖縄本島 の東約360kmに位置する。","https://ja.wikipedia.org/wiki/北大東島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯25度56分41秒東経131度18分23秒","日本（沖縄県島尻郡北大東村）","11.93km²","74m","太平洋","18.3km","大東諸島","","","","","","","","","","","","",""
"黒島 (沖縄県竹富町)","[黒島- 10.02km2[11] 黒島 （くろしま）は、 沖縄県 の 八重山諸島 にある 島 である。沖縄県 八重山郡 竹富町 に属する。","https://ja.wikipedia.org/wiki/黒島_(沖縄県竹富町)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度14分22秒東経124度00分53秒","日本沖縄県八重山郡竹富町","10.02km²","15.3m","東シナ海","12.6km","八重山諸島","","","","","","","","","","","","",""
"下地島","[下地島- 9.68km2[11] 下地島 （しもじしま  、しもじじま  ）は、 宮古列島 の 島 のひとつである。全島が 沖縄県 宮古島市 に属する。","https://ja.wikipedia.org/wiki/下地島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度48分58秒東経125度09分25秒","日本（沖縄県宮古島市）","9.68km²","21.6m","東シナ海","17.5km","宮古列島","","","","","","","","","","","","",""
"小浜島","[小浜島- 7.86km2[11] 小浜島 （こはまじま）は、 八重山諸島 の 島 である。行政区分としては、 沖縄県 八重山郡 竹富町 に属する。","https://ja.wikipedia.org/wiki/小浜島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度20分28秒東経123度58分51秒","日本沖縄県八重山郡竹富町","7.86km²","99.8m","東シナ海","16.6km","八重山諸島","","","","","","","","","","","","",""
"屋我地島","[屋我地島- 7.82km2[11] 屋我地島 （やがじしま）は、 沖縄本島 北部にある島。 1946年 から 1970年 には島一円で 屋我地村 という 村 だった。","https://ja.wikipedia.org/wiki/屋我地島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度39分56秒東経128度00分38秒","日本・沖縄県名護市","7.82km²","55m","東シナ海・羽地内海","16km","沖縄諸島","","","","","","","","","","","","",""
"粟国島","[粟国島- 7.62km2[11] 粟国島 （あぐにじま）は、 沖縄諸島 に属する 島 である。","https://ja.wikipedia.org/wiki/粟国島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度34分56秒東経127度13分36秒","日本・沖縄県島尻郡粟国村","7.62km²","95.8m","東シナ海","12.8km","沖縄諸島","番屋塚（ばんやちじ）","約900","","","","","","","","","","",""
"座間味島","[座間味島- 6.70km2[11] 座間味島 （ざまみじま）は、 慶良間諸島 に所属する 島 で、 沖縄県 島尻郡 座間味村 に属する。人口は597人、世帯数は358世帯（ 2019年 4月1日 現在）  。","https://ja.wikipedia.org/wiki/座間味島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度13分45秒東経127度18分12秒","日本（沖縄県島尻郡座間味村）","6.70km²","160.7m","東シナ海","23.2km","慶良間諸島","大岳（うふだき）","","","","","","","","","","","",""
"宮城島 (沖縄県うるま市)","[宮城島- 5.54km2[11] 宮城島 （みやぎじま）は、 沖縄県 うるま市 に属する島で  、 沖縄諸島 の内、与勝諸島を構成する 太平洋 の有人島である  。 沖縄本島 中部の東部海岸に突出する 勝連半島 北東約7kmに位置する  。","https://ja.wikipedia.org/wiki/宮城島_(沖縄県うるま市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度22分06秒東経127度58分53秒","日本・沖縄県うるま市","5.54km²","121.4m","太平洋","12.24km","沖縄諸島","ヒータキ（火焚山）","","","","","","","","","","","",""
"平安座島","[平安座島- 5.44km2[11] 平安座島 （へんざじま）は、 沖縄県 うるま市 に属する 島 で  、 沖縄諸島 の内、与勝諸島を構成する 太平洋 の有人島である  。 沖縄本島 中部の東部海岸に突出する 勝連半島 の北東約4kmに位置する  。","https://ja.wikipedia.org/wiki/平安座島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度20分56秒東経127度57分29秒","日本・沖縄県うるま市","5.44km²","115.6m","太平洋","7km","沖縄諸島","","","","","","","","","","","","",""
"竹富島","[竹富島- 5.43km2[11] 竹富島 （たけとみじま）は、 沖縄県 の 八重山列島 にある 島 である。全島が沖縄県 八重山郡 竹富町 に属している。","https://ja.wikipedia.org/wiki/竹富島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度19分47秒東経124度05分12秒","日本沖縄県八重山郡竹富町","5.43km²","33.1m","東シナ海","9.2km","八重山列島","","","","","","","","","","","","",""
"魚釣島","[魚釣島- 3.81km2[11] 魚釣島 （うおつりしま、うおつりじま  ）は、 琉球列島 の一部である 尖閣諸島 にあり、尖閣諸島の中では最大の島である。 日本 の行政区分では 沖縄県 石垣市 登野城尖閣 （2020年10月1日に 登野城 より分離）に属する。 中華人民共和国 と 中華民国 も同島の領有権を主張している。中国側は同島について 釣魚島 （ちょうぎょとう、ディァオユーダオ, Diàoyúdǎo) という名称を使用している  。","https://ja.wikipedia.org/wiki/魚釣島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯25度44分33秒東経123度28分17秒","東シナ海","3.64 km2(1.41 sq mi)","","","11km","","","0人（無人島） (2020年11現在)","","","","","","","","","","",""
"阿嘉島","[阿嘉島- 3.80km2[11] 阿嘉島 （あかじま）は、 慶良間諸島 に属する島で、 沖縄県 島尻郡 座間味村 に属する。人口は264人、世帯数は163世帯（ 2019年 4月1日 現在）  。","https://ja.wikipedia.org/wiki/阿嘉島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度11分59秒東経127度16分51秒","日本（沖縄県島尻郡座間味村）","3.80km²","187.2m","東シナ海","12.3km","慶良間諸島","大岳（おおたけ）","","","","","","","","","","","",""
"渡名喜島","[渡名喜島- 3.58km2[11] 渡名喜島 （となきじま）は、 沖縄県 島尻郡 渡名喜村 にある島。","https://ja.wikipedia.org/wiki/渡名喜島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度21分55秒東経127度08分40秒","日本沖縄県島尻郡渡名喜村","3.56km²","179m","","12.5km","沖縄諸島","","","","","","","","","","","","",""
"古宇利島","[古宇利島- 3.17km2[11] 古宇利島 （こうりじま）は、 沖縄県 国頭郡 今帰仁村 に属する島で、 沖縄本島 北部にある 屋我地島 の北に位置する。","https://ja.wikipedia.org/wiki/古宇利島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度42分22秒東経128度1分4秒","日本・沖縄県国頭郡今帰仁村","3.17km²","106.8m","東シナ海","7.9km","沖縄諸島","","","","","","","","","","","","",""
"瀬底島","[瀬底島- 2.99km2[11] 瀬底島 （せそこじま）は、 沖縄県 国頭郡 本部町 に属する 島 で  、 本部半島 の西方沖約600メートルの 東シナ海 に位置する  。","https://ja.wikipedia.org/wiki/瀬底島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度38分46秒東経127度51分54秒","日本・沖縄県国頭郡本部町","2.99km²","76.0m","東シナ海","7.3km","沖縄諸島","","","","","","","","","","","","",""
"来間島","[来間島- 2.84km2[11] 宮古島の南西約1.5 kmの 太平洋 に浮かぶ面積2.84 km 2  、周囲9.0 kmの島である。住居表示上は、全島が沖縄県宮古島市 下地 字来間。人口は152人（住民基本台帳人口、2019年1月1日現在）  で、 過疎化 が進む。","https://ja.wikipedia.org/wiki/来間島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度43分33秒東経125度15分06秒","日本（沖縄県宮古島市）","2.84km²","47.3m","東シナ海","9.0km","宮古諸島","","","","","","","","","","","","",""
"池間島","[池間島- 2.83km2[11] 池間島 （いけまじま）は、 宮古島 の北西1.5kmに位置し、 沖縄県 宮古島市 平良池間に属する 島 である。","https://ja.wikipedia.org/wiki/池間島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度55分56秒東経125度14分31秒","日本沖縄県宮古島市","2.83km²","28m","東シナ海","10.1km","宮古諸島","","","","","","","","","","","","",""
"硫黄鳥島","[硫黄鳥島- 2.50km2[11] 硫黄鳥島 （いおうとりしま  ）は、 沖縄県 における最北端の 島 で  、県内唯一の 活火山 島である   。","https://ja.wikipedia.org/wiki/硫黄鳥島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯27度52分27秒東経128度13分35秒","日本・沖縄県島尻郡久米島町","2.50km²","212m","東シナ海","7.3km","沖縄諸島","「方位」","","","","","","","","","","","",""
"水納島 (沖縄県多良間村)","[水納島- 2.16km2[11] 水納島 （みんなじま  、みんなしま  ）は、 宮古列島 の 島 である。 沖縄県 宮古郡 多良間村 に属し、 多良間島 の北8kmに位置する。面積は2.15 km 2  。","https://ja.wikipedia.org/wiki/水納島_(沖縄県多良間村)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度45分17秒東経124度41分42秒","日本（沖縄県宮古郡多良間村）","2.15km²","13.2m","東シナ海","7.2km","宮古列島","","","","","","","","","","","","",""
"内離島","[内離島- 2.10km2[11] 内離島 （うちばなりじま）は、 八重山列島 の 西表島 の西側に位置する 島 である。地元では ウチパナリ 、 ナーレー と呼ばれる  。","https://ja.wikipedia.org/wiki/内離島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度21分3秒東経123度44分6秒","日本（沖縄県八重山郡竹富町）","2.1km²","193.8m","東シナ海","7.5km","八重山諸島","","","","","","","","","","","","",""
"浜比嘉島","[浜比嘉島- 2.09km2[11] 浜比嘉島 （はまひがしま    、はまひがじま    ）は、 沖縄県 うるま市 に属する島で  、 沖縄諸島 の内、与勝諸島を構成する 太平洋 の有人島である  。 沖縄本島 中部の東部海岸に突出する 勝連半島 の東約3kmに位置する  。","https://ja.wikipedia.org/wiki/浜比嘉島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度19分14秒東経127度57分30秒","日本・沖縄県うるま市","2.09km²","78.7m","太平洋","6.69km","沖縄諸島","スガイ山","","","","","","","","","","","",""
"津堅島","[津堅島- 1.88km2[11] 津堅島 （つけんじま）は、 沖縄県 うるま市 に属する 島 である。","https://ja.wikipedia.org/wiki/津堅島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度15分01秒東経127度56分30秒","日本・沖縄県うるま市","1.88km²","38.8m","太平洋","7.0km","沖縄諸島","","","","","","","","","","","","",""
"上地島","[新城島（上地）- 1.76km2[11] 新城島 （あらぐすくじま）は、 沖縄県 八重山郡 竹富町 に属する 八重山諸島 の 島 。 上地島 （かみじじま  、かみぢじま   ）及び 下地島 （しもじじま  、しもぢじま   ）の2つの島の総称である。","https://ja.wikipedia.org/wiki/上地島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度14分02秒東経123度56分40秒","日本（沖縄県八重山郡竹富町）","1.76km²","13.1m","東シナ海","6.2km","八重山列島","","","","","","","","","","","","",""
