"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","コース数","標高","標高差","索道数","公式サイト","最大傾斜","最長滑走距離","コース面積","テレインパーク","開業日","運営者","造設地形","旧名","所有者","正式名称","指定管理者","ナイター営業","面積"
"グランスノー奥伊吹","[グランスノー奥伊吹（米原市）] グランスノー奥伊吹 （グランスノーおくいぶき）は、 滋賀県 米原市 甲津原奥伊吹にある関西エリア最大級の規模を誇る スキー場  。","https://ja.wikipedia.org/wiki/グランスノー奥伊吹","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","滋賀県米原市甲津原奥伊吹","12本","1,250 m - 700 m","550 m","8本","www.okuibuki.co.jp","46度","2,500 m","60 ha","キッカーテーブル、ボックス、レール","1970年","奥伊吹観光","","奥伊吹スキー場","","","","",""
"びわ湖バレイ","[びわ湖バレイ（大津市）] びわ湖バレイ （びわこバレイ）は、 滋賀県 大津市 木戸にある スキー場 。施設名と同じ「びわ湖バレイ株式会社」が運営していたが  、 2020年 7月1日 に大生総業を吸収合併し商号を「アルピナBI株式会社」に変更。現在は同社のびわ湖バレイ事業部が運営している。","https://ja.wikipedia.org/wiki/びわ湖バレイ","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度12分10.6秒東経135度54分25.4秒","滋賀県大津市木戸1547-1","9本","1,174 m - 950 m","224 m","8本","www.biwako-valley.com","30度","2,000 m","22 ha","あり","","","","","","","","",""
"国境高原スノーパーク (存在しないページ)","[国境高原スノーパーク（高島市）]","https://ja.wikipedia.org/w/index.php?title=国境高原スノーパーク&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"箱館山スキー場","[箱館山スキー場（高島市）] 箱館山スキー場 （はこだてやまスキーじょう）は、 滋賀県 高島市 今津町 日置前にある スキー場 である。 2020年 より 愛称 として びわこ箱館山 が使用されている。","https://ja.wikipedia.org/wiki/箱館山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度26分21.1秒東経135度59分13.7秒","滋賀県高島市今津町日置前","10本","690 m - 145 m","65 m","10本","www.hakodateyama.com","38度","700 m","","","1962年1月16日","株式会社箱館山","","","株式会社箱館山","","","",""
"朽木スキー場 (存在しないページ)","[朽木スキー場（高島市）]","https://ja.wikipedia.org/w/index.php?title=朽木スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"マキノスキー場 (存在しないページ)","[マキノスキー場（高島市）]","https://ja.wikipedia.org/w/index.php?title=マキノスキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"赤子山スキー場 (存在しないページ)","[赤子山スキー場（長浜市）]","https://ja.wikipedia.org/w/index.php?title=赤子山スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"余呉高原リゾート・ヤップスキー場","[余呉高原リゾート・ヤップスキー場（長浜市）] 余呉高原リゾート・ヤップスキー場 （よごこうげんリゾート・ヤップスキーじょう）は、 滋賀県 長浜市 余呉町 にある スキー場 。","https://ja.wikipedia.org/wiki/余呉高原リゾート・ヤップスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度41分53.7秒東経136度9分28.8秒","〒529-0531滋賀県長浜市余呉町中河内栃ノ木峠373番地","5本","740 m - 540 m","200 m","4本","yogo45.co.jp","33度","1,100 m","36 ha","","1989年12月31日","余呉長浜スキー振興","","","","余呉高原スキー場","","",""
"ピステジャポン伊吹スキー場 (存在しないページ)","[ピステジャポン伊吹スキー場（旧伊吹山スキー場）（2010年閉鎖） （米原市）]","https://ja.wikipedia.org/w/index.php?title=ピステジャポン伊吹スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ベルク余呉スキー場 (存在しないページ)","[ベルク余呉スキー場（2010年閉鎖）（長浜市）]","https://ja.wikipedia.org/w/index.php?title=ベルク余呉スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"比良山スキー場","[比良山スキー場⇒2004年3月31日閉鎖 （滋賀郡志賀町※現・大津市）] 比良山スキー場 （ひらさんスキーじょう）はかつて 滋賀県 大津市 （旧 滋賀郡 志賀町北比良）にあった スキー場 。","https://ja.wikipedia.org/wiki/比良山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","滋賀県大津市","5本","1,095 m - 906 m","189 m","","","32度","1,200 m","","","","","","","","","","",""
"京都広河原スキー場","[京都広河原スキー場（京都市）] 京都広河原スキー場 （きょうとひろがわらスキーじょう）は、 京都市 左京区 広河原尾花町に位置する京都市内の唯一の スキー場 である。広河原は、京都市街地から 車 で約90分ほどのところに位置し、京都市内ではあるが、豪雪地帯の 丹波高地 にある。","https://ja.wikipedia.org/wiki/京都広河原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度16分0秒東経135度44分25秒","〒601-1101京都府京都市左京区広河原尾花町286","1本","635 m - 500 m","135 m","1本","hirogawara.com","","700 m","","キッカー、レール","","","","","","","","",""
"森林公園スイス村スキー場","[森林公園スイス村スキー場（京丹後市、2019年シーズンから2020年シーズンまで休止）] 森林公園スイス村スキー場 （しんりんこうえんすいすむらスキーじょう）は、 京都府 京丹後市 弥栄町 に位置する京都府下最大の スキー場 である。ゲレンデの60パーセントが初級者向けとなっているファミリー向けのスキー場ではあるが、ボードパークの設置や、上級者・中級者向けコースの整備もおこなわれている。","https://ja.wikipedia.org/wiki/森林公園スイス村スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度41分35秒東経135度12分15秒","京都府京丹後市弥栄町野中2562","7本","683 m - 531 m","152 m","3本","http://www.swissmura-homepage.mints.ne.jp/swiss/ski.html(2019年12月のアーカイブ)","35度","1300 m","20 ha","専用パーク（ハーフパイプ、レール、ボックス）","","","","","","","","",""
"大江山スキー場 (存在しないページ)","[大江山スキー場（宮津市、2016年閉鎖）]","https://ja.wikipedia.org/w/index.php?title=大江山スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"比叡山人工スキー場","[比叡山人工スキー場（京都市、2002年閉鎖）] 比叡山人工スキー場 （ひえいざんじんこうスキーじょう）は、 京都府 京都市 左京区 修学院にかつてあった スキー場 である。 冬期は天然雪と 人工雪 （砕氷型および スノーガン ）の組み合わせでスキー場を営業し、夏期は グラススキー および、 アストロスキー （以前は プラスノースキー ）の営業をおこなっていた。","https://ja.wikipedia.org/wiki/比叡山人工スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","京都府京都市左京区修学院尺羅ケ谷四明ケ嶽付近","1本","","38 m","1本","","","200 m","","","","","","","","","","",""
"ゲンゼスキー場","[ゲンゼスキー場（夜久野町（現・福知山市）、2001年閉鎖）] ゲンゼスキー場 （ゲンゼスキーじょう）は、 京都府 福知山市 （旧 夜久野町 ）にかつてあった スキー場 である。","https://ja.wikipedia.org/wiki/ゲンゼスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","京都府福知山市夜久野町板生現世","","","","1本","","","","","","","","","","","","","",""
"花脊スキー場 (存在しないページ)","[花脊スキー場（京都市、2000年閉鎖、2002年プライベートゲレンデとして再開）]","https://ja.wikipedia.org/w/index.php?title=花脊スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"愛宕山スキー場","[愛宕山スキー場（京都市、1944年閉鎖）] 愛宕山 （あたごやま、あたごさん）は、 京都府 京都市 右京区 の北西部、 山城国 と 丹波国 の国境にある 山 である。京都市街を取り巻く山の中で、 比叡山 と並びよく目立っており、信仰の山としても知られる。","https://ja.wikipedia.org/wiki/愛宕山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度03分36秒東経135度38分03秒","日本京都府京都市右京区","","924m","","","","","","","","","","","","","","","",""
"夜久野町","[夜久野ヶ原スキー場（夜久野町（現・福知山市）、閉鎖）] 夜久野町 （やくのちょう）は、かつて 京都府 天田郡 におかれていた 町 。 2006年 1月1日 、 福知山市 に編入され、夜久野町域は「福知山市夜久野町」となった。","https://ja.wikipedia.org/wiki/夜久野町","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度19分06秒東経135度00分10秒","〒629-1396京都府天田郡夜久野町字額田1392-1","","","","","","","","","","","","","","","","","","100.99km2"
"神鍋高原スキー場","[神鍋高原スキー場（豊岡市）アップかんなべスキー場ささの尾ゲレンデ（閉鎖）奥神鍋スキー場万場スキー場アルペンローズスキー場（2001年シーズンを休業後、閉鎖）大岡山キッズパーク（2004年/2005年シーズンを休業後、閉鎖）神鍋ファミリースキー場（閉鎖）北神鍋スキー場（アップかんなべスキー場に統合後、閉鎖）蘇武口スキー場（閉鎖）名色スキー場（2009年シーズンを最後に閉鎖）山宮スキー場（閉鎖）] 神鍋高原スキー場 （かんなべこうげんスキーじょう）は、 兵庫県 豊岡市 の 神鍋高原 にある スキー場 の総称で、2019年現在、3つのスキー場がある。","https://ja.wikipedia.org/wiki/神鍋高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"アップかんなべスキー場","[アップかんなべスキー場ささの尾ゲレンデ（閉鎖）] アップかんなべスキー場 （あっぷかんなべスキーじょう）は、 日本 の スキー場 。","https://ja.wikipedia.org/wiki/アップかんなべスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奥神鍋スキー場","[奥神鍋スキー場] 奥神鍋スキー場 （おくかんなべスキーじょう）は、 兵庫県 豊岡市 の 神鍋高原 にある スキー場 である。愛称は オクカン 。","https://ja.wikipedia.org/wiki/奥神鍋スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"万場スキー場","[万場スキー場] 万場スキー場 （まんばスキーじょう）は、 兵庫県 豊岡市 の 神鍋高原 にある スキー場 である。","https://ja.wikipedia.org/wiki/万場スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大岡山キッズパーク","[大岡山キッズパーク（2004年/2005年シーズンを休業後、閉鎖）] 大岡山キッズパーク （おおおかやまキッズパーク）は、 兵庫県 豊岡市 の 神鍋高原 にあった スキー場 である。","https://ja.wikipedia.org/wiki/大岡山キッズパーク","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"名色スキー場","[名色スキー場（2009年シーズンを最後に閉鎖）] 名色スキー場 （なしきスキーじょう）は、 兵庫県 豊岡市 の 神鍋高原 にあった スキー場 である。2010年のシーズンを最後に廃業した   。","https://ja.wikipedia.org/wiki/名色スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"但馬牧場公園スキー場","[但馬牧場公園スキー場（美方郡新温泉町）] 兵庫県立 但馬牧場公園 （ひょうごけんりつ たじまぼくじょうこうえん）は 兵庫県 新温泉町 丹土にある公立 総合公園 。山間部の 標高 350mから600mに位置し、 スキー場 や テニスコート 等のスポーツ施設と 牧場 、 博物館 、 宿泊施設 を備える。 例年9月の第4日曜日に開催される 但馬牛まつり の会場となっている  。","https://ja.wikipedia.org/wiki/但馬牧場公園スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度31分4.2秒東経134度29分11.3秒","日本兵庫県新温泉町","","","","","公式ウェブサイト","","","","","","兵庫県","","","","","","","77ha （うち牧草地 25ha）"
"おじろスキー場","[おじろスキー場（美方郡香美町）] おじろスキー場 （おじろスキーじょう）は、 兵庫県 美方郡 香美町 小代区 の スキー場 である。","https://ja.wikipedia.org/wiki/おじろスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度27分6.7秒東経134度31分52.6秒","〒667-1503兵庫県美方郡香美町小代区大谷463","7本","900 m - 620 m","280 m","5本","公式サイト","35度","1200 m","32 ha","","","","","","","","","",""
"スカイバレイスキー場","[スカイバレイスキー場（美方郡香美町）] スカイバレイスキー場 は、 兵庫県 美方郡 香美町 にある スキー場 である。","https://ja.wikipedia.org/wiki/スカイバレイスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ハチ北スキー場","[ハチ北高原スキー場（美方郡香美町）] ハチ北スキー場 （ハチきたスキーじょう）は、 兵庫県 美方郡 香美町 にあるスキー場である。","https://ja.wikipedia.org/wiki/ハチ北スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","兵庫県美方郡香美町村岡区大笹","14本","1,221 m - 560 m","661 m","12（内登行リフト2ムービングベルト2）本","ハチ・ハチ北スキー場","32度","約4,000 m","35 ha","","","","","","","","","",""
"ハチ高原スキー場","[ハチ高原スキー場（養父市）] ハチ高原スキー場 （ハチこうげんスキーじょう）は、 兵庫県 養父市 にある スキー場 である。","https://ja.wikipedia.org/wiki/ハチ高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度22分59.9秒東経134度32分6.5秒","〒667-1503兵庫県養父市ハチ高原","6本","1221 m - 732 m","489 m","16本","公式サイト","32度","2500 m","100 ha","","","","","","","","","",""
"ハイパーボウル東鉢 (存在しないページ)","[ハイパーボウル東鉢（養父市）]","https://ja.wikipedia.org/w/index.php?title=ハイパーボウル東鉢&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"氷ノ山国際スキー場","[氷ノ山国際スキー場（養父市）] 養父市氷ノ山国際スキー場 （やぶしひょうのせんこくさいスキーじょう）は、 兵庫県 養父市 (旧 関宮町 )にある市営の スキー場 である  。兵庫県の最高峰でもある 氷ノ山 の北斜面に位置する。兵庫県の 国体 予選会、 高校総体 、 中学総体 のスキー会場となっている。","https://ja.wikipedia.org/wiki/氷ノ山国際スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度21分42秒東経134度31分39.9秒","兵庫県養父市奈良尾509番地","8本","1,050 m - 600 m","450 m","6本","hyounosen.jp/","35度","2,500 m","27 ha","テーブル、パイプ、レールウェーブ、ボックス","","","","","","","","",""
"若杉高原おおやスキー場 (存在しないページ)","[若杉高原おおやスキー場（養父市）]","https://ja.wikipedia.org/w/index.php?title=若杉高原おおやスキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ばんしゅう戸倉スノーパーク","[ばんしゅう戸倉スノーパーク（宍粟市）] ばんしゅう戸倉スノーパーク （ばんしゅうとくらスノーパーク）は、 兵庫県 宍粟市 波賀町 戸倉にある スキー場 である。開設時から50年以上の名称は ばんしゅう戸倉スキー場 （ばんしゅうとくらすきーじょう）で、2008年シーズンから上記の名称になったが、2020シーズンよりまた元の名称に戻した。","https://ja.wikipedia.org/wiki/ばんしゅう戸倉スノーパーク","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度17分7.5秒 東経134度32分32.3秒","","","","","","","","","","","","","","","","","","",""
"ちくさ高原スキー場 (存在しないページ)","[ちくさ高原スキー場（宍粟市）]","https://ja.wikipedia.org/w/index.php?title=ちくさ高原スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"峰山高原リゾート ホワイトピーク (存在しないページ)","[峰山高原リゾート ホワイトピーク（神崎郡神河町）]","https://ja.wikipedia.org/w/index.php?title=峰山高原リゾート_ホワイトピーク&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"六甲山スノーパーク","[六甲山スノーパーク（神戸市）] 六甲山スノーパーク （ろっこうさんスノーパーク）は、 兵庫県 神戸市 の 六甲山 上にある人工 スキー場 。 1964年 1月22日より 六甲山カンツリーハウス の施設内で営業が開始された。 阪急阪神ホールディングス 傘下の 阪神電気鉄道 子会社 の 六甲山観光 株式会社が運営している。","https://ja.wikipedia.org/wiki/六甲山スノーパーク","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯34度46分01秒 東経135度14分31秒","〒657-0101兵庫県神戸市灘区六甲山町北六甲4512-98","3本","855 m - 813 m","42 m","3本","www.rokkosan.com/ski/","20度","260 m","- ha","なし","","","","","","","","",""
"ミカタスノーパーク","[ミカタスノーパーク（美方郡香美町、休業）] ミカタスノーパーク は、かつて 兵庫県 美方郡 香美町 小代区 で営業されていた スキー場 である。","https://ja.wikipedia.org/wiki/ミカタスノーパーク","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度24分48秒 東経134度31分30秒","〒667-1532兵庫県美方郡香美町小代区新屋1024","8本","950 m - 500 m","450 m","40本","公式サイト","40度度","2000 m","32 ha","","","","","","","","","",""
"新戸倉スキー場 (存在しないページ)","[新戸倉スキー場（宍粟市、2009年シーズンから休業[1]）]","https://ja.wikipedia.org/w/index.php?title=新戸倉スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"養父市","[葛畑スキー場[2] 養父市 （やぶし）は、 兵庫県 の北部に位置する 市 である。 但馬県民局 管轄区域。中山間地農業の改革拠点として 国家戦略特区 に指定されている。","https://ja.wikipedia.org/wiki/養父市","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度24分16.6秒東経134度46分3.4秒","〒667-8651兵庫県養父市八鹿町八鹿1675番地北緯35度24分16.6秒東経134度46分3.4秒﻿ / ﻿北緯35.404611度 東経134.767611度﻿ /35.404611; 134.767611座標:北緯35度24分16.6秒東経134度46分3.4秒﻿ / ﻿北緯35.404611度 東経134.767611度﻿ /35.404611; 134.767611市庁舎位置","","","","","","","","","","","","","","","","","","422.91km2"
"スノーパーク洞川","[スノーパーク洞川（吉野郡天川村）] スノーパーク洞川 （スノーパークどろがわ）は奈良県吉野郡 天川村 に位置するスキー場。","https://ja.wikipedia.org/wiki/スノーパーク洞川","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","〒638-0431奈良県吉野郡天川村洞川678-220","2本","1,040 m - 960 m","80 m","","http://www4.kcn.ne.jp/~zaisanku/spd.htm","20度","","","","","","洞川","","","","","",""
"和佐又山スキー場 (存在しないページ)","[和佐又山スキー場（廃止）]","https://ja.wikipedia.org/w/index.php?title=和佐又山スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"明神平スキー場 (存在しないページ)","[明神平スキー場（廃止）]","https://ja.wikipedia.org/w/index.php?title=明神平スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奥大山スキー場 (存在しないページ)","[奥大山スキー場(休業)]","https://ja.wikipedia.org/w/index.php?title=奥大山スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鏡ヶ成スキー場 (存在しないページ)","[鏡ヶ成スキー場]","https://ja.wikipedia.org/w/index.php?title=鏡ヶ成スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大山スキー場","[大山スキー場（だいせんホワイトリゾート）上の原スキー場豪円山スキー場大山国際スキー場大山林間コース中の原スキー場] 大山スキー場 （だいせんスキーじょう）は 鳥取県 西伯郡 大山町 大山 にある スキー場 の総称。","https://ja.wikipedia.org/wiki/大山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上の原スキー場","[上の原スキー場] 上の原スキー場 （うえのはらスキーじょう）は、 鳥取県 西伯郡 大山町 大山 にある スキー場 で、4つある 大山スキー場 のうちの1つである。 降雪量 も多く、 気温 の低さを利用して スノーマシン による 人工雪 で天候に左右されない ゲレンデ 整備が可能。","https://ja.wikipedia.org/wiki/上の原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","〒689-3318鳥取県西伯郡大山町大山144-1","3本","1,000 m - 740 m","260 m","5本","http://www.daisen-resort.jp/","26度","900 m","- ha","キッカー、テーブル","","","","","","","","",""
"豪円山スキー場","[豪円山スキー場] 豪円山スキー場 （ごうえんざんスキーじょう）は、 鳥取県 西伯郡 大山町 大山 にある スキー場 で、4つある 大山スキー場 のうちの1つである。 降雪量 も多く、おおよそ12月下旬から3月下旬まで滑走可能。","https://ja.wikipedia.org/wiki/豪円山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度24分0秒東経133度32分0秒","〒689-3318鳥取県西伯郡大山町大山124","1本","800 m - 744 m","56 m","4本","daisen-resort.jp","15度","550 m","","","","","大山","","","","","",""
"大山国際スキー場","[大山国際スキー場] 大山国際スキー場 （だいせんこくさいスキーじょう）は、 鳥取県 西伯郡 大山町 大山 にある スキー場 で、4つある 大山スキー場 のうちの1つである。 降雪量 も多く、 気温 の低さを利用して スノーマシン による 人工雪 で天候に左右されない ゲレンデ 整備が可能。","https://ja.wikipedia.org/wiki/大山国際スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","〒689-3318鳥取県西伯郡大山町大山147","5本","1,121 m - 740 m","381 m","8本","http://www.daisen.net/ski/","32度","1,600 m","- ha","キッカー、テーブル、レールウェーブ、ボックス","","","","","","","","",""
"大山林間コース (存在しないページ)","[大山林間コース]","https://ja.wikipedia.org/w/index.php?title=大山林間コース&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中の原スキー場","[中の原スキー場] 中の原スキー場 （なかのはらスキーじょう）は、 鳥取県 西伯郡 大山町 大山 にある スキー場 で、4つある 大山スキー場 のうちの1つである。 降雪量 も多く、 気温 の低さを利用して スノーマシン による 人工雪 で天候に左右されない ゲレンデ 整備が可能。","https://ja.wikipedia.org/wiki/中の原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","〒689-3318鳥取県西伯郡大山町大山145-2","4本","1,039 m - 820 m","219 m","4本","http://www.daisen-resort.jp/","27度","900 m","","テーブル","","","","","","","","",""
"花見山スキー場 (存在しないページ)","[花見山スキー場]","https://ja.wikipedia.org/w/index.php?title=花見山スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"桝水高原スキー場","[桝水高原スキー場] 大山ますみず高原スノーパーク （だいせんますみずこうげんスノーパーク）は、 鳥取県 の 西伯郡 伯耆町 にある スキー場 である。","https://ja.wikipedia.org/wiki/桝水高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度22分10秒東経133度31分0秒","鳥取県西伯郡伯耆町大内字桝水高原1067-2","3本","900 m - 740 m","160 m","2本","www.masumizu.net/ski/","30度","700 m","","キッカー・BOX2基・台形レール・レール4本・ウォールなど","","","大山西麓","桝水高原スキー場","","","","",""
"わかさ氷ノ山スキー場","[わかさ氷ノ山スキー場] わかさ 氷ノ山スキー場 （わかさひょうのせんスキーじょう）は、 鳥取県 八頭郡 若桜町 にある スキー場 。 樹氷 が観られることから「西の 蔵王 」とも呼ばれる。","https://ja.wikipedia.org/wiki/わかさ氷ノ山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"安蔵公園スキー場 (存在しないページ)","[安蔵公園スキー場]","https://ja.wikipedia.org/w/index.php?title=安蔵公園スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"琴引フォレストパーク (存在しないページ)","[琴引フォレストパーク]","https://ja.wikipedia.org/w/index.php?title=琴引フォレストパーク&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三井野原","[三井野原スキー場] 三井野原 （みいのはら  ）は、 島根県 奥出雲町 にある 高原 。","https://ja.wikipedia.org/wiki/三井野原","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度5分36.7秒東経133度7分6.1秒","","","728メートル (2,388 ft)（分水嶺）","","","","","","","","","","","","","","","","3km2"
"いぶきの里スキー場 (存在しないページ)","[いぶきの里スキー場]","https://ja.wikipedia.org/w/index.php?title=いぶきの里スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大茅スキー場 (存在しないページ)","[大茅スキー場]","https://ja.wikipedia.org/w/index.php?title=大茅スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
