"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","種類","管理者","漁港番号","開港","公式サイト","漁業協同組合"," • 合計","統計年度","都道府県","等時帯","郵便番号","市外局番","ナンバープレート","市町村","総陸揚量","陸揚金額","標高"
"堅来漁港 (存在しないページ)","[堅来漁港（かたく - ）国東市]","https://ja.wikipedia.org/w/index.php?title=堅来漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北江漁港 (存在しないページ)","[北江漁港（きたえ - ）国東市]","https://ja.wikipedia.org/w/index.php?title=北江漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平床漁港 (存在しないページ)","[平床漁港（ひらとこ - ）国東市]","https://ja.wikipedia.org/w/index.php?title=平床漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"来浦漁港 (存在しないページ)","[来浦漁港（くのうら - ）国東市]","https://ja.wikipedia.org/w/index.php?title=来浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奈多漁港 (存在しないページ)","[奈多漁港（なた - ）杵築市]","https://ja.wikipedia.org/w/index.php?title=奈多漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八代漁港 (存在しないページ)","[八代漁港（やしろ - ）杵築市、速見郡日出町]","https://ja.wikipedia.org/w/index.php?title=八代漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"真那井漁港 (存在しないページ)","[真那井漁港（まない - ）速見郡日出町]","https://ja.wikipedia.org/w/index.php?title=真那井漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"瀬ノ上漁港 (存在しないページ)","[瀬ノ上漁港（せのうえ - ）速見郡日出町]","https://ja.wikipedia.org/w/index.php?title=瀬ノ上漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小深江漁港 (存在しないページ)","[小深江漁港（こぶかえ - ）速見郡日出町]","https://ja.wikipedia.org/w/index.php?title=小深江漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"豊岡漁港 (存在しないページ)","[豊岡漁港（とよおか - ）速見郡日出町]","https://ja.wikipedia.org/w/index.php?title=豊岡漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神崎漁港","[神崎漁港（こうざき - ）大分市] 神崎漁港 （かんざきぎょこう）は、以下の漁港のことである。","https://ja.wikipedia.org/wiki/神崎漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大平漁港 (存在しないページ)","[大平漁港（おおひら - ）大分市]","https://ja.wikipedia.org/w/index.php?title=大平漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"志生木漁港 (存在しないページ)","[志生木漁港（しゅうき - ）大分市]","https://ja.wikipedia.org/w/index.php?title=志生木漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"福水漁港 (存在しないページ)","[福水漁港（ふくみず - ）大分市]","https://ja.wikipedia.org/w/index.php?title=福水漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小黒漁港 (存在しないページ)","[小黒漁港（こぐろ - ）大分市]","https://ja.wikipedia.org/w/index.php?title=小黒漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白木漁港 (存在しないページ)","[白木漁港（しらき - ）大分市]","https://ja.wikipedia.org/w/index.php?title=白木漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"玉井漁港 (存在しないページ)","[玉井漁港（たまい - ）大分市]","https://ja.wikipedia.org/w/index.php?title=玉井漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"室生漁港 (存在しないページ)","[室生漁港（むろう - ）大分市]","https://ja.wikipedia.org/w/index.php?title=室生漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"田ノ浦漁港 (存在しないページ)","[田ノ浦漁港（たのうら - ）大分市]","https://ja.wikipedia.org/w/index.php?title=田ノ浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上浦漁港 (存在しないページ)","[上浦漁港（うわうら - ）大分市]","https://ja.wikipedia.org/w/index.php?title=上浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"下浦漁港 (存在しないページ)","[下浦漁港（したうら - ）大分市]","https://ja.wikipedia.org/w/index.php?title=下浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中津浦漁港 (存在しないページ)","[中津浦漁港（なかつうら - ）臼杵市]","https://ja.wikipedia.org/w/index.php?title=中津浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"津久見島漁港 (存在しないページ)","[津久見島漁港（つくみじま - ）臼杵市]","https://ja.wikipedia.org/w/index.php?title=津久見島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上浦漁港 (存在しないページ)","[上浦(臼杵)漁港（うわうら（うすき） - ）臼杵市]","https://ja.wikipedia.org/w/index.php?title=上浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳴川漁港 (存在しないページ)","[鳴川漁港（なるかわ - ）臼杵市]","https://ja.wikipedia.org/w/index.php?title=鳴川漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"坪江漁港 (存在しないページ)","[坪江漁港（つぼえ - ）臼杵市]","https://ja.wikipedia.org/w/index.php?title=坪江漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"深江漁港 (存在しないページ)","[深江漁港（ふかえ - ）臼杵市]","https://ja.wikipedia.org/w/index.php?title=深江漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東深江漁港 (存在しないページ)","[東深江漁港（ひがしふかえ - ）臼杵市]","https://ja.wikipedia.org/w/index.php?title=東深江漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"清水漁港 (存在しないページ)","[清水漁港（しみず - ）臼杵市]","https://ja.wikipedia.org/w/index.php?title=清水漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"泊ヶ内漁港 (存在しないページ)","[泊ヶ内漁港（とまりがうち - ）臼杵市]","https://ja.wikipedia.org/w/index.php?title=泊ヶ内漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"楠屋漁港 (存在しないページ)","[楠屋漁港（くすや - ）津久見市]","https://ja.wikipedia.org/w/index.php?title=楠屋漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長目漁港 (存在しないページ)","[長目漁港（ながめ - ）津久見市]","https://ja.wikipedia.org/w/index.php?title=長目漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日代漁港 (存在しないページ)","[日代漁港（ひじろ - ）津久見市]","https://ja.wikipedia.org/w/index.php?title=日代漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"赤江漁港 (存在しないページ)","[赤江漁港（あかえ - ）津久見市]","https://ja.wikipedia.org/w/index.php?title=赤江漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"仙水漁港 (存在しないページ)","[仙水漁港（せんすい - ）津久見市]","https://ja.wikipedia.org/w/index.php?title=仙水漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大元漁港 (存在しないページ)","[大元漁港（おおもと - ）津久見市]","https://ja.wikipedia.org/w/index.php?title=大元漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"無垢島漁港 (存在しないページ)","[無垢島漁港（むくしま - ）津久見市（無垢島）]","https://ja.wikipedia.org/w/index.php?title=無垢島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高浜漁港 (存在しないページ)","[高浜漁港（たかはま - ）津久見市]","https://ja.wikipedia.org/w/index.php?title=高浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大浜漁港 (存在しないページ)","[大浜漁港（おおはま - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=大浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蒲戸漁港 (存在しないページ)","[蒲戸漁港（かまど - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=蒲戸漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"福泊漁港 (存在しないページ)","[福泊漁港（ふくどまり - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=福泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長田漁港 (存在しないページ)","[長田漁港（ながた - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=長田漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浅海井漁港 (存在しないページ)","[浅海井漁港（あざむい - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=浅海井漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浪太漁港 (存在しないページ)","[浪太漁港（なぶと - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=浪太漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大入島漁港 (存在しないページ)","[大入島漁港（おおにゅうじま - ）佐伯市（大入島）]","https://ja.wikipedia.org/w/index.php?title=大入島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"二栄漁港 (存在しないページ)","[二栄漁港（ふたばえ - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=二栄漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高松漁港 (存在しないページ)","[高松漁港（たかまつ - ）佐伯市（大入島）]","https://ja.wikipedia.org/w/index.php?title=高松漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日向泊漁港 (存在しないページ)","[日向泊漁港（ひゅうがどまり - ）佐伯市（大入島）]","https://ja.wikipedia.org/w/index.php?title=日向泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"塩ケ谷漁港 (存在しないページ)","[塩ケ谷漁港（しおがたに - ）佐伯市（大入島）]","https://ja.wikipedia.org/w/index.php?title=塩ケ谷漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"片神漁港 (存在しないページ)","[片神漁港（かたがみ - ）佐伯市（大入島）]","https://ja.wikipedia.org/w/index.php?title=片神漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"護江漁港 (存在しないページ)","[護江漁港（もりえ - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=護江漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"霞ケ浦漁港 (存在しないページ)","[霞ケ浦漁港（かすみがうら - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=霞ケ浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吹浦漁港 (大分県) (存在しないページ)","[吹浦漁港（ふきうら - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=吹浦漁港_(大分県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"二又漁港 (存在しないページ)","[二又漁港（ふたまた - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=二又漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"有明漁港 (存在しないページ)","[有明漁港（ありあけ - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=有明漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"羽出漁港 (存在しないページ)","[羽出漁港（はいで - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=羽出漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中越漁港 (存在しないページ)","[中越漁港（なかごし - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=中越漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"島江漁港 (存在しないページ)","[島江漁港（しまえ - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=島江漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"猿戸漁港 (存在しないページ)","[猿戸漁港（さるど - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=猿戸漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"丹賀漁港 (存在しないページ)","[丹賀漁港（たんが - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=丹賀漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"梶寄漁港 (存在しないページ)","[梶寄漁港（かじよせ - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=梶寄漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"間越漁港 (存在しないページ)","[間越漁港（はざこ - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=間越漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小浦漁港 (存在しないページ)","[小浦漁港（こうら - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=小浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"尾浦漁港 (存在しないページ)","[尾浦漁港（おうら - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=尾浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"元猿漁港 (存在しないページ)","[元猿漁港（もとさる - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=元猿漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"屋形島漁港 (存在しないページ)","[屋形島漁港（やかたじま - ）佐伯市（屋形島）]","https://ja.wikipedia.org/w/index.php?title=屋形島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"深島漁港 (存在しないページ)","[深島漁港（ふかしま - ）佐伯市（深島）]","https://ja.wikipedia.org/w/index.php?title=深島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"葛原漁港 (存在しないページ)","[葛原漁港（かずらはら - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=葛原漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"波当津漁港 (存在しないページ)","[波当津漁港（はとうづ - ）佐伯市]","https://ja.wikipedia.org/w/index.php?title=波当津漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"佐賀関漁港 (存在しないページ)","[佐賀関漁港（さがのせき - ）大分市]","https://ja.wikipedia.org/w/index.php?title=佐賀関漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"保戸島漁港 (存在しないページ)","[保戸島漁港（ほとじま - ）津久見市（保戸島）]","https://ja.wikipedia.org/w/index.php?title=保戸島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"島野浦漁港 (存在しないページ)","[島野浦漁港（しまのうら - ）延岡市（島野浦島）]","https://ja.wikipedia.org/w/index.php?title=島野浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"土々呂漁港 (存在しないページ)","[土々呂漁港（ととろ - ）延岡市]","https://ja.wikipedia.org/w/index.php?title=土々呂漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"門川漁港 (存在しないページ)","[門川漁港（かどがわ - ）東臼杵郡門川町]","https://ja.wikipedia.org/w/index.php?title=門川漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"油津港","[油津漁港（あぶらつ - ）日南市] 油津港 （あぶらつこう）は、 宮崎県 日南市 にある 太平洋 に面した 港湾 。古くは 油之津 （あぶらのつ）とも呼ばれていた。 重要港湾 に指定されている。南東に開けた 入り江 であり東側に大節鼻（尾伏ノ鼻）と呼ばれる岬が伸び、南方海上に小場島と大島（日向大島）が並ぶ。","https://ja.wikipedia.org/wiki/油津港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"目井津漁港 (存在しないページ)","[目井津漁港（めいつ - ）日南市]","https://ja.wikipedia.org/w/index.php?title=目井津漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"南浦漁港 (宮崎県) (存在しないページ)","[南浦漁港（みなみうら - ）延岡市]","https://ja.wikipedia.org/w/index.php?title=南浦漁港_(宮崎県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"川南漁港 (存在しないページ)","[川南漁港（かわみなみ - ）児湯郡川南町]","https://ja.wikipedia.org/w/index.php?title=川南漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"青島漁港 (存在しないページ)","[青島漁港（あおしま - ）宮崎市]","https://ja.wikipedia.org/w/index.php?title=青島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大堂津漁港 (存在しないページ)","[大堂津漁港（おおどうつ - ）日南市]","https://ja.wikipedia.org/w/index.php?title=大堂津漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"都井漁港 (存在しないページ)","[都井漁港（とい - ）串間市]","https://ja.wikipedia.org/w/index.php?title=都井漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"都農漁港 (存在しないページ)","[都農漁港（つの - ）児湯郡都農町]","https://ja.wikipedia.org/w/index.php?title=都農漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"富田漁港 (存在しないページ)","[富田漁港（とんだ - ）児湯郡新富町、宮崎市]","https://ja.wikipedia.org/w/index.php?title=富田漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"野島漁港 (存在しないページ)","[野島漁港（のしま - ）宮崎市]","https://ja.wikipedia.org/w/index.php?title=野島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鶯巣漁港 (存在しないページ)","[鶯巣漁港（おおさ - ）日南市]","https://ja.wikipedia.org/w/index.php?title=鶯巣漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"富土漁港 (存在しないページ)","[富土漁港（ふと - ）日南市]","https://ja.wikipedia.org/w/index.php?title=富土漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宮浦漁港 (存在しないページ)","[宮浦(鵜戸)漁港（みやうら（うど） - ）日南市]","https://ja.wikipedia.org/w/index.php?title=宮浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鵜戸漁港 (存在しないページ)","[鵜戸漁港（うど - ）日南市]","https://ja.wikipedia.org/w/index.php?title=鵜戸漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
