"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","面積","地方","総人口","都道府県","外部リンク","法人番号","人口密度","市町村コード","隣接自治体","市長","市の花","市の木","郡","町長","町の木","町の花","市の鳥"
"徳島市","[徳島（文化） -阿波踊り、眉山、徳島城、阿波十郎兵衛屋敷などの人形浄瑠璃関係、文化の森総合公園など。] 徳島市 （とくしまし）は、 徳島県 の東部に位置する 市 。徳島県の 県庁所在地 である。","https://ja.wikipedia.org/wiki/徳島市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度4分13秒東経134度33分17.8秒","日本","〒770-8571徳島県徳島市幸町2丁目5番地北緯34度4分13秒東経134度33分17.8秒﻿ / ﻿北緯34.07028度 東経134.554944度﻿ /34.07028; 134.554944﻿ (徳島市)座標:北緯34度4分13秒東経134度33分17.8秒﻿ / ﻿北緯34.07028度 東経134.554944度﻿ /34.07028; 134.554944﻿ (徳島市)市庁舎位置","191.39km2","四国地方中国・四国地方","254,510人（推計人口、2020年9月1日）","徳島県","公式ウェブサイト","6000020362018","1,330人/km2","36201-8","小松島市、勝浦郡勝浦町、板野郡松茂町、北島町、藍住町、名西郡石井町、神山町、名東郡佐那河内村","内藤佐和子","サクラ","ホルトノキ","","","","",""
"鳴門市","[鳴門（保養地） -鳴門海峡の渦潮、大鳴門橋、大塚国際美術館、鳴門市ドイツ館など。] 鳴門市 （なるとし）は、 四国 の東端、 徳島県 の北東端に位置し、 鳴門海峡 の西側に位置する 市 。","https://ja.wikipedia.org/wiki/鳴門市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度10分21.3秒東経134度36分31.6秒","日本","〒772-8501徳島県鳴門市撫養町南浜字東浜170番地北緯34度10分21.3秒東経134度36分31.6秒﻿ / ﻿北緯34.172583度 東経134.608778度﻿ /34.172583; 134.608778座標:北緯34度10分21.3秒東経134度36分31.6秒﻿ / ﻿北緯34.172583度 東経134.608778度﻿ /34.172583; 134.608778","135.66km2","四国地方中国・四国地方","55,264人（推計人口、2020年9月1日）","徳島県","公式ウェブサイト","6000020362026","407人/km2","36202-6","板野郡松茂町、北島町、藍住町、板野町香川県東かがわ市兵庫県南あわじ市（鳴門海峡を挟んで）","泉理彦","ハマボウ","モチ","","","","",""
"美馬市","[脇町（町並・自然） - 重伝建「脇町南町」のうだつの町並み、穴吹川。] 美馬市 （みまし）は、 徳島県 の北西地域に属し、北部の中央に位置する 市 。","https://ja.wikipedia.org/wiki/美馬市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度3分11.9秒東経134度10分11.3秒","日本","〒777-8577徳島県美馬市穴吹町穴吹字九反地5番地北緯34度3分11.9秒東経134度10分11.3秒﻿ / ﻿北緯34.053306度 東経134.169806度﻿ /34.053306; 134.169806座標:北緯34度3分11.9秒東経134度10分11.3秒﻿ / ﻿北緯34.053306度 東経134.169806度﻿ /34.053306; 134.169806","367.14km2","四国地方中国・四国地方","28,087人（推計人口、2020年9月1日）","徳島県","公式ウェブサイト","4000020362077","76.5人/km2","36207-7","三好市、阿波市、吉野川市、美馬郡つるぎ町、名西郡神山町、那賀郡那賀町香川県：高松市、さぬき市、仲多度郡まんのう町、木田郡三木町","藤田元治","百日紅","シダレヤナギ","","","","","アカゲラ"
"三好市","[阿波池田（自然遺産・歴史遺産・保養地） -大歩危・小歩危、祖谷渓、かずら橋、新祖谷温泉など。] 三好市 （みよしし）は、 徳島県 西部に位置する 市 。四国4県の 市町村 の中では最も 面積 が大きい。","https://ja.wikipedia.org/wiki/三好市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度1分33.7秒東経133度48分25.8秒","日本","〒778-8501徳島県三好市池田町シンマチ1500-2北緯34度1分33.7秒東経133度48分25.8秒﻿ / ﻿北緯34.026028度 東経133.807167度﻿ /34.026028; 133.807167座標:北緯34度1分33.7秒東経133度48分25.8秒﻿ / ﻿北緯34.026028度 東経133.807167度﻿ /34.026028; 133.807167","721.42km2","四国地方中国・四国地方","23,500人（推計人口、2020年9月1日）","徳島県","公式ウェブサイト","4000020362085","32.6人/km2","36208-5","美馬市、美馬郡つるぎ町、三好郡東みよし町、那賀郡那賀町香川県：観音寺市、三豊市、仲多度郡まんのう町愛媛県：四国中央市高知県：香美市、長岡郡大豊町","黒川征一","さぎそう","もみじ","","","","",""
"東かがわ市","[三本松（自然、歴史遺産、文化） -絹島・丸亀島・鹿浦越の自然、引田の街並み、白鳥神社、與田寺、とらまる公園など。] 東かがわ市 （ひがしかがわし）は、 香川県 の東端にある 市 。","https://ja.wikipedia.org/wiki/東かがわ市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度14分37.8秒東経134度21分32秒","日本","〒769-2792香川県東かがわ市湊1847番地1北緯34度14分37.8秒東経134度21分32秒﻿ / ﻿北緯34.243833度 東経134.35889度﻿ /34.243833; 134.35889座標:北緯34度14分37.8秒東経134度21分32秒﻿ / ﻿北緯34.243833度 東経134.35889度﻿ /34.243833; 134.35889","152.83km2","四国地方中国・四国地方","27,879人（推計人口、2021年6月1日）","香川県","公式ウェブサイト","8000020372072","182人/km2","37207-2","さぬき市徳島県：鳴門市、阿波市、板野郡板野町、上板町","上村一郎","","","","","","",""
"小豆島","[小豆島（小豆島町・土庄町）（自然・文化） -寒霞渓、銚子渓、二十四の瞳映画村、小豆島オリーブ公園、エンジェルロード、醤の郷など。] 小豆島 （しょうどしま）は、 瀬戸内海 ・ 播磨灘 にある 島 。行政区分は 香川県 小豆郡 に属し  、 小豆島町 、 土庄町 の2町からなり、人口は2万8,764人（2016年度推計）。近年、人口が減少の一途をたどっており、2013年6月24日に隣接する 沖之島 とあわせて、 国土交通省 より「 離島振興法 」の指定を受けた。離島振興法の活用で、今後10年間の人口減少率を10%以内に抑えることを目指す  。","https://ja.wikipedia.org/wiki/小豆島","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度30分49秒東経134度17分8秒","","日本（香川県小豆郡）","153.30km²","","","","","","","","","","","","","","","",""
"直島町","[直島町（保養地・自然・文化） -ベネッセアートサイト直島（ベネッセハウス）、地中美術館、喜兵衛島製塩遺跡など。] 直島町 （なおしまちょう）は、 香川県 香川郡 に属する 町 。 瀬戸内海 上に浮かぶ 直島 を中心とした 直島諸島 の島々で構成される。","https://ja.wikipedia.org/wiki/直島町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度26分9秒 東経134度0分25秒","日本","〒761-3110香川県香川郡直島町字鎧山1122番地1町役場位置","14.22km2（境界未定部分あり）","四国地方中国・四国地方","3,088人（推計人口、2021年6月1日）","香川県","公式ウェブサイト","9000020373648","217人/km2","37364-8","岡山県：玉野市（海を挟んで隣接）香川県：高松市、小豆郡土庄町","","","","香川郡","小林眞一","黒松","ヤマツツジ",""
"高松市","[高松（歴史遺産） -栗林公園、高松城、高松港、屋島、四国村など。] 高松市 （たかまつし）は、 香川県 の中部に位置する 市 。香川県の 県庁所在地 であり、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/高松市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度20分34.1秒東経134度2分47.8秒","日本","〒760-8571香川県高松市番町一丁目8番15号北緯34度20分34.1秒東経134度2分47.8秒﻿ / ﻿北緯34.342806度 東経134.046611度﻿ /34.342806; 134.046611﻿ (高松市)座標:北緯34度20分34.1秒東経134度2分47.8秒﻿ / ﻿北緯34.342806度 東経134.046611度﻿ /34.342806; 134.046611﻿ (高松市)市庁舎位置","375.41km2","四国地方中国・四国地方","416,601人（推計人口、2021年6月1日）","香川県","公式ウェブサイト","1000020372013","1,110人/km2","37201-3","坂出市、さぬき市、木田郡三木町、綾歌郡綾川町、仲多度郡まんのう町徳島県美馬市岡山県玉野市（海をはさんで隣接）香川郡直島町、小豆郡土庄町、小豆島町","大西秀人","ツツジ","黒松","","","","",""
"丸亀市","[丸亀（歴史遺産、文化） - 重伝建「笠島」、塩飽勤番所、中津万象園、丸亀城（国史跡）、ニューレオマワールド、讃岐うどん。] 丸亀市 （まるがめし）は、 香川県 中西部に位置する 市 。 香川県では 高松市 に次ぐ第二の都市であり、 中 ・ 西讃 地方の中心都市である。","https://ja.wikipedia.org/wiki/丸亀市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度17分21.9秒東経133度47分51.4秒","日本","〒763-8501香川県丸亀市大手町二丁目3番1号北緯34度17分21.9秒東経133度47分51.4秒﻿ / ﻿北緯34.289417度 東経133.797611度﻿ /34.289417; 133.797611座標:北緯34度17分21.9秒東経133度47分51.4秒﻿ / ﻿北緯34.289417度 東経133.797611度﻿ /34.289417; 133.797611","111.79km2","四国地方中国・四国地方","109,470人（推計人口、2021年6月1日）","香川県","公式ウェブサイト","1000020372021","979人/km2","37202-1","坂出市、善通寺市、綾歌郡宇多津町、綾川町、仲多度郡多度津町、まんのう町（海上により隣接）岡山県：倉敷市、笠岡市","松永恭二","サツキ","ヤマモモ","","","","",""
"琴平町","[琴平（保養地・歴史遺産） - 温泉地、金刀比羅宮、旧金毘羅大芝居。] 琴平町 （ことひらちょう）は、 香川県 仲多度郡 に属する 町 。","https://ja.wikipedia.org/wiki/琴平町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度11分29.1秒東経133度49分23.9秒","日本","〒766-8502香川県仲多度郡琴平町大字榎井817番地10北緯34度11分29.1秒東経133度49分23.9秒﻿ / ﻿北緯34.191417度 東経133.823306度﻿ /34.191417; 133.823306座標:北緯34度11分29.1秒東経133度49分23.9秒﻿ / ﻿北緯34.191417度 東経133.823306度﻿ /34.191417; 133.823306町役場位置","8.47km2","四国地方中国・四国地方","8,341人（推計人口、2021年6月1日）","香川県","公式ウェブサイト","3000020374032","985人/km2","37403-2","善通寺市、三豊市、仲多度郡まんのう町","","","","仲多度郡","片岡英樹","サクラ、美女桜","オガタマの木",""
"松山市","[松山（保養・文化・歴史遺産） -道後温泉、夏目漱石・正岡子規など文学関係、松山城（国史跡）など。国際観光文化都市。] 松山市 （まつやまし）は、 愛媛県 の中部に位置する 市 。愛媛県の 県庁所在地 であり、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/松山市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度50分21秒東経132度45分56.3秒","日本","〒790-8571愛媛県松山市二番町四丁目7番地2北緯33度50分21秒東経132度45分56.3秒﻿ / ﻿北緯33.83917度 東経132.765639度﻿ /33.83917; 132.765639座標:北緯33度50分21秒東経132度45分56.3秒﻿ / ﻿北緯33.83917度 東経132.765639度﻿ /33.83917; 132.765639市庁舎位置","429.40km2","四国地方中国・四国地方","510,570人（推計人口、2021年6月1日）","愛媛県","公式ウェブサイト","3000020382019","1,189人/km2","38201-9","東温市、今治市、伊予郡松前町、砥部町、上浮穴郡久万高原町（海上により隣接）山口県大島郡周防大島町広島県呉市","野志克仁","ヤブツバキ","","","","","",""
"今治市","[今治（保養・歴史遺産） -大山祇神社、湯ノ浦温泉、今治城など。] 今治市 （いまばりし）は、 愛媛県 北東部に位置する 市 。今治市と 尾道市 を結ぶ しまなみ海道 があり、 大島 、 伯方島 、 大三島 などの島々を結んでいる。人口は約15万人。","https://ja.wikipedia.org/wiki/今治市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度3分58.2秒東経132度59分52秒","日本","〒794-8511愛媛県今治市別宮町一丁目4番地1北緯34度3分58.2秒東経132度59分52秒﻿ / ﻿北緯34.066167度 東経132.99778度﻿ /34.066167; 132.99778座標:北緯34度3分58.2秒東経132度59分52秒﻿ / ﻿北緯34.066167度 東経132.99778度﻿ /34.066167; 132.99778","419.14km2","四国地方中国・四国地方","149,996人（推計人口、2021年6月1日）","愛媛県","公式ウェブサイト","3000020382027","358人/km2","38202-7","松山市、東温市、西条市、越智郡上島町広島県：呉市、尾道市、竹原市、三原市、豊田郡大崎上島町","徳永繁樹","ツツジ","クスノキ","","","","",""
"新居浜市","[新居浜（文化・歴史遺産） -別子銅山記念館、広瀬歴史記念館、マイントピア別子、新居浜マリーナ（マリンパーク新居浜）、新居浜太鼓祭りなど。] 新居浜市 （にいはまし）は、 瀬戸内海 に面した 四国 の中北部、 愛媛県 の 東予地方 に位置する 市 。","https://ja.wikipedia.org/wiki/新居浜市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度57分37.2秒東経133度17分0.2秒","日本","〒792-8585愛媛県新居浜市一宮町一丁目5番1号北緯33度57分37.2秒東経133度17分0.2秒﻿ / ﻿北緯33.960333度 東経133.283389度﻿ /33.960333; 133.283389座標:北緯33度57分37.2秒東経133度17分0.2秒﻿ / ﻿北緯33.960333度 東経133.283389度﻿ /33.960333; 133.283389","234.50km2","四国地方中国・四国地方","115,190人（推計人口、2021年6月1日）","愛媛県","公式ウェブサイト","3000020382051","491人/km2","38205-1","西条市、四国中央市高知県：吾川郡いの町、土佐郡大川村","石川勝行","ツツジ","クスノキ","","","","",""
"西条市","[伊予西条・久万高原（自然） -石鎚山・面河渓] 西条市 （さいじょうし）は、 愛媛県 東予地方 、西日本最高峰 石鎚山 の麓に位置する 市 。 瀬戸内海 燧灘 に面する。","https://ja.wikipedia.org/wiki/西条市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度55分10.4秒東経133度10分52.2秒","日本","〒793-8601愛媛県西条市明屋敷164番地北緯33度55分10.4秒東経133度10分52.2秒﻿ / ﻿北緯33.919556度 東経133.181167度﻿ /33.919556; 133.181167﻿ (西条市)座標:北緯33度55分10.4秒東経133度10分52.2秒﻿ / ﻿北緯33.919556度 東経133.181167度﻿ /33.919556; 133.181167﻿ (西条市)","509.98km2","四国地方中国・四国地方","104,022人（推計人口、2021年6月1日）","愛媛県","公式ウェブサイト","2000020382060","204人/km2","38206-0","新居浜市、東温市、今治市、上浮穴郡久万高原町高知県吾川郡いの町","玉井敏久","","","","","","",""
"内子町","[内子（町並・歴史遺産） - 内子座、護国の町並みなど。] 内子町 （うちこちょう）は、 愛媛県 の 南予地方 に位置する 町 。 ハゼ の流通で財をなした商家が建ち並ぶ 町並み保存 を手かがりに、「白壁と木蝋のまちづくり」を進めてきた。今日では、「町並みから村並みへ、エコロジータウンうちこ」をキャッチフレーズとし、農村景観保全や農産物の直売、農村 民泊 、 グリーンツーリズム などの、 交流人口 の受け入れ、第一次産業の活性化などの取組みで全国的にも知られている。","https://ja.wikipedia.org/wiki/内子町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度31分58.9秒東経132度39分29.8秒","日本","〒795-0392愛媛県喜多郡内子町平岡甲168番地北緯33度31分58.9秒東経132度39分29.8秒﻿ / ﻿北緯33.533028度 東経132.658278度﻿ /33.533028; 132.658278座標:北緯33度31分58.9秒東経132度39分29.8秒﻿ / ﻿北緯33.533028度 東経132.658278度﻿ /33.533028; 132.658278","299.43km2","四国地方中国・四国地方","15,115人（推計人口、2021年6月1日）","愛媛県","公式ウェブサイト","9000020384224","50.5人/km2","38422-4","大洲市、西予市、伊予市、上浮穴郡久万高原町、伊予郡砥部町","","","","喜多郡","稲本隆寿","","",""
"大洲市","[大洲（町並・歴史遺産） - おはなはん通り、大洲城、鵜飼など。] 大洲市 （おおずし）は、 愛媛県 の 南予地方 に位置する 市 。「伊予の 小京都 」と呼ばれる。肱川の流域にある 大洲城 を中心に発展した旧 城下町 である。","https://ja.wikipedia.org/wiki/大洲市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度30分22.6秒東経132度32分40.3秒","日本","〒795-8601愛媛県大洲市大洲690-1北緯33度30分22.6秒東経132度32分40.3秒﻿ / ﻿北緯33.506278度 東経132.544528度﻿ /33.506278; 132.544528座標:北緯33度30分22.6秒東経132度32分40.3秒﻿ / ﻿北緯33.506278度 東経132.544528度﻿ /33.506278; 132.544528","432.22km2","四国地方中国・四国地方","39,988人（推計人口、2021年6月1日）","愛媛県","公式ウェブサイト","1000020382078","92.5人/km2","38207-8","八幡浜市、西予市、伊予市、喜多郡内子町山口県:周防大島町","二宮隆久","","","","","","",""
"宇和島市","[宇和島（文化・歴史遺産・自然） - 宇和島闘牛、宇和島城（国史跡）、天赦園、リアス式海岸の多島海景観、滑床渓谷など。] 宇和島市 （うわじまし）は、 愛媛県 の南部（ 南予地方 ）に位置する 都市 。南予地方の中心都市で、 宇和島城 を中心に発展した 闘牛 で有名な旧 城下町 でもある。","https://ja.wikipedia.org/wiki/宇和島市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度13分23.9秒東経132度33分38秒","日本","〒798-8601愛媛県宇和島市曙町1番地北緯33度13分23.9秒東経132度33分38秒﻿ / ﻿北緯33.223306度 東経132.56056度﻿ /33.223306; 132.56056座標:北緯33度13分23.9秒東経132度33分38秒﻿ / ﻿北緯33.223306度 東経132.56056度﻿ /33.223306; 132.56056","468.19km2","四国地方中国・四国地方","69,566人（推計人口、2021年6月1日）","愛媛県","公式ウェブサイト","3000020382035","149人/km2","38203-5","西予市、南宇和郡愛南町、北宇和郡鬼北町、松野町高知県：四万十市、宿毛市","岡原文彰","","","","","","",""
"高知市","[高知（文化・歴史遺産・祭礼・自然） -高知城（国史跡）、土佐神社、竹林寺等の古社寺、五台山、桂浜、よさこい祭り、日曜市など。] 高知市 （こうちし）は、 高知県 の中部に位置する 市 。高知県の 県庁所在地 で、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/高知市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度33分31.8秒東経133度31分52.4秒","日本","〒780-8571高知県高知市本町五丁目1番45号北緯33度33分31.8秒東経133度31分52.4秒﻿ / ﻿北緯33.558833度 東経133.531222度﻿ /33.558833; 133.531222﻿ (高知市)座標:北緯33度33分31.8秒東経133度31分52.4秒﻿ / ﻿北緯33.558833度 東経133.531222度﻿ /33.558833; 133.531222﻿ (高知市)市庁舎位置","309.00km2","四国地方中国・四国地方","324,653人（推計人口、2021年6月1日）","高知県","公式ウェブサイト（日本語）","7000020392014","1,051人/km2","39201-4","南国市、土佐市、土佐郡土佐町、吾川郡いの町","岡﨑誠也","トサミズキ","センダン","","","","","セグロセキレイ"
"四万十市","[中村（町並・自然） - 「土佐の小京都」中村、四万十川。] 四万十市 （しまんとし）は、 高知県 南西部に位置する 市 。","https://ja.wikipedia.org/wiki/四万十市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯32度59分28.6秒東経132度56分1.3秒","日本","〒787-8501高知県四万十市中村大橋通四丁目10番地北緯32度59分28.6秒東経132度56分1.3秒﻿ / ﻿北緯32.991278度 東経132.933694度﻿ /32.991278; 132.933694座標:北緯32度59分28.6秒東経132度56分1.3秒﻿ / ﻿北緯32.991278度 東経132.933694度﻿ /32.991278; 132.933694","632.29km2","四国地方中国・四国地方","32,338人（推計人口、2021年6月1日）","高知県","公式ウェブサイト","9000020392103","51.1人/km2","39210-3","宿毛市、土佐清水市、高岡郡四万十町、幡多郡三原村、黒潮町愛媛県：宇和島市、北宇和郡松野町","中平正宏","藤","柳","","","","",""
"土佐清水市","[土佐清水（自然） -足摺岬、竜串など。] 土佐清水市 （とさしみずし）は、 高知県 南西部に位置する 市 である。地元の特徴としては 太平洋 に突きだした 足摺岬 や水産業で知られる。","https://ja.wikipedia.org/wiki/土佐清水市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯32度46分53.3秒東経132度57分17.6秒","日本","〒787-0392高知県土佐清水市天神町11番2号北緯32度46分53.3秒東経132度57分17.6秒﻿ / ﻿北緯32.781472度 東経132.954889度﻿ /32.781472; 132.954889座標:北緯32度46分53.3秒東経132度57分17.6秒﻿ / ﻿北緯32.781472度 東経132.954889度﻿ /32.781472; 132.954889","266.34km2","四国地方中国・四国地方","11,752人（推計人口、2021年6月1日）","高知県","公式ウェブサイト","4000020392090","44.1人/km2","39209-0","宿毛市、四万十市、幡多郡大月町、三原村","泥谷光信","ツバキ","アコウ","","","","",""
"香美市","[香美市（自然） -龍河洞など。] 香美市 （かみし）は、 高知県 の東部に位置する 市 である。高知県の市では唯一、海に面していない。","https://ja.wikipedia.org/wiki/香美市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度36分13.3秒東経133度41分9.8秒","日本","〒782-0034高知県香美市土佐山田町宝町一丁目2番1号北緯33度36分13.3秒東経133度41分9.8秒﻿ / ﻿北緯33.603694度 東経133.686056度﻿ /33.603694; 133.686056座標:北緯33度36分13.3秒東経133度41分9.8秒﻿ / ﻿北緯33.603694度 東経133.686056度﻿ /33.603694; 133.686056","537.86km2","四国地方中国・四国地方","26,369人（推計人口、2021年6月1日）","高知県","公式ウェブサイト","8000020392120","49人/km2","39212-0","安芸市、南国市、香南市、長岡郡本山町、大豊町徳島県：三好市、那賀郡那賀町","法光院晶一","","","","","","",""
"福岡市","[福岡（町並み・味覚・自然・祭礼・娯楽・レジャー） -福岡ドーム、海の中道、福岡タワー、シーサイドももち、博多ラーメン、中洲、天神地下街、博多どんたくなど。] 福岡市 （ふくおかし）は、 福岡県 西部に位置する 市 。福岡県の 県庁所在地 であり、 政令指定都市 である。","https://ja.wikipedia.org/wiki/福岡市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度35分24.5秒東経130度24分6.2秒","日本","〒810-8620 福岡市役所専用番号福岡県福岡市中央区天神一丁目8番1号北緯33度35分24.5秒東経130度24分6.2秒﻿ / ﻿北緯33.590139度 東経130.401722度﻿ /33.590139; 130.401722﻿ (福岡市)座標:北緯33度35分24.5秒東経130度24分6.2秒﻿ / ﻿北緯33.590139度 東経130.401722度﻿ /33.590139; 130.401722﻿ (福岡市)市庁舎位置","343.39km2","九州地方","1,603,043人（推計人口、2020年9月1日）","福岡県","福岡市","3000020401307","4,668人/km2","40130-7","大野城市春日市糸島市那珂川市糟屋郡宇美町粕屋町志免町新宮町久山町佐賀県佐賀市神埼市神埼郡吉野ヶ里町","高島宗一郎","夏の花：フヨウ冬の花：サザンカ1979年（昭和54年）10月制定","市の木：クロガネモチ広場の木：クスノキ1979年（昭和54年）10月制定","","","","","野山の鳥：ホオジロ海の鳥：ユリカモメ1989年（平成元年）6月制定"
"宗像市","[宗像（社寺） -宗像大社。] 宗像市 （むなかたし）は、 福岡県 の 宗像地方 （ 福岡地方 北東部）に位置する 市 である。 北九州・福岡大都市圏 に属す。","https://ja.wikipedia.org/wiki/宗像市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度48分19.9秒東経130度32分26.8秒","日本","〒811-3492福岡県宗像市東郷一丁目1番1号北緯33度48分19.9秒東経130度32分26.8秒﻿ / ﻿北緯33.805528度 東経130.540778度﻿ /33.805528; 130.540778座標:北緯33度48分19.9秒東経130度32分26.8秒﻿ / ﻿北緯33.805528度 東経130.540778度﻿ /33.805528; 130.540778市庁舎位置","119.92km2","九州地方","97,041人（推計人口、2020年9月1日）","福岡県","公式ウェブサイト","3000020402206","809人/km2","40220-6","福津市、宮若市、鞍手郡鞍手町、遠賀郡岡垣町、遠賀町","伊豆美沙子","カノコユリ","クスノキ","","","","",""
"太宰府市","[太宰府（歴史遺産） -太宰府天満宮、大宰府政庁跡。] 太宰府市 （だざいふし）は、 福岡県 の中西部、 筑紫地域 に位置する 市 である。","https://ja.wikipedia.org/wiki/太宰府市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度30分46.3秒東経130度31分25.5秒","日本","〒818-0198福岡県太宰府市観世音寺一丁目1番1号北緯33度30分46.3秒東経130度31分25.5秒﻿ / ﻿北緯33.512861度 東経130.523750度﻿ /33.512861; 130.523750﻿ (太宰府市)座標:北緯33度30分46.3秒東経130度31分25.5秒﻿ / ﻿北緯33.512861度 東経130.523750度﻿ /33.512861; 130.523750﻿ (太宰府市)市庁舎位置","29.60km2","九州地方","72,430人（推計人口、2020年9月1日）","福岡県","公式ウェブサイト","3000020402214","2,447人/km2","40221-4","筑紫野市、大野城市、糟屋郡宇美町","楠田大蔵","ウメ","クスノキ","","","","",""
"北九州市","[北九州市（町並み・歴史遺産・レジャー・自然・祭礼・娯楽） -門司港レトロ、小倉城、スペースワールド、アドベンチャープール、平尾台、小倉祇園太鼓、皿倉山、小倉競馬など。] 北九州市 （きたきゅうしゅうし）は、 福岡県 北部に位置する 市 。 政令指定都市 であり、九州第二の都市である。","https://ja.wikipedia.org/wiki/北九州市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度53分0.3秒東経130度52分30.7秒","日本","〒803-8501福岡県北九州市小倉北区城内1番1号北緯33度53分0.3秒東経130度52分30.7秒﻿ / ﻿北緯33.883417度 東経130.875194度﻿ /33.883417; 130.875194座標:北緯33度53分0.3秒東経130度52分30.7秒﻿ / ﻿北緯33.883417度 東経130.875194度﻿ /33.883417; 130.875194北九州市庁舎位置","491.95km2","九州地方","935,084人（推計人口、2020年9月1日）","福岡県","公式ウェブサイト","8000020401005","1,901人/km2","40100-5","中間市直方市行橋市遠賀郡芦屋町水巻町田川郡香春町福智町京都郡苅田町みやこ町鞍手郡鞍手町山口県下関市関門海峡を挟んで隣接","北橋健治","ツツジ、ヒマワリ","イチイガシ","","","","",""
"飯塚市","[飯塚（祭礼・娯楽・保養・レジャー） -嘉穂劇場、飯塚オート、飯塚山笠、勝盛公園、筑豊緑地、伊川温泉。] 飯塚市 （いいづかし）は、 福岡県 中部に位置する 市 で、 筑豊三都 の一つに数える。 筑豊 で最大の人口を擁し、筑豊の政治・経済の中心機能を持つ都市でもある。また 福岡市 、 北九州市 、 久留米市 に次いで福岡県内で4番目の人口を擁する。","https://ja.wikipedia.org/wiki/飯塚市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度38分45.3秒東経130度41分29.4秒","日本","〒820-8501福岡県飯塚市新立岩5番5号北緯33度38分45.3秒東経130度41分29.4秒﻿ / ﻿北緯33.645917度 東経130.691500度﻿ /33.645917; 130.691500座標:北緯33度38分45.3秒東経130度41分29.4秒﻿ / ﻿北緯33.645917度 東経130.691500度﻿ /33.645917; 130.691500市庁舎位置","213.96km2","九州地方","126,136人（推計人口、2020年9月1日）","福岡県","公式ウェブサイト","8000020402052","590人/km2","40205-2","直方市、筑紫野市、田川市、宮若市、嘉麻市、嘉穂郡桂川町、糟屋郡篠栗町、須恵町、宇美町、田川郡糸田町、福智町、鞍手郡小竹町、朝倉郡筑前町","片峯誠","コスモス","メタセコイヤ","","","","",""
