"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","築造時期","規模","形状","史跡","出土品","地図","埋葬施設","所属","被葬者","特記事項","別名","有形文化財","外部リンク","国","都道府県","面積","地方"
"磯城郡","[磯城郡川西町島の山古墳（前方後円墳、国の史跡）] 磯城郡 （しきぐん）は、 奈良県 の 郡 。","https://ja.wikipedia.org/wiki/磯城郡","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"島の山古墳","[島の山古墳（前方後円墳、国の史跡）] 川合大塚山古墳 の東方約1キロの 寺川 左岸上の微高地に築造された。別名島根山古墳。周辺の古墳とともに三宅古墳群を形成する。 盾型の周濠を含めた長さは265メートル、幅175メートルである。東西くびれ部には 造り出し がある。墳丘からは 葺石 と 埴輪 列（朝顔形円筒、 家 形、 盾 型、 靫 形）が検出された  。また 平成 17年（ 2005年 ）度に行われた第10次調査において、西側くびれ部から 祭祀 に用いられたと考えられる植物製の 籠 が出土した  。","https://ja.wikipedia.org/wiki/島の山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度35分2.0秒東経135度45分56.6秒","奈良県磯城郡川西町唐院","北緯34度35分2.0秒東経135度45分56.6秒﻿ / ﻿北緯34.583889度 東経135.765722度﻿ /34.583889; 135.765722座標:北緯34度35分2.0秒東経135度45分56.6秒﻿ / ﻿北緯34.583889度 東経135.765722度﻿ /34.583889; 135.765722","4世紀末-5世紀初頭","墳丘長200m","前方後円墳","国の史跡「島の山古墳」","埴輪、装身具、鉄刀","島の山古墳","竪穴式石室、粘土槨","馬見古墳群（北群）","","全国第36位の規模","","出土品（国の重要文化財）","","","","",""
"北葛城郡","[北葛城郡広陵町牧野古墳（円墳、国の史跡）] 北葛城郡 （きたかつらぎぐん）は、 奈良県 の 郡 。","https://ja.wikipedia.org/wiki/北葛城郡","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"牧野古墳","[牧野古墳（円墳、国の史跡）] 押坂彦人大兄皇子 （第30代 敏達天皇 皇子 ）の墓に比定する説が知られる。","https://ja.wikipedia.org/wiki/牧野古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度33分15.45秒東経135度43分26.60秒","奈良県北葛城郡広陵町馬見北8丁目（牧野史跡公園内）","北緯34度33分15.45秒東経135度43分26.60秒﻿ / ﻿北緯34.5542917度 東経135.7240556度﻿ /34.5542917; 135.7240556座標:北緯34度33分15.45秒東経135度43分26.60秒﻿ / ﻿北緯34.5542917度 東経135.7240556度﻿ /34.5542917; 135.7240556","6世紀末","直径48-60m高さ13m","円墳","国の史跡「牧野古墳」","副葬品多数・須恵器","牧野古墳","両袖式横穴式石室（内部に刳抜式家形石棺1基・組合式家形石棺1基）","馬見古墳群（中央群）","（一説）押坂彦人大兄皇子","","","","","","","",""
"大和高田市","[河合町・広陵町・大和高田市馬見古墳群川合大塚山古墳（前方後円墳、大塚山古墳群として国の史跡）ナガレ山古墳（前方後円墳、国の史跡）佐味田宝塚古墳（前方後円墳、家屋文鏡出土、背面に4つの建物図）新山古墳（前方後円墳、銅鏡34面出土、陵墓参考地）新木山古墳（前方後円墳、陵墓参考地）巣山古墳（前方後円墳、国の特別史跡）築山古墳（前方後円墳、陵墓参考地）] 奈良盆地 中西部の一角を占め、小さい面積の市域の大半は平坦地となっており、市の西北部は 馬見丘陵 の南端部となる。","https://ja.wikipedia.org/wiki/大和高田市","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度30分54.2秒東経135度44分11.3秒","〒635-8511奈良県奈良県大和高田市大字大中100番地の1北緯34度30分54.2秒東経135度44分11.3秒﻿ / ﻿北緯34.515056度 東経135.736472度﻿ /34.515056; 135.736472﻿ (大和高田市)座標:北緯34度30分54.2秒東経135度44分11.3秒﻿ / ﻿北緯34.515056度 東経135.736472度﻿ /34.515056; 135.736472﻿ (大和高田市)","","","","","","","","","","","","","","公式ウェブサイト","日本","奈良県","16.48km2","近畿地方"
"馬見古墳群","[馬見古墳群川合大塚山古墳（前方後円墳、大塚山古墳群として国の史跡）ナガレ山古墳（前方後円墳、国の史跡）佐味田宝塚古墳（前方後円墳、家屋文鏡出土、背面に4つの建物図）新山古墳（前方後円墳、銅鏡34面出土、陵墓参考地）新木山古墳（前方後円墳、陵墓参考地）巣山古墳（前方後円墳、国の特別史跡）築山古墳（前方後円墳、陵墓参考地）] 馬見丘陵は、盆地西部の南北約7キロメートル×東西約3キロメートルに広がる標高70～80メートルの 丘陵 地帯で、馬見古墳群はこの丘陵一帯に分布している  。総数は250基以上を数え、 佐紀盾列古墳群 と 大和・柳本古墳群 とともに「大和3大古墳群」とも呼ばれる  。","https://ja.wikipedia.org/wiki/馬見古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34.0度33.0分39.2秒東経135.0度44.0分16.7秒","奈良県北葛城郡河合町・広陵町・大和高田市","","","","","","","","","","","","","","","","","",""
"大塚山古墳 (河合町)","[川合大塚山古墳（前方後円墳、大塚山古墳群として国の史跡）] 河合町川合に所在する、前方部を南に向けた三段築成の前方後円墳である。墳丘の保存状態は良好で、周濠跡は水田になっているが、盾形の周濠の痕跡を明瞭に残している。","https://ja.wikipedia.org/wiki/大塚山古墳_(河合町)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度35分9.4秒東経135度44分34.1秒","奈良県北葛城郡河合町川合","北緯34度35分9.4秒東経135度44分34.1秒﻿ / ﻿北緯34.585944度 東経135.742806度﻿ /34.585944; 135.742806座標:北緯34度35分9.4秒東経135度44分34.1秒﻿ / ﻿北緯34.585944度 東経135.742806度﻿ /34.585944; 135.742806","5世紀後半","墳丘長215m（197m）高さ16.9m（前方部）","前方後円墳","国の史跡「大塚山古墳」（「大塚山古墳群」に包含）","埴輪・土師器","大塚山古墳奈良県内の位置","","馬見古墳群（北群うち大塚山古墳群）","","全国第27位の規模","川合大塚山古墳","","","","","",""
"ナガレ山古墳","[ナガレ山古墳（前方後円墳、国の史跡）] ナガレ山古墳 （ナガレやまこふん）は、 奈良県 北葛城郡 河合町 佐味田にある古墳。1976年12月27日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/ナガレ山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度33分36秒 東経135度44分10秒","","","","","","","","","","","","","","","","","","",""
"佐味田宝塚古墳","[佐味田宝塚古墳（前方後円墳、家屋文鏡出土、背面に4つの建物図）] 佐味田宝塚古墳は、 奈良盆地 の南西部にある 馬見古墳群 にあり、墳丘は前方部を北東に向け全長111.5 メートル 、後円部直径60メートルである。濠は確認されていない。","https://ja.wikipedia.org/wiki/佐味田宝塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度33分23秒東経135度43分37秒","奈良県北葛城郡河合町佐味田","北緯34度33分23秒東経135度43分37秒﻿ / ﻿北緯34.55639度 東経135.72694度﻿ /34.55639; 135.72694","4世紀末-5世紀初頭","墳丘長111.5m","前方後円墳","国の史跡「佐味田宝塚古墳」","家屋文鏡ほか副葬品多数","佐味田宝塚古墳","","馬見古墳群（中央群）","","","","出土品（国の重要文化財）","","","","",""
"新山古墳","[新山古墳（前方後円墳、銅鏡34面出土、陵墓参考地）] 実際の被葬者は明らかでないが、 宮内庁 により「 大塚陵墓参考地 」（被葬候補者：第25代 武烈天皇 ）として 陵墓参考地 に治定されている。","https://ja.wikipedia.org/wiki/新山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度31分56.75秒東経135度44分8.16秒","奈良県北葛城郡広陵町大塚","北緯34度31分56.75秒東経135度44分8.16秒﻿ / ﻿北緯34.5324306度 東経135.7356000度﻿ /34.5324306; 135.7356000﻿ (新山古墳（大塚陵墓参考地）)座標:北緯34度31分56.75秒東経135度44分8.16秒﻿ / ﻿北緯34.5324306度 東経135.7356000度﻿ /34.5324306; 135.7356000﻿ (新山古墳（大塚陵墓参考地）)","4世紀前半","墳丘長126m高さ10m（後方部）","前方後方墳","","直弧文鏡含む銅鏡34面・金銅製帯金具ほか副葬品多数","","竪穴式石室（内部に組合式石棺）","馬見古墳群（南群）","（宮内庁推定）第25代武烈天皇","","","","","","","",""
"新木山古墳","[新木山古墳（前方後円墳、陵墓参考地）] 実際の被葬者は明らかでないが、 宮内庁 により「 三吉陵墓参考地 」（被葬候補者：第30代 敏達天皇 皇子 押坂彦人大兄皇子 舒明天皇 御父）として 陵墓参考地 に治定されている。","https://ja.wikipedia.org/wiki/新木山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度33分2.67秒東経135度44分14.37秒","奈良県北葛城郡広陵町赤部字新木山","北緯34度33分2.67秒東経135度44分14.37秒﻿ / ﻿北緯34.5507417度 東経135.7373250度﻿ /34.5507417; 135.7373250座標:北緯34度33分2.67秒東経135度44分14.37秒﻿ / ﻿北緯34.5507417度 東経135.7373250度﻿ /34.5507417; 135.7373250","5世紀前半","墳丘長200m高さ19m（後円部）","前方後円墳","","埴輪","新木山古墳","","馬見古墳群（中央群）","（宮内庁推定）押坂彦人大兄皇子","全国第36位の規模","","","","","","",""
"巣山古墳","[巣山古墳（前方後円墳、国の特別史跡）] 本古墳は中央群中でも大きく中心的な存在である。北向きの前方後円墳であるが、中心軸は少し北東に向いている。墳丘の周囲は幅広い周濠が巡らされており、全面水をたたえた濠となり、その水濠の中に浮かぶ中島のように横たわっている。","https://ja.wikipedia.org/wiki/巣山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度33分23秒東経135度44分27秒","奈良県北葛城郡広陵町大字三吉元斉音寺","北緯34度33分23秒東経135度44分27秒﻿ / ﻿北緯34.55639度 東経135.74083度﻿ /34.55639; 135.74083座標:北緯34度33分23秒東経135度44分27秒﻿ / ﻿北緯34.55639度 東経135.74083度﻿ /34.55639; 135.74083","4世紀末 -5世紀初頭","墳丘長204m（推定復原220m）","前方後円墳","国の特別史跡「巣山古墳」","","巣山古墳","竪穴式石室","馬見古墳群（中央群）","","全国第23位の規模（墳丘長220mとする場合）","","","","","","",""
"築山古墳 (大和高田市)","[築山古墳（前方後円墳、陵墓参考地）] 実際の被葬者は明らかでないが、 宮内庁 により「 磐園陵墓参考地 」（被葬候補者：第23代 顕宗天皇 ）として 陵墓参考地 に治定されている。","https://ja.wikipedia.org/wiki/築山古墳_(大和高田市)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度31分24.15秒東経135度43分53.93秒","奈良県大和高田市築山字城山","北緯34度31分24.15秒東経135度43分53.93秒﻿ / ﻿北緯34.5233750度 東経135.7316472度﻿ /34.5233750; 135.7316472座標:北緯34度31分24.15秒東経135度43分53.93秒﻿ / ﻿北緯34.5233750度 東経135.7316472度﻿ /34.5233750; 135.7316472","4世紀末","墳丘長210m","前方後円墳","","","築山古墳","","","（宮内庁推定）第23代顕宗天皇","全国第28位の規模","","","","","","",""
"御所市","[御所市室大墓古墳（前方後円墳、国の史跡）巨勢山古墳群（国の史跡）水泥古墳（円墳、国の史跡、家型石棺の縄掛突起に蓮華文が彫られている）] 市名の由来は、市内を流れる 葛城川 に5つの瀬があったとする説や、 孝昭天皇 の「御諸」が「御所」に変わったとする説が挙げられている。奈良県内で一番人口が少ない市である。","https://ja.wikipedia.org/wiki/御所市","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度27分48秒東経135度44分24.8秒","〒639-2298奈良県御所市1番地の3北緯34度27分48秒東経135度44分24.8秒﻿ / ﻿北緯34.46333度 東経135.740222度﻿ /34.46333; 135.740222﻿ (御所市)座標:北緯34度27分48秒東経135度44分24.8秒﻿ / ﻿北緯34.46333度 東経135.740222度﻿ /34.46333; 135.740222﻿ (御所市)","","","","","","","","","","","","","","公式ウェブサイト","日本","奈良県","60.58km2","近畿地方"
"室大墓古墳","[室大墓古墳（前方後円墳、国の史跡）] 葛城地方では最大、全国では第18位の規模の古墳で  、 5世紀 初頭（ 古墳時代 中期）頃の築造と推定される。別称を「 室大墓 （むろのおおはか/むろのおおばか）」とも。","https://ja.wikipedia.org/wiki/室大墓古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度26分34.22秒東経135度44分0秒","奈良県御所市大字室","北緯34度26分34.22秒東経135度44分0秒﻿ / ﻿北緯34.4428389度 東経135.73333度﻿ /34.4428389; 135.73333座標:北緯34度26分34.22秒東経135度44分0秒﻿ / ﻿北緯34.4428389度 東経135.73333度﻿ /34.4428389; 135.73333","5世紀初頭","墳丘長238m高さ25m（後円部）","前方後円墳","国の史跡「宮山古墳」","","室宮山古墳","後円部：竪穴式石室2基　（内部に長持形石棺各1基）前方部：2基（推定）北張出部：粘土槨1基南張出部：1基（推定）","","（一説）葛城襲津彦（伝）武内宿禰","全国第18位の規模","室大墓","","","","","",""
"巨勢山古墳群","[巨勢山古墳群（国の史跡）] 古墳時代 中期前葉に 室宮山古墳 （室大墓）が築造されたことを契機として出現し、終末期に至るまで約800基築かれたが、群形成のピークは後期中葉にあるという  。","https://ja.wikipedia.org/wiki/巨勢山古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度26分35.5秒東経135度44分39.5秒","奈良県御所市","北緯34度26分35.5秒東経135度44分39.5秒﻿ / ﻿北緯34.443194度 東経135.744306度﻿ /34.443194; 135.744306座標:北緯34度26分35.5秒東経135度44分39.5秒﻿ / ﻿北緯34.443194度 東経135.744306度﻿ /34.443194; 135.744306","5世紀から7世紀","前方後円墳4基と群集墳（総数800基）","","2002年（平成14年）12月19日国指定史跡","","巨勢山古墳群奈良県内の位置","","","","","","","","","","",""
"水泥古墳","[水泥古墳（円墳、国の史跡、家型石棺の縄掛突起に蓮華文が彫られている）] 水泥北古墳 または 水泥塚穴古墳 （みどろつかあなこふん   ）は、 円墳 。直径約20メートルを測る  。現在は個人邸内に所在する。","https://ja.wikipedia.org/wiki/水泥古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度24分46.00秒 東経135度44分34.50秒","","","","","","","","","","","","","","","","","","",""
"岩橋千塚古墳群","[岩橋千塚古墳群（群集墳、和歌山市、国の特別史跡）大日山35号墳（前方後円墳）将軍塚古墳（前方後円墳）井辺八幡山古墳（前方後円墳）] 岩橋千塚古墳群 （いわせせんづかこふんぐん）は、 和歌山県 和歌山市 岩橋に所在する 古墳時代 後期後半の 古墳群 である。国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/岩橋千塚古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度13分29.8秒 東経135度13分40.6秒","","","","","","","","","","","","","","","","","","",""
"井辺八幡山古墳","[井辺八幡山古墳（前方後円墳）] 和歌山県北西部、 紀の川 河口部の 和歌山平野 の岩橋山塊に営造された 岩橋千塚古墳群 のうち、岩橋山塊西端の小山塊である福飯ヶ峯の北東部の八幡山山頂に築造された古墳で、福飯ヶ峯の井辺前山古墳群（井辺前山支群）では最大規模の古墳である   。かつては 円墳 2基とされたが、分布調査により 前方後円墳 と判明し  、 1969年 （ 昭和 44年）に発掘調査が実施されている  。","https://ja.wikipedia.org/wiki/井辺八幡山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度13分6.41秒東経135度12分57.65秒","和歌山県和歌山市井辺・森小手穂","北緯34度13分6.41秒東経135度12分57.65秒﻿ / ﻿北緯34.2184472度 東経135.2160139度﻿ /34.2184472; 135.2160139座標:北緯34度13分6.41秒東経135度12分57.65秒﻿ / ﻿北緯34.2184472度 東経135.2160139度﻿ /34.2184472; 135.2160139","6世紀中葉","墳丘長70m","前方後円墳","なし","埴輪・須恵器","井辺八幡山古墳","不明","岩橋千塚古墳群（井辺前山地区）","","","井辺前山10号墳","男子立像埴輪（和歌山市指定文化財）","","","","",""
"大谷古墳","[大谷古墳（和歌山市、前方後円墳、国の史跡）] 大谷古墳","https://ja.wikipedia.org/wiki/大谷古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"車駕之古址古墳","[車駕之古址古墳（和歌山市、前方後円墳、県史跡、金の勾玉が出土した）] 1990年代初めに住宅開発による事前の発掘調査が行われ、その重要さから保存されることになった。墳丘盛土内から国内唯一の金製の 勾玉 が出土している。","https://ja.wikipedia.org/wiki/車駕之古址古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度15分45秒東経135度08分49秒","和歌山県和歌山市木ノ本724番地","北緯34度15分45秒東経135度08分49秒﻿ / ﻿北緯34.26250度 東経135.14694度﻿ /34.26250; 135.14694","5世紀後半","墳丘長86ｍ　","前方後円墳","和歌山県指定史跡「車駕之古址古墳」","金製勾玉・形象埴輪","","不明","","","","","出土品（和歌山県指定文化財）","","","","",""
"下里古墳","[下里古墳（那智勝浦町、前方後円墳、国の史跡）] 本州では最南端に位置する前方後円墳で、 4世紀 末- 5世紀 初頭（ 古墳時代 中期）頃の築造と推定される。","https://ja.wikipedia.org/wiki/下里古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯33度35分3.18秒東経135度55分21.76秒","和歌山県東牟婁郡那智勝浦町下里","北緯33度35分3.18秒東経135度55分21.76秒﻿ / ﻿北緯33.5842167度 東経135.9227111度﻿ /33.5842167; 135.9227111座標:北緯33度35分3.18秒東経135度55分21.76秒﻿ / ﻿北緯33.5842167度 東経135.9227111度﻿ /33.5842167; 135.9227111","4世紀末-5世紀初頭","墳丘長40m","前方後円墳","国の史跡「下里古墳」","鏡（散逸）・玉類（散逸）・鉄製品・土器片","下里古墳","竪穴式石室（内部に木棺か）","","","本州最南端の前方後円墳","","出土品（那智勝浦町指定文化財）","","","","",""
"布勢古墳","[布勢古墳（鳥取市、前方後円墳、国の史跡）] 布勢古墳 （ふせこふん）は、 鳥取県 鳥取市 布勢にある 古墳 。 1974年 12月23日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/布勢古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度30分19秒 東経134度10分38秒","","","","","","","","","","","","","","","","","","",""
"梶山古墳","[梶山古墳（鳥取市、彩色壁画のある変形八角墳、国の史跡、麻績王の墓か）] 1978年 （ 昭和 53年）に 中国地方 で初めてとなる彩色 壁画 が発見されて注目された。その後の 発掘調査 で、日本最古の方形壇を持つ変型八角形古墳であることも確認された。","https://ja.wikipedia.org/wiki/梶山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度27分5.39秒東経134度17分41秒","鳥取県鳥取市国府町岡益","北緯35度27分5.39秒東経134度17分41秒﻿ / ﻿北緯35.4514972度 東経134.29472度﻿ /35.4514972; 134.29472","6世紀末-7世紀初頭","対角長17m一辺2.5-8.5m","変形八角形墳（方形壇あり）","国の史跡「梶山古墳」","","梶山古墳","","","（伝）麻績王（麻続王）","装飾古墳","","","","","","",""
"新井の石舟古墳","[新井の石舟古墳（鳥取市、円墳、二位尼の墓との伝承あり）] 新井の石舟古墳は直径10 メートル ほどの小規模な 円墳 で築造年代は6世紀末から7世紀前半と推定される。 横穴石室 が存在し、 玄室 には 凝灰岩 で造られた 家形石棺 が安置されている。石棺は縦1.5メートル、横1メートル、深さは55 センチメートル あり、古くから「石舟」の名で呼ばれていた。付近一帯には 平家 の落人伝説が伝えられており、その関係からかこの古墳を 二位尼 の墓とする伝承が存在する。 江戸時代 には「泉塚」とも呼ばれ、付近にある 岡益の石堂 と共に信仰の対象となった。また、石舟内に溜まった泥水の量によって米の豊作・不作が決まるといわれるほか、水をかき乱すと100日間、雨が続くという伝承が存在する。現在においても付近の住民の方によって大切に祀られている。","https://ja.wikipedia.org/wiki/新井の石舟古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","鳥取市国府町新井","","6世紀末〜7世紀前半","直径10m","円墳","鳥取市指定史跡（1983年（昭和58年）4月1日）","不明","","","","伝・二位尼","1983年〜2004年までは国府町指定史跡","","","","","","",""
"北山古墳 (湯梨浜町)","[北山古墳（東伯郡湯梨浜町、国の史跡、山陰地方最大級の前方後円墳 全長110メートル）] 鳥取県では最大規模の古墳で、 5世紀 前半（ 古墳時代 中期）頃の築造と推定される。","https://ja.wikipedia.org/wiki/北山古墳_(湯梨浜町)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度27分50.72秒東経133度53分6.56秒","鳥取県東伯郡湯梨浜町野花・長和田","北緯35度27分50.72秒東経133度53分6.56秒﻿ / ﻿北緯35.4640889度 東経133.8851556度﻿ /35.4640889; 133.8851556座標:北緯35度27分50.72秒東経133度53分6.56秒﻿ / ﻿北緯35.4640889度 東経133.8851556度﻿ /35.4640889; 133.8851556","5世紀前半","墳丘長110m高さ12m（後円部）","前方後円墳","国の史跡「北山古墳」","管玉・短甲片・銅鏡・刀など","北山古墳","第1主体：（推定）竪穴式石室第2主体：箱式石棺","北山古墳群","","鳥取県第1位の規模","北山1号墳","","","","","",""
"三明寺古墳","[三明寺古墳（倉吉市、円墳、国の史跡、山陰最大級の横穴式石室）] 鳥取県中部、倉吉市街地から北方の向山丘陵の中腹に築造された古墳である   。石室は古くから開口していたことが知られる。","https://ja.wikipedia.org/wiki/三明寺古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度26分27.30秒東経133度49分55.95秒","鳥取県倉吉市巌城（字三明寺）","北緯35度26分27.30秒東経133度49分55.95秒﻿ / ﻿北緯35.4409167度 東経133.8322083度﻿ /35.4409167; 133.8322083座標:北緯35度26分27.30秒東経133度49分55.95秒﻿ / ﻿北緯35.4409167度 東経133.8322083度﻿ /35.4409167; 133.8322083","7世紀初頭（または7世紀前半）","直径18m高さ6m","円墳（または方墳・多角形墳）","国の史跡「三明寺古墳」","","三明寺古墳","両袖式横穴式石室","向山古墳群","","","","","","","","",""
"阿弥大寺古墳群 (存在しないページ)","[阿弥大寺古墳群（倉吉市、国の史跡）]","https://ja.wikipedia.org/w/index.php?title=阿弥大寺古墳群&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"橋津古墳群","[橋津古墳群（東伯郡湯梨浜町、国の史跡）] 橋津古墳群 （はしづこふんぐん）は、 鳥取県 東伯郡 湯梨浜町 橋津にある 古墳群 である。1957年（昭和32年）6月3日、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/橋津古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度30分16秒 東経133度52分55秒","","","","","","","","","","","","","","","","","","",""
"向山古墳群","[向山古墳群（米子市、国の史跡）石馬谷古墳（前方後円墳、本州唯一の石馬が出土）] 向山古墳群 （むこうやまこふんぐん）は、 鳥取県 米子市 淀江町福岡にある 古墳群 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/向山古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度27分16.4秒 東経133度26分25.9秒","","","","","","","","","","","","","","","","","","",""
"石馬谷古墳","[石馬谷古墳（前方後円墳、本州唯一の石馬が出土）] 本州では唯一となる 石人石馬 の出土で知られる。","https://ja.wikipedia.org/wiki/石馬谷古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度27分7.05秒東経133度26分33.60秒","鳥取県米子市淀江町福岡","北緯35度27分7.05秒東経133度26分33.60秒﻿ / ﻿北緯35.4519583度 東経133.4426667度﻿ /35.4519583; 133.4426667座標:北緯35度27分7.05秒東経133度26分33.60秒﻿ / ﻿北緯35.4519583度 東経133.4426667度﻿ /35.4519583; 133.4426667","6世紀中葉","墳丘長61.2m高さ5m（後円部）","前方後円墳","国の史跡「向山古墳群」に包含","石馬・須恵器・埴輪","石馬谷古墳","不明","向山古墳群（うち小枝山古墳群）","","本州唯一の石人石馬","小枝山5号墳","石馬（国の重要文化財）","","","","",""
"荒島古墳群 (存在しないページ)","[荒島古墳群（安来市、国の史跡）]","https://ja.wikipedia.org/w/index.php?title=荒島古墳群&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩舟古墳","[岩舟古墳（安来市、墳形不明、国の史跡、特殊な構造の石室）] 岩舟古墳 （いわふねこふん）は、 島根県 安来市 岩舟町にある 古墳 。1948年12月18日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/岩舟古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度24分00秒 東経133度11分25秒","","","","","","","","","","","","","","","","","","",""
"仲仙寺古墳群","[仲仙寺古墳群（安来市、国の史跡）] 仲仙寺古墳群 （ちゅうせんじこふんぐん）は、 島根県 安来市 西赤江町にある 古墳群 。 1971年 8月12日に国の 史跡 に指定され、 1974年 12月23日に追加指定された  。","https://ja.wikipedia.org/wiki/仲仙寺古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"安部谷古墳 (存在しないページ)","[安部谷古墳（松江市、横穴古墳、国の史跡）]","https://ja.wikipedia.org/w/index.php?title=安部谷古墳&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石屋古墳","[石屋古墳（松江市、方墳、国の史跡）] 石屋古墳 （いしやこふん）は、 島根県 松江市 矢田町・東津田町にある 古墳 。1979年4月6日に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/石屋古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度27分03秒 東経133度06分07秒","","","","","","","","","","","","","","","","","","",""
"岩屋寺跡古墳 (存在しないページ)","[岩屋寺跡古墳（松江市、横穴古墳、国の史跡）]","https://ja.wikipedia.org/w/index.php?title=岩屋寺跡古墳&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大庭鶏塚古墳 (存在しないページ)","[大庭鶏塚古墳（松江市、方墳、国の史跡）]","https://ja.wikipedia.org/w/index.php?title=大庭鶏塚古墳&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
