"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","国・地域","運営者","標高","方向","運用時間","公式サイト","敷地面積","開港","旅客数","貨物取扱量","所有者","母都市","発着回数","所在部隊","開設","面積","国"
"藤沢飛行場","[東洋航空藤沢飛行場〔神奈川県藤沢市〕 -1964年10月31日廃止] 藤沢飛行場 （ふじさわひこうじょう）とは 神奈川県 藤沢市 に存在した 飛行場 。 1953年 （ 昭和 28年）- 1964年 （昭和39年）の正式名称は 東洋航空藤沢飛行場 。","https://ja.wikipedia.org/wiki/藤沢飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度21分24秒東経139度27分50秒","神奈川県藤沢市藤沢市本藤沢-地理院地図藤沢飛行場跡地（荏原製作所藤沢事業所）-Google マップ","非公共用","日本","東洋航空工業株式会社","","01/19","","","","","","","","","","","","",""
"八日市飛行場","[八日市飛行場〔滋賀県東近江市〕 - 日本初の民間飛行場] 八日市飛行場 (ようかいちひこうじょう)は、かつて 滋賀県 神崎郡 八日市町 沖野ヶ原 (現・ 東近江市 沖野)にあった 大日本帝国陸軍 の 軍用飛行場 である。前身は民間飛行場であり、民間飛行場発祥の地でもあった  。","https://ja.wikipedia.org/wiki/八日市飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度06分07秒東経136度12分43秒","滋賀県神崎郡八日市町沖野ヶ原(現・滋賀県東近江市)","軍用","日本","大日本帝国陸軍","","","","","","","","","大日本帝国","","","航空第3大隊→飛行第3連隊","1915年","",""
"木津川飛行場","[木津川飛行場（大阪府大阪市） - 逓信省航空局が開設した最初の飛行場] 木津川飛行場 （きづがわひこうじょう）は 大阪府 大阪市 大正区 にあった飛行場。 大阪飛行場 とも呼ばれた。","https://ja.wikipedia.org/wiki/木津川飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳴尾飛行場","[鳴尾飛行場〔兵庫県西宮市〕] 鳴尾飛行場 （なるおひこうじょう）は、かつて 兵庫県 武庫郡 鳴尾村 （のちの 西宮市 枝川町）に存在していた 大日本帝国海軍 の 飛行場 である。また 川西航空機 （現・ 新明和工業 ）が製造する 軍用機 の試験飛行用も兼ねていた。","https://ja.wikipedia.org/wiki/鳴尾飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鶉野飛行場","[鶉野飛行場〔兵庫県〕] 鶉野飛行場 （うずらのひこうじょう）は、 兵庫県 加西市 鶉野町（稼働当時は 加西郡 九会村 ・ 下里村 ）にかつて存在していた 飛行場 である。かつては 防衛省 が管理していたが、 2016年 （ 平成 28年）6月に加西市に払い下げられた  。","https://ja.wikipedia.org/wiki/鶉野飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"福岡第一飛行場","[福岡第一飛行場（雁ノ巣飛行場）〔福岡県福岡市〕] 福岡第一飛行場 （ふくおかだいいちひこうじょう）はかつて 逓信省 航空局が 福岡県 糟屋郡 和白村 （現在の 福岡市 東区 ） 雁ノ巣 に設置した 飛行場 。 通称 ・ 雁ノ巣飛行場 （がんのすひこうじょう）。 大日本航空 によって 朝鮮 、 台湾 、 中華民国 、 東南アジア への路線が運航され、戦前における国内最大規模の民間飛行場であった。","https://ja.wikipedia.org/wiki/福岡第一飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度40分41.5秒東経130度23分52.5秒","福岡県糟屋郡和白村","商業","日本","","","","","","","","","","","","","","","",""
"枕崎飛行場","[枕崎飛行場（枕崎空港）〔鹿児島県枕崎市〕 -2013年3月31日廃港2014年9月18日より枕崎ヘリポートとして供用中] 枕崎飛行場 （まくらざきひこうじょう）、 枕崎空港 （まくらざきくうこう）は、 鹿児島県 枕崎市 にかつて存在した公共用 飛行場 。現在は公共用ヘリポートの 枕崎ヘリポート となっている。","https://ja.wikipedia.org/wiki/枕崎飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯31度15分45秒東経130度21分31秒","鹿児島県枕崎市あけぼの町","公共用ヘリポート","日本","枕崎市","52.1m(171ft)","18/36","8:30 - 17:00","枕崎ヘリポート","","1991年1月2014年9月18日、ヘリポート供用開始","","","","","","","","",""
"本部町","[上本部飛行場（本部飛行場、桃原飛行場）〔沖縄県本部町〕 - 国有地部分を本部町が買収し、観光や農業振興を目的とした再開発を実施する予定[34] 本部町 （もとぶちょう）は、 沖縄県 国頭郡 に属する 町 である。","https://ja.wikipedia.org/wiki/本部町","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯26度39分27秒東経127度53分52秒","〒905-0211沖縄県国頭郡本部町字東5番地北緯26度39分27秒東経127度53分52秒﻿ / ﻿北緯26.65750度 東経127.89778度﻿ /26.65750; 127.89778座標:北緯26度39分27秒東経127度53分52秒﻿ / ﻿北緯26.65750度 東経127.89778度﻿ /26.65750; 127.89778","","","","","","","","","","","","","","","","","54.35km2","日本"
"ボーローポイント","[ボーロー飛行場〔沖縄県読谷村〕 - 第二次世界大戦中に米軍が建設した飛行場終戦後は飛行場としては使われていない] 第二次世界大戦の終結後、 1946年 には飛行場としての機能は無くなり、 アメリカ陸軍 が管理する ボーローポイント射撃場 (ボロー・ポイント射撃場  ) の名称で射撃場に、また 瀬名波通信施設 (せなはつうしんしせつ) の名称で米国 中央情報局 (CIA) の 外国放送情報局 (FBIS) の通信施設として使われた。また 核ミサイル の ナイキ・ハーキュリーズ や メースB の発射基地となっていた。","https://ja.wikipedia.org/wiki/ボーローポイント","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯26度26分19.64秒東経127度43分06.73秒","","軍用飛行場FAC6021","","","","","","","","","","","","","","","","",""
"読谷補助飛行場","[読谷補助飛行場〔沖縄県読谷村〕 - 現在は一般道として使用] 読谷補助飛行場 （よみたんほじょひこうじょう）は、 沖縄県 読谷村 にあった 米軍基地 。1943（昭和18）年に建設が始まった 陸軍 沖縄北飛行場 に由来する。第二次世界大戦後は 米軍読谷補助飛行場 として使われた。1996（平成4）年に始まった日本政府との交渉の結果、2006（平成18）年に全面返還された。今日では、読谷村役場や 読谷平和の森球場 、 読谷中学校 、農業用地として跡地利用が進んでいる。","https://ja.wikipedia.org/wiki/読谷補助飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯26度23分36.83秒東経127度44分48.12秒","","軍用飛行場","","","","","","","","","","","","","","","","",""
"泡瀬飛行場","[泡瀬飛行場〔沖縄県沖縄市〕 - 第二次世界大戦中に米軍が建設した飛行場終戦後は飛行場としては使われていない] 泡瀬飛行場 (Awase Airfield/NAB Awase)は、第二次世界大戦中に 沖縄県 美里村 （現在の 沖縄市 ）泡瀬（あわせ）に アメリカ軍 によって建設された飛行場。 日本本土の爆撃 に向けて建設され、実際に南西諸島や九州への航空作戦のために運用された。","https://ja.wikipedia.org/wiki/泡瀬飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯26度18分59.00秒東経127度49分29.30秒","","軍用飛行場","","","","","","","","","","","","","","","","",""
"足寄ヘリポート","[足寄ヘリポート〔北海道足寄郡足寄町〕] 足寄ヘリポート （あしょろヘリポート）は、 北海道 足寄郡 足寄町 中矢198番地にかつてあった公共用 ヘリポート である。管理面積は1.5ha。","https://ja.wikipedia.org/wiki/足寄ヘリポート","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯43度14分25秒東経143度30分13秒","北海道足寄郡足寄町中矢198番地","公共用","日本","足寄町","322.6m(1,058ft)","","午前7時から午後5時（ただし日没後は離着陸不可）","","","1990年5月1日","","","","","","","","",""
"湯村温泉ヘリポート","[湯村温泉ヘリポート〔兵庫県美方郡新温泉町〕] 湯村温泉ヘリポート （ゆむらおんせんヘリポート）は、 兵庫県 美方郡 新温泉町 の照来（てらぎ）地区にかつてあった公共用ヘリポート。2008年9月25日に廃止された。","https://ja.wikipedia.org/wiki/湯村温泉ヘリポート","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度31分46秒 東経134度29分33秒","","","","","","","","","","","","","","","","","","",""
"播磨ヘリポート","[播磨ヘリポート〔兵庫県赤穂郡上郡町〕] 播磨ヘリポート （はりまヘリポート）は、 兵庫県 赤穂郡 上郡町 の 播磨科学公園都市 内にかつてあった公共用 ヘリポート 。2008年9月25日に廃止された。","https://ja.wikipedia.org/wiki/播磨ヘリポート","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度55分37.0秒 東経134度26分33.0秒","","","","","","","","","","","","","","","","","","",""
"神戸ヘリポート","[神戸ヘリポート〔兵庫県神戸市〕] 神戸ヘリポート （こうべヘリポート）は、 兵庫県 神戸市 中央区 港島中町8丁目1番地にあった公共用 ヘリポート 。 ポートアイランド の西部にあり、 神戸空港 の 管制圏 内に位置した。面積は約2.8ha。 阪神高速湾岸線 西伸部の事業化に伴い、2018年3月31日に廃止された。","https://ja.wikipedia.org/wiki/神戸ヘリポート","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度39分32秒東経135度12分26秒","兵庫県神戸市中央区港島中町8丁目1番地","公共","日本","神戸市みなと総局","4.7m(15ft)","","7:00-19：00 (JST)（但し日出前・日没後は離着陸不可）","神戸ヘリポートオフィシャルサイト","","1987年12月18日","","","","","","神戸市航空機動隊兵庫県消防防災航空隊","","",""
"空港連絡鉄道","[■（※印）：空港連絡鉄道がある空港。] 空港連絡鉄道 （くうこうれんらくてつどう）とは、旅客 空港 と 都市 とを結ぶ 鉄道 である。本記事では 軌道 を含む。 空港アクセス鉄道 ともいう。航空と鉄道が協力し合う一例でもある。","https://ja.wikipedia.org/wiki/空港連絡鉄道","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"チャーター便","[チャーター便の旅客数を含む。] チャーター便 （チャーターびん）は、特定の目的を満たすために供用されている 交通機関 、輸送機関の一部または全部を借りきること。正式には 専属輸送 （せんぞくゆそう）という。","https://ja.wikipedia.org/wiki/チャーター便","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"対数","[背景の棒グラフは対数。紫色は国際線を示す。] 通常の対数 log b   x は真数 x , 底 b を 実数 として定義されるが、実数の対数からの類推により、 複素数 や 行列 などの様々な数に対してその対数が定義されている。","https://ja.wikipedia.org/wiki/対数","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"利尻空港","[利尻空港] 利尻空港は 利尻島 北端に位置する北海道内の最初の 離島 空港である。ジェット機の就航が可能であり、地域経済の活性化及び地域振興、島民の重要な生活基盤施設として期待されている。","https://ja.wikipedia.org/wiki/利尻空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯45度14分23秒東経141度11分29秒","北海道利尻郡利尻富士町","商業","日本","北海道","30.7m(100.7ft)","07/25","9:00 - 17:00","","","","","","","","","","","",""
"稚内空港","[稚内空港] 現在、航空定期便が就航する空港としては日本最北端に位置する  。","https://ja.wikipedia.org/wiki/稚内空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯45度24分16秒東経141度48分8秒","北海道稚内市声問村","商業","日本","北海道エアポート","8m(26ft)","08/26","8:30 - 18:30","稚内空港ビル","96ha","1960年","192,670人","326t","","","1464","","","",""
"旭川空港","[旭川空港] 北海道 第2の都市旭川市中心部から南東約16km（バスで約35分）の田園地帯に囲まれた丘陵地帯に位置する  。旭川を中心とした 道北 の経済、文化、観光の拠点である。空港の東側には、日本最大の 国立公園 である 大雪山 連峰と、これに続く 十勝岳 連峰の山々がある。","https://ja.wikipedia.org/wiki/旭川空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯43度40分15秒東経142度26分51秒","北海道上川郡東神楽町","商業","日本","北海道エアポート","210.5m(692ft)","16/34","8:00 - 21:00","旭川空港ターミナル","214ha","1966年6月30日","1,110,137人","4,964t","","旭川市","","","","",""
"札幌飛行場","[札幌飛行場（丘珠空港）国土交通省国土地理院 地図・空中写真閲覧サービスの空中写真を基に作成] 札幌飛行場は、陸上自衛隊の専用飛行場（ 軍用飛行場 ）であったが、 1961年 に公共用飛行場として指定と民間機の乗り入れが開始され、空港施設の名称から「丘珠空港」と通称されている。設置管理者は防衛省となっており、陸上自衛隊丘珠駐屯地との共用飛行場となっている。","https://ja.wikipedia.org/wiki/札幌飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯43度07分03秒東経141度22分53秒","北海道札幌市","軍民共用","日本","陸上自衛隊","8m(26.2ft)","14/32","7:30 - 20:30","丘珠空港","","","173,920人","13.7t","防衛省","","","","","",""
"函館空港","[函館空港] 道南 の 政治 ・ 経済 ・ 文化 の中心地であり 観光 資源にも恵まれた函館市の中心部から約9km（バスで約20分）東方の海岸沿いの 丘陵 に位置している。函館の 奥座敷 である 湯の川温泉 からはわずかに4.5kmの利便性の高い空港である。また函館空港は北海道最南端の空港でもある。 海上保安庁 函館航空基地を併設する。","https://ja.wikipedia.org/wiki/函館空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯41度46分12秒東経140度49分19秒","北海道函館市","商業","日本","北海道エアポート","34.1m","12/30","7:30 - 20:30","函館空港","164ha","","","","","","","","","",""
"仙台空港","[仙台空港] 仙台空港 （せんだいくうこう）は、 宮城県 名取市 と 岩沼市 に跨って位置する 東北地方 唯一の 国管理空港 （旧第二種(A)空港）である  。 2016年 7月1日 に運営が 仙台国際空港株式会社 に移管（民営化）された  。 空港ターミナルビル が名取市にあり、 滑走路 が岩沼市に及ぶ。愛称は 仙台国際空港  。","https://ja.wikipedia.org/wiki/仙台空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯38度08分13秒東経140度55分21秒","宮城県名取市・岩沼市","商業","日本","仙台国際空港株式会社","5m(16.4ft)","12/30","7:30 - 21:30","仙台空港ターミナル","","","","","","仙台市","","","","",""
"福島空港","[福島空港] 郡山市 の南東約20kmにある、 須賀川市 ・ 石川郡 玉川村 にまたがる阿武隈山系の丘陵地帯を開削し、1993年（平成5年）に県管理の第三種空港として開港した。その後、平行誘導路の設置、滑走路の延長を経て、2000年（平成12年）に全面供用となっている。","https://ja.wikipedia.org/wiki/福島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯37度13分39秒東経140度25分41秒","福島県石川郡玉川村","商業","日本","福島県","372m(1,221ft)","01/19","8:05 - 20:30","福島空港","","","","","","","","","","",""
"東京国際空港","[東京国際空港] 成田国際空港 と並ぶ、 首都圏 の「空の玄関」である  。2019年の乗降客数は、世界5位となった  。","https://ja.wikipedia.org/wiki/東京国際空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度33分12秒東経139度46分52秒","東京都大田区羽田空港","公共","日本","国土交通大臣","6.4m(21ft)","16R/34L","24時間","tokyo-haneda.com","1,516ha","1931年8月25日 (89年前) (1931-08-25)","84,893,742","1,271,143t","国土交通省","東京","","","","",""
"成田国際空港","[成田国際空港] 東京国際空港 とともに 首都圏 の「空の玄関」である。","https://ja.wikipedia.org/wiki/成田国際空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度45分55秒東経140度23分08秒","千葉県成田市・山武郡芝山町・香取郡多古町","民間、商業","日本","成田国際空港株式会社","43m(141ft)","16R/34L","6:00 - 24:00","https://www.narita-airport.jp/jp/","1,137ha","1978年5月20日","44,344,739人","2,039,905t","成田国際空港株式会社（日本国政府出資）","東京","264,115回","","","",""
"調布飛行場","[調布飛行場] 調布飛行場 （ちょうふひこうじょう、Chofu Airport）は、 東京都 調布市 （一部 三鷹市 ・ 府中市 にまたがる）にある 日本の飛行場 である。東京都営空港の一つ。正式名称は 東京都調布飛行場  。 調布空港 と呼ばれることもある。","https://ja.wikipedia.org/wiki/調布飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度40分18秒東経139度31分41秒","東京都調布市","その他の空港","日本","東京都港湾局","42.3m(138.8ft)","17/35","","www.kouwan.metro.tokyo.lg.jp/rito/tmg-airport/chofu/","","","","","","","","","","",""
"大島空港","[大島空港] 伊豆大島北部の元町に位置する。滑走路は ジェット機 （小型）の離着陸にも対応している。","https://ja.wikipedia.org/wiki/大島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度46分55秒東経139度21分37秒","東京都大島町元町字北の山270番地","商業","日本","東京都港湾局","37.8m(124ft)","03/21","","大島空港","","","","","","大島町","","","","",""
"三宅島空港","[三宅島空港] 三宅島空港 （みやけじまくうこう Miyakejima Airport ）は、 東京都 三宅村 （ 三宅島 ）にあり、東京都港湾局が運営する 地方管理空港 。","https://ja.wikipedia.org/wiki/三宅島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度04分25秒東経139度33分37秒","東京都三宅村","商業","日本","東京都港湾局","19.9m(65.3ft)","02/20","","三宅島空港","","","","","","","","","","",""
"新潟空港","[新潟空港（画像奥の阿賀野川河口に位置する）] 新潟空港 （にいがたくうこう）は、 新潟県 新潟市 東区 にある 国管理空港  。","https://ja.wikipedia.org/wiki/新潟空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯37度57分21秒東経139度07分14秒","新潟県新潟市東区","商業","日本","国土交通大臣","9m(29ft)","04/22","7:30 - 21:30 (JST)","新潟空港","","","993,980人","454t","","","13,372","","","",""
"富山空港","[富山空港] 富山県富山市中心部の南約7 キロメートル に位置する  。 立山黒部アルペンルート 、世界遺産 五箇山 に最も近い国際空港。富山市街地や 富山IC 、 国道41号 から近くアクセスの利便性が高いため、富山県民のみならず、近隣の 新潟県 上越地方  、 岐阜県 飛騨地方 などからも利用しやすい空港である。 制限表面 は外側水平表面（ 航空法 ：半径24km以下、高さ295m）や円錐表面（半径16.5km以下）が設定されておらず、水平表面（半径4km以下、高さ45m）が半径3kmで設定されている  。このため、近接しながらも市街地でのビル建設には影響を与えていない。","https://ja.wikipedia.org/wiki/富山空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度38分54秒東経137度11分15秒","富山県富山市","商業","日本","","23.6m(77ft)","02/20","7:00 - 21:30","富山きときと空港","","","","","","","","","","",""
"能登空港","[能登空港] また、 空港ターミナルビル や駐車場などの施設を共用している 道の駅のと里山空港 についても本項で述べる。","https://ja.wikipedia.org/wiki/能登空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯37度17分36秒東経136度57分44秒","石川県輪島市","商業","日本","石川県","219m(720ft)","07/25","8:00 - 19:30","https://www.noto-airport.jp/","","","","","","","","","","",""
"小松飛行場","[小松飛行場] この節には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/小松飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度23分38秒東経136度24分27秒","石川県小松市","軍民共用","日本","航空自衛隊","6m(18ft)","06/24","","小松空港公式サイト航空自衛隊 小松基地","","","","","防衛省","金沢市・福井市","","第6航空団飛行教導群小松救難隊石川県消防防災航空隊","","",""
"静岡空港","[静岡空港] 静岡県を代表する名所である「 富士山 」からとり、 富士山静岡空港 という愛称がつけられている。","https://ja.wikipedia.org/wiki/静岡空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度47分46秒東経138度11分22秒","静岡県牧之原市・島田市","商業","日本","静岡県","132m(433ft)","12/30","7:30 - 22:00","富士山静岡空港","","","","","","","","","","",""
"中部国際空港","[中部国際空港] 愛知県 名古屋市 の中心部から南へ約35km、 知多半島 の愛知県常滑市の沖合約1.5kmの 伊勢湾 海上の人工島に位置し、24時間運用可能な長さ3,500mの滑走路を有する、 関西国際空港 に次ぐ国内第2の海上 国際空港 として 2005年 2月17日 に開港した。 成田国際空港 、 東京国際空港 、関西国際空港とともに国際航空路線に必要な国際 拠点空港 としてその航空需要を担うことを国の航空政策上位置づけられている    。","https://ja.wikipedia.org/wiki/中部国際空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度51分30秒東経136度48分19秒","愛知県常滑市","商業","日本","中部国際空港株式会社","3.7m(12.1ft)","18/36","24時間","中部国際空港 セントレア","471.3ha","2005年2月17日","12,257,342人","176,722t","","名古屋市","106,008回","","","",""
"名古屋飛行場","[名古屋飛行場] 名古屋市 の中心から北へおよそ15 kmの 濃尾平野 北東部に位置しており、行政区分上では 西春日井郡 豊山町 、 小牧市 、 春日井市 、 名古屋市 （ 北区 ）の3市1町にまたがっている。 航空自衛隊 小牧基地 に隣接しており、滑走路を共有しているが、防衛省設置管理の共用飛行場ではなく 愛知県 が管理する。 管制 業務は、 飛行場管制 業務と 着陸誘導管制 業務を 航空自衛隊 小牧管制隊が実施しており、 進入管制業務とターミナルレーダー管制業務 については、 中部国際空港 （常滑市）にある 国土交通省 大阪航空局 中部空港事務所が広域管制によって実施している。","https://ja.wikipedia.org/wiki/名古屋飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度15分18秒東経136度55分28秒","愛知県西春日井郡豊山町、小牧市、春日井市、名古屋市","公共","日本","愛知県","14m(45.9ft)","16/34","7:00 - 22:00","県営名古屋空港","","","","","","名古屋市","","","","",""
"大阪国際空港","[大阪国際空港] 大阪国際空港 （おおさかこくさいくうこう、 英 ：Osaka International Airport）は、 大阪府 豊中市 、同府 池田市 、 兵庫県 伊丹市 にまたがる 会社管理空港 である。 大阪空港 （おおさかくうこう）あるいは 伊丹空港 （いたみくうこう、 英 ：Itami Airport）の通称でも知られる。かつては名実ともに 国際空港 であったが、現在は日本の国内線の 拠点空港 （基幹空港）として運用されている。近隣の 関西国際空港 、 神戸空港 とともに 関西三空港 のひとつである。空港運営は 関西エアポート が実施している。","https://ja.wikipedia.org/wiki/大阪国際空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度47分04秒東経135度26分21秒","大阪府豊中市大阪府池田市兵庫県伊丹市","商業","日本","関西エアポート株式会社","12m(39ft)","14L/32R","7:00 - 21:00","大阪国際空港（伊丹空港）","311.9ha","","","","","大阪市","","","","",""
"関西国際空港","[関西国際空港] 1994年 9月4日 開港。 大阪湾 内 泉州 沖5kmの埋立地（ 泉南郡 田尻町 ・ 泉佐野市 ・ 泉南市 にまたがる  ）にある世界で初めての完全人工島からなる 海上空港 である（ #空港島 を参照）。通称・略称は、 関西空港 （かんさいくうこう）あるいは 関空 （かんくう）、 空港コード KIXから「キックス」と呼ばれることもある    。 空港法 上の 拠点空港 であり、 成田国際空港 、 東京国際空港 （羽田空港）、 中部国際空港 （セントレア）とともに日本を代表する国際空港として 国際拠点空港   のひとつと位置づけられている。 成田国際空港 とともに大都市圏にある国際線専用空港という傾向が強い。「西日本を中心とする国際拠点空港であり、近畿圏の国内線の基幹空港  」と位置づけられており、関西地方の空港で唯一、定期国際線が就航している。また、成田国際空港などと並んで Peach Aviation などの 格安航空会社 （LCC）の拠点空港であり、国内やアジア各都市を結んでいる。 航空法 上の 混雑空港 に指定されており、 国際航空運送協会 （IATA）が混雑度レベル2に指定している  。本空港建造事業は 内閣総理大臣顕彰 を授与されており、また、日本国外からも様々な評価を受けている（ #日本国外からの評価 を参照）。","https://ja.wikipedia.org/wiki/関西国際空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度26分03秒東経135度13分58秒","大阪府泉南郡田尻町泉佐野市泉南市","商業","日本","関西エアポート株式会社","5.30m(17.4ft)","06R/24L","24時間","関西国際空港公式サイト","1,067.7ha","1994年9月4日","28,762,999人","756,771t","","大阪市","196,022回","","","",""
"八尾空港","[八尾空港] 大阪市 の 南東 約14km  にある 空港 。定期便の就航はなく、主として航空宣伝・写真測量・操縦訓練などの事業用や自家用の 小型航空機 や ヘリコプター の発着に利用されているほか、 陸上自衛隊 や 消防 ・ 警察 の航空隊が利用している。","https://ja.wikipedia.org/wiki/八尾空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度35分46秒東経135度36分10秒","大阪府八尾市","その他","日本","国土交通大臣","10m","09/27","8:00 - 19:30","八尾空港","69.7ha","","","","","","","","","",""
"神戸空港","[神戸空港] 大阪市 の西約26キロメートル  、神戸市の中心部、 三宮 の南約8キロメートルに位置する 地方管理空港 。 関西国際空港 ・ 大阪国際空港 （伊丹空港）とともに、 関西三空港 のひとつに数えられる。海上都市 ポートアイランド の沖合約1キロメートルに造成された 人工島 の神戸空港島に建設され、 2006年 2月16日 に開港  。神戸市が設置・管理し、市営空港としては 旭川空港 ・ 帯広空港 に次いで国内3番目、旧 第三種空港 の中では、市が初めて建設から運営までを手がけた空港である。","https://ja.wikipedia.org/wiki/神戸空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度37分58秒東経135度13分26秒","兵庫県神戸市中央区神戸空港","商業","日本","関西エアポート神戸","5.486m(18ft)","09/27","7:00 - 23:00","www.kairport.co.jpwww.kairport.co.jp/eng/index.html（英語）","156.5ha","2006年2月16日","","","","大阪市","","","","",""
"南紀白浜空港","[南紀白浜空港] 南紀白浜温泉 の温泉街を含む 白浜町 中心部から、南東に約1.5キロメートルの丘陵地に位置する地方管理空港で、和歌山県が設置・管理する。和歌山県唯一の空港で、 本州 最南端の空港である  。","https://ja.wikipedia.org/wiki/南紀白浜空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度39分44秒東経135度21分52秒","和歌山県西牟婁郡白浜町2926番地","商業","日本","和歌山県","89.4m","15/33","8:30 - 20:00","南紀白浜空港","74.1ha","1968年4月","","","","","","","","",""
"隠岐空港","[隠岐空港] 隠岐空港 （おきくうこう, Oki Airport ）は、 島根県 隠岐郡 隠岐の島町 （ 島後島 ）にある 地方管理空港 。 島前 地域を含めた 隠岐諸島 における唯一の空港である。「 隠岐世界ジオパーク空港 」の愛称がつけられている。","https://ja.wikipedia.org/wiki/隠岐空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度10分52秒東経133度19分29秒","島根県隠岐郡隠岐の島町","商業","日本","島根県","79.9m(262ft)","08/26","9:00 - 17:00","","","","","","","","","","","",""
"美保飛行場","[美保飛行場] 美保飛行場 （みほひこうじょう）は、 鳥取県 境港市 （敷地の一部は 米子市 ）にある 飛行場 （ 空港 ）である。","https://ja.wikipedia.org/wiki/美保飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度29分32秒東経133度14分11秒","鳥取県境港市、米子市","軍民共用","日本","航空自衛隊","6m(20ft)","07/25","7:00 - 22:00","米子鬼太郎空港","","","","","防衛省","","","","1943年","",""
