"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","交差物件","全長","形式","幅","建設","最大支間長","材料","路線名","用途","高さ","管理者","開通","竣工","着工","施工者","起点","終点"
"吉野川大橋","[吉野川大橋（徳島県徳島市）] 吉野川大橋 （よしのがわおおはし）は 一級河川 ・ 吉野川 の河口にかかる連続鋼床版箱桁橋である  。","https://ja.wikipedia.org/wiki/吉野川大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度5分26.1秒 東経134度34分7.8秒","徳島市（東吉野町）-徳島市（川内町）間","日本","吉野川","1,137m","","","1968-1999年","","","","","","","","","","","",""
"阿波しらさぎ大橋","[阿波しらさぎ大橋（徳島県徳島市）] 阿波しらさぎ大橋 （あわしらさぎおおはし）は、 吉野川 の 河口 から約1.8km上流にかかる 橋梁 。 徳島県 徳島市 住吉 六丁目（右岸）と徳島市 川内町 鶴島（左岸）とを結び、 東環状線 整備計画の要となっており、 徳島県道29号徳島環状線 が通る。橋長1,291mは、河川に架かる道路橋としては 四国 最長  。","https://ja.wikipedia.org/wiki/阿波しらさぎ大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度05分01秒 東経134度34分54秒","徳島県徳島市住吉六丁目（右岸） - 徳島市川内町鶴島（左岸）","日本","吉野川","1,380m","ラーメン鈑桁橋およびケーブルイグレット鈑桁橋","26.3m〜32.3m","","","","","","","","","","","","",""
"鞘橋","[鞘橋（琴平町）] 鞘橋 （さやばし）は、 香川県 仲多度郡 琴平町 を流れる 金倉川 に架かる 橋 。銅ぶき、両妻 唐破風 （りょうづまからはふう）、上屋根 千鳥破風 の 屋根付橋 である。","https://ja.wikipedia.org/wiki/鞘橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度11分8.3秒東経133度49分18秒","香川県仲多度郡琴平町","日本","金倉川","23.6m","桁橋","4.5m","","","木造","","","","","","","","","",""
"長浜大橋","[長浜大橋現存する道路開閉橋として日本最古] 長浜大橋 （ながはまおおはし）は、 愛媛県 大洲市 の 肱川 河口にある 道路橋 。全体が赤く塗られていることから、地元では「 赤橋 」の愛称で親しまれている。2009年に 経済産業省 の「 近代化産業遺産 」に認定された。2014年12月10日に国の 重要文化財 に指定された  。","https://ja.wikipedia.org/wiki/長浜大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯33度36分36.0秒 東経132度28分47.2秒","","","","","","","","","","","","","","","","","","",""
"播磨屋橋","[播磨屋橋（高知県高知市）] 播磨屋橋 （はりまやばし）は、 高知市 中心部にある道路 橋 で、長さ約20mの桁橋である。俗に、ひらがなで はりまや橋 と表記されることも多い。","https://ja.wikipedia.org/wiki/播磨屋橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯33度33分35.8秒東経133度32分33.5秒","高知県高知市はりまや町一丁目","日本","","約20m","","","","","","","","","","","","","","",""
"手結港可動橋","[手結港可動橋（香南市）] 手結港可動橋 （ていこうかどうきょう）は、 高知県 香南市 夜須町手結の跳開式 可動橋 で正式には高知県手結港 臨港道路 可動橋。 手結港 のシンボルである  。","https://ja.wikipedia.org/wiki/手結港可動橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯33度31分42秒 東経133度45分23秒","","","","","","","","","","","","","","","","","","",""
"筑後川","[筑後川#水運と橋梁] 筑後川 （ちくごがわ）は、 阿蘇山 を水源として 九州地方 北部を東から西に熊本・大分・福岡・佐賀の4県を流れ 有明海 に注ぐ 川 である。","https://ja.wikipedia.org/wiki/筑後川#水運と橋梁","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大淀川","[大淀川#橋梁] 大淀川 （おおよどがわ）は、 宮崎県 ・ 鹿児島県 内を流れ 太平洋 （ 日向灘 ・ フィリピン海 ）に注ぐ大淀川 水系 の本流であり宮崎県を代表する 河川 である。","https://ja.wikipedia.org/wiki/大淀川#橋梁","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"若戸大橋","[若戸大橋（福岡県北九州市）] 若戸大橋 （わかとおおはし）は、 福岡県 北九州市 洞海湾 にかかる 戸畑区 と 若松区 を結ぶ 橋 。 日本道路公団 が建設し、 北九州市道路公社 が管理する 有料道路　(2018/12/01無料化) の名称でもあった。現在は全線が 国道199号 に属する。日本の長大橋の始まりで建設当時は東洋一の吊橋だった。 ETC は 北九州高速道路 への乗継ぎの場合のみ利用可能であった。","https://ja.wikipedia.org/wiki/若戸大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯33度54分9.2秒東経130度49分1.2秒","福岡県北九州市（戸畑区-若松区間）","日本","響灘（洞海湾）","627 m","吊橋","19.6 m（道路幅員15.2 m）","横河ブリッジ","367 m","鋼","","","84.2 m","","","","","","",""
"常盤橋 (紫川)","[常盤橋（福岡県北九州市）] 常盤橋 （ときわばし）は、 福岡県 北九州市 小倉北区 の 紫川 に架かる 橋 で、 日本百名橋 に選ばれた。 長崎街道 、中津街道、秋月街道、門司往還の起・終点でもあった。","https://ja.wikipedia.org/wiki/常盤橋_(紫川)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯33度53分10.8秒東経130度52分38.9秒","福岡県北九州市","日本","紫川","85m","三径間連続桁","7.2m","1995年","","ボンゴシ、チークの木材","","","","","","","","","",""
"荒津大橋","[荒津大橋（福岡県福岡市）] 荒津大橋 （あらつおおはし）は、 福岡市 中央区 の那の津3丁目と荒津1丁目の間の 博多漁港 の 博多港 に架かる 斜張橋 である。 1987年 （ 昭和 62年）に完成し、 1988年 （昭和63年） 10月 に開通した。","https://ja.wikipedia.org/wiki/荒津大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯33度36分0秒東経130度23分2秒","福岡県福岡市中央区","日本","博多港","345m","3径間連続斜張橋","16.6m（片側2車線）","三菱重工鉄構エンジニアリング","184.2m","","","","39m","","","","","","",""
"筑後川昇開橋","[筑後川昇開橋現存する昇開橋として日本最古] 筑後川昇開橋 （ちくごがわしょうかいきょう、 Chikugo River Lift bridge ）は、 日本国有鉄道 （国鉄） 佐賀線 に存在し、 筑後川 をまたいで 福岡県 大川市 と 佐賀県 佐賀市 諸富町 （廃線時・ 佐賀郡 諸富町）を結んでいた 鉄道 用 可動式橋梁 である。佐賀線の 廃線 後も保存され、現在は 歩道橋 として活用されている。 旧筑後川橋梁（筑後川昇開橋） として 重要文化財 および 機械遺産 に指定されている。","https://ja.wikipedia.org/wiki/筑後川昇開橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯33度12分54秒 東経130度21分43秒","","","","","","","","","","","","","","","","","","",""
"筑後川昇開橋","[筑後川昇開橋現存する昇開橋として日本最古] 筑後川昇開橋 （ちくごがわしょうかいきょう、 Chikugo River Lift bridge ）は、 日本国有鉄道 （国鉄） 佐賀線 に存在し、 筑後川 をまたいで 福岡県 大川市 と 佐賀県 佐賀市 諸富町 （廃線時・ 佐賀郡 諸富町）を結んでいた 鉄道 用 可動式橋梁 である。佐賀線の 廃線 後も保存され、現在は 歩道橋 として活用されている。 旧筑後川橋梁（筑後川昇開橋） として 重要文化財 および 機械遺産 に指定されている。","https://ja.wikipedia.org/wiki/筑後川昇開橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯33度12分54秒 東経130度21分43秒","","","","","","","","","","","","","","","","","","",""
"大島大橋 (長崎県)","[大島大橋（長崎県西海市）] 大島大橋 （おおしまおおはし）は、 長崎県 西海市 にあり、 西彼杵半島 と同市大島町の 寺島 を結ぶ 斜張橋 である。","https://ja.wikipedia.org/wiki/大島大橋_(長崎県)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯33度2分15秒東経129度38分33秒","長崎県西海市","日本","五島灘","1,095m","鋼斜張橋","9.75m","","350m","","","","126m","","","","","","",""
"西海橋","[西海橋（長崎県西海市）] 西海橋 （さいかいばし）は、 長崎県 佐世保市 針尾島 と 西海市 西彼町 の間にある伊ノ浦瀬戸（ 針尾瀬戸 ）に架かる アーチ橋 である。完成当時は固定アーチ橋としては世界で三番目の長さを誇り、 東洋 一と評された  。2020年に国の 重要文化財 に指定   。","https://ja.wikipedia.org/wiki/西海橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯33度3分11秒東経129度45分28秒","佐世保市-西海市間","日本","針尾瀬戸","316.26m","上路式鋼ブレースドリブ固定アーチ橋","8.1m","1951年-1955年","243.7m","鋼","","","43.0m（海面高）","","","","","","",""
"新西海橋","[新西海橋（長崎県西海市）] 新西海橋 （しんさいかいばし）は、 長崎県 佐世保市 の 針尾島 と 西海市 との間にある伊ノ浦瀬戸（ 針尾瀬戸 ）にかかる 橋梁 である。後述するように、建設時の仮称は 第二西海橋 であったため  、地元ではそのまま「第二西海橋」と呼ばれることも多い。","https://ja.wikipedia.org/wiki/新西海橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平戸大橋","[平戸大橋（長崎県平戸市）] 平戸大橋 （ひらどおおはし）は、 長崎県 平戸市 にある 平戸島 と 本土部 を隔てる 平戸瀬戸 に架かる 吊橋 である。","https://ja.wikipedia.org/wiki/平戸大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯33度21分23秒東経129度34分21秒","平戸市岩の上町-同市田平町小手田免間","日本","平戸瀬戸","665m","吊橋","10.7m","1973-1977年","","","","","30m（桁下）","","","","","","",""
"女神大橋","[女神大橋（長崎県長崎市）] 長崎女神大橋 （ながさきめがみおおはし）は、 長崎県 長崎市 の 長崎県道51号長崎南環状線 および臨港道路女神大橋線  にある 斜張橋 。両側に歩道が設けられている（自転車通行と共用）。","https://ja.wikipedia.org/wiki/女神大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯32度43分17秒東経129度50分58.3秒","長崎市","日本","","1,289 m（斜張橋部880 m + 取付高架橋部409 m）","斜張橋","","1994年度 - 2005年度","480 m","鋼","","","170 m （主塔）","","","","","","",""
"天草五橋","[天草五橋天門橋（熊本県宇城市、上天草市）など] 天草五橋 （あまくさごきょう）は、 熊本県 宇土半島 先端の 三角 （みすみ）から、 天草諸島 の 大矢野島 、 永浦島 、池島、 前島 を経て 天草上島 までを5つの橋で結ぶ 宇城市 から 上天草市 にかけての連絡道路である  。 1966年 （昭和41年） 9月24日 に開通した。","https://ja.wikipedia.org/wiki/天草五橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯32度32分13.2秒東経130度25分23.3秒","熊本県天草市","日本","有明海","502 m（一号橋（天門橋））249 m（二号橋（大矢野橋））361 m（三号橋（中の橋））510 m（四号橋（前島橋））178 m（五号橋（松島橋））","","8.3 m（一号橋）8 m（二号橋 - 五号橋）","1966年","","","","","","","","","","","",""
"天門橋","[天門橋（熊本県宇城市、上天草市）など] 天門橋 （てんもんきょう）は、 熊本県 宇城市 の 宇土半島 と同県 上天草市 の 大矢野島 との間の 三角ノ瀬戸 に架かる 橋 である。 天草五橋 の1号橋とされている。また、 国道266号 の一部となっている。","https://ja.wikipedia.org/wiki/天門橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯32度36分41.2秒 東経130度27分32.3秒","","","","","","","","","","","","","","","","","","",""
"大甲橋","[大甲橋] 大甲橋 （たいこうばし  ）は 熊本県 熊本市 中央区 の市街地の中心部、 白川 に架かる 熊本県道28号熊本高森線 と 熊本市電水前寺線 の路面電車の併用 橋 。名前は1924年（ 大正 13年）、 甲子 （きのえね）の年に建設されたことに因む。同年7月竣工した  。鉄筋コンクリートT 桁橋  。橋種：鋼橋、形式：鈑桁橋  熊本市内を流れる白川は 天井川 となっていてこの橋の部分が高いのが特徴的  。","https://ja.wikipedia.org/wiki/大甲橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯32度48分6秒 東経130度42分52.6秒","","","","","","","","","","","","","","","","","","",""
"祇園橋","[祇園橋] 祇園橋 （ぎおんばし）は、 熊本県 天草市 の 町山口川 に架かる 石橋 で、 日本百名橋 に選ばれた。","https://ja.wikipedia.org/wiki/祇園橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯32度27分23秒東経130度11分17秒","熊本県天草市","日本","町山口川","28.6m","10径間桁橋構造","3.3m","1832年","","砂岩","","","","","","","","","",""
"長六橋","[長六橋] 長六橋 （ちょうろくばし）とは、 熊本県 中央の 白川 に架かる、 国道3号 の橋の一つである。最初に作られたのは1601年（ 慶長 6年）で、 加藤清正 が 熊本藩 中部を流れる白川に唯一架けた橋で、この名がある  。当時は城下町南方面の防備の必要から、白川に架かる橋はこの橋しかなかった。その後、流失も多く、架け替えがあったが  、昭和2年に 川尻電車 の路面電車併用の鉄橋が完成した。この時は当時最新型の トラス ・タイド・ アーチ橋 (Truss tied arch bridge) であった。その後、平成2年にPC 桁橋 に建替えられた。","https://ja.wikipedia.org/wiki/長六橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯32度47分41秒 東経130度42分07秒","熊本県熊本市中央区","日本","白川","123.2m","PC3径間連続箱桁橋","22.0m","","","","一般国道3号","","","","1991年（平成3年）4月23日","1990年（平成2年）10月","1983年（昭和58年）","建設省九州地方建設局","",""
"別府明礬橋","[別府明礬橋] 1989年 （平成元年）の竣工当時は、「東洋一」と謳われた日本最長のアーチ支間（235.0m）を有するコンクリートアーチ橋であった。","https://ja.wikipedia.org/wiki/別府明礬橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯33度19分03.0秒東経131度27分20.7秒"," 大分県別府市大字鶴見（明礬）地内","日本","国道500号、明礬温泉、湯の川","全長411.0 m（うち、アーチ橋部351.0 m, ラーメン橋部60.0 m）","RC固定アーチ橋2径間連続PCラーメン橋","21.40m","","235.0 m","防食鉄筋プレストレスト・コンクリート合成構造メラン材エポキシ樹脂モルタルCFRP（補強材）石灰混和土（土壌改良剤）","E10東九州自動車道","高速自動車国道専用道路橋（第1種第3級A規格）","約50m","西日本高速道路九州支社大分高速道路事務所","1989年（平成元年）7月20日","1989年（平成元年）6月","1985年（昭和60年）9月","鹿島建設・住友建設JV","",""
"府内大橋","[府内大橋] 府内大橋 （ふないおおはし）は、 大分県 大分市 の 大分川 に架かる 橋 である。 国道10号 および 国道210号 （重複区間）の一部を構成する。","https://ja.wikipedia.org/wiki/府内大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","大分市","日本","大分川","(1) 272m(2) 276m","(2) 連続箱桁橋","(1) 8m(2) 10.5m","1960年、1979年","(2) 81.2m","","","","","","","","","","",""
"耶馬渓橋","[耶馬渓橋石造アーチ橋として日本最長] 耶馬渓橋 （やばけいばし）は、 大分県 中津市 本耶馬渓町 の 山国川 水系山国川に架かる石造 アーチ橋 である。","https://ja.wikipedia.org/wiki/耶馬渓橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"九重&quot;夢&quot;大吊橋","[九重\"夢\"大吊橋（大分県玖珠郡九重町）] 九重“夢”大吊橋 （ここのえ“ゆめ”おおつりはし）は、 大分県 玖珠郡 九重町 にある 歩行者 専用の 吊橋 。日本一高い 歩行者専用橋 である  。","https://ja.wikipedia.org/wiki/九重\"夢\"大吊橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯33度10分26秒東経131度13分36秒","大分県玖珠郡九重町","日本","","390m","","","","","","","","173m","","","","","","",""
"橘橋","[橘橋（宮崎県宮崎市）] 橘橋 （たちばなばし）は、 大淀川 に架かる 国道220号 の橋であり 宮崎県 宮崎市 の市街地を南北に結ぶ。","https://ja.wikipedia.org/wiki/橘橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"寺迫ちょうちょ大橋","[寺迫ちょうちょ大橋(宮崎県日向市) - バタフライウェブ工法を実用化した世界初の橋] 寺迫ちょうちょ大橋 （てらさこちょうちょおおはし）は 宮崎県 日向市 東郷町 山陰字日平と山陰字山ノ口に架かる 東九州自動車道 の 橋 である。建設時の名称は 田久保川橋 （たくぼがわはし）。2013年 土木学会田中賞  、 プレストレストコンクリート工学会 賞  。2018年 国際コンクリート連合 fib賞 土木構造物部門最優秀賞  。","https://ja.wikipedia.org/wiki/寺迫ちょうちょ大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯32度18分51.5秒東経131度34分23秒"," 宮崎県日向市東郷町山陰字日平 - 山 陰字山ノ口","日本","田久保川","712.5m","10径間連続バタフライウェブ箱桁橋（10径間連続ラーメン箱桁）","9.26 m","","87.5 m","プレストレスト・コンクリート、高強度繊維補強コンクリート、PC鋼材","E10東九州自動車道","","","西日本高速道路九州支社","2014年（平成26年）3月16日","2013年（平成25年）8月2日","2010年（平成22年）8月19日","三井住友建設（PC上部工）植村組（下部工）","",""
"天翔大橋","[天翔大橋(宮崎県西臼杵郡日之影町) - 水面高、アーチ径間がともにコンクリートアーチ橋で国内最大] 天翔大橋 （てんしょうおおはし）は 宮崎県 西臼杵郡 日之影町 岩井川に所在し、 五ヶ瀬川 に架かる 橋 である  。建設時の名称は 高松大橋 （たかまつおおはし）。日本最大の鉄筋コンクリート固定 アーチ橋 であり  、アーチスパン260メートル (m)、水面から橋面までの高さ143 mはともに鉄筋コンクリート造橋の中で国内最大である  。","https://ja.wikipedia.org/wiki/天翔大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯32度40分56.0秒東経131度19分54.8秒"," 宮崎県西臼杵郡日之影町岩井川","日本","五ヶ瀬川宮崎県道205号向山日之影線宮崎県道237号北方高千穂線","463.2m","鉄筋コンクリート固定アーチ橋","8.75 m","","260 m","コンクリート・鋼材","ふるさと農道 松の木地区","","143 m（水面高）","宮崎県","","2000年7月5日","1996年3月14日","大成、川田JV","",""
"かりこぼうず大橋","[かりこぼうず大橋（宮崎県児湯郡西米良村） - 木造車用橋としては全長および支間長において国内最大] かりこぼうず大橋 （かりこぼうずおおはし）は、 宮崎県 児湯郡 西米良村 大字村所字田無瀬に所在し 一ツ瀬川 に架かる、 林道 小山重（こざえ）線を通す全長140.0メートルの 橋 である。 木造 のキングポスト トラス橋 3連と 桁橋 1連で構成され、日本国内では 木造車道橋 として全長および支間長が最大である  。","https://ja.wikipedia.org/wiki/かりこぼうず大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯32度13分13.8秒東経131度10分13秒","宮崎県児湯郡西米良村大字村所字田無瀬","日本","一ツ瀬川","140.0メートル","15 m単純桁橋×1+50 mキングポストトラス×2+25 mキングポストトラス×1","11.4メートル","","48.2メートル","スギ構造用集成材1,335立方メートル、PC鋼棒305トン","林道小山重線","道路橋","","宮崎県","2003年（平成15年）4月17日","2003年（平成15年）3月","2001年（平成13年）9月","大和開発、伊達組、駒井鉄工、清本鐵工","",""
"青雲橋","[青雲橋(宮崎県西臼杵郡日之影町)] 青雲橋 （せいうんばし）は 宮崎県 西臼杵郡 日之影町 にある、 五ヶ瀬川 支流の 日之影川 に架かる 国道218号 の橋である。","https://ja.wikipedia.org/wiki/青雲橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯32度39分33.9秒東経131度23分24.5秒","宮崎県西臼杵郡日之影町大字七折","日本","日之影川","410m","鋼上路式スパンドレルブレースド・アーチ橋","12 m","","","鋼材","国道218号","","137m（水面高）","宮崎県","","1984年11月","1974年7月","","",""
"泊高橋","[泊高橋（那覇市）] 泊高橋 （とまりたかはし）は、 沖縄県 を流れる 安里川 河口に架かる 橋 であり、 那覇市 泊と前島に跨る。 国道58号 那覇市内の要所で、交差点やバス停の名称にもなっている。","https://ja.wikipedia.org/wiki/泊高橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯26度13分31.0秒 東経127度41分06.3秒","","","","","","","","","","","","","","","","","","",""
"明治橋 (那覇市)","[明治橋 (那覇市)] 明治橋 （めいじばし）は 沖縄県 那覇市 にある長さ128m、片側3車線の橋で、北側に通堂町と東町、南側に奥武山町と垣花町がそれぞれ接している。 那覇空港 ・ 沖縄本島 南部と那覇市街地・沖縄本島中北部とを結ぶ沖縄県の大動脈といえる道路橋で、橋の南端部は 国道58号 と 国道332号 の終点（後者は国道331号と重複）、 国道331号 の起点（ 1993年 3月までは終点）となっており、道路中央にはそれを示す モニュメント がある。 明治 時代の 1883（明治16）年 に最初の橋が完成、現在の橋は4代目（戦後2代目）で 1987（昭和62）年 3月に完成した。","https://ja.wikipedia.org/wiki/明治橋_(那覇市)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯26度12分30秒東経127度40分28秒","沖縄県那覇市","日本","国場川","128.0m","単純T桁橋","31.5m","初代：1883年4代目：1987年","45.0m","プレストレスト・コンクリート","","","","","","","","","",""
"池間大橋","[池間大橋（宮古島市）] 池間大橋 （いけまおおはし）は、 沖縄県 宮古島市 北西部に位置し 宮古島 と 池間島 とを結ぶ全長1,425mの 橋 。 1992年 2月14日に開通した。 1995年 3月に 来間大橋 が開通するまでは、沖縄県内最長の橋であった。","https://ja.wikipedia.org/wiki/池間大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯24度55分08秒 東経125度15分43秒","","","","","","","","","","","","","","","","","","",""
"来間大橋","[来間大橋（宮古島市）] 来間大橋 （くりまおおはし）は、 沖縄県 宮古島市 南西部に位置し 宮古島 と 来間島 とを結ぶ全長1,690mの 橋 。 1995年 3月13日 に開通した。","https://ja.wikipedia.org/wiki/来間大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯24度43分34秒 東経125度15分52秒","","","","","","","","","","","","","","","","","","",""
"古宇利大橋","[古宇利大橋（名護市-今帰仁村）] 沖縄県道247号古宇利屋我地線 （おきなわけんどう247ごう こうりやがじせん）は 沖縄県 国頭郡 今帰仁村 の古宇利島と 名護市 屋我地島 の済井出（すむいで）とを結ぶ 一般県道 である。路線の目的でありシンボルの 古宇利大橋 がある。","https://ja.wikipedia.org/wiki/古宇利大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯26度41分13.4秒 東経128度01分03.2秒","","","","","","","","","","","","","","","","","","国頭郡今帰仁村字古宇利（古宇利島、古宇利港）","名護市字済井出（屋我地島、沖縄県道110号線）"
"伊良部大橋","[伊良部大橋（宮古島市）] 伊良部大橋 （いらぶおおはし）は、 日本 の 沖縄県 宮古島市 の 宮古島 と 伊良部島 とを結ぶ 橋 である。","https://ja.wikipedia.org/wiki/伊良部大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯24度47分57秒東経125度14分0秒","沖縄県宮古島市","日本","東シナ海","3,540m（本橋部）","一般部：PC連続箱桁橋主航路部：鋼床版箱桁橋","8.5 m","","180 m","プレストレスト・コンクリート・鋼","","","","","2015年（平成27年）1月31日","","2006年（平成18年）3月18日","","",""
"東北自動車道","[東北自動車道#主なトンネルと橋] 東北自動車道 （とうほくじどうしゃどう、TOHOKU EXPRESSWAY）は、 埼玉県 川口市 の 川口ジャンクション (JCT) から 青森県 青森市 の 青森インターチェンジ (IC) へ至る日本最長の 高速道路 （ 高速自動車国道 ）である。略称は 東北道 （とうほくどう、TOHOKU EXPWY）  。","https://ja.wikipedia.org/wiki/東北自動車道#主なトンネルと橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","埼玉県川口市（川口JCT）","青森県青森市（青森IC）"
"常磐自動車道","[常磐自動車道#トンネルと橋] 常磐自動車道 （じょうばんじどうしゃどう、JOBAN EXPRESSWAY）は、 埼玉県 三郷市 の 三郷ジャンクション (JCT) から、 千葉県 、 茨城県 、 福島県 を経由し 宮城県 亘理町 の 亘理インターチェンジ (IC) に至る 高速道路 （ 高速自動車国道 ）である。 略称 は 常磐道 （じょうばんどう、JOBAN EXPWY）  。","https://ja.wikipedia.org/wiki/常磐自動車道#トンネルと橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","埼玉県三郷市（三郷IC/JCT）","宮城県亘理郡亘理町（亘理IC）"
"東名高速道路","[東名高速道路#主なトンネルと橋] 東名高速道路 （とうめいこうそくどうろ、Tomei  Expressway）は、 東京都 世田谷区 の 東京インターチェンジ (IC) から、 神奈川県 ・ 静岡県 を 経由 し、 愛知県 小牧市 の 小牧IC へ至る 高速道路 （ 高速自動車国道 ）である。通称 東名高速 （とうめいこうそく、Tomei  Expwy）、 東名 （とうめい）、 新東名高速道路 と特に区別する場合には 旧東名・現東名 など。NEXCO中日本の公式的呼称は 東名 と 現東名 。法令上の正式な路線名は 第一東海自動車道 である  。また、 アジアハイウェイ1号線 「AH1」の一部である。","https://ja.wikipedia.org/wiki/東名高速道路#主なトンネルと橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","東京都世田谷区（東京IC）","愛知県小牧市（小牧IC）"
"名神高速道路","[名神高速道路#主なトンネルと橋] 名神高速道路 （めいしんこうそくどうろ、MEISHIN EXPRESSWAY）は、 愛知県 小牧市 の 小牧インターチェンジ (IC) を起点とし、 岐阜県 、 滋賀県 、 京都府 、 大阪府 を 経由 し 兵庫県 西宮市 の 西宮IC へ至る、 高速道路 （ 高速自動車国道 ）である。通称 名神高速 （めいしんこうそく、MEISHIN EXPWY）、 名神 （めいしん）、 新名神高速道路 と特に区別する場合には 旧名神 ・ 現名神 など。なお、小牧IC - 吹田ジャンクション (JCT) 間は アジアハイウェイ1号線 「AH1」にも指定されている。","https://ja.wikipedia.org/wiki/名神高速道路#主なトンネルと橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","愛知県小牧市（小牧IC）","兵庫県西宮市（西宮IC）"
"新名神高速道路のトンネルと橋","[新名神高速道路のトンネルと橋] 新名神高速道路のトンネルと橋 （しんめいしんこうそくどうろのトンネルとはし）は、 新名神高速道路 にある、 トンネル と 橋 についてまとめた項である。","https://ja.wikipedia.org/wiki/新名神高速道路のトンネルと橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
