"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","種類","本社所在地","設立","業種"
"二条駅","二条駅（にじょうえき・西日本旅客鉄道山陰本線・京都市営地下鉄東西線）","https://ja.wikipedia.org/wiki/二条駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）京都市交通局（京都市営地下鉄・駅詳細）","","","京都市中京区西ノ京栂尾町","","","","","","","","","","","","",""
"二上山駅","二上山駅（にじょうざんえき）","https://ja.wikipedia.org/wiki/二上山駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度32分20.71秒東経135度41分9.49秒","F南大阪線","27.3 km（大阪阿部野橋起点）","近畿日本鉄道（近鉄）","地上駅","1929年（昭和4年）3月29日","奈良県香芝市畑四丁目106-2北緯34度32分20.71秒東経135度41分9.49秒﻿ / ﻿北緯34.5390861度 東経135.6859694度﻿ /34.5390861; 135.6859694座標:北緯34度32分20.71秒東経135度41分9.49秒﻿ / ﻿北緯34.5390861度 東経135.6859694度﻿ /34.5390861; 135.6859694","2面2線",""," F19 ","ニヤ","643人/日（降車客含まず）-2018年-","","","","","","","",""
"二条城前駅","二条城前駅（にじょうじょうまええき）","https://ja.wikipedia.org/wiki/二条城前駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度0分42.81秒東経135度45分1.71秒","東西線","14.3 km（六地蔵起点）","京都市交通局（京都市営地下鉄）","地下駅","1997年（平成9年）10月12日","京都市中京区二条城町北緯35度0分42.81秒東経135度45分1.71秒﻿ / ﻿北緯35.0118917度 東経135.7504750度﻿ /35.0118917; 135.7504750座標:北緯35度0分42.81秒東経135度45分1.71秒﻿ / ﻿北緯35.0118917度 東経135.7504750度﻿ /35.0118917; 135.7504750","1面2線","","●T14","","","10,048人/日-2019年-","","","","","","",""
"二上神社口駅","二上神社口駅（にじょうじんじゃぐちえき）","https://ja.wikipedia.org/wiki/二上神社口駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度31分55.29秒東経135度41分39.39秒","F南大阪線","28.4 km（大阪阿部野橋起点）","近畿日本鉄道（近鉄）","地上駅","1929年（昭和4年）3月29日","奈良県葛城市加守544北緯34度31分55.29秒東経135度41分39.39秒﻿ / ﻿北緯34.5320250度 東経135.6942750度﻿ /34.5320250; 135.6942750座標:北緯34度31分55.29秒東経135度41分39.39秒﻿ / ﻿北緯34.5320250度 東経135.6942750度﻿ /34.5320250; 135.6942750","2面2線","無人駅"," F20 ","ニクチ","430人/日（降車客含まず）-2018年-","","","","","","","",""
"西横浜駅","西横浜駅（にしよこはまえき）","https://ja.wikipedia.org/wiki/西横浜駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度27分12秒東経139度36分30秒","本線","1.8 km（横浜起点）","相模鉄道","地上駅","1929年（昭和4年）2月14日","横浜市西区西平沼町8番1号北緯35度27分12秒東経139度36分30秒﻿ / ﻿北緯35.45333度 東経139.60833度﻿ /35.45333; 139.60833座標:北緯35度27分12秒東経139度36分30秒﻿ / ﻿北緯35.45333度 東経139.60833度﻿ /35.45333; 139.60833","1面2線","","SO03","ニヨ","","14,530人/日-2018年-","","","","","","",""
"西吉井駅","西吉井駅（にしよしいえき）","https://ja.wikipedia.org/wiki/西吉井駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度15分20.62秒東経138度57分58.01秒","上信線","13.4 km（高崎起点）","上信電鉄","地上駅","1971年（昭和46年）12月15日","群馬県高崎市吉井町長根1367-34北緯36度15分20.62秒東経138度57分58.01秒座標:北緯36度15分20.62秒 東経138度57分58.01秒","単式　1面1線","無人駅","","","140人/日（降車客含まず）-2019年-","","","","","","","",""
"西米沢駅","西米沢駅（にしよねざわえき）","https://ja.wikipedia.org/wiki/西米沢駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯37度55分2.81秒東経140度5分5.41秒","■米坂線","6.5 km（米沢起点）","東日本旅客鉄道（JR東日本）","地上駅","1926年（大正15年）9月28日","山形県米沢市直江町4-92北緯37度55分2.81秒東経140度5分5.41秒座標:北緯37度55分2.81秒 東経140度5分5.41秒","1面1線","無人駅","","ニヨ","245人/日（降車客含まず）-2004年-","","","","","","","",""
"西4丁目停留場","西4丁目停留場（にしよんちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/西4丁目停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯43度3分32.1秒東経141度21分7秒","都心線","0.449 km（すすきの起点）","札幌市交通局（札幌市電）","地上駅（停留場）","1918年（大正7年）8月12日","札幌市中央区南1条西4丁目北緯43度3分32.1秒東経141度21分7秒﻿ / ﻿北緯43.058917度 東経141.35194度﻿ /43.058917; 141.35194座標:北緯43度3分32.1秒東経141度21分7秒﻿ / ﻿北緯43.058917度 東経141.35194度﻿ /43.058917; 141.35194","2面2線","","○SC01","","","12,610[1]人/日-2019年-","大通駅（札幌市営地下鉄南北線(N07)、東西線(T09)、東豊線(H08)） - 乗継指定駅すすきの駅（札幌市営地下鉄南北線 (N08)） - 乗継指定駅豊水すすきの駅（札幌市営地下鉄東豊線 (H09)） - 乗継指定駅","","","","","",""
"西留辺蘂駅","西留辺蘂駅（にしるべしべえき）","https://ja.wikipedia.org/wiki/西留辺蘂駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯43度47分7.38秒東経143度36分12.18秒","■石北本線","156.2 km（新旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","2000年（平成12年）4月1日","北海道北見市留辺蘂町旭334番地1北緯43度47分7.38秒東経143度36分12.18秒","1面1線","無人駅","○A55","ニル","","","","","","","","",""
"西若松駅","西若松駅（にしわかまつえき）","https://ja.wikipedia.org/wiki/西若松駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯37度29分9.7秒東経139度54分51.1秒","■会津鉄道会津線","0.0 km（西若松起点）","会津鉄道東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1926年（大正15年）10月15日","福島県会津若松市材木町一丁目4-1北緯37度29分9.7秒東経139度54分51.1秒﻿ / ﻿北緯37.486028度 東経139.914194度﻿ /37.486028; 139.914194座標:北緯37度29分9.7秒東経139度54分51.1秒﻿ / ﻿北緯37.486028度 東経139.914194度﻿ /37.486028; 139.914194","2面3線","共同使用駅（改札業務は会津鉄道が担当）業務委託駅","","ニシ","（JR東日本）-2019年-586人/日（降車客含まず）（会津鉄道）-2016年-216人/日（降車客含まず）","","","","","","","",""
"西脇市駅","西脇市駅（にしわきしえき）","https://ja.wikipedia.org/wiki/西脇市駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度58分19.43秒東経134度58分8.64秒","I加古川線*","31.2[1] km（加古川起点）","西日本旅客鉄道（JR西日本）","地上駅[1]","1913年（大正2年）10月22日","兵庫県西脇市野村町962[1]北緯34度58分19.43秒東経134度58分8.64秒座標:北緯34度58分19.43秒 東経134度58分8.64秒","2面3線[1]","業務委託駅みどりの窓口有[2]","","ワキ","822人/日（降車客含まず）-2019年-","","","","","","","",""
"西早稲田駅","西早稲田駅（にしわせだえき）","https://ja.wikipedia.org/wiki/西早稲田駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度42分28.6秒東経139度42分32.5秒","●[1]副都心線","14.6 km（和光市起点）","東京地下鉄（東京メトロ）","地下駅","2008年（平成20年）6月14日[2][3]","東京都新宿区戸山三丁目18-2北緯35度42分28.6秒東経139度42分32.5秒﻿ / ﻿北緯35.707944度 東経139.709028度﻿ /35.707944; 139.709028﻿ (西早稲田駅)座標:北緯35度42分28.6秒東経139度42分32.5秒﻿ / ﻿北緯35.707944度 東経139.709028度﻿ /35.707944; 139.709028﻿ (西早稲田駅)","1面2線","","F11[1]","ニワ","","39,863人/日-2019年-","","","","","","",""
"西和田駅","西和田駅（にしわだえき）","https://ja.wikipedia.org/wiki/西和田駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯43度16分4.9秒東経145度32分30.72秒","根室本線（花咲線）","433.6 km（滝川起点）","北海道旅客鉄道（JR北海道）","地上駅","1920年（大正9年）11月10日","北海道根室市西和田北緯43度16分4.9秒東経145度32分30.72秒","1面1線","無人駅","","ニシ","","4人/日-2014年-","","","","","","",""
"ニセコ駅","ニセコ駅","https://ja.wikipedia.org/wiki/ニセコ駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯42度48分31.4秒東経140度41分4.5秒","■函館本線","179.6 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1904年（明治37年）10月15日","北海道虻田郡ニセコ町字中央通北緯42度48分31.4秒東経140度41分4.5秒座標:北緯42度48分31.4秒 東経140度41分4.5秒","2面3線","簡易委託駅","○S25","カリ（狩太駅）→ニセ（ニセコ駅）","","194人/日-2018年-","","","","","","",""
"雲仙ロープウェイ","仁田峠駅（にたとうげえき）","https://ja.wikipedia.org/wiki/雲仙ロープウェイ#駅一覧","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","","","","","","","","","","","","","","","","株式会社","日本〒854-0621長崎県雲仙市小浜町雲仙551番地","1956年9月14日","運輸業"
"似内駅","似内駅（にたないえき）","https://ja.wikipedia.org/wiki/似内駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯39度24分25.12秒東経141度8分30.01秒","■釜石線","3.5 km（花巻起点）","東日本旅客鉄道（JR東日本）","地上駅","1913年（大正2年）10月25日[1]","岩手県花巻市上似内9北緯39度24分25.12秒東経141度8分30.01秒座標:北緯39度24分25.12秒 東経141度8分30.01秒","1面2線","無人駅[2]","","ニナ","","","","","","","","",""
"日前宮駅","日前宮駅（にちぜんぐうえき）","https://ja.wikipedia.org/wiki/日前宮駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度13分35.3秒東経135度12分6.76秒","貴志川線","1.4 km（和歌山起点）","和歌山電鐵","地上駅","1916年（大正5年）2月15日","和歌山県和歌山市有家北緯34度13分35.3秒東経135度12分6.76秒座標:北緯34度13分35.3秒 東経135度12分6.76秒","1面2線","無人駅","○03","ニチ","","669人/日-2019年-","","","","","","",""
"日南駅","日南駅（にちなんえき）","https://ja.wikipedia.org/wiki/日南駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯31度36分10.25秒東経131度22分52.45秒","日南線","43.8 km（南宮崎起点）","九州旅客鉄道（JR九州）","地上駅","1941年（昭和16年）10月28日[1]","宮崎県日南市中央通一丁目4-17[1][2]北緯31度36分10.25秒東経131度22分52.45秒﻿ / ﻿北緯31.6028472度 東経131.3812361度﻿ /31.6028472; 131.3812361座標:北緯31度36分10.25秒東経131度22分52.45秒﻿ / ﻿北緯31.6028472度 東経131.3812361度﻿ /31.6028472; 131.3812361","1面1線[1]","簡易委託駅[3]","","ニナ","256人/日（降車客含まず）-2015年-","","","","","","","",""
"日原駅","日原駅（にちはらえき）","https://ja.wikipedia.org/wiki/日原駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度31分57.55秒東経131度49分54.79秒","■山口線","72.8 km（新山口起点）","西日本旅客鉄道（JR西日本）","地上駅","1923年（大正12年）4月1日","島根県鹿足郡津和野町枕瀬北緯34度31分57.55秒東経131度49分54.79秒﻿ / ﻿北緯34.5326528度 東経131.8318861度﻿ /34.5326528; 131.8318861座標:北緯34度31分57.55秒東経131度49分54.79秒﻿ / ﻿北緯34.5326528度 東経131.8318861度﻿ /34.5326528; 131.8318861","2面2線","簡易委託駅POS端末設置","","ニチ","41人/日（降車客含まず）-2018年-","","","","","","","",""
"二中通停留場","二中通停留場（にちゅうどおりていりゅうじょう）","https://ja.wikipedia.org/wiki/二中通停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯31度34分37.48秒東経130度33分13.17秒","鹿児島市電谷山線（1系統）","0.2km（武之橋起点）鹿児島駅前から3.3 km","鹿児島市交通局","地上駅","1929年6月9日","鹿児島県鹿児島市高麗町北緯31度34分37.48秒東経130度33分13.17秒﻿ / ﻿北緯31.5770778度 東経130.5536583度﻿ /31.5770778; 130.5536583﻿ (二中通停留場*)","2面2線","* 2015年に交通局前から改称","●I12","","","1,224人/日-2015年-","","","","","","",""
"日華化学前駅","日華化学前駅（にっかかがくまええき）","https://ja.wikipedia.org/wiki/日華化学前駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度4分51秒東経136度12分23.5秒","■三国芦原線","3.6km（福井口起点）福井から5.1km越前武生から22.4 km","えちぜん鉄道","地上駅","2007年（平成19年）9月1日[1][2][3]","福井県福井市大宮四丁目6-7北緯36度4分51秒東経136度12分23.5秒﻿ / ﻿北緯36.08083度 東経136.206528度﻿ /36.08083; 136.206528座標:北緯36度4分51秒東経136度12分23.5秒﻿ / ﻿北緯36.08083度 東経136.206528度﻿ /36.08083; 136.206528","1面1線","無人駅","○E28","","","284人/日-2018年-","","","","","","",""
"新川駅 (群馬県)","新川駅 (群馬県)（にっかわえき・上毛電気鉄道上毛線）","https://ja.wikipedia.org/wiki/新川駅_(群馬県)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度25分5.6秒東経139度15分28.24秒","■上毛線","17.7 km（中央前橋起点）","上毛電気鉄道","地上駅","1928年（昭和3年）11月10日","群馬県桐生市新里町新川2042-3北緯36度25分5.6秒東経139度15分28.24秒﻿ / ﻿北緯36.418222度 東経139.2578444度﻿ /36.418222; 139.2578444﻿ (新川駅)座標:北緯36度25分5.6秒東経139度15分28.24秒﻿ / ﻿北緯36.418222度 東経139.2578444度﻿ /36.418222; 139.2578444﻿ (新川駅)","1面1線","","","","","283人/日-2019年（令和元年）-","","","","","","",""
"日光駅","日光駅（にっこうえき）","https://ja.wikipedia.org/wiki/日光駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度44分50秒東経139度37分20秒","■日光線","40.5 km（宇都宮起点）","東日本旅客鉄道（JR東日本）","地上駅","1890年（明治23年）8月1日","栃木県日光市相生町115北緯36度44分50秒東経139度37分20秒﻿ / ﻿北緯36.74722度 東経139.62222度﻿ /36.74722; 139.62222座標:北緯36度44分50秒東経139度37分20秒﻿ / ﻿北緯36.74722度 東経139.62222度﻿ /36.74722; 139.62222","2面2線","直営駅（管理駅）みどりの窓口有","","ニコ","1,046人/日（降車客含まず）-2019年-","","","","","","","",""
"日進駅 (愛知県)","日進駅 (愛知県)（にっしんえき・名古屋鉄道豊田線）","https://ja.wikipedia.org/wiki/日進駅_(愛知県)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度7分6.3秒東経137度2分56秒","豊田線","3.0km（赤池起点）上小田井から23.4 km","名古屋鉄道","高架駅","1979年（昭和54年）7月29日","愛知県日進市栄2丁目1708北緯35度7分6.3秒東経137度2分56秒﻿ / ﻿北緯35.118417度 東経137.04889度﻿ /35.118417; 137.04889座標:北緯35度7分6.3秒東経137度2分56秒﻿ / ﻿北緯35.118417度 東経137.04889度﻿ /35.118417; 137.04889","相対式 2面2線","終日駅員配置","TT  06 ","","","10,422人/日-2019年[1]-","","","","","","",""
"日進駅 (埼玉県)","日進駅 (埼玉県)（にっしんえき・東日本旅客鉄道川越線）","https://ja.wikipedia.org/wiki/日進駅_(埼玉県)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度55分53.4秒東経139度36分22.4秒","■川越線","3.7 km（大宮起点）大崎から武蔵浦和経由で40.6 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）[1]","1940年（昭和15年）7月22日[1]","さいたま市北区日進町二丁目881北緯35度55分53.4秒東経139度36分22.4秒﻿ / ﻿北緯35.931500度 東経139.606222度﻿ /35.931500; 139.606222﻿ (日進駅)","2面2線[1]","業務委託駅","","ニン","13,770人/日（降車客含まず）-2019年-","","","","","","","",""
"日進駅 (北海道)","日進駅 (北海道)（にっしんえき・北海道旅客鉄道宗谷本線）","https://ja.wikipedia.org/wiki/日進駅_(北海道)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯44度22分54秒東経142度28分2.8秒","■宗谷本線","80.2 km（旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1959年（昭和34年）11月1日","北海道名寄市日進北緯44度22分54秒東経142度28分2.8秒","1面1線","無人駅","○W49","ニン","","","","","","","","",""
"日生中央駅","日生中央駅（にっせいちゅうおうえき）","https://ja.wikipedia.org/wiki/日生中央駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度54分23.09秒東経135度23分35.71秒","日生線","2.6km（山下起点）川西能勢口から10.8km梅田から28.0 km","能勢電鉄","橋上駅[1]","1978年（昭和53年）12月12日[1][3]","兵庫県川辺郡猪名川町松尾台1-2-2[1]北緯34度54分23.09秒東経135度23分35.71秒﻿ / ﻿北緯34.9064139度 東経135.3932528度﻿ /34.9064139; 135.3932528座標:北緯34度54分23.09秒東経135度23分35.71秒﻿ / ﻿北緯34.9064139度 東経135.3932528度﻿ /34.9064139; 135.3932528","2面2線[1]","無人駅[1]","●NS21","","","10,623人/日-2019年[2]-","","","","","","",""
"日赤病院前停留場","日赤病院前停留場（にっせきびょういんまえていりゅうじょう）","https://ja.wikipedia.org/wiki/日赤病院前停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度22分51.28秒東経132度27分21.19秒","■宇品線","1.7 km（紙屋町起点）","広島電鉄","地上駅","1912年（大正元年）11月23日","広島市中区千田町一丁目北緯34度22分51.28秒東経132度27分21.19秒﻿ / ﻿北緯34.3809111度 東経132.4558861度﻿ /34.3809111; 132.4558861﻿ (日赤病院前停留場)座標:北緯34度22分51.28秒東経132度27分21.19秒﻿ / ﻿北緯34.3809111度 東経132.4558861度﻿ /34.3809111; 132.4558861﻿ (日赤病院前停留場)","2面2線","","●U6","","","2,446[1]人/日-2019年-","","","","","","",""
"新田駅 (宮城県)","新田駅 (宮城県)（にったえき・東日本旅客鉄道東北本線）","https://ja.wikipedia.org/wiki/新田駅_(宮城県)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯38度42分41.39秒東経141度7分10.54秒","■東北本線","416.2 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1894年（明治27年）1月4日[1]","宮城県登米市迫町新田字狼ノ欠92北緯38度42分41.39秒東経141度7分10.54秒﻿ / ﻿北緯38.7114972度 東経141.1195944度﻿ /38.7114972; 141.1195944座標:北緯38度42分41.39秒東経141度7分10.54秒﻿ / ﻿北緯38.7114972度 東経141.1195944度﻿ /38.7114972; 141.1195944","2面2線[1]","無人駅[2]","","ニタ","244人/日（降車客含まず）-2017年-","","","","","","","",""
"新田駅 (福島県)","新田駅 (福島県)（にったえき・阿武隈急行阿武隈急行線）","https://ja.wikipedia.org/wiki/新田駅_(福島県)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯37度50分16.34秒東経140度35分34.91秒","■阿武隈急行線","17.0 km（福島起点）","阿武隈急行","地上駅","1988年（昭和63年）7月1日","福島県伊達市梁川町陽光台北緯37度50分16.34秒東経140度35分34.91秒﻿ / ﻿北緯37.8378722度 東経140.5930306度﻿ /37.8378722; 140.5930306座標:北緯37度50分16.34秒東経140度35分34.91秒﻿ / ﻿北緯37.8378722度 東経140.5930306度﻿ /37.8378722; 140.5930306","1面1線","無人駅","","","137人/日（降車客含まず）-2016年-","","","","","","","",""
"日立木駅","日立木駅（にったきえき）","https://ja.wikipedia.org/wiki/日立木駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯37度45分21.72秒東経140度56分5.40秒","■常磐線","301.1 km（日暮里起点）","東日本旅客鉄道（JR東日本）","地上駅","1922年（大正11年）8月15日[1]","福島県相馬市赤木字上原田25[1]北緯37度45分21.72秒東経140度56分5.40秒座標:北緯37度45分21.72秒 東経140度56分5.40秒","2面3線[1]","無人駅（乗車駅証明書発行機 有）[1]","","ニキ","121人/日（降車客含まず）-2004年-","","","","","","","",""
"新田塚駅","新田塚駅（にったづかえき）","https://ja.wikipedia.org/wiki/新田塚駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度5分33秒東経136度12分19秒","■三国芦原線","4.9km（福井口起点）福井から6.4km越前武生から23.7 km","えちぜん鉄道","地上駅","1928年（昭和3年）12月30日[1]","福井県福井市新田塚二丁目110-1北緯36度5分33秒東経136度12分19秒﻿ / ﻿北緯36.09250度 東経136.20528度﻿ /36.09250; 136.20528座標:北緯36度5分33秒東経136度12分19秒﻿ / ﻿北緯36.09250度 東経136.20528度﻿ /36.09250; 136.20528","3面2線","有人駅","○E30","","","550人/日-2018年-","","","","","","",""
"新田野駅","新田野駅（にったのえき）","https://ja.wikipedia.org/wiki/新田野駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度16分35.0秒東経140度19分41.2秒","■いすみ線","7.4 km（大原起点）","いすみ鉄道","地上駅","1960年（昭和35年）6月20日","千葉県いすみ市新田野330北緯35度16分35.0秒東経140度19分41.2秒座標:北緯35度16分35.0秒 東経140度19分41.2秒","1面1線","無人駅","","ニツ","17人/日（降車客含まず）-2018年-","","","","","","","",""
"新羽駅","新羽駅（にっぱえき）","https://ja.wikipedia.org/wiki/新羽駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度31分39秒東経139度36分43.2秒","■ブルーライン（3号線）","12.1km（関内*起点）湘南台から31.8 km","横浜市交通局（横浜市営地下鉄）","高架駅","1993年（平成5年）3月18日","横浜市港北区新羽町1285番地1[1]北緯35度31分39秒東経139度36分43.2秒﻿ / ﻿北緯35.52750度 東経139.612000度﻿ /35.52750; 139.612000﻿ (新羽駅)座標:北緯35度31分39秒東経139度36分43.2秒﻿ / ﻿北緯35.52750度 東経139.612000度﻿ /35.52750; 139.612000﻿ (新羽駅)","2面3線","業務委託駅（横浜市交通局協力会）[2]","B27","","10,636人/日（降車客含まず）-2019年-","21,431人/日-2019年-","","","","","","",""
"日暮里駅","日暮里駅（にっぽりえき）","https://ja.wikipedia.org/wiki/日暮里駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）京成電鉄（駅詳細）東京都交通局（駅詳細）","","","東京都荒川区西日暮里二丁目","","","","","","","","","","","","",""
"日本橋駅 (大阪府)","日本橋駅 (大阪府)（にっぽんばしえき・Osaka Metro堺筋線・千日前線）","https://ja.wikipedia.org/wiki/日本橋駅_(大阪府)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度40分1.73秒東経135度30分23.89秒","●堺筋線","4.9 km（天神橋筋六丁目起点）","大阪市高速電気軌道(Osaka Metro)","地下駅","1969年（昭和44年）12月6日","大阪市中央区日本橋1丁目5-12北緯34度40分1.73秒東経135度30分23.89秒﻿ / ﻿北緯34.6671472度 東経135.5066361度﻿ /34.6671472; 135.5066361﻿ (日本橋駅)","2面2線（堺筋線）1面2線（千日前線）",""," K17 ","","26,964人/日（降車客含まず）-2020年-","54,085人/日-2020年-","近鉄奈良線（難波線）-近鉄日本橋駅","","","","","",""
"新ノ口駅","新ノ口駅（にのくちえき）","https://ja.wikipedia.org/wiki/新ノ口駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度31分30.78秒東経135度47分41.38秒","B橿原線","19.1km（大和西大寺起点）京都から53.7 km","近畿日本鉄道（近鉄）","地上駅（地下駅舎）","1923年（大正12年）3月21日","奈良県橿原市新口町127北緯34度31分30.78秒東経135度47分41.38秒﻿ / ﻿北緯34.5252167度 東経135.7948278度﻿ /34.5252167; 135.7948278座標:北緯34度31分30.78秒東経135度47分41.38秒﻿ / ﻿北緯34.5252167度 東経135.7948278度﻿ /34.5252167; 135.7948278","2面2線",""," B38 ","ニノ","2,123人/日（降車客含まず）-2018年-","","","","","","","",""
"二ノ瀬駅","二ノ瀬駅（にのせえき）","https://ja.wikipedia.org/wiki/二ノ瀬駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度5分51.68秒東経135度45分47.05秒","■鞍馬線","6.6km（宝ケ池起点）出町柳から10.4 km","叡山電鉄","地上駅","1929年（昭和4年）10月20日[2]","京都市左京区鞍馬二ノ瀬町160[1]北緯35度5分51.68秒東経135度45分47.05秒﻿ / ﻿北緯35.0976889度 東経135.7630694度﻿ /35.0976889; 135.7630694﻿ (二ノ瀬駅)座標:北緯35度5分51.68秒東経135度45分47.05秒﻿ / ﻿北緯35.0976889度 東経135.7630694度﻿ /35.0976889; 135.7630694﻿ (二ノ瀬駅)","2面2線",""," E15 ","","49人/日（降車客含まず）-2017年-","","","","","","","",""
"二戸駅","二戸駅（にのへえき）","https://ja.wikipedia.org/wiki/二戸駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）IGRいわて銀河鉄道（駅詳細）","","","岩手県二戸市石切所","","","","","","","","","","","","",""
