"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","公式サイト","事業主体","位置","専門分野","管理運営","学校種別","設置者","本部所在地","学部","ウェブサイト","面積","研究科","正式名称","前身","キャンパス","分類","運営者"
"東京理科大学","[東京理科大学薬学部付属薬用植物園（千葉県野田市）] 東京理科大学 は、 1881年 （ 明治 14年）創立の 東京物理学校 を主な前身に、 1949年 （ 昭和 24年）に設立された、 理学 ・ 工学 ・ 薬学 ・ 経営学 をはじめとする分野を包括する 理工系 総合大学 である。","https://ja.wikipedia.org/wiki/東京理科大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度41分57.8秒東経139度44分29秒","","","","","","","","私立","学校法人東京理科大学","東京都新宿区神楽坂一丁目3北緯35度41分57.8秒東経139度44分29秒﻿ / ﻿北緯35.699389度 東経139.74139度﻿ /35.699389; 139.74139座標:北緯35度41分57.8秒東経139度44分29秒﻿ / ﻿北緯35.699389度 東経139.74139度﻿ /35.699389; 139.74139","理学部第一部工学部薬学部理工学部先進工学部経営学部理学部第二部工学部第二部","https://www.tus.ac.jp/","","理学研究科工学研究科総合化学研究科科学教育研究科薬学研究科理工学研究科先進工学研究科経営学研究科生命科学研究科イノベーション研究科国際火災科学研究科","","","神楽坂（東京都新宿区、千代田区）葛飾（東京都葛飾区）野田（千葉県野田市）北海道・長万部（北海道山越郡長万部町）","",""
"千葉科学大学","[千葉科学大学薬草園（千葉県銚子市）] 旧 自治省 の官僚時代に 岡山県 副知事を務めた折、 加計学園 を知った 野平匡邦 が、銚子市長選に立候補する際に大学誘致を公約したのが始まりである  。この経緯から、加計学園によって設立された 岡山理科大学 、 倉敷芸術科学大学 の姉妹校である  。","https://ja.wikipedia.org/wiki/千葉科学大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度42分24.9秒東経140度50分33.2秒","","","","","","","","私立","学校法人加計学園","千葉県銚子市潮見町3番地北緯35度42分24.9秒東経140度50分33.2秒﻿ / ﻿北緯35.706917度 東経140.842556度﻿ /35.706917; 140.842556座標:北緯35度42分24.9秒東経140度50分33.2秒﻿ / ﻿北緯35.706917度 東経140.842556度﻿ /35.706917; 140.842556","薬学部危機管理学部看護学部","www.cis.ac.jp","","危機管理学研究科薬学研究科看護学研究科","","","本部キャンパスマリーナキャンパス","",""
"武蔵野大学","[武蔵野大学薬学部附属薬用植物園（東京都西東京市）] 学校法人武蔵野大学 が経営  。1924年、 仏教 学者である 高楠順次郎 博士が 築地本願寺 内に 武蔵野女子学院 を創設  。その後、 千代田女学園 運営による千代田女子専門学校を引き受け、1950年に武蔵野女子短期大学を開校。1965年、前身の 武蔵野女子大学 が創設された。2003年、校名を 武蔵野大学 に変更。2004年、共学となった  。","https://ja.wikipedia.org/wiki/武蔵野大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度37分51.4秒東経139度47分11.5秒","","","","","","","","私立","学校法人武蔵野大学","東京都江東区有明3-3-3北緯35度37分51.4秒東経139度47分11.5秒﻿ / ﻿北緯35.630944度 東経139.786528度﻿ /35.630944; 139.786528座標:北緯35度37分51.4秒東経139度47分11.5秒﻿ / ﻿北緯35.630944度 東経139.786528度﻿ /35.630944; 139.786528","文学部法学部経済学部経営学部教育学部人間科学部工学部データサイエンス学部グローバル学部薬学部看護学部通信教育部アントレプレナーシップ学部","https://www.musashino-u.ac.jp/","","文学研究科言語文化研究科政治経済学研究科人間社会研究科仏教学研究科環境学研究科教育学研究科薬科学研究科看護学研究科通信教育部人間学研究科","","","有明（東京都江東区）武蔵野（東京都西東京市）","",""
"東京都薬用植物園","[東京都薬用植物園（東京都小平市）] 東京都薬用植物園 （とうきょうとやくようしょくぶつえん）は、東京都小平市にある東京都営の 植物園 。規模は31,398 平方メートル 。","https://ja.wikipedia.org/wiki/東京都薬用植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度43分57.9秒東経139度26分6.6秒","〒187-0033東京都小平市中島町21−1","1939年","東京都薬用植物園","東京都","北緯35度43分57.9秒東経139度26分6.6秒﻿ / ﻿北緯35.732750度 東経139.435167度﻿ /35.732750; 139.435167座標:北緯35度43分57.9秒東経139度26分6.6秒﻿ / ﻿北緯35.732750度 東経139.435167度﻿ /35.732750; 139.435167","薬用植物","東京生薬協会","","","","","","","","","","","",""
"東京農業大学植物園","[東京農業大学植物園（神奈川県厚木市）] 日本で初めて設立された私立の農学校  であり、2017年度まで 農学 を専門に扱う日本で唯一の大学であった  。 東京農工大学 、 農業者大学校 、日本の各道府県にある 農業大学校 とは名称が類似しているが特に関係はない。","https://ja.wikipedia.org/wiki/東京農業大学植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度38分27.9秒東経139度37分55.5秒","","","","","","","","私立","学校法人東京農業大学","東京都世田谷区桜丘一丁目1番1号北緯35度38分27.9秒東経139度37分55.5秒﻿ / ﻿北緯35.641083度 東経139.632083度﻿ /35.641083; 139.632083座標:北緯35度38分27.9秒東経139度37分55.5秒﻿ / ﻿北緯35.641083度 東経139.632083度﻿ /35.641083; 139.632083","農学部応用生物科学部生命科学部地域環境科学部国際食料情報学部生物産業学部","https://www.nodai.ac.jp/","","農学研究科応用生物科学研究科生物産業研究科","","","世田谷（東京都世田谷区）厚木（神奈川県厚木市）北海道オホーツク（北海道網走市）","",""
"横浜薬科大学","[横浜薬科大学ハマヤク農園内薬用植物園（横浜市戸塚区）] 2006年4月に 横浜市 戸塚区 の 横浜ドリームランド 跡地に開学した。 都築学園グループ が設置する 薬科大学 としては3校目に当たり、学校法人都築第一学園が運営する。開学時は6年制の健康薬学科、漢方薬学科、臨床薬学科を設置。漢方薬学を基幹として講義を行う大学は珍しく、専門学科を設置している大学は横浜薬科大学薬学部漢方薬学科のみである（2018年現在）。2015年4月に、創薬研究者の育成、中学校や高等学校の理科教員の養成を目的として4年制の薬学部薬科学科を設置した。","https://ja.wikipedia.org/wiki/横浜薬科大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度22分59秒 東経139度29分44秒","","","","","","","","私立","学校法人都築第一学園","神奈川県横浜市戸塚区俣野町601","薬学部（6年制、4年制）","www.hamayaku.ac.jp","","","","","ハマヤクキャンパス","",""
"新潟薬科大学","[新潟薬科大学薬用植物園（新潟市秋葉区）] 新潟薬科大学は、1977年に薬学部のみの単科大学として現在の新潟市 西区 に開学した。その後、2002年に応用生命科学部が旧 新津市 （現在の新潟市秋葉区）に開設され、薬学部も2004年から段階的に移転。現在は両学部機能の全てが新津キャンパスに集約されている。","https://ja.wikipedia.org/wiki/新潟薬科大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯37度46分29.7秒東経139度7分19.7秒","","","","","","","","私立","学校法人新潟科学技術学園","新潟市秋葉区東島265番地1北緯37度46分29.7秒東経139度7分19.7秒﻿ / ﻿北緯37.774917度 東経139.122139度﻿ /37.774917; 139.122139座標:北緯37度46分29.7秒東経139度7分19.7秒﻿ / ﻿北緯37.774917度 東経139.122139度﻿ /37.774917; 139.122139","薬学部、応用生命科学部","https://www.nupals.ac.jp/","","薬学研究科、応用生命科学研究科","","","新津キャンパス","",""
"八ヶ岳薬用植物園 (存在しないページ)","[八ヶ岳薬用植物園（山梨県北杜市）]","https://ja.wikipedia.org/w/index.php?title=八ヶ岳薬用植物園&amp;action=edit&amp;redlink=1","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"愛知学院大学","[愛知学院大学薬学部薬草園（名古屋市千種区）] 1876年 （ 明治9年 ）5月、 曹洞宗 により曹洞宗専門支校として創立された。そのため、同じ曹洞宗が創設した 駒澤大学 や 東北福祉大学 、 鶴見大学 とは姉妹校である。","https://ja.wikipedia.org/wiki/愛知学院大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度9分40.04秒東経137度2分49.18秒","","","","","","","","私立","学校法人愛知学院","愛知県日進市岩崎町阿良池12北緯35度9分40.04秒東経137度2分49.18秒﻿ / ﻿北緯35.1611222度 東経137.0469944度﻿ /35.1611222; 137.0469944座標:北緯35度9分40.04秒東経137度2分49.18秒﻿ / ﻿北緯35.1611222度 東経137.0469944度﻿ /35.1611222; 137.0469944","文学部心身科学部商学部経営学部経済学部法学部総合政策学部歯学部薬学部","https://www.agu.ac.jp/","","文学研究科心身科学研究科商学研究科経営学研究科法学研究科総合政策研究科薬学研究科歯学研究科","","","日進（愛知県日進市）楠元（名古屋市千種区）末盛（名古屋市千種区）名城公園（名古屋市北区）","",""
"金城学院大学","[金城学院大学薬用植物園（名古屋市守山区）] 創立130年の 女子大学 である。金城学院は宣教師アニー・ランドルフが設立し、キリスト教に基づいた教育を行うが、本来の意味でのミッション系大学ではない。","https://ja.wikipedia.org/wiki/金城学院大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度12分36.86秒東経136度59分44.51秒","","","","","","","","私立","学校法人金城学院","愛知県名古屋市守山区大森2丁目1723北緯35度12分36.86秒東経136度59分44.51秒﻿ / ﻿北緯35.2102389度 東経136.9956972度﻿ /35.2102389; 136.9956972座標:北緯35度12分36.86秒東経136度59分44.51秒﻿ / ﻿北緯35.2102389度 東経136.9956972度﻿ /35.2102389; 136.9956972","文学部生活環境学部現代文化学部薬学部人間科学部","http://www.kinjo-u.ac.jp/","","文学研究科人間生活学研究科","","","","",""
"鈴鹿医療科学大学","[鈴鹿医療科学大学薬草園（三重県鈴鹿市）] 設置者は 学校法人 鈴鹿医療科学大学で、 豊田長康 が学長を務める。設置当初は鈴鹿医療科学技術大学であったが1998年に改称している。","https://ja.wikipedia.org/wiki/鈴鹿医療科学大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","私立","学校法人鈴鹿医療科学大学","三重県鈴鹿市岸岡町1001番地1","保健衛生学部医用工学部薬学部看護学部","https://www.suzuka-u.ac.jp/","","医療科学研究科薬学研究科","","","千代崎キャンパス白子キャンパス","",""
"立命館大学","[立命館大学薬学部薬草園（滋賀県草津市）] 「立命館」の由来は、『 孟子 』盡心章句（じんしんしょうく）にある「殀寿貳（ようじゅたが）わず、身を修めて以て之を俟（ま）つは、命を立つる所以（ゆえん）なり」（人間の寿命は天命によって決められており、修養に努めてその天命を待つのが人間の本分である）から採られた。","https://ja.wikipedia.org/wiki/立命館大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度01分57秒 東経135度43分27秒","","","","","","","","私立","学校法人立命館","京都府京都市中京区西ノ京朱雀町1","法学部文学部映像学部産業社会学部国際関係学部経営学部政策科学部総合心理学部グローバル教養学部経済学部理工学部情報理工学部生命科学部薬学部スポーツ健康科学部食マネジメント学部","http://www.ritsumei.ac.jp/","","法学研究科文学研究科映像研究科社会学研究科国際関係研究科言語教育情報研究科先端総合学術研究科経営学研究科政策科学研究科人間科学研究科テクノロジー・マネジメント研究科経営管理研究科経済学研究科理工学研究科情報理工学研究科生命科学研究科薬学研究科スポーツ健康科学研究科法務研究科教職研究科","","","朱雀（京都府京都市中京区）衣笠（京都府京都市北区）びわこ・くさつ（滋賀県草津市）大阪いばらき（大阪府茨木市）東京（東京都千代田区）大阪梅田（大阪府大阪市北区）","",""
"池の谷薬草園 (存在しないページ)","[池の谷薬草園（京都府京都市左京区）]","https://ja.wikipedia.org/w/index.php?title=池の谷薬草園&amp;action=edit&amp;redlink=1","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"京都大学農学部附属農場","[京都大学農学部附属農場（京都府木津川市）] 京都大学大学院農学研究科附属農場 古曽部温室 （英: Kosobe Conservatory）は、大阪府三島郡磐手村大字古曽部にかつてあった 温室 である。","https://ja.wikipedia.org/wiki/京都大学農学部附属農場","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度51分19.4秒 東経135度37分51.1秒","日本京都府木津川市城山台4-2-1","","京都大学農学部・農学研究科 附属農場","","","","","","","","","","","","","","","",""
"京都大学農学部附属農場小曽部温室","[京都大学農学部附属農場小曽部温室（大阪府高槻市）] 京都大学大学院農学研究科附属農場 古曽部温室 （英: Kosobe Conservatory）は、大阪府三島郡磐手村大字古曽部にかつてあった 温室 である。","https://ja.wikipedia.org/wiki/京都大学農学部附属農場小曽部温室","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度51分19.4秒 東経135度37分51.1秒","日本京都府木津川市城山台4-2-1","","京都大学農学部・農学研究科 附属農場","","","","","","","","","","","","","","","",""
"大阪大学","[大阪大学薬学部附属薬用植物園（大阪府吹田市）] 大阪大学は、 1931年 に 大阪帝国大学 として設立された  、現在では11学部・16研究科を擁する 国立 文理 総合大学である。 帝国大学 としては比較的新しく、開学当初は 医学部 と 理学部 のみで創設された。文理5学部（文学部、法経学部、理学部、医学部、工学部）体制となったのは 第二次世界大戦 後の 1949年 （ 昭和 24年）のことである。","https://ja.wikipedia.org/wiki/大阪大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度49分7秒東経135度31分26秒","","","","","","","","国立","国立大学法人大阪大学","大阪府吹田市山田丘1番1号北緯34度49分7秒東経135度31分26秒﻿ / ﻿北緯34.81861度 東経135.52389度﻿ /34.81861; 135.52389座標:北緯34度49分7秒東経135度31分26秒﻿ / ﻿北緯34.81861度 東経135.52389度﻿ /34.81861; 135.52389","文学部外国語学部法学部経済学部理学部工学部基礎工学部医学部歯学部薬学部人間科学部","https://www.osaka-u.ac.jp/ja","","文学研究科言語文化研究科法学研究科国際公共政策研究科高等司法研究科経済学研究科理学研究科工学研究科基礎工学研究科情報科学研究科医学系研究科生命機能研究科歯学研究科薬学研究科人間科学研究科連合小児発達学研究科","","","吹田（大阪府吹田市）豊中（大阪府豊中市）箕面（大阪府箕面市）","",""
"近畿大学","[近畿大学薬学部薬用植物園（大阪府東大阪市）] 近畿大学は1925年に 財団法人日本大学 が設立した日本大学専門学校を淵源とし（初代校長・ 市村光恵 ）、1939年に日本大学大阪専門学校と改称し、翌年には日大から経営分離した。 太平洋戦争 下の1943年に 大阪理工科大学 を開学  。1943～44年に起きた「大専騒動」  の混乱を収束するために 東京 から派遣された 世耕弘一 （日本大学理事）が大阪専門学校の校長と大阪理工科大学の学長になり、戦後も引き続いて新制近畿大学総長及び理事長に就任したことから、世耕が事実上の創設者と看做されている  。","https://ja.wikipedia.org/wiki/近畿大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度39分5.09秒東経135度35分13.07秒","","","","","","","","私立","学校法人近畿大学","大阪府東大阪市小若江3-4-1北緯34度39分5.09秒東経135度35分13.07秒﻿ / ﻿北緯34.6514139度 東経135.5869639度﻿ /34.6514139; 135.5869639座標:北緯34度39分5.09秒東経135度35分13.07秒﻿ / ﻿北緯34.6514139度 東経135.5869639度﻿ /34.6514139; 135.5869639","法学部経済学部経営学部文芸学部総合社会学部理工学部建築学部薬学部農学部医学部生物理工学部工学部産業理工学部国際学部通信教育部短期大学部","https://www.kindai.ac.jp/","","法学研究科経済学研究科商学研究科文芸学研究科総合理工学研究科薬学研究科農学研究科医学研究科生物理工学研究科システム工学研究科産業技術研究科","","","東大阪キャンパス（大阪府東大阪市）奈良キャンパス（奈良県奈良市）大阪狭山キャンパス（大阪府大阪狭山市）和歌山キャンパス（和歌山県紀の川市）広島キャンパス（広島県東広島市）福岡キャンパス（福岡県飯塚市）","",""
"大阪大谷大学","[大阪大谷大学植物園・薬草園（大阪府富田林市）] 真宗 大谷派 の大学であり、真宗大谷派（ 東本願寺 ）の大阪の 難波別院（南御堂） を母体とし、 1966年 に設置された。","https://ja.wikipedia.org/wiki/大阪大谷大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度28分56.7秒東経135度34分51.9秒","","","","","","","","私立","学校法人大谷学園","大阪府富田林市錦織北3丁目11番地1号北緯34度28分56.7秒東経135度34分51.9秒﻿ / ﻿北緯34.482417度 東経135.581083度﻿ /34.482417; 135.581083座標:北緯34度28分56.7秒東経135度34分51.9秒﻿ / ﻿北緯34.482417度 東経135.581083度﻿ /34.482417; 135.581083","文学部教育学部人間社会学部薬学部","https://www.osaka-ohtani.ac.jp/","","文学研究科","","","","",""
"武庫川女子大学","[武庫川女子大学薬用植物園（兵庫県西宮市）] 1939年、兵庫県 氷上郡 （現 丹波市 ）出身の 公江喜市郎 によって創設された武庫川高等女学校を前身とする。","https://ja.wikipedia.org/wiki/武庫川女子大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度43分2.9秒東経135度22分29秒","","","","","","","","私立","学校法人武庫川学院","兵庫県西宮市池開町北緯34度43分2.9秒東経135度22分29秒﻿ / ﻿北緯34.717472度 東経135.37472度﻿ /34.717472; 135.37472座標:北緯34度43分2.9秒東経135度22分29秒﻿ / ﻿北緯34.717472度 東経135.37472度﻿ /34.717472; 135.37472","文学部教育学部健康・スポーツ科学部生活環境学部食物栄養科学部建築学部音楽学部薬学部看護学部経営学部","http://www.mukogawa-u.ac.jp/","","文学研究科臨床教育学研究科健康・スポーツ科学研究科生活環境学研究科建築学研究科薬学研究科看護学研究科","","","中央（西宮市池開町）浜甲子園（西宮市甲子園）上甲子園（西宮市戸崎町）","",""
"神戸学院大学","[神戸学院大学薬学部薬用植物園（神戸市中央区）] 1912年 （ 明治 45年）森和佐が生徒8人で創立した「 森裁縫女学校 」に端を発する。 1923年 （ 大正 12年）五年制の 森高等女学校 となり、 1945年 （ 昭和 20年）財団法人神戸市森高等女学校設立。 1952年 （昭和27年）学制改革により神戸森女子短期大学を設立。わさの長男・ 森茂樹 により、 1966年 （昭和41年） 栄養学部 栄養学科 を開設し、 単科大学 として神戸学院大学が発足し初代学長に就任した。 独立研究科 としては、 1979年 （昭和54年）に 薬学 及び 栄養学 の 修士課程 修了者がう後期三年のみの 博士課程 として全国で類のない 食品薬品総合科学研究科 を設置している  。 2007年 （平成19年）にポートアイランドキャンパス（神戸市中央区）を開設し、 2019年 （令和元年）ポートアイランド第2キャンパスと神戸三宮サテライトを設置。","https://ja.wikipedia.org/wiki/神戸学院大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度39分49.8秒 東経135度1分42.7秒","","","","","","","","私立","学校法人神戸学院","兵庫県神戸市中央区港島1-1-3","法学部経済学部経営学部人文学部心理学部現代社会学部グローバル・コミュニケーション学部総合リハビリテーション学部栄養学部薬学部","https://www.kobegakuin.ac.jp/","","法学研究科経済学研究科人間文化学研究科総合リハビリテーション学研究科栄養学研究科薬学研究科食品薬品総合科学研究科","","","ポートアイランド第1・第2（いずれも神戸市中央区）有瀬（神戸市西区）","",""
"兵庫医療大学","[兵庫医療大学薬学部付属薬用植物園（神戸市東灘区）] 薬学部 、 看護学部 、 リハビリテーション学部 ( 理学療法学科 、 作業療法学科 )の3学部4学科を設置し、同一法人下に姉妹大学として医科大学を持つ医療総合大学。 2022年 4月を目途に既存の 兵庫医科大学 に吸収合併される予定。","https://ja.wikipedia.org/wiki/兵庫医療大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度40分0.8秒 東経135度12分15.7秒","","","","","","","","私立","学校法人兵庫医科大学","兵庫県神戸市中央区港島一丁目3-6","薬学部看護学部リハビリテーション学部","https://www.huhs.ac.jp/","","薬学研究科看護学研究科医療科学研究科","","","兵庫県神戸市中央区","",""
"手柄山中央公園","[手柄山中央公園緑の相談所内薬用植物園（兵庫県姫路市）] 手柄山中央公園 （てがらやまちゅうおうこうえん）は、 兵庫県 姫路市 にある 総合公園 。","https://ja.wikipedia.org/wiki/手柄山中央公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度49分18秒東経134度40分32秒","日本兵庫県姫路市","1974年","","","","","","","","","","","38.17ヘクタール","","","","","総合公園",""
"姫路獨協大学","[姫路獨協大学薬用植物園（兵庫県姫路市）] 兵庫県の姫路市がハードウェアとしての土地建物を、 学校法人獨協学園 がソフトウェアとしての教育システムを、それぞれ担う初の官学協働「公私協力方式」で設置された大学で、その後全国各地に設けられた 公設民営大学 のモデルである。","https://ja.wikipedia.org/wiki/姫路獨協大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度52分19.6秒東経134度41分22.6秒","","","","","","","","私立","学校法人獨協学園","兵庫県姫路市上大野7-2-1北緯34度52分19.6秒東経134度41分22.6秒﻿ / ﻿北緯34.872111度 東経134.689611度﻿ /34.872111; 134.689611座標:北緯34度52分19.6秒東経134度41分22.6秒﻿ / ﻿北緯34.872111度 東経134.689611度﻿ /34.872111; 134.689611","人間社会学群医療保健学部薬学部看護学部","https://www.himeji-du.ac.jp/","","言語教育研究科法学研究科経済情報研究科","","","姫路（姫路市上大野）駅前サテライト（姫路市白銀町）","",""
"三栄源エフ・エフ・アイ (存在しないページ)","[三栄源エフ・エフ・アイ有用植物研究所（兵庫県川西市）]","https://ja.wikipedia.org/w/index.php?title=三栄源エフ・エフ・アイ&amp;action=edit&amp;redlink=1","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岡山大学","[岡山大学薬学部附属薬用植物園（岡山県岡山市北区）] 文部科学省 が全国の大学・研究機関から選定した 研究大学強化促進事業選定機関 の一つであり、かつ スーパーグローバル大学 事業の実施校である。また 岡山大学病院 は、文部科学省・ 厚生労働省 の革新的医療技術創出拠点の実施機関である  。 大学の活動として、 国連 の 持続可能な開発のための教育 (Education for Sustainable Development; ESD）と 持続可能な開発目標 （Sustainable Development Goals; SDGs）を中心に置いている  。 日本国政府 の第1回「ジャパンSDGsアワード」を国公立大学で唯一受賞している  。また、イギリスの高等教育専門誌「Times Higher Education（THE：ティー・エイチ・イー）」による「THEインパクトランキング2021」では、総合ランキングで世界トップ200位以内、国内同列１位である  。 2021年4月に 中国・四国地方 最大規模の新生「工学部」を設置。","https://ja.wikipedia.org/wiki/岡山大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度41分12秒東経133度55分7秒","","","","","","","","国立","国立大学法人岡山大学","岡山県岡山市北区津島中1丁目1番1号北緯34度41分12秒東経133度55分7秒﻿ / ﻿北緯34.68667度 東経133.91861度﻿ /34.68667; 133.91861座標:北緯34度41分12秒東経133度55分7秒﻿ / ﻿北緯34.68667度 東経133.91861度﻿ /34.68667; 133.91861","文学部教育学部法学部経済学部理学部医学部歯学部薬学部工学部環境理工学部農学部グローバル・ディスカバリー・プログラム","https://www.okayama-u.ac.jp/index.html","","教育学研究科社会文化科学研究科自然科学研究科保健学研究科環境生命科学研究科医歯薬学総合研究科ヘルスシステム統合科学研究科法務研究科連合学校教育学研究科","","","津島（岡山市北区津島中）鹿田（岡山市北区鹿田町）","",""
"就実大学","[就実大学薬学部薬用植物園（岡山市中区）] 基本理念","https://ja.wikipedia.org/wiki/就実大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度40分37秒 東経133度56分13秒","","","","","","","","私立","学校法人就実学園","岡山県岡山市中区西川原1-6-1","人文科学部薬学部教育学部経営学部","https://www.shujitsu.ac.jp/","","人文科学研究科医療薬学研究科教育学研究科","","","","",""
"重井薬用植物園 (存在しないページ)","[重井薬用植物園（岡山県倉敷市）]","https://ja.wikipedia.org/w/index.php?title=重井薬用植物園&amp;action=edit&amp;redlink=1","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"福山大学","[福山大学薬学部薬用植物園（広島県福山市）] 所在地は福山市東村町字三蔵であるが、大学では学園町1番地三蔵の名称を使用。","https://ja.wikipedia.org/wiki/福山大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度27分30.3秒 東経133度13分45.8秒","","","","","","","","私立","学校法人福山大学","広島県福山市東村町字三蔵985-1（福山市学園町1番地三蔵）","経済学部工学部生命工学部人間文化学部薬学部","https://www.fukuyama-u.com/","","経済学研究科工学研究科人間科学研究科薬学研究科","","","","",""
"広島大学","[広島大学薬学部附属薬用植物園（広島県広島市南区）] 文部科学省 が実施している スーパーグローバル大学 事業のトップ型指定校、また 研究大学 強化促進事業の支援対象機関であり、 旧官立大学 の一つでもある。","https://ja.wikipedia.org/wiki/広島大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","国立","国立大学法人広島大学","広島県東広島市鏡山1丁目3-2","総合科学部文学部教育学部法学部経済学部理学部医学部歯学部薬学部工学部生物生産学部情報科学部","https://www.hiroshima-u.ac.jp/","","人間社会科学研究科先進理工系科学研究科統合生命科学研究科医系科学研究科","","","東広島（広島県東広島市）霞（広島市南区）東千田（広島市中区）","",""
"広島国際大学","[広島国際大学薬学部付属 薬用植物園（広島市南区）] 当大学は本部機能を持つ東広島キャンパスの他に、呉キャンパス、広島キャンパスを有し、2013年度時点で7学部10学科、4研究科10専攻という、 中国・四国地方 有数の規模を持つ、医療系を中心とした総合大学である。","https://ja.wikipedia.org/wiki/広島国際大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度18分48.1秒 東経132度41分12.6秒","","","","","","","","私立","学校法人常翔学園","広島県東広島市黒瀬学園台555-36","保健医療学部医療福祉学部看護学部心理学部総合リハビリテーション学部薬学部","http://www.hirokoku-u.ac.jp/","","医療・福祉科学研究科心理科学研究科看護学研究科工学研究科","","","東広島（広島県東広島市）呉（広島県呉市）広島（広島県広島市中区）","",""
"安田女子大学","[安田女子大学薬用植物園（広島市安佐南区）] 正会員","https://ja.wikipedia.org/wiki/安田女子大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度28分50.2秒東経132度27分6.9秒","","","","","","","","私立","学校法人安田学園","広島県広島市安佐南区安東6丁目13番1号北緯34度28分50.2秒東経132度27分6.9秒﻿ / ﻿北緯34.480611度 東経132.451917度﻿ /34.480611; 132.451917座標:北緯34度28分50.2秒東経132度27分6.9秒﻿ / ﻿北緯34.480611度 東経132.451917度﻿ /34.480611; 132.451917","文学部教育学部心理学部現代ビジネス学部家政学部薬学部看護学部","http://www.yasuda-u.ac.jp/","","文学研究科家政学研究科看護学研究科","","","","",""
