"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"早通駅","早通駅（はやどおりえき）","https://ja.wikipedia.org/wiki/早通駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯37度55分15.7秒東経139度10分42.2秒","■白新線","11.5 km（新潟起点）","東日本旅客鉄道（JR東日本）","地上駅","1957年（昭和32年）2月11日[1]*","2面2線[1]","新潟市北区早通南[1]一丁目北緯37度55分15.7秒東経139度10分42.2秒座標:北緯37度55分15.7秒 東経139度10分42.2秒","業務委託駅","","ハヤ","1,054人/日（降車客含まず）-2019年-","","","","","","","",""
"隼駅","隼駅（はやぶさえき）","https://ja.wikipedia.org/wiki/隼駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","若桜線","4.4 km（郡家起点）","若桜鉄道","地上駅","1930年（昭和5年）1月20日[1]","1面1線","","簡易委託駅（駅舎外発券）","","ハフ","","45人/日-2018年-","","","","","","",""
"速星駅","速星駅（はやほしえき）","https://ja.wikipedia.org/wiki/速星駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度39分51.00秒東経137度9分38.33秒","■高山本線","217.9km（岐阜起点）猪谷から28.7 km","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）","地上駅","1927年（昭和2年）9月1日","2面3線","富山県富山市婦中町速星628北緯36度39分51.00秒東経137度9分38.33秒座標:北緯36度39分51.00秒 東経137度9分38.33秒","業務委託駅みどりの窓口有","","ハホ","1,203人/日（降車客含まず）-2019年-","","","","","","","",""
"羽床駅","羽床駅（はゆかえき）","https://ja.wikipedia.org/wiki/羽床駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度14分28秒東経133度54分7.2秒","■琴平線","22.8 km（高松築港起点）","高松琴平電気鉄道","地上駅","1927年（昭和2年）3月15日","単式ホーム1面1線","香川県綾歌郡綾川町羽床下北緯34度14分28秒東経133度54分7.2秒﻿ / ﻿北緯34.24111度 東経133.902000度﻿ /34.24111; 133.902000座標:北緯34度14分28秒東経133度54分7.2秒﻿ / ﻿北緯34.24111度 東経133.902000度﻿ /34.24111; 133.902000","無人駅"," K16 ","","","147人/日-2018年-","","","","","","",""
"原駅 (静岡県)","原駅 (静岡県)（はらえき・東海旅客鉄道東海道本線）","https://ja.wikipedia.org/wiki/原駅_(静岡県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度7分29.68秒東経138度47分37.15秒","CA東海道本線（静岡地区）","132.8 km（東京起点）","東海旅客鉄道（JR東海）日本貨物鉄道（JR貨物）","地上駅","1900年（明治33年）2月25日","2面3線","静岡県沼津市原383-2北緯35度7分29.68秒東経138度47分37.15秒","業務委託駅JR全線きっぷうりば有","CA  05 ","ハラ","2,229人/日（降車客含まず）-2019年-","","","","","","","",""
"原駅 (愛知県)","原駅 (愛知県)（はらえき・名古屋市営地下鉄鶴舞線）","https://ja.wikipedia.org/wiki/原駅_(愛知県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度7分33.6秒東経136度59分49.7秒","鶴舞線","18.4 km（上小田井起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","1978年（昭和53年）10月1日","2面2線","名古屋市天白区原一丁目513北緯35度7分33.6秒東経136度59分49.7秒﻿ / ﻿北緯35.126000度 東経136.997139度﻿ /35.126000; 136.997139座標:北緯35度7分33.6秒東経136度59分49.7秒﻿ / ﻿北緯35.126000度 東経136.997139度﻿ /35.126000; 136.997139","","T18","","10,239人/日（降車客含まず）-2019年-","20,255[1]人/日-2019年-","","","","","","",""
"原駅 (香川県)","原駅 (香川県)（はらえき・高松琴平電気鉄道志度線）","https://ja.wikipedia.org/wiki/原駅_(香川県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","■志度線","11.5 km（瓦町起点）","高松琴平電気鉄道","地上駅","1911年（明治44年）11月18日","1面1線","","無人駅"," S14 ","","","179人/日-2018年-","","","","","","",""
"払川駅","払川駅（はらいがわえき）","https://ja.wikipedia.org/wiki/払川駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯39度33分51.9秒東経141度55分58.2秒","リアス線","80.7 km（盛起点）","三陸鉄道","地上駅","2019年（平成31年）3月23日","1面1線","岩手県宮古市津軽石第13地割336番3北緯39度33分51.9秒東経141度55分58.2秒﻿ / ﻿北緯39.564417度 東経141.932833度﻿ /39.564417; 141.932833﻿ (払川駅)座標:北緯39度33分51.9秒東経141度55分58.2秒﻿ / ﻿北緯39.564417度 東経141.932833度﻿ /39.564417; 141.932833﻿ (払川駅)","","","","24人/日（降車客含まず）-2019-","","","","","","","",""
"原市駅","原市駅（はらいちえき）","https://ja.wikipedia.org/wiki/原市駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度57分49.6秒東経139度37分20.2秒","■伊奈線（ニューシャトル）","6.4 km（大宮起点）","埼玉新都市交通","高架駅","1983年（昭和58年）12月22日[1]","2面2線","埼玉県上尾市五番町北緯35度57分49.6秒東経139度37分20.2秒﻿ / ﻿北緯35.963778度 東経139.622278度﻿ /35.963778; 139.622278座標:北緯35度57分49.6秒東経139度37分20.2秒﻿ / ﻿北緯35.963778度 東経139.622278度﻿ /35.963778; 139.622278","","NS07","","1,331人/日（降車客含まず）-2016年-","2,623人/日-2016年-","","","","","","",""
"原木駅","原木駅（ばらきえき）","https://ja.wikipedia.org/wiki/原木駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度3分55.50秒東経138度56分37.22秒","■駿豆線","8.5 km（三島起点）","伊豆箱根鉄道","地上駅","1898年（明治31年）5月20日","2面2線","静岡県伊豆の国市原木763番地の3北緯35度3分55.50秒東経138度56分37.22秒﻿ / ﻿北緯35.0654167度 東経138.9436722度﻿ /35.0654167; 138.9436722座標:北緯35度3分55.50秒東経138度56分37.22秒﻿ / ﻿北緯35.0654167度 東経138.9436722度﻿ /35.0654167; 138.9436722","無人駅","IS07","","347人/日（降車客含まず）-2019年-","","","","","","","",""
"原木中山駅","原木中山駅（ばらきなかやまえき）","https://ja.wikipedia.org/wiki/原木中山駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度42分11.7秒東経139度56分30.5秒","●[1]東西線","28.9 km（中野起点）","東京地下鉄（東京メトロ）","高架駅","1969年（昭和44年）3月29日","2面2線","千葉県船橋市本中山七丁目7-1北緯35度42分11.7秒東経139度56分30.5秒﻿ / ﻿北緯35.703250度 東経139.941806度﻿ /35.703250; 139.941806座標:北緯35度42分11.7秒東経139度56分30.5秒﻿ / ﻿北緯35.703250度 東経139.941806度﻿ /35.703250; 139.941806","","T22[1]","ハラ","","27,467人/日-2019年-","","","","","","",""
"原宿駅","原宿駅（はらじゅくえき）","https://ja.wikipedia.org/wiki/原宿駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度40分12.8秒東経139度42分9.6秒","■山手線","8.4 km（品川起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1906年（明治39年）10月30日","2面2線[注 1]","東京都渋谷区神宮前一丁目18-20北緯35度40分12.8秒東経139度42分9.6秒﻿ / ﻿北緯35.670222度 東経139.702667度﻿ /35.670222; 139.702667座標:北緯35度40分12.8秒東経139度42分9.6秒﻿ / ﻿北緯35.670222度 東経139.702667度﻿ /35.670222; 139.702667","直営駅東京山手線内・東京都区内駅","JY19","ラシ","72,579人/日（降車客含まず）-2019年-","","C03F15明治神宮前〈原宿〉駅[1]（東京メトロ千代田線・副都心線）","","","","","",""
"原田駅 (静岡県)","原田駅 (静岡県)（はらだえき・天竜浜名湖鉄道天竜浜名湖線）","https://ja.wikipedia.org/wiki/原田駅_(静岡県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度49分12.43秒東経137度57分10.62秒","天竜浜名湖線*","9.4 km（掛川起点）","天竜浜名湖鉄道","地上駅","1988年（昭和63年）3月13日","1面1線","静岡県掛川市幡鎌554-1北緯34度49分12.43秒東経137度57分10.62秒﻿ / ﻿北緯34.8201194度 東経137.9529500度﻿ /34.8201194; 137.9529500座標:北緯34度49分12.43秒東経137度57分10.62秒﻿ / ﻿北緯34.8201194度 東経137.9529500度﻿ /34.8201194; 137.9529500","","","","17人/日（降車客含まず）-2018年-","","","","","","","",""
"腹帯駅","腹帯駅（はらたいえき）","https://ja.wikipedia.org/wiki/腹帯駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯39度36分16.46秒東経141度46分1.97秒","■山田線","82.6 km（盛岡起点）","東日本旅客鉄道（JR東日本）","地上駅","1934年（昭和9年）11月6日[1]","1面1線","岩手県宮古市腹帯1-49北緯39度36分16.46秒東経141度46分1.97秒座標:北緯39度36分16.46秒 東経141度46分1.97秒","無人駅","","ハラ","","","","","","","","",""
"原当麻駅","原当麻駅（はらたいまえき）","https://ja.wikipedia.org/wiki/原当麻駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度31分44.7秒東経139度22分30.8秒","■相模線","24.8 km（茅ケ崎起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1931年（昭和6年）4月29日","1面2線","相模原市南区当麻1288-1北緯35度31分44.7秒東経139度22分30.8秒﻿ / ﻿北緯35.529083度 東経139.375222度﻿ /35.529083; 139.375222座標:北緯35度31分44.7秒東経139度22分30.8秒﻿ / ﻿北緯35.529083度 東経139.375222度﻿ /35.529083; 139.375222","業務委託駅","","タイ←タイマ","5,176人/日（降車客含まず）-2019年-","","","","","","","",""
"原野駅","原野駅（はらのえき）","https://ja.wikipedia.org/wiki/原野駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度52分16.51秒東経137度44分29.49秒","CF中央本線","258.3km（東京起点）名古屋から138.6 km","東海旅客鉄道（JR東海）","地上駅","1955年（昭和30年）4月21日[1]","2面2線[1]","長野県木曽郡木曽町日義原野[1]北緯35度52分16.51秒東経137度44分29.49秒﻿ / ﻿北緯35.8712528度 東経137.7415250度﻿ /35.8712528; 137.7415250﻿ (原野駅)","駅員無配置駅[1]標高：837.3m[1]","","ハノ[1]","50人/日（降車客含まず）-2018年-","","","","","","","",""
"原ノ町駅","原ノ町駅（はらのまちえき）","https://ja.wikipedia.org/wiki/原ノ町駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","■常磐線","286.9 km（日暮里起点）","東日本旅客鉄道（JR東日本）","地上駅","1898年（明治31年）4月3日[1]","2面3線[1]","","直営駅（管理駅）みどりの窓口有","","ノマ","1,031人/日（降車客含まず）-2019年-","","","","","","","",""
"原谷駅","原谷駅（はらのやえき）","https://ja.wikipedia.org/wiki/原谷駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度48分31.28秒東経137度57分17.79秒","天竜浜名湖線*","7.9 km（掛川起点）","天竜浜名湖鉄道","地上駅","1935年（昭和10年）4月17日","2面2線","静岡県掛川市本郷1416-2北緯34度48分31.28秒東経137度57分17.79秒﻿ / ﻿北緯34.8086889度 東経137.9549417度﻿ /34.8086889; 137.9549417座標:北緯34度48分31.28秒東経137度57分17.79秒﻿ / ﻿北緯34.8086889度 東経137.9549417度﻿ /34.8086889; 137.9549417","*1987年までは、国鉄二俣線であった。","","ラノ","101人/日（降車客含まず）-2018年-","","","","","","","",""
"原水駅","原水駅（はらみずえき）","https://ja.wikipedia.org/wiki/原水駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯32度52分13.94秒東経130度49分44.32秒","■豊肥本線","129.1 km（大分起点）","九州旅客鉄道（JR九州）","地上駅","1920年（大正9年）7月25日[2]","2面2線[1]","熊本県菊池郡菊陽町大字原水[1]北緯32度52分13.94秒東経130度49分44.32秒","無人駅[1]（自動券売機有）","","ハラ","1,001人/日（降車客含まず）-2019年-","","","","","","","",""
"原向駅","原向駅（はらむこうえき）","https://ja.wikipedia.org/wiki/原向駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度37分2.08秒東経139度25分14.01秒","■わたらせ渓谷線","38.7 km（桐生起点）","わたらせ渓谷鐵道","地上駅","1912年（大正元年）12月31日","1面1線","栃木県日光市足尾町3066北緯36度37分2.08秒東経139度25分14.01秒﻿ / ﻿北緯36.6172444度 東経139.4205583度﻿ /36.6172444; 139.4205583座標:北緯36度37分2.08秒東経139度25分14.01秒﻿ / ﻿北緯36.6172444度 東経139.4205583度﻿ /36.6172444; 139.4205583","","WK14","ハム","","2人/日-2018年-","","","","","","",""
"針中野駅","針中野駅（はりなかのえき）","https://ja.wikipedia.org/wiki/針中野駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度37分1.6秒東経135度31分58.7秒","F南大阪線","3.8 km（大阪阿部野橋起点）","近畿日本鉄道（近鉄）","高架駅","1923年（大正12年）4月13日","2面2線","大阪市東住吉区駒川五丁目24-8北緯34度37分1.6秒東経135度31分58.7秒﻿ / ﻿北緯34.617111度 東経135.532972度﻿ /34.617111; 135.532972﻿ (針中野駅)座標:北緯34度37分1.6秒東経135度31分58.7秒﻿ / ﻿北緯34.617111度 東経135.532972度﻿ /34.617111; 135.532972﻿ (針中野駅)",""," F05 ","ハリナ","","9,275人/日-2018年-","","","","","","",""
"播磨駅","播磨駅（はりまえき・養老鉄道養老線）","https://ja.wikipedia.org/wiki/播磨駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度4分41.35秒東経136度40分29.51秒","養老線","1.6 km（桑名起点）","養老鉄道","地上駅","1939年（昭和14年）12月29日","1面1線","三重県桑名市大字播磨2500-3北緯35度4分41.35秒東経136度40分29.51秒﻿ / ﻿北緯35.0781528度 東経136.6748639度﻿ /35.0781528; 136.6748639座標:北緯35度4分41.35秒東経136度40分29.51秒﻿ / ﻿北緯35.0781528度 東経136.6748639度﻿ /35.0781528; 136.6748639","無人駅","","","265人/日（降車客含まず）-2019年-","","","","","","","",""
"須磨浦山上遊園","はりま駅（須磨浦遊園観光リフト）","https://ja.wikipedia.org/wiki/須磨浦山上遊園#山上の施設","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"はりま勝原駅","はりま勝原駅（はりまかつはらえき）","https://ja.wikipedia.org/wiki/はりま勝原駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度48分36.59秒東経134度36分50.67秒","A山陽本線","62.2km（神戸起点）大阪から95.3 km","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）[1]","2008年（平成20年）3月15日[1]","2面2線[1]","兵庫県姫路市勝原区熊見44-3[1]北緯34度48分36.59秒東経134度36分50.67秒﻿ / ﻿北緯34.8101639度 東経134.6140750度﻿ /34.8101639; 134.6140750座標:北緯34度48分36.59秒東経134度36分50.67秒﻿ / ﻿北緯34.8101639度 東経134.6140750度﻿ /34.8101639; 134.6140750","業務委託駅[1]みどりの券売機プラス設置駅","","ハリ","5,507人/日（降車客含まず）-2019年-","","","","","","","",""
"播磨下里駅","播磨下里駅（はりましもさとえき）","https://ja.wikipedia.org/wiki/播磨下里駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度53分11.62秒東経134度50分23.98秒","北条線","8.0 km（粟生起点）","北条鉄道","地上駅","1917年（大正6年）8月14日[1]","1面1線[1]","兵庫県加西市王子町野中[1]北緯34度53分11.62秒東経134度50分23.98秒﻿ / ﻿北緯34.8865611度 東経134.8399944度﻿ /34.8865611; 134.8399944座標:北緯34度53分11.62秒東経134度50分23.98秒﻿ / ﻿北緯34.8865611度 東経134.8399944度﻿ /34.8865611; 134.8399944","委託駅","","シモ","","87人/日-2018年-","","","","","","",""
"播磨新宮駅","播磨新宮駅（はりましんぐうえき）","https://ja.wikipedia.org/wiki/播磨新宮駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度55分15.46秒東経134度32分46.80秒","K姫新線","22.1 km（姫路起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）[1]","1932年（昭和7年）7月11日[1]","2面3線[1]","兵庫県たつの市新宮町新宮371[1]北緯34度55分15.46秒東経134度32分46.80秒﻿ / ﻿北緯34.9209611度 東経134.5463333度﻿ /34.9209611; 134.5463333﻿ (播磨新宮駅)","業務委託駅[1]みどりの窓口有","","ハシ","1,246人/日（降車客含まず）-2019年-","","","","","","","",""
"播磨高岡駅","播磨高岡駅（はりまたかおかえき）","https://ja.wikipedia.org/wiki/播磨高岡駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度50分31.21秒東経134度39分31.63秒","K姫新線","3.8 km（姫路起点）","西日本旅客鉄道（JR西日本）","地上駅[1]","1930年（昭和5年）9月1日[1]","2面2線[1]","兵庫県姫路市西今宿三丁目8-1[1]北緯34度50分31.21秒東経134度39分31.63秒﻿ / ﻿北緯34.8420028度 東経134.6587861度﻿ /34.8420028; 134.6587861﻿ (播磨高岡駅)座標:北緯34度50分31.21秒東経134度39分31.63秒﻿ / ﻿北緯34.8420028度 東経134.6587861度﻿ /34.8420028; 134.6587861﻿ (播磨高岡駅)","無人駅（自動券売機有）[1]簡易型自動改札機有","","タオ","1,731人/日（降車客含まず）-2019年-","","","","","","","",""
"播磨町駅","播磨町駅（はりまちょうえき）","https://ja.wikipedia.org/wiki/播磨町駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度42分59.62秒東経134度52分5.16秒","本線","29.9 km（西代起点）","山陽電気鉄道","地上駅[1]","1923年（大正12年）8月19日[1][2]","2面2線[1]","兵庫県加古郡播磨町南野添三丁目10-1[1]北緯34度42分59.62秒東経134度52分5.16秒﻿ / ﻿北緯34.7165611度 東経134.8681000度﻿ /34.7165611; 134.8681000﻿ (播磨町駅*)座標:北緯34度42分59.62秒東経134度52分5.16秒﻿ / ﻿北緯34.7165611度 東経134.8681000度﻿ /34.7165611; 134.8681000﻿ (播磨町駅*)","*1991年に本荘駅から改称[1]","●SY 27","","2,526人/日（降車客含まず）-2017年-","","","","","","","",""
"播磨徳久駅","播磨徳久駅（はりまとくさえき）","https://ja.wikipedia.org/wiki/播磨徳久駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度59分25.73秒東経134度23分8.29秒","K姫新線","42.5 km（姫路起点）","西日本旅客鉄道（JR西日本）","地上駅[1]","1935年（昭和10年）7月30日[1]","1面1線[1]","兵庫県佐用郡佐用町下徳久1034[1]北緯34度59分25.73秒東経134度23分8.29秒﻿ / ﻿北緯34.9904806度 東経134.3856361度﻿ /34.9904806; 134.3856361﻿ (播磨徳久駅)","無人駅（自動券売機 有）[1]","","トク","91人/日（降車客含まず）-2019年-","","","","","","","",""
"はりまや橋停留場","はりまや橋停留場（はりまやばしていりゅうじょう）","https://ja.wikipedia.org/wiki/はりまや橋停留場","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度33分34.68秒東経133度32分32.63秒","後免線","10.9 km（後免町起点）","とさでん交通","地上駅","1908年（明治41年）10月31日","計4面4線","高知県高知市はりまや町一丁目、南はりまや町一丁目北緯33度33分34.68秒東経133度32分32.63秒﻿ / ﻿北緯33.5596333度 東経133.5423972度﻿ /33.5596333; 133.5423972﻿ (はりまや橋停留場)","","","","","","","","","","","",""
"播磨横田駅","播磨横田駅（はりまよこたえき）","https://ja.wikipedia.org/wiki/播磨横田駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度54分37.3秒東経134度49分30.8秒","北条線","11.4 km（粟生起点）","北条鉄道","地上駅[1]","1961年（昭和36年）10月1日[1]","1面1線[1]","兵庫県加西市西横田町[1]字下毛田北緯34度54分37.3秒東経134度49分30.8秒﻿ / ﻿北緯34.910361度 東経134.825222度﻿ /34.910361; 134.825222座標:北緯34度54分37.3秒東経134度49分30.8秒﻿ / ﻿北緯34.910361度 東経134.825222度﻿ /34.910361; 134.825222","無人駅[1]","","ヨタ","","54人/日-2018年-","","","","","","",""
"バルーンさが駅","バルーンさが駅（臨時）","https://ja.wikipedia.org/wiki/バルーンさが駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度15分27.7秒東経130度14分48.5秒","■長崎本線（■唐津線直通含む）","29.8 km（鳥栖起点）","九州旅客鉄道（JR九州）","地上駅","1989年（平成元年）11月18日[1]","2面2線","佐賀県佐賀市嘉瀬町大字萩野北緯33度15分27.7秒東経130度14分48.5秒﻿ / ﻿北緯33.257694度 東経130.246806度﻿ /33.257694; 130.246806﻿ (バルーンさが駅)","臨時駅","","ルン","10,823人/日（降車客含まず）-2010年度-","","","","","","","",""
"春江駅","春江駅（はるええき）","https://ja.wikipedia.org/wiki/春江駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度7分45秒東経136度13分43秒","■北陸本線","108.1 km（米原起点）","西日本旅客鉄道（JR西日本）","地上駅","1926年（大正15年）5月1日","1面2線","福井県坂井市春江町中筋1-1北緯36度7分45秒東経136度13分43秒﻿ / ﻿北緯36.12917度 東経136.22861度﻿ /36.12917; 136.22861座標:北緯36度7分45秒東経136度13分43秒﻿ / ﻿北緯36.12917度 東経136.22861度﻿ /36.12917; 136.22861","業務委託駅","","ハル","1,103人/日（降車客含まず）-2019年-","","","","","","","",""
"春賀駅","春賀駅（はるかえき）","https://ja.wikipedia.org/wiki/春賀駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度33分20.59秒東経132度33分19.20秒","■予讃線（愛ある伊予灘線）","243.4 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1961年（昭和36年）10月20日","1面1線","愛媛県大洲市春賀北緯33度33分20.59秒東経132度33分19.20秒﻿ / ﻿北緯33.5557194度 東経132.5553333度﻿ /33.5557194; 132.5553333座標:北緯33度33分20.59秒東経132度33分19.20秒﻿ / ﻿北緯33.5557194度 東経132.5553333度﻿ /33.5557194; 132.5553333","無人駅","○S16","ハル","","26[1]人/日-2019年-","","","","","","",""
"春木駅","春木駅（はるきえき）","https://ja.wikipedia.org/wiki/春木駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度28分37.79秒東経135度23分29.99秒","■南海本線","23.7 km（難波起点）","南海電気鉄道","地上駅","1914年（大正3年）10月18日","2面3線","大阪府岸和田市春木若松町14-6北緯34度28分37.79秒東経135度23分29.99秒﻿ / ﻿北緯34.4771639度 東経135.3916639度﻿ /34.4771639; 135.3916639座標:北緯34度28分37.79秒東経135度23分29.99秒﻿ / ﻿北緯34.4771639度 東経135.3916639度﻿ /34.4771639; 135.3916639","","NK 22","ハル","","","","14,736人/日-2019年-","","","","",""
"春木場駅","春木場駅（はるきばえき）","https://ja.wikipedia.org/wiki/春木場駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯39度41分36.29秒東経140度56分40.40秒","■田沢湖線","56.9 km（大曲起点）","東日本旅客鉄道（JR東日本）","地上駅","1964年（昭和39年）9月10日","1面1線","岩手県岩手郡雫石町上野観音堂北緯39度41分36.29秒東経140度56分40.40秒﻿ / ﻿北緯39.6934139度 東経140.9445556度﻿ /39.6934139; 140.9445556座標:北緯39度41分36.29秒東経140度56分40.40秒﻿ / ﻿北緯39.6934139度 東経140.9445556度﻿ /39.6934139; 140.9445556","無人駅","","ハル","","","","","","","","",""
"春田駅","春田駅（はるたえき）","https://ja.wikipedia.org/wiki/春田駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度8分35.5秒東経136度48分49秒","CJ関西本線（名古屋地区）","7.5 km（名古屋起点）","東海旅客鉄道（JR東海）","高架駅","2001年（平成13年）3月3日[1]","2面2線","名古屋市中川区春田二丁目92-2北緯35度8分35.5秒東経136度48分49秒﻿ / ﻿北緯35.143194度 東経136.81361度﻿ /35.143194; 136.81361座標:北緯35度8分35.5秒東経136度48分49秒﻿ / ﻿北緯35.143194度 東経136.81361度﻿ /35.143194; 136.81361","駅員無配置駅（自動券売機 有）[2]集中旅客サービスシステム導入駅サポートつき指定席券売機設置駅名古屋市内駅","CJ  02 ","ルタ","3,759人/日（降車客含まず）-2019年-","","","","","","","",""
"原田駅 (福岡県)","原田駅 (福岡県)（はるだえき・九州旅客鉄道鹿児島本線・筑豊本線）","https://ja.wikipedia.org/wiki/原田駅_(福岡県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度27分4秒東経130度32分21.84秒","JB鹿児島本線","97.9 km（門司港起点）","九州旅客鉄道（JR九州）","地上駅","1889年（明治22年）12月11日","3面5線[1]","福岡県筑紫野市原田[1]2243-1北緯33度27分4秒東経130度32分21.84秒﻿ / ﻿北緯33.45111度 東経130.5394000度﻿ /33.45111; 130.5394000﻿ (原田駅)","業務委託駅みどりの窓口有","JB  10 ","ハル","3,867人/日（降車客含まず）-2019年-","","","","","","","",""
"榛名山ロープウェイ","榛名高原駅（はるなこうげんえき）","https://ja.wikipedia.org/wiki/榛名山ロープウェイ","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"榛名山ロープウェイ","榛名富士山頂駅（はるなふじさんちょうえき）","https://ja.wikipedia.org/wiki/榛名山ロープウェイ","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
