"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","路線記号","乗車人員,-統計年次-","正式名称","愛称","専門分野"
"松原駅 (東京都)","松原駅 (東京都)（まつばらえき・東急世田谷線）","https://ja.wikipedia.org/wiki/松原駅_(東京都)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度39分36.1秒東経139度38分31.2秒","■世田谷線","4.2 km（三軒茶屋起点）","東急電鉄","東京都世田谷区松原4-10-8北緯35度39分36.1秒東経139度38分31.2秒﻿ / ﻿北緯35.660028度 東経139.642000度﻿ /35.660028; 139.642000座標:北緯35度39分36.1秒東経139度38分31.2秒﻿ / ﻿北緯35.660028度 東経139.642000度﻿ /35.660028; 139.642000","地上駅","1949年（昭和24年）9月1日","相対式 2面2線","1969年　玉電松原駅より改称","","SG09","","","","","","","","",""
"松原駅 (長崎県)","松原駅 (長崎県)（まつばらえき・九州旅客鉄道大村線）","https://ja.wikipedia.org/wiki/松原駅_(長崎県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯32度58分41.06秒東経129度56分45.31秒","大村線","28.5 km（早岐起点）","九州旅客鉄道（JR九州）","長崎県大村市松原本町198北緯32度58分41.06秒東経129度56分45.31秒﻿ / ﻿北緯32.9780722度 東経129.9459194度﻿ /32.9780722; 129.9459194﻿ (松原駅)","地上駅","1898年（明治31年）1月20日","2面2線","無人駅（自動券売機 有）","マツ","","81人/日（降車客含まず）-2016年-","165人/日-2016年-","","","","","","",""
"松原湖駅","松原湖駅（まつばらこえき）","https://ja.wikipedia.org/wiki/松原湖駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度3分39.74秒東経138度28分13.82秒","■小海線","44.8 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","長野県南佐久郡小海町大字豊里[1]北緯36度3分39.74秒東経138度28分13.82秒﻿ / ﻿北緯36.0610389度 東経138.4705056度﻿ /36.0610389; 138.4705056座標:北緯36度3分39.74秒東経138度28分13.82秒﻿ / ﻿北緯36.0610389度 東経138.4705056度﻿ /36.0610389; 138.4705056","地上駅","1932年（昭和7年）12月27日[1]","1面1線[1]","無人駅[1]標高：986 m[2]","マコ[1]","","11人/日（降車客含まず）-2011年-","","","","","","","",""
"松久駅","松久駅（まつひさえき）","https://ja.wikipedia.org/wiki/松久駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度10分22.58秒東経139度10分55.66秒","■八高線","71.1km（八王子起点）高麗川から40.0 km","東日本旅客鉄道（JR東日本）","埼玉県児玉郡美里町大字甘粕140北緯36度10分22.58秒東経139度10分55.66秒﻿ / ﻿北緯36.1729389度 東経139.1821278度﻿ /36.1729389; 139.1821278﻿ (松久駅)","地上駅","1933年（昭和8年）1月25日[1]","1面1線[1]","無人駅（乗車駅証明書発行機 有）","マヒ","","","","","","","","","",""
"松飛台駅","松飛台駅（まつひだいえき）","https://ja.wikipedia.org/wiki/松飛台駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度46分31.26秒東経139度57分26.59秒","■北総線","8.9 km（京成高砂起点）","北総鉄道","千葉県松戸市紙敷一丁目29-5北緯35度46分31.26秒東経139度57分26.59秒座標:北緯35度46分31.26秒 東経139度57分26.59秒","高架駅","1991年（平成3年）3月31日[1]","2面2線","","","HS06","","5,116人/日-2017年-","","","","","","",""
"真布駅","真布駅（まっぷえき）","https://ja.wikipedia.org/wiki/真布駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯43度49分58.75秒東経141度54分24.32秒","留萌本線","17.8 km（深川起点）","北海道旅客鉄道（JR北海道）","北海道雨竜郡沼田町字真布北緯43度49分58.75秒東経141度54分24.32秒座標:北緯43度49分58.75秒 東経141度54分24.32秒","地上駅","1956年（昭和31年）7月1日","1面1線","無人駅","マフ","","","4人/日-2014年-","","","","","","",""
"松丸駅","松丸駅（まつまるえき）","https://ja.wikipedia.org/wiki/松丸駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度13分41.9秒東経132度42分32秒","■予土線","55.3 km（若井起点）","四国旅客鉄道（JR四国）","愛媛県北宇和郡松野町松丸北緯33度13分41.9秒東経132度42分32秒﻿ / ﻿北緯33.228306度 東経132.70889度﻿ /33.228306; 132.70889座標:北緯33度13分41.9秒東経132度42分32秒﻿ / ﻿北緯33.228306度 東経132.70889度﻿ /33.228306; 132.70889","地上駅","1923年（大正12年）12月12日","1面1線","簡易委託駅","マル","○G38","","116人/日-2018年-","","","","","","",""
"松虫停留場","松虫停留場（まつむしていりゅうじょう）","https://ja.wikipedia.org/wiki/松虫停留場","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度38分8.3秒東経135度30分35.34秒","■上町線","1.2 km（天王寺駅前起点）","阪堺電気軌道","大阪市阿倍野区松虫通1丁目・阿倍野元町1番北緯34度38分8.3秒東経135度30分35.34秒﻿ / ﻿北緯34.635639度 東経135.5098167度﻿ /34.635639; 135.5098167座標:北緯34度38分8.3秒東経135度30分35.34秒﻿ / ﻿北緯34.635639度 東経135.5098167度﻿ /34.635639; 135.5098167","地上駅","1910年（明治43年）10月1日","相対式 2面2線","",""," HN03 ","","","","","","","","",""
"松本駅","松本駅（まつもとえき）","https://ja.wikipedia.org/wiki/松本駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度13分50.4秒東経137度57分50.1秒","■篠ノ井線（JR東日本）（■■中央本線直通含む）","53.4 km（篠ノ井起点）","東日本旅客鉄道（JR東日本）アルピコ交通","長野県松本市深志一丁目北緯36度13分50.4秒東経137度57分50.1秒﻿ / ﻿北緯36.230667度 東経137.963917度﻿ /36.230667; 137.963917座標:北緯36度13分50.4秒東経137度57分50.1秒﻿ / ﻿北緯36.230667度 東経137.963917度﻿ /36.230667; 137.963917","地上駅（橋上駅）","1902年（明治35年）6月15日","4面8線","共同使用駅（JR東日本の管轄駅）直営駅（管理駅）みどりの窓口有標高：586.0m[1]","モト","□42","（JR東日本）16,182人/日（降車客含まず）-2019年-","","","","","","","",""
"まつもと町屋駅","まつもと町屋駅（まつもとまちやえき）","https://ja.wikipedia.org/wiki/まつもと町屋駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度4分37秒東経136度13分44秒","■三国芦原線","1.0km（福井口起点）福井から2.5 km","えちぜん鉄道","福井県福井市町屋二丁目3番北緯36度4分37秒東経136度13分44秒﻿ / ﻿北緯36.07694度 東経136.22889度﻿ /36.07694; 136.22889座標:北緯36度4分37秒東経136度13分44秒﻿ / ﻿北緯36.07694度 東経136.22889度﻿ /36.07694; 136.22889","地上駅","2015年（平成27年）9月27日","1面1線","無人駅","","○E24","","213人/日-2018年-","","","","","","",""
"松森駅","松森駅（まつもりえき）","https://ja.wikipedia.org/wiki/松森駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度31分35.54秒東経136度54分56.0秒","越美南線","16.1 km（美濃太田起点）","長良川鉄道","岐阜県美濃市松森北緯35度31分35.54秒東経136度54分56.0秒﻿ / ﻿北緯35.5265389度 東経136.915556度﻿ /35.5265389; 136.915556座標:北緯35度31分35.54秒東経136度54分56.0秒﻿ / ﻿北緯35.5265389度 東経136.915556度﻿ /35.5265389; 136.915556","地上駅","1999年(平成11年)4月1日[1]","1面1線","無人駅","マツ","10","","61人/日-2010年-","","","","","","",""
"松山駅 (愛媛県)","松山駅 (愛媛県)（まつやまえき・四国旅客鉄道予讃線）","https://ja.wikipedia.org/wiki/松山駅_(愛媛県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","","","四国旅客鉄道（JR四国・駅詳細）伊予鉄道（駅詳細）","愛媛県松山市南江戸・宮田町","","","","","","","","","","","","","","",""
"松山駅 (福岡県)","松山駅 (福岡県)（まつやまえき・平成筑豊鉄道糸田線）","https://ja.wikipedia.org/wiki/松山駅_(福岡県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度40分4.65秒東経130度46分50.63秒","■糸田線","2.1 km（金田起点）","■平成筑豊鉄道","福岡県糸田町大字糸田3933-4北緯33度40分4.65秒東経130度46分50.63秒","地上駅","1997年（平成9年）3月22日","1面1線","無人駅","","HC52","","","","","","","","",""
"松山貨物駅","松山貨物駅（まつやまかもつえき）","https://ja.wikipedia.org/wiki/松山貨物駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度47分15.72秒東経132度44分56.17秒","■予讃線","200.3 km（高松起点）","四国旅客鉄道（JR四国）","愛媛県伊予郡松前町神崎北緯33度47分15.72秒東経132度44分56.17秒﻿ / ﻿北緯33.7877000度 東経132.7489361度﻿ /33.7877000; 132.7489361座標:北緯33度47分15.72秒東経132度44分56.17秒﻿ / ﻿北緯33.7877000度 東経132.7489361度﻿ /33.7877000; 132.7489361","地上駅","1930年（昭和5年）2月27日","2面3線","無人駅（自動券売機 有）","キイ","○U02","","474[1]人/日-2019年-","","","","","","",""
"松山市駅","松山市駅（まつやましえき）","https://ja.wikipedia.org/wiki/松山市駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度50分8.33秒東経132度45分44.21秒","■高浜線","9.4 km（高浜起点）","伊予鉄道","愛媛県松山市湊町5丁目北緯33度50分8.33秒東経132度45分44.21秒﻿ / ﻿北緯33.8356472度 東経132.7622806度﻿ /33.8356472; 132.7622806﻿ (松山市駅*松山市駅停留場)","地上駅","1888年（明治21年）10月28日","鉄道3面3線軌道2面2線","* 改称経歴- 1889年 松山駅→外側駅- 1902年 外側駅→松山駅- 1927年 松山駅→松山市駅","","IY10（郊外電車）01（市内電車）","","27,175[1]人/日-2015年（軌道線を含む）-","","","","","","",""
"松山市駅","松山市駅前停留場（まつやましえきまえていりゅうじょう）","https://ja.wikipedia.org/wiki/松山市駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度50分8.33秒東経132度45分44.21秒","■高浜線","9.4 km（高浜起点）","伊予鉄道","愛媛県松山市湊町5丁目北緯33度50分8.33秒東経132度45分44.21秒﻿ / ﻿北緯33.8356472度 東経132.7622806度﻿ /33.8356472; 132.7622806﻿ (松山市駅*松山市駅停留場)","地上駅","1888年（明治21年）10月28日","鉄道3面3線軌道2面2線","* 改称経歴- 1889年 松山駅→外側駅- 1902年 外側駅→松山駅- 1927年 松山駅→松山市駅","","IY10（郊外電車）01（市内電車）","","27,175[1]人/日-2015年（軌道線を含む）-","","","","","","",""
"松屋町駅","松屋町駅（まつやまちえき）","https://ja.wikipedia.org/wiki/松屋町駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度40分31.72秒東経135度30分44.88秒","●長堀鶴見緑地線","4.0 km（大正起点）","大阪市高速電気軌道(Osaka Metro)","大阪市中央区松屋町北緯34度40分31.72秒東経135度30分44.88秒﻿ / ﻿北緯34.6754778度 東経135.5124667度﻿ /34.6754778; 135.5124667﻿ (松屋町駅)","地下駅","1996年（平成8年）12月11日","島式1面2線","",""," N17 ","4,529人/日（降車客含まず）-2020年-","8,927人/日-2020年-","","","","","","",""
"松山町駅","松山町駅（まつやままちえき・東日本旅客鉄道東北本線）","https://ja.wikipedia.org/wiki/松山町駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯38度30分44.41秒東経141度4分30.62秒","■東北本線","391.5 km（東京起点）","東日本旅客鉄道（JR東日本）","宮城県大崎市松山金谷字赤沼上66北緯38度30分44.41秒東経141度4分30.62秒座標:北緯38度30分44.41秒 東経141度4分30.62秒","地上駅","1908年（明治41年）12月25日[1]","2面2線[1]","業務委託駅","マヤ","","580人/日（降車客含まず）-2019年-","","","","","","","",""
"間藤駅","間藤駅（まとうえき）","https://ja.wikipedia.org/wiki/間藤駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度39分12.50秒東経139度27分0.31秒","■わたらせ渓谷線","44.1 km（桐生起点）","わたらせ渓谷鐵道","栃木県日光市足尾町下間藤2北緯36度39分12.50秒東経139度27分0.31秒﻿ / ﻿北緯36.6534722度 東経139.4500861度﻿ /36.6534722; 139.4500861座標:北緯36度39分12.50秒東経139度27分0.31秒﻿ / ﻿北緯36.6534722度 東経139.4500861度﻿ /36.6534722; 139.4500861","地上駅","1914年（大正3年）11月1日","1面1線","","マウ","WK17","","158人/日-2018年-","","","","","","",""
"的形駅","的形駅（まとがたえき）","https://ja.wikipedia.org/wiki/的形駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度46分47.59秒東経134度44分31.39秒","本線","44.2 km（西代起点）","山陽電気鉄道","兵庫県姫路市的形町的形小島東1754-3[1]北緯34度46分47.59秒東経134度44分31.39秒﻿ / ﻿北緯34.7798861度 東経134.7420528度﻿ /34.7798861; 134.7420528﻿ (的形駅)座標:北緯34度46分47.59秒東経134度44分31.39秒﻿ / ﻿北緯34.7798861度 東経134.7420528度﻿ /34.7798861; 134.7420528﻿ (的形駅)","地上駅[1]","1923年（大正12年）8月19日[1][2]","2面2線[1]","無人駅[1]","","●SY 36","1,016人/日（降車客含まず）-2017年-","","","","","","","",""
"的場駅","的場駅（まとばえき）","https://ja.wikipedia.org/wiki/的場駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度55分3.511秒東経139度26分9.86秒","■川越線","20.9 km（大宮起点）八王子から40.8 km","東日本旅客鉄道（JR東日本）","埼玉県川越市大字的場1314北緯35度55分3.511秒東経139度26分9.86秒﻿ / ﻿北緯35.91764194度 東経139.4360722度﻿ /35.91764194; 139.4360722﻿ (的場駅)","地上駅","1940年（昭和15年）7月22日[1]","1面2線[1]","業務委託駅","トハ←マトハ","","3,021人/日（降車客含まず）-2019年-","","","","","","","",""
"的場町停留場","的場町停留場（まとばちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/的場町停留場","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度23分35.6秒東経132度28分28.53秒","■本線","0.5 km（広島駅起点）","広島電鉄","広島市南区的場町一丁目北緯34度23分35.6秒東経132度28分28.53秒﻿ / ﻿北緯34.393222度 東経132.4745917度﻿ /34.393222; 132.4745917﻿ (的場町停留場)座標:北緯34度23分35.6秒東経132度28分28.53秒﻿ / ﻿北緯34.393222度 東経132.4745917度﻿ /34.393222; 132.4745917﻿ (的場町停留場)","地上駅","1912年（大正元年）11月23日","2面2線（本線）2面2線（皆実線）","","","●M3","","772[1]人/日-2019年-","","","","","","",""
"間内駅","間内駅（まないえき）","https://ja.wikipedia.org/wiki/間内駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度16分18秒東経136度55分52.3秒","小牧線","7.8 km（上飯田起点）","名古屋鉄道","愛知県春日井市牛山町281-3北緯35度16分18秒東経136度55分52.3秒﻿ / ﻿北緯35.27167度 東経136.931194度﻿ /35.27167; 136.931194座標:北緯35度16分18秒東経136度55分52.3秒﻿ / ﻿北緯35.27167度 東経136.931194度﻿ /35.27167; 136.931194","地上駅","1931年（昭和6年）2月11日","2面2線","無人駅（駅集中管理システム導入駅）","","KM  08 ","","2,773人/日-2019年[1]-","","","","","","",""
"馬流駅","馬流駅（まながしえき）","https://ja.wikipedia.org/wiki/馬流駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度6分6.75秒東経138度29分9.30秒","■小海線","49.9 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","長野県南佐久郡小海町大字東馬流[1]北緯36度6分6.75秒東経138度29分9.30秒﻿ / ﻿北緯36.1018750度 東経138.4859167度﻿ /36.1018750; 138.4859167座標:北緯36度6分6.75秒東経138度29分9.30秒﻿ / ﻿北緯36.1018750度 東経138.4859167度﻿ /36.1018750; 138.4859167","地上駅","1919年（大正8年）3月11日[1]","1面1線[1]","無人駅[1]標高：841.5m[1]","マナ[1]","","190人/日（降車客含まず）-2011年-","","","","","","","",""
"万能倉駅","万能倉駅（まなぐらえき）","https://ja.wikipedia.org/wiki/万能倉駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","Z福塩線","13.4 km（福山起点）","西日本旅客鉄道（JR西日本）","","地上駅","1914年（大正3年）7月21日","1面2線","無人駅（自動券売機 有）","マナ","","789人/日（降車客含まず）-2018年-","","","","","","","",""
"真鶴駅","真鶴駅（まなづるえき）","https://ja.wikipedia.org/wiki/真鶴駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度9分24.5秒東経139度7分56.8秒","■東海道本線","95.8 km（東京起点）","東日本旅客鉄道（JR東日本）","神奈川県足柄下郡真鶴町真鶴1824北緯35度9分24.5秒東経139度7分56.8秒﻿ / ﻿北緯35.156806度 東経139.132444度﻿ /35.156806; 139.132444﻿ (真鶴駅)","地上駅","1922年（大正11年）12月21日","1面2線","直営駅（管理駅）みどりの窓口有","マナ","JT19","3,133人/日（降車客含まず）-2019年-","","","","","","","",""
"馬庭駅","馬庭駅（まにわえき）","https://ja.wikipedia.org/wiki/馬庭駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度15分41.37秒東経139度0分32.9秒","上信線","9.4 km（高崎起点）","上信電鉄","群馬県高崎市吉井町馬庭191-1北緯36度15分41.37秒東経139度0分32.9秒座標:北緯36度15分41.37秒 東経139度0分32.9秒","地上駅","1897年（明治30年）5月5日","島式 1面2線","","","","394人/日（降車客含まず）-2019年-","","","","","","","",""
"馬橋駅","馬橋駅（まばしえき）","https://ja.wikipedia.org/wiki/馬橋駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）流鉄（駅詳細）","千葉県松戸市馬橋","","","","","","","","","","","","","","",""
"馬堀海岸駅","馬堀海岸駅（まぼりかいがんえき）","https://ja.wikipedia.org/wiki/馬堀海岸駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度15分34.7秒東経139度42分26.4秒","■本線","54.2 km（品川起点）","京浜急行電鉄","神奈川県横須賀市馬堀町3-20-1北緯35度15分34.7秒東経139度42分26.4秒﻿ / ﻿北緯35.259639度 東経139.707333度﻿ /35.259639; 139.707333﻿ (馬堀海岸駅)座標:北緯35度15分34.7秒東経139度42分26.4秒﻿ / ﻿北緯35.259639度 東経139.707333度﻿ /35.259639; 139.707333﻿ (馬堀海岸駅)","地上駅","1930年（昭和5年）4月1日","2面2線","","","KK63","","9,045人/日-2019年-","","","","","","",""
"間々田駅","間々田駅（ままだえき）","https://ja.wikipedia.org/wiki/間々田駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度15分28.2秒東経139度45分39.6秒","■東北本線（宇都宮線）","73.3km（東京起点）東京から尾久経由で73.5 km","東日本旅客鉄道（JR東日本）","栃木県小山市乙女三丁目16北緯36度15分28.2秒東経139度45分39.6秒座標:北緯36度15分28.2秒 東経139度45分39.6秒","地上駅（橋上駅）","1894年（明治27年）4月1日","2面2線","業務委託駅","ママ","","4,225人/日（降車客含まず）-2019年-","","","","","","","",""
"真室川駅","真室川駅（まむろがわえき）","https://ja.wikipedia.org/wiki/真室川駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯38度51分29.91秒東経140度15分17.32秒","■奥羽本線","164.0 km（福島起点）","東日本旅客鉄道（JR東日本）","山形県最上郡真室川町大字新町北緯38度51分29.91秒東経140度15分17.32秒座標:北緯38度51分29.91秒 東経140度15分17.32秒","地上駅","1904年（明治37年）10月21日","2面3線","簡易委託駅*1916年に新町駅から改称","マム","","122人/日（降車客含まず）-2019年-","","","","","","","",""
"摩耶駅","摩耶駅（まやえき）","https://ja.wikipedia.org/wiki/摩耶駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度42分31.2秒東経135度13分30.6秒","A東海道本線（JR神戸線）","583.7 km（東京起点）","西日本旅客鉄道（JR西日本）","神戸市灘区灘南通五丁目5番北緯34度42分31.2秒東経135度13分30.6秒﻿ / ﻿北緯34.708667度 東経135.225167度﻿ /34.708667; 135.225167座標:北緯34度42分31.2秒東経135度13分30.6秒﻿ / ﻿北緯34.708667度 東経135.225167度﻿ /34.708667; 135.225167","地上駅","2016年（平成28年）3月26日*","1面2線","直営駅みどりの券売機プラス設置駅神戸市内駅","ママ←ヒナ（東灘信号場の時のもの）","JR-A59","5,785人/日（降車客含まず）-2019年-","","","","","","","",""
"摩耶ケーブル駅","摩耶ケーブル駅（まやケーブルえき）","https://ja.wikipedia.org/wiki/摩耶ケーブル駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度43分11.4秒東経135度12分58.1秒","摩耶ケーブル線","0.0 km（摩耶ケーブル駅起点）","神戸すまいまちづくり公社","神戸市灘区箕岡通4丁目2番地北緯34度43分11.4秒東経135度12分58.1秒﻿ / ﻿北緯34.719833度 東経135.216139度﻿ /34.719833; 135.216139﻿ (摩耶ケーブル駅*)座標:北緯34度43分11.4秒東経135度12分58.1秒﻿ / ﻿北緯34.719833度 東経135.216139度﻿ /34.719833; 135.216139﻿ (摩耶ケーブル駅*)","地上駅","1925年（大正14年）1月6日","2面1線","","","","","","","","","","","",""
"マリンパーク駅","マリンパーク駅","https://ja.wikipedia.org/wiki/マリンパーク駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度41分3.3秒東経135度16分12.4秒","六甲アイランド線（六甲ライナー）","4.5 km（住吉起点）","神戸新交通[1]","神戸市東灘区向洋町中4丁目北緯34度41分3.3秒東経135度16分12.4秒﻿ / ﻿北緯34.684250度 東経135.270111度﻿ /34.684250; 135.270111座標:北緯34度41分3.3秒東経135度16分12.4秒﻿ / ﻿北緯34.684250度 東経135.270111度﻿ /34.684250; 135.270111","高架駅[1]","1990年（平成2年）2月21日[1]","島式1面2線[1]","",""," R06 ","3,842人/日（降車客含まず）-2019年-","","","","","","","",""
"丸尾駅","丸尾駅（まるおえき）","https://ja.wikipedia.org/wiki/丸尾駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度58分12.94秒東経131度20分12.26秒","■宇部線","15.2 km（新山口起点）","西日本旅客鉄道（JR西日本）","山口県宇部市大字東岐波字切貫5034北緯33度58分12.94秒東経131度20分12.26秒﻿ / ﻿北緯33.9702611度 東経131.3367389度﻿ /33.9702611; 131.3367389座標:北緯33度58分12.94秒東経131度20分12.26秒﻿ / ﻿北緯33.9702611度 東経131.3367389度﻿ /33.9702611; 131.3367389","地上駅","1924年（大正13年）8月17日[1]","1面1線","無人駅","マル","","215人/日（降車客含まず）-2019年-","","","","","","","",""
"丸岡駅","丸岡駅（まるおかえき）","https://ja.wikipedia.org/wiki/丸岡駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度9分45秒東経136度14分1秒","■北陸本線","111.8 km（米原起点）","西日本旅客鉄道（JR西日本）**","福井県坂井市坂井町上新庄46-24北緯36度9分45秒東経136度14分1秒﻿ / ﻿北緯36.16250度 東経136.23361度﻿ /36.16250; 136.23361座標:北緯36度9分45秒東経136度14分1秒﻿ / ﻿北緯36.16250度 東経136.23361度﻿ /36.16250; 136.23361","地上駅","1897年（明治30年）9月20日","2面2線","簡易委託駅","マル","","1,047人/日（降車客含まず）-2019年-","","","","","","","",""
"丸亀駅","丸亀駅（まるがめえき）","https://ja.wikipedia.org/wiki/丸亀駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度17分31.22秒東経133度47分35.43秒","■予讃線","28.5km（高松起点）岡山から48.5 km","四国旅客鉄道（JR四国）","香川県丸亀市新町6-3-50北緯34度17分31.22秒東経133度47分35.43秒﻿ / ﻿北緯34.2920056度 東経133.7931750度﻿ /34.2920056; 133.7931750座標:北緯34度17分31.22秒東経133度47分35.43秒﻿ / ﻿北緯34.2920056度 東経133.7931750度﻿ /34.2920056; 133.7931750","高架駅","1889年（明治22年）5月23日[2]","2面2線","直営駅みどりの窓口有","マメ","○Y10","4,005人/日（降車客含まず）-2019年-","7,930[1]人/日-2019年-","","","","","","",""
"丸瀬布駅","丸瀬布駅（まるせっぷえき）","https://ja.wikipedia.org/wiki/丸瀬布駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯44度0分23.32秒東経143度20分9.56秒","■石北本線","101.9 km（新旭川起点）","北海道旅客鉄道（JR北海道）","北海道紋別郡遠軽町丸瀬布水谷町北緯44度0分23.32秒東経143度20分9.56秒","地上駅","1927年（昭和2年）10月10日","1面2線","無人駅","マセ","○A48","","50人/日-2014年-","","","","","","",""
"丸太町駅","丸太町駅（まるたまちえき）","https://ja.wikipedia.org/wiki/丸太町駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度0分59.66秒東経135度45分34.3秒","烏丸線","6.9 km（国際会館起点）","京都市交通局（京都市営地下鉄）","京都市中京区大倉町北緯35度0分59.66秒東経135度45分34.3秒﻿ / ﻿北緯35.0165722度 東経135.759528度﻿ /35.0165722; 135.759528座標:北緯35度0分59.66秒東経135度45分34.3秒﻿ / ﻿北緯35.0165722度 東経135.759528度﻿ /35.0165722; 135.759528","地下駅","1981年（昭和56年）5月29日","1面2線","","","●K07","","22,230人/日-2019年-","","","","","","",""
