"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","通称","種別","起終点","駅数","開業"
"下市口駅","下市口駅（しもいちぐちえき）","https://ja.wikipedia.org/wiki/下市口駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度23分1.49秒東経135度47分14.43秒","F吉野線[1]","17.0km（橿原神宮前起点）大阪阿部野橋から56.7 km","近畿日本鉄道（近鉄）[1]","1912年（大正元年）10月25日","地上駅","奈良県吉野郡大淀町下渕875[1]北緯34度23分1.49秒東経135度47分14.43秒﻿ / ﻿北緯34.3837472度 東経135.7873417度﻿ /34.3837472; 135.7873417座標:北緯34度23分1.49秒東経135度47分14.43秒﻿ / ﻿北緯34.3837472度 東経135.7873417度﻿ /34.3837472; 135.7873417","2面3線","","シモ","1,478人/日（降車客含まず）-2018年-"," F52 ","","","","","","","",""
"下市田駅","下市田駅（しもいちだえき）","https://ja.wikipedia.org/wiki/下市田駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度32分39.38秒東経137度52分35.94秒","CD飯田線","135.6 km（豊橋起点）","東海旅客鉄道（JR東海）","1923年（大正12年）3月18日[1]","地上駅","長野県下伊那郡高森町下市田[1]1441北緯35度32分39.38秒東経137度52分35.94秒﻿ / ﻿北緯35.5442722度 東経137.8766500度﻿ /35.5442722; 137.8766500座標:北緯35度32分39.38秒東経137度52分35.94秒﻿ / ﻿北緯35.5442722度 東経137.8766500度﻿ /35.5442722; 137.8766500","1面1線[1]","駅員無配置駅[1]標高：435m[1]","シイ[1]","64人/日（降車客含まず）-2018年-","","","","","","","","",""
"下今市駅","下今市駅（しもいまいちえき）","https://ja.wikipedia.org/wiki/下今市駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度43分32.0秒東経139度41分31.9秒","■日光線","87.4 km（東武動物公園起点）","東武鉄道","1929年（昭和4年）7月7日","地上駅","栃木県日光市今市1110北緯36度43分32.0秒東経139度41分31.9秒﻿ / ﻿北緯36.725556度 東経139.692194度﻿ /36.725556; 139.692194座標:北緯36度43分32.0秒東経139度41分31.9秒﻿ / ﻿北緯36.725556度 東経139.692194度﻿ /36.725556; 139.692194","2面4線","","イマ","","TN23","2,436人/日-2019年-","","","","","","",""
"下総神崎駅","下総神崎駅（しもうさこうざきえき）","https://ja.wikipedia.org/wiki/下総神崎駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度53分41.7秒東経140度24分38秒","■成田線","31.6 km（佐倉起点）千葉から47.7 km","東日本旅客鉄道（JR東日本）","1898年（明治31年）2月3日[1]","地上駅","千葉県香取郡神崎町郡1235北緯35度53分41.7秒東経140度24分38秒座標:北緯35度53分41.7秒 東経140度24分38秒","2面2線","業務委託駅*1957年に郡駅から改称[1]。","コウ","793人/日（降車客含まず）-2019年-","","","","","","","","",""
"下総橘駅","下総橘駅（しもうさたちばなえき）","https://ja.wikipedia.org/wiki/下総橘駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度49分7.2秒東経140度42分8.2秒","■成田線","62.9 km（佐倉起点）千葉から79.0 km","東日本旅客鉄道（JR東日本）","1933年（昭和8年）3月11日[1]","地上駅","千葉県香取郡東庄町石出1791北緯35度49分7.2秒東経140度42分8.2秒座標:北緯35度49分7.2秒 東経140度42分8.2秒","1面1線","無人駅","シタ","408人/日（降車客含まず）-2015年-","","","","","","","","",""
"下総豊里駅","下総豊里駅（しもうさとよさとえき）","https://ja.wikipedia.org/wiki/下総豊里駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度47分35.19秒東経140度43分14.48秒","■成田線","66.2 km（佐倉起点）千葉から82.3 km","東日本旅客鉄道（JR東日本）","1933年（昭和8年）3月11日[1]","地上駅","千葉県銚子市笹本町73-4北緯35度47分35.19秒東経140度43分14.48秒座標:北緯35度47分35.19秒 東経140度43分14.48秒","2面2線","無人駅（乗車駅証明書発行機 有）","トト","171人/日（降車客含まず）-2006年-","","","","","","","","",""
"下総中山駅","下総中山駅（しもうさなかやまえき）","https://ja.wikipedia.org/wiki/下総中山駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度42分51秒東経139度56分36秒","■総武線（各駅停車）（正式には総武本線）","19.0 km（東京起点）千葉から20.2 km","東日本旅客鉄道（JR東日本）","1895年（明治28年）4月12日","高架駅","千葉県船橋市本中山二丁目17-37北緯35度42分51秒東経139度56分36秒座標:北緯35度42分51秒 東経139度56分36秒","1面2線","業務委託駅*1915年に中山駅から改称。","ナマ","24,181人/日（降車客含まず）-2019年-","JB29","","","","","","","",""
"下総松崎駅","下総松崎駅（しもうさまんざきえき）","https://ja.wikipedia.org/wiki/下総松崎駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度48分27.6秒東経140度6分40.3秒","■成田線（我孫子支線）","27.8 km（我孫子起点）","東日本旅客鉄道（JR東日本）","1901年（明治34年）8月10日[1]","地上駅","千葉県成田市大竹340北緯35度48分27.6秒東経140度6分40.3秒﻿ / ﻿北緯35.807667度 東経140.111194度﻿ /35.807667; 140.111194座標:北緯35度48分27.6秒東経140度6分40.3秒﻿ / ﻿北緯35.807667度 東経140.111194度﻿ /35.807667; 140.111194","2面2線","業務委託駅*1920年に松崎駅から改称。","マサ","712人/日（降車客含まず）-2019年-","","","","","","","","",""
"下浦駅","下浦駅（しもうらえき）","https://ja.wikipedia.org/wiki/下浦駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度4分3.69秒東経134度25分15.68秒","■徳島線","56.3 km（佃起点）","四国旅客鉄道（JR四国）","1934年（昭和9年）9月20日","地上駅","徳島県名西郡石井町大字浦庄字下浦122番地北緯34度4分3.69秒東経134度25分15.68秒﻿ / ﻿北緯34.0676917度 東経134.4210222度﻿ /34.0676917; 134.4210222座標:北緯34度4分3.69秒東経134度25分15.68秒﻿ / ﻿北緯34.0676917度 東経134.4210222度﻿ /34.0676917; 134.4210222","1面1線","無人駅","シラ","","○B06","","","","","","","",""
"下宇和駅","下宇和駅（しもうわえき）","https://ja.wikipedia.org/wiki/下宇和駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度20分58.95秒東経132度31分52.22秒","■予讃線","280.0 km（高松起点）","四国旅客鉄道（JR四国）","1941年（昭和16年）7月2日","地上駅","愛媛県西予市宇和町皆田北緯33度20分58.95秒東経132度31分52.22秒﻿ / ﻿北緯33.3497083度 東経132.5311722度﻿ /33.3497083; 132.5311722座標:北緯33度20分58.95秒東経132度31分52.22秒﻿ / ﻿北緯33.3497083度 東経132.5311722度﻿ /33.3497083; 132.5311722","2面2線","無人駅","シウ","","○U23","26[1]人/日-2019年-","","","","","","",""
"下大利駅","下大利駅（しもおおりえき）","https://ja.wikipedia.org/wiki/下大利駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度31分19.73秒東経130度29分21.97秒","■天神大牟田線","11.6 km（西鉄福岡（天神）起点）","西日本鉄道","1924年（大正13年）4月12日","地上駅","福岡県大野城市下大利一丁目北緯33度31分19.73秒東経130度29分21.97秒﻿ / ﻿北緯33.5221472度 東経130.4894361度﻿ /33.5221472; 130.4894361座標:北緯33度31分19.73秒東経130度29分21.97秒﻿ / ﻿北緯33.5221472度 東経130.4894361度﻿ /33.5221472; 130.4894361","2面2線","","","","T  11 ","15,548人/日-2019年-","","","","","","",""
"下小川駅","下小川駅（しもおがわえき）","https://ja.wikipedia.org/wiki/下小川駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度40分8.7秒東経140度23分13.6秒","■水郡線","40.7 km（水戸起点）","東日本旅客鉄道（JR東日本）","1925年（大正14年）8月15日","地上駅","茨城県常陸大宮市盛金2358北緯36度40分8.7秒東経140度23分13.6秒","2面2線","無人駅","シモ","","","","","","","","","",""
"下奥井駅","下奥井駅（しもおくいえき）","https://ja.wikipedia.org/wiki/下奥井駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度42分42.7秒東経137度13分28.4秒","■富山港線","2.1 km（富山駅起点）","富山地方鉄道","2006年4月29日","地上駅","富山県富山市下奥井北緯36度42分42.7秒東経137度13分28.4秒﻿ / ﻿北緯36.711861度 東経137.224556度﻿ /36.711861; 137.224556﻿ (下奥井駅)座標:北緯36度42分42.7秒東経137度13分28.4秒﻿ / ﻿北緯36.711861度 東経137.224556度﻿ /36.711861; 137.224556﻿ (下奥井駅)","2面1線","旧駅は1927年6月1日開業、2006年3月1日廃止。","シク（転換前）","","C30","241[1]人/日-2019年-","","","","","","",""
"下小田井駅","下小田井駅（しもおたいえき）","https://ja.wikipedia.org/wiki/下小田井駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度12分7.6秒東経136度52分14.3秒","犬山線","1.0 km（枇杷島分岐点起点）","名古屋鉄道","1912年（大正元年）8月6日","地上駅","愛知県清須市西枇杷島町上新36北緯35度12分7.6秒東経136度52分14.3秒﻿ / ﻿北緯35.202111度 東経136.870639度﻿ /35.202111; 136.870639座標:北緯35度12分7.6秒東経136度52分14.3秒﻿ / ﻿北緯35.202111度 東経136.870639度﻿ /35.202111; 136.870639","相対式 2面2線","*東枇杷島(NH38) まで1.6km","","","IY  01 ","3,779人/日-2019年[1]-","","","","","","",""
"下落合駅","下落合駅（しもおちあいえき）","https://ja.wikipedia.org/wiki/下落合駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度42分57秒東経139度41分42.5秒","■新宿線","3.2 km（西武新宿起点）","西武鉄道","1927年（昭和2年）4月16日","地上駅","東京都新宿区下落合一丁目16-1北緯35度42分57秒東経139度41分42.5秒﻿ / ﻿北緯35.71583度 東経139.695139度﻿ /35.71583; 139.695139座標:北緯35度42分57秒東経139度41分42.5秒﻿ / ﻿北緯35.71583度 東経139.695139度﻿ /35.71583; 139.695139","2面2線","","","","SS03","12,435人/日-2019年-","","","","","","",""
"下金山駅","下金山駅（しもかなやまえき）","https://ja.wikipedia.org/wiki/下金山駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯43度11分50.32秒東経142度24分55.5秒","■根室本線","74.7 km（滝川起点）","北海道旅客鉄道（JR北海道）","1913年（大正2年）10月1日","地上駅","北海道空知郡南富良野町字下金山北緯43度11分50.32秒東経142度24分55.5秒﻿ / ﻿北緯43.1973111度 東経142.415417度﻿ /43.1973111; 142.415417﻿ (下金山駅)","1面1線","無人駅","シモ","","○T33","52人/日-2013年-","","","","","","",""
"下鴨生駅","下鴨生駅（しもかもおえき）","https://ja.wikipedia.org/wiki/下鴨生駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度36分52.73秒東経130度43分42.54秒","JJ後藤寺線","8.3 km（田川後藤寺起点）","九州旅客鉄道（JR九州）","1916年（大正5年）2月1日[1]","地上駅","福岡県嘉麻市鴨生[1]864北緯33度36分52.73秒東経130度43分42.54秒﻿ / ﻿北緯33.6146472度 東経130.7284833度﻿ /33.6146472; 130.7284833座標:北緯33度36分52.73秒東経130度43分42.54秒﻿ / ﻿北緯33.6146472度 東経130.7284833度﻿ /33.6146472; 130.7284833","1面2線[1]","無人駅[1]（自動券売機 有）*1956年に赤坂駅から改称[1]。","モカ","","JJ  03 ","","","","","","","",""
"下川合駅","下川合駅（しもかわいえき）","https://ja.wikipedia.org/wiki/下川合駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度4分9.30秒東経137度47分10.51秒","CD飯田線","59.9 km（豊橋起点）","東海旅客鉄道（JR東海）","1934年（昭和9年）11月11日[1]","地上駅","浜松市天竜区佐久間町川合595北緯35度4分9.30秒東経137度47分10.51秒﻿ / ﻿北緯35.0692500度 東経137.7862528度﻿ /35.0692500; 137.7862528座標:北緯35度4分9.30秒東経137度47分10.51秒﻿ / ﻿北緯35.0692500度 東経137.7862528度﻿ /35.0692500; 137.7862528","1面1線","駅員無配置駅","モカ","13人/日（降車客含まず）-2019年-","","","","","","","","",""
"下川沿駅","下川沿駅（しもかわぞいえき）","https://ja.wikipedia.org/wiki/下川沿駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯40度16分35.73秒東経140度29分51.61秒","■奥羽本線","397.7 km（福島起点）","東日本旅客鉄道（JR東日本）","1954年（昭和29年）5月1日[1]","地上駅","秋田県大館市川口字隼人岱[1]北緯40度16分35.73秒東経140度29分51.61秒座標:北緯40度16分35.73秒 東経140度29分51.61秒","2面2線[1]","無人駅（自動券売機 有）[1]","シカ","","","","","","","","","",""
"下川辺駅","下川辺駅（しもかわべえき）","https://ja.wikipedia.org/wiki/下川辺駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度33分14.39秒東経133度12分20.12秒","Z福塩線","27.9 km（福山起点）","西日本旅客鉄道（JR西日本）","1938年（昭和13年）7月28日","地上駅","広島県府中市篠根町牛田741-6北緯34度33分14.39秒東経133度12分20.12秒﻿ / ﻿北緯34.5539972度 東経133.2055889度﻿ /34.5539972; 133.2055889﻿ (下川辺駅)","1面1線","無人駅","シカ","13人/日（降車客含まず）-2019年-","","","","","","","","",""
"下祇園駅","下祇園駅（しもぎおんえき）","https://ja.wikipedia.org/wiki/下祇園駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度26分22.35秒東経132度27分45.84秒","B可部線","3.9km（横川起点）広島から6.9 km","西日本旅客鉄道（JR西日本）","1913年（大正2年）5月頃","地上駅","広島市安佐南区祇園三丁目11-1北緯34度26分22.35秒東経132度27分45.84秒﻿ / ﻿北緯34.4395417度 東経132.4627333度﻿ /34.4395417; 132.4627333座標:北緯34度26分22.35秒東経132度27分45.84秒﻿ / ﻿北緯34.4395417度 東経132.4627333度﻿ /34.4395417; 132.4627333","1面2線","業務委託駅みどりの窓口有広島市内駅","キオ","5,538人/日（降車客含まず）-2019年-","JR-B06","","","","","","","",""
"下北駅","下北駅（しもきたえき）","https://ja.wikipedia.org/wiki/下北駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯41度16分58.88秒東経141度11分23.10秒","■大湊線","55.5 km（野辺地起点）","東日本旅客鉄道（JR東日本）","1939年（昭和14年）12月6日","地上駅","青森県むつ市下北町4-13北緯41度16分58.88秒東経141度11分23.10秒座標:北緯41度16分58.88秒 東経141度11分23.10秒","1面1線","業務委託駅みどりの窓口有下北交通大畑線- 2001年廃止","シモ","177人/日（降車客含まず）-2019年-","","","","","","","","",""
"下北沢駅","下北沢駅（しもきたざわえき）","https://ja.wikipedia.org/wiki/下北沢駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度39分41.5秒東経139度40分2.5秒","","","小田急電鉄（駅詳細）京王電鉄（駅詳細）","","","東京都世田谷区北沢北緯35度39分41.5秒東経139度40分2.5秒﻿ / ﻿北緯35.661528度 東経139.667361度﻿ /35.661528; 139.667361座標:北緯35度39分41.5秒東経139度40分2.5秒﻿ / ﻿北緯35.661528度 東経139.667361度﻿ /35.661528; 139.667361","","","","","","","","","","","","",""
"下切駅","下切駅（しもぎりえき）","https://ja.wikipedia.org/wiki/下切駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度23分36.255秒東経137度3分49.813秒","CI太多線","9.4 km（多治見起点）","東海旅客鉄道（JR東海）","1952年（昭和27年）12月26日","地上駅","岐阜県可児市下切2117北緯35度23分36.255秒東経137度3分49.813秒﻿ / ﻿北緯35.39340417度 東経137.06383694度﻿ /35.39340417; 137.06383694座標:北緯35度23分36.255秒東経137度3分49.813秒﻿ / ﻿北緯35.39340417度 東経137.06383694度﻿ /35.39340417; 137.06383694","1面1線","駅員無配置駅","シモ←シモギリ","530人/日（降車客含まず）-2019年-","CI  03 ","","","","","","","",""
"甚目寺駅","甚目寺駅（じもくじえき）","https://ja.wikipedia.org/wiki/甚目寺駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度11分45.55秒東経136度49分32.3秒","津島線","2.0 km（須ヶ口起点）","名古屋鉄道","1914年（大正3年）1月23日","地上駅","愛知県あま市甚目寺郷浦35北緯35度11分45.55秒東経136度49分32.3秒﻿ / ﻿北緯35.1959861度 東経136.825639度﻿ /35.1959861; 136.825639座標:北緯35度11分45.55秒東経136度49分32.3秒﻿ / ﻿北緯35.1959861度 東経136.825639度﻿ /35.1959861; 136.825639","相対式 2面2線","","","","TB  01 ","10,693人/日-2019年[1]-","","","","","","",""
"下久野駅","下久野駅（しもくのえき）","https://ja.wikipedia.org/wiki/下久野駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度15分53.24秒東経132度59分32.13秒","E木次線","31.5 km（宍道起点）","西日本旅客鉄道（JR西日本）","1932年（昭和7年）12月18日","地上駅","島根県雲南市大東町下久野691北緯35度15分53.24秒東経132度59分32.13秒﻿ / ﻿北緯35.2647889度 東経132.9922583度﻿ /35.2647889; 132.9922583座標:北緯35度15分53.24秒東経132度59分32.13秒﻿ / ﻿北緯35.2647889度 東経132.9922583度﻿ /35.2647889; 132.9922583","1面1線","簡易委託駅","クノ","4人/日（降車客含まず）-2018年-","","","","","","","","",""
"下府駅","下府駅（しもこうえき）","https://ja.wikipedia.org/wiki/下府駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度55分37.57秒東経132度6分37.42秒","D山陰本線","469.7 km（京都起点）","西日本旅客鉄道（JR西日本）","1921年（大正10年）9月1日","地上駅","島根県浜田市下府町855北緯34度55分37.57秒東経132度6分37.42秒﻿ / ﻿北緯34.9271028度 東経132.1103944度﻿ /34.9271028; 132.1103944﻿ (下府駅)","2面2線","無人駅","シモ","87人/日（降車客含まず）-2018年-","","","","","","","","",""
"下郡駅","下郡駅（しもごおりえき）","https://ja.wikipedia.org/wiki/下郡駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度21分18.8秒東経140度3分19.5秒","■久留里線","15.2 km（木更津起点）","東日本旅客鉄道（JR東日本）","1937年（昭和12年）4月20日[1]","地上駅","千葉県君津市山本湯名下2北緯35度21分18.8秒東経140度3分19.5秒座標:北緯35度21分18.8秒 東経140度3分19.5秒","1面1線","無人駅（乗車駅証明書発行機 有）","モコ","78人/日（降車客含まず）-2006年-","","","","","","","","",""
"下古沢駅","下古沢駅（しもこさわえき）","https://ja.wikipedia.org/wiki/下古沢駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度15分59.35秒東経135度33分11.55秒","■高野線","55.9km（汐見橋起点）難波から55.2 km","南海電気鉄道","1928年（昭和3年）6月18日","地上駅","和歌山県伊都郡九度山町大字下古沢北緯34度15分59.35秒東経135度33分11.55秒﻿ / ﻿北緯34.2664861度 東経135.5532083度﻿ /34.2664861; 135.5532083座標:北緯34度15分59.35秒東経135度33分11.55秒﻿ / ﻿北緯34.2664861度 東経135.5532083度﻿ /34.2664861; 135.5532083","2面2線","業務委託駅","","","NK 82","36人/日-2019年-","","","","","","",""
"下小代駅","下小代駅（しもごしろえき）","https://ja.wikipedia.org/wiki/下小代駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度39分3.622秒東経139度42分49.46秒","■日光線","78.5 km（東武動物公園起点）","東武鉄道","1929年（昭和4年）7月7日","地上駅","栃木県日光市小代329北緯36度39分3.622秒東経139度42分49.46秒﻿ / ﻿北緯36.65100611度 東経139.7137389度﻿ /36.65100611; 139.7137389﻿ (下小代駅)座標:北緯36度39分3.622秒東経139度42分49.46秒﻿ / ﻿北緯36.65100611度 東経139.7137389度﻿ /36.65100611; 139.7137389﻿ (下小代駅)","1面2線","簡易委託駅","コロ","","TN21","190人/日-2019年-","","","","","","",""
"下狛駅","下狛駅（しもこまえき）","https://ja.wikipedia.org/wiki/下狛駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","H片町線（学研都市線）","7.4 km（木津起点）","西日本旅客鉄道（JR西日本）","1952年（昭和27年）12月1日","地上駅","","1面1線","無人駅（自動券売機 有）","コマ","456人/日（降車客含まず）-2019年-","JR-H21","","狛田駅（近鉄京都線）","","","","","",""
"下里駅","下里駅（しもさとえき）","https://ja.wikipedia.org/wiki/下里駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","W紀勢本線（きのくに線）","201.1km（亀山起点）新宮から20.9 km","西日本旅客鉄道（JR西日本）","1935年（昭和10年）7月18日[1]","地上駅","","2面2線","無人駅","シサ","72人/日（降車客含まず）-2019年-","","","","","","","","",""
"下地駅","下地駅（しもじえき）","https://ja.wikipedia.org/wiki/下地駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度46分51秒東経137度22分14秒","CD飯田線","2.2 km（豊橋起点）","東海旅客鉄道（JR東海）","1925年（大正14年）12月23日","地上駅（盛土上）","愛知県豊橋市横須賀町後口北緯34度46分51秒東経137度22分14秒﻿ / ﻿北緯34.78083度 東経137.37056度﻿ /34.78083; 137.37056座標:北緯34度46分51秒東経137度22分14秒﻿ / ﻿北緯34.78083度 東経137.37056度﻿ /34.78083; 137.37056","2面2線","駅員無配置駅","モチ","223人/日（降車客含まず）-2019年-","CD  02 ","","","","","","","",""
"下志比駅","下志比駅（しもしいえき）","https://ja.wikipedia.org/wiki/下志比駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度5分26.5秒東経136度20分11秒","■勝山永平寺線","11.9 km（福井起点）","えちぜん鉄道","1951年（昭和26年）12月15日","地上駅","福井県吉田郡永平寺町谷口12-41-2北緯36度5分26.5秒東経136度20分11秒﻿ / ﻿北緯36.090694度 東経136.33639度﻿ /36.090694; 136.33639座標:北緯36度5分26.5秒東経136度20分11秒﻿ / ﻿北緯36.090694度 東経136.33639度﻿ /36.090694; 136.33639","1面1線","無人駅","","","○E13","84人/日-2019年-","","","","","","",""
"下島駅 (長野県伊那市)","下島駅 (長野県伊那市)（しもじまえき・東海旅客鉄道飯田線）","https://ja.wikipedia.org/wiki/下島駅_(長野県伊那市)","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度48分45.70秒東経137度56分24.18秒","CD飯田線","174.5 km（豊橋起点）","東海旅客鉄道（JR東海）","1913年（大正2年）12月27日[1]","地上駅","長野県伊那市西春近小出島区北緯35度48分45.70秒東経137度56分24.18秒﻿ / ﻿北緯35.8126944度 東経137.9400500度﻿ /35.8126944; 137.9400500座標:北緯35度48分45.70秒東経137度56分24.18秒﻿ / ﻿北緯35.8126944度 東経137.9400500度﻿ /35.8126944; 137.9400500","1面1線[1]","駅員無配置駅[1]標高：623m[1]","モマ[1]","69人/日（降車客含まず）-2018年-","","","","","","","","",""
"下島駅 (長野県松本市)","下島駅 (長野県松本市)（しもじまえき・アルピコ交通上高地線）","https://ja.wikipedia.org/wiki/下島駅_(長野県松本市)","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度12分22.85秒東経137度52分19.12秒","上高地線","9.5 km（松本起点）","アルピコ交通","1922年（大正11年）5月10日[1]","地上駅","長野県松本市波田下島4417-12北緯36度12分22.85秒東経137度52分19.12秒﻿ / ﻿北緯36.2063472度 東経137.8719778度﻿ /36.2063472; 137.8719778座標:北緯36度12分22.85秒東経137度52分19.12秒﻿ / ﻿北緯36.2063472度 東経137.8719778度﻿ /36.2063472; 137.8719778","1面1線[1]","","","192人/日（降車客含まず）-2017年-","AK-11","419人/日-2017年-","","","","","","",""
"下新庄駅","下新庄駅（しもしんじょうえき）","https://ja.wikipedia.org/wiki/下新庄駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度44分48.84秒東経135度31分11.05秒","■千里線","4.4 km（天神橋筋六丁目起点）大阪梅田から7.5 km","阪急電鉄","1921年（大正10年）4月1日","地上駅","大阪市東淀川区下新庄五丁目1番21号[1]北緯34度44分48.84秒東経135度31分11.05秒﻿ / ﻿北緯34.7469000度 東経135.5197361度﻿ /34.7469000; 135.5197361座標:北緯34度44分48.84秒東経135度31分11.05秒﻿ / ﻿北緯34.7469000度 東経135.5197361度﻿ /34.7469000; 135.5197361","2面2線","","","","HK88","9,084人/日-2019年-","","","","","","",""
"下新田駅","下新田駅（しもしんでんえき）","https://ja.wikipedia.org/wiki/下新田駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度24分27.31秒東経139度18分54.24秒","■わたらせ渓谷線","1.9 km（桐生起点）","わたらせ渓谷鐵道","1992年（平成4年）3月14日","地上駅","群馬県桐生市相生町二丁目18-15北緯36度24分27.31秒東経139度18分54.24秒﻿ / ﻿北緯36.4075861度 東経139.3150667度﻿ /36.4075861; 139.3150667座標:北緯36度24分27.31秒東経139度18分54.24秒﻿ / ﻿北緯36.4075861度 東経139.3150667度﻿ /36.4075861; 139.3150667","1面1線","","モシ","","WK02","56人/日-2019年-","","","","","","",""
