"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","電報略号","駅番号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","種類","市場情報","本社所在地","設立"
"豊明駅","豊明駅（とよあけえき）","https://ja.wikipedia.org/wiki/豊明駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度2分27秒東経137度0分30秒","名古屋本線","48.1 km（豊橋起点）","名古屋鉄道（名鉄）","愛知県豊明市阿野町明定131北緯35度2分27秒東経137度0分30秒﻿ / ﻿北緯35.04083度 東経137.00833度﻿ /35.04083; 137.00833座標:北緯35度2分27秒東経137度0分30秒﻿ / ﻿北緯35.04083度 東経137.00833度﻿ /35.04083; 137.00833","島式 3面6線","1923年（大正12年）4月1日","橋上駅[1]","*1956年阿野駅から改称無人駅","","NH  22 ","5,144人/日-2019年[2]-","","","","","","","",""
"豊浦駅","豊浦駅（とようらえき）","https://ja.wikipedia.org/wiki/豊浦駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯42度34分48.99秒東経140度42分55.34秒","■室蘭本線","36.1 km（長万部起点）","北海道旅客鉄道（JR北海道）","北海道虻田郡豊浦町字旭町北緯42度34分48.99秒東経140度42分55.34秒﻿ / ﻿北緯42.5802750度 東経140.7153722度﻿ /42.5802750; 140.7153722﻿ (豊浦駅)","地上駅","1928年（昭和3年）9月10日","2面3線","簡易委託駅","ヨラ","○H42","186人/日-2015年-","","","","","","","",""
"豊岡駅 (静岡県)","豊岡駅 (静岡県)（とよおかえき・天竜浜名湖鉄道天竜浜名湖線）","https://ja.wikipedia.org/wiki/豊岡駅_(静岡県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度50分14.25秒東経137度50分23.31秒","天竜浜名湖線*","23.0 km（掛川起点）","天竜浜名湖鉄道","静岡県磐田市新開144-1北緯34度50分14.25秒東経137度50分23.31秒﻿ / ﻿北緯34.8372917度 東経137.8398083度﻿ /34.8372917; 137.8398083座標:北緯34度50分14.25秒東経137度50分23.31秒﻿ / ﻿北緯34.8372917度 東経137.8398083度﻿ /34.8372917; 137.8398083","地上駅","1940年（昭和15年）6月1日","2面2線","*1987年まで国鉄二俣線。","ノヘ（改称前）","","","76人/日（降車客含まず）-2018年-","","","","","","",""
"豊岡駅 (兵庫県)","豊岡駅 (兵庫県)（とよおかえき・西日本旅客鉄道山陰本線・京都丹後鉄道宮津線）","https://ja.wikipedia.org/wiki/豊岡駅_(兵庫県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）WILLER TRAINS（駅詳細）","兵庫県豊岡市大手町","","","","","","","","","","","","","","",""
"豊川駅 (愛知県)","豊川駅 (愛知県)（とよかわえき・東海旅客鉄道飯田線）","https://ja.wikipedia.org/wiki/豊川駅_(愛知県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度49分21秒東経137度23分50秒","CD飯田線","8.7 km（豊橋起点）","東海旅客鉄道（JR東海）日本貨物鉄道（JR貨物）","愛知県豊川市豊川町仁保通10北緯34度49分21秒東経137度23分50秒﻿ / ﻿北緯34.82250度 東経137.39722度﻿ /34.82250; 137.39722座標:北緯34度49分21秒東経137度23分50秒﻿ / ﻿北緯34.82250度 東経137.39722度﻿ /34.82250; 137.39722","地上駅（橋上駅）","1897年（明治30年）7月15日","2面3線","駅長配置駅（管理駅）JR全線きっぷうりば有","カワ","CD  05 ","","3,296人/日（降車客含まず）-2017年-","豊川稲荷駅（名鉄豊川線）","","","","","",""
"豊川駅 (大阪府)","豊川駅 (大阪府)（とよかわえき・大阪高速鉄道国際文化公園都市線）","https://ja.wikipedia.org/wiki/豊川駅_(大阪府)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度50分4.9秒東経135度31分36.39秒","■彩都線","4.4 km（万博記念公園起点）","大阪モノレール","大阪府茨木市豊川4丁目北緯34度50分4.9秒東経135度31分36.39秒﻿ / ﻿北緯34.834694度 東経135.5267750度﻿ /34.834694; 135.5267750座標:北緯34度50分4.9秒東経135度31分36.39秒﻿ / ﻿北緯34.834694度 東経135.5267750度﻿ /34.834694; 135.5267750","高架駅","2007年（平成19年）3月19日[1]","島式 1面2線","",""," 53 ","","","","3,033人/日-2019年-","","","","",""
"豊川稲荷駅","豊川稲荷駅（とよかわいなりえき）","https://ja.wikipedia.org/wiki/豊川稲荷駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度49分19.5秒東経137度23分46.7秒","豊川線","7.2 km（国府起点）","名古屋鉄道","愛知県豊川市豊川町仁保通21-5北緯34度49分19.5秒東経137度23分46.7秒﻿ / ﻿北緯34.822083度 東経137.396306度﻿ /34.822083; 137.396306座標:北緯34度49分19.5秒東経137度23分46.7秒﻿ / ﻿北緯34.822083度 東経137.396306度﻿ /34.822083; 137.396306","地上駅","1954年（昭和29年）12月25日","1面2線","*1955年新豊川駅から改称。","","TK  04 ","5,270人/日-2019年-","","JR東海・飯田線（豊川駅）","","","","","",""
"豊頃駅","豊頃駅（とよころえき）","https://ja.wikipedia.org/wiki/豊頃駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯42度49分3.12秒東経143度32分19.1秒","■根室本線","218.2 km（滝川起点）","北海道旅客鉄道（JR北海道）","北海道中川郡豊頃町豊頃旭町北緯42度49分3.12秒東経143度32分19.1秒﻿ / ﻿北緯42.8175333度 東経143.538639度﻿ /42.8175333; 143.538639﻿ (豊頃駅)","地上駅","1904年（明治37年）8月12日","2面2線","無人駅","ヨコ","○K38","40人/日-2014年-","","","","","","","",""
"豊栄駅","豊栄駅（とよさかえき）","https://ja.wikipedia.org/wiki/豊栄駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯37度55分11.05秒東経139度12分56.3秒","■白新線","15.0 km（新潟起点）","東日本旅客鉄道（JR東日本）","新潟市北区白新町[1]一丁目1-35北緯37度55分11.05秒東経139度12分56.3秒座標:北緯37度55分11.05秒 東経139度12分56.3秒","地上駅（橋上駅）[1]","1952年（昭和27年）12月23日[1]","2面3線[1]","業務委託駅みどりの窓口有[1]*1976年に葛塚駅から改称[1]。","トサ","","","3,578人/日（降車客含まず）-2019年-","","","","","","",""
"豊郷駅 (滋賀県)","豊郷駅（とよさとえき）","https://ja.wikipedia.org/wiki/豊郷駅_(滋賀県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度11分51.79秒東経136度13分50.57秒","■本線（湖東近江路線）","15.0 km（米原起点）","近江鉄道","滋賀県犬上郡豊郷町八目11-1北緯35度11分51.79秒東経136度13分50.57秒﻿ / ﻿北緯35.1977194度 東経136.2307139度﻿ /35.1977194; 136.2307139﻿ (豊郷駅)座標:北緯35度11分51.79秒東経136度13分50.57秒﻿ / ﻿北緯35.1977194度 東経136.2307139度﻿ /35.1977194; 136.2307139﻿ (豊郷駅)","地上駅","1899年（明治32年）3月19日","相対式　2面2線","","","OR11","215人/日-2015年-","","","","","","","",""
"豊四季駅","豊四季駅（とよしきえき）","https://ja.wikipedia.org/wiki/豊四季駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度51分59.5秒東経139度56分22.2秒","■野田線（東武アーバンパークライン）","39.7 km（大宮起点）","東武鉄道","千葉県柏市豊四季159北緯35度51分59.5秒東経139度56分22.2秒﻿ / ﻿北緯35.866528度 東経139.939500度﻿ /35.866528; 139.939500座標:北緯35度51分59.5秒東経139度56分22.2秒﻿ / ﻿北緯35.866528度 東経139.939500度﻿ /35.866528; 139.939500","地上駅","1911年（明治44年）5月9日","2面2線","","トヨ","TD23","15,656人/日-2019年-","","","","","","","",""
"豊科駅","豊科駅（とよしなえき）","https://ja.wikipedia.org/wiki/豊科駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度18分0.78秒東経137度54分3.49秒","■大糸線","11.4 km（松本起点）","東日本旅客鉄道（JR東日本）","長野県安曇野市豊科[1]北緯36度18分0.78秒東経137度54分3.49秒﻿ / ﻿北緯36.3002167度 東経137.9009694度﻿ /36.3002167; 137.9009694座標:北緯36度18分0.78秒東経137度54分3.49秒﻿ / ﻿北緯36.3002167度 東経137.9009694度﻿ /36.3002167; 137.9009694","地上駅","1915年（大正4年）1月6日[3][4]","1面2線[1]","直営駅（管理駅）みどりの窓口有[1]標高：552.7m[1]","トシ[1]","□34[2]","","924人/日（降車客含まず）-2019年-","","","","","","",""
"豊洲駅","豊洲駅（とよすえき）","https://ja.wikipedia.org/wiki/豊洲駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","","","東京地下鉄（東京メトロ・駅詳細）ゆりかもめ（駅詳細）","東京都江東区豊洲","","","","","","","","","","","","","","",""
"豊田駅","豊田駅（とよだえき）","https://ja.wikipedia.org/wiki/豊田駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度39分34.2秒東経139度22分53.3秒","■■中央本線（中央線）","32.8 km（新宿起点）東京から43.1 km","東日本旅客鉄道（JR東日本）","東京都日野市豊田四丁目41-41北緯35度39分34.2秒東経139度22分53.3秒﻿ / ﻿北緯35.659500度 東経139.381472度﻿ /35.659500; 139.381472﻿ (豊田駅)","地上駅（橋上駅）","1901年（明治34年）2月22日","2面4線","直営駅話せる指定席券売機設置駅[1][2]","トタ","JC21","","35,718人/日（降車客含まず）-2019年-","","","","","","",""
"豊田市駅","豊田市駅（とよたしえき）","https://ja.wikipedia.org/wiki/豊田市駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度5分14秒東経137度9分22.8秒","三河線（豊田線直通含む）","5.6km（猿投起点）知立から15.7 km","名古屋鉄道","愛知県豊田市若宮町一丁目35北緯35度5分14秒東経137度9分22.8秒﻿ / ﻿北緯35.08722度 東経137.156333度﻿ /35.08722; 137.156333座標:北緯35度5分14秒東経137度9分22.8秒﻿ / ﻿北緯35.08722度 東経137.156333度﻿ /35.08722; 137.156333","高架駅","1920年（大正9年）11月1日","単式・島式 2面3線","*1959年挙母駅より改称。","","MY  07 ","36,470人/日-2019年[1]-","","■愛知環状鉄道（新豊田駅）","","","","","",""
"豊田町駅","豊田町駅（とよだちょうえき）","https://ja.wikipedia.org/wiki/豊田町駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度42分43.28秒東経137度49分12.02秒","CA東海道本線（静岡地区）","248.8 km（東京起点）","東海旅客鉄道（JR東海）","静岡県磐田市立野490北緯34度42分43.28秒東経137度49分12.02秒","地上駅（橋上駅）[1]","1991年（平成3年）12月14日[1]","2面2線[1]","業務委託駅JR全線きっぷうりば有","トタ","CA  32 ","","2,850人/日（降車客含まず）-2019年-","","","","","","",""
"豊田本町駅","豊田本町駅（とよだほんまちえき）","https://ja.wikipedia.org/wiki/豊田本町駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度6分49秒東経136度54分39秒","常滑線","1.4 km（神宮前起点）","名古屋鉄道","名古屋市南区豊一丁目26-17北緯35度6分49秒東経136度54分39秒﻿ / ﻿北緯35.11361度 東経136.91083度﻿ /35.11361; 136.91083座標:北緯35度6分49秒東経136度54分39秒﻿ / ﻿北緯35.11361度 東経136.91083度﻿ /35.11361; 136.91083","高架駅","1957年（昭和32年）2月20日","島式 1面2線","","","TA  01 ","5,036人/日-2019年[1]-","","","","","","","",""
"トヨタモビリティ富山 Gスクエア五福前（五福末広町）停留場","トヨタモビリティ富山 Gスクエア五福前（五福末広町）停留場（トヨタモビリティとやま じースクエアごふくまえ（ごふくすえひろちょう）ていりゅうじょう）","https://ja.wikipedia.org/wiki/トヨタモビリティ富山_Gスクエア五福前（五福末広町）停留場","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度41分44.4秒東経137度11分39.8秒","富山軌道線（呉羽線）","1.0km（安野屋起点）南富山駅前から6.0 km","富山地方鉄道[1]","富山県富山市五福末広町[1]北緯36度41分44.4秒東経137度11分39.8秒﻿ / ﻿北緯36.695667度 東経137.194389度﻿ /36.695667; 137.194389座標:北緯36度41分44.4秒東経137度11分39.8秒﻿ / ﻿北緯36.695667度 東経137.194389度﻿ /36.695667; 137.194389","地上駅","1916年（大正5年）11月22日","相対式2面2線","","","C21","1,160[2]人/日-2019年-","","","","","","","",""
"豊津駅 (大阪府)","豊津駅 (大阪府)（とよつえき・阪急電鉄千里線）","https://ja.wikipedia.org/wiki/豊津駅_(大阪府)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度45分50.85秒東経135度30分33.87秒","■千里線","6.9 km（天神橋筋六丁目起点）大阪梅田から10.0 km","阪急電鉄","大阪府吹田市垂水町一丁目1番4号[1]北緯34度45分50.85秒東経135度30分33.87秒﻿ / ﻿北緯34.7641250度 東経135.5094083度﻿ /34.7641250; 135.5094083座標:北緯34度45分50.85秒東経135度30分33.87秒﻿ / ﻿北緯34.7641250度 東経135.5094083度﻿ /34.7641250; 135.5094083","地上駅","1921年（大正10年）4月1日","2面2線","","","HK90","（特定日）14,921人/日-2019年-","","","（全日）15,290人/日-2016年-","","","","",""
"豊津駅 (福岡県)","豊津駅 (福岡県)（とよつえき・平成筑豊鉄道田川線）","https://ja.wikipedia.org/wiki/豊津駅_(福岡県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度41分12.56秒東経130度57分46.59秒","■田川線","4.9 km（行橋起点）","■平成筑豊鉄道","福岡県行橋市大字矢留68北緯33度41分12.56秒東経130度57分46.59秒座標:北緯33度41分12.56秒 東経130度57分46.59秒","地上駅","1895年（明治28年）8月15日","2面2線","無人駅","トヨ","HC27","","","","","","","","",""
"豊津上野駅","豊津上野駅（とよつうえのえき）","https://ja.wikipedia.org/wiki/豊津上野駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度47分7.88秒東経136度32分37.38秒","E名古屋線","19.0 km（伊勢中川起点）","近畿日本鉄道（近鉄）","三重県津市河芸町中別保1581-1北緯34度47分7.88秒東経136度32分37.38秒﻿ / ﻿北緯34.7855222度 東経136.5437167度﻿ /34.7855222; 136.5437167座標:北緯34度47分7.88秒東経136度32分37.38秒﻿ / ﻿北緯34.7855222度 東経136.5437167度﻿ /34.7855222; 136.5437167","地上駅","1943年（昭和18年）7月1日","2面4線","","トヨ"," E35 ","","672人/日（降車客含まず）-2019年-","","","","","","",""
"豊富駅","豊富駅（とよとみえき）","https://ja.wikipedia.org/wiki/豊富駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯45度6分16.3秒東経141度46分20.6秒","■宗谷本線","215.9 km（旭川起点）","北海道旅客鉄道（JR北海道）","北海道天塩郡豊富町字豊富駅前通北緯45度6分16.3秒東経141度46分20.6秒","地上駅","1926年（大正15年）9月25日","2面2線","簡易委託駅","トト","○W74","68人/日-2014年-","","","","","","","",""
"豊中駅","豊中駅（とよなかえき）","https://ja.wikipedia.org/wiki/豊中駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度47分15.23秒東経135度27分40.83秒","■宝塚本線","10.5 km（大阪梅田起点）","阪急電鉄","大阪府豊中市本町一丁目1番1号[1]北緯34度47分15.23秒東経135度27分40.83秒﻿ / ﻿北緯34.7875639度 東経135.4613417度﻿ /34.7875639; 135.4613417座標:北緯34度47分15.23秒東経135度27分40.83秒﻿ / ﻿北緯34.7875639度 東経135.4613417度﻿ /34.7875639; 135.4613417","高架駅[2]","1913年（大正2年）9月29日","1面2線[2]","","","HK46","（特定日）53,784人/日-2016年-","","","（通年平均）47,953人/日-2017年-","","","","",""
"豊永駅","豊永駅（とよながえき）","https://ja.wikipedia.org/wiki/豊永駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度47分48.38秒東経133度45分34.59秒","■土讃線","76.7 km（多度津起点）","四国旅客鉄道（JR四国）","高知県長岡郡大豊町東土居北緯33度47分48.38秒東経133度45分34.59秒","地上駅","1934年（昭和9年）10月28日","1面2線","無人駅","トナ","○D29","18[1]人/日-2019年-","","","","","","","",""
"豊沼駅","豊沼駅（とよぬまえき）","https://ja.wikipedia.org/wiki/豊沼駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯43度27分53秒東経141度54分5秒","■函館本線","359.0 km（函館起点）","北海道旅客鉄道（JR北海道）","北海道砂川市東3条南19丁目北緯43度27分53秒東経141度54分5秒","地上駅","1942年（昭和17年）2月10日","2面2線","無人駅","トヌ","○A19","44人/日-2014年-","","","","","","","",""
"豊野駅","豊野駅（とよのえき）","https://ja.wikipedia.org/wiki/豊野駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度42分38.75秒東経138度16分30.27秒","■しなの鉄道北しなの線[3]","10.8 km（長野起点）","しなの鉄道[3]東日本旅客鉄道（JR東日本）","長野県長野市豊野町豊野[1][2]1002北緯36度42分38.75秒東経138度16分30.27秒﻿ / ﻿北緯36.7107639度 東経138.2750750度﻿ /36.7107639; 138.2750750座標:北緯36度42分38.75秒東経138度16分30.27秒﻿ / ﻿北緯36.7107639度 東経138.2750750度﻿ /36.7107639; 138.2750750","地上駅（橋上駅[2]）[1]","1888年（明治21年）5月1日[1][2]","2面3線[1][2]","共同使用駅（しなの鉄道の管轄駅）標高：334.6m","トノ[1]","","","（しなの鉄道）-2019年-970人/日（降車客含まず）（JR東日本）-2019年-1,216人/日（降車客含まず）","","","","","","",""
"豊橋駅","豊橋駅（とよはしえき）","https://ja.wikipedia.org/wiki/豊橋駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度45分46.119秒東経137度22分53.943秒","■東海道新幹線","293.6 km（東京起点）","東海旅客鉄道（JR東海）日本貨物鉄道（JR貨物）名古屋鉄道（名鉄）","愛知県豊橋市花田町字西宿北緯34度45分46.119秒東経137度22分53.943秒﻿ / ﻿北緯34.76281083度 東経137.38165083度﻿ /34.76281083; 137.38165083﻿ (豊橋駅)座標:北緯34度45分46.119秒東経137度22分53.943秒﻿ / ﻿北緯34.76281083度 東経137.38165083度﻿ /34.76281083; 137.38165083﻿ (豊橋駅)","地上駅（橋上駅）","1888年（明治21年）9月1日","2面3線（新幹線）5面8線（在来線・名鉄線1線含む）","共同使用駅JR東海：駅長配置駅（管理駅）JR東海：JR全線きっぷうりば有名鉄：駅員配置駅","トヨ","CA  42 ","（名鉄）35,285人/日-2019年-","（JR東海）28,783人/日（降車客含まず）（名鉄）17,626人/日（降車客含まず）-2019年-","新豊橋駅（豊橋鉄道渥美線）駅前停留場（豊橋鉄道東田本線）","","","","","",""
"豊橋公園前停留場","豊橋公園前停留場（とよはしこうえんまえていりゅうじょう）","https://ja.wikipedia.org/wiki/豊橋公園前停留場","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度46分0.42秒東経137度23分43.93秒","東田本線","1.6 km（駅前起点）","豊橋鉄道","愛知県豊橋市八町通四丁目北緯34度46分0.42秒東経137度23分43.93秒﻿ / ﻿北緯34.7667833度 東経137.3955361度﻿ /34.7667833; 137.3955361座標:北緯34度46分0.42秒東経137度23分43.93秒﻿ / ﻿北緯34.7667833度 東経137.3955361度﻿ /34.7667833; 137.3955361","地上駅","1927年（昭和2年）頃","2面2線","練兵場前停留場として開業。",""," 6 ","","","","","","","","",""
"豊浜駅","豊浜駅（とよはまえき）","https://ja.wikipedia.org/wiki/豊浜駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度4分47.19秒東経133度38分39.14秒","■予讃線","62.0 km（高松起点）","四国旅客鉄道（JR四国）","香川県観音寺市豊浜町姫浜字上林620番地1北緯34度4分47.19秒東経133度38分39.14秒﻿ / ﻿北緯34.0797750度 東経133.6442056度﻿ /34.0797750; 133.6442056座標:北緯34度4分47.19秒東経133度38分39.14秒﻿ / ﻿北緯34.0797750度 東経133.6442056度﻿ /34.0797750; 133.6442056","地上駅","1916年（大正5年）4月1日","1面2線","無人駅","トヨ","○Y20","","237人/日（降車客含まず）-2019年-","","","","","","",""
"豊原駅","豊原駅（とよはらえき）","https://ja.wikipedia.org/wiki/豊原駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯37度3分18.34秒東経140度9分18.73秒","■東北本線","176.7 km（東京起点）","東日本旅客鉄道（JR東日本）","栃木県那須郡那須町大字豊原甲2204北緯37度3分18.34秒東経140度9分18.73秒座標:北緯37度3分18.34秒 東経140度9分18.73秒","地上駅","1887年（明治20年）7月16日","1面2線","無人駅（乗車駅証明書発行機 有）","トヨ","","","55人/日（降車客含まず）-2011年-","","","","","","",""
"豊春駅","豊春駅（とよはるえき）","https://ja.wikipedia.org/wiki/豊春駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度58分4.91秒東経139度43分34.37秒","■野田線（東武アーバンパークライン）","12.2 km（大宮起点）","東武鉄道","埼玉県春日部市上蛭田136-1北緯35度58分4.91秒東経139度43分34.37秒﻿ / ﻿北緯35.9680306度 東経139.7262139度﻿ /35.9680306; 139.7262139座標:北緯35度58分4.91秒東経139度43分34.37秒﻿ / ﻿北緯35.9680306度 東経139.7262139度﻿ /35.9680306; 139.7262139","地上駅（橋上駅舎）","1929年（昭和4年）11月17日","2面2線","業務委託駅","ハル","TD08","13,398人/日-2019年-","","","","","","","",""
"豊平公園駅","豊平公園駅（とよひらこうえんえき）","https://ja.wikipedia.org/wiki/豊平公園駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯43度2分30.94秒東経141度22分35.66秒","札幌市営地下鉄東豊線","10.4 km（栄町駅起点）","札幌市交通局","北海道札幌市豊平区豊平5条13丁目北緯43度2分30.94秒東経141度22分35.66秒﻿ / ﻿北緯43.0419278度 東経141.3765722度﻿ /43.0419278; 141.3765722﻿ (豊平公園駅)座標:北緯43度2分30.94秒東経141度22分35.66秒﻿ / ﻿北緯43.0419278度 東経141.3765722度﻿ /43.0419278; 141.3765722﻿ (豊平公園駅)","地下駅","1994年（平成6年）10月14日[1]","1面2線","","","○H11","","5,570人/日（降車客含まず）-2019年-","","","","","","",""
"豊幌駅","豊幌駅（とよほろえき）","https://ja.wikipedia.org/wiki/豊幌駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯43度8分8.69秒東経141度37分25.35秒","■函館本線","313.5 km（函館起点）","北海道旅客鉄道（JR北海道）","北海道江別市豊幌北緯43度8分8.69秒東経141度37分25.35秒﻿ / ﻿北緯43.1357472度 東経141.6237083度﻿ /43.1357472; 141.6237083﻿ (豊幌駅)","地上駅","1956年（昭和31年）11月1日","2面2線","無人駅","トホ","○A10","902人/日-2014年-","","","","","","","",""
"豊間根駅","豊間根駅（とよまねえき）","https://ja.wikipedia.org/wiki/豊間根駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","リアス線","76.6 km（盛起点）","三陸鉄道","","地上駅","1935年（昭和10年）11月17日[1]","1面1線","無人駅","","","","","","","","","","",""
"豊実駅","豊実駅（とよみえき）","https://ja.wikipedia.org/wiki/豊実駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯37度40分49.83秒東経139度34分34.56秒","■磐越西線","121.3 km（郡山起点）","東日本旅客鉄道（JR東日本）","新潟県東蒲原郡阿賀町豊実[1]北緯37度40分49.83秒東経139度34分34.56秒座標:北緯37度40分49.83秒 東経139度34分34.56秒","地上駅（盛土上）","1914年（大正3年）11月1日[1]","1面1線[2]","無人駅[2]","トヨ","","","","","","","","","",""
"虎ノ門駅","虎ノ門駅（とらのもんえき）","https://ja.wikipedia.org/wiki/虎ノ門駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度40分12.5秒東経139度45分0秒","●[1]銀座線","8.8 km（浅草起点）","東京地下鉄（東京メトロ）","東京都港区虎ノ門一丁目1-21北緯35度40分12.5秒東経139度45分0秒﻿ / ﻿北緯35.670139度 東経139.75000度﻿ /35.670139; 139.75000﻿ (虎ノ門駅)座標:北緯35度40分12.5秒東経139度45分0秒﻿ / ﻿北緯35.670139度 東経139.75000度﻿ /35.670139; 139.75000﻿ (虎ノ門駅)","地下駅","1938年（昭和13年）11月18日","2面2線","","トラ","G07[1]","110,008人/日-2019年-","","H06[1]虎ノ門ヒルズ駅（東京メトロ日比谷線）","","","","","",""
"虎ノ門ヒルズ駅","虎ノ門ヒルズ駅（とらのもんヒルズえき）","https://ja.wikipedia.org/wiki/虎ノ門ヒルズ駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度40分2.8秒東経139度44分52秒","●[1]日比谷線","14.1 km（北千住起点）","東京地下鉄（東京メトロ）","東京都港区虎ノ門一丁目22-12北緯35度40分2.8秒東経139度44分52秒﻿ / ﻿北緯35.667444度 東経139.74778度﻿ /35.667444; 139.74778﻿ (虎ノ門ヒルズ駅)座標:北緯35度40分2.8秒東経139度44分52秒﻿ / ﻿北緯35.667444度 東経139.74778度﻿ /35.667444; 139.74778﻿ (虎ノ門ヒルズ駅)","地下駅","2020年（令和2年）6月6日〈暫定開業〉[2]","2面2線","","トヒ","H06[2]","","","G07[1]虎ノ門駅（東京メトロ銀座線）[2]","","","","","",""
