"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録回","登録日","外部リンク","開駅日","登録路線","営業時間","所属路線","起点からの距離","供用開始日","備考","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"しかべ間歇泉公園","[しかべ間歇泉公園（しかべかんけつせんこうえん）道南茅部郡鹿部町道道43号大沼公園鹿部線北海道-117 ] 道の駅しかべ間歇泉公園 （みちのえきしかべかんけつせんこうえん）は、 北海道 茅部郡 鹿部町 にある 北海道道43号大沼公園鹿部線 の 道の駅 である。この項目では、 しかべ間歇泉公園 についても記載している。","https://ja.wikipedia.org/wiki/道の駅しかべ間歇泉公園","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度01分42秒東経140度49分50秒","〒041-1402北海道茅部郡鹿部町字鹿部18-1","第44回（01117）","2015年11月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2016年3月18日","国道278号","","","","","","","","","","","","",""
"ノンキーランド ひがしもこと","[のんきーらんど ひがしもことノンキーランド ひがしもことオホーツク網走郡大空町国道334号北海道-118 ] 道の駅ノンキーランド ひがしもこと （みちのえき ノンキーランド ひがしもこと）は、 北海道 網走郡 大空町 にある 国道334号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅ノンキーランド_ひがしもこと","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度50分42秒東経144度17分42秒","〒099-3244北海道網走郡大空町東藻琴100","第47回（01118）","2017年4月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2017年9月1日","国道334号","","","","","","","","","","","","",""
"北欧の風 道の駅とうべつ","[ほくおうのかぜみちのえきとうべつ北欧の風 道の駅とうべつ（ほくおうのかぜみちのえきとうべつ）道央石狩郡当別町国道337号北海道-119 ] 北欧の風 道の駅とうべつ （ほくおうのかぜ みちのえきとうべつ）は、 北海道 石狩郡 当別町 にある 国道337号 の 道の駅 である。","https://ja.wikipedia.org/wiki/北欧の風_道の駅とうべつ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度10分39秒東経141度26分56秒","〒061-3773北海道石狩郡当別町当別太774-11","第47回（01119）","2017年4月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2017年9月23日","国道337号","10:00 - 18:00","","","","","","","","","","","",""
"石狩「あいろーど厚田」","[いしかりあいろーどあつた石狩「あいろーど厚田」（いしかりあいろーどあつた）道央石狩市国道231号北海道-120 ] 道の駅石狩「あいろーど厚田」 （みちのえき いしかり「あいろーどあつた」）は、 北海道 石狩市 にある 国道231号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅石狩「あいろーど厚田」","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度24分16.4秒東経141度25分52.5秒","〒061-3601北海道石狩市厚田区厚田98-2","第48回（01120）","2017年11月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2018年4月27日","国道231号","10:00 - 16:00","","","","","","","","","","","",""
"なないろ・ななえ","[なないろ・ななえ道南亀田郡七飯町国道5号北海道-121 ] 道の駅なないろ・ななえ （みちのえきなないろ・ななえ）は、 北海道 亀田郡 七飯町 にある 国道5号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅なないろ・ななえ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯41度55分33秒東経140度39分22秒","〒041-1102北海道亀田郡七飯町字峠下380-2","第48回（01121）","2017年11月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2018年3月23日","国道5号","9:00 - 18:00","","","","","","","","","","","",""
"びえい「白金ビルケ」","[びえいしろがねビルケびえい「白金ビルケ」（びえいしろがねビルケ）道北上川郡美瑛町道道966号十勝岳温泉美瑛線北海道-122 ] 道の駅びえい「白金ビルケ」 （みちのえき びえい「しろがねビルケ」）は、 北海道 上川郡 美瑛町 にある 北海道道966号十勝岳温泉美瑛線 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅びえい「白金ビルケ」","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度30分11.0秒東経142度35分50.4秒","〒071-0239北海道上川郡美瑛町字美瑛原野7514-1","第49回（01122）","2018年4月25日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2018年5月12日","北海道道966号","","","","","","","","","","","","",""
"北オホーツクはまとんべつ","[きたオホーツクはまとんべつ北オホーツクはまとんべつ（きたオホーツクはまとんべつ）道北枝幸郡浜頓別町国道275号北海道-123 ] 道の駅北オホーツクはまとんべつ （みちのえき きたオホーツクはまとんべつ）は、 北海道 枝幸郡 浜頓別町 にある 国道275号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅北オホーツクはまとんべつ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯45度7分30.9秒東経142度21分38.1秒","〒098-5704北海道枝幸郡浜頓別町中央北21-1","第50回（01123）","2019年3月19日","国土交通省案内ページ全国道の駅連絡会ページ","2019年5月1日","国道275号","9:00 - 19:00","","","","","","","","","","","",""
"あびら D51ステーション","[あびら D51ステーション（あびらでごいちステーション）道央勇払郡安平町国道234号北海道-124 ] 道の駅あびら D51ステーション （みちのえき あびら でごいちステーション）は、 北海道 勇払郡 安平町 にある 国道234号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅あびら_D51ステーション","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度52分33.8秒東経141度49分07.5秒","〒059-1921北海道勇払郡安平町追分柏が丘49-1","第50回（01124）","2019年3月19日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2019年4月19日","国道234号","9:00 - 17:00","","","","","","","","","","","",""
"遠軽 森のオホーツク","[えんがるもりのオホーツク遠軽 森のオホーツク（えんがるもりのオホーツク）オホーツク紋別郡遠軽町国道450号北海道-125 ] 道の駅 遠軽 森のオホーツク （みちのえきえんがる もりのオホーツク）は、 北海道 紋別郡 遠軽町 にある国道450号（ 旭川紋別自動車道 ）の 道の駅 である  。","https://ja.wikipedia.org/wiki/道の駅遠軽_森のオホーツク","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度01分19.7秒東経143度29分47.6秒","〒099-0344北海道紋別郡遠軽町野上150-1","第51回（01125）","2019年6月19日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2019年12月22日","国道450号（旭川紋別自動車道）","","","","","","","","","","","","",""
"かみしほろ","[かみしほろ十勝河東郡上士幌町国道241号北海道-126 ] 道の駅かみしほろ （みちのえきかみしほろ）は、 北海道 河東郡 上士幌町 にある 国道241号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅かみしほろ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度13分28.3秒東経143度17分30.4秒","〒080-1408北海道河東郡上士幌町字上士幌東3線227-1","第52回（01126）","2020年3月13日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2020年6月11日","","9:00 - 17:00","","","","","","","","","","","",""
"るもい","[るもい道北留萌市国道231号北海道-127 ] 道の駅るもい （みちのえき るもい）は、 北海道 留萌市 にある 国道231号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅るもい","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度56分41.2秒東経141度38分56.2秒","〒077-0005北海道留萌市船場町2-114","第52回（01127）","2020年3月13日","全国道の駅連絡会ページ","2020年7月11日","国道231号","9:00 - 19:00","","","","","","","","","","","",""
"ガーデンスパ十勝川温泉","[がーでんすぱとかちがわおんせんガーデンスパ十勝川温泉（ガーデンスパとかちがわおんせん）十勝河東郡音更町道道73号帯広浦幌線北海道-128 ] 道の駅ガーデンスパ十勝川温泉 （みちのえき ガーデンスパとかちがわおんせん、 Garden Spa Tokachigawa Onsen ）は、 北海道 河東郡 音更町 にある 北海道道73号帯広浦幌線 の 道の駅 および 十勝川温泉 にある 施設 である。","https://ja.wikipedia.org/wiki/道の駅ガーデンスパ十勝川温泉","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度56分01秒東経143度18分03秒","〒080-0262北海道河東郡音更町十勝川温泉北14-1","第53回（01128）","2020年7月1日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2020年7月22日","北海道道73号帯広浦幌線","9:00 - 19:00（月曜 - 木曜）9:00 - 21:00（金曜 - 日曜・祝日）","","","","","","","","","","","",""
"羊のまち 侍・しべつ","[ひつじのまちさむらいしべつ羊のまち 侍・しべつ（ひつじのまちさむらいしべつ）道北士別市国道40号北海道-129] 道の駅羊のまち 侍・しべつ （みちのえき ひつじのまち さむらい・しべつ）は、 北海道 士別市 にある 国道40号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅羊のまち_侍・しべつ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度10分34.0秒東経142度23分33.3秒","〒095-0019北海道士別市大通東5-440-23","第54回（01129）","2021年3月30日","全国道の駅連絡会ページ","2021年5月1日","国道40号","","","","","","","","","","","","",""
