"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","城郭構造","築城年","廃城年","指定文化財","形状","規模","別名","築城主","遺構","史跡","主な城主","法人番号","天守構造","埋葬施設","出土品"
"厳島","[厳島（いつくしま）〔廿日市市〕（世界遺産「厳島神社」に関連）] 厳島 （いつくしま）は、日本の 広島県 廿日市市 宮島町にある島。 瀬戸内海 西部、 広島湾 の北西部に位置する。通称は 宮島 （みやじま）。また 安芸の宮島 ともいう。","https://ja.wikipedia.org/wiki/厳島","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度16分0秒東経132度18分0秒","","日本（広島県廿日市市）","","","","","","","","","","","","","","","","",""
"吉備津神社 (福山市)","[一宮（桜山慈俊挙兵伝説地）（いちのみや（さくらやまこれとしきょへいでんせつち））〔福山市〕] 吉備津神社 （きびつじんじゃ）は、 広島県 福山市 新市町宮内にある 神社 。 備後国 一宮 。 旧社格 は 国幣小社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/吉備津神社_(福山市)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度34分9.61秒東経133度16分15.85秒","北緯34度34分9.61秒東経133度16分15.85秒﻿ / ﻿北緯34.5693361度 東経133.2710694度﻿ /34.5693361; 133.2710694﻿ (吉備津神社 (福山市))座標:北緯34度34分9.61秒東経133度16分15.85秒﻿ / ﻿北緯34.5693361度 東経133.2710694度﻿ /34.5693361; 133.2710694﻿ (吉備津神社 (福山市))","広島県福山市新市町宮内400","吉備津神社","","","","","","","","","","","","","","","",""
"福禅寺 (福山市)","[鞆福禅寺境内（ともふくぜんじけいだい）〔広島県福山市〕] 福禅寺 （ふくぜんじ）は、 広島県 福山市 にある 真言宗大覚寺派 の 仏教 寺院 。山号は海岸山、院号は千手院。境内は「 朝鮮通信使遺跡 鞆福禅寺境内」として国の 史跡 に指定  されている。","https://ja.wikipedia.org/wiki/福禅寺_(福山市)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度22分59.08秒東経133度23分0.1秒","北緯34度22分59.08秒東経133度23分0.1秒﻿ / ﻿北緯34.3830778度 東経133.383361度﻿ /34.3830778; 133.383361﻿ (福禅寺 (福山市))座標:北緯34度22分59.08秒東経133度23分0.1秒﻿ / ﻿北緯34.3830778度 東経133.383361度﻿ /34.3830778; 133.383361﻿ (福禅寺 (福山市))","広島県福山市鞆町鞆2","","","","","","","","","","","","","","8240005008486","","",""
"本蓮寺","[牛窓本蓮寺境内（うしまどほんれんじけいだい）〔岡山県瀬戸内市〕] 本蓮寺 （ほんれんじ）は、 岡山県 瀬戸内市 牛窓町 にある 仏教 寺院。山号は経王山、大本山本興寺末。宗派は 法華宗本門流 である。境内は 朝鮮通信使 遺跡として国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/本蓮寺","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度37分0.23秒東経134度9分50.63秒","北緯34度37分0.23秒東経134度9分50.63秒﻿ / ﻿北緯34.6167306度 東経134.1640639度﻿ /34.6167306; 134.1640639","岡山県瀬戸内市牛窓町牛窓3194","","","","","","","","","","","","","","5260005007902","","",""
"清見寺","[興津清見寺境内（おきつせいけんじけいだい）〔静岡県静岡市〕] 清見寺 （せいけんじ）は、 静岡市 清水区 興津 にある 臨済宗 妙心寺派の 寺院 。 山号 は巨鼇山（こごうさん）、正式には「巨鼇山 清見興国禅寺」（こごうさん せいけんこうこくぜんじ）と称する。","https://ja.wikipedia.org/wiki/清見寺","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度2分51.45秒東経138度30分47.15秒","北緯35度2分51.45秒東経138度30分47.15秒﻿ / ﻿北緯35.0476250度 東経138.5130972度﻿ /35.0476250; 138.5130972座標:北緯35度2分51.45秒東経138度30分47.15秒﻿ / ﻿北緯35.0476250度 東経138.5130972度﻿ /35.0476250; 138.5130972","静岡市清水区興津清見寺町418-1","","","","","","","","","","","","","","7080005003422","","",""
"宮の前廃寺跡","[宮の前廃寺跡（みやのまえはいじあと）〔福山市〕] 宮の前廃寺跡 （みやのまえはいじあと）は、 広島県 福山市 蔵王町にある古代寺院跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/宮の前廃寺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度30分34.1秒 東経133度23分46.8秒","","","","","","","","","","","","","","","","","","",""
"福山城 (備後国)","[福山城跡（ふくやまじょうあと）〔福山市〕] 福山城 （ふくやまじょう）は、 広島県 福山市 丸之内1丁目にあった 日本の城 で、城跡は国の 史跡 に指定されている。 久松城 （ひさまつじょう）、 葦陽城 （いようじょう）とも呼ばれる。日本における 近世 城郭円熟期の代表的な遺構であり、 2006年 2月13日 、 日本100名城 に選定された。 2018年 7月30日 には福山城跡の天守閣部分に対し、広島県内では初の事例となる 景観重要建造物 の指定がされた  。今は天守閣を改修中である。","https://ja.wikipedia.org/wiki/福山城_(備後国)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度29分27.74秒東経133度21分40.04秒","北緯34度29分27.74秒東経133度21分40.04秒﻿ / ﻿北緯34.4910389度 東経133.3611222度﻿ /34.4910389; 133.3611222﻿ (福山城)座標:北緯34度29分27.74秒東経133度21分40.04秒﻿ / ﻿北緯34.4910389度 東経133.3611222度﻿ /34.4910389; 133.3611222﻿ (福山城)","","福山城","","輪郭式平山城","1622年","1874年","重要文化財(伏見櫓、筋鉄御門)福山市指定重要文化財(鐘楼）","","","久松城、葦陽城","水野勝成","櫓・門・鐘楼、石垣","","水野氏、松平氏、阿部氏","","複合式層塔型5重6階（1622年、非現存）（1966年RC造復興）","",""
"備後国府跡","[備後国府跡（びんごこくふあと）〔府中市〕2016年10月3日] 備後国府 （びんごこくふ）は、古代 備後国 を統治するために置かれた地方行政府。 広島県 府中市 市街地北部一帯に位置したとされ   、跡地の一部は「備後国府跡」として国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/備後国府跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高山城 (安芸国)","[高山城跡（たかやまじょうあと）] 高山城 （たかやまじょう）は、現在の 広島県 三原市 本郷町 にあった 日本の城 である。城跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/高山城_(安芸国)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度25分10.0秒東経132度59分2.3秒","北緯34度25分10.0秒東経132度59分2.3秒﻿ / ﻿北緯34.419444度 東経132.983972度﻿ /34.419444; 132.983972","","安芸高山城","","山城","建永元年（1206年）","天文21年（1552年）","国の史跡","","","妻高山城、古高山城","小早川茂平","石垣、堀、土塁","","小早川氏","","建造されず","",""
"新高山城","[新高山城跡（にいたかやまじょうあと）] 新高山城 （にいたかやまじょう）は、現在の 広島県 三原市 本郷町 に建てられた 日本の城 である。城跡は国の 史跡 に指定されている。 2017年 （ 平成 29年）4月6日、 続日本100名城 （173番）に選定された。 ","https://ja.wikipedia.org/wiki/新高山城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度25分12.6秒東経132度58分32.0秒","北緯34度25分12.6秒東経132度58分32.0秒﻿ / ﻿北緯34.420167度 東経132.975556度﻿ /34.420167; 132.975556","","新高山城","","山城","天文21年（1552年）","慶長元年（1596年）","国の史跡","","","","小早川隆景","石垣、堀切、土塁、井戸、礎石、郭、縦堀","","小早川隆景","","建造されず(詰の丸が近世天守に相当する。)","",""
"三原城","[三原城跡（みはらじょうあと）] 三原城 （みはらじょう）は、 備後国 御調郡 三原  .（現在の 広島県 三原市 ）にあった 日本の城 。国の 史跡  。 2017年 （ 平成 29年）4月6日、 続日本100名城 （172番）に選定された。","https://ja.wikipedia.org/wiki/三原城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度24分4.62秒東経133度4分57.57秒","北緯34度24分4.62秒東経133度4分57.57秒﻿ / ﻿北緯34.4012833度 東経133.0826583度﻿ /34.4012833; 133.0826583","","三原城","","梯郭式平城","永禄10年（1567年）","不明","国の史跡","","","浮城、玉壺城","小早川隆景","石垣、堀","","小早川氏、福島氏、浅野氏","","建造されず","",""
"御年代古墳","[御年代古墳（みとしろこふん）〔三原市〕] 御年代古墳 （みとしろこふん）は、 広島県 三原市 本郷町南方（みなみがた）にある 古墳 。形状は 円墳 と推定される。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/御年代古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度23分52.28秒東経132度56分48.77秒","北緯34度23分52.28秒東経132度56分48.77秒﻿ / ﻿北緯34.3978556度 東経132.9468806度﻿ /34.3978556; 132.9468806座標:北緯34度23分52.28秒東経132度56分48.77秒﻿ / ﻿北緯34.3978556度 東経132.9468806度﻿ /34.3978556; 132.9468806","広島県三原市本郷町南方","御年代古墳","7世紀中葉","","","","","（推定）円墳","不明","","","","国の史跡「御年代古墳」","","","","横穴式石室（内部に家形石棺2基）","金環・馬具・須恵器"
"横見廃寺跡","[横見廃寺跡（よこみはいじあと）〔三原市〕] 横見廃寺跡 （よこみはいじあと）は、 広島県 三原市 本郷町下北方（しもきたがた）にある 古代 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/横見廃寺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"安芸国分寺","[安芸国分寺跡（あきこくぶんじあと）〔東広島市〕] 安芸国分寺 （あきこくぶんじ）は、 広島県 東広島市 西条町吉行にある 真言宗 御室派 の 寺院 。山号は金嶽山、院号は常光院。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/安芸国分寺","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度26分3.25秒東経132度44分55.50秒","北緯34度26分3.25秒東経132度44分55.50秒﻿ / ﻿北緯34.4342361度 東経132.7487500度﻿ /34.4342361; 132.7487500﻿ (安芸国分寺)座標:北緯34度26分3.25秒東経132度44分55.50秒﻿ / ﻿北緯34.4342361度 東経132.7487500度﻿ /34.4342361; 132.7487500﻿ (安芸国分寺)","広島県東広島市西条町吉行2064（字伽藍）","","","","","","","","","","","","","","1240005003799","","",""
"鏡山城","[鏡山城跡（かがみやまじょうあと）〔東広島市〕] 鏡山城 （かがみやまじょう）は、 広島県 東広島市 にあった 日本の城 （ 山城 ）である。城跡は国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/鏡山城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度24分13.21秒東経132度43分38.4秒","北緯34度24分13.21秒東経132度43分38.4秒﻿ / ﻿北緯34.4036694度 東経132.727333度﻿ /34.4036694; 132.727333","","鏡山城","","連郭式山城","長禄・寛正年間","天文年間初頭","国史跡","","","","大内氏","曲輪、石垣、土塁、堀、井戸","","大内氏、武田氏、安富行房、蔵田房信、尼子氏","","なし","",""
"三ツ城古墳","[三ツ城古墳（みつじょうこふん）〔東広島市〕] 1号墳 （第1号古墳）は、三ツ城古墳群の主墳。形状は 前方後円墳 。","https://ja.wikipedia.org/wiki/三ツ城古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度24分59.10秒東経132度44分2.67秒","北緯34度24分59.10秒東経132度44分2.67秒﻿ / ﻿北緯34.4164167度 東経132.7340750度﻿ /34.4164167; 132.7340750﻿ (三ツ城1号墳)","広島県東広島市西条中央7丁目（三ツ城近隣公園内）","","5世紀前半（412年頃）","","","","","前方後円墳","墳丘長92m高さ13m（後円部）","三ツ城第1号古墳","","","","","","","箱式石棺3基","人骨・副葬品多数・埴輪"
"原爆ドーム","[原爆ドーム（旧広島県産業奨励館）（げんばくどーむ（きゅうひろしまけんさんぎょうしょうれいかん））〔広島市〕（世界遺産「原爆ドーム（広島平和記念碑）」）] 所在地は 広島県 広島市 中区 大手町1丁目 10。原子爆弾投下の目標となった 相生橋 の東詰にあたり、 西 から 南 にかけては 元安川 を挟んで 広島平和記念公園 が広がっている。北は 相生通り を挟んで 広島商工会議所 ビル、 広島市民球場 跡地と向き合う。 東 側約200 メートル の位置に、 爆心地 に比定される 島外科 （島病院）がある","https://ja.wikipedia.org/wiki/原爆ドーム","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度23分44秒 東経132度27分13秒","","","","","","","","","","","","","","","","","","",""
"中小田古墳群","[中小田古墳群（なかおだこふんぐん）〔広島市〕] 中小田古墳群 （なかおだこふんぐん）は、 広島県 広島市 安佐北区 口田町にある 古墳群 。 1996年 （平成4年）11月11日に国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/中小田古墳群","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度26分51秒 東経132度29分41秒","","","","","","","","","","","","","","","","","","",""
"広島城","[広島城跡（ひろしまじょうあと）〔広島市〕] 広島城 （ひろしまじょう）は、 安芸国 安芸郡  広島（現在の 広島県 広島市 中区 基町 ）に築かれた 安土桃山時代 から 江戸時代 の 日本の城 。国の 史跡 に指定されている。 毛利輝元 が 太田川 河口の デルタ地帯 に築いた 平城 で、 1945年 （昭和20年）まで 天守 を始めとする城郭建築が現存し点在していたが  、 太平洋戦争末期 に アメリカ軍 の 原子爆弾 投下によって倒壊し、現在見られる城内の天守以下城郭建築はすべて 1958年 以降に再建されたものである  。","https://ja.wikipedia.org/wiki/広島城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度24分10.13秒東経132度27分32.28秒","北緯34度24分10.13秒東経132度27分32.28秒﻿ / ﻿北緯34.4028139度 東経132.4589667度﻿ /34.4028139; 132.4589667座標:北緯34度24分10.13秒東経132度27分32.28秒﻿ / ﻿北緯34.4028139度 東経132.4589667度﻿ /34.4028139; 132.4589667","","広島城","","輪郭式平城","1589年","1874年","国の史跡","","","鯉城、在間城、当麻城","毛利輝元","石垣、堀","","毛利氏、福島氏、浅野氏","","複合連結式望楼型5重5階（1599年・非現存）外観復元（SRC造・1958年再）","",""
"頼山陽","[頼山陽居室（らいさんようきょしつ）〔広島市〕] 頼 山陽 （らい さんよう、 安永 9年 12月27日 （ 1781年 1月21日 ） - 天保 3年 9月23日 （ 1832年 10月16日 ））は、 大坂 生まれの 江戸時代 後期の 歴史家 、 思想家 、 漢詩人 、 文人 。幼名は 久太郎 （ひさたろう）、名は 襄 （のぼる）、字は 子成 。 山陽 、三十六峯外史と号した。主著に『 日本外史 』があり、これは 幕末 の 尊皇攘夷運動 に影響を与え、 日本史 上のベストセラーとなった。1891年（明治24年）贈 正四位  、1931年（昭和6年）贈 従三位  。","https://ja.wikipedia.org/wiki/頼山陽","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小倉山城 (安芸国)","[小倉山城跡（おぐらやまじょうあと）] 小倉山城 （おぐらやまじょう）は、 広島県 山県郡 北広島町 新庄字小倉山にあった 吉川氏 の居城（ 日本の城 ）である。別称で小蔵山城・紅葉山城・小倉城とも言われる。城跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/小倉山城_(安芸国)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度46分14.2秒東経132度29分49.1秒","北緯34度46分14.2秒東経132度29分49.1秒﻿ / ﻿北緯34.770611度 東経132.496972度﻿ /34.770611; 132.496972","","小倉山城","","連郭式山城","南北朝時代末期","天文19年（1550年）","国の史跡","","","小蔵山城、紅葉山城、小倉城","吉川経見","曲輪、礎石、空堀","","吉川氏","","なし","",""
"吉川元春館","[吉川元春館跡（きっかわもとはるやかたあと）] 吉川元春館 （きっかわもとはるやかた）は、 広島県 山県郡 北広島町 志路原字海応寺にある 吉川氏 の居館跡である。国の 史跡 。","https://ja.wikipedia.org/wiki/吉川元春館","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度42分58.16秒東経132度27分54.78秒","北緯34度42分58.16秒東経132度27分54.78秒﻿ / ﻿北緯34.7161556度 東経132.4652167度﻿ /34.7161556; 132.4652167","","吉川元春館","","城館","安土桃山時代末期","天正19年（1591年）","国の史跡、国の名勝","","","","吉川元春","石垣、曲輪、礎石、土塁、空堀、庭園、井戸","","吉川元春、吉川元長、吉川広家","","なし","",""
"毛利氏","[毛利氏城跡（もうりししろあと）〔安芸高田市〕1940年8月30日] 毛利氏 （もうりし）は、 武家 ・ 華族 だった 日本 の 氏族 。 本姓 は 大江氏 。 家紋 は一文字に三つ星（一文字三星）  。","https://ja.wikipedia.org/wiki/毛利氏","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"多治比猿掛城","[多治比猿掛城跡（たじひさるかけじょうあと）] 多治比猿掛城 （たじひさるがけじょう）は、 安芸国 、現在の 広島県 安芸高田市 にあった 日本の城 。「毛利氏城跡 多治比猿掛城跡 郡山城跡」として、 吉田郡山城 と共に国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/多治比猿掛城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度40分47.6秒東経132度39分51.0秒","北緯34度40分47.6秒東経132度39分51.0秒﻿ / ﻿北緯34.679889度 東経132.664167度﻿ /34.679889; 132.664167","","多治比猿掛城","","山城","明応年間?","慶長年間?","国の史跡「毛利氏城跡 多治比猿掛城跡 郡山城跡」","","","猿掛城、多治比城","毛利氏","曲輪、土塁、竪堀、井戸","","毛利弘元、毛利元就","","","",""
"吉田郡山城","[郡山城跡（こおりやまじょうあと）] 吉田郡山城 （よしだこおりやまじょう）は、 広島県 安芸高田市 吉田町吉田にあった 日本の城 。 安芸国 の 戦国大名 毛利氏 の居城であった。 城跡 は「毛利氏城跡 多治比猿掛城跡 郡山城跡」として 多治比猿掛城 と共に国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/吉田郡山城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度40分27.43秒東経132度42分34.52秒","北緯34度40分27.43秒東経132度42分34.52秒﻿ / ﻿北緯34.6742861度 東経132.7095889度﻿ /34.6742861; 132.7095889座標:北緯34度40分27.43秒東経132度42分34.52秒﻿ / ﻿北緯34.6742861度 東経132.7095889度﻿ /34.6742861; 132.7095889","","吉田郡山城","","山城","不明","天正19年（1591年）","国の史跡「毛利氏城跡 多治比猿掛城跡 郡山城跡」","","","","毛利氏","曲輪、石垣、土塁、堀切、井戸","","毛利氏","","不明","",""
"浄楽寺・七ツ塚古墳群","[浄楽寺・七ツ塚古墳群（じょうらくじ・ななつづかこふんぐん）〔三次市〕 -広島県立みよし風土記の丘] 浄楽寺・七ツ塚古墳群 （じょうらくじ・ななつづかこふんぐん）は、 広島県 三次市 高杉町および小田幸町にある二つの 古墳群 である。国の史跡に指定されている。","https://ja.wikipedia.org/wiki/浄楽寺・七ツ塚古墳群","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度45分49秒東経132度53分56秒","北緯34度45分49秒東経132度53分56秒﻿ / ﻿北緯34.76361度 東経132.89889度﻿ /34.76361; 132.89889座標:北緯34度45分49秒東経132度53分56秒﻿ / ﻿北緯34.76361度 東経132.89889度﻿ /34.76361; 132.89889","広島県三次市高杉町・小田幸町","","古墳時代中期から後期（5～6世紀）","","","","","前方後円墳.円墳.方墳","直径55m,31mなど","","","","","","","","",""
"1999年","[陣山墳墓群（じんやまふんぼぐん）〔三次市〕1999年5月21日] 1999年 （1999 ねん）は、 西暦 （ グレゴリオ暦 ）による、 金曜日から始まる平年 。 平成 11年。","https://ja.wikipedia.org/wiki/1999年","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"寺町廃寺跡","[寺町廃寺跡（てらまちはいじあと）〔三次市〕] 寺町廃寺跡 （てらまちはいじあと）は、 広島県 三次市 向江田町にある 古代 寺院 跡。元々の寺名は「 三谷寺 （三谿寺）」と推定される。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/寺町廃寺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"花園遺跡","[花園遺跡（はなぞのいせき）〔三次市〕] 花園遺跡 （はなぞのいせき）は、 広島県 三次市 十日市町にある 墳墓 。 1978年 1月27日に 国史跡 に指定された。","https://ja.wikipedia.org/wiki/花園遺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度47分51秒 東経132度51分34秒","","","","","","","","","","","","","","","","","","",""
"矢谷墳丘墓","[矢谷古墳（やだにこふん）〔三次市〕] 矢谷墳丘墓 （やだにふんきゅうぼ）は、 広島県 三次市 東酒屋町にある 弥生墳丘墓 。形状は 四隅突出型墳丘墓 。国の 史跡 に指定され（指定名称は「矢谷古墳」）、出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/矢谷墳丘墓","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度47分10.64秒東経132度52分50.63秒","北緯34度47分10.64秒東経132度52分50.63秒﻿ / ﻿北緯34.7862889度 東経132.8807306度﻿ /34.7862889; 132.8807306座標:北緯34度47分10.64秒東経132度52分50.63秒﻿ / ﻿北緯34.7862889度 東経132.8807306度﻿ /34.7862889; 132.8807306","広島県三次市東酒屋町字松ヶ迫","矢谷墳丘墓","3世紀","","","","","四隅突出型墳丘墓","墳丘長18.5m高さ1.2m","矢谷弥生墳丘墓/矢谷古墳","","","国の史跡「矢谷古墳」","","","","11基","玉類・鉄鉇・鉄刀子・特殊器台・特殊壺"
"庄原市","[寄倉岩陰遺跡（よせくらいわかげいせき）〔庄原市〕] 庄原市 （しょうばらし）は、 広島県 北東部に位置する 市 。2019年10月現在、全国の市町村で13番目の面積を有しており、近畿以西では最も広い  。","https://ja.wikipedia.org/wiki/庄原市","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度51分27.9秒東経133度1分2.2秒","","〒727-8501広島県庄原市中本町一丁目10番1号北緯34度51分27.9秒東経133度1分2.2秒﻿ / ﻿北緯34.857750度 東経133.017278度﻿ /34.857750; 133.017278﻿ (庄原市)座標:北緯34度51分27.9秒東経133度1分2.2秒﻿ / ﻿北緯34.857750度 東経133.017278度﻿ /34.857750; 133.017278﻿ (庄原市)市庁舎位置","","","","","","","","","","","","","","2000020342106","","",""
"柳井茶臼山古墳","[茶臼山古墳（ちゃうすやまこふん）〔柳井市〕] 柳井茶臼山古墳 （やないちゃうすやまこふん）は、 山口県 柳井市 大字柳井に所在する 前方後円墳 。大型の銅鏡などが出土し、国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/柳井茶臼山古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯33度57分57秒東経132度7分44秒","北緯33度57分57秒東経132度7分44秒﻿ / ﻿北緯33.96583度 東経132.12889度﻿ /33.96583; 132.12889","山口県柳井市大字柳井","柳井茶臼山古墳","4世紀","","","","","前方後円墳","全長80m　","","","","国の史跡（1948年指定）","","","","竪穴式石室","銅鏡 鉄剣 鉄鉾"
"石城山神籠石","[石城山神籠石（いわきさんこうごいし）〔光市〕] 石城山神籠石 （いわきさんこうごいし）は、 山口県 光市 の 石城山  に築かれた、 日本 の 古代山城 （ 神籠石 系山城）である  。城跡は、 1935年 （ 昭和 10年）6月7日、「石城山神籠石」の名称で国の 史跡 に指定されている ","https://ja.wikipedia.org/wiki/石城山神籠石","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯33度59分14.8秒東経132度02分26.5秒","光市石城山-地理院地図石城山神籠石-Google マップ北緯33度59分14.8秒東経132度02分26.5秒﻿ / ﻿北緯33.987444度 東経132.040694度﻿ /33.987444; 132.040694","","石城山神籠石","","古代山城（神籠石系山城）","不明","不明","国の史跡「石城山神籠石」","","","","不明","土塁・石塁・水門・城門跡","","不明","","","",""
"防府市","[敷山城跡（しきやまじょうあと）〔防府市〕] 防府市 （ほうふし）は、 山口県 中南部、 周防灘 （ 瀬戸内海 ）に面した 市 。","https://ja.wikipedia.org/wiki/防府市","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度3分3.2秒東経131度33分46秒","","〒747-8501山口県防府市寿町7番1号北緯34度3分3.2秒東経131度33分46秒﻿ / ﻿北緯34.050889度 東経131.56278度﻿ /34.050889; 131.56278﻿ (防府市)座標:北緯34度3分3.2秒東経131度33分46秒﻿ / ﻿北緯34.050889度 東経131.56278度﻿ /34.050889; 131.56278﻿ (防府市)市庁舎位置","","","","","","","","","","","","","","2000020352063","","",""
"周防国衙跡","[周防国衙跡（すおうこくがあと）〔防府市〕] 周防国衙跡 （すおうこくがあと）は、 山口県 防府市 国衙1 - 3・5丁目、警固町2丁目、勝間3丁目ほかに所在する、 律令制 下の地方行政関連施設跡である。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/周防国衙跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度3分27.5秒 東経131度35分10.9秒","","","","","","","","","","","","","","","","","","",""
"周防国分寺","[周防国分寺旧境内（すおうこくぶんじきゅうけいだい）〔防府市〕] 周防国分寺 （すおうこくぶんじ）は、 山口県 防府市 国分寺町にある 寺院 。 高野山真言宗 の 別格本山 。山号は浄瑠璃山。 本尊 は 薬師如来 。","https://ja.wikipedia.org/wiki/周防国分寺","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度3分43.47秒東経131度34分45.80秒","北緯34度3分43.47秒東経131度34分45.80秒﻿ / ﻿北緯34.0620750度 東経131.5793889度﻿ /34.0620750; 131.5793889﻿ (周防国分寺)座標:北緯34度3分43.47秒東経131度34分45.80秒﻿ / ﻿北緯34.0620750度 東経131.5793889度﻿ /34.0620750; 131.5793889﻿ (周防国分寺)","山口県防府市国分寺町2-67","","","","","","","","","","","","","","8250005001630","","",""
