"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"湖北駅","湖北駅（こほくえき）","https://ja.wikipedia.org/wiki/湖北駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度52分2秒東経140度4分40秒","■成田線（我孫子支線）","6.3 km（我孫子起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1901年（明治34年）4月1日[1]","1面2線","千葉県我孫子市中里324北緯35度52分2秒東経140度4分40秒座標:北緯35度52分2秒 東経140度4分40秒","直営駅（管理駅）みどりの窓口有","","コホ","3,987人/日（降車客含まず）-2019年-","","","","","","","",""
"小歩危駅","小歩危駅（こぼけえき）","https://ja.wikipedia.org/wiki/小歩危駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯33度55分24.02秒東経133度45分31.49秒","■土讃線","59.8 km（多度津起点）","四国旅客鉄道（JR四国）","地上駅","1935年（昭和10年）11月28日","2面2線","徳島県三好市山城町西宇北緯33度55分24.02秒東経133度45分31.49秒﻿ / ﻿北緯33.9233389度 東経133.7587472度﻿ /33.9233389; 133.7587472﻿ (小歩危駅)","無人駅","○D26","コケニシ（西宇駅時代）","","12[1]人/日-2019年-","","","","","","",""
"河堀口駅","河堀口駅（こぼれぐちえき）","https://ja.wikipedia.org/wiki/河堀口駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度38分28.86秒東経135度31分26.21秒","F南大阪線","1.0 km（大阪阿部野橋起点）","近畿日本鉄道（近鉄）","高架駅","1923年（大正12年）10月16日","2面2線","大阪市阿倍野区天王寺町南二丁目24-1北緯34度38分28.86秒東経135度31分26.21秒﻿ / ﻿北緯34.6413500度 東経135.5239472度﻿ /34.6413500; 135.5239472﻿ (河堀口駅)座標:北緯34度38分28.86秒東経135度31分26.21秒﻿ / ﻿北緯34.6413500度 東経135.5239472度﻿ /34.6413500; 135.5239472﻿ (河堀口駅)",""," F02 ","コホレ","","3,116人/日-2018年-","","","","","","",""
"小幌駅","小幌駅（こぼろえき）","https://ja.wikipedia.org/wiki/小幌駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯42度35分22.92秒東経140度32分14.35秒","■室蘭本線","17.5 km（長万部起点）","北海道旅客鉄道（JR北海道）","地上駅","1943年（昭和18年）9月25日","2面2線","北海道虻田郡豊浦町字礼文華北緯42度35分22.92秒東経140度32分14.35秒﻿ / ﻿北緯42.5897000度 東経140.5373194度﻿ /42.5897000; 140.5373194﻿ (小幌駅)座標:北緯42度35分22.92秒東経140度32分14.35秒﻿ / ﻿北緯42.5897000度 東経140.5373194度﻿ /42.5897000; 140.5373194﻿ (小幌駅)","無人駅","○H45","コホ","","","","","","","","",""
"高麗駅","高麗駅（こまえき）","https://ja.wikipedia.org/wiki/高麗駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度52分54.31秒東経139度18分15.91秒","■池袋線","48.5 km（池袋起点）","西武鉄道","地上駅","1929年（昭和4年）9月10日","1面2線","埼玉県日高市武蔵台一丁目1-1北緯35度52分54.31秒東経139度18分15.91秒﻿ / ﻿北緯35.8817528度 東経139.3044194度﻿ /35.8817528; 139.3044194﻿ (高麗駅)座標:北緯35度52分54.31秒東経139度18分15.91秒﻿ / ﻿北緯35.8817528度 東経139.3044194度﻿ /35.8817528; 139.3044194﻿ (高麗駅)","","SI28","","","2,597人/日-2019年-","","","","","","",""
"胡麻駅","胡麻駅（ごまえき）","https://ja.wikipedia.org/wiki/胡麻駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度11分43.16秒東経135度28分6.92秒","E山陰本線","47.1 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1910年（明治43年）8月25日","2面3線","京都府南丹市日吉町胡麻角上2-2北緯35度11分43.16秒東経135度28分6.92秒﻿ / ﻿北緯35.1953222度 東経135.4685889度﻿ /35.1953222; 135.4685889座標:北緯35度11分43.16秒東経135度28分6.92秒﻿ / ﻿北緯35.1953222度 東経135.4685889度﻿ /35.1953222; 135.4685889","無人駅（自動券売機 有）","","コマ","307人/日（降車客含まず）-2016年-","","","","","","","",""
"小舞子駅","小舞子駅（こまいこえき）","https://ja.wikipedia.org/wiki/小舞子駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度28分34.65秒東経136度28分29.44秒","■北陸本線","157.0 km（米原起点）","西日本旅客鉄道（JR西日本）","地上駅","1903年（明治36年）7月11日*","2面2線","石川県白山市湊町68北緯36度28分34.65秒東経136度28分29.44秒﻿ / ﻿北緯36.4762917度 東経136.4748444度﻿ /36.4762917; 136.4748444座標:北緯36度28分34.65秒東経136度28分29.44秒﻿ / ﻿北緯36.4762917度 東経136.4748444度﻿ /36.4762917; 136.4748444","無人駅（自動券売機 有）","","ココ","282人/日（降車客含まず）-2018年-","","","","","","","",""
"狛江駅","狛江駅（こまええき）","https://ja.wikipedia.org/wiki/狛江駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度37分56秒東経139度34分38.5秒","小田原線","13.8 km（新宿起点）","小田急電鉄","高架駅","1927年（昭和2年）5月27日","2面4線*","東京都狛江市東和泉一丁目17番1号北緯35度37分56秒東経139度34分38.5秒﻿ / ﻿北緯35.63222度 東経139.577361度﻿ /35.63222; 139.577361座標:北緯35度37分56秒東経139度34分38.5秒﻿ / ﻿北緯35.63222度 東経139.577361度﻿ /35.63222; 139.577361","*通過線2線含む","OH16","","","48,921人/日-2019年-","","","","","","",""
"駒形駅","駒形駅（こまがたえき）","https://ja.wikipedia.org/wiki/駒形駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度21分15.38秒東経139度08分21.22秒","■両毛線","74.9 km（小山起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）[1]","1889年（明治22年）11月20日[1]","2面3線（乗降は2面2線のみ）[1]","群馬県前橋市小屋原町852北緯36度21分15.38秒東経139度08分21.22秒座標:北緯36度21分15.38秒 東経139度08分21.22秒","業務委託駅みどりの窓口有[1]","","コタ","2,939人/日（降車客含まず）-2019年-","","","","","","","",""
"駒ヶ岳駅","駒ヶ岳駅（こまがたけえき）","https://ja.wikipedia.org/wiki/駒ヶ岳駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯42度1分19.6秒東経140度36分37.9秒","■函館本線（本線）","36.5 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1903年（明治36年）6月28日","2面2線","北海道茅部郡森町字駒ケ岳北緯42度1分19.6秒東経140度36分37.9秒﻿ / ﻿北緯42.022111度 東経140.610528度﻿ /42.022111; 140.610528﻿ (駒ヶ岳駅)","無人駅","○H65","コマ","56人/日（降車客含まず）-1992年-","","","","","","","",""
"箱根 駒ヶ岳ロープウェー","駒ヶ岳頂上駅（こまがたけちょうじょうえき）","https://ja.wikipedia.org/wiki/箱根_駒ヶ岳ロープウェー","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"駒ヶ谷駅","駒ヶ谷駅（こまがたにえき）","https://ja.wikipedia.org/wiki/駒ヶ谷駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度32分43.89秒東経135度37分20.94秒","F南大阪線","20.0 km（大阪阿部野橋起点）","近畿日本鉄道（近鉄）","地上駅","1929年（昭和4年）3月29日","2面2線","大阪府羽曳野市駒ケ谷159-1北緯34度32分43.89秒東経135度37分20.94秒﻿ / ﻿北緯34.5455250度 東経135.6224833度﻿ /34.5455250; 135.6224833座標:北緯34度32分43.89秒東経135度37分20.94秒﻿ / ﻿北緯34.5455250度 東経135.6224833度﻿ /34.5455250; 135.6224833","無人駅"," F17 ","コマ","","1,605人/日-2010年-","","","","","","",""
"駒ケ根駅","駒ケ根駅（こまがねえき）","https://ja.wikipedia.org/wiki/駒ケ根駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度44分11.16秒東経137度56分12.44秒","CD飯田線[1]","165.6 km（豊橋起点）","東海旅客鉄道（JR東海）","地上駅","1914年（大正3年）10月31日[1]","2面3線[2]","長野県駒ヶ根市東町[2]1-1北緯35度44分11.16秒東経137度56分12.44秒﻿ / ﻿北緯35.7364333度 東経137.9367889度﻿ /35.7364333; 137.9367889座標:北緯35度44分11.16秒東経137度56分12.44秒﻿ / ﻿北緯35.7364333度 東経137.9367889度﻿ /35.7364333; 137.9367889","簡易委託駅*1959年に赤穂駅から改称[2]。標高：674m[2]","","コマ[2]アホ（改称前）","505人/日（降車客含まず）-2018年-","","","","","","","",""
"駒ヶ林駅","駒ヶ林駅（こまがばやしえき）","https://ja.wikipedia.org/wiki/駒ヶ林駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度39分7.58秒東経135度8分58.39秒","海岸線","0.6 km（新長田起点）","神戸市交通局（神戸市営地下鉄）","地下駅[1]","2001年（平成13年）7月7日[1]","1面2線[1]","神戸市長田区駒ヶ林町一丁目[1]北緯34度39分7.58秒東経135度8分58.39秒﻿ / ﻿北緯34.6521056度 東経135.1495528度﻿ /34.6521056; 135.1495528﻿ (駒ヶ林駅)座標:北緯34度39分7.58秒東経135度8分58.39秒﻿ / ﻿北緯34.6521056度 東経135.1495528度﻿ /34.6521056; 135.1495528﻿ (駒ヶ林駅)",""," K09 ","","1,480人/日（降車客含まず）-2019年-","","","","","","","",""
"駒ケ嶺駅","駒ケ嶺駅（こまがみねえき）","https://ja.wikipedia.org/wiki/駒ケ嶺駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯37度50分32.7秒東経140度55分30秒","■常磐線","311.4 km（日暮里起点）","東日本旅客鉄道（JR東日本）","地上駅","1952年（昭和27年）7月10日[1]","2面2線[1]","福島県相馬郡新地町駒ケ嶺字深町21[1]北緯37度50分32.7秒東経140度55分30秒座標:北緯37度50分32.7秒 東経140度55分30秒","無人駅[1]","","コマ","151人/日（降車客含まず）-2004年-","","","","","","","",""
"高麗川駅","高麗川駅（こまがわえき）","https://ja.wikipedia.org/wiki/高麗川駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度53分46.61秒東経139度20分16.62秒","■八高線[* 1][* 2]","31.1 km（八王子起点）","東日本旅客鉄道（JR東日本）","地上駅","1933年（昭和8年）4月15日","2面3線[1]","埼玉県日高市大字原宿336-2北緯35度53分46.61秒東経139度20分16.62秒﻿ / ﻿北緯35.8962806度 東経139.3379500度﻿ /35.8962806; 139.3379500﻿ (高麗川駅)","直営駅（管理駅）みどりの窓口有[1]","","マワ","4,483人/日（降車客含まず）-2019年-","","","","","","","",""
"駒川中野駅","駒川中野駅（こまがわなかのえき）","https://ja.wikipedia.org/wiki/駒川中野駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度37分17.43秒東経135度31分58.93秒","●谷町線","21.5 km（大日起点）","大阪市高速電気軌道(Osaka Metro)","地下駅","1980年（昭和55年）11月27日","1面2線","大阪市東住吉区針中野1丁目北緯34度37分17.43秒東経135度31分58.93秒﻿ / ﻿北緯34.6215083度 東経135.5330361度﻿ /34.6215083; 135.5330361﻿ (駒川中野駅)座標:北緯34度37分17.43秒東経135度31分58.93秒﻿ / ﻿北緯34.6215083度 東経135.5330361度﻿ /34.6215083; 135.5330361﻿ (駒川中野駅)",""," T31 ","","7,935人/日（降車客含まず）-2020年-","15,578人/日-2020年-","","","","","","",""
"小牧駅","小牧駅（こまきえき）","https://ja.wikipedia.org/wiki/小牧駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度17分21秒東経136度55分41.6秒","小牧線","9.8 km（上飯田起点）","名古屋鉄道","地下駅","1931年（昭和6年）2月11日","2面3線","愛知県小牧市中央一丁目260北緯35度17分21秒東経136度55分41.6秒﻿ / ﻿北緯35.28917度 東経136.928222度﻿ /35.28917; 136.928222座標:北緯35度17分21秒東経136度55分41.6秒﻿ / ﻿北緯35.28917度 東経136.928222度﻿ /35.28917; 136.928222","*1945年新小牧駅より改称","KM  06 ","","","11,278人/日-2019年[1]-","","","","","","",""
"小牧口駅","小牧口駅（こまきぐちえき）","https://ja.wikipedia.org/wiki/小牧口駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度16分55秒東経136度55分39秒","小牧線","9.0 km（上飯田起点）","名古屋鉄道","地上駅","1931年（昭和6年）2月11日","2面2線","愛知県小牧市大字北外山1897-2北緯35度16分55秒東経136度55分39秒﻿ / ﻿北緯35.28194度 東経136.92750度﻿ /35.28194; 136.92750座標:北緯35度16分55秒東経136度55分39秒﻿ / ﻿北緯35.28194度 東経136.92750度﻿ /35.28194; 136.92750","無人駅（駅集中管理システム導入駅）","KM  07 ","","","3,405人/日-2019年[1]-","","","","","","",""
"小牧原駅","小牧原駅（こまきはらえき）","https://ja.wikipedia.org/wiki/小牧原駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度18分0秒東経136度56分9秒","小牧線","11.3 km（上飯田起点）","名古屋鉄道","高架駅","1931年（昭和6年）4月29日","1面1線","愛知県小牧市大字小牧原新田1820-3北緯35度18分0秒東経136度56分9秒﻿ / ﻿北緯35.30000度 東経136.93583度﻿ /35.30000; 136.93583座標:北緯35度18分0秒東経136度56分9秒﻿ / ﻿北緯35.30000度 東経136.93583度﻿ /35.30000; 136.93583","無人駅（駅集中管理システム導入駅）* 1987年高架化","KM  05 ","","","3,700人/日-2019年[1]-","","","","","","",""
"駒込駅","駒込駅（こまごめえき）","https://ja.wikipedia.org/wiki/駒込駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東京地下鉄（東京メトロ・駅詳細）","","","","東京都豊島区駒込二丁目","","","","","","","","","","","",""
"駒沢大学駅","駒沢大学駅（こまざわだいがくえき）","https://ja.wikipedia.org/wiki/駒沢大学駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度38分0.4秒東経139度39分42.1秒","■田園都市線","4.8 km（渋谷起点）","東急電鉄","地下駅","1977年（昭和52年）4月7日[1]","1面2線","東京都世田谷区上馬四丁目3番北緯35度38分0.4秒東経139度39分42.1秒﻿ / ﻿北緯35.633444度 東経139.661694度﻿ /35.633444; 139.661694座標:北緯35度38分0.4秒東経139度39分42.1秒﻿ / ﻿北緯35.633444度 東経139.661694度﻿ /35.633444; 139.661694","東急電鉄直営駅駅カラーは「■若葉色」","DT04","","","80,468人/日-2019年-","","","","","","",""
"狛田駅","狛田駅（こまだえき）","https://ja.wikipedia.org/wiki/狛田駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度46分50.37秒東経135度47分21.76秒","B京都線","24.4 km（京都起点）","近畿日本鉄道（近鉄）","地上駅","1928年（昭和3年）11月3日","2面2線","京都府相楽郡精華町大字下狛小字下新庄62-1北緯34度46分50.37秒東経135度47分21.76秒﻿ / ﻿北緯34.7806583度 東経135.7893778度﻿ /34.7806583; 135.7893778﻿ (狛田駅)座標:北緯34度46分50.37秒東経135度47分21.76秒﻿ / ﻿北緯34.7806583度 東経135.7893778度﻿ /34.7806583; 135.7893778﻿ (狛田駅)",""," B20 ","コマタ","（全日）1,500人/日（降車客含まず）-2019年-","","下狛駅（JR学研都市線）","","","","","",""
"古町駅","古町駅（こまちえき）","https://ja.wikipedia.org/wiki/古町駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯33度50分49.51秒東経132度45分18.93秒","高浜線","7.6 km（高浜起点）","伊予鉄道","地上駅","1888年（明治21年）10月28日","4面5線","愛媛県松山市平和通6丁目北緯33度50分49.51秒東経132度45分18.93秒﻿ / ﻿北緯33.8470861度 東経132.7552583度﻿ /33.8470861; 132.7552583﻿ (古町駅*)","* 1889年に三津口駅から改称","●IY08","","","4,891[1]人/日-2019年-","","","","","","",""
"小町屋駅","小町屋駅（こまちやえき）","https://ja.wikipedia.org/wiki/小町屋駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度43分37.61秒東経137度56分6.64秒","CD飯田線","164.4 km（豊橋起点）","東海旅客鉄道（JR東海）","地上駅","1914年（大正3年）12月26日[1]","1面1線[1]","長野県駒ヶ根市赤穂小町屋[1]北緯35度43分37.61秒東経137度56分6.64秒﻿ / ﻿北緯35.7271139度 東経137.9351778度﻿ /35.7271139; 137.9351778座標:北緯35度43分37.61秒東経137度56分6.64秒﻿ / ﻿北緯35.7271139度 東経137.9351778度﻿ /35.7271139; 137.9351778","駅員無配置駅[1]標高：672m[1]","","コヤ[1]","698人/日（降車客含まず）-2018年-","","","","","","","",""
"小松駅","小松駅（こまつえき）","https://ja.wikipedia.org/wiki/小松駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度24分6.80秒東経136度27分9.87秒","■北陸本線","148.2 km（米原起点）","西日本旅客鉄道（JR西日本）","高架駅","1897年（明治30年）9月20日","2面3線","石川県小松市土居原町466北緯36度24分6.80秒東経136度27分9.87秒﻿ / ﻿北緯36.4018889度 東経136.4527417度﻿ /36.4018889; 136.4527417座標:北緯36度24分6.80秒東経136度27分9.87秒﻿ / ﻿北緯36.4018889度 東経136.4527417度﻿ /36.4018889; 136.4527417","直営駅（管理駅）みどりの窓口有","","マツ","4,483人/日（降車客含まず）-2019年-","","","","","","","",""
"小松川駅","小松川駅（こまつかわえき）","https://ja.wikipedia.org/wiki/小松川駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","■北上線","49.6 km（北上起点）","東日本旅客鉄道（JR東日本）","地上駅","1951年（昭和26年）12月25日[1]","1面1線","","無人駅","","コツ","","","","","","","","",""
"駒鳴駅","駒鳴駅（こまなきえき）","https://ja.wikipedia.org/wiki/駒鳴駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯33度19分9.97秒東経129度58分20.45秒","筑肥線","11.0 km（山本起点）","九州旅客鉄道（JR九州）","地上駅","1935年（昭和10年）3月1日","1面1線","佐賀県伊万里市大川町駒鳴3942北緯33度19分9.97秒東経129度58分20.45秒﻿ / ﻿北緯33.3194361度 東経129.9723472度﻿ /33.3194361; 129.9723472﻿ (駒鳴駅)","無人駅","","コマ","7人/日（降車客含まず）-2016年-","15人/日-2016年-","","","","","","",""
"駒野駅","駒野駅（こまのえき）","https://ja.wikipedia.org/wiki/駒野駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度13分25.77秒東経136度36分12.75秒","養老線","19.8 km（桑名起点）","養老鉄道","地上駅","1919年（大正8年）4月27日","2面3線","岐阜県海津市南濃町駒野横道上617-5北緯35度13分25.77秒東経136度36分12.75秒﻿ / ﻿北緯35.2238250度 東経136.6035417度﻿ /35.2238250; 136.6035417座標:北緯35度13分25.77秒東経136度36分12.75秒﻿ / ﻿北緯35.2238250度 東経136.6035417度﻿ /35.2238250; 136.6035417","終日駅員配置","","","","880[1]人/日-2015年-","","","","","","",""
"駒場車庫前停留場","駒場車庫前停留場（こまばしゃこまえていりゅうじょう）","https://ja.wikipedia.org/wiki/駒場車庫前停留場","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯41度46分59.62秒東経140度46分45.8秒","函館市電湯の川線","1.0 km（湯の川起点）","函館市企業局交通部","地上駅（停留場）","","2面2線","北海道函館市駒場町14-15先、深掘町24-30先北緯41度46分59.62秒東経140度46分45.8秒﻿ / ﻿北緯41.7832278度 東経140.779389度﻿ /41.7832278; 140.779389﻿ (駒場車庫前停留場)座標:北緯41度46分59.62秒東経140度46分45.8秒﻿ / ﻿北緯41.7832278度 東経140.779389度﻿ /41.7832278; 140.779389﻿ (駒場車庫前停留場)","","DY04","","","282[1]人/日-2019年-","","","","","","",""
"駒場東大前駅","駒場東大前駅（こまばとうだいまええき）","https://ja.wikipedia.org/wiki/駒場東大前駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度39分31秒東経139度41分4秒","■井の頭線","1.4 km（渋谷起点）","京王電鉄","地上駅","1933年（昭和8年）8月1日","1面2線","東京都目黒区駒場三丁目9番1号北緯35度39分31秒東経139度41分4秒﻿ / ﻿北緯35.65861度 東経139.68444度﻿ /35.65861; 139.68444座標:北緯35度39分31秒東経139度41分4秒﻿ / ﻿北緯35.65861度 東経139.68444度﻿ /35.65861; 139.68444","","IN03","","","37,851人/日-2019年-","","","","","","",""
"古見駅 (愛知県)","古見駅 (愛知県)（こみえき・名古屋鉄道常滑線）","https://ja.wikipedia.org/wiki/古見駅_(愛知県)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度59分16.5秒東経136度51分24.5秒","常滑線","17.3 km（神宮前起点）","名古屋鉄道","地上駅","1912年（明治45年）2月18日","2面2線","愛知県知多市新知字森下29-3北緯34度59分16.5秒東経136度51分24.5秒﻿ / ﻿北緯34.987917度 東経136.856806度﻿ /34.987917; 136.856806座標:北緯34度59分16.5秒東経136度51分24.5秒﻿ / ﻿北緯34.987917度 東経136.856806度﻿ /34.987917; 136.856806","無人駅（駅集中管理システム導入駅）","TA  13 ","","","3,419人/日-2019年[1]-","","","","","","",""
"古見駅 (岡山県)","古見駅 (岡山県)（こみえき・西日本旅客鉄道姫新線）","https://ja.wikipedia.org/wiki/古見駅_(岡山県)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度2分57.19秒東経133度45分38.25秒","K姫新線","114.6 km（姫路起点）","西日本旅客鉄道（JR西日本）","地上駅","1958年（昭和33年）4月1日","1面1線","岡山県真庭市古見北緯35度2分57.19秒東経133度45分38.25秒﻿ / ﻿北緯35.0492194度 東経133.7606250度﻿ /35.0492194; 133.7606250﻿ (古見駅)","無人駅","","コミ","69人/日（降車客含まず）-2019年-","","","","","","","",""
"小湊駅","小湊駅（こみなとえき）","https://ja.wikipedia.org/wiki/小湊駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","■青い森鉄道線","94.5km（目時起点）東京から711.8 km","青い森鉄道","地上駅","1891年（明治24年）9月1日","2面3線","","直営駅","","ナト","","844人/日-2018年-","","","","","","",""
"小宮駅","小宮駅（こみやえき）","https://ja.wikipedia.org/wiki/小宮駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度41分7.7秒東経139度22分7.7秒","■八高線","5.1 km（八王子起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）[1]","1931年（昭和6年）12月10日[1]","2面2線[1]","東京都八王子市小宮町789北緯35度41分7.7秒東経139度22分7.7秒﻿ / ﻿北緯35.685472度 東経139.368806度﻿ /35.685472; 139.368806座標:北緯35度41分7.7秒東経139度22分7.7秒﻿ / ﻿北緯35.685472度 東経139.368806度﻿ /35.685472; 139.368806","業務委託駅","","コヤ","3,055人/日（降車客含まず）-2019年-","","","","","","","",""
"小室駅","小室駅（こむろえき）","https://ja.wikipedia.org/wiki/小室駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度47分13.3秒東経140度4分33.9秒","■北総線","19.8 km（京成高砂起点）","北総鉄道","地上駅（橋上駅）","1979年（昭和54年）3月8日[1]","2面3線","千葉県船橋市小室町1400北緯35度47分13.3秒東経140度4分33.9秒座標:北緯35度47分13.3秒 東経140度4分33.9秒","北総鉄道と千葉ニュータウン鉄道の境界駅（北総鉄道の管轄）","HS11","","","3,900人/日-2017年-","","","","","","",""
"米野駅","米野駅（こめのえき）","https://ja.wikipedia.org/wiki/米野駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度9分41.85秒東経136度52分48.05秒","E名古屋線","77.7 km（伊勢中川起点）","近畿日本鉄道（近鉄）","地上駅","1938年（昭和13年）6月26日","2面3線","名古屋市中村区平池町四丁目48-1北緯35度9分41.85秒東経136度52分48.05秒﻿ / ﻿北緯35.1616250度 東経136.8800139度﻿ /35.1616250; 136.8800139座標:北緯35度9分41.85秒東経136度52分48.05秒﻿ / ﻿北緯35.1616250度 東経136.8800139度﻿ /35.1616250; 136.8800139",""," E02 ","コメ","395人/日（降車客含まず）-2019年-","","","","","","","",""
"米野木駅","米野木駅（こめのきえき）","https://ja.wikipedia.org/wiki/米野木駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度7分26.3秒東経137度4分1秒","豊田線","4.8km（赤池起点）上小田井から25.2 km","名古屋鉄道","高架駅","1979年（昭和54年）7月29日","相対式 2面2線","愛知県日進市米野木町南山185-3北緯35度7分26.3秒東経137度4分1秒﻿ / ﻿北緯35.123972度 東経137.06694度﻿ /35.123972; 137.06694座標:北緯35度7分26.3秒東経137度4分1秒﻿ / ﻿北緯35.123972度 東経137.06694度﻿ /35.123972; 137.06694","無人駅（駅集中管理システム導入駅）","TT  05 ","","","6,429人/日-2019年[1]-","","","","","","",""
