"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","種類","初登頂","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"旭ヶ丸","[94あさひがまる旭ヶ丸徳島県佐那河内村上勝町1,019.5地理院地図Googleマップ北緯33度57分06秒東経134度24分09秒﻿ / ﻿北緯33.951638度 東経134.402625度﻿ /33.951638; 134.402625﻿ (旭ヶ丸)] 旭ヶ丸 （あさひがまる）は、 徳島県 名東郡 佐那河内村 と 勝浦郡 上勝町 との境界にある 山 である。 標高 1,019.5m。","https://ja.wikipedia.org/wiki/旭ヶ丸","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度57分5.8秒東経134度24分9.4秒","1,019.5m","日本徳島県名東郡佐那河内村・勝浦郡上勝町","北緯33度57分5.8秒東経134度24分9.4秒﻿ / ﻿北緯33.951611度 東経134.402611度﻿ /33.951611; 134.402611座標:北緯33度57分5.8秒東経134度24分9.4秒﻿ / ﻿北緯33.951611度 東経134.402611度﻿ /33.951611; 134.402611","四国山地剣山系","","","","","","","","","","","","","","",""
"中津峰山","[95なかつみねやま中津峰山徳島県徳島市小松島市773.0地理院地図Googleマップ北緯33度57分45秒東経134度30分34秒﻿ / ﻿北緯33.962425度 東経134.509465度﻿ /33.962425; 134.509465﻿ (中津峰山)] 中津峰山 （なかつみねさん）は、 徳島県 徳島市 と 勝浦郡 勝浦町 の境に位置する 剣山 系の 標高 773mの 山 である。 四国百名山 の一つ。","https://ja.wikipedia.org/wiki/中津峰山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度57分44.5秒東経134度30分34.1秒","773m","日本徳島県徳島市・勝浦郡勝浦町","北緯33度57分44.5秒東経134度30分34.1秒﻿ / ﻿北緯33.962361度 東経134.509472度﻿ /33.962361; 134.509472座標:北緯33度57分44.5秒東経134度30分34.1秒﻿ / ﻿北緯33.962361度 東経134.509472度﻿ /33.962361; 134.509472","四国山地剣山系","","","","","","","","","","","","","","",""
"太竜寺山","[96たいりゅうじさん太竜寺山徳島県阿波市美波町618地理院地図Googleマップ北緯33度52分27秒東経134度31分11秒﻿ / ﻿北緯33.8740611度 東経134.519789度﻿ /33.8740611; 134.519789﻿ (太竜寺山)第21番札所太龍寺] 大竜寺山 （たいりゅうじやま）とは、 徳島県 阿南市 と 那賀町 との境にある山である。 標高 は618mである。別名｢太龍寺山｣。","https://ja.wikipedia.org/wiki/太竜寺山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度52分26.6秒東経134度31分11.2秒","618m","日本徳島県阿南市・那賀郡那賀町","北緯33度52分26.6秒東経134度31分11.2秒﻿ / ﻿北緯33.874056度 東経134.519778度﻿ /33.874056; 134.519778座標:北緯33度52分26.6秒東経134度31分11.2秒﻿ / ﻿北緯33.874056度 東経134.519778度﻿ /33.874056; 134.519778","剣山地","","","","","","","","","","","","","","",""
"千羽ヶ岳","[97 *せんばがだけ千羽ヶ岳徳島県美波町245.3地理院地図Googleマップ北緯33度42分29秒東経134度31分16秒﻿ / ﻿北緯33.708007度 東経134.521186度﻿ /33.708007; 134.521186﻿ (千羽ヶ岳)] 千羽ヶ岳 （せんばがだけ）は、 徳島県 海部郡 美波町 の 千羽海崖 の南側にあり 遊歩道 の最高所で、 展望台 がある 標高 245.3mの 山 である。","https://ja.wikipedia.org/wiki/千羽ヶ岳","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度42分28.8秒東経134度31分16.3秒","245.3m","徳島県海部郡美波町","北緯33度42分28.8秒東経134度31分16.3秒﻿ / ﻿北緯33.708000度 東経134.521194度﻿ /33.708000; 134.521194座標:北緯33度42分28.8秒東経134度31分16.3秒﻿ / ﻿北緯33.708000度 東経134.521194度﻿ /33.708000; 134.521194","四国山地","","","","","","","","","","","","","","",""
"千本山","[98せんぼんやま千本山高知県馬路村1,084.4地理院地図Googleマップ北緯33度40分28秒東経134度05分46秒﻿ / ﻿北緯33.674358度 東経134.096076度﻿ /33.674358; 134.096076﻿ (千本山)] 千本山 （せんぼんやま）は、 高知県 安芸郡 馬路村 にあり、 海部山地 西部にある 標高 1,084.5mの 山 である。","https://ja.wikipedia.org/wiki/千本山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度40分28.45秒東経134度5分47.57秒","1,084.5m","高知県安芸郡馬路村","北緯33度40分28.45秒東経134度5分47.57秒﻿ / ﻿北緯33.6745694度 東経134.0965472度﻿ /33.6745694; 134.0965472座標:北緯33度40分28.45秒東経134度5分47.57秒﻿ / ﻿北緯33.6745694度 東経134.0965472度﻿ /33.6745694; 134.0965472","四国山地","","","","","","","","","","","","","","",""
"湯桶丸","[99 *ゆとうまる湯桶丸徳島県那賀町1,372.0地理院地図Googleマップ北緯33度41分49秒東経134度09分39秒﻿ / ﻿北緯33.697073度 東経134.160869度﻿ /33.697073; 134.160869﻿ (湯桶丸)] 湯桶丸 （ゆとうまる）は、 徳島県 那賀郡 那賀町 にあり、 海部 山地に座する 標高 1,372.1mの 山 である。","https://ja.wikipedia.org/wiki/湯桶丸","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度41分51.92秒東経134度9分39秒","1,372.1m","徳島県那賀郡那賀町","北緯33度41分51.92秒東経134度9分39秒﻿ / ﻿北緯33.6977556度 東経134.16083度﻿ /33.6977556; 134.16083","四国山地","","","","","","","","","","","","","","",""
"野根山街道","[100のねやまかいどう野根山街道高知県奈半利町東洋町1,082.9地理院地図Googleマップ北緯33度28分15秒東経134度08分15秒﻿ / ﻿北緯33.470873度 東経134.137480度﻿ /33.470873; 134.137480﻿ (野根山街道)野根山 983.5m装束山 1,082.9m] 野根山街道 （のねやまかいどう）は、 高知県 東部の 奈半利町 と 東洋町 を結んでいる 尾根 伝いの 街道 である。四国百名山に選定されているので、山としての核心部分である最高地点の装束山（標高1,083.0m）と野根山（標高983.5m）も記述する。 ","https://ja.wikipedia.org/wiki/野根山街道","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度28分18.93秒東経134度8分14.85秒","1,083.0m","高知県安芸郡奈半利町・室戸市・安芸郡北川村・東洋町","北緯33度28分18.93秒東経134度8分14.85秒﻿ / ﻿北緯33.4719250度 東経134.1374583度﻿ /33.4719250; 134.1374583座標:北緯33度28分18.93秒東経134度8分14.85秒﻿ / ﻿北緯33.4719250度 東経134.1374583度﻿ /33.4719250; 134.1374583","四国山地","","","","","","","","","","","","","","",""
"出石山","[1いずしさん出石山愛媛県大洲市八幡浜市812.0地理院地図Googleマップ北緯33度32分06秒東経132度27分55秒﻿ / ﻿北緯33.534913度 東経132.465235度﻿ /33.534913; 132.465235﻿ (出石山)山頂に出石寺の本堂が立つ] 出石山 （いずしさん）は、 愛媛県 大洲市 と 八幡浜市 にまたがる、標高812.0mの山である。","https://ja.wikipedia.org/wiki/出石山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度32分6.53秒東経132度27分54.92秒","812.0m","愛媛県大洲市・八幡浜市","北緯33度32分6.53秒東経132度27分54.92秒﻿ / ﻿北緯33.5351472度 東経132.4652556度﻿ /33.5351472; 132.4652556座標:北緯33度32分6.53秒東経132度27分54.92秒﻿ / ﻿北緯33.5351472度 東経132.4652556度﻿ /33.5351472; 132.4652556","四国山地","","","","","","","","","","","","","","",""
"牛ノ峯","[2うしのみね牛ノ峯愛媛県喜多郡内子町伊予市双海町895.5地理院地図Googleマップ北緯33度39分18秒東経132度38分57秒﻿ / ﻿北緯33.655023度 東経132.649278度﻿ /33.655023; 132.649278﻿ (牛ノ峯)] 牛ノ峯 （うしのみね）は、 愛媛県 伊予市 と 喜多郡 内子町 にまたがる出石山地に属する 標高 895.7メートルの 山 である。","https://ja.wikipedia.org/wiki/牛ノ峯","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度39分14.6秒東経132度38分56.6秒","895.7m","愛媛県伊予市・喜多郡内子町","北緯33度39分14.6秒東経132度38分56.6秒﻿ / ﻿北緯33.654056度 東経132.649056度﻿ /33.654056; 132.649056","四国山地","","","","","","","","","","","","","","",""
"御在所山 (西予市野村町)","[3ございしょやま御在所山愛媛県大洲市西予市野村町高瀬668.8地理院地図Googleマップ北緯33度26分15秒東経132度38分00秒﻿ / ﻿北緯33.43754度 東経132.633442度﻿ /33.43754; 132.633442﻿ (御在所山)] 御在所山 （ございしょやま）は、 愛媛県 大洲市 肱川町 と 西予市 野村町 にまたがる 標高 668.9メートルの 山 である。","https://ja.wikipedia.org/wiki/御在所山_(西予市野村町)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度26分13.99秒東経132度37分59.7秒","668.9m","愛媛県大洲市・西予市","北緯33度26分13.99秒東経132度37分59.7秒﻿ / ﻿北緯33.4372194度 東経132.633250度﻿ /33.4372194; 132.633250","四国山地","","","","","","","","","","","","","","",""
"障子山","[4しょうじやま障子山愛媛県伊予市伊予郡砥部町884.9地理院地図Googleマップ北緯33度42分19秒東経132度45分55秒﻿ / ﻿北緯33.705332度 東経132.765224度﻿ /33.705332; 132.765224﻿ (障子山)] 障子山 （しょうじやま）は、 愛媛県 伊予郡 砥部町 と 伊予市 にまたがる皿ヶ嶺連峰の西部に座する 標高 885.0メートルの 山 である。","https://ja.wikipedia.org/wiki/障子山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度42分22.16秒東経132度45分53.89秒","885.0m","愛媛県伊予郡砥部町・伊予市","北緯33度42分22.16秒東経132度45分53.89秒﻿ / ﻿北緯33.7061556度 東経132.7649694度﻿ /33.7061556; 132.7649694","四国山地","","","","","","","","","","","","","","",""
"カガマシ山","[5かがましやまカガマシ山愛媛県四国中央市高知県大豊町1,342.7地理院地図Googleマップ北緯33度52分48秒東経133度36分13秒﻿ / ﻿北緯33.880132度 東経133.603608度﻿ /33.880132; 133.603608﻿ (カガマシ山)] カガマシ山 （かがましやま）は、 愛媛県 四国中央市 と 高知県 長岡郡 大豊町 にまたがり、四国山地中部に座する 標高 1,342.5メートルの 山 である。","https://ja.wikipedia.org/wiki/カガマシ山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度52分51.03秒東経133度36分13.41秒","1,342.5m","愛媛県四国中央市・高知県長岡郡大豊町","北緯33度52分51.03秒東経133度36分13.41秒﻿ / ﻿北緯33.8808417度 東経133.6037250度﻿ /33.8808417; 133.6037250","四国山地","","","","","","","","","","","","","","",""
"五色台","[6おおひらやま大平山香川県坂出市高松市478.7地理院地図Googleマップ北緯34度19分48秒東経133度57分09秒﻿ / ﻿北緯34.329875度 東経133.952381度﻿ /34.329875; 133.952381﻿ (大平山)] 五色台 （ごしきだい）は、 香川県 の 高松市 と 坂出市 にまたがる 瀬戸内海 に張り出した 山塊 の総称で  、ほぼ県の中央に位置する。複数の頂に広い平坦面が連なる メサ （卓状台地）とされている    。","https://ja.wikipedia.org/wiki/五色台#四国百山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度21分0秒東経133度56分20秒","483（猪尻山）m","日本香川県高松市・坂出市","北緯34度21分0秒東経133度56分20秒﻿ / ﻿北緯34.35000度 東経133.93889度﻿ /34.35000; 133.93889座標:北緯34度21分0秒東経133度56分20秒﻿ / ﻿北緯34.35000度 東経133.93889度﻿ /34.35000; 133.93889","独立峰（山塊）","台地の地形（メサ）","","","","","","","","","","","","","",""
"五剣山 (高松市の山)","[7ごけんざん五剣山香川県高松市牟礼町375.0地理院地図Googleマップ北緯34度21分39秒東経134度08分29秒﻿ / ﻿北緯34.36097度 東経134.14146度﻿ /34.36097; 134.14146﻿ (五剣山)第85番札所八栗寺] 五剣山 （ごけんざん）は 香川県 高松市 にある山。","https://ja.wikipedia.org/wiki/五剣山_(高松市の山)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度21分40秒東経134度8分29秒","375m","香川県高松市","北緯34度21分40秒東経134度8分29秒﻿ / ﻿北緯34.36111度 東経134.14139度﻿ /34.36111; 134.14139座標:北緯34度21分40秒東経134度8分29秒﻿ / ﻿北緯34.36111度 東経134.14139度﻿ /34.36111; 134.14139","","","","","","","","","","","","","","","",""
"矢筈山 (香川県)","[8やはずやま矢筈山香川県さぬき市789.0地理院地図Googleマップ北緯34度11分44秒東経134度11分48秒﻿ / ﻿北緯34.195485度 東経134.196596度﻿ /34.195485; 134.196596﻿ (矢筈山)] 矢筈山 （やはずやま）は、 香川県 さぬき市 に座する讃岐山脈に属する 標高 787.5メートルの 山 である。","https://ja.wikipedia.org/wiki/矢筈山_(香川県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度11分40.64秒東経134度11分49.19秒","787.5m","香川県さぬき市","北緯34度11分40.64秒東経134度11分49.19秒﻿ / ﻿北緯34.1946222度 東経134.1969972度﻿ /34.1946222; 134.1969972","讃岐山脈","","","","","","","","","","","","","","",""
"日ノ丸山","[9ひのまるやま日ノ丸山徳島県東みよし市1,240.2地理院地図Googleマップ北緯33度58分37秒東経133度55分05秒﻿ / ﻿北緯33.976922度 東経133.917968度﻿ /33.976922; 133.917968﻿ (日ノ丸山)] 日ノ丸山 （ひのまるさん）は、 徳島県 三好市 と 三好郡 東みよし町 にまたがる祖谷山系に属する 標高 1240.3メートルの 山 である。","https://ja.wikipedia.org/wiki/日ノ丸山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度58分37.57秒東経133度55分4.66秒","1240.3m","徳島県三好市・三好郡東みよし町","北緯33度58分37.57秒東経133度55分4.66秒﻿ / ﻿北緯33.9771028度 東経133.9179611度﻿ /33.9771028; 133.9179611","四国山地","","","","","","","","","","","","","","",""
"風呂塔","[10ふろんと風呂塔徳島県三好市東みよし町1,401.5地理院地図Googleマップ北緯33度57分50秒東経133度57分16秒﻿ / ﻿北緯33.963917度 東経133.954489度﻿ /33.963917; 133.954489﻿ (風呂塔)] 風呂塔 （ふろんと）は、 徳島県 三好市 と 三好郡 東みよし町 にまたがる祖谷山系に属する 標高 1401.6mの 山 である。","https://ja.wikipedia.org/wiki/風呂塔","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度57分51.19秒東経133度57分16.37秒","1401.6m","徳島県三好市・三好郡東みよし町","北緯33度57分51.19秒東経133度57分16.37秒﻿ / ﻿北緯33.9642194度 東経133.9545472度﻿ /33.9642194; 133.9545472","四国山地","","","","","","","","","","","","","","",""
"腕山","[11かいなやま腕山徳島県三好市1,332.9地理院地図Googleマップ北緯33度57分04秒東経133度53分31秒﻿ / ﻿北緯33.95109度 東経133.892074度﻿ /33.95109; 133.892074﻿ (腕山)] 腕山 （かいなやま）は、 徳島県 三好市 に位置する祖谷山系に座する 標高 1,333.1 m の 山 である","https://ja.wikipedia.org/wiki/腕山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度57分5.96秒東経133度53分30.11秒","1,333.1m","日本徳島県三好市","北緯33度57分5.96秒東経133度53分30.11秒﻿ / ﻿北緯33.9516556度 東経133.8916972度﻿ /33.9516556; 133.8916972","四国山地剣山系","","","","","","","","","","","","","","",""
"中津山 (徳島県)","[12なかつさん中津山徳島県三好市1,446.6地理院地図Googleマップ北緯33度55分29秒東経133度50分39秒﻿ / ﻿北緯33.924645度 東経133.84418度﻿ /33.924645; 133.84418﻿ (中津山)] 中津山 （なかつさん）は、 徳島県 三好市 に位置する 祖谷山 系に属する 標高 1,446.8 m の 山 である","https://ja.wikipedia.org/wiki/中津山_(徳島県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度55分27.5秒東経133度50分39.4秒","1,446.8m","日本徳島県三好市","北緯33度55分27.5秒東経133度50分39.4秒﻿ / ﻿北緯33.924306度 東経133.844278度﻿ /33.924306; 133.844278","四国山地剣山系","","","","","","","","","","","","","","",""
"野鹿池山","[13のかのいけやま野鹿池山高知県大豊町徳島県三好市1,303.0地理院地図Googleマップ北緯33度51分07秒東経133度42分26秒﻿ / ﻿北緯33.851849度 東経133.70727度﻿ /33.851849; 133.70727﻿ (野鹿池山)] 野鹿池山 （のかのいけやま）は、 徳島県 三好市 （旧・ 三好郡 山城町 ）の南に位置し、 高知県 長岡郡 大豊町 との県境にある 標高 1,294.37mの 山 である。","https://ja.wikipedia.org/wiki/野鹿池山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度51分07秒東経133度42分27秒","1,294.37m","徳島県三好市高知県長岡郡大豊町","北緯33度51分07秒東経133度42分27秒﻿ / ﻿北緯33.85194度 東経133.70750度﻿ /33.85194; 133.70750座標:北緯33度51分07秒東経133度42分27秒﻿ / ﻿北緯33.85194度 東経133.70750度﻿ /33.85194; 133.70750","四国山地剣山系","","","","","","","","","","","","","","",""
"明神山 (徳島県阿南市・美波町)","[14みょうじんやま明神山徳島県阿南市美波町441.6地理院地図Googleマップ北緯33度48分19秒東経134度39分02秒﻿ / ﻿北緯33.805228度 東経134.650656度﻿ /33.805228; 134.650656﻿ (明神山)] 明神山 （みょうじんやま・みょうじんさん）は、 徳島県 阿南市 と 海部郡 美波町 との境にある 山 である。 標高 441.6m。","https://ja.wikipedia.org/wiki/明神山_(徳島県阿南市・美波町)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度48分21秒東経134度39分0秒","441.6m","徳島県阿南市・海部郡美波町","北緯33度48分21秒東経134度39分0秒﻿ / ﻿北緯33.80583度 東経134.65000度﻿ /33.80583; 134.65000座標:北緯33度48分21秒東経134度39分0秒﻿ / ﻿北緯33.80583度 東経134.65000度﻿ /33.80583; 134.65000","","","","","","","","","","","","","","","",""
"鰻轟山","[15うなぎとどろきやま鰻轟山徳島県海部郡海陽町那賀町1,046.0地理院地図Googleマップ北緯33度43分16秒東経134度15分51秒﻿ / ﻿北緯33.721087度 東経134.264257度﻿ /33.721087; 134.264257﻿ (鰻轟山)] 鰻轟山 （うなぎとどろやま）は、 徳島県 海陽町 と 那賀町 の境にある 山 。標高は1,046.0 m 。 四国百山 選定。","https://ja.wikipedia.org/wiki/鰻轟山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度43分16秒東経134度15分51.1秒","1,046.0m","日本徳島県海部郡海陽町・那賀郡那賀町","北緯33度43分16秒東経134度15分51.1秒﻿ / ﻿北緯33.72111度 東経134.264194度﻿ /33.72111; 134.264194座標:北緯33度43分16秒東経134度15分51.1秒﻿ / ﻿北緯33.72111度 東経134.264194度﻿ /33.72111; 134.264194","剣山系","","","","","","","","","","","","","","",""
"甚吉森 (徳島県・高知県)","[16じんきちがもり甚吉森徳島県那賀町高知県馬路村1,423.3地理院地図Googleマップ北緯33度41分41秒東経134度06分36秒﻿ / ﻿北緯33.694818度 東経134.110017度﻿ /33.694818; 134.110017﻿ (甚吉森)] 甚吉森 （じんきちもり）は、 徳島県 那賀郡 那賀町 と 高知県 安芸郡 馬路村 の境界にある 山 である。 標高 1,423.3m。","https://ja.wikipedia.org/wiki/甚吉森_(徳島県・高知県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","","1,423.3m","日本徳島県那賀郡那賀町高知県安芸郡馬路村","","四国山地","","","","","","","","","","","","","","",""
"稗己屋山 (存在しないページ)","[17ひえごややま稗己屋山高知県安芸市安芸郡馬路村1,228.3地理院地図Googleマップ北緯33度38分48秒東経134度03分21秒﻿ / ﻿北緯33.646548度 東経134.0559度﻿ /33.646548; 134.0559﻿ (稗己屋山)]","https://ja.wikipedia.org/w/index.php?title=稗己屋山&amp;action=edit&amp;redlink=1","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"天狗森 (存在しないページ)","[18てんぐがもり天狗森高知県馬路村1,295.4地理院地図Googleマップ北緯33度37分08秒東経134度04分04秒﻿ / ﻿北緯33.618798度 東経134.067874度﻿ /33.618798; 134.067874﻿ (天狗森)]","https://ja.wikipedia.org/w/index.php?title=天狗森&amp;action=edit&amp;redlink=1","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"天神丸","[19てんじんまる天神丸徳島県美馬市那賀郡那賀町1,631.9地理院地図Googleマップ北緯33度52分07秒東経134度10分17秒﻿ / ﻿北緯33.868583度 東経134.171388度﻿ /33.868583; 134.171388﻿ (天神丸)] 天神丸 （てんじんまる）は、 徳島県 美馬市 と同県 那賀郡 那賀町 の境界に位置する 山 である。 標高 1,631.5 m 。","https://ja.wikipedia.org/wiki/天神丸","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度52分06.9秒東経134度10分17.0秒","1,631.5m","日本徳島県美馬市・那賀郡那賀町","北緯33度52分06.9秒東経134度10分17.0秒﻿ / ﻿北緯33.868583度 東経134.171389度﻿ /33.868583; 134.171389座標:北緯33度52分06.9秒東経134度10分17.0秒﻿ / ﻿北緯33.868583度 東経134.171389度﻿ /33.868583; 134.171389","四国山地剣山系","","","","","","","","","","","","","","",""
"国見山","[20くにみやま国見山高知県香美市長岡郡本山町1,089.1地理院地図Googleマップ北緯33度42分53秒東経133度37分39秒﻿ / ﻿北緯33.714856度 東経133.627544度﻿ /33.714856; 133.627544﻿ (国見山)] 国見山 （くにみやま、くにみさん）は、 山 の名前。同名の山が 日本 各地に存在する。","https://ja.wikipedia.org/wiki/国見山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"笹ヶ峰（土佐町・南国市） (存在しないページ)","[21ささがみね笹ヶ峰高知県土佐町南国市1,131.4地理院地図Googleマップ北緯33度41分33秒東経133度33分35秒﻿ / ﻿北緯33.692579度 東経133.559829度﻿ /33.692579; 133.559829﻿ (笹ヶ峰)]","https://ja.wikipedia.org/w/index.php?title=笹ヶ峰（土佐町・南国市）&amp;action=edit&amp;redlink=1","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"黒森山","[22くろもりやま黒森山高知県越智町吾川郡仁淀川町1,017.3地理院地図Googleマップ北緯33度35分39秒東経133度12分51秒﻿ / ﻿北緯33.59428度 東経133.214164度﻿ /33.59428; 133.214164﻿ (黒森山)] 黒森山 （くろもりやま）","https://ja.wikipedia.org/wiki/黒森山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"鶴松森 (存在しないページ)","[23かくしょうもり鶴松森高知県津野町吾川郡仁淀川町1,100.0地理院地図Googleマップ北緯33度26分34秒東経133度06分04秒﻿ / ﻿北緯33.442877度 東経133.101125度﻿ /33.442877; 133.101125﻿ (鶴松森)]","https://ja.wikipedia.org/w/index.php?title=鶴松森&amp;action=edit&amp;redlink=1","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"堂が森","[24どうがもり堂が森高知県四万十市高岡郡四万十町856.9地理院地図Googleマップ北緯33度09分36秒東経132度52分36秒﻿ / ﻿北緯33.159898度 東経132.876667度﻿ /33.159898; 132.876667﻿ (堂が森)] 堂が森 （どうがもり）は、 高知県 四万十市 と 高岡郡 四万十町 にまたがる四国西南山地に座する 標高 857.4メートルの 山 である。四国百山の本  や現地看板では堂ヶ森であるが、地理院地図は「が」であるのでそれにならって堂が森で記述する。","https://ja.wikipedia.org/wiki/堂が森","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度9分35.9秒東経132度52分37.0秒","857.4m","高知県四万十市・高岡郡四万十町","北緯33度9分35.9秒東経132度52分37.0秒﻿ / ﻿北緯33.159972度 東経132.876944度﻿ /33.159972; 132.876944座標:北緯33度9分35.9秒東経132度52分37.0秒﻿ / ﻿北緯33.159972度 東経132.876944度﻿ /33.159972; 132.876944","四国山地","","","","","","","","","","","","","","",""
"今ノ山","[25いまのやま今ノ山高知県土佐清水市868.0地理院地図Googleマップ北緯32度51分27秒東経132度50分48秒﻿ / ﻿北緯32.857616度 東経132.846573度﻿ /32.857616; 132.846573﻿ (今ノ山)] 今ノ山 （いまのやま）は、 高知県 幡多郡 三原村 と 土佐清水市 にまたがる四国西南山地に座する 標高 865.2メートルの 山 である。最高地点は 標高 868mの東どなりの峰であるが、電波塔群があるだけで何の表示もない。","https://ja.wikipedia.org/wiki/今ノ山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯32度51分27.19秒東経132度51分0.39秒","865.2m","高知県幡多郡三原村・土佐清水市","北緯32度51分27.19秒東経132度51分0.39秒﻿ / ﻿北緯32.8575528度 東経132.8501083度﻿ /32.8575528; 132.8501083","四国山地","","","","","","","","","","","","","","",""
