"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","駅番号","備考","電報略号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","通称","国","種類","起点","終点","駅数"
"京成千葉駅","京成千葉駅（けいせいちばえき）","https://ja.wikipedia.org/wiki/京成千葉駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度36分42.1秒東経140度6分52秒","■千葉線","12.3 km（京成津田沼起点）","京成電鉄","高架駅","1967年（昭和42年）12月1日","千葉市中央区新町250-3北緯35度36分42.1秒東経140度6分52秒﻿ / ﻿北緯35.611694度 東経140.11444度﻿ /35.611694; 140.11444座標:北緯35度36分42.1秒東経140度6分52秒﻿ / ﻿北緯35.611694度 東経140.11444度﻿ /35.611694; 140.11444","2面2線","KS59","*1987年（昭和62年）4月1日国鉄千葉駅前駅より改称","","29,464人/日-2019年-","","千葉駅","","","","","",""
"京成津田沼駅","京成津田沼駅（けいせいつだぬまえき）","https://ja.wikipedia.org/wiki/京成津田沼駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","■京成電鉄本線","29.7 km（京成上野起点）","京成電鉄新京成電鉄","地上駅（橋上駅）","1921年（大正10年）7月17日","","京成電鉄：2面4線新京成電鉄：1面2線","KS26","共同使用駅（京成電鉄の管轄駅）","","京成電鉄：60,394人/日新京成電鉄：45,132人/日-2019年（京成）--2019年（新京成）-","","","","","","","",""
"京成中山駅","京成中山駅（けいせいなかやまえき）","https://ja.wikipedia.org/wiki/京成中山駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度43分0.96秒東経139度56分41.21秒","■本線","20.8 km（京成上野起点）","京成電鉄","地上駅","1915年（大正4年）11月3日","千葉県船橋市本中山一丁目9番1号北緯35度43分0.96秒東経139度56分41.21秒座標:北緯35度43分0.96秒 東経139度56分41.21秒","2面2線","KS18","","","3,766人/日-2019年-","","","","","","","",""
"京成成田駅","京成成田駅（けいせいなりたえき）","https://ja.wikipedia.org/wiki/京成成田駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度46分36.3秒東経140度18分56.3秒","■本線","61.2 km（京成上野起点）","京成電鉄","地上駅","1925年（大正14年）12月24日","千葉県成田市花崎町814北緯35度46分36.3秒東経140度18分56.3秒﻿ / ﻿北緯35.776750度 東経140.315639度﻿ /35.776750; 140.315639﻿ (京成成田駅)座標:北緯35度46分36.3秒東経140度18分56.3秒﻿ / ﻿北緯35.776750度 東経140.315639度﻿ /35.776750; 140.315639﻿ (京成成田駅)","3面3線","KS40","","","36,905人/日-2019年-","","JO35成田駅（JR東日本）","","","","","",""
"京成西船駅","京成西船駅（けいせいにしふなえき）","https://ja.wikipedia.org/wiki/京成西船駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度42分41.54秒東経139度57分32.18秒","■本線","22.2 km（京成上野起点）","京成電鉄","地上駅","1916年（大正5年）12月30日","千葉県船橋市西船四丁目15番27号北緯35度42分41.54秒東経139度57分32.18秒﻿ / ﻿北緯35.7115389度 東経139.9589389度﻿ /35.7115389; 139.9589389座標:北緯35度42分41.54秒東経139度57分32.18秒﻿ / ﻿北緯35.7115389度 東経139.9589389度﻿ /35.7115389; 139.9589389","相対式2面2線","KS20","","","10,934人/日-2019年-","","","","","","","",""
"京成曳舟駅","京成曳舟駅（けいせいひきふねえき）","https://ja.wikipedia.org/wiki/京成曳舟駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度43分5.2秒東経139度49分10.8秒","押上線","1.1 km（押上起点）","京成電鉄","高架駅","1912年（大正元年）11月3日","東京都墨田区京島一丁目39番1号北緯35度43分5.2秒東経139度49分10.8秒﻿ / ﻿北緯35.718111度 東経139.819667度﻿ /35.718111; 139.819667座標:北緯35度43分5.2秒東経139度49分10.8秒﻿ / ﻿北緯35.718111度 東経139.819667度﻿ /35.718111; 139.819667","2面2線","KS46","","","19,791人/日-2019年-","","","","","","","",""
"京成船橋駅","京成船橋駅（けいせいふなばしえき）","https://ja.wikipedia.org/wiki/京成船橋駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度42分0.5秒東経139度59分7.7秒","■本線","25.1 km（京成上野起点）","京成電鉄","高架駅","1916年（大正5年）12月30日","千葉県船橋市本町一丁目5番1号北緯35度42分0.5秒東経139度59分7.7秒﻿ / ﻿北緯35.700139度 東経139.985472度﻿ /35.700139; 139.985472座標:北緯35度42分0.5秒東経139度59分7.7秒﻿ / ﻿北緯35.700139度 東経139.985472度﻿ /35.700139; 139.985472","2面2線","KS22","","","94,318人/日-2018年-","","船橋駅（JR東日本・東武鉄道）","","","","","",""
"京成幕張駅","京成幕張駅（けいせいまくはりえき）","https://ja.wikipedia.org/wiki/京成幕張駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","■千葉線","4.0 km（京成津田沼起点）","京成電鉄","地上駅","1921年（大正10年）7月17日","","1面2線","KS53","","","8,497人/日-2019年-","","","","","","","",""
"幕張本郷駅","京成幕張本郷駅（けいせいまくはりほんごうえき）","https://ja.wikipedia.org/wiki/幕張本郷駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）京成電鉄（駅詳細）","","","千葉市花見川区幕張本郷一丁目[1]","","","","","","","","","","","","",""
"京成八幡駅","京成八幡駅（けいせいやわたえき）","https://ja.wikipedia.org/wiki/京成八幡駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度43分25.92秒東経139度55分41.01秒","■本線","19.1 km（京成上野起点）","京成電鉄","橋上駅","1915年（大正4年）11月3日","千葉県市川市八幡三丁目2番1号北緯35度43分25.92秒東経139度55分41.01秒﻿ / ﻿北緯35.7238667度 東経139.9280583度﻿ /35.7238667; 139.9280583座標:北緯35度43分25.92秒東経139度55分41.01秒﻿ / ﻿北緯35.7238667度 東経139.9280583度﻿ /35.7238667; 139.9280583","1面2線","KS16","","","36,364人/日-2019年-","","S21本八幡駅（都営地下鉄）","","","","","",""
"桂川駅 (福岡県)","桂川駅 (福岡県)（けいせんえき・九州旅客鉄道筑豊本線・篠栗線）","https://ja.wikipedia.org/wiki/桂川駅_(福岡県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度35分5.33秒東経130度39分44.28秒","JCJG筑豊本線**","45.3 km（若松起点）","九州旅客鉄道（JR九州）","地上駅","1901年（明治34年）12月9日[1][2]","福岡県嘉穂郡桂川町大字豆田[1]131-6北緯33度35分5.33秒東経130度39分44.28秒﻿ / ﻿北緯33.5848139度 東経130.6623000度﻿ /33.5848139; 130.6623000座標:北緯33度35分5.33秒東経130度39分44.28秒﻿ / ﻿北緯33.5848139度 東経130.6623000度﻿ /33.5848139; 130.6623000","2面3線[1]","JC  11 JG  01 ","業務委託駅みどりの窓口有","ケイ","","1,861人/日（降車客含まず）-2019年-","","","","","","",""
"芸大通駅","芸大通駅（げいだいどおりえき）","https://ja.wikipedia.org/wiki/芸大通駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度10分18秒東経137度3分40秒","■東部丘陵線（リニモ）","4.5 km（藤が丘起点）","愛知高速交通","高架駅","2005年（平成17年）3月6日[1]","愛知県長久手市岩作北緯35度10分18秒東経137度3分40秒﻿ / ﻿北緯35.17167度 東経137.06111度﻿ /35.17167; 137.06111座標:北緯35度10分18秒東経137度3分40秒﻿ / ﻿北緯35.17167度 東経137.06111度﻿ /35.17167; 137.06111","1面2線","L05","シンボルマーク：","","2,041人/日-2019年-","1,022人/日（降車客含まず）-2019年-","","","","","","",""
"慶徳校前停留場","慶徳校前停留場（けいとくこうまえていりゅうじょう）","https://ja.wikipedia.org/wiki/慶徳校前停留場","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯32度47分51.15秒東経130度42分9.30秒","幹線（■A系統）","1.8km（熊本駅前起点）田崎橋から2.3 km","熊本市交通局","地上駅","1955年（昭和30年）","熊本市中央区練兵町・山崎町北緯32度47分51.15秒東経130度42分9.30秒﻿ / ﻿北緯32.7975417度 東経130.7025833度﻿ /32.7975417; 130.7025833座標:北緯32度47分51.15秒東経130度42分9.30秒﻿ / ﻿北緯32.7975417度 東経130.7025833度﻿ /32.7975417; 130.7025833","2面2線","□7","","","873[1]人/日-2015年-","","","","","","","",""
"競馬場前駅 (福岡県)","競馬場前駅（けいばじょうまええき・北九州高速鉄道小倉線）","https://ja.wikipedia.org/wiki/競馬場前駅_(福岡県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度50分34.6秒東経130度52分35.7秒","■小倉線","4.9 km（小倉起点）","北九州高速鉄道（モノレール）","高架駅","1985年（昭和60年）1月9日[1]","北九州市小倉南区北方四丁目北緯33度50分34.6秒東経130度52分35.7秒","2面2線","08","","","4,362人/日-2019年-","2,239人/日（降車客含まず）-2019年-","","","","","","",""
"競馬場前停留場","競馬場前停留場（けいばじょうまえていりゅうじょう・函館市企業局交通部湯の川線）","https://ja.wikipedia.org/wiki/競馬場前停留場","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯41度47分3.69秒東経140度46分33.22秒","函館市電湯の川線","1.3 km（湯の川起点）","函館市企業局交通部","地上駅（停留場）","1913年6月29日","北海道函館市駒場町12先、深掘町22先北緯41度47分3.69秒東経140度46分33.22秒﻿ / ﻿北緯41.7843583度 東経140.7758944度﻿ /41.7843583; 140.7758944﻿ (競馬場前停留場)座標:北緯41度47分3.69秒東経140度46分33.22秒﻿ / ﻿北緯41.7843583度 東経140.7758944度﻿ /41.7843583; 140.7758944﻿ (競馬場前停留場)","2面2線","DY05","","","376[1]人/日-2019年-","","","","","","","",""
"京阪石山駅","京阪石山駅（けいはんいしやまえき）","https://ja.wikipedia.org/wiki/京阪石山駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度58分46.7秒東経135度53分58.75秒","▼石山坂本線","1.6 km（石山寺起点）","京阪電気鉄道","地上駅（橋上駅）","1914年（大正3年）1月12日","滋賀県大津市粟津町2-28北緯34度58分46.7秒東経135度53分58.75秒﻿ / ﻿北緯34.979639度 東経135.8996528度﻿ /34.979639; 135.8996528座標:北緯34度58分46.7秒東経135度53分58.75秒﻿ / ﻿北緯34.979639度 東経135.8996528度﻿ /34.979639; 135.8996528","1面2線","OT  03","*1953年に石山駅前駅から改称","","7,847人/日-2019年-","3,481人/日（降車客含まず）-2019年-","石山駅（JR西日本東海道本線）","","","","","",""
"京阪大津京駅","京阪大津京駅（けいはんおおつきょうえき）","https://ja.wikipedia.org/wiki/京阪大津京駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度1分23.35秒東経135度51分19.83秒","▼石山坂本線","8.0 km（石山寺起点）","京阪電気鉄道","地上駅","1946年（昭和21年）3月1日","滋賀県大津市皇子が丘二丁目5-1北緯35度1分23.35秒東経135度51分19.83秒﻿ / ﻿北緯35.0231528度 東経135.8555083度﻿ /35.0231528; 135.8555083﻿ (京阪大津京駅*)座標:北緯35度1分23.35秒東経135度51分19.83秒﻿ / ﻿北緯35.0231528度 東経135.8555083度﻿ /35.0231528; 135.8555083﻿ (京阪大津京駅*)","2面2線","OT  15","*2018年に皇子山駅から改称。","","6,464人/日-2019年-","2,989人/日（降車客含まず）-2019年-","大津京駅（JR湖西線）","","","","","",""
"京阪膳所駅","京阪膳所駅（けいはんぜぜえき）","https://ja.wikipedia.org/wiki/京阪膳所駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度59分58.92秒東経135度52分51.38秒","▼石山坂本線","4.7 km（石山寺起点）","京阪電気鉄道","地上駅","1913年（大正2年）3月1日","滋賀県大津市馬場二丁目11-6北緯34度59分58.92秒東経135度52分51.38秒﻿ / ﻿北緯34.9997000度 東経135.8809389度﻿ /34.9997000; 135.8809389座標:北緯34度59分58.92秒東経135度52分51.38秒﻿ / ﻿北緯34.9997000度 東経135.8809389度﻿ /34.9997000; 135.8809389","2面2線","OT  09","* 改称経歴-1937年馬場駅→膳所駅前駅-1953年膳所駅前駅→京阪膳所駅","","5,792人/日-2019年-","2,754人/日（降車客含まず）-2019年-","JR東海道本線（琵琶湖線） -膳所駅","","","","","",""
"京阪山科駅","京阪山科駅（けいはんやましなえき）","https://ja.wikipedia.org/wiki/京阪山科駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度59分30.99秒東経135度49分0.65秒","▲京津線","1.5 km（御陵起点）","京阪電気鉄道","地上駅","1912年（大正元年）8月15日","京都市山科区安朱桟敷町北緯34度59分30.99秒東経135度49分0.65秒﻿ / ﻿北緯34.9919417度 東経135.8168472度﻿ /34.9919417; 135.8168472座標:北緯34度59分30.99秒東経135度49分0.65秒﻿ / ﻿北緯34.9919417度 東経135.8168472度﻿ /34.9919417; 135.8168472","2面2線","OT  31","* 改称経歴-1921年毘沙門道駅→山科駅前駅-1953年山科駅前駅→京阪山科駅","","5,197人/日-2019年-","","山科駅（JR西日本・京都市営地下鉄東西線）","","","","","",""
"猊鼻渓駅","猊鼻渓駅（げいびけいえき）","https://ja.wikipedia.org/wiki/猊鼻渓駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","■大船渡線","23.3 km（一ノ関起点）","東日本旅客鉄道（JR東日本）","地上駅（盛土上）","1986年（昭和61年）11月1日","","1面1線","","無人駅","ケイ","","","","","","","","",""
"京葉市原駅","京葉市原駅（けいよういちはらえき）","https://ja.wikipedia.org/wiki/京葉市原駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度32分45.0秒東経140度6分4.6秒","■臨海本線（支線）","1.6km（市原分岐点起点）7.4 km（蘇我起点）","京葉臨海鉄道","地上駅","1963年（昭和38年）9月16日","千葉県市原市八幡海岸通北緯35度32分45.0秒東経140度6分4.6秒﻿ / ﻿北緯35.545833度 東経140.101278度﻿ /35.545833; 140.101278座標:北緯35度32分45.0秒東経140度6分4.6秒﻿ / ﻿北緯35.545833度 東経140.101278度﻿ /35.545833; 140.101278","","","","","","","","","","","","",""
"京葉久保田駅","京葉久保田駅（けいようくぼたえき）","https://ja.wikipedia.org/wiki/京葉久保田駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度27分41.1秒東経139度59分47.5秒","■臨海本線（支線）","2.3km（北袖分岐点起点）蘇我から21.6 km","京葉臨海鉄道","地上駅","1973年（昭和48年）3月28日","千葉県袖ケ浦市北袖122北緯35度27分41.1秒東経139度59分47.5秒﻿ / ﻿北緯35.461417度 東経139.996528度﻿ /35.461417; 139.996528座標:北緯35度27分41.1秒東経139度59分47.5秒﻿ / ﻿北緯35.461417度 東経139.996528度﻿ /35.461417; 139.996528","","","","","","","","","","","","",""
"競輪場前駅 (富山県)","競輪場前駅（けいりんじょうまええき・富山地方鉄道富山港線）","https://ja.wikipedia.org/wiki/競輪場前駅_(富山県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度45分26.9秒東経137度14分1.9秒","■富山港線","7.3 km（富山駅起点）","富山地方鉄道","地上駅","2006年4月29日","富山県富山市岩瀬池田町北緯36度45分26.9秒東経137度14分1.9秒﻿ / ﻿北緯36.757472度 東経137.233861度﻿ /36.757472; 137.233861﻿ (競輪場前駅)座標:北緯36度45分26.9秒東経137度14分1.9秒﻿ / ﻿北緯36.757472度 東経137.233861度﻿ /36.757472; 137.233861﻿ (競輪場前駅)","2面1線","C38","旧駅は1959年4月18日開業、2006年3月1日廃止","","198[1]人/日-2019年-","","","","","","","",""
"競輪場前停留場","競輪場前停留場（けいりんじょうまえていりゅうじょう・豊橋鉄道東田本線）","https://ja.wikipedia.org/wiki/競輪場前停留場","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度45分54.2秒東経137度25分0.7秒","東田本線","3.6 km（駅前起点）","豊橋鉄道","地上駅","1950年（昭和25年）9月17日","愛知県豊橋市東田町北緯34度45分54.2秒東経137度25分0.7秒﻿ / ﻿北緯34.765056度 東経137.416861度﻿ /34.765056; 137.416861座標:北緯34度45分54.2秒東経137度25分0.7秒﻿ / ﻿北緯34.765056度 東経137.416861度﻿ /34.765056; 137.416861","1面1線"," 11 ","","","","","","","","","","",""
"ケーブル延暦寺駅","ケーブル延暦寺駅（ケーブルえんりゃくじえき）","https://ja.wikipedia.org/wiki/ケーブル延暦寺駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度3分59.5秒東経135度50分38秒","比叡山鉄道線","2.0 km（ケーブル坂本起点）","比叡山鉄道","地上駅","1927年（昭和2年）3月15日","滋賀県大津市坂本本町北緯35度3分59.5秒東経135度50分38秒﻿ / ﻿北緯35.066528度 東経135.84389度﻿ /35.066528; 135.84389﻿ (ケーブル延暦寺駅*)座標:北緯35度3分59.5秒東経135度50分38秒﻿ / ﻿北緯35.066528度 東経135.84389度﻿ /35.066528; 135.84389﻿ (ケーブル延暦寺駅*)","","","* 1974年に叡山中堂駅から改称","","","","","","","","","",""
"ケーブル坂本駅","ケーブル坂本駅（ケーブルさかもとえき）","https://ja.wikipedia.org/wiki/ケーブル坂本駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度4分10.8秒東経135度51分50.3秒","比叡山鉄道線","0.0 km（ケーブル坂本起点）","比叡山鉄道","地上駅","1927年（昭和2年）3月15日","滋賀県大津市坂本本町北緯35度4分10.8秒東経135度51分50.3秒﻿ / ﻿北緯35.069667度 東経135.863972度﻿ /35.069667; 135.863972﻿ (ケーブル坂本駅*)座標:北緯35度4分10.8秒東経135度51分50.3秒﻿ / ﻿北緯35.069667度 東経135.863972度﻿ /35.069667; 135.863972﻿ (ケーブル坂本駅*)","","","* 1974年に坂本駅から改称","","","","","","","","","",""
"能勢電鉄妙見の森ケーブル","ケーブル山上駅（ケーブルさんじょうえき）","https://ja.wikipedia.org/wiki/能勢電鉄妙見の森ケーブル","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","","","","兵庫県川西市","","","","","","","","妙見の森ケーブル","日本","鋼索鉄道（単線2両交走式）","黒川駅","ケーブル山上駅","2駅"
"ケーブル八幡宮口駅","ケーブル八幡宮口駅（ケーブルはちまんぐうぐちえき）","https://ja.wikipedia.org/wiki/ケーブル八幡宮口駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度53分4.03秒東経135度42分0.75秒","■京阪本線**","31.8 km（淀屋橋起点）","京阪電気鉄道","地上駅","1910年（明治43年）4月15日","京都府八幡市八幡高坊8-7北緯34度53分4.03秒東経135度42分0.75秒﻿ / ﻿北緯34.8844528度 東経135.7002083度﻿ /34.8844528; 135.7002083﻿ (石清水八幡宮駅)","2面2線","KH  26","","石←八（駅名略称方式）","9,036人/日-2019年-","","","","","","","",""
"ケーブル八幡宮山上駅","ケーブル八幡宮山上駅（ケーブルはちまんぐうさんじょうえき）","https://ja.wikipedia.org/wiki/ケーブル八幡宮山上駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度52分51.51秒東経135度41分59.36秒","■鋼索線（石清水八幡宮参道ケーブル）","0.4 km（ケーブル八幡宮口起点）","京阪電気鉄道","地上駅","1955年（昭和30年）12月3日**","京都府八幡市八幡平ノ山85-1北緯34度52分51.51秒東経135度41分59.36秒﻿ / ﻿北緯34.8809750度 東経135.6998222度﻿ /34.8809750; 135.6998222﻿ (ケーブル八幡宮山上駅*)","櫛形 2面1線","KH  81","*1957年に八幡宮駅から改称","","","","","","","","","",""
"京福電気鉄道鋼索線","ケーブル比叡駅（ケーブルひえいえき）","https://ja.wikipedia.org/wiki/京福電気鉄道鋼索線","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","","","","京都府","","","","","","","","叡山ケーブル","日本","鋼索鉄道（単線2両交走式）","ケーブル八瀬駅","ケーブル比叡駅","2駅"
"ケーブル八瀬駅","ケーブル八瀬駅（ケーブルやせえき）","https://ja.wikipedia.org/wiki/ケーブル八瀬駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度4分0.88秒東経135度48分30.88秒","鋼索線","0.0 km（ケーブル八瀬起点）","京福電気鉄道","地上駅","1925年（大正14年）12月20日","京都市左京区上高野東山北緯35度4分0.88秒東経135度48分30.88秒﻿ / ﻿北緯35.0669111度 東経135.8085778度﻿ /35.0669111; 135.8085778﻿ (ケーブル八瀬駅*)座標:北緯35度4分0.88秒東経135度48分30.88秒﻿ / ﻿北緯35.0669111度 東経135.8085778度﻿ /35.0669111; 135.8085778﻿ (ケーブル八瀬駅*)","2面1線","","","","","","八瀬比叡山口駅(叡山本線)","","","","","",""
"毛賀駅","毛賀駅（けがえき）","https://ja.wikipedia.org/wiki/毛賀駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度29分15.23秒東経137度50分21.84秒","CD飯田線","122.5 km（豊橋起点）","東海旅客鉄道（JR東海）","地上駅","1927年（昭和2年）4月8日[1]*","長野県飯田市毛賀[1]407北緯35度29分15.23秒東経137度50分21.84秒﻿ / ﻿北緯35.4875639度 東経137.8394000度﻿ /35.4875639; 137.8394000座標:北緯35度29分15.23秒東経137度50分21.84秒﻿ / ﻿北緯35.4875639度 東経137.8394000度﻿ /35.4875639; 137.8394000","1面1線[1]","","駅員無配置駅[1]標高：403m[1]","ケカ[1]","","104人/日（降車客含まず）-2018年-","","","","","","",""
"下条駅","下条駅（げじょうえき）","https://ja.wikipedia.org/wiki/下条駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯37度11分53.97秒東経138度46分47.96秒","■飯山線","82.8 km（豊野起点）","東日本旅客鉄道（JR東日本）","地上駅","1927年（昭和2年）11月25日[1]","新潟県十日町市下条[1]北緯37度11分53.97秒東経138度46分47.96秒﻿ / ﻿北緯37.1983250度 東経138.7799889度﻿ /37.1983250; 138.7799889﻿ (下条駅)座標:北緯37度11分53.97秒東経138度46分47.96秒﻿ / ﻿北緯37.1983250度 東経138.7799889度﻿ /37.1983250; 138.7799889﻿ (下条駅)","1面1線[1]","","無人駅[1]","ケシ","","","","","","","","",""
"気仙沼駅","気仙沼駅（けせんぬまえき）","https://ja.wikipedia.org/wiki/気仙沼駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯38度54分35.09秒東経141度33分32.95秒","■大船渡線","62.0 km（一ノ関起点）","東日本旅客鉄道（JR東日本）","地上駅","1929年（昭和4年）7月31日","宮城県気仙沼市古町一丁目5-25北緯38度54分35.09秒東経141度33分32.95秒座標:北緯38度54分35.09秒 東経141度33分32.95秒","2面4線","","直営駅（管理駅）みどりの窓口有","ケヌ","","192人/日（降車客含まず）-2019年-","","","","","","",""
"気仙沼市立病院駅","気仙沼市立病院駅（けせんぬましりつびょういんえき）","https://ja.wikipedia.org/wiki/気仙沼市立病院駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯38度53分15秒東経141度33分56秒","■気仙沼線BRT","67.2 km（前谷地起点）","東日本旅客鉄道（JR東日本）","地上駅","2017年（平成29年）11月2日","宮城県気仙沼市赤岩杉ノ沢8番地2北緯38度53分15秒東経141度33分56秒﻿ / ﻿北緯38.88750度 東経141.56556度﻿ /38.88750; 141.56556﻿ (気仙沼市立病院駅)座標:北緯38度53分15秒東経141度33分56秒﻿ / ﻿北緯38.88750度 東経141.56556度﻿ /38.88750; 141.56556﻿ (気仙沼市立病院駅)","","","無人駅","","","14人/日（降車客含まず）-2019年-","","","","","","",""
"月江寺駅","月江寺駅（げっこうじえき）","https://ja.wikipedia.org/wiki/月江寺駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度29分35.55秒東経138度47分53.17秒","■大月線","21.9 km（大月起点）","富士急行","地上駅","1931年（昭和6年）10月1日","山梨県富士吉田市緑ケ丘一丁目1番14号北緯35度29分35.55秒東経138度47分53.17秒座標:北緯35度29分35.55秒 東経138度47分53.17秒","1面1線","FJ15","標高：776m業務委託駅","","573人/日-2017年度-","","","","","","","",""
"下馬駅","下馬駅（げばえき）","https://ja.wikipedia.org/wiki/下馬駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯38度18分20.37秒東経141度0分54.41秒","■仙石線","14.4 km（あおば通起点）","東日本旅客鉄道（JR東日本）","地上駅","1932年（昭和7年）8月1日","宮城県多賀城市下馬二丁目13-1北緯38度18分20.37秒東経141度0分54.41秒﻿ / ﻿北緯38.3056583度 東経141.0151139度﻿ /38.3056583; 141.0151139﻿ (下馬駅)座標:北緯38度18分20.37秒東経141度0分54.41秒﻿ / ﻿北緯38.3056583度 東経141.0151139度﻿ /38.3056583; 141.0151139﻿ (下馬駅)","2面2線","","業務委託駅","ケハ","","3,773人/日（降車客含まず）-2019年-","","","","","","",""
"花原市駅","花原市駅（けばらいちえき）","https://ja.wikipedia.org/wiki/花原市駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯39度37分50.23秒東経141度51分41.26秒","■山田線","94.2 km（盛岡起点）","東日本旅客鉄道（JR東日本）","地上駅","1961年（昭和36年）12月20日[1]","岩手県宮古市花原市北緯39度37分50.23秒東経141度51分41.26秒座標:北緯39度37分50.23秒 東経141度51分41.26秒","1面1線","","無人駅","ケラ","","","","","","","","",""
