"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","球場規模","所有者","グラウンド","照明","開場","管理・運用者","フェンス","スコアボード","設計者","起工","創設","監督","閉場","建設者","建設費","分類","面積","運営者"
"熊本市水前寺野球場","[熊本市水前寺野球場] 熊本市水前寺野球場 （くまもとしすいぜんじやきゅうじょう）は 熊本県 熊本市 中央区 にある水前寺運動公園のメインスタジアムである。一般市民に開放されている。 現在 硬式野球 はサイズが狭いため使用不可。 軟式野球 ・ ソフトボール に使用されている。硬式野球（ 日本プロ野球 公式戦含む）は同市内の 藤崎台県営野球場 で開催されている。","https://ja.wikipedia.org/wiki/熊本市水前寺野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","熊本県熊本市中央区水前寺5丁目23番2号","両翼 - 90 m , 中堅 - 110 m","熊本市","内野:黒土,外野:芝","","","","","","","","","","","","","","",""
"山鹿市民球場 (存在しないページ)","[山鹿市民球場]","https://ja.wikipedia.org/w/index.php?title=山鹿市民球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"県営八代運動公園","[県営八代運動公園野球場] 県営八代運動公園 （けんえいやつしろうんどうこうえん）は、 熊本県 八代市 新港町にある 都市公園 。敷地および施設は熊本県が所有し、 熊本利水工業 が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/県営八代運動公園#野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"八代市民球場 (存在しないページ)","[八代市民球場]","https://ja.wikipedia.org/w/index.php?title=八代市民球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"人吉市農村運動広場野球場 (存在しないページ)","[人吉市農村運動広場野球場（川上哲治記念球場）]","https://ja.wikipedia.org/w/index.php?title=人吉市農村運動広場野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"広瀬公園野球場 (存在しないページ)","[広瀬公園野球場（長嶋茂雄球場）]","https://ja.wikipedia.org/w/index.php?title=広瀬公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"宮崎県総合運動公園硬式野球場","[宮崎県総合運動公園硬式野球場（ひなたサンマリンスタジアム宮崎）] 宮崎県総合運動公園硬式野球場 （みやざきけん・そうごううんどうこうえん・こうしきやきゅうじょう）は、 宮崎県 宮崎市 の 宮崎県総合運動公園 内にある 野球場 。単に 宮崎県営野球場 という通称でも呼ばれる。愛称「 サンマリンスタジアム宮崎 」。 施設命名権 （ネーミングライツ）により、 2020年 4月 より ひなたサンマリンスタジアム宮崎 という呼称を使用している。","https://ja.wikipedia.org/wiki/宮崎県総合運動公園硬式野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯31度49分51秒東経131度26分45秒","宮崎県宮崎市大字熊野1443-12（宮崎県総合運動公園内）","グラウンド面積：14,332m2両翼：100 m中堅：122 m","宮崎県","内野：クレー舗装及び天然芝外野：天然芝","照明塔 - 6基","2001年","宮崎県スポーツ施設協会（指定管理者）","m","","","","","","","","","","",""
"宮崎県総合運動公園第二硬式野球場","[宮崎県総合運動公園第二硬式野球場（ひむかスタジアム）] 宮崎県総合運動公園第二硬式野球場 （みやざきけんそうごううんどうこうえん・だいにこうしきやきゅうじょう）は、 宮崎県 宮崎市 の 宮崎県総合運動公園 内にある 野球場 。愛称 ひむかスタジアム 。施設は宮崎県が所有し、宮崎県スポーツ施設協会が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/宮崎県総合運動公園第二硬式野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯31度49分22.2秒東経131度26分45.9秒","宮崎県宮崎市大字熊野藤兵衛中洲無番地（宮崎県総合運動公園内）","グラウンド面積：13,000m2両翼：92 m中堅：122 m","宮崎県","内野：クレー舗装外野：天然芝","なし","1974年4月","宮崎県スポーツ施設協会（指定管理者）","","","","","","","","","","","",""
"宮崎市生目の杜運動公園野球場","[宮崎市生目の杜運動公園野球場（アイビースタジアム）] 宮崎市生目の杜運動公園アイビースタジアム （みやざきし いきめのもりうんどうこうえん アイビースタジアム）は、 宮崎県 宮崎市 の 宮崎市生目の杜運動公園 内にある 野球場 。施設は宮崎市が所有し、MSG・ミズノグループ（代表団体： 学校法人宮崎総合学院 、構成団体： ミズノ ）が 指定管理者 として運営管理を行っている。なお、宮崎市都市公園条例における施設名称は「宮崎市生目の杜運動公園野球場」ではなく、「宮崎市生目の杜運動公園アイビースタジアム」である。","https://ja.wikipedia.org/wiki/宮崎市生目の杜運動公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯31度56分36.98秒東経131度22分18.9秒","宮崎県宮崎市大字跡江4461-1","グラウンド面積：-m2両翼 - 100 m中堅 - 122 m","宮崎市","内野：クレー舗装外野：天然芝","照明塔：6基","2002年","MSG・ミズノグループ（指定管理者）","","","","","","","","","","","",""
"宮崎市営久峰野球場 (存在しないページ)","[宮崎市営久峰野球場]","https://ja.wikipedia.org/w/index.php?title=宮崎市営久峰野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"延岡市西階野球場 (存在しないページ)","[延岡市西階野球場]","https://ja.wikipedia.org/w/index.php?title=延岡市西階野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"日向市お倉ヶ浜総合公園野球場","[日向市お倉ヶ浜総合公園野球場] 日向市お倉ヶ浜総合公園野球場 （ひゅうがし・おくらがはまそうごうこうえん・やきゅうじょう）は、 宮崎県 日向市 のお倉ヶ浜総合公園内にある 野球場 。施設は日向市が所有し、日向市指定管理者が運営管理を行っている。","https://ja.wikipedia.org/wiki/日向市お倉ヶ浜総合公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯32度23分45秒東経131度37分56.4秒","宮崎県日向市大字財光寺1942（お倉ヶ浜総合公園内）","グラウンド面積：－m2両翼：93 m中堅：120 m","日向市","内野：クレー舗装外野：天然芝","照明塔：6基","1982年","日向市指定管理者","","","","","","","","","","","",""
"西都原運動公園野球場","[西都原運動公園野球場] 西都原運動公園野球場 （さいとばるうんどうこうえん やきゅうじょう）は、 宮崎県 西都市 の西都原運動公園内にある 野球場 。同市が運営・管理を行っている。","https://ja.wikipedia.org/wiki/西都原運動公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯32度6分22.8秒東経131度23分31.7秒","宮崎県西都市大字三宅字上の宮西（西都原運動公園内）","面積：18,000m2両翼：95 m中堅：120 m","西都市","内野：クレー舗装外野：天然芝","照明塔 - 4基","1977年","","","","","","","","","","","","",""
"宮崎市清武総合運動公園","[宮崎市清武総合運動公園野球場（SOKKENスタジアム)] 宮崎市清武総合運動公園 （みやざきしきよたけそうごううんどうこうえん）は 宮崎市 清武町 にある総合運動公園。","https://ja.wikipedia.org/wiki/宮崎市清武総合運動公園#施設","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯31度50分49.8秒 東経131度22分11.1秒","日本宮崎県宮崎市清武町今泉甲530番地","","","","","","","","","","","","","","","","","",""
"日南市天福球場","[日南市天福球場] 日南市天福球場 （にちなんし・てんぷくきゅうじょう）は、 宮崎県 日南市 の天福運動公園内にある 野球場 。同市が運営管理している。","https://ja.wikipedia.org/wiki/日南市天福球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯31度35分0.73秒東経131度23分45.76秒","宮崎県日南市天福2-10","グラウンド面積：－m2両翼：99 m中堅：122 m","日南市","内野：クレー舗装外野：天然芝","照明塔：4基","1962年","","","","","","","","","","","","",""
"日南総合運動公園野球場","[日南総合運動公園野球場（東光寺球場）] 日南総合運動公園野球場 （にちなん・そうごううんどうこうえん・やきゅうじょう）は、 宮崎県 日南市 の日南総合運動公園内にある 野球場 。 東光寺球場 （とうこうじきゅうじょう）とも呼ばれる。日南市が運営管理を行っている。","https://ja.wikipedia.org/wiki/日南総合運動公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯31度36分53.5秒東経131度23分2.8秒","宮崎県日南市大字殿所2200番地（日南総合運動公園内）","グラウンド面積：－m2両翼：92 m中堅：120 m","日南市","内野：クレー舗装外野：天然芝","なし","","","m","","","","","","","","","","",""
"南郷町中央公園野球場","[南郷町中央公園野球場（南郷スタジアム）] 南郷町中央公園野球場 （なんごうちょう・ちゅうおうこうえん・やきゅうじょう）は、 宮崎県 日南市 の南郷町中央公園にある 野球場 。愛称 南郷スタジアム 。CL・イキグループが指定管理者として運営管理を行っている。","https://ja.wikipedia.org/wiki/南郷町中央公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯31度32分28.5秒東経131度22分28.6秒","宮崎県日南市南郷町西町1-1（南郷町中央公園内）","グラウンド面積：－m2両翼：100 m、中堅：122 m","南郷町","内野：クレー舗装外野：天然芝","","","CL・イキグループ","m","","","","","","","","","","",""
"串間市営野球場 (存在しないページ)","[串間市営野球場]","https://ja.wikipedia.org/w/index.php?title=串間市営野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"都城運動公園野球場","[都城運動公園野球場] 都城運動公園野球場 （みやこのじょううんどうこうえんやきゅうじょう 別称・ 都城市営球場 ）は 宮崎県 都城市 にある 野球場 である。 1960年 ごろ竣工。毎年 広島東洋カープ が2次キャンプ（会場・ 日南市 ）を行う期間中に、1試合の オープン戦 を主催しているほか、地元の野球チームの練習などに使われている。 2009年 より 財団法人 都城地区施設協会が 指定管理者 となっている。","https://ja.wikipedia.org/wiki/都城運動公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","宮崎県都城市妻ケ丘町42－1 （都城運動公園内）","グラウンド面積：m2両翼：99m中堅：122m","都城市","内野：クレー舗装外野：天然芝","なし","1980年","都城地区施設協会 （指定管理者）","","","","","","","","","","","",""
"高鍋町営野球場","[高鍋町営野球場] 高鍋町営野球場 （たかなべちょうえいやきゅうじょう）は、 宮崎県 児湯郡 高鍋町 の高鍋総合運動公園内にある 野球場 である。","https://ja.wikipedia.org/wiki/高鍋町営野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","宮崎県児湯郡高鍋町大字北高鍋3882-1","面積：13,000m²;両翼：100 m中堅：120 m","高鍋町","　内野：土、外野：天然芝","照明塔 -2基","","","","","","","","","","","","","",""
"門川海浜総合公園 (存在しないページ)","[門川海浜総合公園野球場]","https://ja.wikipedia.org/w/index.php?title=門川海浜総合公園&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"鹿児島県立鴨池野球場","[鹿児島県立鴨池野球場（平和リース球場）] 鹿児島県立鴨池野球場 （かごしまけんりつ かもいけやきゅうじょう）平和リース球場は、 鹿児島県 鹿児島市 与次郎二丁目 の鴨池公園内にある 野球場 。施設は鹿児島県が所有し、セイカスポーツグループ（鹿児島県体育協会と セイカスポーツセンター による共同事業体）が 指定管理者 として運営管理を行っている。 命名権 による2022年1月31日までの名称は「 平和リース球場 」。","https://ja.wikipedia.org/wiki/鹿児島県立鴨池野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯31度33分52.39秒東経130度33分28.63秒","鹿児島県鹿児島市与次郎二丁目2番2号（鴨池公園内）","グラウンド面積：12,964.6m2両翼：98 m中堅：122 m","鹿児島県","内野：クレー舗装外野：天然芝","照明塔：6基最大照度：投捕間2000Lx内野1500Lx外野1000Lx","1970年 12月","セイカスポーツグループ（指定管理者）","","","","","","","","","","","",""
"鴨池市民球場","[鴨池市民球場] 鴨池市民球場 （かもいけしみんきゅうじょう）は、 鹿児島県 鹿児島市 鴨池二丁目 にある 野球場 。市の正式名称は 鴨池公園野球場 （かもいけこうえん・やきゅうじょう）だが、一般的には近接する 鹿児島県立鴨池野球場 設置後、その区別のため鴨池市民球場と呼ばれる。施設は 鹿児島市 が所有し、ビルメン鹿児島・桂造園共同企業体が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/鴨池市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯31度33分50秒東経130度33分10秒","鹿児島県鹿児島市鴨池二丁目27番1号（鴨池公園内）","グラウンド面積：13,000m2両翼：93 m中堅：120 m","鹿児島市","内野：クレー舗装外野：天然芝","なし","1928年（1989年改修）","ビルメン鹿児島・桂造園共同企業体（指定管理者、左記2社による共同体）","－m","","","","","","","","","","",""
"運動公園町","[薩摩川内市総合運動公園野球場] 運動公園町 （うんどうこうえんちょう  ）は、 鹿児島県 薩摩川内市 の 町  。旧川内市 運動公園町 。 郵便番号 は3030番地は895-0214  、その他の区域は895-0077である  。全域が薩摩川内市運動公園の区域であるため、人口は0人、世帯数も0世帯である。","https://ja.wikipedia.org/wiki/運動公園町#施設概要","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯31度51分2.5秒 東経130度18分7.9秒","","","","","","","","","","","","","","","","","","",""
"姶良市総合運動公園野球場","[姶良市総合運動公園野球場] 姶良市総合運動公園野球場 （あいらしそうごううんどうこうえんやきゅうじょう）は、 鹿児島県 姶良市 平松の姶良市総合運動公園内にある 野球場 である。実際には正式名称で呼ばれることはあまりなく、球場の正面に記されている名称である「 姶良市野球場 」や、単に「 姶良球場 」などと呼ばれることが多い。","https://ja.wikipedia.org/wiki/姶良市総合運動公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯31度43分26秒東経130度36分7秒","鹿児島県姶良市平松2392（姶良市総合運動公園内）","両翼：95 m中堅：120 m","姶良市","内野：クレー舗装外野：天然芝","","1998年","NPO法人姶良スポーツクラブ","","磁気反転式","","","","","","","","","",""
"日置市湯之元球場 (存在しないページ)","[日置市湯之元球場]","https://ja.wikipedia.org/w/index.php?title=日置市湯之元球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"出水市野球場 (存在しないページ)","[出水市野球場]","https://ja.wikipedia.org/w/index.php?title=出水市野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"指宿市営球場 (存在しないページ)","[指宿市営球場]","https://ja.wikipedia.org/w/index.php?title=指宿市営球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"鹿屋市平和公園野球場 (存在しないページ)","[鹿屋市平和公園野球場]","https://ja.wikipedia.org/w/index.php?title=鹿屋市平和公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"奄美市名瀬運動公園市民球場 (存在しないページ)","[奄美市名瀬運動公園市民球場]","https://ja.wikipedia.org/w/index.php?title=奄美市名瀬運動公園市民球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"南九州市知覧平和公園野球場 (存在しないページ)","[南九州市知覧平和公園野球場]","https://ja.wikipedia.org/w/index.php?title=南九州市知覧平和公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"南さつま市加世田運動公園野球場 (存在しないページ)","[南さつま市加世田運動公園野球場]","https://ja.wikipedia.org/w/index.php?title=南さつま市加世田運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"那覇市営奥武山野球場","[那覇市営奥武山野球場（沖縄セルラースタジアム那覇）] 那覇市営奥武山野球場 （なはしえい おうのやまやきゅうじょう）は、 沖縄県 那覇市 の 奥武山総合運動公園 内にある 野球場 。施設は那覇市が所有し、 NPO法人那覇市体育協会 が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/那覇市営奥武山野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯26度12分12.7秒東経127度40分23.42秒","沖縄県那覇市奥武山町40番地1","グラウンド面積:両翼：100m、中堅：122m","那覇市","内野：クレー舗装外野：天然芝ファウルエリア：一部人工芝","内野スタンド庇上投光器2基外野照明塔4基最大照度：投捕間2,000Lx","1960年11月30日（竣工）2010年4月4日（改築）","NPO法人那覇市体育協会（指定管理者）","","","国建・環境設計国建（共同企業体）","","","","","大米建設他","","","",""
"くにがみ球場","[くにがみ球場（かいぎんスタジアムくにがみ）] くにがみ球場 （くにがみきゅうじょう）は、 沖縄県 国頭郡 国頭村 のくいなエコ・スポレク公園内にある 野球場 。国頭村が運営管理を行っている。","https://ja.wikipedia.org/wiki/くにがみ球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯26度43分36.3秒東経128度9分43.42秒","沖縄県国頭郡国頭村字半地83-1（くいなエコ・スポレク公園内）","グラウンド面積：－m2両翼：100 m中堅：122 m","国頭村","内野：クレー舗装外野：天然芝","照明塔：6基","2005年","国頭村","","","","","","","","","","","",""
"名護市営球場","[名護市営球場（タピックスタジアム名護）] 名護市営球場 （なごしえいきゅうじょう）は、 沖縄県 名護市 宮里の名護浦公園（ 21世紀の森公園 ）内にある 野球場 である（球場正面の 銘板 の表記は 名護球場 ）。施設は名護市が所有し、名護市公共施設管理センターが運営管理を行っている。","https://ja.wikipedia.org/wiki/名護市営球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯26度35分34秒東経127度58分0.7秒","沖縄県名護市宮里2-1-1（21世紀の森公園内）","グラウンド面積：不明両翼：97m中堅：118 m","名護市","内野：クレー舗装外野：天然芝","照明塔：6基","1977年","名護市公共施設管理センター","","","","","","","","","","","",""
"宜野座村営野球場","[宜野座村営野球場（かりゆしホテルズボールパーク宜野座）] 宜野座村営野球場 （ぎのざそんえいやきゅうじょう）は、 沖縄県 国頭郡 宜野座村 の宜野座村総合運動公園内にある 野球場 。宜野座村が運営管理を行っている。","https://ja.wikipedia.org/wiki/宜野座村営野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯26度29分1.6秒東経127度58分23.1秒","沖縄県国頭郡宜野座村宜野座188（宜野座村総合運動公園内）","グラウンド面積：18,800m2両翼：98 m中堅：122 m","宜野座村","内野：クレー舗装外野：天然芝","照明塔：4基","1987年3月","宜野座村 教育課","","","","","","","","","","","",""
"北谷公園野球場","[北谷公園野球場] 北谷公園野球場 （ちゃたんこうえん・やきゅうじょう）は、 沖縄県 中頭郡 北谷町 美浜の 北谷町運動公園 内にある 野球場 。施設は北谷町が所有し、一般財団法人北谷地域振興センターが運営管理を行っている。","https://ja.wikipedia.org/wiki/北谷公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯26度18分42.1秒東経127度45分30秒","沖縄県中頭郡北谷町（北谷公園内）","グラウンド面積：－m2両翼：98 m中堅：122 m","北谷町","内野：クレー舗装外野：天然芝","なし","","財団法人北谷町公共施設管理公社","","","","","","","","","","","",""
"読谷平和の森球場","[読谷平和の森球場] 読谷平和の森球場 （よみたん・へいわのもりきゅうじょう）は、 沖縄県 中頭郡 読谷村 にある 野球場 。読谷村が運営管理を行っている。","https://ja.wikipedia.org/wiki/読谷平和の森球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯26度23分50.6秒東経127度44分44.7秒","沖縄県中頭郡読谷村字座喜味2901","グラウンド面積：12,804m2両翼：95 m中堅：120 m","読谷村","内野：クレー舗装外野：天然芝","照明塔：6基","1987年5月30日","","","","","","","","","","","","",""
"恩納村立赤間運動公園野球場","[恩納村立赤間運動公園野球場（ONNA赤間ボール・パーク）] 恩納村立赤間運動公園野球場 （おんなそんりつ・あかまうんどうこうえん・やきゅうじょう）は、 沖縄県 国頭郡 恩納村 の恩納村立赤間運動場内にある 野球場 。愛称 ONNA赤間ボール・パーク 。現在は指定管理者制度により読谷協同産業株式会社によって運営管理されている(2014年4月1日～2019年3月31日迄)。","https://ja.wikipedia.org/wiki/恩納村立赤間運動公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯26度28分15.6秒東経127度50分25.2秒","沖縄県国頭郡恩納村字恩納7441（赤間運動公園内）","グラウンド面積：－m2両翼：100 m中堅：122 m","恩納村","内野：クレー舗装外野：ティフトン芝","あり","","","","","","","","","","","","","",""
"金武町ベースボールスタジアム","[金武町ベースボールスタジアム　] 金武町ベースボールスタジアム （きんちょう・ベースボール・スタジアム）は 沖縄県 国頭郡 金武町 にある 野球場 。","https://ja.wikipedia.org/wiki/金武町ベースボールスタジアム","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯26度27分44.1秒東経127度56分29.8秒","沖縄県国頭郡金武町字金武11053番地","グラウンド面積:13400m2両翼：100m、中堅：122m","金武町","","","","","","","","","","","","","","","",""
"宜野湾市立野球場","[宜野湾市立野球場（アトムホームスタジアム宜野湾）] 宜野湾市立野球場 （ぎのわんしりつやきゅうじょう）は、 沖縄県 宜野湾市 の宜野湾市立総合運動場内にある 野球場 。宜野湾市が運営管理を行っている。 1987年 3月13日 に完成した。 プロ野球 ・ 横浜DeNAベイスターズ が公園内各施設と合わせて春季・秋季の キャンプ 地として使用しており、春季キャンプ期間終盤には オープン戦 が開催される。","https://ja.wikipedia.org/wiki/宜野湾市立野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯26度16分55.5秒東経127度44分14.5秒","沖縄県宜野湾市真志喜四丁目２番１号（宜野湾市立総合運動場内）","グラウンド面積：12,620m2両翼：100 m、中堅：122 m","宜野湾市","内野：クレー舗装外野：天然芝","照明塔：6基照度：内野200Lx　　　：外野100Lx","1987年3月","宜野湾市","m","","","","","","","","","","",""
"嘉手納町営球場 (存在しないページ)","[嘉手納町営球場]","https://ja.wikipedia.org/w/index.php?title=嘉手納町営球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"南城市営新開球場 (存在しないページ)","[南城市営新開球場]","https://ja.wikipedia.org/w/index.php?title=南城市営新開球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"東風平運動公園野球場","[東風平運動公園野球場] 東風平運動公園野球場 （こちんだうんどうこうえんやきゅうじょう）は、 沖縄県 島尻郡 八重瀬町 にある野球場である。隣接してソフトボール場もある。","https://ja.wikipedia.org/wiki/東風平運動公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"糸満市西崎球場","[糸満市西崎球場] 糸満市西崎球場 （いとまんしにしざききゅうじょう）は、 沖縄県 糸満市 西崎町 3-1の 西崎運動公園 内にある、糸満市が管理運営している野球場である。","https://ja.wikipedia.org/wiki/糸満市西崎球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯26度8分42秒東経127度39分44.7秒","沖縄県糸満市西崎3-1 （西崎総合運動公園内）","グラウンド面積：－m2両翼：97.6m中堅：122m","糸満市","内野：クレー舗装外野：天然芝","6基　一般競技用平均500Lx　内野1,000Lx　外野300Lx","1984年3月20日(竣工)","","","","","","","","","","","","",""
"浦添市民球場","[浦添市民球場（ANA BALL PARK 浦添）] 浦添市民球場 （うらそえしみんきゅうじょう）は、 沖縄県 浦添市 仲間の 浦添運動公園 内にある 野球場 。施設は 浦添市 が所有し、運営管理も 浦添市 が行っている。また 東京ヤクルトスワローズ が、春季 キャンプ に使用している。","https://ja.wikipedia.org/wiki/浦添市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯26度15分4.6秒東経127度43分28.3秒","沖縄県浦添市仲間1-13-1（浦添運動公園内）","グラウンド面積:13,284.8m2両翼:98 m中堅:122 m","浦添市","内野：クレー舗装外野：天然芝","なし","1996年","浦添市","","","","","","","","","","","",""
"うるま市石川野球場 (存在しないページ)","[うるま市石川野球場（エナジックスタジアム石川）]","https://ja.wikipedia.org/w/index.php?title=うるま市石川野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"うるま市具志川野球場 (存在しないページ)","[うるま市具志川野球場]","https://ja.wikipedia.org/w/index.php?title=うるま市具志川野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"沖縄市野球場","[沖縄市野球場（コザしんきんスタジアム）] 沖縄市野球場 （おきなわし・やきゅうじょう）は、 沖縄県 沖縄市 のコザ運動公園（沖縄市総合運動場）内にある 野球場 。施設は沖縄市が所有し、沖縄市体育協会が運営管理を行っている。","https://ja.wikipedia.org/wiki/沖縄市野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯26度19分56.3秒東経127度47分24.9秒","沖縄県沖縄市諸見里2-1-1（コザ運動公園=沖縄市総合運動場内）","グラウンド面積：12,176㎡両翼：100m中堅：122m","沖縄市","内野：クレー舗装外野：天然芝","ナイター照明6基完備","","","","","","","","","","","","","",""
"久米島野球場","[久米島野球場] 久米島野球場 （くめじまやきゅうじょう）は、 沖縄県 島尻郡 久米島町 の久米島町総合運動公園内にある 野球場 。久米島町が運営管理を行っている。","https://ja.wikipedia.org/wiki/久米島野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯26度20分57.9秒東経126度44分4.8秒","沖縄県島尻郡久米島町字鳥島清水100（久米島町総合運動公園内）","グラウンド面積：－m2両翼：100 m、中堅：122 m","久米島町","内野：クレー舗装外野：天然芝","なし","2006年1月（仮供用。全面竣工は2007年1月）","久米島町","m","","","","","","","","","","",""
