"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","初登頂","法人番号","最新噴火","国","地方","都道府県","市町村コード","面積","総人口","人口密度","隣接自治体","市の木","市の花","市長"
"サンノの高 (存在しないページ)","[37サンノの高サンノーのたかみ1,106.57　二等三尾山本巣市・郡上市別名は松谷山]","https://ja.wikipedia.org/w/index.php?title=サンノの高&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"権現山","[38権現山ごんげんやま316.52　二等芥見村岐阜市・各務原市] 権現山 （ごんげんやま、ごんげんさん、ごんげんざん）","https://ja.wikipedia.org/wiki/権現山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"天王山 (曖昧さ回避)","[39天王山てんのうざん537.73　二等今淵岳美濃市] 天王山 （てんのうざん、てんのうやま他）","https://ja.wikipedia.org/wiki/天王山_(曖昧さ回避)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"誕生山 (存在しないページ)","[40誕生山たんじょうざん501.65　三等誕生山美濃市]","https://ja.wikipedia.org/w/index.php?title=誕生山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"古城山 (存在しないページ)","[41古城山こじょうさん437.11　二等古城山美濃市古城山パーキングエリア]","https://ja.wikipedia.org/w/index.php?title=古城山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"藤巻山 (存在しないページ)","[42藤巻山ふじまきやま733.44　二等西乙原郡上市]","https://ja.wikipedia.org/w/index.php?title=藤巻山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"西川山出合 (存在しないページ)","[44西川山出合にしかわやまであい1,052.01　二等内ケ谷郡上市]","https://ja.wikipedia.org/w/index.php?title=西川山出合&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"米田白山 (存在しないページ)","[45米田白山よねだはくさん273.69　二等則光美濃加茂市東海環状自動車道白山トンネル]","https://ja.wikipedia.org/w/index.php?title=米田白山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"御殿山","[46御殿山ごてんざん559美濃加茂市・七宗町美濃加茂市の最高峰] 御殿山 （ごてんやま、他）","https://ja.wikipedia.org/wiki/御殿山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"権現山","[47権現山ごんげんやま524.66　二等権現山関市] 権現山 （ごんげんやま、ごんげんさん、ごんげんざん）","https://ja.wikipedia.org/wiki/権現山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"納古山 (存在しないページ)","[48納古山のこやま632.94　二等岩戸山川辺町・七宗町]","https://ja.wikipedia.org/w/index.php?title=納古山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"岳山","[49岳山たけやま599.02　二等岳山関市・七宗町] 嶽山 （だけやま）は、 大阪府 富田林市 にある 標高 278mの山で、 大阪50山 のひとつである。","https://ja.wikipedia.org/wiki/岳山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯34度27分59秒東経135度35分40秒","日本大阪府富田林市","278m","北緯34度27分59秒東経135度35分40秒﻿ / ﻿北緯34.46639度 東経135.59444度﻿ /34.46639; 135.59444座標:北緯34度27分59秒東経135度35分40秒﻿ / ﻿北緯34.46639度 東経135.59444度﻿ /34.46639; 135.59444","","","","","","","","","","","","","","","",""
"ナガザコ (存在しないページ)","[50ナガザコながざこ568.88　二等上河和関市・郡上市]","https://ja.wikipedia.org/w/index.php?title=ナガザコ&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"岳山","[51岳山たけやま774.73　二等美山郡上市] 嶽山 （だけやま）は、 大阪府 富田林市 にある 標高 278mの山で、 大阪50山 のひとつである。","https://ja.wikipedia.org/wiki/岳山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯34度27分59秒東経135度35分40秒","日本大阪府富田林市","278m","北緯34度27分59秒東経135度35分40秒﻿ / ﻿北緯34.46639度 東経135.59444度﻿ /34.46639; 135.59444座標:北緯34度27分59秒東経135度35分40秒﻿ / ﻿北緯34.46639度 東経135.59444度﻿ /34.46639; 135.59444","","","","","","","","","","","","","","","",""
"弥勒山 (存在しないページ)","[52弥勒山みろくやま436.57　二等廻間村多治見市・愛知県春日井市]","https://ja.wikipedia.org/w/index.php?title=弥勒山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"三国山 (岐阜県)","[53三国山みくにやま700.98　三等三国峠土岐市・愛知県豊田市] 三国山 （みくにやま）は、 岐阜県 土岐市 と 愛知県 豊田市  の 境 界にある 標高 701 m の 山 である。山頂には4階建ての 展望台 、 キャンプ場 があり、 県立自然公園 となっている。近くに高い山が無いため展望が良く夜には 濃尾平野 を一望できる 夜景 を見ることができる。","https://ja.wikipedia.org/wiki/三国山_(岐阜県)#岐阜県・愛知県境","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"雨乞山 (岐阜県)","[54雨乞山あまごいやま509.05　二等田高戸瑞浪市] 雨乞山 （あまごいやま）は、 岐阜県 瑞浪市 の北部にある山である。","https://ja.wikipedia.org/wiki/雨乞山_(岐阜県)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度27分30.0秒東経137度12分18.9秒","日本岐阜県瑞浪市","509.1m","北緯35度27分30.0秒東経137度12分18.9秒﻿ / ﻿北緯35.458333度 東経137.205250度﻿ /35.458333; 137.205250座標:北緯35度27分30.0秒東経137度12分18.9秒﻿ / ﻿北緯35.458333度 東経137.205250度﻿ /35.458333; 137.205250","","","","","","","","","","","","","","","",""
"砥山 (存在しないページ)","[55砥山とやま685.64　一等久田見山八百津町]","https://ja.wikipedia.org/w/index.php?title=砥山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"水晶山","[56水晶山すいしょうやま687.37　二等水晶七宗町・白川町] 水晶山 （すいしょうざん、すいしょうやま）","https://ja.wikipedia.org/wiki/水晶山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"本陣山 (存在しないページ)","[57本陣山ほんじんやま632.81　二等大湫瑞浪市]","https://ja.wikipedia.org/w/index.php?title=本陣山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"恵那市","[58秋葉山あきばやま787.58　三等秋葉山恵那市] ","https://ja.wikipedia.org/wiki/恵那市","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度26分57.3秒東経137度24分46.2秒","〒509-7292岐阜県恵那市長島町正家一丁目1番地1北緯35度26分57.3秒東経137度24分46.2秒﻿ / ﻿北緯35.449250度 東経137.412833度﻿ /35.449250; 137.412833","","","","","","8000020212105","","日本","中部地方、東海地方","岐阜県","21210-5","504.24km2（境界未定部分あり）","47,250人（推計人口、2021年5月1日）","93.7人/km2","中津川市、瑞浪市、加茂郡白川町、八百津町長野県：下伊那郡根羽村、平谷村愛知県豊田市","ハナノキ","ささゆり","小坂喬峰"
"見行山 (存在しないページ)","[59見行山けんぎょうさん904.87　二等見行八百津町・白川町・恵那市]","https://ja.wikipedia.org/w/index.php?title=見行山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"大山白山 (存在しないページ)","[60大山白山おおやまはくさん862.18　三等白山白川町大山白山神社]","https://ja.wikipedia.org/w/index.php?title=大山白山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"鹿遊 (存在しないページ)","[61鹿遊しかあぞび1,080.32　三等南鳥山白川町・中津川市]","https://ja.wikipedia.org/w/index.php?title=鹿遊&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"箱岩山 (存在しないページ)","[62箱岩山はこいわやま978.62　二等黒川白川町]","https://ja.wikipedia.org/w/index.php?title=箱岩山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"捨薙山 (存在しないページ)","[63捨薙山すてなぎさん983.37　三等捨薙東白川村・白川町]","https://ja.wikipedia.org/w/index.php?title=捨薙山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"藤島山 (存在しないページ)","[64藤島山ふじしまやま944.60　二等佐見東白川村・白川町]","https://ja.wikipedia.org/w/index.php?title=藤島山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"手掛岩山 (存在しないページ)","[65手掛岩山てかけいわやま909.45　三等手掛岩東白川村]","https://ja.wikipedia.org/w/index.php?title=手掛岩山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"夕立山 (存在しないページ)","[66夕立山ゆうだちやま727.21　三等夕立山恵那市]","https://ja.wikipedia.org/w/index.php?title=夕立山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"岩山","[67岩山いわやま932.10　三等岩山中津川市] ","https://ja.wikipedia.org/wiki/岩山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"寒陽気山 (存在しないページ)","[68寒陽気山かんようきやま1,108.30　三等新巣東白川村・白川町]","https://ja.wikipedia.org/w/index.php?title=寒陽気山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"高時山 (存在しないページ)","[69高時山たかときやま1,085.52　三等権現山中津川市・東白川村]","https://ja.wikipedia.org/w/index.php?title=高時山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"新巣山 (存在しないページ)","[70新巣山しんすやま973.55　二等越原東白川村・中津川市]","https://ja.wikipedia.org/w/index.php?title=新巣山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"高戸山 (存在しないページ)","[71高戸山たかどやま794.55　二等串原村恵那市矢作ダム]","https://ja.wikipedia.org/w/index.php?title=高戸山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"三国山 (岐阜県)","[72三国山みくにやま1,161.62　二等三国恵那市・愛知県豊田市・長野県根羽村] 三国山 （みくにやま）は、 岐阜県 土岐市 と 愛知県 豊田市  の 境 界にある 標高 701 m の 山 である。山頂には4階建ての 展望台 、 キャンプ場 があり、 県立自然公園 となっている。近くに高い山が無いため展望が良く夜には 濃尾平野 を一望できる 夜景 を見ることができる。","https://ja.wikipedia.org/wiki/三国山_(岐阜県)#岐阜県・長野県・愛知県境","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"大船山","[73大船山おおふなやま1,159.40　三等大舟山恵那市] 大船山","https://ja.wikipedia.org/wiki/大船山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"荒峰山 (存在しないページ)","[74荒峰山あらがみねやま1,271.24　三等海沢恵那市]","https://ja.wikipedia.org/w/index.php?title=荒峰山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"三森山 (存在しないページ)","[75三森山みつもりやま1,100.34　三等富田恵那市・中津川市]","https://ja.wikipedia.org/w/index.php?title=三森山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"天狗森山 (存在しないページ)","[76天狗森山てんぐもりやま1,338中津川市]","https://ja.wikipedia.org/w/index.php?title=天狗森山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"保古山","[77保古山ほこやま969.81　二等保古山恵那市・中津川市根の上高原、保古湖] 保古山 （ほこやま、ぼこやま）は、 岐阜県 中津川市 と 恵那市 の境にある 標高 970 m の 山 。","https://ja.wikipedia.org/wiki/保古山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度26分31秒東経137度29分03秒","岐阜県恵那市・中津川市","969.81m","北緯35度26分31秒東経137度29分03秒﻿ / ﻿北緯35.44194度 東経137.48417度﻿ /35.44194; 137.48417座標:北緯35度26分31秒東経137度29分03秒﻿ / ﻿北緯35.44194度 東経137.48417度﻿ /35.44194; 137.48417","根の上高原","","","","","","","","","","","","","","",""
"前山","[78前山まえやま1,350.99　三等前山中津川市恵那山の前衛峰] 前山 （まえやま、さきやま、ぜんやま、まえさん、さきさん、ぜんさん、まえざん、さきざん、ぜんざん）","https://ja.wikipedia.org/wiki/前山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"男埵山 (存在しないページ)","[79男埵山おだるやま1,342.38　三等大株中津川市・長野県南木曽町]","https://ja.wikipedia.org/w/index.php?title=男埵山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"高峰山","[80高峰山たかみねやま944.70　二等高峰山中津川市] 高峰山 （たかみねやま他）","https://ja.wikipedia.org/wiki/高峰山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"城ヶ根山 (存在しないページ)","[81城ヶ根山じょうがねやま836.57　三等川上中津川市・長野県南木曽町]","https://ja.wikipedia.org/w/index.php?title=城ヶ根山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"御前ヶ岳 (存在しないページ)","[82御前ヶ岳ごぜんがたけ663.71　三等桐洞下呂市・郡上市]","https://ja.wikipedia.org/w/index.php?title=御前ヶ岳&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"黒岳","[83黒岳くろだけ794.56　三等戸部下呂市・郡上市] 黒岳 （くろだけ）は、日本の 山 の名称。","https://ja.wikipedia.org/wiki/黒岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"和良岳 (存在しないページ)","[84和良岳わらだけ715.56　三等下洞郡上市]","https://ja.wikipedia.org/w/index.php?title=和良岳&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"堂塚山 (存在しないページ)","[85堂塚山どうつかやま885.16　二等乙原郡上市・下呂市岩屋ダムの西]","https://ja.wikipedia.org/w/index.php?title=堂塚山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"東洞岳 (存在しないページ)","[86東洞岳ひがしぼらだけ1,051.96　三等鹿倉郡上市オオサンショウウオ生息地]","https://ja.wikipedia.org/w/index.php?title=東洞岳&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"吐月峰","[87吐月峰とげっぽう775下呂市] 柴屋寺 （さいおくじ）は、 静岡県 静岡市 駿河区 丸子 にある 臨済宗妙心寺派 の 寺院 。 山号 は天柱山（てんちゅうざん）。 雅号 は吐月峰（とげっぽう）。 本尊 は 十一面観音 。 庭園 は国の 史跡 および 名勝 に指定されている  。","https://ja.wikipedia.org/wiki/吐月峰","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯34度57分21.4秒東経138度19分59.0秒","静岡県静岡市駿河区丸子3316","","北緯34度57分21.4秒東経138度19分59.0秒﻿ / ﻿北緯34.955944度 東経138.333056度﻿ /34.955944; 138.333056座標:北緯34度57分21.4秒東経138度19分59.0秒﻿ / ﻿北緯34.955944度 東経138.333056度﻿ /34.955944; 138.333056","","","","4080005000240","","","","","","","","","","","",""
"野滝山 (存在しないページ)","[88野滝山のたきやま881.88　二等宮地下呂市]","https://ja.wikipedia.org/w/index.php?title=野滝山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"湯ヶ峰 (存在しないページ)","[89湯ヶ峰ゆがみね1,066.76　三等小川下呂市]","https://ja.wikipedia.org/w/index.php?title=湯ヶ峰&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"簗谷山 (存在しないページ)","[90簗谷山やなだにやま1,213.53　二等弓掛郡上市・下呂市]","https://ja.wikipedia.org/w/index.php?title=簗谷山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"御前山","[91下呂御前山げろごぜんやま1,411.83　三等空谷下呂市] 御前山 （ごぜんやま）","https://ja.wikipedia.org/wiki/御前山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"サワラ (岐阜県の山) (存在しないページ)","[92サワラさわら1,227.87　二等小川郡上市・高山市]","https://ja.wikipedia.org/w/index.php?title=サワラ_(岐阜県の山)&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"薙刀山 (存在しないページ)","[93薙刀山なぎなたやま1,647.20　三等薙刀山郡上市・福井県大野市両白山地]","https://ja.wikipedia.org/w/index.php?title=薙刀山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"銚子ヶ峰","[94銚子ヶ峰三ノ峰ちょうしがみねさんのみね1,810.402,128　三等銚子峰郡上市・高山市高山市・石川県白山市美濃禅定道三ノ峰避難小屋] 銚子ヶ峰 （ちょうしがみね）は、 岐阜県 郡上市 と 高山市 にまたがる、 標高 1,810 m の 山 。 両白山地 に属し、 続ぎふ百山  に選定されている。","https://ja.wikipedia.org/wiki/銚子ヶ峰","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度03分43秒東経136度45分56秒","岐阜県郡上市・高山市","1,810.40m","北緯36度03分43秒東経136度45分56秒﻿ / ﻿北緯36.06194度 東経136.76556度﻿ /36.06194; 136.76556座標:北緯36度03分43秒東経136度45分56秒﻿ / ﻿北緯36.06194度 東経136.76556度﻿ /36.06194; 136.76556","両白山地","","","","","","","","","","","","","","",""
"見当山 (存在しないページ)","[95見当山けんとうやま1,352.12　二等一色高山市・郡上市]","https://ja.wikipedia.org/w/index.php?title=見当山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"瀬戸山 (存在しないページ)","[96瀬戸山せとやま1,161.15　二等大原高山市]","https://ja.wikipedia.org/w/index.php?title=瀬戸山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"大ゾレ山 (存在しないページ)","[97大ゾレ山おおぞれやま1,366.89　三等唐谷下呂市]","https://ja.wikipedia.org/w/index.php?title=大ゾレ山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"大坊山 (存在しないページ)","[98大坊山おおぼやま1,346.63　三等大坊高山市]","https://ja.wikipedia.org/w/index.php?title=大坊山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"大沢山 (存在しないページ)","[99大沢山おおさわやま1,112.19　三等日面平高山市]","https://ja.wikipedia.org/w/index.php?title=大沢山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"桧ヶ尾山 (存在しないページ)","[100桧ヶ尾山ひのきがおやま1,084.44　三等小坊高山市]","https://ja.wikipedia.org/w/index.php?title=桧ヶ尾山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"栃尾山 (存在しないページ)","[101栃尾山とちおやま1,351.36　三等西洞峠高山市]","https://ja.wikipedia.org/w/index.php?title=栃尾山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"高屹山 (存在しないページ)","[102高屹山たかたわやま1,303.10　三等桐山高山市]","https://ja.wikipedia.org/w/index.php?title=高屹山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"黒手山 (存在しないページ)","[103黒手山くろてやま1,316.45　三等甲高山市]","https://ja.wikipedia.org/w/index.php?title=黒手山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"洞山 (存在しないページ)","[104洞山ほらやま1,088.57　三等流葉高山市]","https://ja.wikipedia.org/w/index.php?title=洞山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"日ノ観ヶ岳 (存在しないページ)","[105日ノ観ヶ岳みのひがたけ1,105.59　三等日見岳高山市]","https://ja.wikipedia.org/w/index.php?title=日ノ観ヶ岳&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"高洞山 (存在しないページ)","[106高洞山たかぼらやま1,095.39　二等高洞高山市]","https://ja.wikipedia.org/w/index.php?title=高洞山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"源氏岳 (存在しないページ)","[107源氏岳げんじがたえ1,142.90　二等源氏岳高山市]","https://ja.wikipedia.org/w/index.php?title=源氏岳&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"六方山 (存在しないページ)","[109六方山ろっぽうざん1,402.95　三等青屋高山市]","https://ja.wikipedia.org/w/index.php?title=六方山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"滝ヶ洞山 (存在しないページ)","[110滝ヶ洞山たきがほらやま1,249.41　二等滝ケ洞高山市]","https://ja.wikipedia.org/w/index.php?title=滝ヶ洞山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"漆洞山 (存在しないページ)","[111漆洞山うるしぼらやま1,320.48　三等漆洞高山市]","https://ja.wikipedia.org/w/index.php?title=漆洞山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"松ヶ洞山 (存在しないページ)","[112松ヶ洞山まつがほらやま1,166.59　三等東山高山市]","https://ja.wikipedia.org/w/index.php?title=松ヶ洞山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"牛首山 (存在しないページ)","[113牛首山うしくびやま1,407.96　三等牛首高山市]","https://ja.wikipedia.org/w/index.php?title=牛首山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"三ヶ辻山","[114三ヶ辻山みつがつじやま1,764.38　二等三ケ辻白川村・富山県南砺市] 三ヶ辻山 （みつがつじやま）は 富山県 南砺市 と 岐阜県 大野郡 白川村 にまたがる 山 。 標高 は1,764 m 。山頂は 池塘 があり、 ニッコウキスゲ の群落がある他、眺めが良い。 富山県登山連盟による 富山の百山 の一つ。","https://ja.wikipedia.org/wiki/三ヶ辻山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度20分18秒東経136度57分0秒","日本富山県南砺市、岐阜県大野郡白川村","1764m","北緯36度20分18秒東経136度57分0秒﻿ / ﻿北緯36.33833度 東経136.95000度﻿ /36.33833; 136.95000座標:北緯36度20分18秒東経136度57分0秒﻿ / ﻿北緯36.33833度 東経136.95000度﻿ /36.33833; 136.95000","","","","","","","","","","","","","","","",""
"高登山 (存在しないページ)","[115高登山たかとうやま1,296.50　二等高登飛騨市]","https://ja.wikipedia.org/w/index.php?title=高登山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"本堂山 (存在しないページ)","[116本堂山ほんどうやま995.12　三等本堂飛騨市]","https://ja.wikipedia.org/w/index.php?title=本堂山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"高山 (飛騨市) (存在しないページ)","[117高山こうやま1,336.59　二等高山飛騨市]","https://ja.wikipedia.org/w/index.php?title=高山_(飛騨市)&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
