"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","位置","所属事業者","所属路線","キロ程","電報略号","駅構造","ホーム","乗車人員,-統計年度-","開業年月日","備考","乗降人員,-統計年度-","駅番号","乗降人員,-統計年次-","乗換","乗車人員,-統計年次-","標高","Hidden","Hidden","Hidden","Hidden"
"伊予大平駅","伊予大平駅（いよおおひらえき）","https://ja.wikipedia.org/wiki/伊予大平駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県伊予市大平北緯33度42分57.07秒東経132度42分30.41秒","","四国旅客鉄道（JR四国）","■予讃線","2.8km （向井原起点）211.3 km（高松起点）","ヒラ","盛土駅","1面1線","","1986年（昭和61年）3月3日","無人駅","30[1]人/日-2019年-","○U07","","","","","","",""
"伊予上灘駅","伊予上灘駅（いよかみなだえき）","https://ja.wikipedia.org/wiki/伊予上灘駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県伊予市双海町高岸北緯33度41分1.73秒東経132度37分59.07秒﻿ / ﻿北緯33.6838139度 東経132.6330750度﻿ /33.6838139; 132.6330750座標:北緯33度41分1.73秒東経132度37分59.07秒﻿ / ﻿北緯33.6838139度 東経132.6330750度﻿ /33.6838139; 132.6330750","","四国旅客鉄道（JR四国）","■予讃線（愛ある伊予灘線）","217.1 km（高松起点）","カミ","地上駅","2面2線","","1932年（昭和7年）12月1日","無人駅","170[1]人/日-2019年-","○S08","","","","","","",""
"伊予亀岡駅","伊予亀岡駅（いよかめおかえき）","https://ja.wikipedia.org/wiki/伊予亀岡駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県今治市菊間町佐方北緯34度3分13.92秒東経132度52分26.77秒﻿ / ﻿北緯34.0538667度 東経132.8741028度﻿ /34.0538667; 132.8741028座標:北緯34度3分13.92秒東経132度52分26.77秒﻿ / ﻿北緯34.0538667度 東経132.8741028度﻿ /34.0538667; 132.8741028","","四国旅客鉄道（JR四国）","■予讃線","161.9 km（高松起点）","カオ","地上駅","2面3線","","1925年（大正14年）6月21日","無人駅（自動券売機 無）","154[1]人/日-2019年-","○Y44","","","","","","",""
"伊与喜駅","伊与喜駅（いよきえき）","https://ja.wikipedia.org/wiki/伊与喜駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","高知県幡多郡黒潮町伊与喜北緯33度6分18.20秒東経133度5分54.12秒","","土佐くろしお鉄道（TKT）","■中村線","18.1 km（窪川起点）","ヨキ","地上駅","単式 1面1線","","1963年（昭和38年）12月18日","無人駅","21[1]人/日-2019年-","○TK29","","","","","","",""
"伊予小松駅","伊予小松駅（いよこまつえき）","https://ja.wikipedia.org/wiki/伊予小松駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県西条市小松町新屋敷北緯33度53分51.35秒東経133度7分0.18秒﻿ / ﻿北緯33.8975972度 東経133.1167167度﻿ /33.8975972; 133.1167167座標:北緯33度53分51.35秒東経133度7分0.18秒﻿ / ﻿北緯33.8975972度 東経133.1167167度﻿ /33.8975972; 133.1167167","","四国旅客鉄道（JR四国）","■予讃線","121.6 km（高松起点）","イコ","地上駅","2面2線","","1923年（大正12年）5月1日","無人駅","530[1]人/日-2019年-","○Y34","","","","","","",""
"伊予西条駅","伊予西条駅（いよさいじょうえき）","https://ja.wikipedia.org/wiki/伊予西条駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県西条市大町字福森859番地1北緯33度54分44.97秒東経133度11分15.28秒﻿ / ﻿北緯33.9124917度 東経133.1875778度﻿ /33.9124917; 133.1875778座標:北緯33度54分44.97秒東経133度11分15.28秒﻿ / ﻿北緯33.9124917度 東経133.1875778度﻿ /33.9124917; 133.1875778","","四国旅客鉄道（JR四国）","■予讃線","114.3 km（高松起点）","サイ","地上駅","2面3線","1,513人/日（降車客含まず）-2019年-","1921年（大正10年）6月21日","直営駅みどりの窓口有","3,026[1]人/日-2019年-","○Y31","","","","","","",""
"伊予桜井駅","伊予桜井駅（いよさくらいえき）","https://ja.wikipedia.org/wiki/伊予桜井駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県今治市桜井北緯34度0分43.42秒東経133度2分9.24秒﻿ / ﻿北緯34.0120611度 東経133.0359000度﻿ /34.0120611; 133.0359000座標:北緯34度0分43.42秒東経133度2分9.24秒﻿ / ﻿北緯34.0120611度 東経133.0359000度﻿ /34.0120611; 133.0359000","","四国旅客鉄道（JR四国）","■予讃線","137.8 km（高松起点）","サク","地上駅","2面2線","","1923年（大正12年）12月21日","簡易委託駅（駅舎外発券）","564[1]人/日-2019年-","○Y38","","","","","","",""
"伊予寒川駅","伊予寒川駅（いよさんがわえき）","https://ja.wikipedia.org/wiki/伊予寒川駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県四国中央市寒川町北緯33度58分4.18秒東経133度30分0.51秒﻿ / ﻿北緯33.9678278度 東経133.5001417度﻿ /33.9678278; 133.5001417座標:北緯33度58分4.18秒東経133度30分0.51秒﻿ / ﻿北緯33.9678278度 東経133.5001417度﻿ /33.9678278; 133.5001417","","四国旅客鉄道（JR四国）","■予讃線","81.7 km（高松起点）","サン","地上駅","2面2線","","1933年（昭和8年）4月1日","無人駅","220[1]人/日-2019年-","○Y24","","","","","","",""
"伊予市駅","伊予市駅（いよしえき）","https://ja.wikipedia.org/wiki/伊予市駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県伊予市米湊832北緯33度45分19.72秒東経132度42分8.56秒﻿ / ﻿北緯33.7554778度 東経132.7023778度﻿ /33.7554778; 132.7023778座標:北緯33度45分19.72秒東経132度42分8.56秒﻿ / ﻿北緯33.7554778度 東経132.7023778度﻿ /33.7554778; 132.7023778","","四国旅客鉄道（JR四国）","■予讃線","206.0 km（高松起点）","イシクン（南郡中駅時代）","地上駅","2面3線","","1930年（昭和5年）2月27日","直営駅POS端末設置","1,084[1]人/日-2019年-","○U05","","郡中港駅（伊予鉄道郡中線）","","","","",""
"伊予白滝駅","伊予白滝駅（いよしらたきえき）","https://ja.wikipedia.org/wiki/伊予白滝駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県大洲市白滝小字加屋北緯33度34分42.89秒東経132度31分36.36秒﻿ / ﻿北緯33.5785806度 東経132.5267667度﻿ /33.5785806; 132.5267667座標:北緯33度34分42.89秒東経132度31分36.36秒﻿ / ﻿北緯33.5785806度 東経132.5267667度﻿ /33.5785806; 132.5267667","","四国旅客鉄道（JR四国）","■予讃線（愛ある伊予灘線）","239.3 km（高松起点）","シキ","地上駅","2面2線","","1918年（大正7年）2月14日","無人駅","40[1]人/日-2019年-","○S14","","","","","","",""
"伊予立川駅","伊予立川駅（いよたちかわえき）","https://ja.wikipedia.org/wiki/伊予立川駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県喜多郡内子町立山北緯33度36分1.98秒東経132度40分37.66秒","","四国旅客鉄道（JR四国）","■予讃線","16.9km （向井原起点）225.4 km（高松起点）","タワ","高架駅","1面2線","","1986年（昭和61年）3月3日","無人駅","48[1]人/日-2019年-","○U09","","","","","","",""
"いよ立花駅","いよ立花駅（いよたちばなえき）","https://ja.wikipedia.org/wiki/いよ立花駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県松山市立花2丁目北緯33度49分39.21秒東経132度46分23.98秒﻿ / ﻿北緯33.8275583度 東経132.7733278度﻿ /33.8275583; 132.7733278﻿ (いよ立花駅)","","伊予鉄道","横河原線","1.4 km（松山市起点）","","地上駅","1面2線","","1893年5月7日","","2,246[1]人/日-2019年-","●IY12","","","","","","",""
"伊予土居駅","伊予土居駅（いよどいえき）","https://ja.wikipedia.org/wiki/伊予土居駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県四国中央市土居町土居北緯33度57分32.55秒東経133度25分41.76秒﻿ / ﻿北緯33.9590417度 東経133.4282667度﻿ /33.9590417; 133.4282667座標:北緯33度57分32.55秒東経133度25分41.76秒﻿ / ﻿北緯33.9590417度 東経133.4282667度﻿ /33.9590417; 133.4282667","","四国旅客鉄道（JR四国）","■予讃線","88.6 km（高松起点）","トイ","地上駅","1面2線","","1919年（大正8年）9月1日","無人駅","644[1]人/日-2019年-","○Y26","","","","","","",""
"伊予富田駅","伊予富田駅（いよとみたえき）","https://ja.wikipedia.org/wiki/伊予富田駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県今治市上徳北緯34度2分11.22秒東経133度0分32.45秒﻿ / ﻿北緯34.0364500度 東経133.0090139度﻿ /34.0364500; 133.0090139座標:北緯34度2分11.22秒東経133度0分32.45秒﻿ / ﻿北緯34.0364500度 東経133.0090139度﻿ /34.0364500; 133.0090139","","四国旅客鉄道（JR四国）","■予讃線","141.6 km（高松起点）","トタ","地上駅","2面2線","","1924年（大正13年）2月11日","簡易委託駅（駅舎外発券）","240[1]人/日-2019年-","○Y39","","","","","","",""
"伊予長浜駅","伊予長浜駅（いよながはまえき）","https://ja.wikipedia.org/wiki/伊予長浜駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県大洲市長浜北緯33度36分54.93秒東経132度29分12.64秒﻿ / ﻿北緯33.6152583度 東経132.4868444度﻿ /33.6152583; 132.4868444座標:北緯33度36分54.93秒東経132度29分12.64秒﻿ / ﻿北緯33.6152583度 東経132.4868444度﻿ /33.6152583; 132.4868444","","四国旅客鉄道（JR四国）","■予讃線（愛ある伊予灘線）","233.1 km（高松起点）","ナマ","地上駅","2面3線","","1918年（大正7年）2月14日","無人駅","328[1]人/日-2019年-","○S12","","","","","","",""
"伊予中山駅","伊予中山駅（いよなかやまえき）","https://ja.wikipedia.org/wiki/伊予中山駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県伊予市中山町中山北緯33度38分57.63秒東経132度42分42.41秒","","四国旅客鉄道（JR四国）","■予讃線","10.2km（向井原起点）218.7 km（高松起点）","ナヤ","地上駅","2面2線","","1986年（昭和61年）3月3日","無人駅","208[1]人/日-2019年-","○U08","","","","","","",""
"伊予氷見駅","伊予氷見駅（いよひみえき）","https://ja.wikipedia.org/wiki/伊予氷見駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県西条市氷見乙北緯33度53分48.28秒東経133度7分51.46秒﻿ / ﻿北緯33.8967444度 東経133.1309611度﻿ /33.8967444; 133.1309611座標:北緯33度53分48.28秒東経133度7分51.46秒﻿ / ﻿北緯33.8967444度 東経133.1309611度﻿ /33.8967444; 133.1309611","","四国旅客鉄道（JR四国）","■予讃線","120.3 km（高松起点）","ヒミ","地上駅","1面1線","","1961年（昭和36年）6月1日","無人駅","116[1]人/日-2019年-","○Y33","","","","","","",""
"伊予平野駅","伊予平野駅（いよひらのえき）","https://ja.wikipedia.org/wiki/伊予平野駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県大洲市平野町野田北緯33度29分44.99秒東経132度31分5.12秒﻿ / ﻿北緯33.4958306度 東経132.5180889度﻿ /33.4958306; 132.5180889座標:北緯33度29分44.99秒東経132度31分5.12秒﻿ / ﻿北緯33.4958306度 東経132.5180889度﻿ /33.4958306; 132.5180889","","四国旅客鉄道（JR四国）","■予讃線","253.5 km（高松起点）","ヒノ","地上駅","2面2線","","1936年（昭和11年）9月19日","無人駅","56[1]人/日-2019年-","○U16","","","","","","",""
"伊予北条駅","伊予北条駅（いよほうじょうえき）","https://ja.wikipedia.org/wiki/伊予北条駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県松山市北条辻416-5北緯33度58分21.53秒東経132度46分30.48秒﻿ / ﻿北緯33.9726472度 東経132.7751333度﻿ /33.9726472; 132.7751333座標:北緯33度58分21.53秒東経132度46分30.48秒﻿ / ﻿北緯33.9726472度 東経132.7751333度﻿ /33.9726472; 132.7751333","","四国旅客鉄道（JR四国）","■予讃線","176.9 km（高松起点）","イホ","地上駅","2面3線","1,152人/日（降車客含まず）-2019年-","1926年（大正15年）3月28日","直営駅みどりの窓口有","2,374[1]人/日-2019年-","○Y48","","","","","","",""
"伊予三島駅","伊予三島駅（いよみしまえき）","https://ja.wikipedia.org/wiki/伊予三島駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県四国中央市三島中央三丁目1-37北緯33度58分46.59秒東経133度32分31.10秒﻿ / ﻿北緯33.9796083度 東経133.5419722度﻿ /33.9796083; 133.5419722座標:北緯33度58分46.59秒東経133度32分31.10秒﻿ / ﻿北緯33.9796083度 東経133.5419722度﻿ /33.9796083; 133.5419722","","四国旅客鉄道（JR四国）日本貨物鉄道（JR貨物）","■予讃線","77.6 km（高松起点）","ミシ","地上駅（橋上駅）","2面3線","985人/日（降車客含まず）-2018年-","1917年（大正6年）9月16日","直営駅みどりの窓口有","1,970人/日-2018年-","○Y23","","","","","","",""
"伊予宮野下駅","伊予宮野下駅（いよみやのしたえき）","https://ja.wikipedia.org/wiki/伊予宮野下駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県宇和島市三間町宮野下北緯33度17分20.47秒東経132度36分21.05秒﻿ / ﻿北緯33.2890194度 東経132.6058472度﻿ /33.2890194; 132.6058472座標:北緯33度17分20.47秒東経132度36分21.05秒﻿ / ﻿北緯33.2890194度 東経132.6058472度﻿ /33.2890194; 132.6058472","","四国旅客鉄道（JR四国）","■予土線","69.1 km（若井起点）","ノタ","地上駅","2面2線","","1914年（大正3年）10月18日","簡易委託駅","220人/日-2018年-","○G44","","","","","","",""
"伊予三芳駅","伊予三芳駅（いよみよしえき）","https://ja.wikipedia.org/wiki/伊予三芳駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県西条市三芳北緯33度57分15.36秒東経133度3分51.23秒﻿ / ﻿北緯33.9542667度 東経133.0642306度﻿ /33.9542667; 133.0642306座標:北緯33度57分15.36秒東経133度3分51.23秒﻿ / ﻿北緯33.9542667度 東経133.0642306度﻿ /33.9542667; 133.0642306","","四国旅客鉄道（JR四国）","■予讃線","130.2 km（高松起点）","ミヨ","地上駅","2面2線","","1923年（大正12年）10月1日","無人駅","404[1]人/日-2019年-","○Y37","","","","","","",""
"伊予横田駅","伊予横田駅（いよよこたえき）","https://ja.wikipedia.org/wiki/伊予横田駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県伊予郡松前町横田北緯33度46分22.68秒東経132度43分38.29秒﻿ / ﻿北緯33.7729667度 東経132.7273028度﻿ /33.7729667; 132.7273028座標:北緯33度46分22.68秒東経132度43分38.29秒﻿ / ﻿北緯33.7729667度 東経132.7273028度﻿ /33.7729667; 132.7273028","","四国旅客鉄道（JR四国）","■予讃線","203.0 km（高松起点）","ヨコ","地上駅","1面1線","","1961年（昭和36年）4月15日","無人駅","210[1]人/日-2019年-","○U03","","","","","","",""
"伊予吉田駅","伊予吉田駅（いよよしだえき）","https://ja.wikipedia.org/wiki/伊予吉田駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県宇和島市吉田町立間尻北緯33度16分23.81秒東経132度32分38.86秒﻿ / ﻿北緯33.2732806度 東経132.5441278度﻿ /33.2732806; 132.5441278座標:北緯33度16分23.81秒東経132度32分38.86秒﻿ / ﻿北緯33.2732806度 東経132.5441278度﻿ /33.2732806; 132.5441278","","四国旅客鉄道（JR四国）","■予讃線","289.3 km（高松起点）","イヨ","地上駅","2面2線","","1941年（昭和16年）7月2日","無人駅","218[1]人/日-2019年-","○U25","","","","","","",""
"伊予和気駅","伊予和気駅（いよわけえき）","https://ja.wikipedia.org/wiki/伊予和気駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県松山市和気町北緯33度53分23.10秒東経132度44分26.46秒﻿ / ﻿北緯33.8897500度 東経132.7406833度﻿ /33.8897500; 132.7406833座標:北緯33度53分23.10秒東経132度44分26.46秒﻿ / ﻿北緯33.8897500度 東経132.7406833度﻿ /33.8897500; 132.7406833","","四国旅客鉄道（JR四国）","■予讃線","187.0 km（高松起点）","ワケ","地上駅","2面2線","","1927年（昭和2年）4月3日","無人駅（自動券売機 有）","796[1]人/日-2019年-","○Y53","","","","","","",""
"五十川駅","五十川駅（いらがわえき）","https://ja.wikipedia.org/wiki/五十川駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","山形県鶴岡市五十川北緯38度40分14.15秒東経139度36分57.40秒座標:北緯38度40分14.15秒 東経139度36分57.40秒","","東日本旅客鉄道（JR東日本）","■羽越本線","115.7 km（新津起点）","ラカ","地上駅","1面2線","19人/日（降車客含まず）-2009年-","1923年（大正12年）3月18日","無人駅","","","","","","","","",""
"伊里駅","伊里駅（いりえき）","https://ja.wikipedia.org/wiki/伊里駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","岡山県備前市穂浪17-1北緯34度44分29.54秒東経134度13分28.07秒﻿ / ﻿北緯34.7415389度 東経134.2244639度﻿ /34.7415389; 134.2244639座標:北緯34度44分29.54秒東経134度13分28.07秒﻿ / ﻿北緯34.7415389度 東経134.2244639度﻿ /34.7415389; 134.2244639","","西日本旅客鉄道（JR西日本）","N赤穂線","27.7km（相生起点）播州赤穂から17.2 km","イリ","地上駅","1面1線","180人/日（降車客含まず）-2019年-","1958年（昭和33年）3月25日","無人駅","","JR-N14","","","","","","",""
"入明駅","入明駅（いりあけえき）","https://ja.wikipedia.org/wiki/入明駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","高知県高知市幸町北緯33度34分2.09秒東経133度31分48.93秒","","四国旅客鉄道（JR四国）","■土讃線","127.9 km（多度津起点）","アケ","高架駅","1面1線","478人/日（降車客含まず）-2018年-","1961年（昭和36年）12月15日","無人駅（自動券売機 有）","956人/日-2018年-","○K01","","","","","","",""
"入生田駅","入生田駅（いりうだえき）","https://ja.wikipedia.org/wiki/入生田駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","神奈川県小田原市入生田190-4北緯35度14分27.0秒東経139度7分15.7秒﻿ / ﻿北緯35.240833度 東経139.121028度﻿ /35.240833; 139.121028座標:北緯35度14分27.0秒東経139度7分15.7秒﻿ / ﻿北緯35.240833度 東経139.121028度﻿ /35.240833; 139.121028","","箱根登山鉄道","鉄道線（箱根登山電車）","4.2 km（小田原起点）","","地上駅","2面2線","521人/日（降車客含まず）-2018年-","1935年（昭和10年）10月1日","標高54m[2]","1,048[1]人/日-2018年-","OH50","","","","","","",""
"入江岡駅","入江岡駅（いりえおかえき）","https://ja.wikipedia.org/wiki/入江岡駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡市清水区浜田町北緯35度0分53.25秒東経138度28分51.45秒﻿ / ﻿北緯35.0147917度 東経138.4809583度﻿ /35.0147917; 138.4809583座標:北緯35度0分53.25秒東経138度28分51.45秒﻿ / ﻿北緯35.0147917度 東経138.4809583度﻿ /35.0147917; 138.4809583","","静岡鉄道","S静岡清水線","10.3 km（新静岡起点）","","地上駅","島式 1面2線","370人/日（降車客含まず）-2018年-","1908年（明治41年）12月9日","","723人/日-2018年-","S 14","","","","","","",""
"杁ヶ池公園駅","杁ヶ池公園駅（いりがいけこうえんえき）","https://ja.wikipedia.org/wiki/杁ヶ池公園駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛知県長久手市杁ヶ池北緯35度10分18.5秒東経137度2分15.5秒﻿ / ﻿北緯35.171806度 東経137.037639度﻿ /35.171806; 137.037639座標:北緯35度10分18.5秒東経137度2分15.5秒﻿ / ﻿北緯35.171806度 東経137.037639度﻿ /35.171806; 137.037639","","愛知高速交通","■東部丘陵線（リニモ）","2.3 km（藤が丘起点）","","高架駅","1面2線","1,571人/日（降車客含まず）-2019年-","2005年（平成17年）3月6日[1]","シンボルマーク：","3,107人/日-2019年-","L03","","","","","","",""
"入曽駅","入曽駅（いりそえき）","https://ja.wikipedia.org/wiki/入曽駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","埼玉県狭山市大字南入曽字堂ノ前原567北緯35度49分57秒東経139度25分38秒﻿ / ﻿北緯35.83250度 東経139.42722度﻿ /35.83250; 139.42722﻿ (入曽駅)座標:北緯35度49分57秒東経139度25分38秒﻿ / ﻿北緯35.83250度 東経139.42722度﻿ /35.83250; 139.42722﻿ (入曽駅)","","西武鉄道","■新宿線","35.6 km（西武新宿起点）","","地上駅","2面2線","","1895年（明治28年）3月21日","","17,764人/日-2019年-","SS25","","","","","","",""
"いりなか駅","いりなか駅","https://ja.wikipedia.org/wiki/いりなか駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","名古屋市昭和区隼人町3-4北緯35度8分36秒東経136度57分19秒﻿ / ﻿北緯35.14333度 東経136.95528度﻿ /35.14333; 136.95528座標:北緯35度8分36秒東経136度57分19秒﻿ / ﻿北緯35.14333度 東経136.95528度﻿ /35.14333; 136.95528","","名古屋市交通局（名古屋市営地下鉄）","鶴舞線","14.1 km（上小田井起点）","","地下駅","2面2線","7,102人/日（降車客含まず）-2019年-","1977年（昭和52年）3月18日","","13,955[1]人/日-2019年-","T14","","","","","","",""
"入野駅 (鹿児島県)","入野駅 (鹿児島県)（いりのえき・九州旅客鉄道指宿枕崎線）","https://ja.wikipedia.org/wiki/入野駅_(鹿児島県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","鹿児島県指宿市開聞十町4479北緯31度12分15.36秒東経130度31分7.41秒","","九州旅客鉄道（JR九州）","指宿枕崎線","62.8 km（鹿児島中央起点）","イノ","地上駅","1面1線","13人/日（降車客含まず）-2015年-","1960年（昭和35年）3月22日","無人駅","27人/日-2015年-","","","","","","","",""
"入広瀬駅","入広瀬駅（いりひろせえき）","https://ja.wikipedia.org/wiki/入広瀬駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東日本旅客鉄道（JR東日本）","■只見線","115.6 km（会津若松起点）","イリ","地上駅","1面1線","31人/日（降車客含まず）-2008年-","1942年（昭和17年）11月1日","無人駅","","","","","","","","",""
"入谷駅 (東京都)","入谷駅 (東京都)（いりやえき・東京地下鉄日比谷線）","https://ja.wikipedia.org/wiki/入谷駅_(東京都)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","東京都台東区入谷一丁目6-4北緯35度43分14.6秒東経139度47分4.5秒﻿ / ﻿北緯35.720722度 東経139.784583度﻿ /35.720722; 139.784583座標:北緯35度43分14.6秒東経139度47分4.5秒﻿ / ﻿北緯35.720722度 東経139.784583度﻿ /35.720722; 139.784583","","東京地下鉄（東京メトロ）","●[1]日比谷線","4.1 km（北千住起点）","イリ","地下駅","2面2線","","1961年（昭和36年）3月28日","","36,129人/日-2019年-","H19[1]","","","","","","",""
"入谷駅 (神奈川県)","入谷駅 (神奈川県)（いりやえき・東日本旅客鉄道相模線）","https://ja.wikipedia.org/wiki/入谷駅_(神奈川県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","神奈川県座間市入谷西五丁目45番1号北緯35度28分43.3秒東経139度23分30.3秒﻿ / ﻿北緯35.478694度 東経139.391750度﻿ /35.478694; 139.391750座標:北緯35度28分43.3秒東経139度23分30.3秒﻿ / ﻿北緯35.478694度 東経139.391750度﻿ /35.478694; 139.391750","","東日本旅客鉄道（JR東日本）","■相模線","18.9 km（茅ケ崎起点）","リヤ","地上駅","1面1線","1,091人/日（降車客含まず）-2007年-","1935年（昭和10年）6月23日","無人駅（乗車駅証明書発行機 有）","","","","","","","","",""
"入山瀬駅","入山瀬駅（いりやませえき）","https://ja.wikipedia.org/wiki/入山瀬駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県富士市鷹岡本町1-1北緯35度11分18秒東経138度38分52秒","","東海旅客鉄道（JR東海）","CC身延線","5.6 km（富士起点）","イリ","地上駅","1面2線","964人/日（降車客含まず）-2019年-","1913年（大正2年）7月20日","業務委託駅（夜間無人駅）JR全線きっぷうりば有","","CC  03 ","","","","","","",""
"医療センター駅","医療センター駅（いりょうセンターえき）","https://ja.wikipedia.org/wiki/医療センター駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","神戸市中央区港島南町一丁目[1]北緯34度39分30.99秒東経135度12分58.92秒﻿ / ﻿北緯34.6586083度 東経135.2163667度﻿ /34.6586083; 135.2163667﻿ (医療センター駅*)座標:北緯34度39分30.99秒東経135度12分58.92秒﻿ / ﻿北緯34.6586083度 東経135.2163667度﻿ /34.6586083; 135.2163667﻿ (医療センター駅*)","","神戸新交通","ポートアイランド線（ポートライナー）","4.6 km（三宮起点）","","高架駅[1]","島式1面2線[1]","7,548人/日（降車客含まず）-2018年-","2006年（平成18年）2月2日[1]","",""," P07 ","","","","","","",""
"入間市駅","入間市駅（いるましえき）","https://ja.wikipedia.org/wiki/入間市駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","埼玉県入間市河原町2-1北緯35度50分31.15秒東経139度23分22.35秒﻿ / ﻿北緯35.8419861度 東経139.3895417度﻿ /35.8419861; 139.3895417﻿ (入間市駅)座標:北緯35度50分31.15秒東経139度23分22.35秒﻿ / ﻿北緯35.8419861度 東経139.3895417度﻿ /35.8419861; 139.3895417﻿ (入間市駅)","","西武鉄道","■池袋線","36.8km（池袋起点）小竹向原から33.4 km","","地上駅（橋上駅）","3面4線","","1915年（大正4年）4月15日","","33,713人/日-2019年-","SI23","","","","","","",""
"入地駅","入地駅（いれじえき）","https://ja.wikipedia.org/wiki/入地駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","茨城県龍ケ崎市入地町351北緯35度55分8.78秒東経140度9分25.58秒座標:北緯35度55分8.78秒 東経140度9分25.58秒","","関東鉄道","竜ヶ崎線","2.2 km（佐貫起点）","","地上駅","1面1線","","1901年（明治34年）1月1日[1][2][3]","","72人/日-2019年-","","","","","","","",""
