"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","開業年月日","駅構造","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","種類","本社所在地","業種","法人番号","代表者","外部リンク"
"沢田駅","沢田駅（さわだえき）","https://ja.wikipedia.org/wiki/沢田駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯38度25分56.3秒東経141度22分56.3秒","■石巻線（■■仙石東北ライン含む）","38.3km（小牛田起点）仙台から塩釜・矢本経由で57.6 km","東日本旅客鉄道（JR東日本）","宮城県石巻市沢田字沢田1714北緯38度25分56.3秒東経141度22分56.3秒座標:北緯38度25分56.3秒 東経141度22分56.3秒","1939年（昭和14年）10月7日[1]","地上駅","1面1線[1]","無人駅[1]","","サタ","","","","","","","","",""
"沢中山駅","沢中山駅（さわなかやまえき）","https://ja.wikipedia.org/wiki/沢中山駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度37分20.24秒東経137度19分15.54秒","■立山線","8.6 km（寺田起点）","富山地方鉄道","富山県中新川郡立山町岩峅寺2-2北緯36度37分20.24秒東経137度19分15.54秒﻿ / ﻿北緯36.6222889度 東経137.3209833度﻿ /36.6222889; 137.3209833﻿ (沢中山駅)座標:北緯36度37分20.24秒東経137度19分15.54秒﻿ / ﻿北緯36.6222889度 東経137.3209833度﻿ /36.6222889; 137.3209833﻿ (沢中山駅)","1921年（大正10年）3月19日","地上駅","単式1面1線","","T50","","","72人/日-2019年-","","","","","","",""
"沢ノ町駅","沢ノ町駅（さわのちょうえき）","https://ja.wikipedia.org/wiki/沢ノ町駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度36分22.2秒東経135度29分49.2秒","■高野線","7.5km（汐見橋起点）難波から6.8 km","南海電気鉄道","大阪市住吉区殿辻二丁目4-3北緯34度36分22.2秒東経135度29分49.2秒﻿ / ﻿北緯34.606167度 東経135.497000度﻿ /34.606167; 135.497000座標:北緯34度36分22.2秒東経135度29分49.2秒﻿ / ﻿北緯34.606167度 東経135.497000度﻿ /34.606167; 135.497000","1942年（昭和17年）2月15日","地上駅","2面2線","無人駅","NK 53","サワ","","","","","","","","",""
"沢間駅","沢間駅（さわまえき）","https://ja.wikipedia.org/wiki/沢間駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度7分28.80秒東経138度8分3.58秒","井川線","2.4 km（千頭起点）","大井川鐵道","静岡県榛原郡川根本町千頭字沢間北緯35度7分28.80秒東経138度8分3.58秒﻿ / ﻿北緯35.1246667度 東経138.1343278度﻿ /35.1246667; 138.1343278座標:北緯35度7分28.80秒東経138度8分3.58秒﻿ / ﻿北緯35.1246667度 東経138.1343278度﻿ /35.1246667; 138.1343278","1959年（昭和34年）8月1日","地上駅","1面1線","終日駅員無配置標高323m駅名標の表記は「澤間」","","","0.2人/日（降車客含まず）-2019年-","0.7人/日-2019年-","","","","","","",""
"沢目駅","沢目駅（さわめえき）","https://ja.wikipedia.org/wiki/沢目駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","■五能線","14.1 km（東能代起点）","東日本旅客鉄道（JR東日本）","","1926年（大正15年）4月26日[1]","地上駅","1面1線[1]","無人駅[1]標高 19.1m[1]","","ワメ","","","","","","","","",""
"佐原駅","佐原駅（さわらえき）","https://ja.wikipedia.org/wiki/佐原駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度53分40.4秒東経140度29分38.6秒","■成田線（■鹿島線直通含む）","40.0 km（佐倉起点）千葉から56.1 km","東日本旅客鉄道（JR東日本）","千葉県香取市佐原イ74北緯35度53分40.4秒東経140度29分38.6秒座標:北緯35度53分40.4秒 東経140度29分38.6秒","1898年（明治31年）2月3日[1]","地上駅","2面4線","直営駅（管理駅）みどりの窓口有","","サラ","3,090人/日（降車客含まず）-2019年-","","","","","","","",""
"沢良宜駅","沢良宜駅（さわらぎえき）","https://ja.wikipedia.org/wiki/沢良宜駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度47分35.25秒東経135度33分56.54秒","■本線","14.5 km（大阪空港起点）","大阪モノレール","大阪府茨木市高浜町北緯34度47分35.25秒東経135度33分56.54秒﻿ / ﻿北緯34.7931250度 東経135.5657056度﻿ /34.7931250; 135.5657056座標:北緯34度47分35.25秒東経135度33分56.54秒﻿ / ﻿北緯34.7931250度 東経135.5657056度﻿ /34.7931250; 135.5657056","1997年（平成9年）8月22日[1]","高架駅","島式 1面2線",""," 20 ","","","","","","","","","",""
"沢渡駅","沢渡駅（さわんどえき）","https://ja.wikipedia.org/wiki/沢渡駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度48分14.92秒東経137度56分38.20秒","CD飯田線","173.4 km（豊橋起点）","東海旅客鉄道（JR東海）日本貨物鉄道（JR貨物）","長野県伊那市西春近[1]沢渡5204北緯35度48分14.92秒東経137度56分38.20秒﻿ / ﻿北緯35.8041444度 東経137.9439444度﻿ /35.8041444; 137.9439444座標:北緯35度48分14.92秒東経137度56分38.20秒﻿ / ﻿北緯35.8041444度 東経137.9439444度﻿ /35.8041444; 137.9439444","1913年（大正2年）12月27日[1]","地上駅","2面2線[1]","駅員無配置駅[1]標高：614m[1]","","ワン[1]","478人/日（降車客含まず）-2018年-","","","","","","","",""
"三ケ根駅","三ケ根駅（さんがねえき）","https://ja.wikipedia.org/wiki/三ケ根駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","CA東海道本線（名古屋地区）","315.5 km（東京起点）","東海旅客鉄道（JR東海）","","1967年（昭和42年）3月20日","地上駅（橋上駅）","2面2線","駅員無配置駅（自動券売機 有）[1]集中旅客サービスシステム導入駅[1]","CA  49 ","サネ","1,013人/日（降車客含まず）-2019年-","","","","","","","",""
"三ヶ森駅","三ヶ森駅（さんがもりえき）","https://ja.wikipedia.org/wiki/三ヶ森駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度50分4.82秒東経130度44分9.81秒","筑豊電気鉄道線","5.0 km（黒崎駅前起点）","筑豊電気鉄道","北九州市八幡西区三ヶ森一丁目12北緯33度50分4.82秒東経130度44分9.81秒","1957年（昭和32年）4月26日","地上駅","2面2線","無人駅","CK 09","","","2,260人/日-2019年-","","","","","","",""
"産業振興センター駅","産業振興センター駅（さんぎょうしんこうセンターえき）","https://ja.wikipedia.org/wiki/産業振興センター駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度21分12.3秒東経139度38分46.6秒","■金沢シーサイドライン","5.0 km（新杉田起点）","横浜シーサイドライン","横浜市金沢区福浦一丁目北緯35度21分12.3秒東経139度38分46.6秒﻿ / ﻿北緯35.353417度 東経139.646278度﻿ /35.353417; 139.646278﻿ (産業振興センター駅)座標:北緯35度21分12.3秒東経139度38分46.6秒﻿ / ﻿北緯35.353417度 東経139.646278度﻿ /35.353417; 139.646278﻿ (産業振興センター駅)","1989年（平成元年）7月5日[1]","高架駅","島式 1面2線","無人駅","7","","2,295人/日（降車客含まず）-2019年-","4,589人/日-2019年-","","","","","","",""
"参宮橋駅","参宮橋駅（さんぐうばしえき）","https://ja.wikipedia.org/wiki/参宮橋駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度40分43秒東経139度41分37秒","小田原線","1.5 km（新宿起点）","小田急電鉄","東京都渋谷区代々木四丁目6番7号北緯35度40分43秒東経139度41分37秒﻿ / ﻿北緯35.67861度 東経139.69361度﻿ /35.67861; 139.69361座標:北緯35度40分43秒東経139度41分37秒﻿ / ﻿北緯35.67861度 東経139.69361度﻿ /35.67861; 139.69361","1927年（昭和9年）4月1日","地上駅","2面2線","","OH03","","","14,612人/日-2019年-","","","","","","",""
"三軒茶屋駅","三軒茶屋駅（さんげんぢゃやえき）","https://ja.wikipedia.org/wiki/三軒茶屋駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度38分36.6秒東経139度40分16.2秒","■田園都市線","3.3 km（渋谷起点）","東急電鉄","東京都世田谷区太子堂二丁目15番（田園都市線）東京都世田谷区太子堂四丁目1番1号（世田谷線）北緯35度38分36.6秒東経139度40分16.2秒﻿ / ﻿北緯35.643500度 東経139.671167度﻿ /35.643500; 139.671167﻿ (東急田園都市線 三軒茶屋駅)座標:北緯35度38分36.6秒東経139度40分16.2秒﻿ / ﻿北緯35.643500度 東経139.671167度﻿ /35.643500; 139.671167﻿ (東急田園都市線 三軒茶屋駅)（田園都市線）北緯35度38分38.8秒東経139度40分8.3秒﻿ / ﻿北緯35.644111度 東経139.668972度﻿ /35.644111; 139.668972﻿ (東急世田谷線 三軒茶屋駅)（世田谷線）","1977年（昭和52年）4月7日（田園都市線）[2]1925年（大正14年）1月18日（世田谷線）1907年（明治37年）3月6日（旧・玉川線）","地下駅（田園都市線）地上駅（世田谷線）","2面2線（田園都市線）2面1線（世田谷線）","","DT03","","","（田園都市線）142,028人/日（世田谷線・全線）116,006人/日-2019年-","","","","","","",""
"三郷駅 (愛知県)","三郷駅 (愛知県)（さんごうえき・名鉄瀬戸線）","https://ja.wikipedia.org/wiki/三郷駅_(愛知県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度12分59秒東経137度3分8秒","瀬戸線","16.1 km（栄町起点）","名古屋鉄道","愛知県尾張旭市三郷町栄92-1北緯35度12分59秒東経137度3分8秒﻿ / ﻿北緯35.21639度 東経137.05222度﻿ /35.21639; 137.05222座標:北緯35度12分59秒東経137度3分8秒﻿ / ﻿北緯35.21639度 東経137.05222度﻿ /35.21639; 137.05222","1905年（明治38年）4月2日","地上駅","相対式 2面2線","終日駅員配置。","ST  16 ","","","9,896人/日-2019年-","","","","","","",""
"三郷駅 (奈良県)","三郷駅 (奈良県)（さんごうえき・西日本旅客鉄道関西本線）","https://ja.wikipedia.org/wiki/三郷駅_(奈良県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","Q関西本線（大和路線）","151.1km（名古屋起点）加茂から30.2 km","西日本旅客鉄道（JR西日本）","","1980年（昭和55年）3月3日","地上駅","2面2線","業務委託駅みどりの券売機プラス設置駅","JR-Q30","サン","2,035人/日（降車客含まず）-2018年-","","","","","","","",""
"三才駅","三才駅（さんさいえき）","https://ja.wikipedia.org/wiki/三才駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度41分8.67秒東経138度14分34.89秒","■北しなの線[1]（■JR飯山線直通含む）","6.8 km（長野起点）","しなの鉄道[1]","長野県長野市大字三才字念仏塚[2]2207北緯36度41分8.67秒東経138度14分34.89秒﻿ / ﻿北緯36.6857417度 東経138.2430250度﻿ /36.6857417; 138.2430250座標:北緯36度41分8.67秒東経138度14分34.89秒﻿ / ﻿北緯36.6857417度 東経138.2430250度﻿ /36.6857417; 138.2430250","1958年（昭和33年）1月8日[2]","地上駅","2面2線[2]","業務委託駅[3]標高：345.1m","","ササ[2]","1,521人/日（降車客含まず）-2019年-","","","","","","","",""
"三十八社駅","三十八社駅（さんじゅうはっしゃえき）","https://ja.wikipedia.org/wiki/三十八社駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度59分21.5秒東経136度11分38秒","福武線","10.9 km（越前武生駅起点）","福井鉄道","福井県福井市下江尻町北緯35度59分21.5秒東経136度11分38秒﻿ / ﻿北緯35.989306度 東経136.19389度﻿ /35.989306; 136.19389座標:北緯35度59分21.5秒東経136度11分38秒﻿ / ﻿北緯35.989306度 東経136.19389度﻿ /35.989306; 136.19389","1927年（昭和2年）6月5日","地上駅","2面2線","無人駅","○F10","","","53人/日-2019年-","","","","","","",""
"山上駅 (東京都)","山上駅 (東京都)（さんじょうえき・高尾登山電鉄エコーリフト）","https://ja.wikipedia.org/wiki/山上駅_(東京都)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","株式会社","日本〒193-8511東京都八王子市高尾町2205","陸運業","8010101002275","取締役社長 船江 栄次","高尾登山電鉄"
"書写山ロープウェー","山上駅 (兵庫県)（さんじょうえき・姫路市書写山ロープウェー）","https://ja.wikipedia.org/wiki/書写山ロープウェー","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"皿倉山ケーブルカー","山上駅 (福岡県)（さんじょうえき・皿倉登山鉄道皿倉山ケーブルカー）","https://ja.wikipedia.org/wiki/皿倉山ケーブルカー","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三条駅 (新潟県)","三条駅 (新潟県)（さんじょうえき・東日本旅客鉄道信越本線）","https://ja.wikipedia.org/wiki/三条駅_(新潟県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯37度37分15.33秒東経138度57分38.13秒","■信越本線","94.6 km（直江津起点）","東日本旅客鉄道（JR東日本）","新潟県三条市南新保[1]15-12北緯37度37分15.33秒東経138度57分38.13秒﻿ / ﻿北緯37.6209250度 東経138.9605917度﻿ /37.6209250; 138.9605917座標:北緯37度37分15.33秒東経138度57分38.13秒﻿ / ﻿北緯37.6209250度 東経138.9605917度﻿ /37.6209250; 138.9605917","1898年（明治31年）6月16日[1]","地上駅","2面2線[1]","業務委託駅みどりの窓口有[1]","","サシ","1,812人/日（降車客含まず）-2019年-","","","","","","","",""
"三条駅 (京都府)","三条駅 (京都府)（さんじょうえき・京阪本線・鴨東線）","https://ja.wikipedia.org/wiki/三条駅_(京都府)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度0分32.81秒東経135度46分20.19秒","■京阪本線*","49.3 km（淀屋橋起点）","京阪電気鉄道","京都市東山区三条大橋東詰[1]北緯35度0分32.81秒東経135度46分20.19秒﻿ / ﻿北緯35.0091139度 東経135.7722750度﻿ /35.0091139; 135.7722750﻿ (三条駅)座標:北緯35度0分32.81秒東経135度46分20.19秒﻿ / ﻿北緯35.0091139度 東経135.7722750度﻿ /35.0091139; 135.7722750﻿ (三条駅)","1915年（大正4年）10月27日","地下駅","2面4線","*両線で直通運転を実施","KH  40","三（駅名略称方式）","","35,617人/日-2019年-","地下鉄東西線（三条京阪駅）","","","","","",""
"三条駅 (香川県)","三条駅 (香川県)（さんじょうえき・高松琴平電気鉄道琴平線）","https://ja.wikipedia.org/wiki/三条駅_(香川県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度19分11秒東経134度2分58.1秒","■琴平線","3.9 km（高松築港起点）","高松琴平電気鉄道","香川県高松市上之町二丁目1244番地3北緯34度19分11秒東経134度2分58.1秒﻿ / ﻿北緯34.31972度 東経134.049472度﻿ /34.31972; 134.049472座標:北緯34度19分11秒東経134度2分58.1秒﻿ / ﻿北緯34.31972度 東経134.049472度﻿ /34.31972; 134.049472","1956年（昭和31年）3月1日","地上駅","相対式2面2線",""," K04 ","","","3,125人/日-2018年-","","","","","","",""
"三条京阪駅","三条京阪駅（さんじょうけいはんえき）","https://ja.wikipedia.org/wiki/三条京阪駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度0分33.4秒東経135度46分25.5秒","東西線","12.1 km（六地蔵起点）","京都市交通局（京都市営地下鉄）","京都市東山区大橋町北緯35度0分33.4秒東経135度46分25.5秒﻿ / ﻿北緯35.009278度 東経135.773750度﻿ /35.009278; 135.773750﻿ (三条京阪駅)座標:北緯35度0分33.4秒東経135度46分25.5秒﻿ / ﻿北緯35.009278度 東経135.773750度﻿ /35.009278; 135.773750﻿ (三条京阪駅)","1997年（平成9年）10月12日","地下駅","1面2線","","●T11","","","27,096人/日-2019年-","三条駅（京阪本線・鴨東線）","","","","","",""
"御在所ロープウェイ","山上公園駅（さんじょうこうえんえき）","https://ja.wikipedia.org/wiki/御在所ロープウェイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","株式会社","日本〒510-1233三重県三重郡菰野町大字菰野8625番地","陸運業","6190001017382","代表取締役社長 辻智幸","https://www.gozaisho.co.jp/"
"三瀬駅","三瀬駅（さんぜえき）","https://ja.wikipedia.org/wiki/三瀬駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯38度41分58.3秒東経139度40分24.7秒","■羽越本線","123.2 km（新津起点）","東日本旅客鉄道（JR東日本）","山形県鶴岡市三瀬丁88北緯38度41分58.3秒東経139度40分24.7秒座標:北緯38度41分58.3秒 東経139度40分24.7秒","1922年（大正11年）5月22日","地上駅","2面3線","無人駅","","サン","58人/日（降車客含まず）-2009年-","","","","","","","",""
"三田駅 (兵庫県)","三田駅 (兵庫県)（さんだえき・西日本旅客鉄道福知山線・神戸電鉄三田線）","https://ja.wikipedia.org/wiki/三田駅_(兵庫県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）神戸電鉄（駅詳細）","兵庫県三田市駅前町","","","","標高：146m","","","","","","","","","","",""
"三田本町駅","三田本町駅（さんだほんまちえき）","https://ja.wikipedia.org/wiki/三田本町駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度52分54.44秒東経135度13分46.30秒","三田線（公園都市線直通含む）","11.0km（有馬口起点）湊川から31.0km新開地から31.4km三田から1.0 km","神戸電鉄","兵庫県三田市相生町12-5[1]北緯34度52分54.44秒東経135度13分46.30秒﻿ / ﻿北緯34.8817889度 東経135.2295278度﻿ /34.8817889; 135.2295278座標:北緯34度52分54.44秒東経135度13分46.30秒﻿ / ﻿北緯34.8817889度 東経135.2295278度﻿ /34.8817889; 135.2295278","1929年（昭和4年）10月10日[1][3]","地上駅[1]","1面2線[1]","無人駅[1]","○KB28","","338人/日（降車客含まず）-2019年-","773[2]人/日-2019年-","","","","","","",""
"サッポロテイネ","山頂駅 (北海道札幌市)（さんちょうえき・手稲山ロープウェイ・休止中）","https://ja.wikipedia.org/wiki/サッポロテイネ#手稲山ロープウェイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯43度05分53秒東経141度12分37秒","","","","〒006-0029札幌市手稲区手稲本町593","","","","","","","","","","","","","","",""
"函館山ロープウェイ","山頂駅 (北海道函館市)（さんちょうえき・函館山ロープウェイ）","https://ja.wikipedia.org/wiki/函館山ロープウェイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","株式会社","日本〒040-0054北海道函館市元町19番7号","陸運業","9440001001770","代表取締役社長 竹村 隆","http://www.334.co.jp/"
"富良野プリンスホテル","山頂駅 (北海道富良野市)（さんちょうえき・富良野ロープウェー）","https://ja.wikipedia.org/wiki/富良野プリンスホテル#富良野ロープウェー","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯43度20分25秒東経142度21分30秒","","","","〒076-0034北海道富良野市北の峰町18-6","","","","","","","","","","","","","","",""
"小樽天狗山ロープウエイ","山頂駅 (北海道小樽市)（さんちょうえき・小樽天狗山ロープウエイ）","https://ja.wikipedia.org/wiki/小樽天狗山ロープウエイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"船岡城","山頂駅 (宮城県)（さんちょうえき・柴田町船岡城址公園スロープカー）","https://ja.wikipedia.org/wiki/船岡城#昇降施設","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯38度3分12.6秒東経140度45分17.8秒","","","","","","","","","","","","","","","","","","",""
"那須ロープウェイ","山頂駅 (栃木県)（さんちょうえき・関東自動車那須ロープウェイ）","https://ja.wikipedia.org/wiki/那須ロープウェイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八海山ロープウェー","山頂駅 (新潟県南魚沼市)（さんちょうえき・プリンスホテル八海山ロープウェー）","https://ja.wikipedia.org/wiki/八海山ロープウェー","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"弥彦山ロープウェイ","山頂駅 (新潟県弥彦村)（さんちょうえき・弥彦観光索道弥彦山ロープウェイ）","https://ja.wikipedia.org/wiki/弥彦山ロープウェイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","株式会社","日本〒959-0323新潟県西蒲原郡弥彦村大字弥彦2898番地","陸運業","3110001016262","加藤治（代表取締役社長）","http://www.hotel-juraku.co.jp/yahiko/"
"湯沢高原ロープウェイ","山頂駅 (新潟県湯沢町)（さんちょうえき・ハイランドパーク湯沢高原ロープウェイ）","https://ja.wikipedia.org/wiki/湯沢高原ロープウェイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ドラゴンドラ","山頂駅 (新潟県湯沢町)（さんちょうえき・プリンスホテル苗場・田代ゴンドラ）","https://ja.wikipedia.org/wiki/ドラゴンドラ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北八ヶ岳ロープウエイ","山頂駅 (長野県)（さんちょうえき・北八ヶ岳リゾート北八ヶ岳ロープウエイ）","https://ja.wikipedia.org/wiki/北八ヶ岳ロープウエイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊豆の国パノラマパークロープウェイ","山頂駅 (静岡県)（さんちょうえき・NCリゾートマネージメント伊豆の国パノラマパークロープウェイ）","https://ja.wikipedia.org/wiki/伊豆の国パノラマパークロープウェイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"びわ湖バレイ","山頂駅 (滋賀県)（さんちょうえき・アルピナBIびわ湖バレイロープウェイ）","https://ja.wikipedia.org/wiki/びわ湖バレイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度12分10.6秒東経135度54分25.4秒","","","","滋賀県大津市木戸1547-1","","","","","","","","","","","","","","",""
"千光寺山ロープウェイ","山頂駅 (広島県)（さんちょうえき・おのみちバス千光寺山ロープウェイ）","https://ja.wikipedia.org/wiki/千光寺山ロープウェイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"眉山ロープウェイ","山頂駅 (徳島県・眉山ロープウェイ)（さんちょうえき・眉山ロープウェイ）","https://ja.wikipedia.org/wiki/眉山ロープウェイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"箸蔵山ロープウェイ","山頂駅 (徳島県・箸蔵山ロープウェイ)（さんちょうえき・箸蔵山ロープウェイ）","https://ja.wikipedia.org/wiki/箸蔵山ロープウェイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"雲辺寺ロープウェイ","山頂駅 (香川県)（さんちょうえき・四国ケーブル雲辺寺ロープウェイ）","https://ja.wikipedia.org/wiki/雲辺寺ロープウェイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"稲佐山","山頂駅 (長崎県)（さんちょうえき・長崎稲佐山スロープカー）","https://ja.wikipedia.org/wiki/稲佐山","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯32度45分12.1秒東経129度50分57.6秒","","","","日本長崎県長崎市","","","","","","","","","","","","","","",""
"八甲田ロープウェー","山頂公園駅（さんちょうこうえんえき）","https://ja.wikipedia.org/wiki/八甲田ロープウェー","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","株式会社","日本〒030-0188青森市大字荒川字寒水沢1-12","陸運業","9420001001707","代表取締役社長 柳谷章二","http://www.hakkoda-ropeway.jp/"
"石鎚登山ロープウェイ","山頂成就駅（さんちょうじょうじゅえき）","https://ja.wikipedia.org/wiki/石鎚登山ロープウェイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","株式会社","日本〒793-0215　愛媛県西条市西之川下谷甲81番地","陸運業","1500001008874","代表取締役社長伊藤和豊","http://www.ishizuchi.com/"
"山東駅","山東駅（さんどうえき・和歌山電鐵貴志川線）","https://ja.wikipedia.org/wiki/山東駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度12分21.16秒東経135度15分44.59秒","貴志川線","9.1 km（和歌山起点）","和歌山電鐵","和歌山県和歌山市永山北緯34度12分21.16秒東経135度15分44.59秒座標:北緯34度12分21.16秒 東経135度15分44.59秒","1933年（昭和8年）8月18日","地上駅","1面1線","無人駅","○10","サト","","68人/日-2019年-","","","","","","",""
"英彦山花園スロープカー","参道駅（さんどうえき・添田町英彦山花園スロープカー）","https://ja.wikipedia.org/wiki/英彦山花園スロープカー#乗降場","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
