"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","専門分野","事業主体","管理運営","外部リンク","正式名称","延床面積","前身","アクセス","館長","愛称","建物設計","来館者数","収蔵作品数","閉館","公式サイト","研究職員"
"五十崎凧博物館","[五十崎凧博物館] 五十崎凧博物館 （いかざきたこはくぶつかん）は、 愛媛県 喜多郡 内子町 にある内子町立の 凧 の 博物館 である。","https://ja.wikipedia.org/wiki/五十崎凧博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度32分22.87秒東経132度39分23.77秒","〒795-0301愛媛県喜多郡内子町五十崎甲1437番地","北緯33度32分22.87秒東経132度39分23.77秒﻿ / ﻿北緯33.5396861度 東経132.6566028度﻿ /33.5396861; 132.6566028座標:北緯33度32分22.87秒東経132度39分23.77秒﻿ / ﻿北緯33.5396861度 東経132.6566028度﻿ /33.5396861; 132.6566028","1989年5月4日","凧","内子町","内子町","www.ikazaki.ne.jp/takohaku","内子町五十崎凧博物館","","五十崎町立凧博物館","","","","","","","","",""
"伊丹十三記念館","[伊丹十三記念館] 伊丹十三記念館 （いたみじゅうぞうきねんかん）は、 1997年 12月に亡くなった映画監督・俳優・エッセイスト等として活躍した 伊丹十三 のゆかりの品などを展示する愛媛県の登録 博物館 。運営は、 公益財団法人 ITM伊丹記念財団。","https://ja.wikipedia.org/wiki/伊丹十三記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度49分4.75秒東経132度46分41.23秒","〒790-0932愛媛県松山市東石井1丁目6番10号","北緯33度49分4.75秒東経132度46分41.23秒﻿ / ﻿北緯33.8179861度 東経132.7781194度﻿ /33.8179861; 132.7781194","2007年5月15日","伊丹十三","","公益財団法人ITM伊丹記念財団","https://itami-kinenkan.jp/","","860.90m2","","","宮本信子","","中村好文・レミングハウス","","","","",""
"今治市村上海賊ミュージアム","[今治市村上海賊ミュージアム] 今治市村上海賊ミュージアム （いまばりしむらかみかいぞくミュージアム）は、 愛媛県 今治市 の 博物館 である。","https://ja.wikipedia.org/wiki/今治市村上海賊ミュージアム","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯34度10分7.8秒東経133度5分14.8秒","〒794-2203愛媛県今治市宮窪町宮窪1285番地","北緯34度10分7.8秒東経133度5分14.8秒﻿ / ﻿北緯34.168833度 東経133.087444度﻿ /34.168833; 133.087444","2004年","歴史","","今治市","村上海賊ミュージアム","","","","","矢野 敏彦","","","","","","",""
"宇和島市立伊達博物館","[宇和島市立伊達博物館] 宇和島市立伊達博物館 （うわじましりつだてはくぶつかん）は、 愛媛県 宇和島市 にある博物館である。 1974年 に開館。","https://ja.wikipedia.org/wiki/宇和島市立伊達博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度12分57秒東経132度33分46秒","〒798-0061愛媛県宇和島市御殿町9-14","北緯33度12分57秒東経132度33分46秒﻿ / ﻿北緯33.21594度 東経132.56264度﻿ /33.21594; 132.56264座標:北緯33度12分57秒東経132度33分46秒﻿ / ﻿北緯33.21594度 東経132.56264度﻿ /33.21594; 132.56264","1974年","郷土資料館","","","","宇和島市立伊達博物館","","","","","","","","","","",""
"宇和島市立歴史資料館","[宇和島市立歴史資料館] 宇和島市立歴史資料館 （うわじましりつれきししりょうかん）は 愛媛県 宇和島市 の博物館である。","https://ja.wikipedia.org/wiki/宇和島市立歴史資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度13分35秒東経132度33分17秒","〒798-0003愛媛県宇和島市住吉町2丁目4-36","","","","","","","","","","","","","","","","","",""
"愛媛県生涯学習センター","[愛媛県生涯学習センター] 愛媛県生涯学習センター （えひめけんしょうがいがくしゅうセンター）は、 愛媛県 松山市 にある 生涯学習 のための 施設 。","https://ja.wikipedia.org/wiki/愛媛県生涯学習センター","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度46分29.9秒東経132度48分8.3秒","〒791-1136愛媛県松山市上野町甲650","北緯33度46分29.9秒東経132度48分8.3秒﻿ / ﻿北緯33.774972度 東経132.802306度﻿ /33.774972; 132.802306座標:北緯33度46分29.9秒東経132度48分8.3秒﻿ / ﻿北緯33.774972度 東経132.802306度﻿ /33.774972; 132.802306","","","","株式会社レスパスコーポレーション（指定管理者）","","","","","","","","","","","","",""
"愛媛県総合科学博物館","[愛媛県総合科学博物館] 愛媛県総合科学博物館 （えひめけんそうごうかがくはくぶつかん）は、 愛媛県 新居浜市 にある県立の 博物館 。","https://ja.wikipedia.org/wiki/愛媛県総合科学博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度54分36秒東経133度14分42秒","〒792-0060愛媛県新居浜市大生院2133-2","北緯33度54分36秒東経133度14分42秒﻿ / ﻿北緯33.910076度 東経133.244875度﻿ /33.910076; 133.244875","1994年","総合科学","愛媛県","","愛媛県総合科学博物館","","","","","","","","","","","",""
"愛媛県歴史文化博物館","[愛媛県歴史文化博物館] 愛媛県歴史文化博物館 （えひめけんれきしぶんかはくぶつかん）は 1994年 11月 に 愛媛県 東宇和郡 宇和町 （現・ 西予市 ）に開館した 博物館 。愛媛県の歴史や民俗が紹介され、 南予地域 の拠点として使われている。","https://ja.wikipedia.org/wiki/愛媛県歴史文化博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度21分49.1秒東経132度31分5.9秒","〒797-8511愛媛県西予市宇和町卯之町4-11-2","北緯33度21分49.1秒東経132度31分5.9秒﻿ / ﻿北緯33.363639度 東経132.518306度﻿ /33.363639; 132.518306","1994年11月","歴史","","愛媛県","https://www.i-rekihaku.jp/","","17,240m2","","","","","","","","","",""
"愛媛大学ミュージアム","[愛媛大学ミュージアム] 愛媛大学ミュージアム （えひめだいがくみゅーじあむ）は 愛媛県 松山市 にある 愛媛大学 城北キャンパス構内の 大学博物館 である。","https://ja.wikipedia.org/wiki/愛媛大学ミュージアム","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度50分59.6秒東経132度46分17.6秒","〒790-8577愛媛県松山市文京町3","北緯33度50分59.6秒東経132度46分17.6秒﻿ / ﻿北緯33.849889度 東経132.771556度﻿ /33.849889; 132.771556座標:北緯33度50分59.6秒東経132度46分17.6秒﻿ / ﻿北緯33.849889度 東経132.771556度﻿ /33.849889; 132.771556","2009年11月14日","","","国立大学法人愛媛大学","https://www.ehime-u.ac.jp/overview/facilities/museum/","","","","","","","","","","","",""
"面河山岳博物館","[面河山岳博物館] 面河山岳博物館 （おもごさんがくはくぶつかん）は、 愛媛県 上浮穴郡 久万高原町 にある町立の 博物館 である。","https://ja.wikipedia.org/wiki/面河山岳博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度42分54.7秒東経133度5分36秒","〒791-1710日本愛媛県上浮穴郡久万高原町若山650番地1","北緯33度42分54.7秒東経133度5分36秒﻿ / ﻿北緯33.715194度 東経133.09333度﻿ /33.715194; 133.09333","1991年","","久万高原町","久万高原町","面河山岳博物館","面河山岳博物館","","","","","","","","","","",""
"開明学校","[開明学校] 開明学校 （かいめいがっこう）は1882年（明治15年）に 愛媛県西予市 宇和町(旧・ 東宇和郡宇和町 )に建てられた、四国最古の小学校である。 重要伝統的建造物群保存地区 として選定されている宇和文化の里（ 宇和町卯之町 ）の施設のひとつ  。","https://ja.wikipedia.org/wiki/開明学校","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度21分51.3秒東経132度30分49.0秒","愛媛県西予市宇和町卯之町三丁目110番地","","","","","","","","","","","","","","","","","",""
"紙のまち資料館","[紙のまち資料館] 紙のまち資料館 （かみのまちしりょうかん）は、 愛媛県 四国中央市 立の 紙 に関する資料館である。","https://ja.wikipedia.org/wiki/紙のまち資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","","四国中央市川之江町4069-1","","1988年5月","","四国中央市","四国中央市","","四国中央市紙のまち資料館","","","","","","","","","","",""
"かわのえ高原ふるさと館","[かわのえ高原ふるさと館] かわのえ高原ふるさと館 （かわのえたかはらふるさとかん）は、 愛媛県 四国中央市 が管理運営する郷土資料館である。","https://ja.wikipedia.org/wiki/かわのえ高原ふるさと館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","","〒799-0101四国中央市川之江町2217-83","","","","四国中央市","","","かわのえ高原ふるさと館","","","","","ふるさと館","","","","","",""
"来島海峡展望館","[来島海峡展望館] 来島海峡展望館 （くるしまかいきょうてんぼうかん）は、 愛媛県 今治市 の 来島海峡 に面する所にある 展望台 である。","https://ja.wikipedia.org/wiki/来島海峡展望館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯34度6分50.49秒東経132度58分40.2秒","愛媛県今治市小浦町2丁目5-2","北緯34度6分50.49秒東経132度58分40.2秒﻿ / ﻿北緯34.1140250度 東経132.977833度﻿ /34.1140250; 132.977833座標:北緯34度6分50.49秒東経132度58分40.2秒﻿ / ﻿北緯34.1140250度 東経132.977833度﻿ /34.1140250; 132.977833","","","","","","","","","","","","","","","","",""
"坂の上の雲ミュージアム","[坂の上の雲ミュージアム] 坂の上の雲ミュージアム （さかのうえのくもミュージアム）は、 愛媛県 松山市 にある 博物館 で、同市が取り組んでいる 司馬遼太郎 の 小説 『 坂の上の雲 』を軸とした21世紀のまちづくりの中核施設である。","https://ja.wikipedia.org/wiki/坂の上の雲ミュージアム","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度50分30.376秒東経132度46分9.149秒","〒790-0001愛媛県松山市一番町三丁目20番地","北緯33度50分30.376秒東経132度46分9.149秒﻿ / ﻿北緯33.84177111度 東経132.76920806度﻿ /33.84177111; 132.76920806座標:北緯33度50分30.376秒東経132度46分9.149秒﻿ / ﻿北緯33.84177111度 東経132.76920806度﻿ /33.84177111; 132.76920806","2007年4月28日","文学・歴史","松山市","四電ビジネス株式会社（指定管理者）","坂の上の雲ミュージアム","松山市坂の上の雲ミュージアム","3122.83m2","","","松本啓治","","安藤忠雄建築研究所森村設計","","","","",""
"四国鉄道文化館","[四国鉄道文化館] 施設は公益財団法人 日本ナショナルトラスト が建設し、西条市が同財団から管理運営を受託しており、南北に2館の展示施設が設けられている。また同市が管理運営を行う 十河信二記念館 （そごうしんじきねんかん）と、 西条市観光交流センター （さいじょうし かんこうこうりゅうセンター）の計4施設と合わせ、同市では愛称を「 鉄道歴史パーク in SAIJO 」とし、観光・交流施設群として一体的に運営している。","https://ja.wikipedia.org/wiki/四国鉄道文化館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度54分46秒東経133度11分18秒","〒793-0030西条市大町798番地1","北緯33度54分46秒東経133度11分18秒﻿ / ﻿北緯33.91278度 東経133.18833度﻿ /33.91278; 133.18833","2007年11月26日","鉄道","日本ナショナルトラスト、四国旅客鉄道（JR四国）","西条市","公式サイト","","","","JR予讃線伊予西条駅からすぐ。","尾崎俊","","約500m2","26,946人（2013年度）","","","",""
"砥部焼伝統産業会館","[砥部焼伝統産業会館] 砥部焼伝統産業会館 （とべやきでんとうさんぎょうかいかん）は、 愛媛県 伊予郡 砥部町 にある 博物館  である。","https://ja.wikipedia.org/wiki/砥部焼伝統産業会館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度44分21.4秒東経132度47分30.8秒","〒791-2131愛媛県伊予郡砥部町大南335番地","北緯33度44分21.4秒東経132度47分30.8秒﻿ / ﻿北緯33.739278度 東経132.791889度﻿ /33.739278; 132.791889座標:北緯33度44分21.4秒東経132度47分30.8秒﻿ / ﻿北緯33.739278度 東経132.791889度﻿ /33.739278; 132.791889","9:00","砥部焼","","","砥部焼伝統産業会館","砥部焼伝統産業会館","","","松山市駅から伊予鉄道路線バス砥部線（大街道経由）「砥部断層口」または「砥部大岩橋」行きにて、松山市駅」-「砥部焼伝統産業会館前」停留所下車（徒歩 約1分)松山自動車道松山ICから国道33号利用 約15分","","","","","","17:00","",""
"広瀬歴史記念館","[広瀬歴史記念館] 広瀬歴史記念館 （ひろせれきしきねんかん）は 愛媛県 新居浜市 にある 博物館 。 明治維新 の動乱から 別子銅山 を守り、さらに近代化を促進した 広瀬宰平 の業績やその生活ぶりを後世に伝えるために新居浜市が設置した。 広瀬公園 の中にあり、展示館と旧広瀬邸からなる。","https://ja.wikipedia.org/wiki/広瀬歴史記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度55分8秒東経133度17分10秒","〒792-0046新居浜市上原二丁目10-42（展示館）新居浜市上原二丁目10-52（旧広瀬邸）","北緯33度55分8秒東経133度17分10秒﻿ / ﻿北緯33.91889度 東経133.28611度﻿ /33.91889; 133.28611座標:北緯33度55分8秒東経133度17分10秒﻿ / ﻿北緯33.91889度 東経133.28611度﻿ /33.91889; 133.28611","1997年","","新居浜市","新居浜市","広瀬歴史記念館","新居浜市広瀬歴史記念館","","","","","","日建設計、石本建築事務所","","","","",""
"別子銅山記念館","[別子銅山記念館] 別子銅山記念館 （べっしどうざんきねんかん）は、 愛媛県 新居浜市 の山根公園に隣接する博物館。","https://ja.wikipedia.org/wiki/別子銅山記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度55分17秒東経133度18分34秒","〒792−0846愛媛県新居浜市角野新田町3−13","北緯33度55分17秒東経133度18分34秒﻿ / ﻿北緯33.92135度 東経133.30941度﻿ /33.92135; 133.30941座標:北緯33度55分17秒東経133度18分34秒﻿ / ﻿北緯33.92135度 東経133.30941度﻿ /33.92135; 133.30941","1975年6月13日","","","","","","","","","","","","","","","",""
"松山市考古館","[松山市考古館] 松山市考古館 （まつやましこうこかん）は、 愛媛県 松山市 にある 考古学 博物館 。","https://ja.wikipedia.org/wiki/松山市考古館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度50分23.28秒東経132度44分6.922秒","〒791-8032愛媛県松山市南斎院町乙67番6号","北緯33度50分23.28秒東経132度44分6.922秒﻿ / ﻿北緯33.8398000度 東経132.73525611度﻿ /33.8398000; 132.73525611座標:北緯33度50分23.28秒東経132度44分6.922秒﻿ / ﻿北緯33.8398000度 東経132.73525611度﻿ /33.8398000; 132.73525611","1989年10月31日","考古学","松山市","公益財団法人松山市文化・スポーツ振興財団","公式サイト","","2,998m2","","","","","","","","","",""
"松山市立子規記念博物館","[松山市立子規記念博物館] 松山市立子規記念博物館 （まつやましりつしききねんはくぶつかん）は、 俳人 正岡子規 を記念し 1981年 4月2日 に開館した 愛媛県 松山市 立の 博物館 。","https://ja.wikipedia.org/wiki/松山市立子規記念博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度50分58.8秒東経132度47分13.8秒","〒790-0857愛媛県松山市道後公園1-30","北緯33度50分58.8秒東経132度47分13.8秒﻿ / ﻿北緯33.849667度 東経132.787167度﻿ /33.849667; 132.787167座標:北緯33度50分58.8秒東経132度47分13.8秒﻿ / ﻿北緯33.849667度 東経132.787167度﻿ /33.849667; 132.787167","1981年4月2日","","松山市","株式会社レスパスコーポレーション（指定管理者）","松山市立子規記念博物館","松山市立子規記念博物館","","","","竹田美喜（2007年～）","","","","","","",""
"村上三島記念館","[村上三島記念館（今治市上浦歴史民俗資料館）] 村上三島記念館 （むらかみさんとうきねんかん）は、 書家 村上三島 の故郷である 愛媛県 今治市 上浦町 に立地している書道美術館である。","https://ja.wikipedia.org/wiki/村上三島記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯34度15分20.5秒 東経133度3分12.9秒","〒794-1402愛媛県今治市上浦町井口7505","","1982年","書道","","今治市","http://museum.city.imabari.ehime.jp/santou/","今治市上浦歴史民俗資料館","","上浦町歴史民俗資料館","大三島バスストップから徒歩で約10分。","","","","","","","",""
"藍の館","[藍の館] 藍の館 （あいのやかた）は、 徳島県 板野郡 藍住町 にある 藍 に関する 博物館 。藍住町の歴史館。 とくしま88景 に選定。 阿波歴史文化道 に指定。","https://ja.wikipedia.org/wiki/藍の館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯34度6分56.2秒東経134度28分56.2秒","〒771-1212板野郡藍住町徳命字前須西","北緯34度6分56.2秒東経134度28分56.2秒﻿ / ﻿北緯34.115611度 東経134.482278度﻿ /34.115611; 134.482278座標:北緯34度6分56.2秒東経134度28分56.2秒﻿ / ﻿北緯34.115611度 東経134.482278度﻿ /34.115611; 134.482278","","藍住町の歴史","徳島市","","","藍住町歴史館 藍の館","","","","","","","","","","",""
"あすたむらんど徳島","[あすたむらんど徳島] あすたむらんど徳島 （あすたむらんどとくしま）は、 徳島県 板野郡 板野町 にある、子ども向けの科学教育をテーマとした徳島県立の 科学館 及び 公園 である。正式名称は、 徳島県立あすたむらんど  。2001年7月1日にオープンした   。管理・運営は 指定管理者制度 により、株式会社ネオビエントが行っている。","https://ja.wikipedia.org/wiki/あすたむらんど徳島","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯34度9分8.2秒東経134度26分27.8秒","日本徳島県板野郡板野町那東字キビガ谷45-22","","","","","","","","","","","","","","","","","",""
"阿南市科学センター","[阿南市科学センター] 阿南市科学センター （あなんしかがくセンター、Anan science center）は、 徳島県 阿南市 那賀川町上福井 にある科学施設。","https://ja.wikipedia.org/wiki/阿南市科学センター","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯33度56分55.9秒東経134度40分54.1秒","〒779-1243日本徳島県阿南市那賀川町上福井南川渕8-1","北緯33度56分55.9秒東経134度40分54.1秒﻿ / ﻿北緯33.948861度 東経134.681694度﻿ /33.948861; 134.681694座標:北緯33度56分55.9秒東経134度40分54.1秒﻿ / ﻿北緯33.948861度 東経134.681694度﻿ /33.948861; 134.681694","1997年7月","","阿南市","阿南市教育委員会","http://www.ananscience.jp/science/","阿南市科学センター","","那賀川町科学センター","","阿南市教育委員会次長兼務","","","","","","",""
"阿波おどり会館","[阿波おどり会館] 阿波おどり会館 （あわおどりかいかん）は、 徳島県 徳島市 が設置する  阿波おどり 関連の展示、実演を行う文化施設である。毎年8月の お盆 期間4日間に開催される日本の著名な 伝統芸能 の一つである阿波おどりが年間を通じて楽しめることを コンセプト にしている。当会館は阿波おどりの高張り提灯をモチーフとして逆台形のユニークな外観に設計されており、 1999年 （ 平成 11年）7月に開館した。","https://ja.wikipedia.org/wiki/阿波おどり会館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯34度4分12.5秒東経134度32分42.3秒","〒770-0904徳島県徳島市新町橋二丁目20番地","北緯34度4分12.5秒東経134度32分42.3秒﻿ / ﻿北緯34.070139度 東経134.545083度﻿ /34.070139; 134.545083座標:北緯34度4分12.5秒東経134度32分42.3秒﻿ / ﻿北緯34.070139度 東経134.545083度﻿ /34.070139; 134.545083","1999年7月31日","伝統芸能","徳島市","阿波おどり会館・眉山ロープウェイ運営共同事業体（徳島新聞社・エアトラベル徳島から構成）","","阿波おどり会館","5,252.61","徳島市シビックセンター","","","","","","","","",""
"阿波銀プラザ","[阿波銀プラザ] 阿波銀プラザ （あわぎんプラザ）は、 徳島県 徳島市 東新町 にある 阿波銀行 が管理・運営している ギャラリー である。","https://ja.wikipedia.org/wiki/阿波銀プラザ","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯34度4分13.1秒東経134度32分49.2秒","〒770-0912徳島県徳島市東新町1丁目29番地","北緯34度4分13.1秒東経134度32分49.2秒﻿ / ﻿北緯34.070306度 東経134.547000度﻿ /34.070306; 134.547000﻿ (阿波銀プラザ)座標:北緯34度4分13.1秒東経134度32分49.2秒﻿ / ﻿北緯34.070306度 東経134.547000度﻿ /34.070306; 134.547000﻿ (阿波銀プラザ)","1997年","","阿波銀行","阿波銀行","","","","","","","","","","","","",""
"阿波十郎兵衛屋敷","[阿波十郎兵衛屋敷] 徳島県立 阿波十郎兵衛屋敷 （とくしまけんりつ あわじゅうろうべえやしき）は、 徳島県 徳島市 川内町 に位置する 人形浄瑠璃 「傾城阿波鳴門」で知られる 板東十郎兵衛 の 屋敷跡 。 とくしま88景 に選定。 阿波歴史文化道 に指定。","https://ja.wikipedia.org/wiki/阿波十郎兵衛屋敷","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯34度5分29.6秒東経134度35分2.3秒","〒771-0114徳島市川内町宮島本浦184","北緯34度5分29.6秒東経134度35分2.3秒﻿ / ﻿北緯34.091556度 東経134.583972度﻿ /34.091556; 134.583972﻿ (阿波十郎兵衛屋敷)座標:北緯34度5分29.6秒東経134度35分2.3秒﻿ / ﻿北緯34.091556度 東経134.583972度﻿ /34.091556; 134.583972﻿ (阿波十郎兵衛屋敷)","","人形浄瑠璃に関する資料","徳島県","徳島県","","徳島県立阿波十郎兵衛屋敷","","","","","","","","","","",""
"阿波木偶館","[阿波木偶館] 阿波木偶館 （あわでこかん）は、 徳島県 徳島市 国府町中 にある木偶人形に関する施設。","https://ja.wikipedia.org/wiki/阿波木偶館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯34度3分58.8秒東経134度28分46.6秒","〒779-3124徳島県徳島市国府町中201","北緯34度3分58.8秒東経134度28分46.6秒﻿ / ﻿北緯34.066333度 東経134.479611度﻿ /34.066333; 134.479611﻿ (阿波木偶館)座標:北緯34度3分58.8秒東経134度28分46.6秒﻿ / ﻿北緯34.066333度 東経134.479611度﻿ /34.066333; 134.479611﻿ (阿波木偶館)","1988年（昭和63年）","木偶人形","徳島市","個人","","","","","","","","","","","","",""
"阿波木偶人形会館","[阿波木偶人形会館] 阿波木偶人形会館 （あわでこにんぎょうかいかん）は、 徳島県 徳島市 川内町 にある木偶人形に関する施設。","https://ja.wikipedia.org/wiki/阿波木偶人形会館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯34度05分30.6秒東経134度35分05.3秒","〒771-0114徳島市川内町宮島本浦226-1","北緯34度05分30.6秒東経134度35分05.3秒﻿ / ﻿北緯34.091833度 東経134.584806度﻿ /34.091833; 134.584806座標:北緯34度05分30.6秒東経134度35分05.3秒﻿ / ﻿北緯34.091833度 東経134.584806度﻿ /34.091833; 134.584806","1985年（昭和60年）2月","木偶人形に関する資料","徳島市","","阿波木偶人形会館","","","","","多田健二","","","","","","",""
"阿波の藍染しじら館","[阿波の藍染しじら館] 阿波の藍染しじら館 （あわのあいぞめしじらかん）は、 徳島県 徳島市 国府町府中 にある 藍染め としじら織に関する施設。 有限会社 「国府工業」が管理・運営を行っている。 こくふ街角博物館 に指定されている。","https://ja.wikipedia.org/wiki/阿波の藍染しじら館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯34度4分22.5秒東経134度29分42.0秒","〒779-3122徳島県徳島市国府町府中432","北緯34度4分22.5秒東経134度29分42.0秒﻿ / ﻿北緯34.072917度 東経134.495000度﻿ /34.072917; 134.495000﻿ (阿波の藍染しじら館)座標:北緯34度4分22.5秒東経134度29分42.0秒﻿ / ﻿北緯34.072917度 東経134.495000度﻿ /34.072917; 134.495000﻿ (阿波の藍染しじら館)","","藍染め","徳島市","国府工業","","","","","","","","","","","","",""
"大うなぎ水族館イーランド","[大うなぎ水族館イーランド] 大うなぎ水族館イーランド （おおうなぎすいぞくかんイーランド）は、 徳島県 海部郡 海部町 （現在の 海陽町 ）奥浦にかつて存在した 水族館 である。","https://ja.wikipedia.org/wiki/大うなぎ水族館イーランド","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"川田民俗資料館","[川田民俗資料館] 川田民俗資料館 （かわたみんぞくしりょうかん）は、 徳島県 徳島市 にある 博物館 である。","https://ja.wikipedia.org/wiki/川田民俗資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯34度6分16.7秒東経134度34分24.4秒","〒771-0142徳島市徳島市川内町沖島161","北緯34度6分16.7秒東経134度34分24.4秒﻿ / ﻿北緯34.104639度 東経134.573444度﻿ /34.104639; 134.573444﻿ (川田民俗資料館)座標:北緯34度6分16.7秒東経134度34分24.4秒﻿ / ﻿北緯34.104639度 東経134.573444度﻿ /34.104639; 134.573444﻿ (川田民俗資料館)","","民俗資料","徳島市","","","","","","","","","","","","","",""
"こくふ街角博物館","[こくふ街角博物館] こくふ街角博物館 （こくふまちかどはくぶつかん）は、 徳島県 徳島市 国府町 内にある 博物館 の総称である。 とくしま市民遺産 選定。","https://ja.wikipedia.org/wiki/こくふ街角博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","","徳島県徳島市国府町周辺","","","国府町の文化","徳島市","こくふ街角博物館運営委員会","","阿波こくふ街角博物館","","","","","","","","","","",""
"徳島県郷土文化会館","[徳島県郷土文化会館] 徳島県郷土文化会館 （とくしまけんきょうどぶんかかいかん）は、 徳島県 徳島市 藍場町 にある 多目的ホール を中心とする複合文化施設である。 藍場浜公園 内にあり 新町川 に面している。設計は 西山夘三 。2009年4月1日より 阿波銀行 に 命名権 を売却したことに伴い、「 あわぎんホール 」の愛称がつけられた。2015年3月に契約を更新し、2020年まではこの名称としている。","https://ja.wikipedia.org/wiki/徳島県郷土文化会館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯34度4分30.4秒東経134度32分46.2秒","〒770-0835徳島県徳島市藍場町2丁目14番地","北緯34度4分30.4秒東経134度32分46.2秒﻿ / ﻿北緯34.075111度 東経134.546167度﻿ /34.075111; 134.546167﻿ (徳島県郷土文化会館)座標:北緯34度4分30.4秒東経134度32分46.2秒﻿ / ﻿北緯34.075111度 東経134.546167度﻿ /34.075111; 134.546167﻿ (徳島県郷土文化会館)","1971年9月12日","","","","徳島県郷土文化会館","","","","徳島駅より徒歩8分。","","","","","","","",""
