"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"田布施駅","田布施駅（たぶせえき）","https://ja.wikipedia.org/wiki/田布施駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度57分31.259秒東経132度2分39.023秒","■山陽本線","385.4 km（神戸起点）","西日本旅客鉄道（JR西日本）","1897年（明治30年）9月25日","地上駅","山口県熊毛郡田布施町大字波野381-1北緯33度57分31.259秒東経132度2分39.023秒﻿ / ﻿北緯33.95868306度 東経132.04417306度﻿ /33.95868306; 132.04417306座標:北緯33度57分31.259秒東経132度2分39.023秒﻿ / ﻿北緯33.95868306度 東経132.04417306度﻿ /33.95868306; 132.04417306","2面2線","業務委託駅みどりの窓口有","","タフ","1,134人/日（降車客含まず）-2019年-","","","","","","","",""
"田辺島通停留場","田辺島通停留場（たべしまどおりていりゅうじょう）","https://ja.wikipedia.org/wiki/田辺島通停留場","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度33分58.94秒東経133度35分34.66秒","後免線","5.9 km（後免町起点）","とさでん交通","1910年（明治43年）10月15日","地上駅","高知県高知市大津北緯33度33分58.94秒東経133度35分34.66秒﻿ / ﻿北緯33.5663722度 東経133.5929611度﻿ /33.5663722; 133.5929611﻿ (田辺島通停留場)","2面2線","","","","","","","","","","","",""
"多宝塔駅","多宝塔駅（たほうとうえき）","https://ja.wikipedia.org/wiki/多宝塔駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度6分59.1秒東経135度46分21.8秒","鞍馬山鋼索鉄道","0.2 km（山門起点）","鞍馬寺","1957年（昭和32年）1月1日","地上駅","京都府京都市左京区鞍馬本町北緯35度6分59.1秒東経135度46分21.8秒﻿ / ﻿北緯35.116417度 東経135.772722度﻿ /35.116417; 135.772722﻿ (多宝塔駅)座標:北緯35度6分59.1秒東経135度46分21.8秒﻿ / ﻿北緯35.116417度 東経135.772722度﻿ /35.116417; 135.772722﻿ (多宝塔駅)","1面1線","","","","","","","","","","","",""
"多磨駅","多磨駅（たまえき）","https://ja.wikipedia.org/wiki/多磨駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度40分38.1秒東経139度31分2秒","■多摩川線","4.1 km（武蔵境起点）","西武鉄道","1929年（昭和4年）1月5日","橋上駅","東京都府中市紅葉丘三丁目42-2北緯35度40分38.1秒東経139度31分2秒﻿ / ﻿北緯35.677250度 東経139.51722度﻿ /35.677250; 139.51722﻿ (多磨駅)座標:北緯35度40分38.1秒東経139度31分2秒﻿ / ﻿北緯35.677250度 東経139.51722度﻿ /35.677250; 139.51722﻿ (多磨駅)","1面1線[1]","* 2001年3月に「多磨墓地前駅」から改称。","SW03","","","13,757人/日-2019年-","","","","","","",""
"玉江駅","玉江駅（たまええき）","https://ja.wikipedia.org/wiki/玉江駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度24分19.26秒東経131度22分48.21秒","■山陰本線","578.2 km（京都起点）","西日本旅客鉄道（JR西日本）","1925年（大正14年）4月3日","地上駅","山口県萩市大字山田字西沖田4757北緯34度24分19.26秒東経131度22分48.21秒﻿ / ﻿北緯34.4053500度 東経131.3800583度﻿ /34.4053500; 131.3800583座標:北緯34度24分19.26秒東経131度22分48.21秒﻿ / ﻿北緯34.4053500度 東経131.3800583度﻿ /34.4053500; 131.3800583","1面1線","無人駅","","タエ","147人/日（降車客含まず）-2019年-","","","","","","","",""
"玉垣駅","玉垣駅（たまがきえき）","https://ja.wikipedia.org/wiki/玉垣駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度51分18.3秒東経136度34分12.9秒","伊勢線","7.0 km（河原田起点）","伊勢鉄道","1973年（昭和48年）9月1日[1]","地上駅","三重県鈴鹿市桜島町一丁目20北緯34度51分18.3秒東経136度34分12.9秒﻿ / ﻿北緯34.855083度 東経136.570250度﻿ /34.855083; 136.570250座標:北緯34度51分18.3秒東経136度34分12.9秒﻿ / ﻿北緯34.855083度 東経136.570250度﻿ /34.855083; 136.570250","1面2線","無人駅","5","","228人/日（降車客含まず）-2019年-","","","","","","","",""
"玉柏駅","玉柏駅（たまがしえき）","https://ja.wikipedia.org/wiki/玉柏駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度43分0.73秒東経133度57分52.55秒","T津山線","7.5 km（岡山起点）","西日本旅客鉄道（JR西日本）","1898年（明治31年）12月21日","地上駅","岡山市北区玉柏1325北緯34度43分0.73秒東経133度57分52.55秒","2面2線","無人駅（乗車駅証明書発行機 有）","","カシ","98人/日（降車客含まず）-2019年-","","","","","","","",""
"玉川駅 (岩手県)","玉川駅 (岩手県)（たまがわえき・東日本旅客鉄道八戸線）","https://ja.wikipedia.org/wiki/玉川駅_(岩手県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯40度22分49.23秒東経141度44分6.15秒","■八戸線","38.1 km（八戸起点）","東日本旅客鉄道（JR東日本）","1954年（昭和29年）8月5日[1]","地上駅","岩手県九戸郡洋野町種市第13地割7-3北緯40度22分49.23秒東経141度44分6.15秒﻿ / ﻿北緯40.3803417度 東経141.7350417度﻿ /40.3803417; 141.7350417座標:北緯40度22分49.23秒東経141度44分6.15秒﻿ / ﻿北緯40.3803417度 東経141.7350417度﻿ /40.3803417; 141.7350417","1面1線","無人駅","","タマ","","","","","","","","",""
"玉川駅 (大阪府)","玉川駅 (大阪府)（たまがわえき・Osaka Metro千日前線）","https://ja.wikipedia.org/wiki/玉川駅_(大阪府)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度41分22.65秒東経135度28分34.32秒","●千日前線","0.6 km（野田阪神起点）","大阪市高速電気軌道(Osaka Metro)","1969年（昭和44年）4月16日","地下駅","大阪市福島区吉野三丁目1-5北緯34度41分22.65秒東経135度28分34.32秒﻿ / ﻿北緯34.6896250度 東経135.4762000度﻿ /34.6896250; 135.4762000﻿ (玉川駅)座標:北緯34度41分22.65秒東経135度28分34.32秒﻿ / ﻿北緯34.6896250度 東経135.4762000度﻿ /34.6896250; 135.4762000﻿ (玉川駅)","2面2線",""," S12 ","","4,379人/日（降車客含まず）-2020年-","8,721人/日-2020年-","野田駅（JR大阪環状線）","","","","","",""
"多摩川駅","多摩川駅（たまがわえき・東急東横線・目黒線・東急多摩川線）","https://ja.wikipedia.org/wiki/多摩川駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度35分23.1秒東経139度40分7.8秒","■東横線[1]","9.0 km（渋谷起点）","東急電鉄","1923年（大正12年）3月11日","高架駅（東横線・目黒線）地下駅（東急多摩川線）","東京都大田区田園調布一丁目53-8[1]北緯35度35分23.1秒東経139度40分7.8秒﻿ / ﻿北緯35.589750度 東経139.668833度﻿ /35.589750; 139.668833座標:北緯35度35分23.1秒東経139度40分7.8秒﻿ / ﻿北緯35.589750度 東経139.668833度﻿ /35.589750; 139.668833","2面4線（東横線・目黒線）1面2線（東急多摩川線）","東急電鉄直営駅","TY09[1]","","","（東横線）14,376人/日（目黒線）3,795人/日（東急多摩川線）4,197人/日（合計）22,368人/日-2018年-","","","","","","",""
"玉川学園前駅","玉川学園前駅（たまがわがくえんまええき）","https://ja.wikipedia.org/wiki/玉川学園前駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度33分48秒東経139度27分48秒","小田原線","27.9 km（新宿起点）","小田急電鉄","1929年（昭和4年）4月1日","地上駅（橋上駅）","東京都町田市玉川学園二丁目21番9号北緯35度33分48秒東経139度27分48秒﻿ / ﻿北緯35.56333度 東経139.46333度﻿ /35.56333; 139.46333座標:北緯35度33分48秒東経139度27分48秒﻿ / ﻿北緯35.56333度 東経139.46333度﻿ /35.56333; 139.46333","2面2線","","OH26","","","46,581人/日-2019年-","","","","","","",""
"玉川上水駅","玉川上水駅（たまがわじょうすいえき）","https://ja.wikipedia.org/wiki/玉川上水駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","西武鉄道（駅詳細）多摩都市モノレール（駅詳細）","","","東京都立川市・東大和市","","","","","","","","","","","","",""
"玉川村駅","玉川村駅（たまがわむらえき）","https://ja.wikipedia.org/wiki/玉川村駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度34分44.8秒東経140度22分27.9秒","■水郡線","28.8 km（水戸起点）","東日本旅客鉄道（JR東日本）","1922年（大正11年）12月10日","地上駅","茨城県常陸大宮市東野4580北緯36度34分44.8秒東経140度22分27.9秒","2面2線","簡易委託駅","","タム","155人/日（降車客含まず）-2019年-","","","","","","","",""
"多摩湖駅","多摩湖駅（たまこえき）","https://ja.wikipedia.org/wiki/多摩湖駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度45分57.6秒東経139度26分33.5秒","■多摩湖線","9.2 km（国分寺起点）西武新宿から28.3 km","西武鉄道","1936年（昭和11年）12月30日","地上駅","東京都東村山市多摩湖町三丁目15番地18号北緯35度45分57.6秒東経139度26分33.5秒﻿ / ﻿北緯35.766000度 東経139.442639度﻿ /35.766000; 139.442639座標:北緯35度45分57.6秒東経139度26分33.5秒﻿ / ﻿北緯35.766000度 東経139.442639度﻿ /35.766000; 139.442639","1面2線（多摩湖線）1面1線（山口線）","*2021年西武遊園地駅から改称","ST07","","","2,587人/日-2019年-","","","","","","",""
"多摩境駅","多摩境駅（たまさかいえき）","https://ja.wikipedia.org/wiki/多摩境駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度36分7秒東経139度22分1秒","■相模原線","20.1 km（調布起点）新宿から35.6 km","京王電鉄","1991年（平成3年）4月6日","地上駅","東京都町田市小山ヶ丘三丁目23番地北緯35度36分7秒東経139度22分1秒﻿ / ﻿北緯35.60194度 東経139.36694度﻿ /35.60194; 139.36694﻿ (多摩境駅)座標:北緯35度36分7秒東経139度22分1秒﻿ / ﻿北緯35.60194度 東経139.36694度﻿ /35.60194; 139.36694﻿ (多摩境駅)","2面2線（有効長210m）","","KO44","","","20,530人/日-2019年-","","","","","","",""
"玉前駅","玉前駅（たまさきえき）","https://ja.wikipedia.org/wiki/玉前駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度31分49.8秒東経140度4分11.8秒","■臨海本線","10.1 km（蘇我起点）","京葉臨海鉄道","1965年（昭和40年）6月1日","地上駅","千葉県市原市五井南海岸70北緯35度31分49.8秒東経140度4分11.8秒﻿ / ﻿北緯35.530500度 東経140.069944度﻿ /35.530500; 140.069944座標:北緯35度31分49.8秒東経140度4分11.8秒﻿ / ﻿北緯35.530500度 東経140.069944度﻿ /35.530500; 140.069944","","","","","","","","","","","","",""
"多摩センター駅","多摩センター駅（たまセンターえき）","https://ja.wikipedia.org/wiki/多摩センター駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","京王電鉄（駅詳細）小田急電鉄（駅詳細）多摩都市モノレール（駅詳細）","","","東京都多摩市落合一丁目","","","","","","","","","","","","",""
"田町駅","田町駅（たまちえき・東日本旅客鉄道山手線・京浜東北線）","https://ja.wikipedia.org/wiki/田町駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度38分44.6秒東経139度44分51.3秒","■京浜東北線*","4.6 km（東京起点）大宮から34.9 km","東日本旅客鉄道（JR東日本）","1909年（明治42年）12月16日","地上駅（橋上駅）","東京都港区芝五丁目33-36北緯35度38分44.6秒東経139度44分51.3秒﻿ / ﻿北緯35.645722度 東経139.747583度﻿ /35.645722; 139.747583﻿ (田町駅)座標:北緯35度38分44.6秒東経139度44分51.3秒﻿ / ﻿北緯35.645722度 東経139.747583度﻿ /35.645722; 139.747583﻿ (田町駅)","2面4線","直営駅（管理駅）みどりの窓口有東京山手線内・東京都区内駅[2]","JK22","チタ","158,839人/日（降車客含まず）-2019年-","","A08I04三田駅[1]（都営地下鉄浅草線・三田線）","","","","","",""
"田町停留場","田町停留場（たまちていりゅうじょう・岡山電気軌道清輝橋線）","https://ja.wikipedia.org/wiki/田町停留場","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度39分38.67秒東経133度55分34.36秒","■清輝橋線","0.6km（柳川起点）岡山駅前から1.1 km","岡山電気軌道","1928年（昭和3年）3月18日","地上駅","岡山市北区田町一丁目・中山下二丁目北緯34度39分38.67秒東経133度55分34.36秒﻿ / ﻿北緯34.6607417度 東経133.9262111度﻿ /34.6607417; 133.9262111﻿ (田町停留場（川崎医大総合医療センター前） *)","1面2線","*正式停留場名は「田町」であるが、停留場標含む構内の停車場記載は「田町（川崎医大総合医療センター前）」改称経歴-1942年蓮昌寺前駅→市役所前停留場-1954年市役所前停留場→中鉄バス前駅-1985年中鉄バス前駅→田町停留場","○S05","","","","","","","","","",""
"玉造駅","玉造駅（たまつくりえき）","https://ja.wikipedia.org/wiki/玉造駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）大阪市高速電気軌道（Osaka Metro・駅詳細）","","","大阪市天王寺区","","","","","","","","","","","","",""
"玉造温泉駅","玉造温泉駅（たまつくりおんせんえき）","https://ja.wikipedia.org/wiki/玉造温泉駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度25分51.08秒東経133度0分42.34秒","D山陰本線","358.5 km（京都起点）","西日本旅客鉄道（JR西日本）","1909年（明治42年）11月7日","地上駅","島根県松江市玉湯町湯町976北緯35度25分51.08秒東経133度0分42.34秒﻿ / ﻿北緯35.4308556度 東経133.0117611度﻿ /35.4308556; 133.0117611﻿ (玉造温泉駅*)","1面2線","業務委託駅*1949年に湯町駅から改称[1]。","","タオ","321人/日（降車客含まず）-2018年-","","","","","","","",""
"玉手駅","玉手駅（たまでえき・西日本旅客鉄道和歌山線）","https://ja.wikipedia.org/wiki/玉手駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度27分30秒東経135度44分56.61秒","T和歌山線","19.4 km（王寺起点）","西日本旅客鉄道（JR西日本）","1989年（平成元年）3月11日[1][2]","地上駅","奈良県御所市大字玉手字畑田129-7北緯34度27分30秒東経135度44分56.61秒﻿ / ﻿北緯34.45833度 東経135.7490583度﻿ /34.45833; 135.7490583座標:北緯34度27分30秒東経135度44分56.61秒﻿ / ﻿北緯34.45833度 東経135.7490583度﻿ /34.45833; 135.7490583","1面1線[1]","無人駅[1]（自動券売機 有）","","タテ","429人/日（降車客含まず）-2018年-","","","","","","","",""
"玉出駅","玉出駅（たまでえき・Osaka Metro四つ橋線）","https://ja.wikipedia.org/wiki/玉出駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度37分26.74秒東経135度29分25.89秒","●四つ橋線","9.0 km（西梅田起点）","大阪市高速電気軌道(Osaka Metro)","1958年（昭和33年）5月31日","地下駅","大阪市住之江区粉浜西一丁目北緯34度37分26.74秒東経135度29分25.89秒﻿ / ﻿北緯34.6240944度 東経135.4905250度﻿ /34.6240944; 135.4905250﻿ (玉出駅)","1面2線",""," Y19 ","","8,836人/日（降車客含まず）-2020年-","17,654人/日-2020年-","","","","","","",""
"玉戸駅","玉戸駅（たまどえき）","https://ja.wikipedia.org/wiki/玉戸駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度17分55.04秒東経139度56分19.94秒","■水戸線","12.5 km（小山起点）","東日本旅客鉄道（JR東日本）","1988年（昭和63年）6月20日[1]","地上駅","茨城県筑西市玉戸1675-1北緯36度17分55.04秒東経139度56分19.94秒座標:北緯36度17分55.04秒 東経139度56分19.94秒","1面1線","業務委託駅","","タト","662人/日（降車客含まず）-2019年-","","","","","","","",""
"多摩動物公園駅","多摩動物公園駅（たまどうぶつこうえんえき）","https://ja.wikipedia.org/wiki/多摩動物公園駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","京王電鉄（駅詳細）多摩都市モノレール（駅詳細）","","","東京都日野市程久保","","","","","","","","","","","","",""
"玉名駅","玉名駅（たまなえき）","https://ja.wikipedia.org/wiki/玉名駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯32度55分34.36秒東経130度32分57.56秒","■鹿児島本線","168.6 km（門司港起点）","九州旅客鉄道（JR九州）","1891年（明治24年）4月1日","地上駅","熊本県玉名市中1046北緯32度55分34.36秒東経130度32分57.56秒﻿ / ﻿北緯32.9262111度 東経130.5493222度﻿ /32.9262111; 130.5493222﻿ (玉名駅*)","2面3線","業務委託駅みどりの窓口有*1956年に高瀬駅から改称。","","タマ","2,548人/日（降車客含まず）-2019年-","","","","","","","",""
"玉野駅","玉野駅（たまのえき）","https://ja.wikipedia.org/wiki/玉野駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度15分58秒東経136度44分52秒","尾西線","18.7 km（弥富起点）","名古屋鉄道","1924年（大正13年）10月1日","地上駅","愛知県一宮市玉野字河端19番地北緯35度15分58秒東経136度44分52秒﻿ / ﻿北緯35.26611度 東経136.74778度﻿ /35.26611; 136.74778座標:北緯35度15分58秒東経136度44分52秒﻿ / ﻿北緯35.26611度 東経136.74778度﻿ /35.26611; 136.74778","1面1線","無人駅（駅集中管理システム導入駅）","BS  08 ","","","986人/日-2019年[1]-","","","","","","",""
"玉ノ井駅","玉ノ井駅（たまのいえき）","https://ja.wikipedia.org/wiki/玉ノ井駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度20分5.5秒東経136度45分28.1秒","名鉄尾西線","30.9 km（弥富起点）","名古屋鉄道","1914年（大正3年）8月4日","地上駅","愛知県一宮市木曽川町玉ノ井古井田140北緯35度20分5.5秒東経136度45分28.1秒﻿ / ﻿北緯35.334861度 東経136.757806度﻿ /35.334861; 136.757806座標:北緯35度20分5.5秒東経136度45分28.1秒﻿ / ﻿北緯35.334861度 東経136.757806度﻿ /35.334861; 136.757806","1面1線","無人駅管理駅：名鉄一宮","BS  24 ","","","1,699人/日-2019年[1]-","","","","","","",""
"玉之江駅","玉之江駅（たまのええき）","https://ja.wikipedia.org/wiki/玉之江駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度54分45.46秒東経133度5分56.67秒","■予讃線","124.5 km（高松起点）","四国旅客鉄道（JR四国）","1963年（昭和38年）2月1日","地上駅","愛媛県西条市石田98北緯33度54分45.46秒東経133度5分56.67秒﻿ / ﻿北緯33.9126278度 東経133.0990750度﻿ /33.9126278; 133.0990750座標:北緯33度54分45.46秒東経133度5分56.67秒﻿ / ﻿北緯33.9126278度 東経133.0990750度﻿ /33.9126278; 133.0990750","単式1面1線","無人駅","○Y35","タエ","","102[1]人/日-2019年-","","","","","","",""
"たまプラーザ駅","たまプラーザ駅","https://ja.wikipedia.org/wiki/たまプラーザ駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度34分38.7秒東経139度33分30.4秒","■田園都市線","17.1 km（渋谷起点）","東急電鉄","1966年（昭和41年）4月1日[1]","半地下駅","横浜市青葉区美しが丘一丁目3番地北緯35度34分38.7秒東経139度33分30.4秒﻿ / ﻿北緯35.577417度 東経139.558444度﻿ /35.577417; 139.558444﻿ (たまプラーザ駅)座標:北緯35度34分38.7秒東経139度33分30.4秒﻿ / ﻿北緯35.577417度 東経139.558444度﻿ /35.577417; 139.558444﻿ (たまプラーザ駅)","2面2線","東急電鉄直営駅","DT15","","","83,136人/日-2019年-","","","","","","",""
"玉水駅","玉水駅（たまみずえき）","https://ja.wikipedia.org/wiki/玉水駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度48分0.63秒東経135度48分24.92秒","D奈良線","7.4 km（木津起点）","西日本旅客鉄道（JR西日本）","1896年（明治29年）1月25日","地上駅（橋上駅）","京都府綴喜郡井手町大字井手小字北垣内21北緯34度48分0.63秒東経135度48分24.92秒﻿ / ﻿北緯34.8001750度 東経135.8069222度﻿ /34.8001750; 135.8069222座標:北緯34度48分0.63秒東経135度48分24.92秒﻿ / ﻿北緯34.8001750度 東経135.8069222度﻿ /34.8001750; 135.8069222","2面2線","業務委託駅","JR-D16","タマ","961人/日（降車客含まず）-2019年-","","","","","","","",""
"玉村駅","玉村駅（たまむらえき）","https://ja.wikipedia.org/wiki/玉村駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度8分8.16秒東経139度58分11.42秒","常総線","31.0 km（取手起点）","関東鉄道","1931年（昭和6年）11月5日[2]","地上駅","茨城県常総市小保川164番地5北緯36度8分8.16秒東経139度58分11.42秒﻿ / ﻿北緯36.1356000度 東経139.9698389度﻿ /36.1356000; 139.9698389﻿ (玉村駅)座標:北緯36度8分8.16秒東経139度58分11.42秒﻿ / ﻿北緯36.1356000度 東経139.9698389度﻿ /36.1356000; 139.9698389﻿ (玉村駅)","1面1線","無人駅","","","","69人/日-2019年[1]-","","","","","","",""
"玉淀駅","玉淀駅（たまよどえき）","https://ja.wikipedia.org/wiki/玉淀駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度7分1.50秒東経139度12分0.23秒","■東上本線","74.4 km（池袋起点）","東武鉄道","1934年（昭和9年）4月1日","地上駅","埼玉県大里郡寄居町大字寄居824-1北緯36度7分1.50秒東経139度12分0.23秒﻿ / ﻿北緯36.1170833度 東経139.2000639度﻿ /36.1170833; 139.2000639﻿ (玉淀駅)座標:北緯36度7分1.50秒東経139度12分0.23秒﻿ / ﻿北緯36.1170833度 東経139.2000639度﻿ /36.1170833; 139.2000639﻿ (玉淀駅)","1面1線","業務委託駅","TJ38","ヨド","","591人/日-2019年-","","","","","","",""
"玉来駅","玉来駅（たまらいえき）","https://ja.wikipedia.org/wiki/玉来駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯32度56分52.77秒東経131度22分34.92秒","■豊肥本線","62.9 km（大分起点）","九州旅客鉄道（JR九州）","1925年（大正14年）11月30日[3]","地上駅","大分県竹田市大字玉来[1]北緯32度56分52.77秒東経131度22分34.92秒","1面1線[1]","無人駅[1]","","ライ","","","","34人/日-2016年[2]-","","","","",""
"田丸駅","田丸駅（たまるえき）","https://ja.wikipedia.org/wiki/田丸駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度29分18.76秒東経136度38分2.55秒","参宮線","7.0 km（多気起点）","東海旅客鉄道（JR東海）","1893年（明治26年）12月31日[1]","地上駅","三重県度会郡玉城町佐田80北緯34度29分18.76秒東経136度38分2.55秒﻿ / ﻿北緯34.4885444度 東経136.6340417度﻿ /34.4885444; 136.6340417座標:北緯34度29分18.76秒東経136度38分2.55秒﻿ / ﻿北緯34.4885444度 東経136.6340417度﻿ /34.4885444; 136.6340417","2面2線","駅員無配置駅","","マル","550人/日（降車客含まず）-2019年-","","","","","","","",""
"多磨霊園駅","多磨霊園駅（たまれいえんえき）","https://ja.wikipedia.org/wiki/多磨霊園駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度39分58秒東経139度30分10.7秒","■京王線","19.6 km（新宿起点）","京王電鉄","1916年（大正5年）10月31日","地上駅（橋上駅）","東京都府中市清水が丘三丁目26-11北緯35度39分58秒東経139度30分10.7秒﻿ / ﻿北緯35.66611度 東経139.502972度﻿ /35.66611; 139.502972﻿ (多磨霊園駅)座標:北緯35度39分58秒東経139度30分10.7秒﻿ / ﻿北緯35.66611度 東経139.502972度﻿ /35.66611; 139.502972﻿ (多磨霊園駅)","2面2線","1937年、市公園墓地前駅から改称","KO22","","","13,046人/日-2019年-","","","","","","",""
"田村駅","田村駅（たむらえき）","https://ja.wikipedia.org/wiki/田村駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度21分22.71秒東経136度16分54.53秒","A北陸本線（琵琶湖線）","4.7 km（米原起点）","西日本旅客鉄道（JR西日本）","1931年（昭和6年）10月14日","地上駅","滋賀県長浜市田村町南仙堂1210北緯35度21分22.71秒東経136度16分54.53秒﻿ / ﻿北緯35.3563083度 東経136.2818139度﻿ /35.3563083; 136.2818139座標:北緯35度21分22.71秒東経136度16分54.53秒﻿ / ﻿北緯35.3563083度 東経136.2818139度﻿ /35.3563083; 136.2818139","2面2線[1]","無人駅[1]（自動券売機 有）","JR-A10","タム","1,270人/日（降車客含まず）-2019年-","","","","","","","",""
"溜池山王駅","溜池山王駅（ためいけさんのうえき）","https://ja.wikipedia.org/wiki/溜池山王駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度40分19秒東経139度44分29秒","●[3]銀座線","9.6 km（浅草起点）","東京地下鉄（東京メトロ）","1997年（平成9年）9月30日[2][1]","地下駅","東京都千代田区永田町二丁目11-1北緯35度40分19秒東経139度44分29秒﻿ / ﻿北緯35.67194度 東経139.74139度﻿ /35.67194; 139.74139﻿ (溜池山王駅)座標:北緯35度40分19秒東経139度44分29秒﻿ / ﻿北緯35.67194度 東経139.74139度﻿ /35.67194; 139.74139﻿ (溜池山王駅)","各1面2線（計2面4線）[1]","","G06[3]","タメ","","159,494*人/日-2019年-","国会議事堂前駅（同一駅扱い）M14[3]丸ノ内線C07[3]千代田線","","","","","",""
