"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"千平駅","千平駅（せんだいらえき）","https://ja.wikipedia.org/wiki/千平駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度13分49.19秒東経138度47分56.16秒","上信線","29.9 km（高崎起点）","上信電鉄","1918年（大正7年）8月18日","地上駅","単式　1面1線","群馬県富岡市南蛇井乙2038北緯36度13分49.19秒東経138度47分56.16秒座標:北緯36度13分49.19秒 東経138度47分56.16秒","無人駅","","","13人/日（降車客含まず）-2019年-","","","","","","","",""
"千駄ケ谷駅","千駄ケ谷駅（せんだがやえき）","https://ja.wikipedia.org/wiki/千駄ケ谷駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度40分52.2秒東経139度42分41.2秒","■中央・総武線（各駅停車）（正式には中央本線）","7.3 km（神田起点）千葉から44.7 km","東日本旅客鉄道（JR東日本）","1904年（明治37年）8月21日","地上駅","2面2線","東京都渋谷区千駄ヶ谷一丁目35-10北緯35度40分52.2秒東経139度42分41.2秒﻿ / ﻿北緯35.681167度 東経139.711444度﻿ /35.681167; 139.711444座標:北緯35度40分52.2秒東経139度42分41.2秒﻿ / ﻿北緯35.681167度 東経139.711444度﻿ /35.681167; 139.711444","直営駅東京山手線内・東京都区内駅","JB12","セカ","16,452人/日（降車客含まず）-2019年-","","E25[1]国立競技場駅（都営地下鉄大江戸線）","","","","","",""
"千駄木駅","千駄木駅（せんだぎえき）","https://ja.wikipedia.org/wiki/千駄木駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度43分32秒東経139度45分47.7秒","●[1]千代田線","7.8 km（綾瀬起点）","東京地下鉄（東京メトロ）","1969年（昭和44年）12月20日","地下駅","2面2線（2層式）","東京都文京区千駄木二丁目32-5北緯35度43分32秒東経139度45分47.7秒﻿ / ﻿北緯35.72556度 東経139.763250度﻿ /35.72556; 139.763250座標:北緯35度43分32秒東経139度45分47.7秒﻿ / ﻿北緯35.72556度 東経139.763250度﻿ /35.72556; 139.763250","","C15[1]","セン","","29,659人/日-2019年-","","","","","","",""
"千丁駅","千丁駅（せんちょうえき）","https://ja.wikipedia.org/wiki/千丁駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度31分58.47秒東経130度38分44.61秒","■鹿児島本線","227.6 km（門司港起点）","九州旅客鉄道（JR九州）","1926年（大正15年）6月1日[1]","地上駅","2面2線[1]","熊本県八代市千丁町吉王丸[1]北緯32度31分58.47秒東経130度38分44.61秒﻿ / ﻿北緯32.5329083度 東経130.6457250度﻿ /32.5329083; 130.6457250﻿ (千丁駅)","無人駅（自動券売機 有）[1]","","セン","270人/日（降車客含まず）-2015年-","","","","","","","",""
"善通寺駅","善通寺駅（ぜんつうじえき）","https://ja.wikipedia.org/wiki/善通寺駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度13分47.8秒東経133度47分20.9秒","■土讃線","6.0km（多度津起点）岡山から58.7km高松から38.7 km","四国旅客鉄道（JR四国）","1889年（明治22年）5月23日","地上駅","2面3線","香川県善通寺市文京町一丁目7-1北緯34度13分47.8秒東経133度47分20.9秒﻿ / ﻿北緯34.229944度 東経133.789139度﻿ /34.229944; 133.789139座標:北緯34度13分47.8秒東経133度47分20.9秒﻿ / ﻿北緯34.229944度 東経133.789139度﻿ /34.229944; 133.789139","直営駅（管理駅）みどりの券売機プラス設置駅","○D14","セン","1,393人/日（降車客含まず）-2019年-","","","","","","","",""
"善導寺駅","善導寺駅（ぜんどうじえき）","https://ja.wikipedia.org/wiki/善導寺駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度19分12.46秒東経130度36分32.01秒","■久大本線","12.6 km（久留米起点）","九州旅客鉄道（JR九州）","1928年（昭和3年）12月24日[1]","地上駅","2面2線","福岡県久留米市善導寺町飯田319北緯33度19分12.46秒東経130度36分32.01秒","無人駅","","セン←ゼン","294人/日（降車客含まず）-2019年-","595人/日-2019年-","","","","","","",""
"千徳駅","千徳駅（せんとくえき）","https://ja.wikipedia.org/wiki/千徳駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯39度37分56.18秒東経141度54分44.49秒","■山田線","98.8 km（盛岡起点）","東日本旅客鉄道（JR東日本）","1934年（昭和9年）11月6日[1]","地上駅","1面1線","岩手県宮古市上鼻二丁目7-1北緯39度37分56.18秒東経141度54分44.49秒座標:北緯39度37分56.18秒 東経141度54分44.49秒","無人駅","","セク","","","","","","","","",""
"仙人谷ダム","仙人谷駅（せんにんだにえき）","https://ja.wikipedia.org/wiki/仙人谷ダム","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度38分58秒東経137度40分54秒","","","","","","","富山県黒部市宇奈月町黒部奥山国有林内","","","","","","","","","","","",""
"洗馬橋停留場","洗馬橋停留場（せんばばしていりゅうじょう）","https://ja.wikipedia.org/wiki/洗馬橋停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度47分57.2秒東経130度41分57.25秒","上熊本線（■B系統）","0.5km（辛島町起点）健軍町から7.4 km","熊本市交通局","1929年（昭和4年）6月20日","地上駅","2面2線","熊本県熊本市中央区新町二丁目北緯32度47分57.2秒東経130度41分57.25秒﻿ / ﻿北緯32.799222度 東経130.6992361度﻿ /32.799222; 130.6992361座標:北緯32度47分57.2秒東経130度41分57.25秒﻿ / ﻿北緯32.799222度 東経130.6992361度﻿ /32.799222; 130.6992361","","□B8","","","712[1]人/日-2015年-","","","","","","",""
"千林駅","千林駅（せんばやしえき）","https://ja.wikipedia.org/wiki/千林駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度43分27.2秒東経135度33分18.4秒","■京阪本線","6.8 km（淀屋橋起点）","京阪電気鉄道","1910年（明治43年）4月15日","高架駅","2面2線**","大阪市旭区千林一丁目11番15号北緯34度43分27.2秒東経135度33分18.4秒﻿ / ﻿北緯34.724222度 東経135.555111度﻿ /34.724222; 135.555111﻿ (千林駅*)座標:北緯34度43分27.2秒東経135度33分18.4秒﻿ / ﻿北緯34.724222度 東経135.555111度﻿ /34.724222; 135.555111﻿ (千林駅*)","** この間に通過線2本あり無人駅（自動券売機有）","KH  08","千（駅名略称方式）","","8,346人/日-2019年-","","","","","","",""
"千林大宮駅","千林大宮駅（せんばやしおおみやえき）","https://ja.wikipedia.org/wiki/千林大宮駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度43分25.70秒東経135度32分56.86秒","●谷町線","4.0 km（大日起点）","大阪市高速電気軌道(Osaka Metro)","1977年（昭和52年）4月6日","地下駅","1面2線","大阪市旭区森小路二丁目北緯34度43分25.70秒東経135度32分56.86秒﻿ / ﻿北緯34.7238056度 東経135.5491278度﻿ /34.7238056; 135.5491278﻿ (千林大宮駅)",""," T14 ","","7,106人/日（降車客含まず）-2020年-","14,007人/日-2020年-","","","","","","",""
"泉福寺駅","泉福寺駅（せんぷくじえき）","https://ja.wikipedia.org/wiki/泉福寺駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度12分19.47秒東経129度43分37.14秒","■西九州線","88.4 km（有田起点）","松浦鉄道","1989年（平成元年）3月11日","地上駅","1面1線","長崎県佐世保市瀬戸越四丁目北緯33度12分19.47秒東経129度43分37.14秒","","","","","1,051人/日-2018年-","","","","","","",""
"仙北町駅","仙北町駅（せんぼくちょうえき）","https://ja.wikipedia.org/wiki/仙北町駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯39度41分16.15秒東経141度8分56.08秒","■東北本線","533.5 km（東京起点）","東日本旅客鉄道（JR東日本）","1915年（大正4年）1月5日[1]","地上駅","1面2線[1]","岩手県盛岡市仙北二丁目1-10北緯39度41分16.15秒東経141度8分56.08秒座標:北緯39度41分16.15秒 東経141度8分56.08秒","業務委託駅みどりの窓口有[1]","","セホ","1,721人/日（降車客含まず）-2019年-","","","","","","","",""
"千本駅","千本駅（せんぼんえき）","https://ja.wikipedia.org/wiki/千本駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度56分32.86秒東経134度29分39.56秒","K姫新線","27.6 km（姫路起点）","西日本旅客鉄道（JR西日本）","1934年（昭和9年）3月24日[1]","地上駅[1]","1面1線[1]","兵庫県たつの市新宮町千本1989[1]北緯34度56分32.86秒東経134度29分39.56秒﻿ / ﻿北緯34.9424611度 東経134.4943222度﻿ /34.9424611; 134.4943222﻿ (千本駅)","無人駅[1]","","セン","31人/日（降車客含まず）-2019年-","","","","","","","",""
"吉野ロープウェイ","千本口駅（せんぼんぐちえき）","https://ja.wikipedia.org/wiki/吉野ロープウェイ","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"千厩駅","千厩駅（せんまやえき）","https://ja.wikipedia.org/wiki/千厩駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","■大船渡線","39.8 km（一ノ関起点）","東日本旅客鉄道（JR東日本）","1927年（昭和2年）7月15日","地上駅","1面2線","","業務委託駅みどりの窓口有","","セマ","181人/日（降車客含まず）-2019年-","","","","","","","",""
"千里丘駅","千里丘駅（せんりおかえき）","https://ja.wikipedia.org/wiki/千里丘駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度47分28.64秒東経135度33分4.84秒","A東海道本線（JR京都線）","544.7km（東京起点）京都から31.1 km","西日本旅客鉄道（JR西日本）","1938年（昭和13年）12月1日","地上駅（橋上駅）","2面4線（乗降は2面2線のみ）","大阪府摂津市千里丘一丁目1-1北緯34度47分28.64秒東経135度33分4.84秒﻿ / ﻿北緯34.7912889度 東経135.5513444度﻿ /34.7912889; 135.5513444座標:北緯34度47分28.64秒東経135度33分4.84秒﻿ / ﻿北緯34.7912889度 東経135.5513444度﻿ /34.7912889; 135.5513444","直営駅みどりの窓口有","JR-A42","セオ","20,297人/日（降車客含まず）-2019年-","","","","","","","",""
"千里中央駅","千里中央駅（せんりちゅうおうえき）","https://ja.wikipedia.org/wiki/千里中央駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","","","北大阪急行電鉄（北急・駅詳細）大阪モノレール（駅詳細）","1970年（昭和45年）9月14日","","","大阪府豊中市新千里東町一丁目5-4","","","","","","","","","","","",""
"千里山駅","千里山駅（せんりやまえき）","https://ja.wikipedia.org/wiki/千里山駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度46分45.36秒東経135度30分19.24秒","■千里線","8.6 km（天神橋筋六丁目起点）大阪梅田から11.7 km","阪急電鉄","1921年（大正10年）10月26日","地上駅","2面2線","大阪府吹田市千里山西五丁目1番3号[1]北緯34度46分45.36秒東経135度30分19.24秒﻿ / ﻿北緯34.7792667度 東経135.5053444度﻿ /34.7792667; 135.5053444座標:北緯34度46分45.36秒東経135度30分19.24秒﻿ / ﻿北緯34.7792667度 東経135.5053444度﻿ /34.7792667; 135.5053444","","HK92","","","（特定日）19,496人/日-2019年-","","（全日）17,260人/日-2016年-","","","","",""
"潜竜ヶ滝駅","潜竜ヶ滝駅（せんりゅうがたきえき）","https://ja.wikipedia.org/wiki/潜竜ヶ滝駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度16分51.00秒東経129度41分1.34秒","■西九州線","66.5 km（有田起点）","松浦鉄道","1939年（昭和14年）1月25日1988年（昭和63年）4月1日（転換）","地上駅","1面1線","長崎県佐世保市江迎町田ノ元北緯33度16分51.00秒東経129度41分1.34秒","","","セリ","","120人/日-2018年-","","","","","","",""
"早雲山駅","早雲山駅（そううんざんえき）","https://ja.wikipedia.org/wiki/早雲山駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度14分47.2秒東経139度2分8.2秒","箱根登山鉄道鋼索線（箱根登山ケーブルカー）","1.2 km（強羅起点）","箱根登山鉄道箱根ロープウェイ","1921年（大正10年）12月1日","","","神奈川県足柄下郡箱根町強羅1300-328北緯35度14分47.2秒東経139度2分8.2秒﻿ / ﻿北緯35.246444度 東経139.035611度﻿ /35.246444; 139.035611座標:北緯35度14分47.2秒東経139度2分8.2秒﻿ / ﻿北緯35.246444度 東経139.035611度﻿ /35.246444; 139.035611","*1926年に上強羅駅（初代）から改称標高750m（箱根登山ケーブルカー）[2]標高757m（箱根ロープウェイ）","OH62","","467人/日（降車客含まず）-2018年[1]-","2,221人/日-2018年[1]-","","","","","","",""
"早雲の里荏原駅","早雲の里荏原駅（そううんのさとえばらえき）","https://ja.wikipedia.org/wiki/早雲の里荏原駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度35分48.04秒東経133度30分27.84秒","井原線","26.8 km（総社起点）","井原鉄道","1999年（平成11年）1月11日[1]","地上駅","2面3線[1]","岡山県井原市東江原町北緯34度35分48.04秒東経133度30分27.84秒","無人駅[1]","","ソエ","","209人/日-2018年-","","","","","","",""
"桑園駅","桑園駅（そうえんえき）","https://ja.wikipedia.org/wiki/桑園駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯43度4分15.53秒東経141度19分52.89秒","■函館本線","284.7 km（函館起点）","北海道旅客鉄道（JR北海道）","1924年（大正13年）6月1日","高架駅","2面4線","北海道札幌市中央区北11条西15丁目北緯43度4分15.53秒東経141度19分52.89秒","札幌市内駅直営駅（管理駅）みどりの窓口有話せる券売機設置駅[1]","○S02","ソウ","10,577人/日（降車客含まず）-2019年-","","","","","","","",""
"草加駅","草加駅（そうかえき）","https://ja.wikipedia.org/wiki/草加駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度49分42.55秒東経139度48分12.50秒","■伊勢崎線（東武スカイツリーライン）","17.5 km（浅草駅起点）","東武鉄道","1899年（明治32年）8月27日","高架駅","2面4線（他に通過線2線）","埼玉県草加市高砂二丁目5-25北緯35度49分42.55秒東経139度48分12.50秒﻿ / ﻿北緯35.8284861度 東経139.8034722度﻿ /35.8284861; 139.8034722﻿ (草加駅)座標:北緯35度49分42.55秒東経139度48分12.50秒﻿ / ﻿北緯35.8284861度 東経139.8034722度﻿ /35.8284861; 139.8034722﻿ (草加駅)","","TS16","ソカ","","88,682人/日-2019年-","","","","","","",""
"寒河駅","寒河駅（そうごえき）","https://ja.wikipedia.org/wiki/寒河駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度44分45.86秒東経134度17分50.74秒","N赤穂線","19.6km（相生起点）播州赤穂から9.1 km","西日本旅客鉄道（JR西日本）","1962年（昭和37年）4月1日","地上駅","1面1線","岡山県備前市日生町寒河北緯34度44分45.86秒東経134度17分50.74秒﻿ / ﻿北緯34.7460722度 東経134.2974278度﻿ /34.7460722; 134.2974278座標:北緯34度44分45.86秒東経134度17分50.74秒﻿ / ﻿北緯34.7460722度 東経134.2974278度﻿ /34.7460722; 134.2974278","無人駅（自動券売機 有）","JR-N16","ソコ","177人/日（降車客含まず）-2019年-","","","","","","","",""
"総合運動公園駅","総合運動公園駅（そうごううんどうこうえんえき）","https://ja.wikipedia.org/wiki/総合運動公園駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度40分54.13秒東経135度4分32.82秒","西神・山手線（正式には西神延伸線）","1.8km（名谷起点）谷上から22.6 km","神戸市交通局（神戸市営地下鉄）","1985年（昭和60年）6月18日[1]","地上駅[1]（掘割構造）","島式 1面2線・相対式 2面（計3面2線）[1]","神戸市須磨区緑台[1]北緯34度40分54.13秒東経135度4分32.82秒﻿ / ﻿北緯34.6817028度 東経135.0757833度﻿ /34.6817028; 135.0757833﻿ (総合運動公園駅)座標:北緯34度40分54.13秒東経135度4分32.82秒﻿ / ﻿北緯34.6817028度 東経135.0757833度﻿ /34.6817028; 135.0757833﻿ (総合運動公園駅)","相対式ホームは、公園内での大規模なイベント開催時のみ使用。"," S13 ","","7,102人/日（降車客含まず）-2019年-","","","","","","","",""
"総合リハビリセンター駅","総合リハビリセンター駅（そうごうリハビリセンターえき）","https://ja.wikipedia.org/wiki/総合リハビリセンター駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度7分50秒東経136度57分16.4秒","名城線","9.6 km（大曽根起点）","名古屋市交通局（名古屋市営地下鉄）","2004年（平成16年）10月6日","地下駅","1面2線","名古屋市瑞穂区彌富町字月見ケ岡5北緯35度7分50秒東経136度57分16.4秒﻿ / ﻿北緯35.13056度 東経136.954556度﻿ /35.13056; 136.954556座標:北緯35度7分50秒東経136度57分16.4秒﻿ / ﻿北緯35.13056度 東経136.954556度﻿ /35.13056; 136.954556","","M21","","3,359人/日（降車客含まず）-2019年-","6,606[1]人/日-2019年-","","","","","","",""
"宗吾参道駅","宗吾参道駅（そうごさんどうえき）","https://ja.wikipedia.org/wiki/宗吾参道駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","■本線","57.0 km（京成上野起点）","京成電鉄","1928年（昭和3年）4月1日","地上駅（橋上駅）","2面3線","","","KS38","","","2,757人/日-2019年-","","","","","","",""
"雑司が谷駅","雑司が谷駅（ぞうしがやえき）","https://ja.wikipedia.org/wiki/雑司が谷駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度43分12.6秒東経139度42分53.2秒","●[1]副都心線","13.1 km（和光市起点）","東京地下鉄（東京メトロ）","2008年（平成20年）6月14日[2][3]","地下駅","1面2線","東京都豊島区雑司が谷二丁目6-1北緯35度43分12.6秒東経139度42分53.2秒﻿ / ﻿北緯35.720167度 東経139.714778度﻿ /35.720167; 139.714778座標:北緯35度43分12.6秒東経139度42分53.2秒﻿ / ﻿北緯35.720167度 東経139.714778度﻿ /35.720167; 139.714778","","F10[1]","ソウ","","19,339人/日-2019年-","鬼子母神前停留場（都電荒川線）","","","","","",""
"雑色駅","雑色駅（ぞうしきえき）","https://ja.wikipedia.org/wiki/雑色駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度32分59.6秒東経139度42分54.5秒","■本線","9.4 km（品川起点）","京浜急行電鉄（京急）","1901年（明治34年）2月1日","高架駅","2面2線","東京都大田区仲六郷2-42-1北緯35度32分59.6秒東経139度42分54.5秒﻿ / ﻿北緯35.549889度 東経139.715139度﻿ /35.549889; 139.715139座標:北緯35度32分59.6秒東経139度42分54.5秒﻿ / ﻿北緯35.549889度 東経139.715139度﻿ /35.549889; 139.715139","","KK18","","","32,138人/日-2019年-","","","","","","",""
"総持寺駅","総持寺駅（そうじじえき）","https://ja.wikipedia.org/wiki/総持寺駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","■京都本線","16.2 km（十三起点）大阪梅田から18.6 km","阪急電鉄","1936年（昭和11年）4月15日","地上駅","2面2線","","*1948年（昭和23年）に総持寺前駅から改称","HK70","","","（特定日）16,634人/日-2019年-","","（通年平均）14,064人/日-2019年-","","","","",""
"総社駅","総社駅（そうじゃえき）","https://ja.wikipedia.org/wiki/総社駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度40分24.69秒東経133度44分17.16秒","V伯備線**（JR西日本）","10.7km（倉敷起点）岡山から26.6 km","西日本旅客鉄道（JR西日本）井原鉄道","1925年（大正14年）2月17日","地上駅（橋上駅[1]）","3面6線","岡山県総社市駅前一丁目1-1北緯34度40分24.69秒東経133度44分17.16秒﻿ / ﻿北緯34.6735250度 東経133.7381000度﻿ /34.6735250; 133.7381000﻿ (総社駅*)","共同使用駅JR西日本：直営駅JR西日本：みどりの券売機プラス設置駅井原鉄道：無人駅","JR-V07","ソヤ","（JR西日本）3,555人/日（降車客含まず）-2018年-（井原鉄道）83人/日（降車客含まず）-2013年-","","","","","","","",""
"蔵宿駅","蔵宿駅（ぞうしゅくえき）","https://ja.wikipedia.org/wiki/蔵宿駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度12分7.59秒東経129度51分2.00秒","■西九州線","3.8 km（有田起点）","松浦鉄道","1898年（明治31年）8月7日1988年（昭和63年）4月1日（転換）","地上駅","2面2線","佐賀県西松浦郡有田町蔵宿北緯33度12分7.59秒東経129度51分2.00秒","","","シク","24人/日（降車客含まず）-2017年-","54人/日-2017年-","","","","","","",""
"崇城大学前駅","崇城大学前駅（そうじょうだいがくまええき）","https://ja.wikipedia.org/wiki/崇城大学前駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度49分51.9秒東経130度41分41.61秒","■鹿児島本線","191.7 km（門司港起点）","九州旅客鉄道（JR九州）","1988年（昭和63年）3月13日[1]","地上駅","2面2線[1]","熊本市西区池田四丁目20[1][2]北緯32度49分51.9秒東経130度41分41.61秒﻿ / ﻿北緯32.831083度 東経130.6948917度﻿ /32.831083; 130.6948917﻿ (崇城大学前駅*)","業務委託駅[2]*2004年に熊本工大前駅から改称[1]。","","ソマ（←コマ）","1,418人/日（降車客含まず）-2019年-","","","","","","","",""
"崇禅寺駅","崇禅寺駅（そうぜんじえき）","https://ja.wikipedia.org/wiki/崇禅寺駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度43分52.76秒東経135度30分37.84秒","■京都本線","3.2 km（十三起点）大阪梅田から5.6 km","阪急電鉄","1921年（大正10年）4月1日","地上駅","2面2線","大阪市東淀川区柴島一丁目7番28号[1]北緯34度43分52.76秒東経135度30分37.84秒﻿ / ﻿北緯34.7313222度 東経135.5105111度﻿ /34.7313222; 135.5105111座標:北緯34度43分52.76秒東経135度30分37.84秒﻿ / ﻿北緯34.7313222度 東経135.5105111度﻿ /34.7313222; 135.5105111","","HK62","","","（特定日）6,867人/日-2019年-","","（通年平均）5,828人/日-2019年-","","","","",""
"造田駅","造田駅（ぞうだえき）","https://ja.wikipedia.org/wiki/造田駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度16分58.16秒東経134度11分9.41秒","■高徳線","21.3 km（高松起点）","四国旅客鉄道（JR四国）","1926年（大正15年）3月21日","地上駅","2面2線","香川県さぬき市造田野間田698北緯34度16分58.16秒東経134度11分9.41秒﻿ / ﻿北緯34.2828222度 東経134.1859472度﻿ /34.2828222; 134.1859472﻿ (造田駅)","無人駅","○T17","ソタ","","480[1]人/日-2019年-","","","","","","",""
"宗太郎駅","宗太郎駅（そうたろうえき）","https://ja.wikipedia.org/wiki/宗太郎駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","■日豊本線","231.0 km（小倉起点）","九州旅客鉄道（JR九州）","1947年（昭和22年）3月1日[2]","地上駅","2面2線[1]","","無人駅[2]","","ソタ","0.39人/日（降車客含まず）-2015年-","1.06人/日-2015年-","","","","","","",""
"雙津峡温泉","雙津峡温泉駅（そうづきょうおんせんえき）","https://ja.wikipedia.org/wiki/雙津峡温泉","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度18分49.3秒東経131度59分22.4秒","","","","","","","山口県岩国市雙津峡温泉山口駅山口県地図","","","","","","","","","","","",""
"宗道駅","宗道駅（そうどうえき）","https://ja.wikipedia.org/wiki/宗道駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度9分14.48秒東経139度58分13.53秒","常総線","33.0 km（取手起点）","関東鉄道","1913年（大正2年）11月1日[2]","地上駅","2面2線","茨城県下妻市宗道164北緯36度9分14.48秒東経139度58分13.53秒﻿ / ﻿北緯36.1540222度 東経139.9704250度﻿ /36.1540222; 139.9704250﻿ (宗道駅)座標:北緯36度9分14.48秒東経139度58分13.53秒﻿ / ﻿北緯36.1540222度 東経139.9704250度﻿ /36.1540222; 139.9704250﻿ (宗道駅)","","","","","189人/日-2019年[1]-","","","","","","",""
"崇福寺停留場","崇福寺停留場（そうふくじていりゅうじょう）","https://ja.wikipedia.org/wiki/崇福寺停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度44分28.58秒東経129度52分57.02秒","本線（■1号系統・■4号系統）","7.1km（住吉起点）赤迫から7.3 km","長崎電気軌道","1968年（昭和43年）6月17日","地上駅","1面1線","長崎県長崎市油屋町5番2号先北緯32度44分28.58秒東経129度52分57.02秒﻿ / ﻿北緯32.7412722度 東経129.8825056度﻿ /32.7412722; 129.8825056﻿ (崇福寺停留場)","","35","","","900人/日-2015年-","","","","","","",""
