"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","所有者","位置","運用者","グラウンド","開場","大型映像装置","照明","ピッチサイズ","設計者","建設者","修繕","建設費","起工","拡張","運営者","分類","公式サイト","設備・遊具"
"石巻フットボール場","[石巻フットボール場/ 石巻フ] 石巻フットボール場 （いしのまきフットボールじょう）は、 宮城県 石巻市 南境の 石巻市総合運動公園 内にある サッカー ・ ラグビー 専用 競技場 。サッカー場のピッチサイズは105m×68m。","https://ja.wikipedia.org/wiki/石巻フットボール場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯38度27分27.9秒東経141度18分33.5秒","宮城県石巻市南境字新小堤18番地","石巻市","北緯38度27分27.9秒東経141度18分33.5秒﻿ / ﻿北緯38.457750度 東経141.309306度﻿ /38.457750; 141.309306座標:北緯38度27分27.9秒東経141度18分33.5秒﻿ / ﻿北緯38.457750度 東経141.309306度﻿ /38.457750; 141.309306","","天然芝","","なし","なし","174m× 84m （サッカー場のピッチサイズは105m×68m）","","","","","","","","","",""
"いわきグリーンフィールド","[いわきグリーンフィールド/ いわき] いわきグリーンフィールド は、 福島県 いわき市 の21世紀の森公園にある 球技場 。","https://ja.wikipedia.org/wiki/いわきグリーンフィールド","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯37度1分2.3秒東経140度51分51.7秒","福島県いわき市常磐水野谷町竜ケ沢308","いわき市","北緯37度1分2.3秒東経140度51分51.7秒﻿ / ﻿北緯37.017306度 東経140.864361度﻿ /37.017306; 140.864361座標:北緯37度1分2.3秒東経140度51分51.7秒﻿ / ﻿北緯37.017306度 東経140.864361度﻿ /37.017306; 140.864361","いわき市公園緑地観光公社（指定管理者）","天然芝","1995年4月","なし","なし","150 x 70 m","","","","約15億円","","","","","",""
"狭山赤坂の森公園多目的グラウンド (存在しないページ)","[狭山赤坂の森公園多目的グラウンド/ 狭山]","https://ja.wikipedia.org/w/index.php?title=狭山赤坂の森公園多目的グラウンド&amp;action=edit&amp;redlink=1","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"フクダ電子アリーナ","[フクダ電子アリーナ/ フクアリ] 千葉市の 条例 上の名称は 千葉市蘇我球技場 （ちばしそがきゅうぎじょう）であるが、開業当初から医療機器の製造販売を行う フクダ電子 が施設 命名権 を取得し、「フクダ電子アリーナ」の名称を用いている（ 後述 ）。略称は フクアリ 。","https://ja.wikipedia.org/wiki/フクダ電子アリーナ","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度34分38.95秒東経140度7分22.34秒","千葉県千葉市中央区川崎町1-20","千葉市","北緯35度34分38.95秒東経140度7分22.34秒﻿ / ﻿北緯35.5774861度 東経140.1228722度﻿ /35.5774861; 140.1228722座標:北緯35度34分38.95秒東経140度7分22.34秒﻿ / ﻿北緯35.5774861度 東経140.1228722度﻿ /35.5774861; 140.1228722","SSP UNITED","天然芝","2005年10月","オーロラビジョン","","111m×74m","日本設計安宅防災設計都市再生機構","清水建設・大林組・新日本建設JV、関電工・JFE電制・モデン工業JV、日本電設工業・橋本電業社JV、川崎設備工業・芝工業JV、朝日工業社・川本工業・京葉工管JV","","81億円","2003年12月","","","","",""
"南長野運動公園総合球技場","[長野Uスタジアム/ 長野U] 南長野運動公園総合球技場 （みなみながのうんどうこうえん そうごうきゅうぎじょう）は、 長野県 長野市 の 南長野運動公園 にある サッカー ・ ラグビー 等の球技専用のスタジアムである。施設は長野市が所有し、南長野スポーツマネージメント共同事業体が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/南長野運動公園総合球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度34分49.27秒東経138度10分3.2秒","長野県長野市篠ノ井東福寺字上組北320","長野市","北緯36度34分49.27秒東経138度10分3.2秒﻿ / ﻿北緯36.5803528度 東経138.167556度﻿ /36.5803528; 138.167556座標:北緯36度34分49.27秒東経138度10分3.2秒﻿ / ﻿北緯36.5803528度 東経138.167556度﻿ /36.5803528; 138.167556","南長野スポーツマネージメント共同事業体","天然芝","2002年（旧スタジアム）2015年3月（新スタジアム）","","","120m×80m","竹中工務店・東畑建築事務所・アーキプラン","竹中工務店・北信土建・千広建設","2014年1月-2015年2月","71億4千万円","","","","","",""
"静岡県草薙総合運動場球技場","[静岡県草薙総合運動場球技場/ 草薙球技] 静岡県草薙総合運動場球技場 （しずおかけん・くさなぎそうごううんどうじょう・きゅうぎじょう）は、 静岡県 静岡市 駿河区 の 静岡県草薙総合運動場 内にある 球技場 。 サッカー 、 ラグビー などで使用される。施設は静岡県が所有し、東京ドーム・東急・静鉄共同事業体（代表団体： 東京ドーム ）が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/静岡県草薙総合運動場球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度59分19.9秒東経138度25分56.3秒","静岡県静岡市駿河区栗原19－1","静岡県","北緯34度59分19.9秒東経138度25分56.3秒﻿ / ﻿北緯34.988861度 東経138.432306度﻿ /34.988861; 138.432306座標:北緯34度59分19.9秒東経138度25分56.3秒﻿ / ﻿北緯34.988861度 東経138.432306度﻿ /34.988861; 138.432306","東京ドーム・東急・静鉄共同事業体","天然芝","","なし","","156m × 89m","","","","","","","","","",""
"ヤマハスタジアム","[ヤマハスタジアム（磐田）/ ヤマハ] ヤマハスタジアム （Yamaha Stadium）は、 静岡県 磐田市 にある サッカー や ラグビー に使用される球技専用 スタジアム である  。なお、施設は ヤマハ発動機 が所有し、運営管理も同社が行っている   。なお、磐田市（磐田市観光協会）やヤマハ発動機、 日本プロサッカーリーグ （Jリーグ）などのスタジアム呼称は ヤマハスタジアム（磐田） である    。","https://ja.wikipedia.org/wiki/ヤマハスタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度43分30.78秒東経137度52分30.02秒","静岡県磐田市新貝2500","ヤマハ発動機","北緯34度43分30.78秒東経137度52分30.02秒﻿ / ﻿北緯34.7252167度 東経137.8750056度﻿ /34.7252167; 137.8750056座標:北緯34度43分30.78秒東経137度52分30.02秒﻿ / ﻿北緯34.7252167度 東経137.8750056度﻿ /34.7252167; 137.8750056","","ティフトン芝（111m × 74.5m）","1978年","オーロラビジョン","4基","105m × 68 m","","","","","","1993年、1995年、1997年、2013年","","","",""
"名古屋市港サッカー場","[名古屋市港サッカー場/ 名古屋港] 名古屋市港サッカー場 （なごやしみなとサッカーじょう）は、 愛知県 名古屋市 港区 の 稲永公園 内にある球技場。施設は 名古屋市 が所有し、財団法人名古屋市教育スポーツ振興事業団が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/名古屋市港サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度4分33.96秒東経136度51分2.46秒","日本名古屋市港区野跡4-11-12","名古屋市","北緯35度4分33.96秒東経136度51分2.46秒﻿ / ﻿北緯35.0761000度 東経136.8506833度﻿ /35.0761000; 136.8506833座標:北緯35度4分33.96秒東経136度51分2.46秒﻿ / ﻿北緯35.0761000度 東経136.8506833度﻿ /35.0761000; 136.8506833","財団法人名古屋市教育スポーツ振興事業団","天然芝","1993年","電光掲示板","鉄塔式 4基","146m x 83m","","","","","","","","","",""
"三重県営鈴鹿スポーツガーデン","[三重交通G スポーツの杜 鈴鹿/ 三交鈴鹿] 三重県営鈴鹿スポーツガーデン （みえけんえいすずかスポーツガーデン）は、 三重県 鈴鹿市 にある総合 スポーツ施設 。 1992年 （ 平成 4年）から段階を追ってオープンし、球技場、プール、テニスコート、体育館等を設けている。 指定管理者 は 三重県スポーツ協会  。","https://ja.wikipedia.org/wiki/三重県営鈴鹿スポーツガーデン","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度50分3.91秒東経136度30分57.47秒","日本三重県鈴鹿市御薗町1669","","","","","","","","","","","","","","","三重県スポーツ協会グループ","運動公園","三重県営鈴鹿スポーツガーデン 公式サイト","水泳場庭球場サッカー・ラグビー場体育館クライミングウォール多目的広場"
"南津守さくら公園","[南津守さくら公園スポーツ広場 / 南津守G] 南津守さくら公園 （みなみつもりさくらこうえん）は、 大阪市 西成区 南津守 1丁目にある都市公園（地区公園）である  。","https://ja.wikipedia.org/wiki/南津守さくら公園","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度38分10.96秒東経135度29分1.2秒","日本大阪市西成区南津守1丁目2-36","","","","","","","","","","","","","","","大阪市","都市公園（地区公園）","","スポーツ広場・テニスコート・児童遊園"
"大阪市鶴見緑地球技場","[大阪市鶴見緑地球技場/ 鶴見] 鶴見緑地球技場 （つるみりょくちきゅうぎじょう）は、 大阪市 鶴見区 の 花博記念公園鶴見緑地 内にある球技場である。","https://ja.wikipedia.org/wiki/大阪市鶴見緑地球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度42分21.6秒東経135度34分52.7秒","大阪市鶴見区浜1丁目1-37","大阪市","北緯34度42分21.6秒東経135度34分52.7秒﻿ / ﻿北緯34.706000度 東経135.581306度﻿ /34.706000; 135.581306座標:北緯34度42分21.6秒東経135度34分52.7秒﻿ / ﻿北緯34.706000度 東経135.581306度﻿ /34.706000; 135.581306","鶴見緑地スマイル5","人工芝","1997年","磁気反転型スコアボード","鉄塔式8基","","","","2010年","","","","","","",""
"高梁市神原スポーツ公園多目的広場 (存在しないページ)","[高梁市神原スポーツ公園多目的広場]","https://ja.wikipedia.org/w/index.php?title=高梁市神原スポーツ公園多目的広場&amp;action=edit&amp;redlink=1","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"愛媛県総合運動公園球技場","[愛媛県総合運動公園球技場] 愛媛県総合運動公園球技場 （えひめけんそうごううんどうこうえん きゅうぎじょう）は、 愛媛県 松山市 の 愛媛県総合運動公園 内にある 球技場 。","https://ja.wikipedia.org/wiki/愛媛県総合運動公園球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯33度46分6.4秒 東経132度47分58.4秒","","","","","","","","","","","","","","","","","","",""
"福岡県営春日公園球技場","[福岡県営春日公園球技場] 福岡県営春日公園 （ふくおかけんえいかすがこうえん）は 福岡県 春日市 原町にある公園。木下緑化建設株式会社が 指定管理者 となって管理している県営公園である。","https://ja.wikipedia.org/wiki/福岡県営春日公園球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯33度31分43.2秒 東経130度28分13.2秒","","","","","","","","","","","","","","","","","","",""
"鹿児島県立北薩広域公園","[鹿児島県立北薩広域公園多目的広場 / さつま北] 北薩広域公園 （ほくさつこういきこうえん）は 鹿児島県 薩摩郡 さつま町 虎居（旧宮之城町虎居）にある鹿児島県立の 都市公園 （広域公園）である  。 指定管理者制度 に基づき 鹿児島県地域振興公社 が管理・運営している。宮之城の特産品の 竹 を使用した建物が多いのが特色である。","https://ja.wikipedia.org/wiki/鹿児島県立北薩広域公園","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯31度53分50秒東経130度26分17秒","日本鹿児島県薩摩郡さつま町虎居","","","","","","","","","","","","","","","鹿児島県（指定管理者：公益財団法人鹿児島県地域振興公社）","都市公園（広域公園）","指定管理者のサイト","大型冒険遊具キャンプ場体験工房"
"帯広の森陸上競技場","[帯広の森陸上競技場/ 帯広] 帯広の森陸上競技場 （おびひろのもりりくじょうきょうぎじょう）は、 北海道 帯広市 にある 陸上競技場 。 帯広の森運動公園 にあり、各種競技会やスポーツ教室などに利用されている。","https://ja.wikipedia.org/wiki/帯広の森陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯42度53分39秒東経143度08分42秒","北海道帯広市南町南7線56-7","","北緯42度53分39秒東経143度08分42秒﻿ / ﻿北緯42.89417度 東経143.14500度﻿ /42.89417; 143.14500座標:北緯42度53分39秒東経143度08分42秒﻿ / ﻿北緯42.89417度 東経143.14500度﻿ /42.89417; 143.14500","帯広市文化スポーツ振興財団","","1983年","","","105 m × 68 m","","","1994年8月全天候改修","5億5,230万円（北海道4,000万円補助）","","","","","",""
"入江運動公園陸上競技場","[入江運動公園陸上競技場/ 室蘭入江] 入江運動公園陸上競技場 （いりえうんどうこうえんりくじょうきょうぎじょう）は  、 北海道 室蘭市 にある 陸上競技場 。","https://ja.wikipedia.org/wiki/入江運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯42度19分17秒東経140度58分38秒","北海道室蘭市入江町1-28","室蘭市","北緯42度19分17秒東経140度58分38秒﻿ / ﻿北緯42.32139度 東経140.97722度﻿ /42.32139; 140.97722座標:北緯42度19分17秒東経140度58分38秒﻿ / ﻿北緯42.32139度 東経140.97722度﻿ /42.32139; 140.97722","室蘭市体育協会","","1988年6月20日（一般開放）","","","106 m × 69 m","","","2009年","","","","","","",""
"宮城スタジアム","[ひとめぼれスタジアム宮城/ ひとめS] 宮城スタジアム （みやぎスタジアム）は、 宮城県 宮城郡 利府町 の 宮城県総合運動公園 （グランディ・21）内にある 陸上競技場 兼 サッカー 球技場 。宮城県が建設・整備し、（公財）宮城県スポーツ振興財団を筆頭とする「G21指定管理グループ」が 指定管理者 として管理を行っている。","https://ja.wikipedia.org/wiki/宮城スタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯38度20分12.913秒東経140度57分11.185秒","宮城県宮城郡利府町菅谷字舘40-1","宮城県","北緯38度20分12.913秒東経140度57分11.185秒﻿ / ﻿北緯38.33692028度 東経140.95310694度﻿ /38.33692028; 140.95310694座標:北緯38度20分12.913秒東経140度57分11.185秒﻿ / ﻿北緯38.33692028度 東経140.95310694度﻿ /38.33692028; 140.95310694","G21指定管理グループ（（公財）宮城県スポーツ振興財団・同和興業・セントラルスポーツ）（指定管理者）","天然芝","2000年（平成12年）3月31日","1基","1500lx","107m× 71m","針生・阿部共同アトリエ","奥村組","","約270億円","1996年（平成8年）10月","","","","",""
"角田市陸上競技場","[角田市陸上競技場/ 角田] 角田市陸上競技場 （かくだしりくじょうきょうぎじょう）は、 宮城県 角田市 の角田市中央公園にある 陸上競技場 。公益財団法人角田市地域振興公社が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/角田市陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯37度58分15.6秒東経140度48分15.5秒","宮城県角田市枝野字青木155-31","角田市","北緯37度58分15.6秒東経140度48分15.5秒﻿ / ﻿北緯37.971000度 東経140.804306度﻿ /37.971000; 140.804306座標:北緯37度58分15.6秒東経140度48分15.5秒﻿ / ﻿北緯37.971000度 東経140.804306度﻿ /37.971000; 140.804306","公益財団法人角田市地域振興公社","8レーン","","","","","","","","","","","","","",""
"仙台市陸上競技場","[仙台市陸上競技場/ 仙台市陸] 仙台市陸上競技場 （せんだいしりくじょうきょうぎじょう）は、 宮城県 仙台市 宮城野区 の 宮城野原公園総合運動場 内にある 陸上競技場 。 球技場 としても使用される。 2009年 （ 平成 21年） 3月31日 まで宮城県が所有する宮城陸上競技場だったが、同年 4月1日 に仙台市に譲渡され、名称も変更になった  。2017年（平成29年）4月より 弘進ゴム が 命名権 を取得し、愛称が「 弘進ゴム アスリートパーク仙台 」となる。 指定管理者 は仙台市スポーツ振興事業団である。","https://ja.wikipedia.org/wiki/仙台市陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯38度15分30.55秒東経140度54分14.37秒","宮城県仙台市宮城野区宮城野2-11-6","仙台市","北緯38度15分30.55秒東経140度54分14.37秒﻿ / ﻿北緯38.2584861度 東経140.9039917度﻿ /38.2584861; 140.9039917座標:北緯38度15分30.55秒東経140度54分14.37秒﻿ / ﻿北緯38.2584861度 東経140.9039917度﻿ /38.2584861; 140.9039917","仙台市スポーツ振興事業団","","1952年（昭和27年）","なし","なし","","","","","","","","","","",""
"福島県営あづま陸上競技場","[とうほう・みんなのスタジアム/ とうスタ] 福島県営あづま陸上競技場 （ふくしまけんえいあづまりくじょうきょうぎじょう）は、 福島県 福島市 の 福島県あづま総合運動公園 内にある 陸上競技場 。 球技場 としても使用される。施設は福島県が所有し、 公益財団法人 福島県都市公園・緑化協会が 指定管理者 として運営管理を行っている。なお、現在は福島市に本店を置く 東邦銀行 が 命名権 を取得しており、2013年5月から愛称として「 とうほう・みんなのスタジアム 」（略称： とうスタ ）を用いている（ 後述 ）。","https://ja.wikipedia.org/wiki/福島県営あづま陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯37度43分23.85秒東経140度21分40.63秒","福島県福島市佐原字神事場","福島県","北緯37度43分23.85秒東経140度21分40.63秒﻿ / ﻿北緯37.7232917度 東経140.3612861度﻿ /37.7232917; 140.3612861座標:北緯37度43分23.85秒東経140度21分40.63秒﻿ / ﻿北緯37.7232917度 東経140.3612861度﻿ /37.7232917; 140.3612861","公益財団法人福島県都市公園・緑化協会","天然芝","1994年","高輝度フルカラーLED","無し","107m×70m","","","","","","","","","",""
"福島市信夫ヶ丘競技場","[福島市信夫ヶ丘競技場/ 信夫ヶ丘] 福島市信夫ヶ丘競技場 （ ふくしまししのぶがおかきょうぎじょう ）は、 福島県 福島市 の運営する信夫ヶ丘運動場内にある 日本陸連 第三種公認 競技場 。","https://ja.wikipedia.org/wiki/福島市信夫ヶ丘競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯37度46分29秒東経140度29分30秒","福島県福島市古川14番地1","福島市","北緯37度46分29秒東経140度29分30秒﻿ / ﻿北緯37.77472度 東経140.49167度﻿ /37.77472; 140.49167座標:北緯37度46分29秒東経140度29分30秒﻿ / ﻿北緯37.77472度 東経140.49167度﻿ /37.77472; 140.49167","(財)福島市スポーツ振興公社","天然芝","1951年8月","","","102 m × 72 m","","","","","","","","","",""
"いわき陸上競技場","[いわき陸上競技場/ いわき陸] いわき陸上競技場 は、 福島県 いわき市 の運営する 陸上競技場 。 上荒川公園 内に立地する 日本陸連 第2種公認競技場である。 1971年 1月 に開設され、 2003年 3月 に全面改修が完了して現在の形になった。公園内には、他に、平野球場や補助競技場などが建設されている。かつては L・リーグ 、 ジャパンフットボールリーグ の 福島FC 主管（ 1995年 の1試合のみ）の試合などが行われた。","https://ja.wikipedia.org/wiki/いわき陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鴻巣市立陸上競技場","[鴻巣市立陸上競技場/ 鴻巣] 鴻巣市立陸上競技場 （こうのすしりつりくじょうきょうぎじょう）は、 埼玉県 鴻巣市 鴻巣にある 陸上競技場 ・ サッカー 競技場である。施設は鴻巣市が所有し、シンコースポーツ・サンワックス 共同事業体 が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/鴻巣市立陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度4分7.14秒東経139度31分11.38秒","埼玉県鴻巣市鴻巣634番地2","鴻巣市","北緯36度4分7.14秒東経139度31分11.38秒﻿ / ﻿北緯36.0686500度 東経139.5198278度﻿ /36.0686500; 139.5198278座標:北緯36度4分7.14秒東経139度31分11.38秒﻿ / ﻿北緯36.0686500度 東経139.5198278度﻿ /36.0686500; 139.5198278","シンコースポーツ・サンワックス共同事業体","8レーン","1993年（平成5年）3月","なし","あり（300ルクス）","105m×69m","","","","","","","","","",""
"幸手市総合公園陸上グラウンド (存在しないページ)","[幸手市総合公園陸上グラウンド/ 幸手]","https://ja.wikipedia.org/w/index.php?title=幸手市総合公園陸上グラウンド&amp;action=edit&amp;redlink=1","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"しらこばと運動公園","[しらこばと運動公園競技場/ しらこばと] しらこばと運動公園 （しらこばとうんどうこうえん）は、 埼玉県 越谷市 にある 都市公園 （ 総合公園 ）である  。公園は、越谷市が設置  し、 指定管理者制度 により 公益財団法人 越谷市施設管理公社が管理している  。","https://ja.wikipedia.org/wiki/しらこばと運動公園","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度54分47.8秒東経139度45分10.7秒","埼玉県越谷市大字砂原","","","","","","","","","","","","","","","越谷市","都市公園（総合公園）","",""
"市原緑地運動公園臨海競技場","[ゼットエーオリプリスタジアム/ オリプリ] 市原緑地運動公園臨海競技場 （いちはらりょくちうんどうこうえんりんかいきょうぎじょう）は、 千葉県 市原市 の 市原緑地運動公園 内にある 陸上競技場 。 球技場 としても使用される。施設は市原市が所有し、公益財団法人市原市地域振興財団が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/市原緑地運動公園臨海競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度31分40.45秒東経140度4分17.79秒","千葉県市原市岩崎536","市原市","北緯35度31分40.45秒東経140度4分17.79秒﻿ / ﻿北緯35.5279028度 東経140.0716083度﻿ /35.5279028; 140.0716083座標:北緯35度31分40.45秒東経140度4分17.79秒﻿ / ﻿北緯35.5279028度 東経140.0716083度﻿ /35.5279028; 140.0716083","公益財団法人市原市地域振興財団","天然芝","1993年","","4基","105m×68m","","","","","","2003年","","","",""
"鴨川市陸上競技場","[鴨川市陸上競技場/ 鴨川市陸] 鴨川市陸上競技場 （かもがわしりくじょうきょうぎじょう）は、 千葉県 鴨川市 が所有・運営している多目的 スタジアム 。","https://ja.wikipedia.org/wiki/鴨川市陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度6分49.1秒 東経140度4分42.8秒","","","","","","","","","","","","","","","","","","",""
"ふれあい坂田池公園陸上競技場 (存在しないページ)","[ふれあい坂田池公園陸上競技場/ 横芝光]","https://ja.wikipedia.org/w/index.php?title=ふれあい坂田池公園陸上競技場&amp;action=edit&amp;redlink=1","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"多摩市立陸上競技場","[多摩市立陸上競技場/ 多摩] 多摩市立陸上競技場 （たましりつりくじょうきょうぎじょう）は、 東京都 多摩市 の多摩市立多摩東公園にある 陸上競技場 。 球技場 としても使用される。施設は多摩市が所有し、多摩市が運営管理も行っている。","https://ja.wikipedia.org/wiki/多摩市立陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度37分29.94秒東経139度27分37.11秒","東京都多摩市諏訪4-9","多摩市","北緯35度37分29.94秒東経139度27分37.11秒﻿ / ﻿北緯35.6249833度 東経139.4603083度﻿ /35.6249833; 139.4603083座標:北緯35度37分29.94秒東経139度27分37.11秒﻿ / ﻿北緯35.6249833度 東経139.4603083度﻿ /35.6249833; 139.4603083","多摩市","天然芝","1986年5月","","無し","","","","","","","","","","",""
"武蔵野陸上競技場","[武蔵野陸上競技場/ 武蔵野] 武蔵野市立武蔵野陸上競技場 （むさしのしりつ むさしのりくじょうきょうぎじょう）は、 東京都 武蔵野市 にある 陸上競技場 。 球技場 としても使用される。施設は武蔵野市が所有し、 公益財団法人 武蔵野生涯学習振興事業団が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/武蔵野陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度43分4.27秒東経139度34分3.36秒","東京都武蔵野市吉祥寺北町5-11-20","武蔵野市","北緯35度43分4.27秒東経139度34分3.36秒﻿ / ﻿北緯35.7178528度 東経139.5676000度﻿ /35.7178528; 139.5676000座標:北緯35度43分4.27秒東経139度34分3.36秒﻿ / ﻿北緯35.7178528度 東経139.5676000度﻿ /35.7178528; 139.5676000","公益財団法人武蔵野生涯学習振興事業団","天然芝","","無","無","105m × 68m","","","","","","1989年","","","",""
"稲城中央公園総合グラウンド","[稲城中央公園総合グラウンド] 稲城中央公園 （いなぎちゅうおうこうえん）は、 東京都 稲城市 にある 公園 。 稲城市総合体育館 、稲城中央公園総合グラウンド、野球場などの施設や、 くじら橋 がある。","https://ja.wikipedia.org/wiki/稲城中央公園総合グラウンド","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度38分01秒東経139度29分10秒","日本東京都稲城市長峰一丁目1番地向陽台四丁目1番地の1","","","","","","","","","","","","","","","","総合公園","","稲城市総合体育館、稲城中央公園総合グラウンド、野球場（1面）、くじら橋、レストラン、ジョギングコース、里山、アスレチック"
"町田市立陸上競技場","[町田市立陸上競技場/ 町田] 町田市立陸上競技場 （まちだしりつりくじょうきょうぎじょう）は、 東京都 町田市 野津田町 の 町田市立野津田公園 内にある 陸上競技場 である。","https://ja.wikipedia.org/wiki/町田市立陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度35分33.0秒東経139度26分20.5秒","東京都町田市野津田町2035","町田市","北緯35度35分33.0秒東経139度26分20.5秒﻿ / ﻿北緯35.592500度 東経139.439028度﻿ /35.592500; 139.439028座標:北緯35度35分33.0秒東経139度26分20.5秒﻿ / ﻿北緯35.592500度 東経139.439028度﻿ /35.592500; 139.439028","日本体育施設株式会社・一般財団法人町田市体育協会共同事業体","天然芝","1990年10月7日","コスモビジョン","4基","107m×71m","","","2011年12月","","","","","","",""
"大蔵陸上競技場 (存在しないページ)","[大蔵陸上競技場]","https://ja.wikipedia.org/w/index.php?title=大蔵陸上競技場&amp;action=edit&amp;redlink=1","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
