"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","指定文化財","遺構","築城年","築城主","廃城年","城郭構造","築造時期","史跡","規模","主な城主","形状","別名","出土品","天守構造","埋葬施設","特記事項"
"常心塚古墳","[常心塚古墳（じょうしんづかこふん）〔西都市〕1980年（昭和55年）3月24日] 常心塚古墳 （じょうしんづかこふん）は、 宮崎県 西都市 の三財川左岸の上三財に位置する 方墳 である。","https://ja.wikipedia.org/wiki/常心塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度4分21.8秒 東経131度19分35.2秒","","","","","","","","","","","","","","","","","","",""
"千畑古墳","[千畑古墳（ちばたけこふん）〔西都市〕1934年（昭和9年）5月1日] 千畑古墳 （ちばたけこふん）は、 宮崎県 西都市 を流れる 一ツ瀬川 の左岸、茶臼原（ちゃうすばる）台地の南側傾斜面に位置する 古墳 である。対岸には一ツ瀬川を挟んで 西都原古墳群 のある西都原台地がある。","https://ja.wikipedia.org/wiki/千畑古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度8分24.1秒 東経131度24分7.4秒","","","","","","","","","","","","","","","","","","",""
"茶臼原古墳群","[茶臼原古墳群（ちゃうすばるこふんぐん）〔西都市〕1973年（昭和48年）8月18日] 茶臼原古墳群 （ちゃうすばるこふんぐん）は、 宮崎県 西都市 茶臼原にある 古墳群  で、 前方後円墳 3基、 円墳 52基の計55基が確認されている  。 1973年 （ 昭和 48年）8月18日に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/茶臼原古墳群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度8分19.23秒東経131度25分7.27秒","北緯32度8分19.23秒東経131度25分7.27秒﻿ / ﻿北緯32.1386750度 東経131.4186861度﻿ /32.1386750; 131.4186861座標:北緯32度8分19.23秒東経131度25分7.27秒﻿ / ﻿北緯32.1386750度 東経131.4186861度﻿ /32.1386750; 131.4186861","宮崎県西都市茶臼原","","","","","","","","5世紀（一部）","1973年8月18日国指定","","","前方後円墳3、円墳52","","銅鏡、玉類、蛇行剣","","",""
"都於郡城","[都於郡城跡（とのこおりじょうあと）〔西都市〕2000年（平成12年）9月6日] 都於郡城 （とのこおりじょう）は現在の 宮崎県 西都市 にある 山城 。国の 史跡  。築城は 1337年 （ 建武 4年）伊東祐持による。 伊東四十八城 の一つ。別名、 浮船城 。","https://ja.wikipedia.org/wiki/都於郡城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度3分38.2秒東経131度22分29.3秒","北緯32度3分38.2秒東経131度22分29.3秒﻿ / ﻿北緯32.060611度 東経131.374806度﻿ /32.060611; 131.374806","","都於郡城","国の史跡（2000年（平成12年）9月6日指定）","曲輪","1337年（建武4年）","伊東祐持","1615年（元和元年）","山城","","","","伊東氏、島津氏、豊臣氏","","浮船城","","","",""
"日向国府 (存在しないページ)","[日向国府跡（ひゅうがこくふあと）〔西都市〕2005年（平成17年）7月14日]","https://ja.wikipedia.org/w/index.php?title=日向国府&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日向国分寺","[日向国分寺跡（ひゅうがこくぶんじあと）〔西都市〕2011年（平成23年）9月21日] 日向国分寺跡 （ひゅうがこくぶんじあと）は、 宮崎県 西都市 にある古代から近世の 寺院 跡。 明治 4年（ 1871年 ）に廃寺となった。廃寺当時の宗派は 真言宗 、 山号 は五智山、 本尊 は 五智如来 。現在は国の史跡に指定されている。","https://ja.wikipedia.org/wiki/日向国分寺","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"松本塚古墳 (存在しないページ)","[松本塚古墳（まつもとづかこふん）〔西都市〕1944年（昭和19年）3月7日]","https://ja.wikipedia.org/w/index.php?title=松本塚古墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"本庄古墳群 (存在しないページ)","[本庄古墳群（ほんじょうこふんぐん）〔東諸県郡国富町〕1934年（昭和9年）8月9日]","https://ja.wikipedia.org/w/index.php?title=本庄古墳群&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"生目古墳群","[生目古墳群（いきめこふんぐん）〔宮崎市〕1943年（昭和18年）9月8日] 生目古墳群 （いきめこふんぐん）は、 宮崎県 宮崎市 跡江地区にある 古墳群 。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/生目古墳群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度57分01.0秒東経131度23分08.0秒","北緯31度57分01.0秒東経131度23分08.0秒﻿ / ﻿北緯31.950278度 東経131.385556度﻿ /31.950278; 131.385556座標:北緯31度57分01.0秒東経131度23分08.0秒﻿ / ﻿北緯31.950278度 東経131.385556度﻿ /31.950278; 131.385556","宮崎県宮崎市大字跡江字井尻4558-1ほか","生目古墳群宮崎県内の位置","","","","","","","3世紀後半-5世紀","1943年（昭和18年）9月8日国指定","前方後円墳など51基","","","","","","",""
"佐土原城","[佐土原城跡（さどわらじょうあと）〔宮崎市〕2004年（平成16年）9月30日] 佐土原城 （さどわらじょう）は、現在の 宮崎県 宮崎市 佐土原町上田島にある城。 伊東四十八城 の一つ。 江戸時代 には 佐土原藩 の藩庁となった。","https://ja.wikipedia.org/wiki/佐土原城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度2分52.2秒 東経131度25分25.8秒","","","佐土原城","国の史跡2004年（平成16年）9月30日","","14世紀半ば","田島休助","1870年（明治3年）","山城","","","","伊東祐賀ほか","","田島城、鶴松城","","あり（現存せず）","",""
"蓮ヶ池古墳群","[蓮ヶ池横穴群（はすがいけよこあなぐん）〔宮崎市〕1971年（昭和46年）7月17日] 蓮ヶ池古墳群 （はすがいけこふんぐん）とは、 宮崎県 宮崎市 にある 古墳 群。","https://ja.wikipedia.org/wiki/蓮ヶ池古墳群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度58分10.5秒 東経131度26分43.7秒","","","","","","","","","","","","","","","","","","",""
"穆佐城","[穆佐城跡（むかさじょうあと）〔宮崎市〕2002年（平成14年）3月19日] 穆佐城 （むかさじょう）は、現在の 宮崎県 宮崎市 高岡町 小山田にあった 平山城 。 伊東四十八城 の一つ。","https://ja.wikipedia.org/wiki/穆佐城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度55分59.9秒東経131度19分54.6秒","北緯31度55分59.9秒東経131度19分54.6秒﻿ / ﻿北緯31.933306度 東経131.331833度﻿ /31.933306; 131.331833座標:北緯31度55分59.9秒東経131度19分54.6秒﻿ / ﻿北緯31.933306度 東経131.331833度﻿ /31.933306; 131.331833","","穆佐城","国の史跡2002年（平成14年）3月19日","郭、土塁、堀切ほか","14世紀","不明","1615年（慶長20年）","平山城","","","","畠山直顕、伊東義祐、島津久豊ほか","","穆佐院高城","","","",""
"本野原遺跡","[本野原遺跡（もとのばるいせき）〔宮崎市〕2004年（平成16年）9月30日] 本野原遺跡 （もとのばるいせき）は、 宮崎県 宮崎市 田野町 甲に位置する 旧石器時代 から 縄文時代 にかけての 複合遺跡  。 竪穴住居 が100軒以上発掘されており、 横峯遺跡 と並ぶ、特に縄文時代後期における 西日本 最大規模の定住集落遺跡とされる  。 2004年 （ 平成 16年）に国の史跡に指定  。","https://ja.wikipedia.org/wiki/本野原遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度49分23秒東経131度16分57秒","","宮崎県宮崎市田野町甲","","","","","","","","","","","","","","","","",""
"安井息軒","[安井息軒旧宅（やすいそくけんきゅうたく）〔宮崎市〕1979年（昭和54年）5月22日] 安井 息軒 （やすい そっけん、 寛政 11年 1月1日 〈 1799年 2月5日 〉 - 明治 9年〈 1876年 〉 9月23日 ）は 江戸時代 の 儒学者 。名は 衡 、字は 仲平 、息軒は 号 。 日向国 宮崎郡 清武郷（現・ 宮崎県 宮崎市 ）出身。その業績は江戸期 儒学 の集大成と評価され、近代漢学の礎を築いた。門下からは 谷干城 や 陸奥宗光 など延べ2000名に上る逸材が輩出された。妻の佐代は、 森鷗外 の歴史小説『安井夫人』のモデル  。","https://ja.wikipedia.org/wiki/安井息軒","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"今町一里塚","[今町一里塚（いままちいちりづか）〔都城市〕1935年（昭和10年）12月24日] 今町一里塚 （いままちいちりづか）は、 宮崎県 都城市 今町・梅北町にある 一里塚 である  。1935年12月24日に 国史跡 に指定され、1973年7月21日に、一部残存する並木敷きの追加指定が行われた  。都城より1里、旧志布志街をはさみ、 国道269号 （旧今町街道）の両側に残る。底部径7.2m、高さ2.7m  。現在は史跡指定地は公有化されている。","https://ja.wikipedia.org/wiki/今町一里塚","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度40分40秒 東経131度01分56秒","","","","","","","","","","","","","","","","","","",""
"大島畠田遺跡","[大島畠田遺跡（おおしまはたけだいせき）〔都城市〕2002年（平成14年）3月19日] 大島畠田遺跡 （おおしまはたけだいせき）は、 宮崎県 都城市 金田町にある 平安時代 の集落跡である。2002年（平成14年）3月19日に国の 史跡 に指定され、2004年（平成16年）2月27日に追加指定が行われた。","https://ja.wikipedia.org/wiki/大島畠田遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度46分18秒 東経131度04分31秒","","","","","","","","","","","","","","","","","","",""
"中ノ尾供養碑 (存在しないページ)","[中ノ尾供養碑（なかのおくようひ）〔日南市〕1934年（昭和9年）8月9日]","https://ja.wikipedia.org/w/index.php?title=中ノ尾供養碑&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"佐多旧薬園","[佐多旧薬園（さたきゅうやくえん）〔肝属郡南大隅町〕1932年（昭和7年）10月19日] 佐多旧薬園 （さたきゅうやくえん）は、 鹿児島県 肝属郡 南大隅町 佐多伊座敷にある 薩摩藩 直営の 植物園 跡。","https://ja.wikipedia.org/wiki/佐多旧薬園","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度5分31.0秒 東経130度41分26.8秒","","","","","","","","","","","","","","","","","","",""
"高山城 (大隅国)","[高山城跡（こうやまじょうあと）〔肝属郡肝付町〕1945年（昭和20年）2月22日] 高山城 （こうやまじょう）は、 鹿児島県 肝属郡 肝付町 新富本城（にいとみほんじょう）にある城。形式は 山城 に属する。別名「 肝付城 」。国の 史跡 。","https://ja.wikipedia.org/wiki/高山城_(大隅国)","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度19分2.8秒東経130度57分56.4秒","北緯31度19分2.8秒東経130度57分56.4秒﻿ / ﻿北緯31.317444度 東経130.965667度﻿ /31.317444; 130.965667","","高山城","国の史跡","曲輪","南北朝時代（14世紀）?","肝付氏","1580年（天正8年）","山城","","","","肝付氏","","肝付城","","なし","",""
"塚崎古墳群","[塚崎古墳群（つかさきこふんぐん）〔肝属郡肝付町〕1945年（昭和20年）2月22日] 塚崎古墳群 （つかざきこふんぐん）は、 鹿児島県 肝属郡 肝付町 野崎にある 古墳群 。大部分が国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/塚崎古墳群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度20分11.40秒 東経130度58分2.96秒","","","","","","","","","","","","","","","","","","",""
"唐仁古墳群","[唐仁古墳群（とうじんこふんぐん）〔肝属郡東串良町〕1934年（昭和9年）1月22日] 唐仁古墳群 （とうじんこふんぐん）は、 鹿児島県 肝属郡 東串良町 新川西にある 古墳群 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/唐仁古墳群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度21分50.00秒 東経130度59分13.17秒","","","","","","","","","","","","","","","","","","",""
"横瀬古墳","[横瀬古墳（よこせこふん）〔曽於郡大崎町〕1943年（昭和18年）9月8日] 横瀬古墳 （よこせこふん、横瀬大塚山古墳）は、 鹿児島県 曽於郡 大崎町 横瀬にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/横瀬古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度24分47.88秒東経131度0分53.95秒","北緯31度24分47.88秒東経131度0分53.95秒﻿ / ﻿北緯31.4133000度 東経131.0149861度﻿ /31.4133000; 131.0149861座標:北緯31度24分47.88秒東経131度0分53.95秒﻿ / ﻿北緯31.4133000度 東経131.0149861度﻿ /31.4133000; 131.0149861","鹿児島県曽於郡大崎町横瀬","横瀬古墳","","","","","","","5世紀中葉-後半","国の史跡「横瀬古墳」","墳丘長137m","","前方後円墳","横瀬大塚山古墳","（伝）鉄器など","","竪穴式石室","鹿児島県第2位の規模"
"志布志城","[志布志城跡（しぶしじょうあと）〔志布志市〕2005年（平成17年）7月14日] 志布志城 （しぶしじょう）は、 日向国 諸県郡 救仁院志布志（現在の 鹿児島県 志布志市 志布志町）  にあった 中世 山城。国の 史跡 。","https://ja.wikipedia.org/wiki/志布志城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度29分5.4秒東経131度6分32.1秒","北緯31度29分5.4秒東経131度6分32.1秒﻿ / ﻿北緯31.484833度 東経131.108917度﻿ /31.484833; 131.108917座標:北緯31度29分5.4秒東経131度6分32.1秒﻿ / ﻿北緯31.484833度 東経131.108917度﻿ /31.484833; 131.108917","","志布志城","国の史跡2005年（平成17年）7月14日","土塁、虎口、郭、堀切、","不明","不明","1615年（元和元年）","","","","","救仁院氏、楡井氏、畠山氏、新納氏、肝付氏、島津氏","","","","","",""
"上野原遺跡","[上野原遺跡（うえのはらいせき）〔霧島市〕1999年（平成11年）1月14日] 上野原遺跡 （うえのはらいせき）は、 鹿児島県 霧島市 国分上野原縄文の森 にある 縄文時代 早期から 近世 にかけての複合 遺跡 。遺跡の周辺は 鹿児島県上野原縄文の森 と呼ばれる県営公園として整備されている。また、 鹿児島県立埋蔵文化財センター が敷地内に併設されており、鹿児島県の考古学発掘調査研究の中心的な拠点となっている。","https://ja.wikipedia.org/wiki/上野原遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度42分49秒 東経130度48分5秒","","〒899-4318鹿児島県霧島市国分上野原縄文の森1-1","","","","","","","","","","","","","","","","",""
"大隅国分寺跡","[大隅国分寺跡附宮田ヶ岡瓦窯跡（おおすみこくぶんじあとつけたりみやたがおかかわらかまあと）〔霧島市国分中央〕1921年（大正10年）3月3日] 大隅国分寺跡 （おおすみこくぶんじあと）は、 鹿児島県 霧島市 国分中央 にある 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/大隅国分寺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"隼人塚","[隼人塚（はやとづか）〔霧島市隼人町内山田〕1921年（大正10年）3月3日] 隼人塚 （はやとづか）は 鹿児島県 霧島市 隼人町 内山田 にある仏教遺跡。国の 史跡 。","https://ja.wikipedia.org/wiki/隼人塚","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度44分26.6秒 東経130度44分12.61秒","","","","","","","","","","","","","","","","","","",""
"南浦文之","[南浦文之墓（なんぼぶんしのはか）〔姶良市加治木町反土〕1936年（昭和11年）9月3日] 南浦文之 （なんぽぶんし、 弘治 元年（ 1555年 ） - 元和 6年 9月30日 （ 1620年 10月25日 ））は、 安土桃山時代 から 江戸時代 前期にかけての 臨済宗 の僧。","https://ja.wikipedia.org/wiki/南浦文之","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白銀坂","[白銀坂（しらかねざか）] 白銀坂 （しらかねざか）は、 鹿児島県 姶良市 脇元から 鹿児島県 鹿児島市 牟礼岡 まで伸びる石畳の坂道である。2006年7月28日に 加治木町 の 龍門司坂 とともに日本国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/白銀坂","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度41分41秒 東経130度36分24秒","","","","","","","","","","","","","","","","","","",""
"龍門司坂 (存在しないページ)","[龍門司坂（たつもんじざか）]","https://ja.wikipedia.org/w/index.php?title=龍門司坂&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鹿児島紡績所技師館 (存在しないページ)","[鹿児島紡績所技師館（異人館）（かごしまぼうせきしょぎしかん（いじんかん））〔鹿児島市吉野町〕1959年（昭和34年）2月25日]","https://ja.wikipedia.org/w/index.php?title=鹿児島紡績所技師館&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"寺山炭窯跡","[附寺山炭窯跡（つけたりてらやますみがまあと）] 寺山炭窯跡 （てらやますみがまあと、 英 :Terayama Charcoal Kiln）は、 鹿児島県 鹿児島市 吉野町 にある、 集成館事業 で用いられる 木炭 を製造した石積み窯跡。","https://ja.wikipedia.org/wiki/寺山炭窯跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度39分51.401秒 東経130度36分3.967秒","","","","","","","","","","","","","","","","","","",""
"関吉の疎水溝","[関吉の疎水溝（せきよしのそすいこう）] 関吉の疎水溝 （せきよしのそすいこう、 英 :Sekiyoshi Sluice Gate of Yoshino Leat  ）は、 鹿児島県 鹿児島市 下田町 にある 用水路 。 1852年 （ 嘉永 6年）に築かれ、 薩摩藩 第28代当主 島津斉彬 によって行われた 集成館事業 の動力源として利用された  。","https://ja.wikipedia.org/wiki/関吉の疎水溝","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度38分49.5秒 東経130度33分7.9秒","","","","","","","","","","","","","","","","","","",""
"桂庵玄樹","[桂菴墓（けいあんのはか）〔鹿児島市伊敷二丁目〕1936年（昭和11年）9月3日] 桂庵玄樹 （けいあん げんじゅ、 1427年 〈 応永 34年〉- 1508年 6月28日 〈 永正 5年 6月1日 〉）は、 室町時代 後期の 臨済宗 の 僧 。 薩南学派 を形成した。 桂菴玄樹 と表記される場合もある。","https://ja.wikipedia.org/wiki/桂庵玄樹","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"城山 (鹿児島市城山町)","[城山（しろやま）〔鹿児島市城山町〕1931年（昭和6年）6月3日] 城山 （しろやま）は 鹿児島市 中央部にある 山 、あるいは 丘陵  。 西南戦争 最後の激戦地であり、国の 史跡 および 天然記念物 に指定されている  。かつては鶴丸山・上之山と呼ばれていた  。","https://ja.wikipedia.org/wiki/城山_(鹿児島市城山町)","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度35分48秒東経130度33分3.3秒","北緯31度35分48秒東経130度33分3.3秒﻿ / ﻿北緯31.59667度 東経130.550917度﻿ /31.59667; 130.550917座標:北緯31度35分48秒東経130度33分3.3秒﻿ / ﻿北緯31.59667度 東経130.550917度﻿ /31.59667; 130.550917","日本鹿児島県鹿児島市城山町","","","","","","","","","","","","","","","","",""
"知覧城","[知覧城跡（ちらんじょうあと）〔南九州市〕1993年（平成5年）5月7日] 知覧城 （ちらんじょう）は、 鹿児島県 南九州市 知覧町 永里にある 日本の城 （ 中世 山城 ）。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/知覧城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度22分2.8秒東経130度26分37.4秒","北緯31度22分2.8秒東経130度26分37.4秒﻿ / ﻿北緯31.367444度 東経130.443722度﻿ /31.367444; 130.443722座標:北緯31度22分2.8秒東経130度26分37.4秒﻿ / ﻿北緯31.367444度 東経130.443722度﻿ /31.367444; 130.443722","","知覧城","国の史跡","曲輪、空堀","12世紀末？","知覧忠信","1615年（慶長20年）","山城","","","","佐多氏","","","","","",""
"橋牟礼川遺跡","[指宿橋牟礼川遺跡（いぶすきはしむれがわいせき）〔指宿市十二町〕1924年（大正13年）12月9日] 橋牟礼川遺跡 （はしむれがわいせき）は、 鹿児島県 指宿市 十二町 にある 縄文時代 から 平安時代 にかけての重層 遺跡 。それまで明確でなかった縄文時代と 弥生時代 以降の存続時代の関係性を初めて学術的に証明した遺跡として有名である。戦前は 指宿遺跡 として知られていた。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/橋牟礼川遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度13分46.3秒 東経130度38分43.3秒","","","","","","","","","","","","","","","","","","",""
"栫ノ原遺跡","[栫ノ原遺跡（かこいのはらいせき）〔南さつま市加世田村原〕1997年（平成9年）3月11日] 栫ノ原遺跡 （かこいのはらいせき）は、 鹿児島県 南さつま市 加世田村原にある集落跡。1997年3月11日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/栫ノ原遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度25分18秒 東経130度19分51秒","","","","","","","","","","","","","","","","","","",""
"清色城","[清色城跡（きよしきじょうあと）〔薩摩川内市入来町浦之名〕2004年（平成16年）9月30日] 清色城 （きよしきじょう）は、 鹿児島県 薩摩川内市 入来町浦之名 にある 中世 山城。国の 史跡 。","https://ja.wikipedia.org/wiki/清色城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度48分22.5秒東経130度25分32.9秒","北緯31度48分22.5秒東経130度25分32.9秒﻿ / ﻿北緯31.806250度 東経130.425806度﻿ /31.806250; 130.425806","","清色城","国の史跡","曲輪","南北朝時代?","入来院氏","1615年（元和元年）","山城","","","","入来院氏","","","","なし","",""
"薩摩国分寺","[薩摩国分寺跡（さつまこくぶんじあと）〔薩摩川内市国分寺町〕1944年（昭和19年）11月13日] 薩摩国分寺跡 （さつまこくぶんじあと）は、 鹿児島県 薩摩川内市 国分寺町 にある寺院跡。 聖武天皇 の命で全国におかれた 国分寺 の一つ。国の 史跡  。","https://ja.wikipedia.org/wiki/薩摩国分寺","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度49分55.2秒 東経130度18分22.8秒","","","","","","","","","","","","","","","","","","",""
"広田遺跡","[広田遺跡（ひろたいせき）〔熊毛郡南種子町〕2008年（平成20年）3月28日] 種子島 の南部、 太平洋 に面した海岸砂丘上に立地する墓地遺跡。1957年（昭和32年） - 1959年（昭和34年）に、 盛園尚孝 ・ 国分直一 ・ 金関丈夫 らによって発掘調査が行われ、90基の埋葬遺構から、157体の人骨、44,000点以上の貝製品が出土した。特に、「 貝符 （貝札）」「 竜佩形貝製垂飾 」などの貝製品の出土で知られる。2008年（ 平成 20年） 3月28日 、国の史跡に指定された。","https://ja.wikipedia.org/wiki/広田遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯30度25分29.5秒 東経130度58分2.2秒","","","","","","","","","","","","","","","","","","",""
"赤木名城","[赤木名城跡（あかきなじょうあと）〔奄美市〕2009年2月12日] 赤木名城 （あかきなじょう）は、 鹿児島県 奄美市 笠利町 （ 奄美群島 奄美大島 ）にある 城跡 。 12世紀 に築かれ、 17世紀 まで使用が確認された。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/赤木名城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯28度27分17.3秒東経129度40分52秒","北緯28度27分17.3秒東経129度40分52秒﻿ / ﻿北緯28.454806度 東経129.68111度﻿ /28.454806; 129.68111座標:北緯28度27分17.3秒東経129度40分52秒﻿ / ﻿北緯28.454806度 東経129.68111度﻿ /28.454806; 129.68111","","","","","","","","","","","","","","","","","",""
"宇宿貝塚","[宇宿貝塚（うしゅくかいづか）〔奄美市〕1986年（昭和61年）10月7日] 宇宿貝塚 （うしゅくかいづか）は、 鹿児島県 奄美市 笠利町宇宿にある 貝塚 である。 縄文時代 晩期の 竪穴住居 跡や 土器 、 石器 や骨角器、中世の埋葬跡などが発見され、1986年10月7日に 国史跡 に指定された  。縄文時代前期から中世にかけての複合遺跡となっている   。貝塚のほか、石組住居址や溝状遺構、貯蔵穴、土壙墓などからなる  。","https://ja.wikipedia.org/wiki/宇宿貝塚","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯28度27分09秒 東経129度42分49秒","","","","","","","","","","","","","","","","","","",""
