"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","運営者","公式サイト","外部リンク","法人番号","国","地方","総人口","人口密度","駐車場","開園","都道府県","市町村コード","隣接自治体","設備・遊具","市長","事務所"
"国営木曽三川公園","[73国営木曽三川公園イ号国営公園宝暦治水・木曽三川分流工事の遺構] 国営木曽三川公園 （こくえいきそさんせんこうえん、Kiso Sansen National Government Park）は、 1987年 10月に開設された、 木曽三川 （ 木曽川 、 長良川 、 揖斐川 。濃尾三川ともいう）下流域一帯、 愛知県 ・ 岐阜県 ・ 三重県 にわたる、日本最大の 国営公園 。","https://ja.wikipedia.org/wiki/国営木曽三川公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度08分48.29秒東経136度40分04.70秒","日本","258.0ha（供用済）473.5ha（計画）","国営公園","一般財団法人公園財団","国営木曽三川公園","","","","","","","","1987年10月","","","","","","木曽三川公園管理センター"
"海津市","[（木曽三川公園センター）岐阜県海津市] 海津市 （かいづし）は、 岐阜県 南西部に位置する 市 。 西濃 に含まれる。旧 南濃町 区域に山地があるが、旧 海津町 と旧 平田町 域はほぼ全域が 海抜ゼロメートル地帯 であり、 輪中 が数多く見られる。","https://ja.wikipedia.org/wiki/海津市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度13分14秒東経136度38分11.3秒","〒503-0695岐阜県海津市海津町高須515北緯35度13分14秒東経136度38分11.3秒﻿ / ﻿北緯35.22056度 東経136.636472度﻿ /35.22056; 136.636472座標:北緯35度13分14秒東経136度38分11.3秒﻿ / ﻿北緯35.22056度 東経136.636472度﻿ /35.22056; 136.636472","112.03km2","","","","公式ウェブサイト","9000020212211","日本","中部地方、東海地方","32,359人（推計人口、2021年5月1日）","289人/km2","","","岐阜県","21221-1","羽島市、養老郡養老町、安八郡輪之内町愛知県：愛西市、稲沢市三重県：桑名市、いなべ市","","横川真澄",""
"愛知県","[（三派川地区センター）愛知県一宮市] 日本列島 の中央部に位置する。 中部地方 の県ではもっとも人口が多く、47都道府県別では 大阪府 に次ぐ全国第4位、 県庁所在地 の 名古屋市 は同地方の市町村で最多の人口を持つ。県内は大きく分けて 尾張地方 、 西三河地方 、 東三河地方 の3地域で構成されている。面積比はほぼ1：1：1、人口比はほぼ7：2：1。","https://ja.wikipedia.org/wiki/愛知県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度10分48.6秒東経136度54分23.1秒","〒460-8501愛知県名古屋市中区三の丸3丁目1番2号北緯35度10分48.6秒東経136度54分23.1秒﻿ / ﻿北緯35.180167度 東経136.906417度﻿ /35.180167; 136.906417座標:北緯35度10分48.6秒東経136度54分23.1秒﻿ / ﻿北緯35.180167度 東経136.906417度﻿ /35.180167; 136.906417","5,172.92km2（境界未定部分あり）","","","","公式ウェブサイト","1000020230006","日本","中部地方、東海地方","7,524,185人（推計人口、2021年5月1日）","1,455人/km2","","","","","","","",""
"駿府城公園","[74駿府城公園市立総合公園静岡県静岡市駿府城] 駿府城公園 （すんぷじょうこうえん）は、 静岡県 静岡市 に立地する 公園 である。また、 葵区 の町名にもなっている。","https://ja.wikipedia.org/wiki/駿府城公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度58分55秒東経138度23分0秒","日本静岡県静岡市葵区駿府城公園1番1号","18ha","総合公園","駿府城公園観光文化施設管理運営共同事業体（指定管理者：指定期間は平成28年4月1日から令和3年3月31日まで）","https://sumpu-castlepark.com/","","","","","","","なし","1949年（昭和24年）","","","","本文参照","","駿府城公園二の丸施設管理事務所"
"登呂遺跡","[75登呂公園市立歴史公園静岡県静岡市登呂遺跡] 登呂遺跡 （とろいせき）は、 静岡県 静岡市 駿河区 登呂五丁目にある、 弥生時代 の集落・ 水田 遺跡 。国の 特別史跡 に指定されている。弥生時代後期に属し、 1世紀 ごろの集落と推定される。「登呂」はこの地域の 小字 （ 1973年 、 住居表示 実施により町名にも採用）。","https://ja.wikipedia.org/wiki/登呂遺跡","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度57分22秒東経138度24分29秒","静岡県静岡市駿河区登呂五丁目","","","","","","","","","","","","","","","","","",""
"徳川園","[76徳川園市立地区公園愛知県名古屋市徳川園] 徳川園 （とくがわえん）は、 愛知県 名古屋市 東区 徳川町にある 日本庭園 。","https://ja.wikipedia.org/wiki/徳川園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度11分4秒東経136度55分57.3秒","日本愛知県名古屋市","総面積 4.5ヘクタール","池泉回遊式日本庭園","","徳川園","","","","","","","","2004年","","","","","",""
"久屋大通公園","[77久屋大通公園市立特殊公園愛知県名古屋市久屋大通公園] 久屋大通公園 （ひさやおおどおりこうえん）は、 愛知県 名古屋市 中区 の 久屋大通 にある 公園 である。","https://ja.wikipedia.org/wiki/久屋大通公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度10分07.35秒 東経136度54分30.18秒","","","","","","","","","","","","","","","","","","",""
"豊橋公園","[78豊橋公園市立総合公園愛知県豊橋市吉田城] 豊橋公園 （とよはしこうえん）は、 愛知県 豊橋市 中心部の今橋町にある城址 公園 である。 野球 、 テニス 、 陸上競技 等の大会が行われるほか、 豊橋まつり 、 炎の祭典 、納涼祭り（夜店）等、市内イベントの会場としても利用される。また、災害時は 市役所 の指定する広域避難場所でもある。","https://ja.wikipedia.org/wiki/豊橋公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度46分12.22秒東経137度23分47.17秒","日本愛知県豊橋市今橋町3","21.64ha","総合公園","豊橋市","豊橋公園","","","","","","","100台","1949年4月1日","","","","","",""
"春日井市","[79二子山公園市立地区公園愛知県春日井市味美古墳群] 春日井市 （かすがいし）は、 愛知県 の北西部に位置する 市 。 施行時特例市 である。","https://ja.wikipedia.org/wiki/春日井市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度14分51秒東経136度58分20秒","〒486-8686愛知県春日井市鳥居松町五丁目44番地北緯35度14分51秒東経136度58分20秒﻿ / ﻿北緯35.24750度 東経136.97222度﻿ /35.24750; 136.97222","92.78km2","","","","公式ウェブサイト","1000020232068","日本","中部地方、東海地方","306,018人（推計人口、2021年5月1日）","3,298人/km2","","","愛知県","23206-8","名古屋市、小牧市、瀬戸市、犬山市、西春日井郡豊山町岐阜県多治見市","","伊藤太",""
"天王川公園","[80天王川公園市立総合公園愛知県津島市津島湊] 天王川公園 （てんのうがわこうえん）は、 愛知県 津島市 にある 都市公園 。","https://ja.wikipedia.org/wiki/天王川公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度10分24.91秒東経136度43分16.71秒","日本愛知県津島市宮川町地内","11.6ha","総合公園","","天王川公園","","","","","","","128台","1920年（大正9年）","","","","","",""
"犬山市","[81青塚古墳史跡公園愛知県犬山市青塚古墳] 犬山市 （いぬやまし）は、 愛知県 の北端に位置する 市 。","https://ja.wikipedia.org/wiki/犬山市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度22分43秒東経136度56分40.2秒","〒484-8501愛知県犬山市大字犬山字東畑36北緯35度22分43秒東経136度56分40.2秒﻿ / ﻿北緯35.37861度 東経136.944500度﻿ /35.37861; 136.944500座標:北緯35度22分43秒東経136度56分40.2秒﻿ / ﻿北緯35.37861度 東経136.944500度﻿ /35.37861; 136.944500","74.90km2","","","","公式ウェブサイト","3000020232157","日本","中部地方、東海地方","72,696人（推計人口、2021年5月1日）","971人/km2","","","愛知県","23215-7","春日井市、小牧市、丹羽郡大口町、扶桑町岐阜県：多治見市、各務原市、可児市、加茂郡坂祝町","","山田拓郎",""
"長久手市","[82古戦場公園市立特殊公園愛知県長久手市小牧・長久手の戦い古戦場] 長久手市 （ながくてし）は、 愛知県 の北西部、 尾張地域 東部に位置する 市 。","https://ja.wikipedia.org/wiki/長久手市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度11分2.4秒東経137度2分55.3秒","〒480-1196愛知県長久手市岩作城の内60番地1北緯35度11分2.4秒東経137度2分55.3秒﻿ / ﻿北緯35.184000度 東経137.048694度﻿ /35.184000; 137.048694","21.55km2（境界未定部分あり）","","","","公式ウェブサイト","5000020232386","日本","中部地方、東海地方","62,464人（推計人口、2021年5月1日）","2,899人/km2","","","愛知県","23238-6","名古屋市、尾張旭市、瀬戸市、豊田市、日進市","","吉田一平",""
"九華公園","[83九華公園市立地区公園三重県桑名市桑名城] 九華公園 （きゅうかこうえん）は、 三重県 桑名市 吉之丸にある 公園 。 桜 、 つつじ 、 花菖蒲 の名所として知られ、桑名市民の憩いの場として親しまれている。","https://ja.wikipedia.org/wiki/九華公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度03分52秒東経136度41分55秒","日本三重県桑名市吉之丸","7.20ha","史跡公園（三重県指定史跡）","","","","","","","","","あり","","","","","本丸跡、水堀等","",""
"柳が崎湖畔公園","[84柳が崎湖畔公園市立総合公園滋賀県大津市びわ湖大津館] 柳が崎湖畔公園 （やながさきこはんこうえん）は 滋賀県 大津市 にある 都市公園 （総合公園）である  。 琵琶湖 畔にある 親水公園 で、 びわ湖大津館 を中核施設として 2002年 に開園した。","https://ja.wikipedia.org/wiki/柳が崎湖畔公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度1分35秒 東経135度52分6.9秒","滋賀県大津市柳が崎","","都市公園（総合公園）","大津市（指定管理者：京阪・琵琶湖汽船グループ","大津市のサイト","","","","","","","","","","","","","",""
"膳所城","[85膳所城跡公園市立近隣公園滋賀県大津市膳所城] 膳所城 （ぜぜじょう）は、現在の 滋賀県 大津市 本丸町にあった 日本の城 である。","https://ja.wikipedia.org/wiki/膳所城","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度59分42.98秒東経135度53分43.29秒","","","","","","","","","","","","","","","","","","",""
"長浜市","[86豊公園市立総合公園滋賀県長浜市長浜城] 長浜市 （ながはまし）は、 滋賀県 の北東部（ 湖北 地方）に位置する 市 。","https://ja.wikipedia.org/wiki/長浜市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度22分51秒東経136度16分42秒","〒526-8501滋賀県長浜市八幡東町632番地北緯35度22分51秒東経136度16分42秒﻿ / ﻿北緯35.38083度 東経136.27833度﻿ /35.38083; 136.27833﻿ (長浜市)座標:北緯35度22分51秒東経136度16分42秒﻿ / ﻿北緯35.38083度 東経136.27833度﻿ /35.38083; 136.27833﻿ (長浜市)","681.02km2","","","","公式ウェブサイト","9000020252034","日本","近畿地方","113,245人（推計人口、2021年6月1日）","166人/km2","","","滋賀県","25203-4","米原市、高島市岐阜県揖斐郡揖斐川町福井県：敦賀市、南条郡南越前町","","藤井勇治",""
"京都府","[87天橋立公園府立風致公園京都府宮津市天橋立] 恭仁京 や 長岡京 、 平安京 など 日本の首都 が置かれていた。 令制国 でいう 山城国 の全域、 丹波国 の東部および 丹後国 の全域を府域とする。","https://ja.wikipedia.org/wiki/京都府","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度1分15.7秒東経135度45分20.1秒","〒602-8570京都府京都市上京区下立売通新町西入藪の内町85番地3北緯35度1分15.7秒東経135度45分20.1秒﻿ / ﻿北緯35.021028度 東経135.755583度﻿ /35.021028; 135.755583座標:北緯35度1分15.7秒東経135度45分20.1秒﻿ / ﻿北緯35.021028度 東経135.755583度﻿ /35.021028; 135.755583","4,612.20km2","","","","公式ウェブサイト","2000020260002","日本","近畿地方","2,569,856人（推計人口、2021年6月1日）","557人/km2","","","","","","","",""
"大極殿公園 (存在しないページ)","[88大極殿公園市立街区公園京都府向日市長岡京長岡宮]","https://ja.wikipedia.org/w/index.php?title=大極殿公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"長岡京市","[89勝竜寺城公園市立近隣公園京都府長岡京市勝竜寺城] 長岡京市 （ながおかきょうし）は、 京都府 の南西に位置する 市 。","https://ja.wikipedia.org/wiki/長岡京市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度55分36.5秒東経135度41分44.7秒","〒617-8501京都府長岡京市開田一丁目1番1号北緯34度55分36.5秒東経135度41分44.7秒﻿ / ﻿北緯34.926806度 東経135.695750度﻿ /34.926806; 135.695750座標:北緯34度55分36.5秒東経135度41分44.7秒﻿ / ﻿北緯34.926806度 東経135.695750度﻿ /34.926806; 135.695750","19.17km2","","","","公式ウェブサイト","9000020262099","日本","近畿地方","80,697人（推計人口、2021年6月1日）","4,210人/km2","","","京都府","26209-9","京都市、向日市、乙訓郡大山崎町大阪府三島郡島本町","","中小路健吾",""
"桜之宮公園","[90毛馬桜之宮公園（藤田邸跡公園）市立総合公園大阪府大阪市藤田邸・藤田美術館] 桜之宮公園 （さくらのみやこうえん）は、 大川 上流部両岸の 大阪市 都島区 と 北区 にまたがる 都市公園 （総合公園）である  。 都市計画 上の位置付けは、 南天満公園 、 毛馬公園 、 蕪村公園 とあわせ、 毛馬桜之宮公園 （けまさくらのみやこうえん）となっている  。南に隣接している 藤田邸跡公園 は桜之宮公園の一部である。","https://ja.wikipedia.org/wiki/桜之宮公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度41分57秒東経135度31分24秒","日本大阪府大阪市都島区・北区","234,230平方メートル","都市公園（総合公園）","大阪市","","","","","","","","","1923年（大正12年）3月1日","","","","","",""
"住吉公園","[91住吉公園府立広域公園大阪府大阪市住吉大社境内] 住吉公園という名称だが、現在の住所表示では住之江区になる。もともとは 住吉区 に属していたが、 1974年 の大阪市の区の変更に伴い、住吉区から住之江区が分区した時、住吉公園は住之江区地域に含まれた。","https://ja.wikipedia.org/wiki/住吉公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度36分44.6秒東経135度29分18.5秒","日本大阪市住之江区浜口東1丁目","8ha","都市公園","大阪府","","","","","","","","","1873年","","","","","","住吉公園管理事務所"
"服部緑地","[92服部緑地府立広域公園大阪府豊中市服部緑地] 服部緑地 （はっとりりょくち）は、 大阪府 豊中市 服部緑地・寺内に位置する 緑地 。","https://ja.wikipedia.org/wiki/服部緑地","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度46分35.53秒 東経135度29分5.87秒","日本大阪府豊中市服部緑地1-1服部緑地 (大阪府)大阪府の地図を表示服部緑地 (日本)日本の地図を表示","1,263,000㎡（126.3ヘクタール）","都市公園","","公式ホームページ","","","","","","","あり（909台）","","","","","服部緑地都市緑化植物園、日本民家集落博物館、服部緑地野外音楽堂、服部緑地陸上競技場、服部緑地ウォーターランド、乗馬センター、テニスコート、野球場、オリエンテーリング、パーマネントコース、ビュッフェスタイルUK、バーベキュー広場","","服部緑地管理事務所"
"五月山緑地都市緑化植物園","[93五月山緑地市立総合公園大阪府池田市池田城] 所在地は 五月丘 五丁目2-5であり   、 五月山 のふもとに当たる  。当植物園は、杉ヶ谷川沿いの斜面のうちの 5.3 ヘクタール を利用して設けられた  。指定管理者は、一般財団法人 池田みどりスポーツ財団（旧称：財団法人 池田市公共施設管理公社）である   。","https://ja.wikipedia.org/wiki/五月山緑地都市緑化植物園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度49分47.1秒東経135度25分56.1秒","日本池田市","5.3ha","植物園","一般財団法人 池田みどりスポーツ財団","五月山都市緑化植物園 池田市緑のセンター","","","","","","","","1989年5月12日","","","","池田市緑のセンターレストフラワーホール","",""
"山田池公園","[94山田池公園府立広域公園大阪府枚方市山田池] 山田池公園 （やまだいけこうえん）は、 大阪府 枚方市 にある大阪府営の 都市公園 （広域公園）である  。公園の北寄りには山田池があり、ジョギングコースやバーベキュー広場、春日山、展望広場などがある。「山田池の月」は 枚方八景 に選ばれている。又、この公園は駅伝大会等に使用されることもある。","https://ja.wikipedia.org/wiki/山田池公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度49分21.9秒東経135度41分19.3秒","日本大阪府枚方市山田池公園","73.7ヘクタール","都市公園（広域公園）","大阪府","指定管理者のサイト","","","","","","","460台","昭和54年10月","","","","","","山田池公園管理事務所"
"長野公園","[95長野公園府立広域公園大阪府河内長野市長野遊園] 長野公園 （ながのこうえん）は、 大阪府 河内長野市 にある大阪府営の 都市公園 （広域公園）である  。","https://ja.wikipedia.org/wiki/長野公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","日本大阪府河内長野市","46.3 ha","都市公園（広域公園）","大阪府","指定管理者のサイト","","","","","","","","","","","","","","大阪府営長野公園管理事務所"
"大阪狭山市","[96狭山池公園市立総合公園大阪府大阪狭山市狭山池] 大阪狭山市 （おおさかさやまし）は、 大阪府 の 南河内 地域に位置する 市 。","https://ja.wikipedia.org/wiki/大阪狭山市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度30分13秒東経135度33分20.5秒","〒589-8501大阪府大阪狭山市狭山一丁目2384番地の1北緯34度30分13秒東経135度33分20.5秒﻿ / ﻿北緯34.50361度 東経135.555694度﻿ /34.50361; 135.555694座標:北緯34度30分13秒東経135度33分20.5秒﻿ / ﻿北緯34.50361度 東経135.555694度﻿ /34.50361; 135.555694市庁舎位置","11.92km2","","","","公式ウェブサイト（日本語）","2000020272311","日本","近畿地方","58,515人（推計人口、2021年6月1日）","4,909人/km2","","","大阪府","27231-1","堺市、富田林市、河内長野市","","古川照人",""
"須磨浦公園","[97須磨浦公園市立総合公園兵庫県神戸市須磨浦公園] 須磨浦公園 （すまうらこうえん）は、 兵庫県 神戸市 須磨区 一ノ谷町にある 公園 。","https://ja.wikipedia.org/wiki/須磨浦公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度38分32.8秒 東経135度5分52.2秒","","","","","","","","","","","","","","","","","","",""
"瑞宝寺公園","[98瑞宝寺公園市立風致公園兵庫県神戸市瑞宝寺] 瑞宝寺公園 （ずいほうじこうえん）は、 兵庫県 神戸市 北区 の 有馬温泉郷 にある都市 公園 。温泉街の最高部（標高500m）に位置する。 紅葉 の名所として知られている。","https://ja.wikipedia.org/wiki/瑞宝寺公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度47分44.2秒東経135度15分19.3秒","日本兵庫県神戸市北区有馬町","3.9ha","都市公園","","","","","","","","","なし","","","","","旧瑞宝寺山門、十三重石塔、紅葉茶屋","",""
"舞子公園","[99舞子公園県立風致公園兵庫県神戸市舞子公園] 兵庫県立舞子公園 （ひょうごけんりつまいここうえん）は、 兵庫県 神戸市 垂水区 東舞子町 にある 都市公園 。","https://ja.wikipedia.org/wiki/舞子公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度37分52.5秒 東経135度2分8.6秒","日本兵庫県神戸市垂水区東舞子町2051番地","7.8ha","都市公園","兵庫県","舞子公園","","","","","","","普通車222台、大型車10台","1900年（明治33年）7月25日","","","","松林、舞子海上プロムナード、孫文記念館、旧木下家住宅、旧武藤山治邸、舞子デッキ、コンビネーション遊具","","「舞子海上プロムナード」舞子公園管理事務所"
"尼崎市","[100田能遺跡（田能資料館）兵庫県尼崎市田能遺跡] 尼崎市 （あまがさきし）は、 兵庫県 の南東部に位置する 市 。 中核市 に指定されている。","https://ja.wikipedia.org/wiki/尼崎市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度44分1.8秒東経135度24分22.8秒","〒660-8501兵庫県尼崎市東七松町1丁目23番1号北緯34度44分1.8秒東経135度24分22.8秒﻿ / ﻿北緯34.733833度 東経135.406333度﻿ /34.733833; 135.406333座標:北緯34度44分1.8秒東経135度24分22.8秒﻿ / ﻿北緯34.733833度 東経135.406333度﻿ /34.733833; 135.406333市庁舎位置","50.72km2","","","","公式ウェブサイト","1000020282022","日本","近畿地方","458,310人（推計人口、2021年6月1日）","9,036人/km2","","","兵庫県","28202-2","伊丹市、西宮市大阪府：大阪市、豊中市","","稲村和美",""
"夙川公園","[101夙川河川敷緑地（夙川公園）兵庫県西宮市夙川公園] 夙川河川敷緑地 （しゅくがわかせんじきりょくち）は、 兵庫県 西宮市 にある 公園 である。 夙川公園 とも呼ばれるがこれは通称で、正式名称は 夙川河川敷緑地 である。","https://ja.wikipedia.org/wiki/夙川公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度44分8秒 東経135度19分44.2秒","","","","","","","","","","","","","","","","","","",""
"奈良公園","[102奈良公園県立広域公園奈良県奈良市奈良公園内の古寺社殿] 奈良公園 （ならこうえん）は、 奈良県 奈良市 にある 都市公園 である。国の 名勝 。","https://ja.wikipedia.org/wiki/奈良公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度41分08秒 東経135度50分36秒","日本奈良市","502ha","都市公園","奈良県","奈良公園","","","","","","","","1880年","","","","","",""
"宇陀市榛原鳥見山公園 (存在しないページ)","[103宇陀市榛原鳥見山公園奈良県宇陀市鳥見山]","https://ja.wikipedia.org/w/index.php?title=宇陀市榛原鳥見山公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"馬見丘陵公園","[104馬見丘陵公園県立広域公園奈良県広陵町・河合町馬見古墳群] 馬見丘陵公園 （うまみきゅうりょうこうえん）は、 奈良県 北葛城郡 広陵町 から 河合町 にかけて広がる 馬見丘陵 内にある奈良県営の都市 公園 。","https://ja.wikipedia.org/wiki/馬見丘陵公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度33分39.2秒東経135度44分16.7秒","奈良県北葛城郡広陵町・河合町","65.3ha","都市公園","奈良県","公式ウェブサイト","","","","","","","822台","2012年全面開園","","","","","","中和公園事務所"
"和歌山県","[105和歌公園県立風致公園和歌山県和歌山市片男波] 日本最大の 半島 である 紀伊半島 の南西側に位置し、県南部には大規模な山地を有する。","https://ja.wikipedia.org/wiki/和歌山県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度13分33.7秒東経135度10分3秒","〒640-8585和歌山県和歌山市小松原通一丁目1番地北緯34度13分33.7秒東経135度10分3秒﻿ / ﻿北緯34.226028度 東経135.16750度﻿ /34.226028; 135.16750﻿ (和歌山県)座標:北緯34度13分33.7秒東経135度10分3秒﻿ / ﻿北緯34.226028度 東経135.16750度﻿ /34.226028; 135.16750﻿ (和歌山県)県庁舎位置","4,724.64km2","","","","公式ウェブサイト","4000020300004","日本","近畿地方","916,382人（推計人口、2021年6月1日）","194人/km2","","","","","","","",""
"島根県","[106田和山史跡公園島根県松江市田和山遺跡] 離島の 隠岐島 、 竹島 なども島根県の領域に含まれる。 旧国名 は 出雲国 、 石見国 、 隠岐国 であり、現在でも出雲地方・石見地方・隠岐地方の3つの地域に区分されることが多い。全国では、 鳥取県 に次いで2番目に人口が少ない。","https://ja.wikipedia.org/wiki/島根県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度28分20.3秒東経133度3分1.8秒","〒690-8501島根県松江市殿町1番北緯35度28分20.3秒東経133度3分1.8秒﻿ / ﻿北緯35.472306度 東経133.050500度﻿ /35.472306; 133.050500座標:北緯35度28分20.3秒東経133度3分1.8秒﻿ / ﻿北緯35.472306度 東経133.050500度﻿ /35.472306; 133.050500県庁舎位置","6,708.26km2","","","","公式ウェブサイト","1000020320005","日本","中国地方、山陰地方中国・四国地方","667,079人（推計人口、2021年6月1日）","99.4人/km2","","","","","","","",""
"出雲玉作史跡公園","[107出雲玉作史跡公園市立歴史公園島根県松江市出雲玉作跡] 出雲玉作史跡公園 （いずもたまつくりしせきこうえん）は、 島根県 松江市 玉湯町 にある 考古遺跡 「 出雲玉作跡 」宮垣地区の保存と公開を目的として整備された 公園 である。公園全域が国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/出雲玉作史跡公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度24分58.842秒東経133度0分44.59秒","日本松江市","2.8ヘクタール","歴史公園","","","","","","","","","","","","","","","","出雲玉作資料館内"
"岡山県","[108高松城址公園市立歴史公園岡山県岡山市備中高松城] 瀬戸内 の気候と地勢を背景に 古代 より独自の 文化圏 としての歴史を有し、現代でも 中国・四国地方 の交通網の要衝として発展を続けている。県庁所在地の岡山市は 2009年 （ 平成 21年） 4月1日 、全国で18番目の 政令指定都市 に移行した。 山陽本線 、 山陽新幹線 、 1988年 （昭和63年）に開通した 瀬戸大橋 、 中国自動車道 、 1997年 （平成9年）全線開通した 山陽自動車道 をはじめとして西日本の交通の大動脈が県を縦断している。","https://ja.wikipedia.org/wiki/岡山県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度39分42.3秒東経133度56分5秒","〒700-8570岡山県岡山市北区内山下2丁目4番6号北緯34度39分42.3秒東経133度56分5秒﻿ / ﻿北緯34.661750度 東経133.93472度﻿ /34.661750; 133.93472﻿ (岡山県)座標:北緯34度39分42.3秒東経133度56分5秒﻿ / ﻿北緯34.661750度 東経133.93472度﻿ /34.661750; 133.93472﻿ (岡山県)県庁舎位置","7,114.32km2（境界未定部分あり）","","","","公式ウェブサイト（日本語）","4000020330001","日本","中国地方、山陽地方中国・四国地方","1,873,605人（推計人口、2021年6月1日）","263人/km2","","","","","","","",""
"吉備真備公園 (存在しないページ)","[109吉備真備公園岡山県矢掛町吉備真備居館]","https://ja.wikipedia.org/w/index.php?title=吉備真備公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"山口県","[110綾羅木郷遺跡公園市立歴史公園山口県下関市綾羅木郷遺跡] 本県は 本州 最西端にあたる。","https://ja.wikipedia.org/wiki/山口県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度11分10秒東経131度28分13.8秒","〒753-8501山口県山口市滝町1番1号北緯34度11分10秒東経131度28分13.8秒﻿ / ﻿北緯34.18611度 東経131.470500度﻿ /34.18611; 131.470500﻿ (山口県)座標:北緯34度11分10秒東経131度28分13.8秒﻿ / ﻿北緯34.18611度 東経131.470500度﻿ /34.18611; 131.470500﻿ (山口県)県庁舎位置","6,112.53km2","","","","公式ウェブサイト","2000020350001","日本","中国地方中国・四国地方","1,333,297人（推計人口、2021年6月1日）","218人/km2","","","","","","","",""
