"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最新噴火","最高峰","上位山系","山号","宗派","本尊","創建年","正式名","札所等","延長","幅","開基","寺格"
"比叡山","[比叡山] 比叡山 （ひえいざん）は、 滋賀県 大津市 西部と 京都府 京都市 北東部にまたがる 山 。大津市と京都市 左京区 の県境に位置する 大比叡 （848.3m）と左京区に位置する 四明岳 （しめいがたけ、838m）の二峰から成る双耳峰の総称である。 高野山 と並び古くより信仰対象の山とされ、 延暦寺 や 日吉大社 があり繁栄した。 東山三十六峰 に含まれる場合も有る  。別称は叡山、北嶺、天台山、都富士など。","https://ja.wikipedia.org/wiki/比叡山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度03分57秒東経135度50分04秒","日本滋賀県大津市・京都府京都市左京区","北緯35度03分57秒東経135度50分04秒﻿ / ﻿北緯35.06583度 東経135.83444度﻿ /35.06583; 135.83444座標:北緯35度03分57秒東経135度50分04秒﻿ / ﻿北緯35.06583度 東経135.83444度﻿ /35.06583; 135.83444","848.3m","","","","","","","","","","","","","","","",""
"大江山","[大江山] 大江山 （おおえやま）は 京都府 丹後半島 の付け根に位置し 与謝野町 、 福知山市 、 宮津市 にまたがる連山である。標高832m   。別称、 大枝山 ・ 与謝大山 ・ 千丈ヶ嶽 。","https://ja.wikipedia.org/wiki/大江山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度27分12秒東経135度06分24秒","日本京都府与謝野町・福知山市・宮津市","北緯35度27分12秒東経135度06分24秒﻿ / ﻿北緯35.45333度 東経135.10667度﻿ /35.45333; 135.10667座標:北緯35度27分12秒東経135度06分24秒﻿ / ﻿北緯35.45333度 東経135.10667度﻿ /35.45333; 135.10667","832m","丹波高地（丹後山地）","","","","","","","","","","","","","","",""
"長老ヶ岳","[長老ヶ岳] 長老ヶ岳 （ちょうろうがだけ）は、 丹波高地 に属する 山 である。 長老さん あるいは 長老山 とも呼ばれる。 京都丹波高原国定公園 に選定。","https://ja.wikipedia.org/wiki/長老ヶ岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度18分12秒東経135度28分26秒","日本京都府南丹市・京丹波町","北緯35度18分12秒東経135度28分26秒﻿ / ﻿北緯35.30333度 東経135.47389度﻿ /35.30333; 135.47389座標:北緯35度18分12秒東経135度28分26秒﻿ / ﻿北緯35.30333度 東経135.47389度﻿ /35.30333; 135.47389","916.9m","丹波高地","","","","","","","","","","","","","","",""
"三国岳 (滋賀県・京都府)","[三国岳] 三国岳 （みくにだけ/さんごくだけ）は、 滋賀県 高島市 ・ 京都府 南丹市 ・ 京都市 にまたがる 山 である。「三国」は旧制の国（ 近江国 ・ 丹波国 ・ 山城国 ）の国境の交点に位置することによる。","https://ja.wikipedia.org/wiki/三国岳_(滋賀県・京都府)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度19分14秒東経135度47分38秒","日本滋賀県高島市・京都府南丹市・京都市","北緯35度19分14秒東経135度47分38秒﻿ / ﻿北緯35.32056度 東経135.79389度﻿ /35.32056; 135.79389座標:北緯35度19分14秒東経135度47分38秒﻿ / ﻿北緯35.32056度 東経135.79389度﻿ /35.32056; 135.79389","959.0m","丹波高地","","","","","","","","","","","","","","",""
"愛宕山 (京都市)","[愛宕山] 愛宕山 （あたごやま、あたごさん）は、 京都府 京都市 右京区 の北西部、 山城国 と 丹波国 の国境にある 山 である。京都市街を取り巻く山の中で、 比叡山 と並びよく目立っており、信仰の山としても知られる。","https://ja.wikipedia.org/wiki/愛宕山_(京都市)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度03分36秒東経135度38分03秒","日本京都府京都市右京区","北緯35度03分36秒東経135度38分03秒﻿ / ﻿北緯35.06000度 東経135.63417度﻿ /35.06000; 135.63417座標:北緯35度03分36秒東経135度38分03秒﻿ / ﻿北緯35.06000度 東経135.63417度﻿ /35.06000; 135.63417","924m","","","","","","","","","","","","","","","",""
"御嶽 (兵庫県)","[御嶽（三嶽）] 御嶽 （みたけ）は、 兵庫県 丹波篠山市 にある標高793mの 山 。丹波篠山市の最高峰、 多紀連山 の主峰である。 三嶽 とも表記する。 兵庫50山 の一つである。","https://ja.wikipedia.org/wiki/御嶽_(兵庫県)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度7分38秒東経135度14分41秒","兵庫県丹波篠山市","北緯35度7分38秒東経135度14分41秒﻿ / ﻿北緯35.12722度 東経135.24472度﻿ /35.12722; 135.24472","793.4m","多紀連山","","","","","","","","","","","","","","",""
"白山 (西脇市)","[白山] 白山 （はくさん）は、 兵庫県 西脇市 にある 標高 510 m の 山 である。 丹波高地 の最西端に位置する山であり、 兵庫50山 の一つである。","https://ja.wikipedia.org/wiki/白山_(西脇市)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度02分50秒東経135度01分19秒","日本兵庫県西脇市","北緯35度02分50秒東経135度01分19秒﻿ / ﻿北緯35.04722度 東経135.02194度﻿ /35.04722; 135.02194座標:北緯35度02分50秒東経135度01分19秒﻿ / ﻿北緯35.04722度 東経135.02194度﻿ /35.04722; 135.02194","510m","丹波高地","","","","","","","","","","","","","","",""
"来日岳","[来日岳] 来日岳 （くるひだけ・くりいだけ）・ 来日山 （くるひやま・くりいざん）は、 兵庫県 豊岡市 城崎町 来日にそびえる 山 である。 標高 は566.58 m である  。 ふるさと兵庫100山 の一つ。この山の読み方は、地元でも各地域によって異なり、くるひだけ・くりいだけ・くるひやま・くりいざんなどが有る。","https://ja.wikipedia.org/wiki/来日岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度36分43秒東経134度47分08秒","日本兵庫県豊岡市","北緯35度36分43秒東経134度47分08秒﻿ / ﻿北緯35.61194度 東経134.78556度﻿ /35.61194; 134.78556座標:北緯35度36分43秒東経134度47分08秒﻿ / ﻿北緯35.61194度 東経134.78556度﻿ /35.61194; 134.78556","566.58m","","","","","","","","","","","","","","","",""
"笠置山 (京都府)","[笠置山] 笠置山 （かさぎやま）は、 京都府 相楽郡 笠置町 にある 標高 288 m の 山 である。","https://ja.wikipedia.org/wiki/笠置山_(京都府)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度45分16.8秒東経135度56分32.2秒","日本京都府相楽郡笠置町","北緯34度45分16.8秒東経135度56分32.2秒﻿ / ﻿北緯34.754667度 東経135.942278度﻿ /34.754667; 135.942278座標:北緯34度45分16.8秒東経135度56分32.2秒﻿ / ﻿北緯34.754667度 東経135.942278度﻿ /34.754667; 135.942278","288m","","","","","","","","","","","","","","","",""
"若草山","[若草山] 若草山 （わかくさやま）は、 奈良県 奈良市 の 奈良公園 の東端に位置する 標高 342 m 、面積33 ha の 山 である。","https://ja.wikipedia.org/wiki/若草山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度41分28秒東経135度51分16秒","奈良県奈良市","北緯34度41分28秒東経135度51分16秒﻿ / ﻿北緯34.69111度 東経135.85444度﻿ /34.69111; 135.85444座標:北緯34度41分28秒東経135度51分16秒﻿ / ﻿北緯34.69111度 東経135.85444度﻿ /34.69111; 135.85444","341.8m","笠置山地","","","","","","","","","","","","","","",""
"春日山 (奈良県)","[春日山] 春日山 （かすがやま）は、 奈良県 奈良市 、 春日大社 の東側にある標高497メートルの 花山 （はなやま）もしくは西隣の標高283メートルの 御蓋山 （三笠山・みかさやま）の通称。御蓋山を「（春日）前山」・花山を「（春日）奥山」と区別する場合もある。また、両山および芳山（518m）などの連峰の総称としても用いられる。","https://ja.wikipedia.org/wiki/春日山_(奈良県)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三輪山","[三輪山] 三輪山 （みわやま）は、 奈良県 桜井市 にあるなだらかな 円錐 形の 山 。奈良県北部 奈良盆地 の南東部に位置し、 標高 は467.1m、周囲は16kmである。 三諸山 （みもろやま）ともいう。そのほか 記紀 においては「美和山」、「御諸岳」などとも記される。","https://ja.wikipedia.org/wiki/三輪山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度32分06秒東経135度52分01秒","日本奈良県桜井市","北緯34度32分06秒東経135度52分01秒﻿ / ﻿北緯34.53500度 東経135.86694度﻿ /34.53500; 135.86694座標:北緯34度32分06秒東経135度52分01秒﻿ / ﻿北緯34.53500度 東経135.86694度﻿ /34.53500; 135.86694","467.1m","","","","","","","","","","","","","","","",""
"畝傍山","[畝傍山] 畝傍山 （うねびやま）は、 奈良盆地 南部に位置する 山 である。かつては「 畝火山 」、「雲根火山」、「宇禰縻夜摩」とも記され、「 慈明寺山 」、「 御峯山 」などと呼ばれることもあった  。 万葉集 の中では「 瑞山 」（みずやま）とも詠まれた。 天香久山 、 耳成山 とともに 大和三山 と呼ばれ、 2005年 （平成17年）7月14日には他の2山とともに国の 名勝 に指定された。標高は198.8メートルと三山の中では最も高い  。ただし、山頂にある三等 三角点 の標高は198.49メートルである。 歴史的風土特別保存地区  にも指定されている。","https://ja.wikipedia.org/wiki/畝傍山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度29分33秒東経135度47分05秒","日本奈良県橿原市山本町","北緯34度29分33秒東経135度47分05秒﻿ / ﻿北緯34.49250度 東経135.78472度﻿ /34.49250; 135.78472﻿ (畝傍山)座標:北緯34度29分33秒東経135度47分05秒﻿ / ﻿北緯34.49250度 東経135.78472度﻿ /34.49250; 135.78472﻿ (畝傍山)","198.8m","","","","","","","","","","","","","","","",""
"耳成山","[耳成山] 耳成山 （みみなしやま）は、 奈良盆地 の南部に位置する 奈良県 橿原市 にある 山  。山の 標高 は139.6メートルだが、山頂にある 三角点 の標高は139.2メートルである。 天香久山 、 畝傍山 とならんで 大和三山 の一つをなし、最も北に位置する。 歴史的風土特別保存地区  と国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/耳成山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度30分53秒東経135度48分19秒","日本奈良県橿原市木原町","北緯34度30分53秒東経135度48分19秒﻿ / ﻿北緯34.51472度 東経135.80528度﻿ /34.51472; 135.80528座標:北緯34度30分53秒東経135度48分19秒﻿ / ﻿北緯34.51472度 東経135.80528度﻿ /34.51472; 135.80528","139.6m","","","","","","","","","","","","","","","",""
"天香具山","[天香具山] 天香久山 、 天香具山 （あまのかぐやま、あめのかぐやま）、または 香久山 、 香具山 （かぐやま）は、 奈良県 橿原市 にある山。 畝傍山 、 耳成山 とともに 大和三山 と呼ばれる。標高は152.4メートルと三山の中では標高は2番目である。他の二山が 単独峰 であることに比して多武峰から続く 竜門山地 の端にあたる  。","https://ja.wikipedia.org/wiki/天香具山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度29分45秒東経135度49分06秒","奈良県橿原市南浦町","北緯34度29分45秒東経135度49分06秒﻿ / ﻿北緯34.49583度 東経135.81833度﻿ /34.49583; 135.81833座標:北緯34度29分45秒東経135度49分06秒﻿ / ﻿北緯34.49583度 東経135.81833度﻿ /34.49583; 135.81833","152.4m","龍門山塊","","","","","","","","","","","","","","",""
"飯盛山 (生駒山地)","[飯盛山] 飯盛山 （いいもりやま）は、 大阪府 生駒山地 北西枝にある 山 。 大東市 と 四条畷市 にまたがっており、山頂は大東市にある。 標高 は314.3m。 河内飯盛山 と表記する文献もある  。","https://ja.wikipedia.org/wiki/飯盛山_(生駒山地)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度43分35秒東経135度39分13秒","日本大阪府大東市北条","北緯34度43分35秒東経135度39分13秒﻿ / ﻿北緯34.72639度 東経135.65361度﻿ /34.72639; 135.65361座標:北緯34度43分35秒東経135度39分13秒﻿ / ﻿北緯34.72639度 東経135.65361度﻿ /34.72639; 135.65361","314.3m","生駒山地","","","","","","","","","","","","","","",""
"生駒山","[生駒山] 生駒山 （いこまやま・いこまさん）は、 奈良県 生駒市 と 大阪府 東大阪市 との県境にある 標高 642mの 山 。 生駒山地 の主峰である。","https://ja.wikipedia.org/wiki/生駒山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度40分42.4533秒東経135度40分44.3796秒","奈良県生駒市菜畑町大阪府東大阪市山手町","北緯34度40分42.4533秒東経135度40分44.3796秒﻿ / ﻿北緯34.678459250度 東経135.678994333度﻿ /34.678459250; 135.678994333座標:北緯34度40分42.4533秒東経135度40分44.3796秒﻿ / ﻿北緯34.678459250度 東経135.678994333度﻿ /34.678459250; 135.678994333","641.99m","生駒山地","","","","","","","","","","","","","","",""
"高安山","[高安山] 高安山 （たかやすやま）は、 大阪府 と 奈良県 との境に位置する標高488 m の 山 。7世紀後半に 大和朝廷 により 大和国 防衛の拠点として 高安城 が築かれたことで知られている。","https://ja.wikipedia.org/wiki/高安山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度37分01秒東経135度39分27秒","日本大阪府八尾市服部川奈良県生駒郡平群町久安寺","北緯34度37分01秒東経135度39分27秒﻿ / ﻿北緯34.61694度 東経135.65750度﻿ /34.61694; 135.65750座標:北緯34度37分01秒東経135度39分27秒﻿ / ﻿北緯34.61694度 東経135.65750度﻿ /34.61694; 135.65750","488m","生駒山地","","","","","","","","","","","","","","",""
"信貴山","[信貴山] 信貴山 （しぎさん）は、 奈良県 生駒郡 平群町 に位置する 山 である。","https://ja.wikipedia.org/wiki/信貴山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度36分46秒東経135度40分06秒","奈良県生駒郡平群町","北緯34度36分46秒東経135度40分06秒﻿ / ﻿北緯34.61278度 東経135.66833度﻿ /34.61278; 135.66833","437m","生駒山地","","","","","","","","","","","","","","",""
"二上山 (奈良県・大阪府)","[二上山] 二上山 （にじょうさん  ）は、 奈良県 葛城市 と 大阪府 南河内郡 太子町 にまたがる 山 。かつては 大和言葉 による読みで「 ふたかみやま 」と呼ばれた。 金剛山地 北部に位置し、北方の 雄岳 （517m）と南方の 雌岳 （474m）の2つの山頂がある双耳峰で、 大阪みどりの百選 に選定されている  。また、 石器 に使われた 讃岐岩 （サヌカイト）の産地である。","https://ja.wikipedia.org/wiki/二上山_(奈良県・大阪府)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度31分32秒東経135度40分39秒","日本奈良県葛城市加守大阪府南河内郡太子町大字山田","北緯34度31分32秒東経135度40分39秒﻿ / ﻿北緯34.52556度 東経135.67750度﻿ /34.52556; 135.67750座標:北緯34度31分32秒東経135度40分39秒﻿ / ﻿北緯34.52556度 東経135.67750度﻿ /34.52556; 135.67750","雄岳 517m、雌岳 474m","金剛山地","","","","","","","","","","","","","","",""
"大和葛城山","[葛城山] 大和葛城山 （やまとかつらぎさん）は、 奈良県 御所市 と 大阪府 南河内郡 千早赤阪村 との境に位置する標高959.2mの 山 である。単に 葛城山 と呼ばれることもある。","https://ja.wikipedia.org/wiki/大和葛城山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度27分22秒東経135度40分56秒","日本奈良県御所市・大阪府南河内郡千早赤阪村","北緯34度27分22秒東経135度40分56秒﻿ / ﻿北緯34.45611度 東経135.68222度﻿ /34.45611; 135.68222座標:北緯34度27分22秒東経135度40分56秒﻿ / ﻿北緯34.45611度 東経135.68222度﻿ /34.45611; 135.68222","959.2m","金剛山地","","","","","","","","","","","","","","",""
"金剛山 (金剛山地)","[金剛山] 金剛山 （こんごうさん、こんごうざん）は、 奈良県 御所市 と 大阪府 南河内郡 千早赤阪村 との境目にある 山 。かつては 高間山・高天山 （たかまやま）や 葛城嶺 （かづらきのみね）といわれていた。 金剛山地 の主峰である。","https://ja.wikipedia.org/wiki/金剛山_(金剛山地)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度25分10秒東経135度40分23秒","奈良県御所市大阪府南河内郡千早赤阪村","北緯34度25分10秒東経135度40分23秒﻿ / ﻿北緯34.41944度 東経135.67306度﻿ /34.41944; 135.67306座標:北緯34度25分10秒東経135度40分23秒﻿ / ﻿北緯34.41944度 東経135.67306度﻿ /34.41944; 135.67306","1,125m","金剛山地","","","","","","","","","","","","","","",""
"岩湧山","[岩湧山] 岩湧山 （いわわきさん）とは、 大阪府 河内長野市 にある 山 。 標高 897.1m  で、河内長野市を代表する山である。河内長野市の最高地点は岩湧山の南方にある 南葛城山 （標高922m）付近にある。 奥河内 の観光地の一つ。","https://ja.wikipedia.org/wiki/岩湧山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度22分27秒東経135度33分03秒","大阪府河内長野市","北緯34度22分27秒東経135度33分03秒﻿ / ﻿北緯34.37417度 東経135.55083度﻿ /34.37417; 135.55083座標:北緯34度22分27秒東経135度33分03秒﻿ / ﻿北緯34.37417度 東経135.55083度﻿ /34.37417; 135.55083","897.1m","和泉山脈","","","","","","","","","","","","","","",""
"和泉葛城山","[和泉葛城山] 和泉葛城山 （いずみかつらぎさん）は、 大阪府 と 和歌山県 の境にある 標高 858m  の山。 和泉山脈 を構成する一峰。葛城連峰の中心として昔から親しまれている山である。 1996年 （平成8年） 10月2日 に和泉山脈一帯が 金剛生駒紀泉国定公園 に編入された。","https://ja.wikipedia.org/wiki/和泉葛城山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度20分53秒東経135度26分03秒","日本大阪府岸和田市塔原町・貝塚市蕎原和歌山県紀の川市切畑","北緯34度20分53秒東経135度26分03秒﻿ / ﻿北緯34.34806度 東経135.43417度﻿ /34.34806; 135.43417座標:北緯34度20分53秒東経135度26分03秒﻿ / ﻿北緯34.34806度 東経135.43417度﻿ /34.34806; 135.43417","858m","和泉山脈","","","","","","","","","","","","","","",""
"堀坂山","[堀坂山] 堀坂山 （ほっさかさん・ほっさかやま）は、 三重県 松阪市 にある山である。 標高 は757 m 。","https://ja.wikipedia.org/wiki/堀坂山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度32分47.69秒東経136度25分58.13秒","日本三重県松阪市","北緯34度32分47.69秒東経136度25分58.13秒﻿ / ﻿北緯34.5465806度 東経136.4328139度﻿ /34.5465806; 136.4328139座標:北緯34度32分47.69秒東経136度25分58.13秒﻿ / ﻿北緯34.5465806度 東経136.4328139度﻿ /34.5465806; 136.4328139","757m","高見山地","","","","","","","","","","","","","","",""
"倶留尊山","[倶留尊山] 倶留尊山 （くろそやま）は、 三重県 津市 と 奈良県 宇陀郡 曽爾村 にまたがる 高見山地 の標高1,037 m の 山 である。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/倶留尊山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度31分51秒東経136度10分13秒","日本三重県津市・奈良県宇陀郡曽爾村","北緯34度31分51秒東経136度10分13秒﻿ / ﻿北緯34.53083度 東経136.17028度﻿ /34.53083; 136.17028座標:北緯34度31分51秒東経136度10分13秒﻿ / ﻿北緯34.53083度 東経136.17028度﻿ /34.53083; 136.17028","1,037.27m","高見山地","","","","","","","","","","","","","","",""
"局ヶ岳","[局ヶ岳] 局ヶ岳 （つぼねがだけ）は、 三重県 松阪市 にある山である。 標高 は1,029 m 。ピラミッド型の姿から「南伊勢の 槍ヶ岳 」と呼ばれている。山頂では、東に 伊勢湾 、西に 高見山 を望むことができる。","https://ja.wikipedia.org/wiki/局ヶ岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度27分38秒東経136度19分37秒","日本三重県松阪市","北緯34度27分38秒東経136度19分37秒﻿ / ﻿北緯34.46056度 東経136.32694度﻿ /34.46056; 136.32694座標:北緯34度27分38秒東経136度19分37秒﻿ / ﻿北緯34.46056度 東経136.32694度﻿ /34.46056; 136.32694","1,028.7m","高見山地","","","","","","","","","","","","","","",""
"三峰山 (三重県・奈良県)","[三峰山] 三峰山 （みうねやま）は、 高見山地 に属する 山 である。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/三峰山_(三重県・奈良県)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度26分55秒東経136度12分23秒","三重県松阪市・津市奈良県御杖村","北緯34度26分55秒東経136度12分23秒﻿ / ﻿北緯34.44861度 東経136.20639度﻿ /34.44861; 136.20639座標:北緯34度26分55秒東経136度12分23秒﻿ / ﻿北緯34.44861度 東経136.20639度﻿ /34.44861; 136.20639","1,235.2m","高見山地","","","","","","","","","","","","","","",""
"高見山","[高見山] 高見山 （たかみさん、たかみやま）は、 奈良県 吉野郡 東吉野村 と 三重県 松阪市 （旧 飯南郡 飯高町 ）との境界にある山である。 標高 は1,248.4m。","https://ja.wikipedia.org/wiki/高見山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度25分43秒東経136度05分19秒","奈良県吉野郡東吉野村・三重県松阪市","北緯34度25分43秒東経136度05分19秒﻿ / ﻿北緯34.42861度 東経136.08861度﻿ /34.42861; 136.08861座標:北緯34度25分43秒東経136度05分19秒﻿ / ﻿北緯34.42861度 東経136.08861度﻿ /34.42861; 136.08861","1,248.4m","高見山地・台高山脈","","","","","","","","","","","","","","",""
"竜門岳","[竜門岳] 竜門岳 （りゅうもんがだけ）は、 奈良県 の 宇陀市 と 吉野郡 吉野町 の市町境にある 山 で、 竜門山地  に属している。 龍門岳 あるいは 龍門ガ岳 （ 龍門ヶ岳 ）と表記されることもある  。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/竜門岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度26分26秒東経135度53分52秒","奈良県吉野町","北緯34度26分26秒東経135度53分52秒﻿ / ﻿北緯34.44056度 東経135.89778度﻿ /34.44056; 135.89778","904.1m","竜門山地","","","","","","","","","","","","","","",""
"朝熊山","[朝熊ヶ岳] 朝熊山 （あさまやま）は、 三重県 伊勢市 ・ 鳥羽市 にある 山 。正式名称は 朝熊ヶ岳 （あさまがたけ）。『 三国地誌 』では「岳（たけ）」とも記され、伊勢市近辺で「岳」は朝熊山を意味する。南方に連なる「朝熊山地」を含めて「朝熊山」とする場合があり、この場合には 志摩市 まで跨がることになる。山頂付近に 臨済宗 の 金剛證寺 があり、この寺を「朝熊山」と呼ぶ場合もある。","https://ja.wikipedia.org/wiki/朝熊山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度27分40秒東経136度46分54秒","日本三重県伊勢市・鳥羽市","北緯34度27分40秒東経136度46分54秒﻿ / ﻿北緯34.46111度 東経136.78167度﻿ /34.46111; 136.78167座標:北緯34度27分40秒東経136度46分54秒﻿ / ﻿北緯34.46111度 東経136.78167度﻿ /34.46111; 136.78167","555m","紀伊山地（朝熊山地）","","","","","","","","","","","","","","",""
"大台ヶ原山","[大台ヶ原山- 日本百名山] 大台ヶ原山 （おおだいがはらやま）は 奈良県 と 三重県 の 県境 にある 標高 1695.1m  の 山 である。 深田久弥 によって「 日本百名山 」に選ばれたほか、 日本百景 、 日本の秘境100選 にも選ばれている。 1980年 （昭和55年）に 国際連合教育科学文化機関 の 生物圏保護区 （ユネスコエコパーク）に登録された（登録名：大台ケ原・ 大峯山 ・ 大杉谷 ）  。","https://ja.wikipedia.org/wiki/大台ヶ原山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度11分7秒東経136度6分33秒","奈良県吉野郡上北山村、川上村、三重県多気郡大台町","北緯34度11分7秒東経136度6分33秒﻿ / ﻿北緯34.18528度 東経136.10917度﻿ /34.18528; 136.10917座標:北緯34度11分7秒東経136度6分33秒﻿ / ﻿北緯34.18528度 東経136.10917度﻿ /34.18528; 136.10917","1,695.1m","台高山脈","隆起準平原","","","","","","","","","","","","","",""
"吉野山","[吉野山] 吉野山 （よしのやま）は 奈良県 の中央部・ 吉野郡 吉野町 にある 吉野川（紀の川） 南岸から 大峰山脈 へと南北に続く約8 キロメートル に及ぶ 尾根 続きの山稜の総称、または 金峯山寺 を中心とした社寺が点在する地域の広域地名である。","https://ja.wikipedia.org/wiki/吉野山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","日本奈良県吉野郡吉野町","","","紀伊山地（大峰山脈）","","","","","","","","","","","","","","",""
"山上ヶ岳","[山上ヶ岳] 大峰山 （おおみねさん）は、 奈良県 の南部にある 山 。現在では広義には 大峰山脈 を、狭義には 山上ヶ岳 （さんじょうがたけ）を指す。歴史的には「大峰山」は、大峰山脈のうち山上ヶ岳の南にある小篠（おざさ）から 熊野 までの峰々の呼び名であった。対して小篠から山上ヶ岳を含み尾根沿いに 吉野川 河岸までを 金峰山 という。","https://ja.wikipedia.org/wiki/山上ヶ岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大普賢岳","[大普賢岳] 大普賢岳 （だいふげんだけ）は、 奈良県 の大峰山脈を形成する山の一つで、大峰縦走線歩道（ 大峯奥駈道 ）上にある。 大天井ヶ岳 から 八経ヶ岳 へ至る山脈の中間あたりに位置し、南に 国見岳 、 七曜岳 、 行者還岳 と続く。","https://ja.wikipedia.org/wiki/大普賢岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度13分40秒東経135度57分46秒","日本奈良県吉野郡","北緯34度13分40秒東経135度57分46秒﻿ / ﻿北緯34.22778度 東経135.96278度﻿ /34.22778; 135.96278座標:北緯34度13分40秒東経135度57分46秒﻿ / ﻿北緯34.22778度 東経135.96278度﻿ /34.22778; 135.96278","1,780m","大峰山脈","","","","","","","","","","","","","","",""
"八経ヶ岳","[八経ヶ岳（八剣山） - 日本百名山（大峰山の最高峰）（近畿地方の最高峰）] 八経ヶ岳 （はっきょうがたけ）は 紀伊山地 の一角として 奈良県 吉野郡 天川村 と 上北山村 の境に位置する 山 である。 標高 1,915 m で、奈良県および 近畿地方 の最高峰である。 八剣山 （はちけんざん）とも呼ばれるほか、 役行者 が 法華経 八巻を埋納したと伝わることから 仏経ヶ岳 （ぶっきょうがたけ）とも呼ばれる  。","https://ja.wikipedia.org/wiki/八経ヶ岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度10分25秒東経135度54分27秒","日本奈良県吉野郡天川村・上北山村","北緯34度10分25秒東経135度54分27秒﻿ / ﻿北緯34.17361度 東経135.90750度﻿ /34.17361; 135.90750座標:北緯34度10分25秒東経135度54分27秒﻿ / ﻿北緯34.17361度 東経135.90750度﻿ /34.17361; 135.90750","1,915m","紀伊山地","","","","","","","","","","","","","","",""
