"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","標高","位置","山系","最新噴火"
"藻岩山","もいわ中腹駅（もいわちゅうふくえき）","https://ja.wikipedia.org/wiki/藻岩山#札幌もいわ山ロープウェイ","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯43度01分21秒東経141度19分20秒","","","","","","日本北海道札幌市南区","","","","","","","","","複成火山","531m","北緯43度01分21秒東経141度19分20秒﻿ / ﻿北緯43.02250度 東経141.32222度﻿ /43.02250; 141.32222座標:北緯43度01分21秒東経141度19分20秒﻿ / ﻿北緯43.02250度 東経141.32222度﻿ /43.02250; 141.32222[1]","後志山地","280-230万年前"
"舞木駅","舞木駅（もうぎえき）","https://ja.wikipedia.org/wiki/舞木駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯37度25分0.7秒東経140度26分6.1秒","■磐越東線","79.8 km（いわき起点）","東日本旅客鉄道（JR東日本）","地上駅","1914年（大正3年）7月21日[1]","福島県郡山市舞木町字平189-2[1]北緯37度25分0.7秒東経140度26分6.1秒座標:北緯37度25分0.7秒 東経140度26分6.1秒","2面2線[1]","無人駅[1]（自動券売機 有）","","モキ","542人/日（降車客含まず）-2004年-","","","","","","","",""
"真岡駅","真岡駅（もおかえき）","https://ja.wikipedia.org/wiki/真岡駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度26分22.05秒東経140度0分10.45秒","■真岡線","16.4 km（下館起点）","真岡鐵道","地上駅","1912年（明治45年）4月1日[1]","栃木県真岡市台町2474-1北緯36度26分22.05秒東経140度0分10.45秒﻿ / ﻿北緯36.4394583度 東経140.0029028度﻿ /36.4394583; 140.0029028﻿ (真岡駅)座標:北緯36度26分22.05秒東経140度0分10.45秒﻿ / ﻿北緯36.4394583度 東経140.0029028度﻿ /36.4394583; 140.0029028﻿ (真岡駅)","2面2線","*1988年に「もうか」から呼称を変更[2]","","モウ","400人/日（降車客含まず）-2019年-","","","","","","","",""
"最上駅","最上駅（もがみえき）","https://ja.wikipedia.org/wiki/最上駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯38度45分21.91秒東経140度31分2.95秒","■陸羽東線","65.6 km（小牛田起点）","東日本旅客鉄道（JR東日本）","地上駅","1916年（大正5年）8月1日","山形県最上郡最上町大字向町北緯38度45分21.91秒東経140度31分2.95秒座標:北緯38度45分21.91秒 東経140度31分2.95秒","1面2線","簡易委託駅*1999年に羽前向町駅から改称。","","モミ","139人/日（降車客含まず）-2019年-","","","","","","","",""
"茂吉記念館前駅","茂吉記念館前駅（もきちきねんかんまええき）","https://ja.wikipedia.org/wiki/茂吉記念館前駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯38度10分15.68秒東経140度17分52.53秒","■奥羽本線（山形線）","77.8 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1952年（昭和27年）3月5日","山形県上山市北町字弁天1421北緯38度10分15.68秒東経140度17分52.53秒座標:北緯38度10分15.68秒 東経140度17分52.53秒","2面2線","無人駅（乗車駅証明書発行機 有）*1992年に北上ノ山駅から改称。","","モキキノ（改称前）","190人/日（降車客含まず）-2004年-","","","","","","","",""
"百草園駅","百草園駅（もぐさえんえき）","https://ja.wikipedia.org/wiki/百草園駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度39分27秒東経139度25分51秒","■京王線","28.0 km（新宿起点）","京王電鉄","地上駅（橋上駅）","1925年（大正14年）3月24日","東京都日野市百草209北緯35度39分27秒東経139度25分51秒﻿ / ﻿北緯35.65750度 東経139.43083度﻿ /35.65750; 139.43083﻿ (百草園駅)座標:北緯35度39分27秒東経139度25分51秒﻿ / ﻿北緯35.65750度 東経139.43083度﻿ /35.65750; 139.43083﻿ (百草園駅)","2面2線","","KO28","","","7,620人/日-2019年-","","","","","","",""
"藻琴駅","藻琴駅（もことえき）","https://ja.wikipedia.org/wiki/藻琴駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯43度58分5.96秒東経144度19分12.86秒","■釧網本線","8.7 km（網走起点）","北海道旅客鉄道（JR北海道）","地上駅","1924年（大正13年）11月15日","北海道網走市字藻琴北緯43度58分5.96秒東経144度19分12.86秒","1面1線","無人駅","○B77","モコ","","30人/日-2014年-","","","","","","",""
"門司駅","門司駅（もじえき）","https://ja.wikipedia.org/wiki/門司駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度54分14.95秒東経130度55分59.28秒","JA鹿児島本線","5.5 km（門司港起点）","九州旅客鉄道（JR九州）","地上駅（橋上駅）[1]","1891年（明治24年）4月1日[1]","北九州市門司区中町[1]2-1北緯33度54分14.95秒東経130度55分59.28秒﻿ / ﻿北緯33.9041528度 東経130.9331333度﻿ /33.9041528; 130.9331333座標:北緯33度54分14.95秒東経130度55分59.28秒﻿ / ﻿北緯33.9041528度 東経130.9331333度﻿ /33.9041528; 130.9331333","3面6線[1]","直営駅みどりの窓口有北九州市内駅","JA  29 ","モシ","6,263人/日（降車客含まず）-2019年-","","","","","","","",""
"門司港駅","門司港駅（もじこうえき）","https://ja.wikipedia.org/wiki/門司港駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度56分42.47秒東経130度57分41.36秒","JA鹿児島本線","0.0 km（門司港起点）","九州旅客鉄道（JR九州）","地上駅[1]","1891年（明治24年）4月1日[1][2]","北九州市門司区西海岸一丁目5-31北緯33度56分42.47秒東経130度57分41.36秒﻿ / ﻿北緯33.9451306度 東経130.9614889度﻿ /33.9451306; 130.9614889座標:北緯33度56分42.47秒東経130度57分41.36秒﻿ / ﻿北緯33.9451306度 東経130.9614889度﻿ /33.9451306; 130.9614889","2面4線[1]","直営駅みどりの窓口有北九州市内駅*1942年に門司駅から改称[1]。","JA  31 ","モコ","5,173人/日（降車客含まず）-2019年-","","平成筑豊鉄道門司港レトロ観光線（九州鉄道記念館駅）","","","","","",""
"茂尻駅","茂尻駅（もしりえき）","https://ja.wikipedia.org/wiki/茂尻駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯43度32分14.3秒東経142度4分55.97秒","■根室本線","17.2 km（滝川起点）","北海道旅客鉄道（JR北海道）","地上駅","1918年（大正7年）12月28日","北海道赤平市茂尻元町南2丁目北緯43度32分14.3秒東経142度4分55.97秒﻿ / ﻿北緯43.537306度 東経142.0822139度﻿ /43.537306; 142.0822139﻿ (茂尻駅)","1面2線","無人駅","○T24","モシ","","56人/日-2014年-","","","","","","",""
"百舌鳥駅","百舌鳥駅（もずえき）","https://ja.wikipedia.org/wiki/百舌鳥駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度33分29.02秒東経135度29分18.99秒","R阪和線","11.1 km（天王寺起点）","西日本旅客鉄道（JR西日本）","地上駅","1929年（昭和4年）7月18日","堺市堺区百舌鳥夕雲町二丁166北緯34度33分29.02秒東経135度29分18.99秒﻿ / ﻿北緯34.5580611度 東経135.4886083度﻿ /34.5580611; 135.4886083座標:北緯34度33分29.02秒東経135度29分18.99秒﻿ / ﻿北緯34.5580611度 東経135.4886083度﻿ /34.5580611; 135.4886083","2面2線","業務委託駅みどりの券売機プラス設置駅","JR-R30","モス","3,888人/日（降車客含まず）-2018年-","","","","","","","",""
"百舌鳥八幡駅","百舌鳥八幡駅（もずはちまんえき）","https://ja.wikipedia.org/wiki/百舌鳥八幡駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度33分38.33秒東経135度29分55.27秒","■高野線","13.4km（汐見橋起点）難波から12.7 km","南海電気鉄道","地上駅","1900年（明治33年）9月7日","堺市堺区向陵東町二丁12番17号北緯34度33分38.33秒東経135度29分55.27秒﻿ / ﻿北緯34.5606472度 東経135.4986861度﻿ /34.5606472; 135.4986861座標:北緯34度33分38.33秒東経135度29分55.27秒﻿ / ﻿北緯34.5606472度 東経135.4986861度﻿ /34.5606472; 135.4986861","2面2線","無人駅","NK 58","モズ","","","","4,545人/日-2019年-","","","","",""
"妹背牛駅","妹背牛駅（もせうしえき）","https://ja.wikipedia.org/wiki/妹背牛駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯43度41分26.3秒東経141度57分58.7秒","■函館本線","385.7 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1898年（明治31年）7月16日","北海道雨竜郡妹背牛町妹背牛北緯43度41分26.3秒東経141度57分58.7秒","2面2線","無人駅","○A23","モセ","","72人/日-2014年-","","","","","","",""
"もたて山駅","もたて山駅（もたてやまえき）","https://ja.wikipedia.org/wiki/もたて山駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度4分3.1秒東経135度50分52.6秒","比叡山鉄道線","1.7 km（ケーブル坂本起点）","比叡山鉄道","地上駅","1949年（昭和24年）","滋賀県大津市坂本本町北緯35度4分3.1秒東経135度50分52.6秒﻿ / ﻿北緯35.067528度 東経135.847944度﻿ /35.067528; 135.847944﻿ (もたて山駅*)座標:北緯35度4分3.1秒東経135度50分52.6秒﻿ / ﻿北緯35.067528度 東経135.847944度﻿ /35.067528; 135.847944﻿ (もたて山駅*)","","* 1974年に裳立山遊園地駅から改称","","","","","","","","","","",""
"用瀬駅","用瀬駅（もちがせえき）","https://ja.wikipedia.org/wiki/用瀬駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度20分36.62秒東経134度12分18.13秒","B因美線","21.1 km（鳥取起点）","西日本旅客鉄道（JR西日本）","地上駅","1919年（大正8年）12月20日","鳥取県鳥取市用瀬町用瀬501北緯35度20分36.62秒東経134度12分18.13秒","1面2線","無人駅","","モチ","82人/日（降車客含まず）-2019年-","","","","","","","",""
"持田駅","持田駅（もちだえき）","https://ja.wikipedia.org/wiki/持田駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度8分15.66秒東経139度26分31.83秒","■秩父本線","10.1 km（羽生起点）","秩父鉄道","地上駅","1925年（大正14年）11月15日[1]","埼玉県行田市城西四丁目6-1北緯36度8分15.66秒東経139度26分31.83秒﻿ / ﻿北緯36.1376833度 東経139.4421750度﻿ /36.1376833; 139.4421750座標:北緯36度8分15.66秒東経139度26分31.83秒﻿ / ﻿北緯36.1376833度 東経139.4421750度﻿ /36.1376833; 139.4421750","1面2線","業務委託駅","","モチ","446人/日（降車客含まず）-2019年-","914人/日-2019年-","","","","","","",""
"餅原駅","餅原駅（もちばるえき）","https://ja.wikipedia.org/wiki/餅原駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯31度45分25.59秒東経131度07分57.66秒","日豊本線","382.0 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅","1965年（昭和40年）4月1日[1]","宮崎県北諸県郡三股町大字餅原[1]北緯31度45分25.59秒東経131度07分57.66秒﻿ / ﻿北緯31.7571083度 東経131.1326833度﻿ /31.7571083; 131.1326833座標:北緯31度45分25.59秒東経131度07分57.66秒﻿ / ﻿北緯31.7571083度 東経131.1326833度﻿ /31.7571083; 131.1326833","1面1線[1]","無人駅[1]","","モハ","24人/日（降車客含まず）-2015年-","","","","","","","",""
"用宗駅","用宗駅（もちむねえき）","https://ja.wikipedia.org/wiki/用宗駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度55分21.41秒東経138度21分36.36秒","CA東海道本線（静岡地区）","186.6 km（東京起点）","東海旅客鉄道（JR東海）","地上駅","1909年（明治42年）11月1日","静岡市駿河区用宗城山町4番1号北緯34度55分21.41秒東経138度21分36.36秒","2面3線","業務委託駅（夜間無人駅）JR全線きっぷうりば有","CA  19 ","ムネ","1,517人/日（降車客含まず）-2019年-","","","","","","","",""
"茂木駅","茂木駅（もてぎえき）","https://ja.wikipedia.org/wiki/茂木駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度31分50.57秒東経140度10分53.58秒","■真岡線","41.9 km（下館起点）","真岡鐵道","地上駅","1920年（大正9年）12月15日[1]","栃木県芳賀郡茂木町大字茂木1499-2北緯36度31分50.57秒東経140度10分53.58秒﻿ / ﻿北緯36.5307139度 東経140.1815500度﻿ /36.5307139; 140.1815500﻿ (茂木駅)座標:北緯36度31分50.57秒東経140度10分53.58秒﻿ / ﻿北緯36.5307139度 東経140.1815500度﻿ /36.5307139; 140.1815500﻿ (茂木駅)","1面1線","","","モテ","267人/日（降車客含まず）-2019年-","","","","","","","",""
"元宇品口停留場","元宇品口停留場（もとうじなぐちていりゅうじょう）","https://ja.wikipedia.org/wiki/元宇品口停留場","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度21分14.39秒東経132度27分34.37秒","■宇品線","5.4 km（紙屋町起点）","広島電鉄","地上駅","1935年（昭和10年）12月27日[2]","広島市南区宇品海岸二丁目北緯34度21分14.39秒東経132度27分34.37秒﻿ / ﻿北緯34.3539972度 東経132.4595472度﻿ /34.3539972; 132.4595472﻿ (元宇品口停留場)座標:北緯34度21分14.39秒東経132度27分34.37秒﻿ / ﻿北緯34.3539972度 東経132.4595472度﻿ /34.3539972; 132.4595472﻿ (元宇品口停留場)","2面2線","","●U17","","","1,174[1]人/日-2019年-","","","","","","",""
"本笠寺駅","本笠寺駅（もとかさでらえき）","https://ja.wikipedia.org/wiki/本笠寺駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度5分57秒東経136度56分0秒","名古屋本線","58.2 km（豊橋起点）","名古屋鉄道","地上駅","1917年（大正6年）3月7日[2]","名古屋市南区前浜通七丁目3北緯35度5分57秒東経136度56分0秒﻿ / ﻿北緯35.09917度 東経136.93333度﻿ /35.09917; 136.93333座標:北緯35度5分57秒東経136度56分0秒﻿ / ﻿北緯35.09917度 東経136.93333度﻿ /35.09917; 136.93333","2面4線","*1943年笠寺駅から改称駅員配置駅","NH  29 ","","","4,707人/日-2019年[1]-","","","","","","",""
"元加治駅","元加治駅（もとかじえき）","https://ja.wikipedia.org/wiki/元加治駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度50分25.88秒東経139度20分44.68秒","■池袋線","41.0km（池袋起点）小竹向原から37.6 km","西武鉄道","地上駅","1926年（大正15年）4月3日","埼玉県入間市野田167北緯35度50分25.88秒東経139度20分44.68秒﻿ / ﻿北緯35.8405222度 東経139.3457444度﻿ /35.8405222; 139.3457444﻿ (元加治駅)座標:北緯35度50分25.88秒東経139度20分44.68秒﻿ / ﻿北緯35.8405222度 東経139.3457444度﻿ /35.8405222; 139.3457444﻿ (元加治駅)","1面2線","","SI25","","","7,035人/日-2019年-","","","","","","",""
"元山上口駅","元山上口駅（もとさんじょうぐちえき）","https://ja.wikipedia.org/wiki/元山上口駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度38分24.78秒東経135度42分3.18秒","G生駒線","5.7 km（王寺起点）","近畿日本鉄道（近鉄）","地上駅","1926年（大正15年）10月21日","奈良県生駒郡平群町椣原802北緯34度38分24.78秒東経135度42分3.18秒﻿ / ﻿北緯34.6402167度 東経135.7008833度﻿ /34.6402167; 135.7008833座標:北緯34度38分24.78秒東経135度42分3.18秒﻿ / ﻿北緯34.6402167度 東経135.7008833度﻿ /34.6402167; 135.7008833","1面1線","無人駅（自動券売機 有）"," G23 ","モトサ","887人/日（降車客含まず）-2018年-","","","","","","","",""
"本宿駅 (愛知県)","本宿駅 (愛知県)（もとじゅくえき・名古屋鉄道名古屋本線）","https://ja.wikipedia.org/wiki/本宿駅_(愛知県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度53分35秒東経137度15分36秒","名古屋本線","18.7 km（豊橋起点）","名古屋鉄道","高架駅","1926年（大正15年）4月1日","愛知県岡崎市本宿町字一里山30-4北緯34度53分35秒東経137度15分36秒﻿ / ﻿北緯34.89306度 東経137.26000度﻿ /34.89306; 137.26000座標:北緯34度53分35秒東経137度15分36秒﻿ / ﻿北緯34.89306度 東経137.26000度﻿ /34.89306; 137.26000","2面4線","","NH  08 ","","","6,435人/日-2019年[1]-","","","","","","",""
"本宿駅 (群馬県)","本宿駅 (群馬県)（もとじゅくえき・わたらせ渓谷鐵道わたらせ渓谷線）","https://ja.wikipedia.org/wiki/本宿駅_(群馬県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度28分53.56秒東経139度15分32.61秒","■わたらせ渓谷線","13.8 km（桐生起点）","わたらせ渓谷鐵道","地上駅","1989年（平成元年）3月29日","群馬県桐生市黒保根町宿廻1037-5北緯36度28分53.56秒東経139度15分32.61秒﻿ / ﻿北緯36.4815444度 東経139.2590583度﻿ /36.4815444; 139.2590583座標:北緯36度28分53.56秒東経139度15分32.61秒﻿ / ﻿北緯36.4815444度 東経139.2590583度﻿ /36.4815444; 139.2590583","1面1線","","WK07","モト","","24人/日-2019年-","","","","","","",""
"本巣駅","本巣駅（もとすえき）","https://ja.wikipedia.org/wiki/本巣駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度29分15.17秒東経136度40分12.45秒","樽見線","16.2 km（大垣起点）","樽見鉄道","地上駅","1956年（昭和31年）3月20日","岐阜県本巣市曽井中島北緯35度29分15.17秒東経136度40分12.45秒﻿ / ﻿北緯35.4875472度 東経136.6701250度﻿ /35.4875472; 136.6701250座標:北緯35度29分15.17秒東経136度40分12.45秒﻿ / ﻿北緯35.4875472度 東経136.6701250度﻿ /35.4875472; 136.6701250","1面2線","","","","63人/日（降車客含まず）-2016年-","","","","","","","",""
"元住吉駅","元住吉駅（もとすみよしえき）","https://ja.wikipedia.org/wiki/元住吉駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度33分51秒東経139度39分14秒","■東横線","12.1 km（渋谷起点）","東急電鉄","高架駅","1926年（大正15年）2月14日[1]","川崎市中原区木月一丁目36-1北緯35度33分51秒東経139度39分14秒﻿ / ﻿北緯35.56417度 東経139.65389度﻿ /35.56417; 139.65389﻿ (元住吉駅)座標:北緯35度33分51秒東経139度39分14秒﻿ / ﻿北緯35.56417度 東経139.65389度﻿ /35.56417; 139.65389﻿ (元住吉駅)","2面6線（2面4線）","東急電鉄直営駅","TY12","","","（東横線）47,049人/日（目黒線）20,804人/日（合計）67,853人/日-2019年-","","","","","","",""
"元善光寺駅","元善光寺駅（もとぜんこうじえき）","https://ja.wikipedia.org/wiki/元善光寺駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度32分2.25秒東経137度51分40.80秒","CD飯田線","133.8 km（豊橋起点）","東海旅客鉄道（JR東海）日本貨物鉄道（JR貨物）","地上駅","1923年（大正12年）3月18日[1]","長野県飯田市座光寺[1]3537-8北緯35度32分2.25秒東経137度51分40.80秒﻿ / ﻿北緯35.5339583度 東経137.8613333度﻿ /35.5339583; 137.8613333座標:北緯35度32分2.25秒東経137度51分40.80秒﻿ / ﻿北緯35.5339583度 東経137.8613333度﻿ /35.5339583; 137.8613333","2面3線[1]","駅員無配置駅標高：441m[1]","","モシ[1]","242人/日（降車客含まず）-2018年-","","","","","","","",""
"本楯駅","本楯駅（もとたてえき）","https://ja.wikipedia.org/wiki/本楯駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯38度58分6.8秒東経139度52分56.4秒","■羽越本線","173.3 km（新津起点）","東日本旅客鉄道（JR東日本）","地上駅","1919年（大正8年）12月5日","山形県酒田市本楯字通伝8北緯38度58分6.8秒東経139度52分56.4秒座標:北緯38度58分6.8秒 東経139度52分56.4秒","2面2線","無人駅","","モタ","44人/日（降車客含まず）-2012年-","","","","","","","",""
"元田中駅","元田中駅（もとたなかえき）","https://ja.wikipedia.org/wiki/元田中駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度2分5.84秒東経135度46分53.01秒","■叡山本線","0.9 km（出町柳起点）","叡山電鉄","地上駅","1925年（大正14年）9月27日[1]","京都市左京区田中南大久保町32-1[1]北緯35度2分5.84秒東経135度46分53.01秒﻿ / ﻿北緯35.0349556度 東経135.7813917度﻿ /35.0349556; 135.7813917﻿ (元田中駅)座標:北緯35度2分5.84秒東経135度46分53.01秒﻿ / ﻿北緯35.0349556度 東経135.7813917度﻿ /35.0349556; 135.7813917﻿ (元田中駅)","2面2線",""," E02 ","","551人/日（降車客含まず）-2017年-","","","","","","","",""
"本銚子駅","本銚子駅（もとちょうしえき）","https://ja.wikipedia.org/wiki/本銚子駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度43分51.8秒東経140度50分52.2秒","■銚子電気鉄道線","1.8 km（銚子起点）","銚子電気鉄道","地上駅","1923年（大正12年）7月5日","千葉県銚子市清水町2917北緯35度43分51.8秒東経140度50分52.2秒座標:北緯35度43分51.8秒 東経140度50分52.2秒","1面1線","無人駅","CD04","","88人/日（降車客含まず）-2018年-","","","","","","","",""
"本蓮沼駅","本蓮沼駅（もとはすぬまえき）","https://ja.wikipedia.org/wiki/本蓮沼駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度46分7.5秒東経139度42分8.2秒","●[1]三田線","20.0 km（目黒起点）","東京都交通局（都営地下鉄）","地下駅","1968年（昭和43年）12月27日","東京都板橋区蓮沼町19-8北緯35度46分7.5秒東経139度42分8.2秒﻿ / ﻿北緯35.768750度 東経139.702278度﻿ /35.768750; 139.702278﻿ (本蓮沼駅)座標:北緯35度46分7.5秒東経139度42分8.2秒﻿ / ﻿北緯35.768750度 東経139.702278度﻿ /35.768750; 139.702278﻿ (本蓮沼駅)","2面2線","直営駅","I20[1]","沼[2]（駅名略称）","","26,019人/日-2019年-","","","","","","",""
"本星崎駅","本星崎駅（もとほしざきえき）","https://ja.wikipedia.org/wiki/本星崎駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度5分14秒東経136度56分15秒","名古屋本線","56.7 km（豊橋起点）","名古屋鉄道","地上駅","1917年（大正6年）5月8日","名古屋市南区星宮町301北緯35度5分14秒東経136度56分15秒﻿ / ﻿北緯35.08722度 東経136.93750度﻿ /35.08722; 136.93750座標:北緯35度5分14秒東経136度56分15秒﻿ / ﻿北緯35.08722度 東経136.93750度﻿ /35.08722; 136.93750","2面2線","無人駅","NH  28 ","","","4,446人/日-2019年[1]-","","","","","","",""
"元町駅 (北海道)","元町駅 (北海道)（もとまちえき・札幌市営地下鉄東豊線）","https://ja.wikipedia.org/wiki/元町駅_(北海道)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯43度5分39.79秒東経141度22分17.71秒","札幌市営地下鉄東豊線","2.1 km（栄町駅起点）","札幌市交通局","地下駅","1988年（昭和63年）12月2日[1]","北海道札幌市東区北24条東16丁目北緯43度5分39.79秒東経141度22分17.71秒﻿ / ﻿北緯43.0943861度 東経141.3715861度﻿ /43.0943861; 141.3715861﻿ (元町駅)座標:北緯43度5分39.79秒東経141度22分17.71秒﻿ / ﻿北緯43.0943861度 東経141.3715861度﻿ /43.0943861; 141.3715861﻿ (元町駅)","1面2線","","○H03","","9,362人/日（降車客含まず）-2019年-","","","","","","","",""
"元町駅 (兵庫県)","元町駅 (兵庫県)（もとまちえき・西日本旅客鉄道東海道本線・阪神本線・神戸高速線）","https://ja.wikipedia.org/wiki/元町駅_(兵庫県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）阪神電気鉄道（駅詳細）","","","神戸市中央区","","","","","","","","","","","","",""
"元町・中華街駅","元町・中華街駅（もとまち・ちゅうかがいえき）","https://ja.wikipedia.org/wiki/元町・中華街駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度26分32.7秒東経139度39分1.7秒","■みなとみらい線","4.1 km（横浜起点）","横浜高速鉄道","地下駅","2004年（平成16年）2月1日[1]","横浜市中区山下町65北緯35度26分32.7秒東経139度39分1.7秒﻿ / ﻿北緯35.442417度 東経139.650472度﻿ /35.442417; 139.650472﻿ (元町・中華街駅)","1面2線","","MM06","","","63,291人/日-2019年-","","","","","","",""
"本宮駅 (福島県)","本宮駅 (福島県)（もとみやえき・東日本旅客鉄道東北本線）","https://ja.wikipedia.org/wiki/本宮駅_(福島県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯37度30分51.1秒東経140度23分58.4秒","■東北本線","240.7 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1887年（明治20年）12月15日","福島県本宮市本宮字九縄25北緯37度30分51.1秒東経140度23分58.4秒座標:北緯37度30分51.1秒 東経140度23分58.4秒","2面3線","業務委託駅みどりの窓口有","","モヤ","1,721人/日（降車客含まず）-2019年-","","","","","","","",""
