"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","地方","都道府県","面積","総人口","人口密度","所在地","市町村コード","隣接自治体","外部リンク","法人番号","市長","市の花","市の木","市の鳥","特記事項","他のシンボル","区の木","区の花"
"神埼市","[神埼市] 神埼市 （かんざきし）は、 佐賀県 東部に位置する 市 。","https://ja.wikipedia.org/wiki/神埼市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯33度18分38.6秒東経130度22分22.7秒","日本","九州地方","佐賀県","125.13km2（境界未定部分あり）","30,525人（推計人口、2021年6月1日）","244人/km2","〒842-8601佐賀県神埼市神埼町鶴3542-1北緯33度18分38.6秒東経130度22分22.7秒﻿ / ﻿北緯33.310722度 東経130.372972度﻿ /33.310722; 130.372972座標:北緯33度18分38.6秒東経130度22分22.7秒﻿ / ﻿北緯33.310722度 東経130.372972度﻿ /33.310722; 130.372972","41210-4","佐賀市、神埼郡吉野ヶ里町、三養基郡みやき町福岡県：久留米市、大川市、福岡市","公式ウェブサイト","5000020412104","松本茂幸","さくら（2006年11月16日制定）","もみじ（2006年11月16日制定）","","","","",""
"神埼郡","[神埼郡：吉野ヶ里町] 神埼郡 （かんざきぐん）は、 佐賀県 （ 肥前国 ）の 郡 。","https://ja.wikipedia.org/wiki/神埼郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三養基郡","[三養基郡：基山町-上峰町-みやき町] 三養基郡 （みやきぐん）は、 佐賀県 の 郡 。","https://ja.wikipedia.org/wiki/三養基郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東松浦郡","[東松浦郡：玄海町] 東松浦郡 （ひがしまつうらぐん）は、 佐賀県 の 郡 。","https://ja.wikipedia.org/wiki/東松浦郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西松浦郡","[西松浦郡：有田町] 西松浦郡 （にしまつうらぐん）は、 佐賀県 の 郡 。","https://ja.wikipedia.org/wiki/西松浦郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"杵島郡","[杵島郡：大町町-江北町-白石町] 杵島郡 （きしまぐん）は、 佐賀県 （ 肥前国 ）の 郡 。","https://ja.wikipedia.org/wiki/杵島郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"藤津郡","[藤津郡：太良町] 藤津郡 （ふじつぐん）は、 佐賀県 （ 肥前国 ）の 郡 。","https://ja.wikipedia.org/wiki/藤津郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長崎市","[長崎市] 長崎市 （ながさきし）は、 長崎県 中部に位置する 市 。長崎県の 県庁所在地 であり、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/長崎市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度45分1.2秒東経129度52分40.3秒","日本","九州地方","長崎県","405.86km2","402,506人（推計人口、2021年6月1日）","992人/km2","〒850-8685長崎県長崎市桜町2番22号北緯32度45分1.2秒東経129度52分40.3秒﻿ / ﻿北緯32.750333度 東経129.877861度﻿ /32.750333; 129.877861﻿ (長崎市)座標:北緯32度45分1.2秒東経129度52分40.3秒﻿ / ﻿北緯32.750333度 東経129.877861度﻿ /32.750333; 129.877861﻿ (長崎市)市庁舎位置","42201-1","諫早市、西海市、西彼杵郡時津町、長与町","公式ウェブサイト","6000020422011","田上富久","アジサイ（1968年3月21日制定）","ナンキンハゼ（1975年8月1日制定）","","","","",""
"佐世保市","[佐世保市] 佐世保市 （させぼし、させほし  ）は、 長崎県 北部地方にある 市 。","https://ja.wikipedia.org/wiki/佐世保市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯33度10分47.9秒東経129度42分55.1秒","日本","九州地方","長崎県","426.06km2","241,517人（推計人口、2021年6月1日）","567人/km2","〒857-8585長崎県佐世保市八幡町1番10号北緯33度10分47.9秒東経129度42分55.1秒﻿ / ﻿北緯33.179972度 東経129.715306度﻿ /33.179972; 129.715306﻿ (佐世保市)座標:北緯33度10分47.9秒東経129度42分55.1秒﻿ / ﻿北緯33.179972度 東経129.715306度﻿ /33.179972; 129.715306﻿ (佐世保市)","42202-9","松浦市、平戸市、西海市、北松浦郡佐々町、東彼杵郡川棚町、波佐見町佐賀県：伊万里市、西松浦郡有田町","公式ウェブサイト","5000020422029","朝長則男","カノコユリ","ハナミズキ","","","","",""
"島原市","[島原市] 島原市 （しまばらし）は、 長崎県 南東部の 島原半島 にある 市 。島原半島の中心都市。 島原城 や武家屋敷など旧城下町の街並みが残り、市内に湧水群のある観光都市である。 有明海 （ 島原湾 ）を介して、フェリーや高速船で結ばれている対岸の 熊本市 や 大牟田市 などとの関係も深い。旧 南高来郡 。","https://ja.wikipedia.org/wiki/島原市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度47分17.3秒東経130度22分12.9秒","日本","九州地方","長崎県","82.97km2","42,502人（推計人口、2021年6月1日）","512人/km2","〒855-8555長崎県島原市上の町537北緯32度47分17.3秒東経130度22分12.9秒﻿ / ﻿北緯32.788139度 東経130.370250度﻿ /32.788139; 130.370250座標:北緯32度47分17.3秒東経130度22分12.9秒﻿ / ﻿北緯32.788139度 東経130.370250度﻿ /32.788139; 130.370250","42203-7","雲仙市、南島原市（海を隔てて）熊本県熊本市","公式ウェブサイト","5000020422037","古川隆三郎","ウメ","くすの木","","","なし","",""
"諫早市","[諫早市] 諫早市 （いさはやし）は、 長崎県 の中央部にある 市 。 長崎市 、 佐世保市 に次ぎ長崎県で第3位、 九州 では第14位の人口を有する都市である。「 諌早市 」は略字表記。官公庁の公式文書では「諫早市」と表記している。旧 北高来郡 。","https://ja.wikipedia.org/wiki/諫早市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度50分36.2秒東経130度3分11.3秒","日本","九州地方","長崎県","341.79km2","133,312人（推計人口、2021年6月1日）","390人/km2","〒854-0014長崎県諫早市東小路町7番1号北緯32度50分36.2秒東経130度3分11.3秒﻿ / ﻿北緯32.843389度 東経130.053139度﻿ /32.843389; 130.053139座標:北緯32度50分36.2秒東経130度3分11.3秒﻿ / ﻿北緯32.843389度 東経130.053139度﻿ /32.843389; 130.053139","42204-5","長崎市、大村市、雲仙市、西彼杵郡長与町佐賀県藤津郡太良町","公式ウェブサイト","5000020422045","大久保潔重","ツクシシャクナゲ（筑紫石楠花）","ヒゼンマユミ（肥前真弓）","","","","",""
"大村市","[大村市] 大村市 （おおむらし）は、 長崎県 の中央に位置する 市 。東は 多良岳 県立公園、西は 大村湾 を望む自然豊かな市である。また、 長崎空港 があることから、長崎県の玄関口としての面も併せ持つ。人口密度は、長崎県で第2位。長崎県で第4位の人口を有する。九州では第32位の人口を有する都市である。","https://ja.wikipedia.org/wiki/大村市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度54分0秒 東経129度57分30秒","日本","九州地方","長崎県","126.64km2","95,698人（推計人口、2021年6月1日）","756人/km2","〒856-8686長崎県大村市玖島一丁目25番地","42205-3","諫早市、東彼杵郡東彼杵町佐賀県：鹿島市、嬉野市、藤津郡太良町","公式ウェブサイト","5000020422053","園田裕史","おおむらざくら","イチイガシ","","","","",""
"平戸市","[平戸市] 平戸市 （ひらどし）は、 長崎県 北西部の 平戸島 とその周辺を行政区域とする 市 。中心の平戸地区は旧 平戸藩 松浦氏 の 城下町 で、 鎖国 前は 中国 や ポルトガル 、 オランダ などとの国際貿易港だった。","https://ja.wikipedia.org/wiki/平戸市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯33度22分5秒東経129度33分13.4秒","日本","九州地方","長崎県","235.09km2","28,563人（推計人口、2021年6月1日）","121人/km2","〒859-5192長崎県平戸市岩の上町1508番地の第3北緯33度22分5秒東経129度33分13.4秒﻿ / ﻿北緯33.36806度 東経129.553722度﻿ /33.36806; 129.553722﻿ (平戸市)座標:北緯33度22分5秒東経129度33分13.4秒﻿ / ﻿北緯33.36806度 東経129.553722度﻿ /33.36806; 129.553722﻿ (平戸市)","42207-0","松浦市、佐世保市","公式ウェブサイト","4000020422070","黒田成彦","ヒラドツツジ","マキ","","","","",""
"松浦市","[松浦市] 松浦市 （まつうらし）は、 長崎県 北部、 北松浦半島 に位置する 市 。離島部も市域に含む。 松浦党 発祥の地、「アジ」水揚げ日本一を誇る都市として知られ、「 アジフライ の聖地」を名乗っている   。","https://ja.wikipedia.org/wiki/松浦市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯33度20分27.5秒東経129度42分32.8秒","日本","九州地方","長崎県","130.55km2","21,073人（推計人口、2021年6月1日）","161人/km2","〒859-4598長崎県松浦市志佐町里免365番地北緯33度20分27.5秒東経129度42分32.8秒﻿ / ﻿北緯33.340972度 東経129.709111度﻿ /33.340972; 129.709111座標:北緯33度20分27.5秒東経129度42分32.8秒﻿ / ﻿北緯33.340972度 東経129.709111度﻿ /33.340972; 129.709111","42208-8","佐世保市、平戸市佐賀県：伊万里市、唐津市","公式ウェブサイト","3000020422088","友田吉泰","ツバキ","マキ","","","","",""
"対馬市","[対馬市] 対馬市 （つしまし）は、 長崎県 の 対馬 に位置する 市 である。 対馬振興局 の所在地。","https://ja.wikipedia.org/wiki/対馬市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯34度12分10秒東経129度17分15.1秒","日本","九州地方","長崎県（対馬振興局）","707.42km2","28,161人（推計人口、2021年6月1日）","39.8人/km2","〒817-0022長崎県対馬市厳原町国分1441番地北緯34度12分10秒東経129度17分15.1秒﻿ / ﻿北緯34.20278度 東経129.287528度﻿ /34.20278; 129.287528﻿ (対馬市)座標:北緯34度12分10秒東経129度17分15.1秒﻿ / ﻿北緯34.20278度 東経129.287528度﻿ /34.20278; 129.287528﻿ (対馬市)","42209-6","壱岐市","公式ウェブサイト","3000020422096","比田勝尚喜","玄海つつじ","ひとつばたご","高麗きじ","","","",""
"壱岐市","[壱岐市] 壱岐市 （いきし）は、 長崎県 の 壱岐島 を主な行政区域とする 市 である。 壱岐振興局 の所在地。","https://ja.wikipedia.org/wiki/壱岐市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯33度44分59.7秒東経129度41分28.8秒","日本","九州地方","長崎県","139.42km2","24,670人（推計人口、2021年6月1日）","177人/km2","〒811-5192長崎県壱岐市郷ノ浦町本村触562北緯33度44分59.7秒東経129度41分28.8秒﻿ / ﻿北緯33.749917度 東経129.691333度﻿ /33.749917; 129.691333座標:北緯33度44分59.7秒東経129度41分28.8秒﻿ / ﻿北緯33.749917度 東経129.691333度﻿ /33.749917; 129.691333","42210-0","なし","公式ウェブサイト","8000020422100","白川博一","水仙","マキ","","","","",""
"五島市","[五島市] 五島市 （ごとうし）は、 長崎県 の西部、 五島列島 の南西部に位置する 市 。","https://ja.wikipedia.org/wiki/五島市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度41分44秒東経128度50分26.9秒","日本","九州地方","長崎県","420.10km2","34,028人（推計人口、2021年6月1日）","81人/km2","〒853-8501長崎県五島市福江町1番1号北緯32度41分44秒東経128度50分26.9秒﻿ / ﻿北緯32.69556度 東経128.840806度﻿ /32.69556; 128.840806座標:北緯32度41分44秒東経128度50分26.9秒﻿ / ﻿北緯32.69556度 東経128.840806度﻿ /32.69556; 128.840806","42211-8","南松浦郡新上五島町（海域を挟む）","公式ウェブサイト","7000020422118","野口市太郎","ハマユウ","アコウ","","","","",""
"西海市","[西海市] 西海市 （さいかいし）は、 長崎県 西彼杵半島 の北部に位置する 市 。","https://ja.wikipedia.org/wiki/西海市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度55分59.2秒東経129度38分34.8秒","日本","九州地方","長崎県","241.59km2","25,891人（推計人口、2021年6月1日）","107人/km2","〒857-2302長崎県西海市大瀬戸町瀬戸樫浦郷2222北緯32度55分59.2秒東経129度38分34.8秒﻿ / ﻿北緯32.933111度 東経129.643000度﻿ /32.933111; 129.643000座標:北緯32度55分59.2秒東経129度38分34.8秒﻿ / ﻿北緯32.933111度 東経129.643000度﻿ /32.933111; 129.643000","42212-6","長崎市、佐世保市（架橋により）","公式ウェブサイト","7000020422126","杉澤泰彦","カノコユリ","ヤマモモ","","","ハマボウ（花木）アラカブ（魚）ウグイス（鳥）","",""
"雲仙市","[雲仙市] 雲仙市 （うんぜんし）は、 長崎県 島原半島 西部に位置する 市 。雲仙の地名は、 西暦701年 に、 行基 がこの地に開山したとされる「 温泉山満明寺 」の山号が元となっている。この「温泉」が、かつては「うんぜん」と読まれていたことに由来する  。","https://ja.wikipedia.org/wiki/雲仙市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度50分6.7秒東経130度11分15.1秒","日本","九州地方","長崎県","214.31km2","40,795人（推計人口、2021年6月1日）","190人/km2","〒859-1107長崎県雲仙市吾妻町牛口名714番地北緯32度50分6.7秒東経130度11分15.1秒﻿ / ﻿北緯32.835194度 東経130.187528度﻿ /32.835194; 130.187528座標:北緯32度50分6.7秒東経130度11分15.1秒﻿ / ﻿北緯32.835194度 東経130.187528度﻿ /32.835194; 130.187528","42213-4","諫早市、島原市、南島原市（海を隔てて）熊本県長洲町","公式ウェブサイト","7000020422134","金澤秀三郎","ミヤマキリシマ","ヤマボウシ","","","","",""
"南島原市","[南島原市] 南島原市 （みなみしまばらし）は、 長崎県 島原半島 南部に位置する 市 である。","https://ja.wikipedia.org/wiki/南島原市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度39分35.3秒東経130度17分52秒","日本","九州地方","長崎県","170.11km2","41,471人（推計人口、2021年6月1日）","244人/km2","〒859-2211長崎県南島原市西有家町里坊96番地2北緯32度39分35.3秒東経130度17分52秒﻿ / ﻿北緯32.659806度 東経130.29778度﻿ /32.659806; 130.29778座標:北緯32度39分35.3秒東経130度17分52秒﻿ / ﻿北緯32.659806度 東経130.29778度﻿ /32.659806; 130.29778市庁舎位置","42214-2","長崎県:島原市、雲仙市（島原湾を挟んで）熊本県:上天草市、天草市","公式ウェブサイト","7000020422142","松本政博","ひまわり","アコウ","","","","",""
"西彼杵郡","[西彼杵郡：長与町-時津町] 西彼杵郡 （にしそのぎぐん）は、 長崎県 の 郡 。","https://ja.wikipedia.org/wiki/西彼杵郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東彼杵郡","[東彼杵郡：東彼杵町-川棚町-波佐見町] 東彼杵郡 （ひがしそのぎぐん）は、 長崎県 の 郡 。","https://ja.wikipedia.org/wiki/東彼杵郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北松浦郡","[北松浦郡：小値賀町-佐々町] 北松浦郡 （きたまつうらぐん）は、 長崎県 の 郡 。","https://ja.wikipedia.org/wiki/北松浦郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"南松浦郡","[南松浦郡：新上五島町] 南松浦郡 （みなみまつうらぐん）は、 長崎県 の 郡 。","https://ja.wikipedia.org/wiki/南松浦郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"熊本市","[熊本市：中央区-東区-西区-南区-北区] 熊本市 （くまもとし）は、 熊本県 のやや北部に位置する 市 。熊本県の 県庁所在地 で、日本最南端の 政令指定都市 である。","https://ja.wikipedia.org/wiki/熊本市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度48分10.8秒東経130度42分28.3秒","日本","九州地方","熊本県","390.32km2","737,921人（推計人口、2021年6月1日）","1,891人/km2","〒860-8601熊本県熊本市中央区手取本町1番1号北緯32度48分10.8秒東経130度42分28.3秒﻿ / ﻿北緯32.803000度 東経130.707861度﻿ /32.803000; 130.707861﻿ (熊本市)座標:北緯32度48分10.8秒東経130度42分28.3秒﻿ / ﻿北緯32.803000度 東経130.707861度﻿ /32.803000; 130.707861﻿ (熊本市)市庁舎位置","43100-1","宇土市、合志市、宇城市、玉名市、菊池市、山鹿市、上益城郡嘉島町、甲佐町、益城町、御船町、菊池郡菊陽町、玉名郡玉東町（海上を隔て）長崎県島原市","公式ウェブサイト","9000020431001","大西一史","肥後ツバキ（1974年（昭和49年）10月9日制定）","イチョウ（1974年（昭和49年）10月9日制定）","シジュウカラ（1984年（昭和59年）5月22日制定）","","","",""
"八代市","[八代市] 八代市 （やつしろし）は、 熊本県 に存在する田園工業都市。","https://ja.wikipedia.org/wiki/八代市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度30分27.2秒東経130度36分6.2秒","日本","九州地方","熊本県","681.36km2","121,500人（推計人口、2021年6月1日）","178人/km2","〒866-8601熊本県八代市松江城町1-25北緯32度30分27.2秒東経130度36分6.2秒﻿ / ﻿北緯32.507556度 東経130.601722度﻿ /32.507556; 130.601722﻿ (八代市)座標:北緯32度30分27.2秒東経130度36分6.2秒﻿ / ﻿北緯32.507556度 東経130.601722度﻿ /32.507556; 130.601722﻿ (八代市)","43202-4","宇城市、八代郡氷川町、葦北郡芦北町、下益城郡美里町、上益城郡山都町、球磨郡水上村、五木村、山江村、球磨村宮崎県東臼杵郡椎葉村","公式ウェブサイト","9000020432024","中村博生","桜","晩白柚","","市外局番:0965（市内全域）","市の鳥:カワセミ花など=市民の花ヤツシロソウ市章:八代市章市の歌:八代市民の歌「陽は昇る」市の愛唱歌:「わたしのまちは」","",""
"人吉市","[人吉市] 人吉市 （ひとよしし）は、 熊本県 の最南部にある 市 である。","https://ja.wikipedia.org/wiki/人吉市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度12分36.1秒東経130度45分44.9秒","日本","九州地方","熊本県","210.55km2","31,088人（推計人口、2021年6月1日）","148人/km2","〒868-8601熊本県人吉市麓町16番地北緯32度12分36.1秒東経130度45分44.9秒﻿ / ﻿北緯32.210028度 東経130.762472度﻿ /32.210028; 130.762472﻿ (人吉市)座標:北緯32度12分36.1秒東経130度45分44.9秒﻿ / ﻿北緯32.210028度 東経130.762472度﻿ /32.210028; 130.762472﻿ (人吉市)市庁舎位置（2016年5月2日に移転する前の市役所本庁舎）","43203-2","球磨郡錦町、相良村、山江村、球磨村宮崎県えびの市鹿児島県伊佐市","公式ウェブサイト","9000020432032","松岡隼人","うめの花","かし","うぐいす、ヤマセミ","","","",""
"荒尾市","[荒尾市] 荒尾市 （あらおし）は、 熊本県 北西部にある 市 である。","https://ja.wikipedia.org/wiki/荒尾市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度59分12.3秒東経130度25分59.1秒","日本","九州地方","熊本県","57.37km2","50,204人（推計人口、2021年6月1日）","875人/km2","〒864-8686熊本県荒尾市宮内出目390番地北緯32度59分12.3秒東経130度25分59.1秒﻿ / ﻿北緯32.986750度 東経130.433083度﻿ /32.986750; 130.433083﻿ (荒尾市)座標:北緯32度59分12.3秒東経130度25分59.1秒﻿ / ﻿北緯32.986750度 東経130.433083度﻿ /32.986750; 130.433083﻿ (荒尾市)市庁舎位置","43204-1","玉名市、玉名郡南関町、長洲町福岡県大牟田市","荒尾市","8000020432041","浅田敏彦","梨の花","小岱松","","","市の魚:マジャク市の鳥:シロチドリ（2012年4月1日制定）マスコットキャラクター:マジャッキー","",""
"水俣市","[水俣市] 水俣市 （みなまたし）は、 熊本県 最南部に位置する 市 である。西は 不知火海 に面して 天草 の島々を望み、もともと海の幸、山の幸に恵まれた風光明媚な土地である。重く長い公害の歴史を経て、 2017年 現在では環境都市づくりを推進している。","https://ja.wikipedia.org/wiki/水俣市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度12分42.7秒東経130度24分31.5秒","日本","九州地方","熊本県","163.29km2","22,903人（推計人口、2021年6月1日）","140人/km2","〒867-8555熊本県水俣市陣内1丁目1番1号北緯32度12分42.7秒東経130度24分31.5秒﻿ / ﻿北緯32.211861度 東経130.408750度﻿ /32.211861; 130.408750﻿ (水俣市)座標:北緯32度12分42.7秒東経130度24分31.5秒﻿ / ﻿北緯32.211861度 東経130.408750度﻿ /32.211861; 130.408750﻿ (水俣市)市庁舎位置","43205-9","葦北郡芦北町、津奈木町、球磨郡球磨村鹿児島県：出水市、伊佐市","公式ウェブサイト（日本語）","7000020432059","髙岡利治","つつじ","さくら","","","","",""
"玉名市","[玉名市] 玉名市 （たまなし）は、 熊本県 北部に位置する 市 。","https://ja.wikipedia.org/wiki/玉名市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度56分07秒東経130度33分46秒","日本","九州地方","熊本県","152.60km2","63,910人（推計人口、2021年6月1日）","419人/km2","〒865-8501熊本県玉名市岩崎163番地北緯32度56分07秒東経130度33分46秒﻿ / ﻿北緯32.93528度 東経130.56278度﻿ /32.93528; 130.56278﻿ (玉名市)座標:北緯32度56分07秒東経130度33分46秒﻿ / ﻿北緯32.93528度 東経130.56278度﻿ /32.93528; 130.56278﻿ (玉名市)市庁舎位置","43206-7","熊本市、荒尾市、玉名郡長洲町、玉東町、和水町、南関町","公式ウェブサイト","7000020432067","藏原隆浩","肥後花しょうぶ","小岱松","しらさぎ","玉名市の歌「我らの故郷玉名」市外局番：0968（玉名市全域）","","",""
"山鹿市","[山鹿市] 山鹿市 （やまがし）は、 熊本県 の北部に位置する 市 である。 山鹿温泉 や 山鹿灯籠まつり で知られる。","https://ja.wikipedia.org/wiki/山鹿市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯33度1分0.3秒東経130度41分28.7秒","日本","九州地方","熊本県","299.69km2","48,492人（推計人口、2021年6月1日）","162人/km2","〒861-0592熊本県山鹿市山鹿987番地3北緯33度1分0.3秒東経130度41分28.7秒﻿ / ﻿北緯33.016750度 東経130.691306度﻿ /33.016750; 130.691306﻿ (山鹿市)座標:北緯33度1分0.3秒東経130度41分28.7秒﻿ / ﻿北緯33.016750度 東経130.691306度﻿ /33.016750; 130.691306﻿ (山鹿市)市庁舎位置","43208-3","熊本市、菊池市、玉名郡玉東町、和水町福岡県八女市大分県日田市","公式ウェブサイト","7000020432083","早田順一","ツツジ","キンモクセイ","","","ウグイス","",""
"菊池市","[菊池市] 菊池市 （きくちし）は、 熊本県 北部に位置する 市 である。","https://ja.wikipedia.org/wiki/菊池市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度58分46秒東経130度48分47.7秒","日本","九州地方","熊本県","276.85km2","45,743人（推計人口、2021年6月1日）","165人/km2","〒861-1392熊本県菊池市隈府888番地北緯32度58分46秒東経130度48分47.7秒﻿ / ﻿北緯32.97944度 東経130.813250度﻿ /32.97944; 130.813250座標:北緯32度58分46秒東経130度48分47.7秒﻿ / ﻿北緯32.97944度 東経130.813250度﻿ /32.97944; 130.813250菊池市役所（2013年11月12日撮影）","43210-5","熊本市、山鹿市、阿蘇市、合志市、菊池郡大津町大分県：日田市","公式ウェブサイト（日本語）","2000020432105","江頭実","キク","サクラ","ウグイス","","","",""
"宇土市","[宇土市] 宇土市 （うとし）は、 熊本県 中央部に位置する市で、 小西行長 の 城下町 である。 中世 から交通の要地であり、 豪族 たちがその支配をめぐって争いを続けてきた。近代以降も、熊本県における一つの商工業の拠点であり続けた。","https://ja.wikipedia.org/wiki/宇土市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度41分14秒東経130度39分31.2秒","日本","九州地方","熊本県","74.30km2","35,765人（推計人口、2021年6月1日）","481人/km2","〒869-0492熊本県宇土市浦田町51番地北緯32度41分14秒東経130度39分31.2秒﻿ / ﻿北緯32.68722度 東経130.658667度﻿ /32.68722; 130.658667﻿ (宇土市)座標:北緯32度41分14秒東経130度39分31.2秒﻿ / ﻿北緯32.68722度 東経130.658667度﻿ /32.68722; 130.658667﻿ (宇土市)2016年熊本地震で被災する前の宇土市役所（2011年当時）","43211-3","熊本市、宇城市","公式ウェブサイト","2000020432113","元松茂樹","あじさい","きんもくせい","メジロ","","","",""
"上天草市","[上天草市] 上天草市 （かみあまくさし）は、 熊本県 の 天草諸島 東部に位置する人口約2万6000人の 市 。","https://ja.wikipedia.org/wiki/上天草市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯32度35分14.7秒東経130度25分49.5秒","日本","九州地方","熊本県","126.94km2","23,736人（推計人口、2021年6月1日）","187人/km2","〒869-3692熊本県上天草市大矢野町上1514番地北緯32度35分14.7秒東経130度25分49.5秒﻿ / ﻿北緯32.587417度 東経130.430417度﻿ /32.587417; 130.430417﻿ (上天草市)座標:北緯32度35分14.7秒東経130度25分49.5秒﻿ / ﻿北緯32.587417度 東経130.430417度﻿ /32.587417; 130.430417﻿ (上天草市)","43212-1","宇城市、天草市","公式ウェブサイト","2000020432121","堀江隆臣","サクラ","マツ","メジロ","","","",""
