"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","法人番号","位置","創建年","山号","本尊","宗派","文化財","開基","札所等","正式名","別称","公式HP","寺格","開山","宗旨","院号","中興","中興年"
"放光寺 (松本市)","[放光寺（ほうこうじ）（長野県松本市）] 放光寺 （ほうこうじ）は、 長野県 松本市 蟻ケ崎 にある 曹洞宗 の 寺院 。山号は日光山。本尊は 十一面観音 で 秘仏 。松本では 兎川寺 、 牛伏寺 と並び最も歴史のある寺院。","https://ja.wikipedia.org/wiki/放光寺_(松本市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯36度14分59.81秒東経137度57分25.41秒","長野県松本市蟻ケ崎1283","8100005006099","北緯36度14分59.81秒東経137度57分25.41秒﻿ / ﻿北緯36.2499472度 東経137.9570583度﻿ /36.2499472; 137.9570583","（伝）730年（天平2年）","日光山","十一面観音（秘仏）","曹洞宗","十一面観音立像（長野県宝）","（伝）行基","松本三十三番札所第25番信濃府三十四番札所第2番","","松本日光","","","","","","",""
"方広寺","[方広寺（ほうこうじ）（京都市東山区）] 方広寺 （ほうこうじ）は、 京都市 東山区 にある 天台宗 の 寺院 。通称は「大仏」または「大仏殿」。 豊臣秀吉 が発願した大仏（ 盧舎那仏 ）を安置するための寺として 木食応其 によって創建された。","https://ja.wikipedia.org/wiki/方広寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度59分31.58秒東経135度46分19.43秒","京都市東山区大和大路通七条上ル茶屋町527-2","2130005001912","北緯34度59分31.58秒東経135度46分19.43秒﻿ / ﻿北緯34.9921056度 東経135.7720639度﻿ /34.9921056; 135.7720639座標:北緯34度59分31.58秒東経135度46分19.43秒﻿ / ﻿北緯34.9921056度 東経135.7720639度﻿ /34.9921056; 135.7720639","文禄4年（1595年）","なし","盧舎那仏","天台宗","梵鐘（重要文化財）大仏殿跡及び石塁・石塔（国の史跡）","豊臣秀吉","","","大仏殿","","","古渓宗陳","","","",""
"方広寺 (浜松市)","[方広寺（ほうこうじ）（静岡県浜松市北区）] 方広寺 （方廣寺  、ほうこうじ）は、 静岡県 浜松市 北区 にある寺院で 臨済宗方広寺派 の大本山である。山号は深奥山（じんのうざん）、寺号は詳しくは方広萬寿禅寺と称する。別称、 奥山半僧坊 。本尊は 釈迦如来 。","https://ja.wikipedia.org/wiki/方広寺_(浜松市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度50分54.5秒東経137度36分50.3秒","静岡県浜松市北区引佐町奥山1577-1","8080405003681","北緯34度50分54.5秒東経137度36分50.3秒﻿ / ﻿北緯34.848472度 東経137.613972度﻿ /34.848472; 137.613972座標:北緯34度50分54.5秒東経137度36分50.3秒﻿ / ﻿北緯34.848472度 東経137.613972度﻿ /34.848472; 137.613972","建徳2年（1371年）","深奥山","釈迦如来","臨済宗方広寺派","七尊菩薩堂・木造釈迦如来及び両脇侍像（重要文化財）絹本着色無文元選像（県有形文化財）","奥山六郎次郎朝藤","","深奥山 方広萬寿禅寺","奥山半僧坊","","大本山","無文元選","","","",""
"宝厳院","[宝厳院（ほうごんいん）（京都市右京区）] 宝厳院 （ほうごんいん）は 京都府 京都市 右京区 にある 臨済宗天龍寺派 の 寺院 で 天龍寺 の 塔頭 。山号は大亀山。","https://ja.wikipedia.org/wiki/宝厳院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度0分53.22秒東経135度40分25.35秒","京都府京都市右京区嵯峨天竜寺芒ノ馬場町68","6130005001124","北緯35度0分53.22秒東経135度40分25.35秒﻿ / ﻿北緯35.0147833度 東経135.6737083度﻿ /35.0147833; 135.6737083","寛正2年（1461年）","大亀山","十一面観音","臨済宗天龍寺派","","細川頼之、聖仲永光（開山）","","","","","天龍寺塔頭","","","","",""
"法金剛院","[法金剛院（ほうこんごういん）（京都市右京区）] 法金剛院 （ほうこんごういん）は、 京都市 右京区 花園 にある 律宗 の 寺院 。境内に現存する 浄土式庭園 の一隅にある 青女の瀧 は日本最古の人工 滝 とされており、国の 特別名勝 に指定されている。","https://ja.wikipedia.org/wiki/法金剛院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度1分8.97秒東経135度42分57.38秒","京都府京都市右京区花園扇野町49","4130005001349","北緯35度1分8.97秒東経135度42分57.38秒﻿ / ﻿北緯35.0191583度 東経135.7159389度﻿ /35.0191583; 135.7159389座標:北緯35度1分8.97秒東経135度42分57.38秒﻿ / ﻿北緯35.0191583度 東経135.7159389度﻿ /35.0191583; 135.7159389","大治5年（1130年）","五位山","阿弥陀如来（重要文化財）","律宗","阿弥陀如来坐像（国宝）、十一面観音坐像、地蔵菩薩立像、僧形文殊坐像、蓮華式香炉（重要文化財）","待賢門院","関西花の寺二十五霊場第13番京都十三仏霊場第10番","","","","","","","","",""
"宝厳寺","[宝厳寺（ほうごんじ）（竹生島、滋賀県長浜市）] 宝厳寺 （ほうごんじ）は、 滋賀県 長浜市 の 竹生島 にある 真言宗豊山派 の 寺院 。 山号 を巌金山（がんこんさん）と称する。 本尊 は大 弁才天 。観音堂は 西国三十三所 第30番札所で本尊は 千手観世音菩薩 。観音霊場であるとともに、弁才天信仰の聖地でもあり、日本三大弁才天の1つにも数えられる（他の2つは 厳島神社 と 江島神社 とされている）。","https://ja.wikipedia.org/wiki/宝厳寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度25分16.04秒東経136度8分35.61秒","滋賀県長浜市早崎町1664","8160005004130","北緯35度25分16.04秒東経136度8分35.61秒﻿ / ﻿北緯35.4211222度 東経136.1432250度﻿ /35.4211222; 136.1432250座標:北緯35度25分16.04秒東経136度8分35.61秒﻿ / ﻿北緯35.4211222度 東経136.1432250度﻿ /35.4211222; 136.1432250","伝・神亀元年（724年）","巌金山","大弁才天","真言宗豊山派","唐門・法華経序品（国宝）観音堂・渡廊・石造五重塔・絹本著色十六羅漢図ほか（重要文化財）","伝・聖武天皇（勅願）","西国三十三所第30番江州三十三観音第17番びわ湖百八霊場第44番神仏霊場巡拝の道第138番（滋賀第6番）日本三大弁天","巌金山 宝厳寺","","竹生島・宝厳寺 〜西国第三十番札所〜","","伝・行基","","","",""
"宝山寺","[宝山寺（ほうざんじ）（奈良県生駒市）] 宝山寺 （ほうざんじ）は、 奈良県 生駒市 門前町にある 真言律宗 の 大本山 の 寺院 。 生駒聖天 （いこましょうてん）とも呼ばれる。本尊は 不動明王 。 鎮守神 として大聖 歓喜天 （聖天）を聖天堂（天堂）に祀っている。","https://ja.wikipedia.org/wiki/宝山寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度41分4.8秒東経135度41分11.6秒","奈良県生駒市門前町1-1","7150005002276","北緯34度41分4.8秒東経135度41分11.6秒﻿ / ﻿北緯34.684667度 東経135.686556度﻿ /34.684667; 135.686556座標:北緯34度41分4.8秒東経135度41分11.6秒﻿ / ﻿北緯34.684667度 東経135.686556度﻿ /34.684667; 135.686556","延宝6年（1678年）","生駒山","不動明王","真言律宗","獅子閣・厨子入木造五大明王像ほか（重要文化財）紙本墨画十巻抄10巻・観世世阿弥能楽伝書8点ほか（県指定文化財）","","仏塔古寺十八尊第15番真言宗十八本山第13番大和十三仏霊場第1番近畿三十六不動尊第29番西国愛染十七霊場第14番役行者霊蹟札所神仏霊場巡拝の道第29番（奈良第16番）大和北部八十八ヶ所霊場第34番","","生駒聖天","寶山寺公式ホームページ","大本山","湛海","","","",""
"法住寺 (京都市)","[法住寺（ほうじゅうじ）（京都市東山区）] 法住寺 （ほうじゅうじ）は、 京都市 東山区 にある 天台宗 の 寺院 。 後白河法皇 ゆかりの寺である。","https://ja.wikipedia.org/wiki/法住寺_(京都市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度59分15.45秒東経135度46分21.83秒","京都府京都市東山区三十三間堂廻り町655","4130005001919","北緯34度59分15.45秒東経135度46分21.83秒﻿ / ﻿北緯34.9876250度 東経135.7727306度﻿ /34.9876250; 135.7727306座標:北緯34度59分15.45秒東経135度46分21.83秒﻿ / ﻿北緯34.9876250度 東経135.7727306度﻿ /34.9876250; 135.7727306","永延2年（988年）","","不動明王","天台宗","","藤原為光","","","","後白河法皇御所聖跡 天台宗 法住寺","","","","","",""
"宝泉院","[宝泉院（ほうせんいん）（京都市左京区）] 宝泉院 （ほうせんいん）は、 京都府 京都市 左京区 大原勝林院町にある 天台宗 の寺院。山号は魚山、本尊を 阿弥陀如来 とし、 実光院 とともに大原寺 勝林院 の僧坊の一つである  。天台宗の三門跡寺院の1つである 三千院 の 参道 奥にある。","https://ja.wikipedia.org/wiki/宝泉院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度7分16.85秒東経135度50分2.42秒","京都府京都市左京区大原勝林院町187","5130005001918","北緯35度7分16.85秒東経135度50分2.42秒﻿ / ﻿北緯35.1213472度 東経135.8340056度﻿ /35.1213472; 135.8340056座標:北緯35度7分16.85秒東経135度50分2.42秒﻿ / ﻿北緯35.1213472度 東経135.8340056度﻿ /35.1213472; 135.8340056","1235年-1237年（嘉禎年間）","","阿弥陀如来","天台宗","","宗快法印","","","","","勝林院僧坊","","","","",""
"法善寺 (南アルプス市)","[法善寺（ほうぜんじ）（山梨県南アルプス市）] 法善寺 （ほうぜんじ）は、 山梨県 南アルプス市 加賀美 にある寺。 高野山真言宗 寺院。山号は加賀美山。本尊は 阿弥陀如来 。 武田八幡宮 の 別当寺 。詳しくは 加賀美山 法善護国寺 という。","https://ja.wikipedia.org/wiki/法善寺_(南アルプス市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度36分11.9秒東経138度29分5.1秒","山梨県南アルプス市加賀美3509","5090005002111","北緯35度36分11.9秒東経138度29分5.1秒﻿ / ﻿北緯35.603306度 東経138.484750度﻿ /35.603306; 138.484750座標:北緯35度36分11.9秒東経138度29分5.1秒﻿ / ﻿北緯35.603306度 東経138.484750度﻿ /35.603306; 138.484750","（伝）822年（弘仁13年）","加賀美山","阿弥陀如来","高野山真言宗","紙本墨書大般若経（国の重要文化財）版本大毘盧遮那成仏経疏、板絵僧形八幡神像、紙本墨書大般若経、他（山梨県指定文化財）","（伝）空海","甲斐百八霊場88番","加賀美山法善護国寺加賀美山法善護國寺","法善寺","法善護国寺","","","古義真言宗","","",""
"宝蔵寺 (山形県大江町)","[宝蔵寺（ほうぞうじ） (山形県大江町)] 宝蔵寺 （ほうぞうじ）は、 山形県 西村山郡 大江町 月布地区（ 旧本郷村 ）にある 真言宗智山派 の 寺院 。山号は月布山、本尊は 大日如来 （ 金剛界 ）坐像。","https://ja.wikipedia.org/wiki/宝蔵寺_(山形県大江町)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"法然院","[法然院（ほうねんいん）（京都市左京区）] 法然院 （ほうねんいん）は、 京都市 左京区 鹿ヶ谷 にある 単立 の 寺院 。元は 浄土宗 であったが独立し、現在は単立宗教法人である。正式名は「善気山法然院萬無教寺」と号する。別称には「本山獅子谷法然院」がある  。現在、寺の一部を定期的に講演会や コンサート などを催す場として開放している。","https://ja.wikipedia.org/wiki/法然院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度1分26.3秒東経135度47分50.7秒","京都府京都市左京区鹿ケ谷御所ノ段町30","1130005001830","北緯35度1分26.3秒東経135度47分50.7秒﻿ / ﻿北緯35.023972度 東経135.797417度﻿ /35.023972; 135.797417座標:北緯35度1分26.3秒東経135度47分50.7秒﻿ / ﻿北緯35.023972度 東経135.797417度﻿ /35.023972; 135.797417","鎌倉時代初期","善気山（善氣山）本山獅子谷","阿弥陀如来","単立","方丈障壁画（重要文化財）","","","善気山 法然院 萬無教寺善氣山 法然院 萬無敎寺","本山獅子谷 法然院","法然院のホームページ","","法然","浄土宗","法然院","萬無、忍澂","江戸時代初期"
"法隆寺","[法隆寺（ほうりゅうじ）（奈良県生駒郡斑鳩町）] 法隆寺 （ほうりゅうじ）は、 奈良県 生駒郡 斑鳩町 法隆寺山内にある 聖徳宗 の 総本山 の 寺院 。 斑鳩寺 （いかるがでら、鵤寺とも）、 法隆学問寺 としても知られる  。","https://ja.wikipedia.org/wiki/法隆寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度36分53.06秒東経135度44分3.02秒","奈良県生駒郡斑鳩町法隆寺山内1-1","3150005003468","北緯34度36分53.06秒東経135度44分3.02秒﻿ / ﻿北緯34.6147389度 東経135.7341722度﻿ /34.6147389; 135.7341722座標:北緯34度36分53.06秒東経135度44分3.02秒﻿ / ﻿北緯34.6147389度 東経135.7341722度﻿ /34.6147389; 135.7341722","伝・推古天皇15年（607年）","無し","釈迦如来","聖徳宗","金堂、五重塔、夢殿他（国宝）中門金剛力士像他（重要文化財）世界遺産","推古天皇・聖徳太子","南都七大寺第7番聖徳太子霊跡第14番神仏霊場巡拝の道第26番（奈良第13番）大和北部八十八ヶ所霊場第50・51番","","斑鳩寺","聖徳宗総本山 法隆寺","総本山","","","","",""
"宝林寺 (群馬県千代田町)","[宝林寺（ほうりんじ）（群馬県邑楽郡千代田町）] 宝林寺 （寳林寺、ほうりんじ）は、 群馬県 邑楽郡 千代田町 にある 黄檗宗 の 寺院 である。山号は眞福山（しんぷくざん）。","https://ja.wikipedia.org/wiki/宝林寺_(群馬県千代田町)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯36度14分3.1秒東経139度25分27.3秒","群馬県邑楽郡千代田町新福寺705","6070005006328","北緯36度14分3.1秒東経139度25分27.3秒﻿ / ﻿北緯36.234194度 東経139.424250度﻿ /36.234194; 139.424250座標:北緯36度14分3.1秒東経139度25分27.3秒﻿ / ﻿北緯36.234194度 東経139.424250度﻿ /36.234194; 139.424250","1306年（草創）","眞福山","釈迦如来像","黄檗宗","梵鐘","","","","","https://horinji.or.jp/","","大拙祖能禅師（廣圓明鑑禅師）","黄檗宗","","","1667年"
"法輪寺 (奈良県斑鳩町)","[法輪寺（ほうりんじ）（奈良県生駒郡斑鳩町）] 法輪寺 （ほうりんじ）は、 奈良県 生駒郡 斑鳩町 にある 聖徳宗 の 寺院 。 三井寺 （みいでら）とも呼ばれ、「法林寺」「法琳寺」とも表記する。 山号 は妙見山。 本尊 は 薬師如来 坐像。","https://ja.wikipedia.org/wiki/法輪寺_(奈良県斑鳩町)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度37分21.00秒東経135度44分19.87秒","奈良県生駒郡斑鳩町三井1570","7150005003464","北緯34度37分21.00秒東経135度44分19.87秒﻿ / ﻿北緯34.6225000度 東経135.7388528度﻿ /34.6225000; 135.7388528﻿ (法輪寺)座標:北緯34度37分21.00秒東経135度44分19.87秒﻿ / ﻿北緯34.6225000度 東経135.7388528度﻿ /34.6225000; 135.7388528﻿ (法輪寺)","1.推古天皇30年（622年）2.天智天皇9年（670年）","妙見山","薬師如来（重要文化財）","聖徳宗","木造薬師如来坐像、木造虚空蔵菩薩立像ほか（重要文化財）","1.山背大兄王2.百済開法師・圓明法師・下氷新物","聖徳太子霊跡第16番大和北部八十八ヶ所霊場第53番","妙見山法輪寺","三井寺、法林寺、法琳寺","","","","","","寶祐上人","享保年間（1716年-1736年）"
"法華経寺","[法華経寺（ほけきょうじ）（千葉県市川市）] 法華経寺 （ほけきょうじ）は、 千葉県 市川市 中山二丁目にある 日蓮宗 大本山の 寺院 である。 鎌倉時代 の 文応 元年（ 1260年 ）創立。 中山法華経寺 （なかやまほけきょうじ）とも呼ばれる。山号は 正中山 。","https://ja.wikipedia.org/wiki/法華経寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度43分15.1秒東経139度56分57.7秒","千葉県市川市中山二丁目10番1号","6040005004210","北緯35度43分15.1秒東経139度56分57.7秒﻿ / ﻿北緯35.720861度 東経139.949361度﻿ /35.720861; 139.949361座標:北緯35度43分15.1秒東経139度56分57.7秒﻿ / ﻿北緯35.720861度 東経139.949361度﻿ /35.720861; 139.949361","文応元年（1260年）","正中山","十界曼荼羅","日蓮宗","観心本尊抄/日蓮筆・立正安国論/日蓮筆（国宝）五重塔、絹本着色十六羅漢像ほか（重要文化財）","","日蓮聖人霊跡東国花の寺百ヶ寺 千葉3番","","中山法華経寺","日蓮宗大本山 中山法華経寺ホームページ","大本山（霊蹟寺院）","常修院日常","","","日祐",""
"法華寺","[法華寺（ほっけじ）（奈良県奈良市）] 法華寺 （ほっけじ）は、 奈良県 奈良市 法華寺町にある光明宗の本山の 寺院 。 奈良時代 には 日本 の総 国分尼寺 とされた。 山号 はなし。 本尊 は 十一面観音 、 開基 は 光明皇后 である。元は 真言律宗 に属したが、 1999年 （ 平成 11年）に同宗を離脱し、光明宗と称する。","https://ja.wikipedia.org/wiki/法華寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度41分32.4秒東経135度48分14.8秒","奈良県奈良市法華寺町882","8150005000139","北緯34度41分32.4秒東経135度48分14.8秒﻿ / ﻿北緯34.692333度 東経135.804111度﻿ /34.692333; 135.804111座標:北緯34度41分32.4秒東経135度48分14.8秒﻿ / ﻿北緯34.692333度 東経135.804111度﻿ /34.692333; 135.804111","天平17年（745年）","なし","十一面観音（国宝）","光明宗","木造十一面観音立像、木造維摩居士坐像、絹本著色阿弥陀三尊及び童子像（国宝）本堂ほか（重要文化財）","光明皇后","神仏霊場巡拝の道第22番(奈良第9番)","","法華滅罪之寺","","","","","","",""
"本願寺の歴史","[本願寺（ほんがんじ）（京都市下京区）] 本願寺の歴史 （ほんがんじのれきし）では、 親鸞 を 宗祖 とする 浄土真宗 の寺院である「 本願寺 」の歴史を、本願寺が東西に分立するまでの時期について述べる。","https://ja.wikipedia.org/wiki/本願寺の歴史","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"成田山川越別院","[本行院（ほんぎょういん）（埼玉県川越市）] 成田山川越別院本行院 （なりたさん かわごえべついん ほんぎょういん）は、 埼玉県 川越市 にある 真言宗智山派 の 寺院 である。 成田山新勝寺 （ 千葉県 成田市 ）の別院で、通称は 川越不動 。毎月28日には 蚤の市 （骨董市）で、11月には 火渡り 祭（柴灯護摩）で賑わう。本尊は 不動明王 。","https://ja.wikipedia.org/wiki/成田山川越別院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度55分9.5秒東経139度29分18.7秒","埼玉県川越市久保町9番2号","2030005008216","北緯35度55分9.5秒東経139度29分18.7秒﻿ / ﻿北緯35.919306度 東経139.488528度﻿ /35.919306; 139.488528座標:北緯35度55分9.5秒東経139度29分18.7秒﻿ / ﻿北緯35.919306度 東経139.488528度﻿ /35.919306; 139.488528","嘉永6年（1853年）","成田山","不動明王","真言宗智山派","","石川照温","関東三十六不動第27番川越七福神（恵比寿神）","","川越不動、川越成田山","","","","","","",""
"本興寺 (尼崎市)","[本興寺（ほんこうじ）（兵庫県尼崎市）] 本興寺 （ほんこうじ）は、 兵庫県 尼崎市 開明町にある、 法華宗本門流 の大本山。 塔頭 が六院ある（本教院、一乗院、恵運院、養寿院、本成院、尭運院）。","https://ja.wikipedia.org/wiki/本興寺_(尼崎市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度43分2.6秒東経135度24分51.8秒","兵庫県尼崎市開明町3-13","8140005011459","北緯34度43分2.6秒東経135度24分51.8秒﻿ / ﻿北緯34.717389度 東経135.414389度﻿ /34.717389; 135.414389座標:北緯34度43分2.6秒東経135度24分51.8秒﻿ / ﻿北緯34.717389度 東経135.414389度﻿ /34.717389; 135.414389","1420年（応永27年）","なし","本門八品上行所伝の南無妙法蓮華経","法華宗本門流","開山堂、三光堂、方丈、太刀 銘恒次、木造日隆聖人坐像（重要文化財）ほか","細川満元","","","","","大本山","日隆","","","",""
"本圀寺","[本圀寺（ほんこくじ）（京都市山科区）] 本圀寺 （ほんこくじ）は、 京都府 京都市 山科区 にある、 日蓮宗 の大本山（霊跡寺院）であり六条門流の祖山である。山号は大光山。","https://ja.wikipedia.org/wiki/本圀寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度59分58秒東経135度48分25.6秒","京都府京都市山科区御陵大岩6","9130005002128","北緯34度59分58秒東経135度48分25.6秒﻿ / ﻿北緯34.99944度 東経135.807111度﻿ /34.99944; 135.807111座標:北緯34度59分58秒東経135度48分25.6秒﻿ / ﻿北緯34.99944度 東経135.807111度﻿ /34.99944; 135.807111","1253年（建長5年）","大光山","三宝尊","日蓮宗","経蔵（重要文化財）ほか","","洛中法華21ヶ寺","","","","大本山","日蓮","","","",""
"本山寺 (高槻市)","[本山寺（ほんざんじ）（大阪府高槻市）] 本山寺 （ほんざんじ）は、 大阪府 高槻市 原 にある 天台宗 の寺院。本尊は 毘沙門天 。 鞍馬寺 、 朝護孫子寺 とともに「日本三毘沙門天」とも言われている。","https://ja.wikipedia.org/wiki/本山寺_(高槻市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度55分2秒東経135度36分45.3秒","大阪府高槻市大字原3298","2120905002201","北緯34度55分2秒東経135度36分45.3秒﻿ / ﻿北緯34.91722度 東経135.612583度﻿ /34.91722; 135.612583座標:北緯34度55分2秒東経135度36分45.3秒﻿ / ﻿北緯34.91722度 東経135.612583度﻿ /34.91722; 135.612583","（伝）持統天皇10年（696年）","北山","毘沙門天","天台宗","聖観音立像・毘沙門天立像（重要文化財）","開成皇子","役行者霊蹟札所","北山本山寺霊雲院","","","","（伝）役小角","","霊雲院","",""
"本成寺 (三条市)","[本成寺（ほんじょうじ）（新潟県三条市）] 本成寺 （ほんじょうじ）は、 新潟県 三条市 西本成寺にある、 法華宗陣門流 の総本山。山号は長久山（ちょうきゅうさん）。開山の日印聖人は日朗聖人（六老僧）の高弟で宗祖日蓮大聖人の法孫に当る。塔頭が十カ寺ある（要住院、本照院、久成院、蓮如院、持経院、顕性院、一乗院、本高院、静明院、寿妙院）。","https://ja.wikipedia.org/wiki/本成寺_(三条市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯37度37分21.6秒東経138度56分42.3秒","新潟県三条市西本成寺1-1-20","6110005005721","北緯37度37分21.6秒東経138度56分42.3秒﻿ / ﻿北緯37.622667度 東経138.945083度﻿ /37.622667; 138.945083座標:北緯37度37分21.6秒東経138度56分42.3秒﻿ / ﻿北緯37.622667度 東経138.945083度﻿ /37.622667; 138.945083","1297年（永仁5年）","長久山","三宝尊","法華宗陣門流","","山吉定明","","","青蓮華寺（旧名）","","総本山","日印聖人","","","",""
"本禅寺","[本禅寺（ほんぜんじ）（京都市上京区）] 本禅寺 （ほんぜんじ）は、 京都府 京都市 上京区 にある 寺院 。 法華宗陣門流 の本山。 山号 は光了山。 塔頭 が三院ある（円龍院、詮量院、心城院）。","https://ja.wikipedia.org/wiki/本禅寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度1分35.9秒東経135度46分5.8秒","京都府京都市上京区寺町通広小路上る北之辺町394","6130005002295","北緯35度1分35.9秒東経135度46分5.8秒﻿ / ﻿北緯35.026639度 東経135.768278度﻿ /35.026639; 135.768278座標:北緯35度1分35.9秒東経135度46分5.8秒﻿ / ﻿北緯35.026639度 東経135.768278度﻿ /35.026639; 135.768278","応永13年（1406年）","光了山","三宝尊","法華宗陣門流","寛性親王御消息飜摺法華経（重要文化財）ほか","","洛中法華21ヶ寺","光了山本禅寺","","","本山","日陣","","","日覚","天文9年（1540年）"
"本能寺","[本能寺（ほんのうじ）（京都市中京区）] 本能寺 （ほんのうじ）は、 京都府 京都市 中京区 下本能寺前町にある、 法華宗本門流 の大本山。 本能寺の変 の舞台として知られる。現在の 寺院 には、恵昇院、蓮承院、定性院、高俊院、本行院、源妙院、龍雲院の7院の 塔頭 がある。株式会社本能寺文化会館の株主であり、本能寺に隣接するホテル本能寺や境内にある博物館の本能寺大寶殿宝物館などを経営している。","https://ja.wikipedia.org/wiki/本能寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度0分37秒東経135度46分5.9秒","京都府京都市中京区寺町通御池下ル下本能寺前町522","6130005002304","北緯35度0分37秒東経135度46分5.9秒﻿ / ﻿北緯35.01028度 東経135.768306度﻿ /35.01028; 135.768306座標:北緯35度0分37秒東経135度46分5.9秒﻿ / ﻿北緯35.01028度 東経135.768306度﻿ /35.01028; 135.768306","1415年（応永22年）","なし","本門八品上行所伝の南無妙法蓮華経","本門流","伝藤原行成筆書巻（国宝）ほか","小袖屋宗句","洛中法華21ヶ寺","","","大本山本能寺公式ホームページ","大本山","日隆","法華宗（日蓮宗）","","豊臣秀吉","1592年（天正20年）"
"本遠寺","[本遠寺（ほんのんじ）（山梨県南巨摩郡身延町）] 本遠寺 (ほんのんじ)は 山梨県 南巨摩郡 身延町 にある 日蓮宗 の 本山 (由緒 寺院 )。山号は大野山。開山は総本山・ 身延山 久遠寺 を隠退した心性院 日遠 、 慶長 14年( 1609年 )に 徳川家康 の 側室 ・ 養珠院 お万の方の帰依を受けて創建した  。「お万さまの寺」とも呼ばれる  。小西法縁。貫首は66世・髙佐日瑞  。本堂と鐘楼堂が国の 重要文化財 に指定されている  。境内に塔頭  ・良円寺がある  。","https://ja.wikipedia.org/wiki/本遠寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度21分43.8秒東経138度26分44.7秒","山梨県南巨摩郡身延町大野839","2090005005777","北緯35度21分43.8秒東経138度26分44.7秒﻿ / ﻿北緯35.362167度 東経138.445750度﻿ /35.362167; 138.445750座標:北緯35度21分43.8秒東経138度26分44.7秒﻿ / ﻿北緯35.362167度 東経138.445750度﻿ /35.362167; 138.445750","慶長14年（1609年）","大野山","三宝尊","日蓮宗","本堂（重要文化財）など","養珠院","甲斐百八霊場104番","大野山 本遠寺","","","本山（由緒寺院）","日遠","","","",""
