"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","運営者","開園","事務所所在地","事務所","公式サイト","告示","備考","設備・遊具","地域","創立日","年来園者数","位置","アクセス","標高","山系","現況"
"西播丘陵県立自然公園","[西播丘陵県立自然公園] 西播丘陵県立自然公園 （せいばんきゅうりょうけんりつしぜんこうえん）とは、 兵庫県 中西部にある兵庫県立の 自然公園 である。","https://ja.wikipedia.org/wiki/西播丘陵県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本兵庫県姫路市・相生市・たつの市","6,433ヘクタール","自然公園","","","","","","","","","","","","","","","",""
"出石糸井県立自然公園","[出石糸井県立自然公園] 出石糸井県立自然公園 （いずしいといけんりつしぜんこうえん）は、 兵庫県 の北部にある 自然公園 。","https://ja.wikipedia.org/wiki/出石糸井県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度23分55秒東経134度54分36.3秒","日本〒669-5237 兵庫県朝来市和田山町竹ノ内","7,578ヘクタール","自然公園","兵庫県","","","","","","","","","","","","","","",""
"播磨中部丘陵県立自然公園","[播磨中部丘陵県立自然公園] 播磨中部丘陵県立自然公園 （はりまちゅうぶきゅうりょうけんりつしぜんこうえん）とは、 兵庫県 中部にある兵庫県立の 自然公園 である。","https://ja.wikipedia.org/wiki/播磨中部丘陵県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯34度50分25秒東経134度53分47.3秒","日本兵庫県姫路市・加古川市・小野市・加西市","5,895ヘクタール","自然公園","兵庫県","","","","","","","","","","","","","","",""
"雪彦峰山県立自然公園","[雪彦峰山県立自然公園] 雪彦峰山県立自然公園 （せっぴこみねやまけんりつしぜんこうえん）は 兵庫県 北 播磨 の山岳高原地帯にある 自然公園 。","https://ja.wikipedia.org/wiki/雪彦峰山県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度3分47.9秒 東経134度39分56.5秒","","","","","","","","","","","","","","","","","","",""
"笠形山千ヶ峰県立自然公園","[笠形山千ヶ峰県立自然公園] 笠形山千ヶ峰県立自然公園 （かさがたやませんがみねけんりつしぜんこうえん）とは、 兵庫県 中部にある兵庫県立の 自然公園 である。","https://ja.wikipedia.org/wiki/笠形山千ヶ峰県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立矢田自然公園 (存在しないページ)","[県立矢田自然公園]","https://ja.wikipedia.org/w/index.php?title=県立矢田自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立月ヶ瀬神野山自然公園 (存在しないページ)","[県立月ヶ瀬神野山自然公園]","https://ja.wikipedia.org/w/index.php?title=県立月ヶ瀬神野山自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立吉野川津風呂自然公園 (存在しないページ)","[県立吉野川津風呂自然公園]","https://ja.wikipedia.org/w/index.php?title=県立吉野川津風呂自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高野山町石道玉川峡県立自然公園","[高野山町石道玉川峡県立自然公園] 高野山町石道玉川峡県立自然公園 （こうやさんちょういしみちたまがわきょうけんりつしぜんこうえん）は、 和歌山県 北部に位置する 県立自然公園 。 1968年 （ 昭和 43年）1月6日に かつらぎ高野山系県立自然公園 （かつらぎこうやさんけいけんりつしぜんこうえん）として指定。 1996年 （ 平成 8年）10月2日に一部区域が 金剛生駒紀泉国定公園 へ編入された。指定区域には 橋本市 、 かつらぎ町 、 九度山町 が含まれている。面積は746 ha 。","https://ja.wikipedia.org/wiki/高野山町石道玉川峡県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"龍門山県立自然公園 (存在しないページ)","[龍門山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=龍門山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"生石高原県立自然公園","[生石高原県立自然公園] 生石高原県立自然公園 （おいしこうげんけんりつしぜんこうえん）は、 1975年 1月25日 に 和歌山県 に指定された 県立自然公園 。その区域には 海南市 、 紀美野町 、 有田川町 が含まれている。面積は12.91 ha 。","https://ja.wikipedia.org/wiki/生石高原県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西有田県立自然公園 (存在しないページ)","[西有田県立自然公園]","https://ja.wikipedia.org/w/index.php?title=西有田県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白崎海岸県立自然公園 (存在しないページ)","[白崎海岸県立自然公園]","https://ja.wikipedia.org/w/index.php?title=白崎海岸県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"煙樹海岸県立自然公園 (存在しないページ)","[煙樹海岸県立自然公園]","https://ja.wikipedia.org/w/index.php?title=煙樹海岸県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"城ヶ森鉾尖県立自然公園 (存在しないページ)","[城ヶ森鉾尖県立自然公園]","https://ja.wikipedia.org/w/index.php?title=城ヶ森鉾尖県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"果無山脈県立自然公園 (存在しないページ)","[果無山脈県立自然公園]","https://ja.wikipedia.org/w/index.php?title=果無山脈県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大塔日置川県立自然公園 (存在しないページ)","[大塔日置川県立自然公園]","https://ja.wikipedia.org/w/index.php?title=大塔日置川県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白見山和田川峡県立自然公園 (存在しないページ)","[白見山和田川峡県立自然公園]","https://ja.wikipedia.org/w/index.php?title=白見山和田川峡県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"古座川県立自然公園 (存在しないページ)","[古座川県立自然公園]","https://ja.wikipedia.org/w/index.php?title=古座川県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三朝東郷湖県立自然公園","[三朝東郷湖県立自然公園] 三朝東郷湖県立自然公園 （みささとうごうこけんりつしぜんこうえん）とは、 鳥取県 中部にある鳥取県立の 自然公園 である。","https://ja.wikipedia.org/wiki/三朝東郷湖県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奥日野県立自然公園","[奥日野県立自然公園] 奥日野県立自然公園 （おくひのけんりつしぜんこうえん）は、 鳥取県 西部にある鳥取県立の 自然公園 である。","https://ja.wikipedia.org/wiki/奥日野県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西因幡県立自然公園 (存在しないページ)","[西因幡県立自然公園]","https://ja.wikipedia.org/w/index.php?title=西因幡県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"清水月山県立自然公園 (存在しないページ)","[清水月山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=清水月山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鬼の舌震県立自然公園 (存在しないページ)","[鬼の舌震県立自然公園]","https://ja.wikipedia.org/w/index.php?title=鬼の舌震県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宍道湖北山県立自然公園 (存在しないページ)","[宍道湖北山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=宍道湖北山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"立久恵峡県立自然公園 (存在しないページ)","[立久恵峡県立自然公園]","https://ja.wikipedia.org/w/index.php?title=立久恵峡県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"竜頭八重滝県立自然公園 (存在しないページ)","[竜頭八重滝県立自然公園]","https://ja.wikipedia.org/w/index.php?title=竜頭八重滝県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"江川水系県立自然公園 (存在しないページ)","[江川水系県立自然公園]","https://ja.wikipedia.org/w/index.php?title=江川水系県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"断魚渓・観音滝県立自然公園 (存在しないページ)","[断魚渓・観音滝県立自然公園]","https://ja.wikipedia.org/w/index.php?title=断魚渓・観音滝県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"千丈渓県立自然公園 (存在しないページ)","[千丈渓県立自然公園]","https://ja.wikipedia.org/w/index.php?title=千丈渓県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浜田海岸県立自然公園 (存在しないページ)","[浜田海岸県立自然公園]","https://ja.wikipedia.org/w/index.php?title=浜田海岸県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蟠竜湖県立自然公園 (存在しないページ)","[蟠竜湖県立自然公園]","https://ja.wikipedia.org/w/index.php?title=蟠竜湖県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"青野山県立自然公園 (存在しないページ)","[青野山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=青野山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高梁川上流県立自然公園 (存在しないページ)","[高梁川上流県立自然公園]","https://ja.wikipedia.org/w/index.php?title=高梁川上流県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吉備史跡県立自然公園 (存在しないページ)","[吉備史跡県立自然公園]","https://ja.wikipedia.org/w/index.php?title=吉備史跡県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"湯原奥津県立自然公園 (存在しないページ)","[湯原奥津県立自然公園]","https://ja.wikipedia.org/w/index.php?title=湯原奥津県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吉備路風土記の丘県立自然公園 (存在しないページ)","[吉備路風土記の丘県立自然公園]","https://ja.wikipedia.org/w/index.php?title=吉備路風土記の丘県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"備作山地県立自然公園 (存在しないページ)","[備作山地県立自然公園]","https://ja.wikipedia.org/w/index.php?title=備作山地県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吉備清流県立自然公園 (存在しないページ)","[吉備清流県立自然公園]","https://ja.wikipedia.org/w/index.php?title=吉備清流県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吉井川中流県立自然公園 (存在しないページ)","[吉井川中流県立自然公園]","https://ja.wikipedia.org/w/index.php?title=吉井川中流県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"南原峡県立自然公園 (存在しないページ)","[南原峡県立自然公園]","https://ja.wikipedia.org/w/index.php?title=南原峡県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山野峡県立自然公園 (存在しないページ)","[山野峡県立自然公園]","https://ja.wikipedia.org/w/index.php?title=山野峡県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三倉岳県立自然公園 (存在しないページ)","[三倉岳県立自然公園]","https://ja.wikipedia.org/w/index.php?title=三倉岳県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"竹林寺用倉山県立自然公園 (存在しないページ)","[竹林寺用倉山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=竹林寺用倉山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"仏通寺御調八幡宮県立自然公園 (存在しないページ)","[仏通寺御調八幡宮県立自然公園]","https://ja.wikipedia.org/w/index.php?title=仏通寺御調八幡宮県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神之瀬峡県立自然公園","[神之瀬峡県立自然公園] 神之瀬峡県立自然公園 （かんのせきょうけんりつしぜんこうえん）は、 自然公園法 に基づいた 県立自然公園 で、 1998年 （ 平成 10年） 4月30日 に 広島県 が指定した。指定面積は2,736haと広島県の県立公園では最大。","https://ja.wikipedia.org/wiki/神之瀬峡県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長門峡県立自然公園 (存在しないページ)","[長門峡県立自然公園]","https://ja.wikipedia.org/w/index.php?title=長門峡県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"羅漢山県立自然公園 (存在しないページ)","[羅漢山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=羅漢山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石城山県立自然公園 (存在しないページ)","[石城山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=石城山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"豊田県立自然公園 (存在しないページ)","[豊田県立自然公園]","https://ja.wikipedia.org/w/index.php?title=豊田県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"箸蔵県立自然公園","[箸蔵県立自然公園] 箸蔵県立自然公園 （はしくら けんりつしぜんこうえん）は、 徳島県 が指定する 県立自然公園 である。 三好市 、 三好郡 東みよし町 一帯を含む。","https://ja.wikipedia.org/wiki/箸蔵県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本徳島県三好市同県東みよし町","","都市公園>県立自然公園","","","","","","","","記事参照","","","","","","","",""
"土柱高越県立自然公園","[土柱高越県立自然公園] 土柱高越県立自然公園 （どちゅうこうつ けんりつしぜんこうえん）は、 徳島県 が指定する 県立自然公園 である  。国の 天然記念物 に指定されている 阿波の土柱 一帯をはじめ、「 阿波 の 富士 」の愛称を持つ高越山一帯を含んでいる。","https://ja.wikipedia.org/wiki/土柱高越県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本徳島県阿波市同県吉野川市","","都市公園>県立自然公園","","","","","","","","記事参照","","","","","","","",""
"大麻山県立自然公園","[大麻山県立自然公園] 大麻山県立自然公園 （おおあさやま けんりつしぜんこうえん）は、 徳島県 が指定する 県立自然公園 である。 鳴門市 西部は 讃岐山脈 東端の 大麻山 を中心とする丘陵地帯に位置する。","https://ja.wikipedia.org/wiki/大麻山県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯34度11分10秒東経134度29分57秒","日本徳島県鳴門市","1,309ヘクタール","都市公園>県立自然公園","","","","","","1967年（昭和42年）1月1日","","記事参照","","","","","","","",""
"奥宮川内谷県立自然公園","[奥宮川内谷県立自然公園] 奥宮川内谷県立自然公園 （おくみやがわうちだに けんりつしぜんこうえん）は、 徳島県 が指定する 県立自然公園 である。 阿波市 一帯を含む。","https://ja.wikipedia.org/wiki/奥宮川内谷県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本徳島県阿波市","","都市公園>県立自然公園","","","","","","","","記事参照","","","","","","","",""
"東山渓県立自然公園","[東山渓県立自然公園] 東山渓県立自然公園 （ひがしさんけいけんりつしぜんこうえん）は、 徳島県 が指定する 県立自然公園 である。","https://ja.wikipedia.org/wiki/東山渓県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本徳島県徳島市・勝浦町・佐那河内村・阿南市・那賀町","","都市公園>県立自然公園","","","","","","","","記事参照","","","","","","","",""
"中部山渓県立自然公園","[中部山渓県立自然公園] 中部山渓県立自然公園 （ちゅうぶさんけいけんりつしぜんこうえん）は、 徳島県 が指定する 県立自然公園 である。","https://ja.wikipedia.org/wiki/中部山渓県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本徳島県上勝町・那賀町・阿南市・海陽町・神山町","","都市公園>県立自然公園","","","","","","","","記事参照","","","","","","","",""
"大滝大川県立自然公園","[大滝大川県立自然公園] 大滝大川県立自然公園 （おおたきだいせんけんりつしぜんこうえん）は 香川県 にある 自然公園 。","https://ja.wikipedia.org/wiki/大滝大川県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","23.63 km²","","","","","","","","","","香川県","1992年9月14日","","","","","",""
"金砂湖県立自然公園","[金砂湖県立自然公園] 金砂湖県立自然公園 （きんしゃこけんりつしぜんこうえん）は、 愛媛県 指定の 自然公園 で、1961年（昭和36年）3月22日に指定された。面積は980ha。所在地は 四国中央市 。","https://ja.wikipedia.org/wiki/金砂湖県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奥道後玉川県立自然公園","[奥道後玉川県立自然公園] 奥道後玉川県立自然公園 （おくどうごたまがわけんりつしぜんこうえん）は、 愛媛県 指定の 自然公園 で、1962年（昭和37年）3月9日に指定された。面積は7,750ha。所在地は 松山市 と 今治市 。","https://ja.wikipedia.org/wiki/奥道後玉川県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"皿ヶ嶺連峰県立自然公園","[皿ヶ嶺連峰県立自然公園] 皿ヶ嶺連峰県立自然公園 （さらがみねれんぽうけんりつしぜんこうえん）は 愛媛県 指定の 自然公園 である。","https://ja.wikipedia.org/wiki/皿ヶ嶺連峰県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"四国カルスト県立自然公園","[四国カルスト県立自然公園] 四国カルスト県立自然公園（しこくかるすとけんりつしぜんこうえん）は 愛媛県 指定の 自然公園 で、1964年（昭和39年）3月21日に指定された。面積は5,360ha。所在地は 久万高原町 、 内子町 、 西予市 。 高知県 指定の四国カルスト県立自然公園と県境を挟んで接する。","https://ja.wikipedia.org/wiki/四国カルスト県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"肱川県立自然公園","[肱川県立自然公園] 肱川県立自然公園 （ひじかわけんりつしぜんこうえん）は 愛媛県 指定の 自然公園 で、1960年（昭和35年）5月10日に指定された。面積は660ha。所在地は 大洲市 、 西予市 。","https://ja.wikipedia.org/wiki/肱川県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"佐田岬半島宇和海県立自然公園","[佐田岬半島宇和海県立自然公園] 佐田岬半島宇和海県立自然公園 （さだみさきはんとううわかいけんりつしぜんこうえん）は 愛媛県 指定の 自然公園 で、1965年（昭和40年）10月15日に指定された。面積は10,724ha（陸上517ha、海域10,207ha）。所在地は 八幡浜市 、 伊方町 、 西予市 。愛媛県の県立自然公園では唯一、海域を含む自然公園である。","https://ja.wikipedia.org/wiki/佐田岬半島宇和海県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"篠山県立自然公園","[篠山県立自然公園] 篠山県立自然公園 （ささやまけんりつしぜんこうえん）は 愛媛県 指定の 自然公園 である。","https://ja.wikipedia.org/wiki/篠山県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"手結住吉県立自然公園 (存在しないページ)","[手結住吉県立自然公園]","https://ja.wikipedia.org/w/index.php?title=手結住吉県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奥物部県立自然公園 (存在しないページ)","[奥物部県立自然公園]","https://ja.wikipedia.org/w/index.php?title=奥物部県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白髪山県立自然公園 (存在しないページ)","[白髪山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=白髪山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"横倉山県立自然公園 (存在しないページ)","[横倉山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=横倉山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"横浪県立自然公園 (存在しないページ)","[横浪県立自然公園]","https://ja.wikipedia.org/w/index.php?title=横浪県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"入野県立自然公園 (存在しないページ)","[入野県立自然公園]","https://ja.wikipedia.org/w/index.php?title=入野県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宿毛県立自然公園 (存在しないページ)","[宿毛県立自然公園]","https://ja.wikipedia.org/w/index.php?title=宿毛県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"龍河洞県立自然公園 (存在しないページ)","[龍河洞県立自然公園]","https://ja.wikipedia.org/w/index.php?title=龍河洞県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中津渓谷龍河洞県立自然公園 (存在しないページ)","[中津渓谷龍河洞県立自然公園]","https://ja.wikipedia.org/w/index.php?title=中津渓谷龍河洞県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"須崎湾県立自然公園 (存在しないページ)","[須崎湾県立自然公園]","https://ja.wikipedia.org/w/index.php?title=須崎湾県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"興津県立自然公園 (存在しないページ)","[興津県立自然公園]","https://ja.wikipedia.org/w/index.php?title=興津県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
