"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","公式サイト","管理運営","位置","面積","事業主体","前身","愛称","閉園","キャッチコピー","来園者数","運営者","テーマ","所有者","分類","外部リンク","住所","開業"
"恵那峡ランド","[恵那峡ランド21岐阜1970-2000/恵那峡ワンダーランド] 恵那峡ワンダーランド （えなきょうワンダーランド）は、 岐阜県 中津川市 にある 遊園地 である。","https://ja.wikipedia.org/wiki/恵那峡ランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度29分17.23秒東経137度24分21.5秒","〒509-8301岐阜県中津川市蛭川5735-209","1970年（昭和45年）","http://www.enakyo-wonderland.jp/","株式会社岡本製作所","北緯35度29分17.23秒東経137度24分21.5秒﻿ / ﻿北緯35.4881194度 東経137.405972度﻿ /35.4881194; 137.405972座標:北緯35度29分17.23秒東経137度24分21.5秒﻿ / ﻿北緯35.4881194度 東経137.405972度﻿ /35.4881194; 137.405972","13.0ha","","恵那峡ランド","","","","","","","","","","",""
"セキスポファミリーランド","[セキスポファミリーランド21岐阜1976-?] セキスポファミリーランド は、かつて 岐阜県 関市 塔ノ洞にあった 遊園地 である。","https://ja.wikipedia.org/wiki/セキスポファミリーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"関ヶ原メナードランド","[関ヶ原メナードランド21岐阜1972-2000] 関ヶ原メナードランド （せきがはらメナードランド）は、 岐阜県 不破郡 関ケ原町 大字玉1407-65番地にかつて存在していた 遊園地 。","https://ja.wikipedia.org/wiki/関ヶ原メナードランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度22分02秒東経136度25分53秒","岐阜県不破郡関ケ原町大字玉1407-65番地","1972年11月27日","","株式会社メナード関ヶ原ランド","北緯35度22分02秒東経136度25分53秒﻿ / ﻿北緯35.36722度 東経136.43139度﻿ /35.36722; 136.43139座標:北緯35度22分02秒東経136度25分53秒﻿ / ﻿北緯35.36722度 東経136.43139度﻿ /35.36722; 136.43139","","日本メナード化粧品","","","2001年1月31日","","","","","","","","",""
"柳津パーク","[柳津パーク21岐阜] 柳津パーク （やないづパーク）は、かつて 岐阜県 羽島郡 柳津町 梅松（現： 岐阜市 ）にあった娯楽施設である。","https://ja.wikipedia.org/wiki/柳津パーク","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"甲賀ファミリーランド","[甲賀ファミリーランド25滋賀] 甲賀ファミリーランド （こうがファミリーランド）は、 滋賀県 甲賀郡 甲西町 （現在の 湖南市 ）にかつて存在した 遊園地 である。敷地は 甲賀カントリー倶楽部 が所有しており、同ゴルフ場に隣接していた。","https://ja.wikipedia.org/wiki/甲賀ファミリーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"佐和山遊園","[佐和山遊園25滋賀] 佐和山遊園 （さわやまゆうえん）は、 滋賀県 彦根市 に所在する未完成の 遊園地 である。","https://ja.wikipedia.org/wiki/佐和山遊園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度16分28.4秒 東経136度16分8.7秒","","","","","","","","","","","","","","","","","","",""
"多賀SLパーク","[多賀SLパーク25滋賀1996-2000] 多賀SLパーク （たがSLパーク）は、かつて 滋賀県 犬上郡 多賀町 敏満寺にあった SLホテル である。","https://ja.wikipedia.org/wiki/多賀SLパーク","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度13分3.8秒 東経136度17分18.8秒","","","","","","","","","","","","","","","","","","",""
"びわ湖タワー","[びわ湖タワー25滋賀1965-2001] びわ湖タワー （びわこタワー）は、 滋賀県 大津市 今堅田にあった 展望塔 であり、それを含む 遊園地 の名称である。 大阪府 大阪市 に本社を置く フタミ観光 が運営していた。","https://ja.wikipedia.org/wiki/びわ湖タワー","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"びわ湖パラダイス","[びわ湖パラダイス25滋賀1966-1998] びわ湖パラダイス （びわこパラダイス）は、かつて 滋賀県 大津市 にあった びわ湖温泉 （ホテル紅葉※改称後「旅亭 紅葉」）と併設されていた、 温泉 宿泊施設 （ 健康センター ）併設型の レジャー 施設・ 遊園地 である。旧名称は 紅葉パラダイス 。","https://ja.wikipedia.org/wiki/びわ湖パラダイス","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"びわ湖わんわん王国","[びわ湖わんわん王国25滋賀1998-2005/ピエリ守山] びわ湖わんわん王国 （びわこわんわんおうこく）は、 滋賀県 守山市 の 琵琶湖 岸にあった 日本 最大級の 犬 の テーマパーク 。 1998年 （ 平成 10年） 10月31日 に開園、 2005年 （平成17年） 1月31日 に閉園した  。 伊藤忠商事 の 子会社 ミスターマネジャーと、 つくばわんわんランド などを経営するサンスイコーポレーションが出資する「わんわん王国」が運営していた  。","https://ja.wikipedia.org/wiki/びわ湖わんわん王国","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度7分24.1秒東経135度56分45.2秒","〒524-0101滋賀県守山市今浜町2620番地5","1998年（平成10年）10月31日","びわ湖わんわん王国-ウェイバックマシン（2005年1月10日アーカイブ分）","わんわん王国","北緯35度7分24.1秒東経135度56分45.2秒﻿ / ﻿北緯35.123361度 東経135.945889度﻿ /35.123361; 135.945889座標:北緯35度7分24.1秒東経135度56分45.2秒﻿ / ﻿北緯35.123361度 東経135.945889度﻿ /35.123361; 135.945889","約10ha","","","","2005年（平成17年）1月31日","休日を10倍楽しめる夢の王国","約30万人（2004年）","","犬","","","","",""
"近鉄あやめ池遊園地","[近鉄あやめ池遊園地29奈良1926-2004/近鉄あやめ池住宅地] 近鉄あやめ池遊園地 （きんてつあやめいけゆうえんち・ 1926年 6月11日 開園 - 2004年 6月6日 閉園）は、 奈良県 奈良市 あやめ池北1丁目9番1号（ 近鉄奈良線 菖蒲池駅 下車北口すぐ）にかつて存在した 遊園地 。 近畿日本鉄道 の子会社であった近鉄興業株式会社（現在は解散）が運営していた。","https://ja.wikipedia.org/wiki/近鉄あやめ池遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度42分02秒 東経135度45分35秒","〒631-0032奈良県奈良市あやめ池北1丁目9番1号","1926年6月11日","","近鉄興業株式会社","","30万m²","近畿日本鉄道","菖蒲園遊園地","あやめ池遊園地","2004年6月6日","","","","","","","","",""
"生駒テック","[生駒テック29奈良1961-1965] 生駒テック （いこまテック）は奈良県生駒市の オートバイトライアル パーク。","https://ja.wikipedia.org/wiki/生駒テック","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"奈良ドリームランド","[奈良ドリームランド29奈良1961-2006] 奈良ドリームランド （ならドリームランド）は、かつて 奈良県 奈良市 北部に存在した 遊園地 である。 1961年 7月1日 に開業  し、ピーク時の1970年代には年間150万 - 160万人が訪れるなど、県を代表する遊園地として人気を集めたが、娯楽の多様化などで次第に業績が低迷  。 2006年 8月31日 に閉園した  。","https://ja.wikipedia.org/wiki/奈良ドリームランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度41分58秒東経135度49分21秒","〒630-8108奈良県奈良市法蓮佐保山二丁目1番1号","1961年7月1日","公式サイト（インターネットアーカイブ）","日本ドリーム観光（ドリームパーク）","北緯34度41分58秒東経135度49分21秒﻿ / ﻿北緯34.69944度 東経135.82250度﻿ /34.69944; 135.82250座標:北緯34度41分58秒東経135度49分21秒﻿ / ﻿北緯34.69944度 東経135.82250度﻿ /34.69944; 135.82250","","日本ドリーム観光（ドリームパーク）","","","2006年8月31日","奈良の夢の国","160万人（最盛期）","","","","","","",""
"愛宕山遊園地","[愛宕山遊園地26京都1929-1944] 愛宕山遊園地 （あたごやまゆうえんち）は、 京都市 右京区 にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/愛宕山遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"清滝遊園地","[清滝遊園地26京都1929-1944] 清滝遊園地 （きよたきゆうえんち）は、 京都市 右京区 にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/清滝遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"森のゆうえんち","[森のゆうえんち26京都1964-2001旧・八瀬遊園] 森のゆうえんち （もりのゆうえんち）は、 京都市 左京区 八瀬 野瀬町120番地にかつて存在した 京福電気鉄道 子会社の「比叡産業」が経営母体だった 遊園地 である。同社の資本金は1990年後半の時点で1000万円、京福電気鉄道の100パーセント出資、総面積は約40000平方メートル。","https://ja.wikipedia.org/wiki/森のゆうえんち","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"比叡山頂遊園地","[比叡山頂遊園地26京都1959-2001] 比叡山頂遊園地 （ひえいざんゆうえんち）は、 京都府 京都市 左京区 の 比叡山 に 1959年 から 2000年 まで存在した 遊園地 である。","https://ja.wikipedia.org/wiki/比叡山頂遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"伏見桃山城キャッスルランド","[伏見桃山城キャッスルランド26京都1964-2003] 伏見桃山城キャッスルランド （ふしみももやまじょうキャッスルランド）は、かつて 京都府 京都市 伏見区 の 桃山丘陵 にあった 近鉄グループ （ 近畿日本鉄道 子会社 の株式会社桃山城が運営）の 遊園地 である。","https://ja.wikipedia.org/wiki/伏見桃山城キャッスルランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","京都市伏見区桃山町大蔵","1964年","","株式会社桃山城","","","近畿日本鉄道","","","2003年1月31日","お城のある遊園地","96万人（最盛期）","","","","","","",""
"市岡パラダイス","[市岡パラダイス27大阪1925-1930] 市岡パラダイス （いちおか-）は、かつて 大阪府 大阪市 港区 西市岡町2丁目（現在の弁天3丁目・磯路3丁目・夕凪1丁目の各一部）にあった大娯楽施設である。","https://ja.wikipedia.org/wiki/市岡パラダイス","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"エキスポランド","[エキスポランド27大阪1970-2009/EXPOCITY] エキスポランド （EXPOLAND）は、かつて 大阪府 吹田市 の 万博記念公園 に付帯していた 遊園地 。 1970年 （昭和45年）に開催された 大阪万博 のアミューズメントゾーンとして作られ、閉幕後、 1972年 （昭和47年） 3月15日 に営業を再開した。敷地面積は約20 ヘクタール 。 2009年 （平成21年）2月をもって閉園した。","https://ja.wikipedia.org/wiki/エキスポランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度48分20秒 東経135度32分10秒","","","","","","","","","","","","","","","","","","",""
"近鉄玉手山遊園地","[近鉄玉手山遊園地27大阪1908-1998] 近鉄玉手山遊園地 （きんてつたまてやまゆうえんち）は 大阪府 柏原市 玉手山町にかつて存在した 遊園地 。 近畿日本鉄道 の 子会社 である近鉄興業株式会社（解散）が運営していた。","https://ja.wikipedia.org/wiki/近鉄玉手山遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"さやま遊園","[さやま遊園27大阪1938-2000] さやま遊園 （さやまゆうえん）は、かつて 大阪府 大阪狭山市 に存在した 南海電鉄 系の 遊園地 である。","https://ja.wikipedia.org/wiki/さやま遊園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度30分10.41秒東経135度33分10.86秒","日本大阪府大阪狭山市狭山","1938年（昭和13年）5月1日","","","北緯34度30分10.41秒東経135度33分10.86秒﻿ / ﻿北緯34.5028917度 東経135.5530167度﻿ /34.5028917; 135.5530167","","南海電気鉄道","","","2000年（平成12年）4月1日","","ピーク時54万人","","","","","","",""
"千里山遊園","[千里山遊園27大阪1921-1950] 千里山遊園 （せんりやまゆうえん）は、 大阪府 吹田市 にかつて存在した 遊園地 である。 現在、跡地は 関西大学 と 関西大学第一中学校・高等学校 となっている。","https://ja.wikipedia.org/wiki/千里山遊園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"天保山遊園","[天保山遊園27大阪1888-1897] 天保山遊園 （てんぽうざんゆうえん）は、 大阪市 港区 にかつて存在した 遊園地 である。大阪の ウォーターフロント リゾートの先駆けとなった。","https://ja.wikipedia.org/wiki/天保山遊園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"PLランド","[PLランド（桜ケ丘遊園）27大阪1957-1989] PLランド （ピーエルランド）は、 大阪府 富田林市 にかつて存在した 遊園地 。 パーフェクト リバティー教団 （PL教団）の広大な敷地内に建設され、同教団のベンチャー企業である 光丘 が経営していた。閉園前の数年間は、「 桜ヶ丘遊園 （さくらがおかゆうえん）」の名称に変更して運営されていた。","https://ja.wikipedia.org/wiki/PLランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"長崎屋","[ファンタジードーム岸和田27大阪] 「長崎屋」の事実上の創業者である 岩田孝八 の先祖は 江戸時代 、 東海道 大磯宿 で 本陣 に次ぐクラスの 旅籠 「長崎屋」を営み、 名主 もつとめたが、 明治 3年に廃業したとされる  。","https://ja.wikipedia.org/wiki/長崎屋","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","公式ウェブサイト","",""
"フェスティバルゲート","[フェスティバルゲート27大阪1997-2007/マルハン新世界店・MEGAドン・キホーテ新世界店] 第三セクター のフェスティバルゲート株式会社により運営されていた（現在は解散している）。","https://ja.wikipedia.org/wiki/フェスティバルゲート","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度39分00秒 東経135度30分17秒","〒556-0002大阪府大阪市浪速区恵美須東3丁目4-36","","","","","","","","","","","","","","","","ホームページ（Webアーカイブ）","",""
"みなと遊園","[みなと遊園27大阪1961-1969] みなと遊園 （みなとゆうえん）は、 大阪市 港区 にかつて存在した 遊園地 。 大阪港振興 株式会社が運営していた。","https://ja.wikipedia.org/wiki/みなと遊園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"りんくうパパラ","[りんくうパパラ27大阪1994-2004/りんくうプレジャータウンSEACLE] りんくうパパラ (RINKU Papara) は、 大阪府 泉佐野市 りんくう往来南地区（ りんくうタウン駅 南側）にかつて存在した約2.4 ヘクタール の小さな 遊園地 。","https://ja.wikipedia.org/wiki/りんくうパパラ","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"ルナパーク (大阪)","[ルナパーク (大阪)27大阪1912-1923] 新世界ルナパーク は、閉鎖した 浅草ルナパーク を引き継いで日本で二番目にできた ルナパーク という名前を冠する 遊園地 である  。これら日本のルナパークのコンセプトは ニューヨーク の コニーアイランド に 1903年 に開業した コニーアイランド・ルナパーク を参考にしていた。 1912年 に開園し 1923年 まで営業された。 大阪 の 新世界 にあり、敷地面積は132,000平方メートルであった  。初代 通天閣 から入り口まで ロープウェイ が伸びているなどユニークな造りであった   。","https://ja.wikipedia.org/wiki/ルナパーク_(大阪)","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"アリバシティ神戸","[アリバシティ神戸28兵庫1992-1997] アリバシティ神戸 （アリバシティこうべ）は、かつて 兵庫県 神戸市 に存在した 遊園地 。 アラビアン・ナイト をテーマにしている。 浅草花やしき を運営していた トーゴ （ 2004年 会社更生法 申請）によって 西神南ニュータウン に造られた。当初より5年間限定のオープンだった。","https://ja.wikipedia.org/wiki/アリバシティ神戸","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"奥摩耶遊園地","[奥摩耶遊園地28兵庫1955-?] 奥摩耶遊園地 （おくまやゆうえんち）は、 兵庫県 神戸市 灘区 にかつて存在した 遊園地 である。別称は 摩耶ケーブル遊園地 。","https://ja.wikipedia.org/wiki/奥摩耶遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"キリンガーデンコミュニティ","[キリンガーデンコミュニティ28兵庫1998-2001] キリンガーデンコミュニティは、かつて 兵庫県 尼崎市 にあった レジャー施設 である。","https://ja.wikipedia.org/wiki/キリンガーデンコミュニティ","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"甲子園阪神パーク","[甲子園阪神パーク28兵庫1950-2003/ららぽーと甲子園] 甲子園阪神パーク （こうしえんはんしんパーク、 1929年 - 1943年 、 1950年 - 2003年 ）は、 兵庫県 西宮市 の 甲子園地域 にかつて存在した 遊園地 。 阪神電気鉄道 が所有・運営していた。","https://ja.wikipedia.org/wiki/甲子園阪神パーク","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度43分2.7秒 東経135度21分47.6秒","","","","","","","","","","","","","","","","","","",""
"神戸ポートピアランド","[神戸ポートピアランド28兵庫1981-2006/IKEA神戸] 神戸ポートピアランド （こうべポートピアランド、Kobe Portopia Land）は、 兵庫県 神戸市 の ポートアイランド にあった レジャー施設 である。通称は、「ポートピアランド」、「ポーピア」、「KPL（ケイピーエル）」等。","https://ja.wikipedia.org/wiki/神戸ポートピアランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度39分52秒 東経135度13分07秒","兵庫県神戸市","1981年（昭和56年）10月1日","","","","5ha","阪急東宝グループ","","ポートピアランド、ポーピア、KPL","2006年（平成18年）3月31日","","","","","","","","",""
"香枦園遊園地","[香枦園遊園地28兵庫1907-1913] 香櫨園遊園地 （こうろえんゆうえんち）は、かつて 兵庫県 西宮市 に存在した 遊園地 である。","https://ja.wikipedia.org/wiki/香枦園遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"宝塚ファミリーランド","[宝塚ファミリーランド28兵庫1911-2003/宝塚ガーデンフィールズ（2013年閉園）・ベビーザらス阪急宝塚店・関西学院初等部] 宝塚ファミリーランド （たからづかファミリーランド）は、 兵庫県 宝塚市 にかつて存在した 遊園地 兼 動物園 。","https://ja.wikipedia.org/wiki/宝塚ファミリーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"東条湖ランド","[東条湖ランド28兵庫1969-2000] 東条湖ランド （とうじょうこランド）は、 兵庫県 加東郡 東条町 （現 加東市 ）にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/東条湖ランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度55分51.1秒 東経135度3分46.8秒","","","","","","","","","","","","","","","","","","",""
"六甲ランドAOIA","[六甲ランドAOIA28兵庫1991-1995] 六甲ランドAOIA （ろっこうランドアオイア）は、かつて 兵庫県 神戸市 東灘区 にあった レジャー施設 である。 セゾングループ の六甲環境計画（現在は解散。 西洋環境開発 の子会社）が経営していた。","https://ja.wikipedia.org/wiki/六甲ランドAOIA","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"きびの郷ワンダーランド","[きびの郷ワンダーランド33岡山1980-1996] きびの郷ワンダーランド （きびのさとワンダーランド）は、かつて 岡山県 高梁市 にあった レジャー施設 。","https://ja.wikipedia.org/wiki/きびの郷ワンダーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","岡山県高梁市松原町神原2326","1980年（昭和55年）7月","","高梁都市開発株式会社","","215,000m2","","","きびの郷ワンダーランド","1996年（平成8年）","","","","","","","","",""
"京山ロープウェー遊園","[京山ロープウェー遊園33岡山1956-1998] 京山ロープウェー遊園 （きょうやまロープウェーゆうえん）は、かつて 岡山市 京山2丁目（現・岡山市 北区 京山2丁目）にあった 遊園地 である。末期は 岡山電気軌道 が運営していた。","https://ja.wikipedia.org/wiki/京山ロープウェー遊園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","岡山市京山2丁目（現・岡山市北区京山2丁目）","1956年7月20日（岡山観光索道）","","","","","岡山観光索道株式会社（1956年-1964年）→岡山ファミリーランド株式会社（1964年-1982年）→岡山電気軌道株式会社（1982年-1996年）","岡山観光索道・京山八方閣岡山ファミリーランド","","1998年9月6日","","27,000人（1997年度）","","","","","","",""
"倉敷チボリ公園","[倉敷チボリ公園33岡山1997-2008/アリオ倉敷・三井アウトレットパーク 倉敷・倉敷みらい公園] 倉敷チボリ公園 （くらしきチボリこうえん）は、かつて 岡山県 倉敷市 寿町（JR 倉敷駅 北口前）に所在した 公園 、都市型 テーマパーク 。","https://ja.wikipedia.org/wiki/倉敷チボリ公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度36分12.2秒 東経133度45分51.7秒","","","","","","","","","","","","","","","","","","",""
"赤坂遊園","[赤坂遊園34広島1972-1991] 赤坂遊園 （あかさかゆうえん）は、かつて 広島県 福山市 赤坂町に存在した 井笠鉄道 経営の 遊園地 である。","https://ja.wikipedia.org/wiki/赤坂遊園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度28分35秒 東経133度18分18秒","","","","","","","","","","","","","","","","","","",""
"呉ポートピアランド","[呉ポートピアランド34広島1992-1998/呉ポートピアパーク] 呉ポートピアランド （くれポートピアランド）とは、 広島県 呉市 にかつて存在した 遊園地 である。 スペイン のリゾート地「 コスタ・デル・ソル 」をモチーフとした テーマパーク であった。現在は 呉ポートピアパーク として市民に開放されている。","https://ja.wikipedia.org/wiki/呉ポートピアランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度17分29.4秒 東経132度30分42.3秒","","","","","","","","","","","","","","","","","","",""
"シトラスパーク瀬戸田","[シトラスパーク瀬戸田34広島] 2021年現在休園中。 柑橘類 を中心とした 農業公園 系 テーマパーク として開場、現在は健康をテーマとした公園としてリニューアル工事を進めている  。敷地面積約12ha（2015年現在  ）。 西瀬戸自動車道 （しまなみ海道） 生口島南IC の北側斜面に立地する。","https://ja.wikipedia.org/wiki/シトラスパーク瀬戸田","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度15分50.89秒東経133度5分30.87秒","〒722-2403広島県尾道市瀬戸田町荻4985","1998年","","","北緯34度15分50.89秒東経133度5分30.87秒﻿ / ﻿北緯34.2641361度 東経133.0919083度﻿ /34.2641361; 133.0919083座標:北緯34度15分50.89秒東経133度5分30.87秒﻿ / ﻿北緯34.2641361度 東経133.0919083度﻿ /34.2641361; 133.0919083","","尾道市","","","","","","","","","","","",""
"千光寺山グリーンランド","[千光寺山グリーンランド34広島1966-2007] 千光寺山グリーンランド （せんこうじやまグリーンランド）は、 広島県 尾道市 にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/千光寺山グリーンランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"野呂山遊園地","[野呂山遊園地34広島1968-1974] 野呂山遊園地 （のろやまゆうえんち）は、 広島県 呉市 にかつて存在した 遊園地 である。正式名称は 野呂牧場遊園地 （のろぼくじょうゆうえんち）。 ロータリー交差点 北側約800mの場所に存在した  。","https://ja.wikipedia.org/wiki/野呂山遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"広島ナタリー","[広島ナタリー34広島1974-1996] ヒロシマ・ナタリー （HIROSHIMA NATALIE）は、開業当時 広島県 佐伯郡 廿日市町阿品（ 1988年 の市政移行で 廿日市市 になる）にかつて存在した 遊園地 。","https://ja.wikipedia.org/wiki/広島ナタリー","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度19分23秒 東経132度19分02秒","","","","","","","","","","","","","","","","","","",""
"楽々園遊園地","[楽々園遊園地34広島1936-1972] 楽々園遊園地 （らくらくえんゆうえんち）は、 広島県 佐伯郡 五日市町 海老塩浜  にかつて存在した 遊園地 。 広島瓦斯電軌  の電鉄部門  の土地経営事業  により開発された  。","https://ja.wikipedia.org/wiki/楽々園遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度21分43.4秒東経132度21分8.4秒","広島県佐伯郡五日市町海老塩浜","1936年（昭和11年）9月8日","","広島瓦斯電軌株式会社 →広島電鉄株式会社 →有限会社楽々園 →広島電鉄株式会社 →広電観光株式会社 →株式会社広電楽々園","北緯34度21分43.4秒東経132度21分8.4秒﻿ / ﻿北緯34.362056度 東経132.352333度﻿ /34.362056; 132.352333座標:北緯34度21分43.4秒東経132度21分8.4秒﻿ / ﻿北緯34.362056度 東経132.352333度﻿ /34.362056; 132.352333","約1万坪","","","","1971年（昭和46年）8月31日","電車で楽々行ける遊園地","","","","","","","",""
"三朝ファミリーランド","[三朝ファミリーランド31鳥取] 三朝ファミリーランド （みささファミリーランド）は、 鳥取県 三朝町 にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/三朝ファミリーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"鳥取プレイランド","[鳥取プレイランド31鳥取1986-1995] 鳥取プレイランド （とっとりプレイランド）とは、 鳥取県 岩美郡 国府町 （現・ 鳥取市 ）にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/鳥取プレイランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"弓ヶ浜わくわくランド","[弓ヶ浜わくわくランド31鳥取1998-2006] 弓ヶ浜わくわくランド （ゆみがはまわくわくランド）は、 鳥取県 米子市 の 弓ヶ浜公園 にかつて存在した 遊園地 。","https://ja.wikipedia.org/wiki/弓ヶ浜わくわくランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","鳥取県米子市両三柳弓ヶ浜公園内","1998年（平成10年）","","財団法人米子市公園協会2006年から米子市","","","財団法人米子市福祉事業団2006年から米子市","","","2006年（平成18年）","","12万7,000人（1999年（平成11年））8万7,000人（2005年（平成17年））","","","","","","",""
"一畑パーク","[一畑パーク32島根1961-1979] 一畑パーク （いちばたパーク）は、 島根県 平田市 （現・ 出雲市 ）一畑町にかつて存在した 遊園地 。","https://ja.wikipedia.org/wiki/一畑パーク","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度29分35.5秒東経132度52分26.5秒","島根県平田市一畑町（現・出雲市小境灘）","1961年（昭和36年）","","一畑電気鉄道","北緯35度29分35.5秒東経132度52分26.5秒﻿ / ﻿北緯35.493194度 東経132.874028度﻿ /35.493194; 132.874028座標:北緯35度29分35.5秒東経132度52分26.5秒﻿ / ﻿北緯35.493194度 東経132.874028度﻿ /35.493194; 132.874028","","一畑電気鉄道","","","1979年（昭和54年）","お子様の楽園 一畑パーク","","","","","","","",""
"川棚温泉自然ランド","[川棚温泉自然ランド35山口] 川棚温泉自然ランド （かわたなおんせんしぜんランド）は、 山口県 下関市 にあった 娯楽施設 である。","https://ja.wikipedia.org/wiki/川棚温泉自然ランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"マリンランド (山口県)","[下関マリンランド35山口1971-1999] マリンランド （ 下関マリンランド と呼ばれたことも）は、 山口県 下関市 長府 外浦町にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/マリンランド_(山口県)","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
