"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"七隈駅","七隈駅（ななくまえき）","https://ja.wikipedia.org/wiki/七隈駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度33分11.75秒東経130度21分42.05秒","地下鉄七隈線","4.9 km（橋本起点）","福岡市交通局","地下駅","2005年（平成17年）2月3日","1面2線","福岡市城南区七隈四丁目北緯33度33分11.75秒東経130度21分42.05秒﻿ / ﻿北緯33.5532639度 東経130.3616806度﻿ /33.5532639; 130.3616806﻿ (七隈駅)座標:北緯33度33分11.75秒東経130度21分42.05秒﻿ / ﻿北緯33.5532639度 東経130.3616806度﻿ /33.5532639; 130.3616806﻿ (七隈駅)","業務委託駅","","5,131人/日（降車客含まず）-2019年-","○N07","","","","","","","",""
"七光台駅","七光台駅（ななこうだいえき）","https://ja.wikipedia.org/wiki/七光台駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度58分15.1秒東経139度51分10秒","■野田線（東武アーバンパークライン）","25.1 km（大宮起点）","東武鉄道","地上駅（橋上駅）","1968年（昭和43年）7月1日","1面2線","千葉県野田市光葉町一丁目52番地1北緯35度58分15.1秒東経139度51分10秒﻿ / ﻿北緯35.970861度 東経139.85278度﻿ /35.970861; 139.85278座標:北緯35度58分15.1秒東経139度51分10秒﻿ / ﻿北緯35.970861度 東経139.85278度﻿ /35.970861; 139.85278","業務委託駅","ナコ","","TD14","7,128人/日-2019年-","","","","","","",""
"七里駅","七里駅（ななさとえき）","https://ja.wikipedia.org/wiki/七里駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度56分10.85秒東経139度39分56.96秒","■野田線（東武アーバンパークライン）","5.6 km（大宮起点）","東武鉄道","地上駅","1929年（昭和4年）11月17日","2面2線","さいたま市見沼区風渡野603北緯35度56分10.85秒東経139度39分56.96秒﻿ / ﻿北緯35.9363472度 東経139.6658222度﻿ /35.9363472; 139.6658222座標:北緯35度56分10.85秒東経139度39分56.96秒﻿ / ﻿北緯35.9363472度 東経139.6658222度﻿ /35.9363472; 139.6658222","業務委託駅","ナト","","TD05","20,392人/日-2019年-","","","","","","",""
"七塚駅","七塚駅（ななつかえき）","https://ja.wikipedia.org/wiki/七塚駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度50分40.58秒東経132度59分9.28秒","P芸備線","72.2km（備中神代起点）新見から78.6 km","西日本旅客鉄道（JR西日本）","地上駅","1923年（大正12年）12月8日","1面1線","広島県庄原市七塚町北緯34度50分40.58秒東経132度59分9.28秒﻿ / ﻿北緯34.8446056度 東経132.9859111度﻿ /34.8446056; 132.9859111座標:北緯34度50分40.58秒東経132度59分9.28秒﻿ / ﻿北緯34.8446056度 東経132.9859111度﻿ /34.8446056; 132.9859111","無人駅","ナナ","3人/日（降車客含まず）-2018年-","","","","","","","","",""
"七ヶ岳登山口駅","七ヶ岳登山口駅（ななつがたけとざんぐちえき）","https://ja.wikipedia.org/wiki/七ヶ岳登山口駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","会津線","53.1 km（西若松起点）","会津鉄道","地上駅","1953年（昭和28年）11月8日","1面1線","","","ナトイト（転換前）","8人/日（降車客含まず）-2015年-","","","","","","","","",""
"七ツ屋駅","七ツ屋駅（ななつやえき）","https://ja.wikipedia.org/wiki/七ツ屋駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度34分59.19秒東経136度39分6.31秒","■浅野川線","0.6 km（北鉄金沢起点）","北陸鉄道","地上駅","1925年（大正14年）5月10日","単式1面1線","石川県金沢市北安江北緯36度34分59.19秒東経136度39分6.31秒﻿ / ﻿北緯36.5831083度 東経136.6517528度﻿ /36.5831083; 136.6517528座標:北緯36度34分59.19秒東経136度39分6.31秒﻿ / ﻿北緯36.5831083度 東経136.6517528度﻿ /36.5831083; 136.6517528","","","","○A02","52人/日-2017年-","","","","","","",""
"七和駅","七和駅（ななわえき）","https://ja.wikipedia.org/wiki/七和駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度4分7.98秒東経136度36分56.63秒","■北勢線","6.9 km（西桑名起点）","三岐鉄道","地上駅","1914年（大正3年）4月5日","1面2線","三重県桑名市大字芳ヶ崎607-2北緯35度4分7.98秒東経136度36分56.63秒﻿ / ﻿北緯35.0688833度 東経136.6157306度﻿ /35.0688833; 136.6157306座標:北緯35度4分7.98秒東経136度36分56.63秒﻿ / ﻿北緯35.0688833度 東経136.6157306度﻿ /35.0688833; 136.6157306","無人駅（自動券売機 有）","ナナワ","318人/日（降車客含まず）-2019年-","","","","","","","","",""
"なにわ橋駅","なにわ橋駅（なにわばしえき）","https://ja.wikipedia.org/wiki/なにわ橋駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度41分34秒東経135度30分23秒","■中之島線","2.0 km（中之島起点）","京阪電気鉄道（中之島高速鉄道）","地下駅","2008年（平成20年）10月19日","1面2線","大阪市北区中之島一丁目北緯34度41分34秒東経135度30分23秒﻿ / ﻿北緯34.69278度 東経135.50639度﻿ /34.69278; 135.50639﻿ (なにわ橋駅)座標:北緯34度41分34秒東経135度30分23秒﻿ / ﻿北緯34.69278度 東経135.50639度﻿ /34.69278; 135.50639﻿ (なにわ橋駅)","","な（駅名略称方式）","","KH  51","2,885人/日-2019年-","北浜駅（Osaka Metro堺筋線・京阪本線）","","","","","",""
"七日町駅","七日町駅（なぬかまちえき）","https://ja.wikipedia.org/wiki/七日町駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯37度30分4.2秒東経139度55分8.4秒","■只見線（■会津鉄道会津線直通含む）","1.3 km（会津若松起点）","東日本旅客鉄道（JR東日本）","地上駅","1934年（昭和9年）11月1日","1面1線","福島県会津若松市七日町5-1北緯37度30分4.2秒東経139度55分8.4秒﻿ / ﻿北緯37.501167度 東経139.919000度﻿ /37.501167; 139.919000座標:北緯37度30分4.2秒東経139度55分8.4秒﻿ / ﻿北緯37.501167度 東経139.919000度﻿ /37.501167; 139.919000","無人駅（自動券売機 有）","ヌマ→ナマ","268人/日（降車客含まず）-2004年-","","","","","","","","",""
"那覇空港駅","那覇空港駅（なはくうこうえき）","https://ja.wikipedia.org/wiki/那覇空港駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯26度12分23.3秒東経127度39分8.1秒","■沖縄都市モノレール線（ゆいレール）","0.0 km（那覇空港起点）","沖縄都市モノレール","高架駅","2003年（平成15年）8月10日[2][3]","1面2線","沖縄県那覇市字鏡水938-5北緯26度12分23.3秒東経127度39分8.1秒﻿ / ﻿北緯26.206472度 東経127.652250度﻿ /26.206472; 127.652250座標:北緯26度12分23.3秒東経127度39分8.1秒﻿ / ﻿北緯26.206472度 東経127.652250度﻿ /26.206472; 127.652250","日本最西端駅","","2,662人/日（降車客含まず）-2020年-","1","","","","","","","",""
"菜畑駅","菜畑駅（なばたえき）","https://ja.wikipedia.org/wiki/菜畑駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度41分8.73秒東経135度42分24.33秒","G生駒線","11.2 km（王寺起点）","近畿日本鉄道（近鉄）","高架駅","1927年（昭和2年）4月1日","2面2線","奈良県生駒市中菜畑一丁目54-2北緯34度41分8.73秒東経135度42分24.33秒﻿ / ﻿北緯34.6857583度 東経135.7067583度﻿ /34.6857583; 135.7067583座標:北緯34度41分8.73秒東経135度42分24.33秒﻿ / ﻿北緯34.6857583度 東経135.7067583度﻿ /34.6857583; 135.7067583","","ナバタ","2,157人/日（降車客含まず）-2008年-"," G18 ","","","","","","","",""
"奈半利駅","奈半利駅（なはりえき）","https://ja.wikipedia.org/wiki/奈半利駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度25分30.85秒東経134度1分5.36秒","■ごめん・なはり線","42.7 km（後免起点）","土佐くろしお鉄道（TKT）","高架駅","2002年（平成14年）7月1日","1面1線","高知県安芸郡奈半利町乙4779−3北緯33度25分30.85秒東経134度1分5.36秒座標:北緯33度25分30.85秒 東経134度1分5.36秒","有人駅","ナハ","","○GN21","288[1]人/日-2019年-","","","","","","",""
"名張駅","名張駅（なばりえき）","https://ja.wikipedia.org/wiki/名張駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度37分18.07秒東経136度5分45.34秒","D大阪線","67.2 km（大阪上本町起点）","近畿日本鉄道（近鉄）","地上駅","1930年（昭和5年）10月10日","2面4線","三重県名張市平尾2961北緯34度37分18.07秒東経136度5分45.34秒﻿ / ﻿北緯34.6216861度 東経136.0959278度﻿ /34.6216861; 136.0959278座標:北緯34度37分18.07秒東経136度5分45.34秒﻿ / ﻿北緯34.6216861度 東経136.0959278度﻿ /34.6216861; 136.0959278","","ナハ","5,910人/日（降車客含まず）-2019年-"," D49 ","","","","","","","",""
"鍋倉駅","鍋倉駅（なべくらえき）","https://ja.wikipedia.org/wiki/鍋倉駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度22分41.96秒東経131度41分39.67秒","■山口線","46.4 km（新山口起点）","西日本旅客鉄道（JR西日本）","地上駅","1962年（昭和37年）7月17日*","1面1線","山口県山口市阿東徳佐下字鍋倉北緯34度22分41.96秒東経131度41分39.67秒﻿ / ﻿北緯34.3783222度 東経131.6943528度﻿ /34.3783222; 131.6943528座標:北緯34度22分41.96秒東経131度41分39.67秒﻿ / ﻿北緯34.3783222度 東経131.6943528度﻿ /34.3783222; 131.6943528","無人駅","ナヘ","5人/日（降車客含まず）-2019年-","","","","","","","","",""
"鍋島駅","鍋島駅（なべしまえき）","https://ja.wikipedia.org/wiki/鍋島駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度15分32.95秒東経130度15分56.98秒","■長崎本線（■唐津線直通含む）","28.0 km（鳥栖起点）","九州旅客鉄道（JR九州）日本貨物鉄道（JR貨物）","地上駅","1930年（昭和5年）7月7日[1]","2面3線","佐賀県佐賀市鍋島町大字八戸溝1303（JR九州）佐賀県佐賀市鍋島町大字八戸310（JR貨物）北緯33度15分32.95秒東経130度15分56.98秒﻿ / ﻿北緯33.2591528度 東経130.2658278度﻿ /33.2591528; 130.2658278座標:北緯33度15分32.95秒東経130度15分56.98秒﻿ / ﻿北緯33.2591528度 東経130.2658278度﻿ /33.2591528; 130.2658278","業務委託駅","ナヘ","565人/日（降車客含まず）-2019年-","","","","","","","","",""
"新穂高ロープウェイ","鍋平高原駅（なべひらこうげんえき）","https://ja.wikipedia.org/wiki/新穂高ロープウェイ#路線データ、駅一覧","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鍋原駅","鍋原駅（なべらえき）","https://ja.wikipedia.org/wiki/鍋原駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度33分57.25秒東経136度38分11.77秒","樽見線","26.4 km（大垣起点）","樽見鉄道","地上駅","1989年（平成元年）3月25日","1面1線","岐阜県本巣市佐原字鍋原北緯35度33分57.25秒東経136度38分11.77秒﻿ / ﻿北緯35.5659028度 東経136.6366028度﻿ /35.5659028; 136.6366028座標:北緯35度33分57.25秒東経136度38分11.77秒﻿ / ﻿北緯35.5659028度 東経136.6366028度﻿ /35.5659028; 136.6366028","","","","","","","","","","","",""
"鯰田駅","鯰田駅（なまずたえき）","https://ja.wikipedia.org/wiki/鯰田駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度40分7.76秒東経130度42分7.2秒","JC筑豊本線[1]（福北ゆたか線）","34.7 km（若松起点）","九州旅客鉄道（JR九州）[1]","地上駅","1893年（明治26年）7月3日[2][3]","2面2線[2]","福岡県飯塚市鯰田[2]809北緯33度40分7.76秒東経130度42分7.2秒﻿ / ﻿北緯33.6688222度 東経130.702000度﻿ /33.6688222; 130.702000﻿ (鯰田駅)","無人駅[1]","ナマ","361人/日（降車客含まず）-2019年-","JC  16 ","","","","","","","",""
"生瀬駅","生瀬駅（なまぜえき）","https://ja.wikipedia.org/wiki/生瀬駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度49分8.97秒東経135度19分30.21秒","G福知山線（JR宝塚線）","19.7km（尼崎起点）大阪から27.4 km","西日本旅客鉄道（JR西日本）","地上駅[1]","1898年（明治31年）6月8日[1]","2面2線[1]","兵庫県西宮市生瀬町一丁目1-13[1]北緯34度49分8.97秒東経135度19分30.21秒﻿ / ﻿北緯34.8191583度 東経135.3250583度﻿ /34.8191583; 135.3250583座標:北緯34度49分8.97秒東経135度19分30.21秒﻿ / ﻿北緯34.8191583度 東経135.3250583度﻿ /34.8191583; 135.3250583","業務委託駅[1]みどりの窓口有*1899年に有馬口駅から改称[1]。","ナマ","1,734人/日（降車客含まず）-2019年-","JR-G57","","","","","","","",""
"生麦駅","生麦駅（なまむぎえき）","https://ja.wikipedia.org/wiki/生麦駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度29分43秒東経139度40分1秒","■本線","16.9 km（品川駅起点）","京浜急行電鉄（京急）","地上駅（橋上駅）","1905年（明治38年）12月24日","2面3線[1]","神奈川県横浜市鶴見区生麦三丁目1-35北緯35度29分43秒東経139度40分1秒﻿ / ﻿北緯35.49528度 東経139.66694度﻿ /35.49528; 139.66694﻿ (生麦駅)座標:北緯35度29分43秒東経139度40分1秒﻿ / ﻿北緯35.49528度 東経139.66694度﻿ /35.49528; 139.66694﻿ (生麦駅)","","","","KK31","29,910人/日-2019年-","","","","","","",""
"浪板海岸駅","浪板海岸駅（なみいたかいがんえき）","https://ja.wikipedia.org/wiki/浪板海岸駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","リアス線","54.1 km（盛起点）","三陸鉄道","地上駅","1961年（昭和36年）12月20日[1]","1面1線","","無人駅*1994年に浪板駅から改称","","","","","","","","","","",""
"浪江駅","浪江駅（なみええき）","https://ja.wikipedia.org/wiki/浪江駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","■常磐線","268.6 km（日暮里起点）","東日本旅客鉄道（JR東日本）","地上駅","1898年（明治31年）8月23日[1]","2面3線[1]","","無人駅（Smart Station for EXPRESS導入駅）[報道 1]話せる指定席券売機設置駅[報道 1]","ナエ","24人/日（降車客含まず）-2018年-","","","","","","","","",""
"浪岡駅","浪岡駅（なみおかえき）","https://ja.wikipedia.org/wiki/浪岡駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","■奥羽本線","462.1 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1894年（明治27年）12月1日[1]","2面3線[1]","","業務委託駅みどりの窓口有[1]","ナミ","909人/日（降車客含まず）-2019年-","","","","","","","","",""
"波方駅","波方駅（なみかたえき）","https://ja.wikipedia.org/wiki/波方駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度5分42.55秒東経132度56分30.76秒","■予讃線","152.3 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1960年（昭和35年）3月1日","2面2線","愛媛県今治市波方町樋口535北緯34度5分42.55秒東経132度56分30.76秒﻿ / ﻿北緯34.0951528度 東経132.9418778度﻿ /34.0951528; 132.9418778座標:北緯34度5分42.55秒東経132度56分30.76秒﻿ / ﻿北緯34.0951528度 東経132.9418778度﻿ /34.0951528; 132.9418778","無人駅","ナミ","","○Y42","136[1]人/日-2019年-","","","","","","",""
"並河駅","並河駅（なみかわえき）","https://ja.wikipedia.org/wiki/並河駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度1分57.03秒東経135度33分17.31秒","E山陰本線（嵯峨野線）","23.4 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1935年（昭和10年）7月20日","2面2線","京都府亀岡市大井町土田二丁目57-6北緯35度1分57.03秒東経135度33分17.31秒﻿ / ﻿北緯35.0325083度 東経135.5548083度﻿ /35.0325083; 135.5548083座標:北緯35度1分57.03秒東経135度33分17.31秒﻿ / ﻿北緯35.0325083度 東経135.5548083度﻿ /35.0325083; 135.5548083","業務委託駅みどりの窓口有","ナミ","3,257人/日（降車客含まず）-2019年-","JR-E12","","","","","","","",""
"並木北駅","並木北駅（なみききたえき）","https://ja.wikipedia.org/wiki/並木北駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度22分18.8秒東経139度38分33.7秒","■金沢シーサイドライン","2.8 km（新杉田起点）","横浜シーサイドライン","地上駅","1989年（平成元年）7月5日[1]","島式 1面2線","横浜市金沢区幸浦一丁目北緯35度22分18.8秒東経139度38分33.7秒﻿ / ﻿北緯35.371889度 東経139.642694度﻿ /35.371889; 139.642694﻿ (並木北駅)座標:北緯35度22分18.8秒東経139度38分33.7秒﻿ / ﻿北緯35.371889度 東経139.642694度﻿ /35.371889; 139.642694﻿ (並木北駅)","無人駅","","1,803人/日（降車客含まず）-2019年-","4","3,633人/日-2019年-","","","","","","",""
"並木中央駅","並木中央駅（なみきちゅうおうえき）","https://ja.wikipedia.org/wiki/並木中央駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度21分55.6秒東経139度38分34.6秒","■金沢シーサイドライン","3.5 km（新杉田起点）","横浜シーサイドライン","高架駅","1989年（平成元年）7月5日[1]","島式 2面3線","横浜市金沢区幸浦二丁目北緯35度21分55.6秒東経139度38分34.6秒﻿ / ﻿北緯35.365444度 東経139.642944度﻿ /35.365444; 139.642944﻿ (並木中央駅)座標:北緯35度21分55.6秒東経139度38分34.6秒﻿ / ﻿北緯35.365444度 東経139.642944度﻿ /35.365444; 139.642944﻿ (並木中央駅)","","","2,629人/日（降車客含まず）-2019年-","5","5,364人/日-2019年-","","","","","","",""
"涙橋停留場","涙橋停留場（なみだばしていりゅうじょう）","https://ja.wikipedia.org/wiki/涙橋停留場","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯31度33分33.93秒東経130度32分49.02秒","鹿児島市電谷山線（1系統）","2.4km（武之橋起点）鹿児島駅前から5.4 km","鹿児島市交通局","地上駅","","2面2線","鹿児島県鹿児島市郡元三丁目北緯31度33分33.93秒東経130度32分49.02秒﻿ / ﻿北緯31.5594250度 東経130.5469500度﻿ /31.5594250; 130.5469500﻿ (涙橋停留場)","","","","●I18","856人/日-2015年-","","","","","","",""
"波野駅","波野駅（なみのえき）","https://ja.wikipedia.org/wiki/波野駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯32度56分19.06秒東経131度11分42.33秒","■豊肥本線","83.7 km（大分起点）","九州旅客鉄道（JR九州）","地上駅","1928年（昭和3年）12月2日[2]","2面2線[1]","熊本県阿蘇市波野大字波野[1]北緯32度56分19.06秒東経131度11分42.33秒","無人駅[1]","ナミ","","","","","","","","","",""
"浪花駅","浪花駅（なみはなえき）","https://ja.wikipedia.org/wiki/浪花駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度13分21.6秒東経140度22分46秒","■外房線","60.5 km（千葉起点）","東日本旅客鉄道（JR東日本）","地上駅","1913年（大正2年）6月20日[1]","1面2線","千葉県いすみ市小沢1456北緯35度13分21.6秒東経140度22分46秒座標:北緯35度13分21.6秒 東経140度22分46秒","無人駅（乗車駅証明書発行機 有）","ナミ","96人/日（降車客含まず）-2006年-","","","","","","","","",""
"滑河駅","滑河駅（なめがわえき）","https://ja.wikipedia.org/wiki/滑河駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度52分38秒東経140度20分53.2秒","■成田線","25.5 km（佐倉起点）千葉から41.6 km","東日本旅客鉄道（JR東日本）","地上駅","1897年（明治30年）12月29日[1]","2面2線","千葉県成田市猿山264北緯35度52分38秒東経140度20分53.2秒﻿ / ﻿北緯35.87722度 東経140.348111度﻿ /35.87722; 140.348111座標:北緯35度52分38秒東経140度20分53.2秒﻿ / ﻿北緯35.87722度 東経140.348111度﻿ /35.87722; 140.348111","業務委託駅","ナメ","809人/日（降車客含まず）-2019年-","","","","","","","","",""
"行川アイランド駅","行川アイランド駅（なめがわアイランドえき）","https://ja.wikipedia.org/wiki/行川アイランド駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度7分6秒東経140度13分37.1秒","■外房線","80.5 km（千葉起点）","東日本旅客鉄道（JR東日本）","地上駅","1970年（昭和45年）7月2日[1]","1面1線","千葉県勝浦市浜行川北緯35度7分6秒東経140度13分37.1秒座標:北緯35度7分6秒 東経140度13分37.1秒","無人駅[2]（乗車駅証明書発行機 有）","ラン","19人/日（降車客含まず）-2006年-","","","","","","","","",""
"滑津駅","滑津駅（なめづえき）","https://ja.wikipedia.org/wiki/滑津駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度14分19.29秒東経138度28分29.84秒","■小海線","66.5 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","地上駅","1916年（大正5年）6月6日[1]","1面1線[1]","長野県佐久市中込[1]北緯36度14分19.29秒東経138度28分29.84秒﻿ / ﻿北緯36.2386917度 東経138.4749556度﻿ /36.2386917; 138.4749556座標:北緯36度14分19.29秒東経138度28分29.84秒﻿ / ﻿北緯36.2386917度 東経138.4749556度﻿ /36.2386917; 138.4749556","無人駅[1]1944年に一旦廃止、1952年に再開業[1]。標高：665.2m[1]","ナメ[1]","86人/日（降車客含まず）-2011年-","","","","","","","","",""
"滑川駅","滑川駅（なめりかわえき）","https://ja.wikipedia.org/wiki/滑川駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","","","あいの風とやま鉄道（駅詳細）富山地方鉄道（駅詳細）","","","","富山県滑川市辰野","","","","","","","","","","","",""
"名寄駅","名寄駅（なよろえき）","https://ja.wikipedia.org/wiki/名寄駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯44度20分58秒東経142度27分55秒","■宗谷本線","76.2 km（旭川起点）","北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）*","地上駅","1903年（明治36年）9月3日","2面3線","北海道名寄市東1条南6丁目1番1号北緯44度20分58秒東経142度27分55秒","直営駅（管理駅）みどりの窓口有","ナロ","353人/日（降車客含まず）-2019年-","○W48","","","","","","","",""
"奈良駅","奈良駅（ならえき）","https://ja.wikipedia.org/wiki/奈良駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度40分50.38秒東経135度49分8.48秒","Q関西本線（大和路線）**（D奈良線直通含む）","133.9km（名古屋起点）加茂から13.0km京都から41.7 km","西日本旅客鉄道（JR西日本）","高架駅","1890年（明治23年）12月27日","3面5線","奈良県奈良市三条本町1番1号北緯34度40分50.38秒東経135度49分8.48秒﻿ / ﻿北緯34.6806611度 東経135.8190222度﻿ /34.6806611; 135.8190222﻿ (奈良駅)座標:北緯34度40分50.38秒東経135度49分8.48秒﻿ / ﻿北緯34.6806611度 東経135.8190222度﻿ /34.6806611; 135.8190222﻿ (奈良駅)","直営駅（管理駅）みどりの窓口有","ナラ","18,145[1]人/日（降車客含まず）-2019年-","JR-Q36（大和路線）JR-D21（奈良線）","","","","","","","",""
"奈良井駅","奈良井駅（ならいえき）","https://ja.wikipedia.org/wiki/奈良井駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度58分8.66秒東経137度48分55.78秒","CF中央本線","243.2km（東京起点）名古屋から153.7 km","東海旅客鉄道（JR東海）","地上駅","1909年（明治42年）12月1日[1]","2面3線[1]","長野県塩尻市大字奈良井[1]北緯35度58分8.66秒東経137度48分55.78秒﻿ / ﻿北緯35.9690722度 東経137.8154944度﻿ /35.9690722; 137.8154944﻿ (奈良井駅)","簡易委託駅[1]標高：933.8m[1]（JR東海で最高[2]）","ライ[1]","71人/日（降車客含まず）-2018年-","","","","","","","","",""
"那良口駅","那良口駅（ならぐちえき）","https://ja.wikipedia.org/wiki/那良口駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯32度14分36.97秒東経130度40分3.53秒","肥薩線","42.4 km（八代起点）","九州旅客鉄道（JR九州）","地上駅","1910年（明治43年）6月25日[1]","1面1線","熊本県球磨郡球磨村大字三ケ浦那良口北緯32度14分36.97秒東経130度40分3.53秒﻿ / ﻿北緯32.2436028度 東経130.6676472度﻿ /32.2436028; 130.6676472﻿ (那良口駅)","無人駅","ナラ","","","","","","","","","",""
"習志野駅","習志野駅（ならしのえき）","https://ja.wikipedia.org/wiki/習志野駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","■新京成線","21.7 km（松戸起点）","新京成電鉄","地上駅","1948年（昭和23年）10月8日","2面2線","","","","","SL20","13,283人/日-2019年-","","","","","","",""
"楢原駅","楢原駅（ならはらえき）","https://ja.wikipedia.org/wiki/楢原駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度1分11.01秒東経134度11分21.83秒","K姫新線","66.4 km（姫路起点）","西日本旅客鉄道（JR西日本）","地上駅","1954年（昭和29年）10月1日","1面1線","岡山県美作市楢原上北緯35度1分11.01秒東経134度11分21.83秒﻿ / ﻿北緯35.0197250度 東経134.1893972度﻿ /35.0197250; 134.1893972﻿ (楢原駅)","無人駅","ナハ","25人/日（降車客含まず）-2019年-","","","","","","","","",""
