"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","形状","史跡","規模","出土品","埋葬施設","法人番号","文化財","創建年","宗派","山号","別名","本尊","開基","所属","札所等"
"法隆寺","[法隆寺旧境内（ほうりゅうじきゅうけいだい）〔生駒郡斑鳩町〕（世界遺産「法隆寺地域の仏教建造物」の構成資産）] 法隆寺 （ほうりゅうじ）は、 奈良県 生駒郡 斑鳩町 法隆寺山内にある 聖徳宗 の 総本山 の 寺院 。 斑鳩寺 （いかるがでら、鵤寺とも）、 法隆学問寺 としても知られる  。","https://ja.wikipedia.org/wiki/法隆寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度36分53.06秒東経135度44分3.02秒","北緯34度36分53.06秒東経135度44分3.02秒﻿ / ﻿北緯34.6147389度 東経135.7341722度﻿ /34.6147389; 135.7341722座標:北緯34度36分53.06秒東経135度44分3.02秒﻿ / ﻿北緯34.6147389度 東経135.7341722度﻿ /34.6147389; 135.7341722","奈良県生駒郡斑鳩町法隆寺山内1-1","","","","","","","","3150005003468","金堂、五重塔、夢殿他（国宝）中門金剛力士像他（重要文化財）世界遺産","伝・推古天皇15年（607年）","聖徳宗","無し","","釈迦如来","推古天皇・聖徳太子","","南都七大寺第7番聖徳太子霊跡第14番神仏霊場巡拝の道第26番（奈良第13番）大和北部八十八ヶ所霊場第50・51番"
"法起寺","[法起寺境内（ほっきじけいだい）〔生駒郡斑鳩町〕（「法隆寺地域の仏教建造物」の構成資産）] 法起寺 （ほうきじ、ほっきじ）は、 奈良県 生駒郡 斑鳩町 岡本にある 聖徳宗 の 寺院 。古くは岡本寺、池後寺（いけじりでら）とも呼ばれた。 山号 は「岡本山」（ただし、 奈良時代 以前創建の寺院にはもともと山号はなく、後世付したものである）。 本尊 は 十一面観音 。 聖徳太子 建立 七大寺 の一つに数えられることもあるが、寺の完成は太子が没して数十年後のことである。「 法隆寺地域の仏教建造物 」の一部として 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/法起寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度37分22.7秒東経135度44分46.4秒","北緯34度37分22.7秒東経135度44分46.4秒﻿ / ﻿北緯34.622972度 東経135.746222度﻿ /34.622972; 135.746222﻿ (法起寺)座標:北緯34度37分22.7秒東経135度44分46.4秒﻿ / ﻿北緯34.622972度 東経135.746222度﻿ /34.622972; 135.746222﻿ (法起寺)","奈良県生駒郡斑鳩町岡本1873","","","","","","","","4150005003467","三重塔（国宝）木造十一面観音立像、銅造菩薩立像（重要文化財）世界遺産","舒明天皇10年（638年）","聖徳宗","岡本山","","十一面観音菩薩","山背大兄王","","聖徳太子霊跡17番大和北部八十八ヶ所霊場第52番"
"烏土塚古墳","[烏土塚古墳（うどづかこふん）〔生駒郡平群町〕] 烏土塚古墳 （うどづかこふん）は、 奈良県 生駒郡 平群町 春日丘にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/烏土塚古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度37分4.07秒東経135度42分8.67秒","北緯34度37分4.07秒東経135度42分8.67秒﻿ / ﻿北緯34.6177972度 東経135.7024083度﻿ /34.6177972; 135.7024083座標:北緯34度37分4.07秒東経135度42分8.67秒﻿ / ﻿北緯34.6177972度 東経135.7024083度﻿ /34.6177972; 135.7024083","奈良県生駒郡平群町春日丘1丁目4","烏土塚古墳","6世紀中葉","前方後円墳","国の史跡「烏土塚古墳」","墳丘長60.5m高さ6m（後円部・前方部）","副葬品多数・埴輪","両袖式横穴式石室（内部に組合式石棺2基）","","","","","","","","","",""
"大塚山古墳 (河合町)","[大塚山古墳（おおつかやまこふん）] 大塚山古墳 （おおつかやまこふん、 川合大塚山古墳 ）は、 奈良県 北葛城郡 河合町 川合にある 古墳 。形状は 前方後円墳 。 馬見古墳群 （北群のうち大塚山古墳群）を構成する古墳の1つ。国の 史跡 に指定されている（史跡「大塚山古墳群」のうち）。","https://ja.wikipedia.org/wiki/大塚山古墳_(河合町)","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度35分9.4秒東経135度44分34.1秒","北緯34度35分9.4秒東経135度44分34.1秒﻿ / ﻿北緯34.585944度 東経135.742806度﻿ /34.585944; 135.742806座標:北緯34度35分9.4秒東経135度44分34.1秒﻿ / ﻿北緯34.585944度 東経135.742806度﻿ /34.585944; 135.742806","奈良県北葛城郡河合町川合","大塚山古墳奈良県内の位置","5世紀後半","前方後円墳","国の史跡「大塚山古墳」（「大塚山古墳群」に包含）","墳丘長215m（197m）高さ16.9m（前方部）","埴輪・土師器","","","","","","","川合大塚山古墳","","","馬見古墳群（北群うち大塚山古墳群）",""
"乙女山古墳","[乙女山古墳（おとめやまこふん）〔北葛城郡河合町・広陵町〕] 乙女山古墳 （おとめやまこふん）は、奈良県北葛城郡河合町佐味田字乙女山・広陵町大字寺戸字乙女に所在する大型の 帆立貝形古墳 である。","https://ja.wikipedia.org/wiki/乙女山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度33分50.2秒 東経135度44分22.5秒","","","","","","","","","","","","","","","","","","",""
"佐味田宝塚古墳","[佐味田宝塚古墳（さみだたからづかこふん）〔北葛城郡河合町〕] 佐味田宝塚古墳 （さみたたからづかこふん）は、 奈良県 北葛城郡 河合町 にある 古墳 。形状は 前方後円墳 。 馬見古墳群 （中央群）を構成する古墳の1つ。国の 史跡 に指定され、出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/佐味田宝塚古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度33分23秒東経135度43分37秒","北緯34度33分23秒東経135度43分37秒﻿ / ﻿北緯34.55639度 東経135.72694度﻿ /34.55639; 135.72694","奈良県北葛城郡河合町佐味田","佐味田宝塚古墳","4世紀末-5世紀初頭","前方後円墳","国の史跡「佐味田宝塚古墳」","墳丘長111.5m","家屋文鏡ほか副葬品多数","","","","","","","","","","馬見古墳群（中央群）",""
"ナガレ山古墳","[ナガレ山古墳（ながれやまこふん）〔北葛城郡河合町〕] ナガレ山古墳 （ナガレやまこふん）は、 奈良県 北葛城郡 河合町 佐味田にある古墳。1976年12月27日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/ナガレ山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度33分36秒 東経135度44分10秒","","","","","","","","","","","","","","","","","","",""
"牧野古墳","[牧野古墳（ばくやこふん）〔北葛城郡広陵町〕] 牧野古墳 （ばくやこふん）は、 奈良県 北葛城郡 広陵町 馬見北にある 古墳 。形状は 円墳 。 馬見古墳群 （うち中央群）を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/牧野古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度33分15.45秒東経135度43分26.60秒","北緯34度33分15.45秒東経135度43分26.60秒﻿ / ﻿北緯34.5542917度 東経135.7240556度﻿ /34.5542917; 135.7240556座標:北緯34度33分15.45秒東経135度43分26.60秒﻿ / ﻿北緯34.5542917度 東経135.7240556度﻿ /34.5542917; 135.7240556","奈良県北葛城郡広陵町馬見北8丁目（牧野史跡公園内）","牧野古墳","6世紀末","円墳","国の史跡「牧野古墳」","直径48-60m高さ13m","副葬品多数・須恵器","両袖式横穴式石室（内部に刳抜式家形石棺1基・組合式家形石棺1基）","","","","","","","","","馬見古墳群（中央群）",""
"尼寺廃寺跡","[尼寺廃寺跡（にんじはいじあと）〔香芝市〕] 尼寺廃寺跡 （にんじはいじあと）は、 奈良県 香芝市 尼寺にある 古代 寺院 跡。北廃寺・南廃寺の2伽藍から構成されており、北廃寺跡は国の 史跡 に指定され、北廃寺塔跡心礎出土品は奈良県指定有形文化財に指定されている。","https://ja.wikipedia.org/wiki/尼寺廃寺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度34分26.32秒 東経135度42分2.00秒","","","","","","","","","","","","","","","","","","",""
"平野塚穴山古墳","[平野塚穴山古墳（ひらのつかあなやまこふん）〔香芝市〕] 平野塚穴山古墳 （ひらのつかあなやまこふん）は、 奈良県 香芝市 平野にある古墳。形状は 方墳 。 平野古墳群 を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/平野塚穴山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度34分0.98秒東経135度41分41.04秒","北緯34度34分0.98秒東経135度41分41.04秒﻿ / ﻿北緯34.5669389度 東経135.6947333度﻿ /34.5669389; 135.6947333座標:北緯34度34分0.98秒東経135度41分41.04秒﻿ / ﻿北緯34.5669389度 東経135.6947333度﻿ /34.5669389; 135.6947333","奈良県香芝市平野（平野塚穴山古墳史跡公園内）","平野塚穴山古墳","7世紀後半-末","方墳","国の史跡「平野塚穴山古墳」","一辺25-30m高さ5.4m","金環・中空玉・銅椀","横口式石槨（内部に夾紵棺・漆塗籠棺）","","","","","","平野5号墳","","","平野古墳群",""
"當麻寺","[当麻寺中之坊庭園（たいまでらなかのぼうていえん）〔葛城市〕] 當麻寺 （たいまでら、常用漢字体： 当麻寺 ）は、 奈良県 葛城市 にある寺院。法号は「禅林寺」。山号は「二上山」  。創建時の本尊は 弥勒仏 （金堂）であるが、現在信仰の中心となっているのは 当麻曼荼羅 （本堂）である。宗派は 真言宗 と 浄土宗 の並立となっている。開基は 聖徳太子 の異母弟・麻呂古王とされるが、草創については不明な点が多い。","https://ja.wikipedia.org/wiki/當麻寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度30分57.9秒東経135度41分40.7秒","北緯34度30分57.9秒東経135度41分40.7秒﻿ / ﻿北緯34.516083度 東経135.694639度﻿ /34.516083; 135.694639﻿ (當麻寺)座標:北緯34度30分57.9秒東経135度41分40.7秒﻿ / ﻿北緯34.516083度 東経135.694639度﻿ /34.516083; 135.694639﻿ (當麻寺)","奈良県葛城市當麻1263","","","","","","","","5150005006056","東塔、西塔、曼荼羅堂、塑造弥勒仏坐像ほか（国宝）金堂、乾漆四天王立像、木造阿弥陀如来坐像ほか（重要文化財）中之坊庭園（名勝・史跡）","伝・推古天皇20年（612年）","真言宗、浄土宗","二上山","","当麻曼荼羅","伝・麻呂古王","","新西国三十三箇所第11番関西花の寺二十五霊場第21番（西南院）仏塔古寺十八尊第8番（西南院）大和十三仏霊場第6番（中之坊）大和七福八宝めぐり（中之坊）法然上人二十五霊場第9番（奥院）西山国師遺跡霊場第14番（奥院）神仏霊場巡拝の道第32番（奈良第19番）"
"屋敷山古墳","[屋敷山古墳（やしきやまこふん）〔葛城市〕] 屋敷山古墳 （やしきやまこふん）は、 奈良県 葛城市 新庄町にある 古墳 。1972年3月25日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/屋敷山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度29分13秒 東経135度42分50秒","","","","","","","","","","","","","","","","","","",""
"新庄二塚古墳","[二塚古墳（ふたづかこふん）〔葛城市〕] 新庄二塚古墳 （しんじょうふたづかこふん）は、 奈良県 葛城市 （旧 北葛城郡 新庄町 ）にある 古墳 で、 1978年 （ 昭和 53年）国の 史跡 に指定されている。1つの古墳で3つの異なった形式の 横穴式石室 を有するという特徴で知られており、 銭取塚 とも呼ばれている。","https://ja.wikipedia.org/wiki/新庄二塚古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度29分14秒東経135度42分2秒","北緯34度29分14秒東経135度42分2秒﻿ / ﻿北緯34.48722度 東経135.70056度﻿ /34.48722; 135.70056","奈良県葛城市寺口","","6世紀中","前方後円墳","国の史跡（1978年12月27日指定）","全長60m","金銅花形座金具、馬具、農耕具、須恵器、土師器ほか","横穴式石室3箇所","","","","","","","","","",""
"巨勢寺塔跡","[巨勢寺塔跡（こせでらとうあと）〔御所市〕] 巨勢寺塔跡 （こせでらとうあと）は 奈良県 御所市 古瀬にある仏教遺跡。国の 史跡 。","https://ja.wikipedia.org/wiki/巨勢寺塔跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度25分31.3秒 東経135度45分9.8秒","","","","","","","","","","","","","","","","","","",""
"巨勢山古墳群","[巨勢山古墳群（こせやまこふんぐん）〔御所市〕] 巨勢山古墳群 （こせやまこふんぐん）は、 奈良県 御所市 の巨勢山丘陵に所在する日本国内最大級の 群集墳 である。 2002年 （平成14年） 12月19日 に国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/巨勢山古墳群","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度26分35.5秒東経135度44分39.5秒","北緯34度26分35.5秒東経135度44分39.5秒﻿ / ﻿北緯34.443194度 東経135.744306度﻿ /34.443194; 135.744306座標:北緯34度26分35.5秒東経135度44分39.5秒﻿ / ﻿北緯34.443194度 東経135.744306度﻿ /34.443194; 135.744306","奈良県御所市","巨勢山古墳群奈良県内の位置","5世紀から7世紀","","2002年（平成14年）12月19日国指定史跡","前方後円墳4基と群集墳（総数800基）","","","","","","","","","","","",""
"金剛山 (金剛山地)","[金剛山（こんごうさん）〔御所市〕] 金剛山 （こんごうさん、こんごうざん）は、 奈良県 御所市 と 大阪府 南河内郡 千早赤阪村 との境目にある 山 。かつては 高間山・高天山 （たかまやま）や 葛城嶺 （かづらきのみね）といわれていた。 金剛山地 の主峰である。","https://ja.wikipedia.org/wiki/金剛山_(金剛山地)","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度25分10秒東経135度40分23秒","北緯34度25分10秒東経135度40分23秒﻿ / ﻿北緯34.41944度 東経135.67306度﻿ /34.41944; 135.67306座標:北緯34度25分10秒東経135度40分23秒﻿ / ﻿北緯34.41944度 東経135.67306度﻿ /34.41944; 135.67306","奈良県御所市大阪府南河内郡千早赤阪村","","","","","","","","","","","","","","","","",""
"高宮廃寺跡","[高宮廃寺跡（たかみやはいじあと）〔御所市〕] 高宮廃寺跡 (たかみやはいじあと)","https://ja.wikipedia.org/wiki/高宮廃寺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"水泥古墳","[水泥古墳（みどろこふん）〔御所市〕] 水泥北古墳 または 水泥塚穴古墳 （みどろつかあなこふん   ）は、 円墳 。直径約20メートルを測る  。現在は個人邸内に所在する。","https://ja.wikipedia.org/wiki/水泥古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度24分46.00秒 東経135度44分34.50秒","","","","","","","","","","","","","","","","","","",""
"室大墓古墳","[宮山古墳（みややまこふん）〔御所市〕] 室宮山古墳 （むろみややまこふん）は、 奈良県 御所市 大字室にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/室大墓古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度26分34.22秒東経135度44分0秒","北緯34度26分34.22秒東経135度44分0秒﻿ / ﻿北緯34.4428389度 東経135.73333度﻿ /34.4428389; 135.73333座標:北緯34度26分34.22秒東経135度44分0秒﻿ / ﻿北緯34.4428389度 東経135.73333度﻿ /34.4428389; 135.73333","奈良県御所市大字室","室宮山古墳","5世紀初頭","前方後円墳","国の史跡「宮山古墳」","墳丘長238m高さ25m（後円部）","","後円部：竪穴式石室2基　（内部に長持形石棺各1基）前方部：2基（推定）北張出部：粘土槨1基南張出部：1基（推定）","","","","","","室大墓","","","",""
"市尾墓山古墳","[市尾墓山古墳・宮塚古墳（いちおはかやまこふん・みやづかこふん）〔高市郡高取町〕] 高取町 （たかとりちょう）は、 奈良県 の中部に位置する 町 。","https://ja.wikipedia.org/wiki/市尾墓山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度26分58.2秒東経135度47分35.6秒","","〒635-0154奈良県高市郡高取町大字観覚寺990番地1号北緯34度26分58.2秒東経135度47分35.6秒﻿ / ﻿北緯34.449500度 東経135.793222度﻿ /34.449500; 135.793222﻿ (高取町)座標:北緯34度26分58.2秒東経135度47分35.6秒﻿ / ﻿北緯34.449500度 東経135.793222度﻿ /34.449500; 135.793222﻿ (高取町)","","","","","","","","7000020294012","","","","","","","","",""
"高取城","[高取城跡（たかとりじょうあと）〔高市郡高取町〕] 高取城 （たかとりじょう）は、 奈良県 高市郡 高取町 高取にあった 日本の城 である。別名、高取山城。 江戸時代 は 高取藩 の藩庁であった。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/高取城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度25分45.99秒東経135度49分36.57秒","北緯34度25分45.99秒東経135度49分36.57秒﻿ / ﻿北緯34.4294417度 東経135.8268250度﻿ /34.4294417; 135.8268250","","高取城","","","","","","","","","","","","芙蓉城、鷹取城、高取山城","","","",""
"与楽鑵子塚古墳","[与楽鑵子塚古墳（ようらくかんすづかこふん）] 与楽鑵子塚古墳 （ようらくかんすづかこふん）は、 奈良県 高市郡 高取町 与楽にある 円墳 。国の 史跡 に指定されている（史跡「 与楽古墳群 」のうち）。","https://ja.wikipedia.org/wiki/与楽鑵子塚古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度27分58秒東経135度46分47秒","北緯34度27分58秒東経135度46分47秒﻿ / ﻿北緯34.46611度 東経135.77972度﻿ /34.46611; 135.77972","奈良県高市郡高取町大字与楽","","6世紀後半","円墳","国の史跡「与楽鑵子塚古墳」（「与楽古墳群」に包含）","直径28m高さ9m","","片袖式横穴式石室","","","","","","","","","与楽古墳群",""
"カンジョ古墳","[与楽カンジョ古墳（ようらくカンジョこふん）] 与楽カンジョ古墳 （ようらくカンジョこふん、乾城古墳）は、 奈良県 高市郡 高取町 与楽（ようらく）にある 古墳 。形状は 方墳 。 与楽古墳群 を構成する古墳の1つ。国の 史跡 に指定されている（史跡「与楽古墳群」のうち）。","https://ja.wikipedia.org/wiki/カンジョ古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度27分53.64秒東経135度46分48.00秒","北緯34度27分53.64秒東経135度46分48.00秒﻿ / ﻿北緯34.4649000度 東経135.7800000度﻿ /34.4649000; 135.7800000座標:北緯34度27分53.64秒東経135度46分48.00秒﻿ / ﻿北緯34.4649000度 東経135.7800000度﻿ /34.4649000; 135.7800000","奈良県高市郡高取町与楽","与楽カンジョ古墳","6世紀末-7世紀前半","方墳","国の史跡「与楽カンジョ古墳」（「与楽古墳群」に包含）","一辺36m高さ10m","金銅製耳環・銀製指輪・須恵器・土師器ほか","両袖式横穴式石室","","","","","","乾城古墳","","","与楽古墳群",""
"飛鳥池工房遺跡","[飛鳥池工房遺跡（あすかいけこうぼういせき）〔高市郡明日香村〕] 飛鳥池工房遺跡 （あすかいけこうぼういせき）は、 奈良県 明日香村 大字飛鳥にある古代の工房遺跡。 飛鳥寺 の寺域の東南の谷あいにあり、 江戸時代 に築かれた 溜池 「飛鳥池」の下にあったことからこの名称がある。 2001年 国史跡 指定。","https://ja.wikipedia.org/wiki/飛鳥池工房遺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度28分41.2秒 東経135度49分20.1秒","","","","","","","","","","","","","","","","","","",""
"飛鳥稲淵宮殿跡","[飛鳥稲淵宮殿跡（あすかいなぶちきゅうでんあと）〔高市郡明日香村〕] 飛鳥稲淵宮殿跡 （あすかいなぶちきゅうでんあと）は、 奈良県 高市郡 明日香村 大字稲淵（稲渕）に所在する 飛鳥時代 の宮殿跡である。本宮殿跡は、 飛鳥川 の上流、稲淵川左岸の平坦な水田地にある。","https://ja.wikipedia.org/wiki/飛鳥稲淵宮殿跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度27分46.4秒 東経135度49分22.4秒","","","","","","","","","","","","","","","","","","",""
"飛鳥京跡","[飛鳥京跡苑池（あすかきょうあとえんち）〔高市郡明日香村〕] 飛鳥京跡 （あすかきょうあと）は、 奈良県 高市郡 明日香村 にある 飛鳥時代 の 遺跡 である。 飛鳥古京跡 （あすかこきょうあと）とも称する。 飛鳥京 、すなわち 都市 としての 飛鳥 における遺跡群の総称であり、 大王 および 天皇 の歴代の 宮 や 官衙 、 豪族 の 邸宅 や 寺院 など 大和朝廷 の支配拠点となる建造物、および 広場 、 道路 など都市関連遺跡の総体である。","https://ja.wikipedia.org/wiki/飛鳥京跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度28分24秒 東経135度49分15秒","","","","","","","","","","","","","","","","","","",""
"飛鳥寺","[飛鳥寺跡（あすかでらあと）〔高市郡明日香村〕] 飛鳥寺 （あすかでら）は、 奈良県 高市郡 明日香村 にある 寺院 。現在は安居院という。 蘇我氏 の 氏寺 である法興寺（仏法が興隆する寺の意）の後身である。 本尊 は「飛鳥大仏」と通称される 釈迦如来 、 開基 （創立者）は 蘇我馬子 である。 山号 を鳥形山（とりがたやま）と称する  。現在の宗派は 真言宗豊山派 。 新西国三十三箇所 第9番札所。","https://ja.wikipedia.org/wiki/飛鳥寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度28分43.14秒東経135度49分12.64秒","北緯34度28分43.14秒東経135度49分12.64秒﻿ / ﻿北緯34.4786500度 東経135.8201778度﻿ /34.4786500; 135.8201778座標:北緯34度28分43.14秒東経135度49分12.64秒﻿ / ﻿北緯34.4786500度 東経135.8201778度﻿ /34.4786500; 135.8201778","奈良県高市郡明日香村飛鳥682","","","","","","","","5150005004836","銅造釈迦如来坐像（重要文化財）","6世紀末頃","真言宗豊山派","鳥形山","","釈迦如来（飛鳥大仏、重要文化財）","蘇我馬子","","新西国三十三箇所第9番聖徳太子霊跡第11番"
"飛鳥水落遺跡","[飛鳥水落遺跡（あすかみずおちいせき）〔高市郡明日香村〕] 飛鳥水落遺跡 （あすかみずおちいせき）は、 奈良県 明日香村 にある 古代 の 漏刻 跡とされる遺跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/飛鳥水落遺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度28分49.2秒 東経135度49分5.8秒","","","","","","","","","","","","","","","","","","",""
"岩屋山古墳","[岩屋山古墳（いわややまこふん）〔高市郡明日香村〕] 岩屋山古墳 （いわややまこふん）は 奈良県 高市郡 明日香村 大字越小字岩屋山に所在する 古墳時代 終末期の 古墳 。切石加工を施した巨石を使用した 横穴式石室 があり、これは 石室 の 編年 の指標の1つとなっている。 1968年 （昭和43年）に国の史跡に指定された。","https://ja.wikipedia.org/wiki/岩屋山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度27分56.6秒東経135度47分51.5秒","北緯34度27分56.6秒東経135度47分51.5秒﻿ / ﻿北緯34.465722度 東経135.797639度﻿ /34.465722; 135.797639﻿ (岩屋山古墳)座標:北緯34度27分56.6秒東経135度47分51.5秒﻿ / ﻿北緯34.465722度 東経135.797639度﻿ /34.465722; 135.797639﻿ (岩屋山古墳)","奈良県高市郡明日香村大字越小字岩屋山516","","7世紀中葉から7世紀第3四半期","方墳または八角墳","国の史跡（1968年指定）","一辺45m前後","","横穴式石室","","","","","","","","","",""
"岡寺","[岡寺跡（おかでらあと）〔高市郡明日香村〕] 岡寺 （おかでら）は、 奈良県 高市郡 明日香村 にある 真言宗豊山派 の 寺院 。 山号 は東光山、 院号 は真珠院。寺号は 龍蓋寺 （りゅうがいじ）とも称し（後述）、詳しくは東光山真珠院龍蓋寺という  。 本尊 は 日本 最大の 塑像 である如意輪観世音菩薩（ 如意輪観音 ）。 西国三十三所 第7番札所  。","https://ja.wikipedia.org/wiki/岡寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度28分18.44秒東経135度49分42.14秒","北緯34度28分18.44秒東経135度49分42.14秒﻿ / ﻿北緯34.4717889度 東経135.8283722度﻿ /34.4717889; 135.8283722座標:北緯34度28分18.44秒東経135度49分42.14秒﻿ / ﻿北緯34.4717889度 東経135.8283722度﻿ /34.4717889; 135.8283722","奈良県高市郡明日香村岡806","","","","","","","","4150005004878","義淵僧正坐像（国宝）仁王門・書院・如意輪観音像ほか（重要文化財）本堂・楼門（県指定有形文化財）日本遺産","7世紀末頃","真言宗豊山派","東光山","","如意輪観音","伝・義淵","","西国三十三所第7番"
"川原寺","[川原寺跡（かわらでらあと）〔高市郡明日香村〕] 川原寺 （かわらでら）は、 飛鳥 （ 奈良県 高市郡 明日香村 ）にあった 仏教 寺院 。跡地は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/川原寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度28分21.7秒東経135度49分3.0秒","北緯34度28分21.7秒東経135度49分3.0秒﻿ / ﻿北緯34.472694度 東経135.817500度﻿ /34.472694; 135.817500座標:北緯34度28分21.7秒東経135度49分3.0秒﻿ / ﻿北緯34.472694度 東経135.817500度﻿ /34.472694; 135.817500","奈良県明日香村川原1109","","","","","","","","9150005004964","川原寺跡（国の史跡）ほか","670年頃","真言宗豊山派","仏陀山","","十一面観音","天智天皇","",""
"牽牛子塚古墳","[牽牛子塚古墳（けごしづかこふん）〔高市郡明日香村〕] 牽牛子塚古墳 （けんごしづかこふん）は、 奈良県 高市郡 明日香村 大字越にある 古墳 。形状は 八角墳 。国の 史跡 に指定され、出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/牽牛子塚古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度27分58.7秒東経135度47分32.29秒","北緯34度27分58.7秒東経135度47分32.29秒﻿ / ﻿北緯34.466306度 東経135.7923028度﻿ /34.466306; 135.7923028","奈良県高市郡明日香村","牽牛子塚古墳","7世紀中葉-8世紀初頭","八角墳","国の史跡「牽牛子塚古墳・越塚御門古墳」","墳丘対辺長約22m（石敷・砂利敷部分を含むと32m）","夾紵棺、七宝飾り金具、臼歯など","","","","","","","","","","",""
