"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","淡水・汽水","成因","周囲長","水面の,標高","最大水深","位置","湖沼型","平均水深","透明度","貯水量","国","人口密度","推計人口"," • 合計","最大都市","流出河川","凍結"
"佐鳴湖","[佐鳴湖さなるこ静岡県海跡1.132.50.0024二級河川・都田川水系。汚染度（COD値）が、日本で最も高い湖。] 佐鳴湖 （さなるこ）は 静岡県 浜松市 西区 ・ 中区 にまたがって所在する  湖 。 河川法 上は、 浜名湖 と同様に二級河川 都田川 水系に属する。","https://ja.wikipedia.org/wiki/佐鳴湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯34度42分38秒東経137度41分25秒","日本静岡県浜松市西区・中区北緯34度42分38秒東経137度41分25秒﻿ / ﻿北緯34.71056度 東経137.69028度﻿ /34.71056; 137.69028﻿ (佐鳴湖)佐鳴湖-地理院地図佐鳴湖-Google マップ佐鳴湖の位置静岡県の地図を表示佐鳴湖 (日本)日本の地図を表示","1.13km2","汽水","海跡湖","5.5km","0.1  m","2.5m","","過栄養湖","2 m","0.48 m","0.0024km3","","","","","","",""
"八丁池","[八丁池はっちょういけ静岡県断層0.022.5-2010年ごろまで火口湖とされていた。] 八丁池 （はっちょういけ）は、 静岡県 伊豆市 の 天城山 の西陵にある 池 。「天城の瞳」の愛称、「青スズの池」の別称でも呼ばれる  。","https://ja.wikipedia.org/wiki/八丁池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯34度50分46秒 東経138度57分40秒","","","","","","","","","","","","","","","","","","",""
"浜名湖","[浜名湖はまなこ静岡県海跡64.9216.60.35二級河川・都田川水系。面積は日本で10番目に広い。周囲は日本で3番目に長い。枝湾として細江湖（引佐細江）、猪鼻湖（5.36km2）、松見ヶ浦、庄内湖を含む。] 浜名湖 （はまなこ）は、 静岡県 浜松市 、 湖西市 にまたがる 湖 。","https://ja.wikipedia.org/wiki/浜名湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯34度44分28秒東経137度34分11秒","日本静岡県浜松市、湖西市","64.91km2","汽水","海跡湖","114km","0  m","16.6m","北緯34度44分28秒東経137度34分11秒﻿ / ﻿北緯34.74111度 東経137.56972度﻿ /34.74111; 137.56972座標:北緯34度44分28秒東経137度34分11秒﻿ / ﻿北緯34.74111度 東経137.56972度﻿ /34.74111; 137.56972","中栄養湖","4.8 m","1.3 m","0.35km3","","","","","","",""
"油ヶ淵","[油ヶ淵あぶらがふち愛知県海跡0.6450.002二級河川・新川水系。] 油ヶ淵 （あぶらがふち）は、 碧南市 と 安城市 の境に位置する 愛知県 唯一の天然 湖沼 である  。 二級河川 に指定されている。","https://ja.wikipedia.org/wiki/油ヶ淵","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯34度54分16.63秒東経137度0分47.02秒","愛知県碧南市見合町1丁目","0.64km2","汽水","不明","6.3km","1m","5m","北緯34度54分16.63秒東経137度0分47.02秒﻿ / ﻿北緯34.9046194度 東経137.0130611度﻿ /34.9046194; 137.0130611座標:北緯34度54分16.63秒東経137度0分47.02秒﻿ / ﻿北緯34.9046194度 東経137.0130611度﻿ /34.9046194; 137.0130611","富栄養湖","3 m","","","","","","","","",""
"阿蘇海","[阿蘇海あそかいあそのうみ京都府海跡4.80140.03二級河川・野田川水系。天橋立により仕切られた内海。] 阿蘇海 （あそかい、あそのうみ）は 京都府 宮津市 、 与謝郡 与謝野町 にまたがる  、 天橋立 によって 日本海 の 宮津湾 から仕切られてできた 内海 （海跡湖）。湾奥には 野田川 が流入し、宮津湾とは狭い水道でのみつながる。","https://ja.wikipedia.org/wiki/阿蘇海","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","日本京都府宮津市、与謝郡与謝野町","4.80km2","汽水","海跡湖","16.4km","0  m","14m","","中栄養湖","8.4 m","2.0 m","42km3","","","","","","",""
"久美浜湾","[久美浜湾くみはまわん京都府海跡7.1820.6-] 久美浜湾 （くみはまわん）は、 京都府 京丹後市 の 日本海 沿いに広がる 潟湖 （せきこ）。 日本海 に面しており、 山陰海岸国立公園 に含まれている。","https://ja.wikipedia.org/wiki/久美浜湾","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度38分14秒 東経134度53分58秒","日本京都府京丹後市","7.18km2","汽水","海跡湖","28km","0  m","20.6m","","中栄養湖","","1.2m","","","","","","","",""
"離湖","[離湖はなれこ京都府海跡0.3570.0013] 離湖 （はなれこ）は、 京都府 京丹後市 網野町小浜 にある 湖 。京都府で最大の 淡水湖 であり、同町内の 琴引浜 、 郷村断層 とともに、「 京都の自然200選 」地形・地質部門に選出されている  。","https://ja.wikipedia.org/wiki/離湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度41分24.4秒東経135度2分32.5秒","京都府京丹後市網野町小浜","0.35km2","淡水","海跡","3.8km","","7m","北緯35度41分24.4秒東経135度2分32.5秒﻿ / ﻿北緯35.690111度 東経135.042361度﻿ /35.690111; 135.042361座標:北緯35度41分24.4秒東経135度2分32.5秒﻿ / ﻿北緯35.690111度 東経135.042361度﻿ /35.690111; 135.042361","","","","0.0013km3","","","","","","",""
"尺八池 (存在しないページ)","[尺八池しゃくはちいけ京都府溜池0.03--]","https://ja.wikipedia.org/w/index.php?title=尺八池&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"玄覇池","[玄覇池げんぱいけ京都府溜池0.01--旧仮称は新池。] 紅葉谷 （もみじだに）は 京都府 京都市 北区 鷹峯 北東部にある 谷 、 池 、 回遊式庭園 。 紅葉谷庭園 ともいう。谷間には1500坪もの「玄覇池」（げんぱいけ・旧仮称「新池」）と歩道があり、 紅葉 の名所として知られる。とくに、「臥龍紅葉」が有名。","https://ja.wikipedia.org/wiki/玄覇池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"深泥池","[深泥池みぞろがいけみどろがいけ京都府その他0.093.5-「深泥池生物群集」が国の天然記念物に指定。堰止湖。] 深泥池 （みどろがいけ  、みぞろがいけ  、 別表記 ： 深泥ケ池 ）は、 日本 の 近畿地方 中北部の 京都盆地 北端部に所在する、 池 と 湿地 からなる 地形 である。全 水域 と西の畔は現在 行政 上の 京都府 京都市 北区 上賀茂狭間町 （かみがもはざまちょう）  （かつての京都府 愛宕郡 上賀茂村の東端  。 江戸時代 における 山城国 愛宕郡上加茂村近傍、 幕藩体制 下の 城州 上加茂村近傍の 深泥池貴舩神社 領 等   ）に属する。","https://ja.wikipedia.org/wiki/深泥池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度3分28秒 東経135度46分7.4秒","","","","","","","","","","","","","","","","","","",""
"西の湖","[西の湖にしのこ滋賀県その他2.153-干拓により琵琶湖から分離した湖沼。] 西の湖 （にしのこ）は、 琵琶湖 の東南岸、 滋賀県 近江八幡市 にある  湖 。現存する琵琶湖の内湖では最大の面積である。 2006年 11月1日 に 鳥獣保護区 に指定され、 2008年 10月30日 には琵琶湖の ラムサール条約 湿地 登録エリアに追加された。","https://ja.wikipedia.org/wiki/西の湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度9分29.3秒東経136度6分53.1秒","日本滋賀県近江八幡市西の湖 (滋賀県)","2.15km2","淡水","","","","","北緯35度9分29.3秒東経136度6分53.1秒﻿ / ﻿北緯35.158139度 東経136.114750度﻿ /35.158139; 136.114750座標:北緯35度9分29.3秒東経136度6分53.1秒﻿ / ﻿北緯35.158139度 東経136.114750度﻿ /35.158139; 136.114750","","1.5 m","","","","","","","","",""
"琵琶湖","[琵琶湖びわこ滋賀県断層669.26103.5827.5一級河川・淀川水系。淀川本流（瀬田川）が流出している。日本で最も広い。周囲は日本で2番目に長い。世界で3番目に古い湖。琵琶湖総合開発特別措置法により多目的ダムの扱いを受け、水資源機構が管理している。] 琵琶湖 （びわこ）は、 滋賀県 にある 日本 最大 の 面積 と貯水量を持つ 湖 。 一級水系 「 淀川 水系」に属する 一級河川 である。 国土交通大臣 から委託を受けて滋賀県知事が管理を担う。 湖沼水質保全特別措置法 指定湖沼で、 ラムサール条約 登録 湿地 でもある。","https://ja.wikipedia.org/wiki/琵琶湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度20分0秒東経136度10分0秒","日本滋賀県","669.26km2","淡水","構造湖","235.20km","84.371m","103.58m","北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ /35.33333; 136.16667座標:北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ /35.33333; 136.16667","中栄養湖","41.2m","2.2（南湖）5.5（北湖）m","27.5km3","","","","","","",""
"余呉湖","[余呉湖よごこ滋賀県断層1.76130.0147一級河川・淀川水系。洪水調節を目的としたダムとして、滋賀県が管理する。] 余呉湖 （よごこ、よごのうみ  ）は、 滋賀県 長浜市 にある 湖 。「大江」（ 琵琶湖 ）に対して「 伊香 小江（いかごのおえ）  」と称されたほか、湖面が穏やかなことから「鏡湖」とも呼ばれる   。","https://ja.wikipedia.org/wiki/余呉湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度31分20秒東経136度11分38秒","日本滋賀県長浜市余呉町川並","1.97km2","淡水","断層湖","6.4km","133 (132.8)  m","13.5m","北緯35度31分20秒東経136度11分38秒﻿ / ﻿北緯35.52222度 東経136.19389度﻿ /35.52222; 136.19389座標:北緯35度31分20秒東経136度11分38秒﻿ / ﻿北緯35.52222度 東経136.19389度﻿ /35.52222; 136.19389","富栄養湖","7.4 m","","0.0147km3","","","","","","",""
"湖山池","[湖山池こやまいけ鳥取県海跡6.997.50.02「池」と名乗る湖沼の中では日本最大の面積を誇る。] 湖山池 （こやまいけ）は、 鳥取県 鳥取市 北部にある 汽水湖 である。なお、「 池 」と付く湖沼の中では日本最大の広さでもある。姉妹湖として 島根県 の 神西湖 がある。","https://ja.wikipedia.org/wiki/湖山池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度30分30秒東経134度09分02秒","日本鳥取県鳥取市","6.99km2","汽水","海跡湖","18km","0  m","6.5m","北緯35度30分30秒東経134度09分02秒﻿ / ﻿北緯35.50833度 東経134.15056度﻿ /35.50833; 134.15056座標:北緯35度30分30秒東経134度09分02秒﻿ / ﻿北緯35.50833度 東経134.15056度﻿ /35.50833; 134.15056","富栄養湖","","0.7 m","","","","","","","",""
"多鯰ヶ池","[多鯰ヶ池たねがいけ鳥取県その他0.024815.10.0014火山の関与した堰止湖。] 多鯰ヶ池 （種ヶ池、多祢ヶ池　たねがいけ）は、 鳥取県 鳥取市 にある 池 である。","https://ja.wikipedia.org/wiki/多鯰ヶ池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度32分05秒東経134度14分15秒","日本鳥取県鳥取市","0.248km2","","堰止湖","3.4km","","15.1m","北緯35度32分05秒東経134度14分15秒﻿ / ﻿北緯35.53472度 東経134.23750度﻿ /35.53472; 134.23750座標:北緯35度32分05秒東経134度14分15秒﻿ / ﻿北緯35.53472度 東経134.23750度﻿ /35.53472; 134.23750","","","3 ~ 4 m","","","","","","","",""
"東郷池","[東郷池とうごういけ鳥取県海跡4.053.60.006] 東郷池 （とうごういけ）は、 鳥取県 東伯郡 湯梨浜町 にある周囲12kmほどの 汽水湖 である。 東郷湖 ともいう。","https://ja.wikipedia.org/wiki/東郷池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度28分35秒東経133度53分38秒","日本鳥取県東伯郡湯梨浜町東郷池鳥取県の地図を表示東郷池日本の地図を表示北緯35度28分35秒東経133度53分38秒﻿ / ﻿北緯35.47639度 東経133.89389度﻿ /35.47639; 133.89389﻿ (東郷池)東郷池-地理院地図東郷池-Google マップ","4.05km2","汽水","","約12km","","約7m","","","約2 m","","","","","","","","",""
"水尻池","[水尻池みずしりのいけ鳥取県海跡0.243.0-] 水尻池 （みずしりのいけ  、みずしりいけ   ）は、 鳥取県 鳥取市 にある池である。","https://ja.wikipedia.org/wiki/水尻池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度31分5.66秒東経134度5分38.30秒","鳥取県鳥取市気高町","24ヘクタールkm2","淡水","海跡湖","3kmkm","","","北緯35度31分5.66秒東経134度5分38.30秒﻿ / ﻿北緯35.5182389度 東経134.0939722度﻿ /35.5182389; 134.0939722座標:北緯35度31分5.66秒東経134度5分38.30秒﻿ / ﻿北緯35.5182389度 東経134.0939722度﻿ /35.5182389; 134.0939722","富栄養湖","","","","","","","","","",""
"神西湖","[神西湖じんざいこ島根県海跡1.1410-二級河川・十間川水系。] 神西湖 （じんざいこ）は、 島根県 出雲市 西部に位置する 汽水湖 。西南に 三瓶山 （さんべさん）を拝み、 アシ や ガマ に囲まれ シジミ がよく穫れる。2005年度のシジミの収穫量は約1万7千トンであり、全国の湖沼中6位である。また単位面積当たりで見れば全国の湖沼中1位である。","https://ja.wikipedia.org/wiki/神西湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度19分38秒東経132度40分56秒","日本島根県出雲市","1.14km2","汽水","海跡湖","5.3km","0  m","","北緯35度19分38秒東経132度40分56秒﻿ / ﻿北緯35.32722度 東経132.68222度﻿ /35.32722; 132.68222座標:北緯35度19分38秒東経132度40分56秒﻿ / ﻿北緯35.32722度 東経132.68222度﻿ /35.32722; 132.68222","","1.5 m","","","","","","","","",""
"宍道湖","[宍道湖しんじこ島根県海跡79.256.40.34一級河川・斐伊川水系。] 宍道湖 （しんじこ）は、 島根県 松江市 と 出雲市 にまたがる 湖  。 一級水系 の 斐伊川 の一部である  。","https://ja.wikipedia.org/wiki/宍道湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度27分東経132度58分","日本島根県松江市、出雲市","79.25km2","汽水","海跡湖","47km","0  m","6.4m","北緯35度27分東経132度58分﻿ / ﻿北緯35.45度 東経132.97度﻿ /35.45; 132.97座標:北緯35度27分東経132度58分﻿ / ﻿北緯35.45度 東経132.97度﻿ /35.45; 132.97","富栄養湖","4.5 m","1.0 m","0.34km3","","","","","","",""
"中海","[中海なかうみ島根県・鳥取県海跡85.7417.10.47一級河川・斐伊川水系。面積は日本で5番目に広い。周囲は日本で4番目に長い。] 中海 （なかうみ、なかのうみ）は、 島根県 松江市 ・ 安来市 と 鳥取県 境港市 ・ 米子市 にまたがる 湖  。 日本海 に開いた 湾 の入り口が、 砂州 によって塞がれてできた湖（ 潟湖 ）で、東は 境水道 を通じて 日本海 （ 美保湾 ）と、西は 大橋川 を通じて 宍道湖 と繋がる、 一級水系 斐伊川 の本流の一部である  。宍道湖と中海は日本では数少ない連結汽水湖となっている  。","https://ja.wikipedia.org/wiki/中海","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度28分0秒東経133度12分0秒","日本島根県・鳥取県","85.68km2","汽水","海跡湖","105km","0  m","17.1m","北緯35度28分0秒東経133度12分0秒﻿ / ﻿北緯35.46667度 東経133.20000度﻿ /35.46667; 133.20000座標:北緯35度28分0秒東経133度12分0秒﻿ / ﻿北緯35.46667度 東経133.20000度﻿ /35.46667; 133.20000","富栄養湖","8.4 m","5.5 m","0.47km3","","","","","","",""
"海老ヶ池","[海老ヶ池えびがいけ徳島県海跡0.185.50.0004] 海老ヶ池 （えびがいけ）は、 徳島県 海部郡 海陽町 の 室戸阿南海岸国定公園 内にある県内最大の 湖 。面積は18 ha  。 四国地方 で唯一の天然湖（国土交通省のコード登録湖沼）である  。","https://ja.wikipedia.org/wiki/海老ヶ池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯33度37分8秒東経134度22分39秒","徳島県海部郡海陽町","0.18km2","","","4km","","5.5m","北緯33度37分8秒東経134度22分39秒﻿ / ﻿北緯33.61889度 東経134.37750度﻿ /33.61889; 134.37750座標:北緯33度37分8秒東経134度22分39秒﻿ / ﻿北緯33.61889度 東経134.37750度﻿ /33.61889; 134.37750","","2.0 m","","0.0004km3","","","","","","",""
"緑川","[上江津湖かみえずこ熊本県その他0.141.80.00016一級河川・緑川水系。江津湖のうちの1つ。] 緑川 （みどりかわ）は、 熊本県 中部を流れ 有明海 の 島原湾 に注ぐ緑川 水系 の本流で、 一級河川 である。","https://ja.wikipedia.org/wiki/緑川","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"緑川","[下江津湖しもえずこ熊本県その他0.355.00.0007一級河川・緑川水系。江津湖のうちの1つ。] 緑川 （みどりかわ）は、 熊本県 中部を流れ 有明海 の 島原湾 に注ぐ緑川 水系 の本流で、 一級河川 である。","https://ja.wikipedia.org/wiki/緑川","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"志高湖","[志高湖しだかこ大分県火山0.0950.00025] 志高湖 （しだかこ）は、 大分県 別府市 の 鶴見岳 南東側山腹にある 湖 。 阿蘇くじゅう国立公園 に含まれており、戦前は 別府三勝 のうちの一つとしても有名であった、別府を代表する 観光地 の一つである。","https://ja.wikipedia.org/wiki/志高湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"大幡池","[大幡池おおはたいけ宮崎県火山0.03113.8-] 大幡池 （おおはたいけ）は、 宮崎県 小林市 の 霧島山 北東部にある直径約460メートルの 湖 である。","https://ja.wikipedia.org/wiki/大幡池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","宮崎県小林市","0.031km2","淡水","火山湖","2.0km","1234  m","13.8m","","","","","","","","","","","",""
"不動池","[不動池ふどういけ宮崎県火山0.0179.00.00008] 不動池 （ふどういけ）は、 九州 南部の えびの高原 北東部にある直径約200メートルの火山性 湖沼 である。","https://ja.wikipedia.org/wiki/不動池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","宮崎県えびの市","0.017km2","淡水","火山湖","0.70km","1228  m","9.0m","","貧栄養、酸栄養湖","4.7 m","9.0 m","0.00008km3","","","","","","",""
"御池","[御池みいけ宮崎県火山0.7293.50.0375] 御池 （みいけ）は、 宮崎県 都城市 と 高原町 との境界に存在する直径約1km、周囲3.9km、ほぼ円形の火口湖である。 高千穂峰 の威容を湖面に映している。","https://ja.wikipedia.org/wiki/御池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","宮崎県都城市・高原町","0.72km2","淡水","火山湖(マール)","3.90km","305  m","93.5m","","貧栄養湖","","3.1 m","","","","","","","",""
"六観音御池","[六観音御池ろっかんのんみいけ宮崎県火山0.1714.00.0016] 六観音御池 （ろっかんのんみいけ）は、 九州 南部の えびの高原 北部にある直径約440メートルの火山性 湖沼 である。 六観音池 あるいは単に 御池 とも呼ばれる。","https://ja.wikipedia.org/wiki/六観音御池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯31度57分24秒 東経130度50分50秒","宮崎県えびの市","0.17km2","淡水","火山湖","1.5km","1198  m","14.0m","","貧栄養、酸栄養湖","9.4 m","14.0 m","0.0016km3","","","","","","",""
"池田湖","[池田湖いけだこ鹿児島県火山10.912331.38九州地方で最大の面積。] 池田湖 （いけだこ）は、 鹿児島県 の 薩摩半島 南東部にある 直径 約3.5km、周囲約15kmの カルデラ 湖 。 九州 最大の 湖 である。湖面の 標高 は66m、深さは233mで、最深部は 海抜 -167mとなる。湖底には直径約800m、湖底からの高さ約150mの湖底 火山 がある。池田湖を含む窪地地形は 池田カルデラ と呼ばれている。古くは 開聞の御池 または 神の御池 と呼ばれており龍神伝説がある   。 霧島錦江湾国立公園 に指定されている。","https://ja.wikipedia.org/wiki/池田湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯31度14分0秒東経130度34分0秒","日本鹿児島県指宿市","10.91km2","淡水","火山湖","15.00km","66  m","233m","北緯31度14分0秒東経130度34分0秒﻿ / ﻿北緯31.23333度 東経130.56667度﻿ /31.23333; 130.56667座標:北緯31度14分0秒東経130度34分0秒﻿ / ﻿北緯31.23333度 東経130.56667度﻿ /31.23333; 130.56667","","","","","","","","","","",""
"藺牟田池","[藺牟田池いむたいけ鹿児島県火山0.632.70.0005一級河川・川内川水系。ラムサール条約登録湿地。] 藺牟田池 （いむたいけ）は、 鹿児島県 薩摩川内市 祁答院町藺牟田 にある直径約1キロメートルの 火山湖 である。","https://ja.wikipedia.org/wiki/藺牟田池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯31度49分00秒東経130度28分20秒","鹿児島県薩摩川内市祁答院町藺牟田","0.63km2","淡水","火山湖","2.7km","295  m","2.7m","北緯31度49分00秒東経130度28分20秒﻿ / ﻿北緯31.81667度 東経130.47222度﻿ /31.81667; 130.47222座標:北緯31度49分00秒東経130度28分20秒﻿ / ﻿北緯31.81667度 東経130.47222度﻿ /31.81667; 130.47222","","","2.5 m","0.0005km3","","","","","","",""
"鰻池","[鰻池うなぎいけ鹿児島県火山1.2056.50.04] 鰻池 （うなぎいけ）は、 鹿児島県 指宿市 にある 直径 1.3 km 、 面積 1.20  km 2 、水面の 標高 120 m 、水深56.5 m、ほぼ 円 形の 火口湖 。 池田湖 から約3 km東にある。","https://ja.wikipedia.org/wiki/鰻池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯31度13分20秒東経130度36分20秒","日本鹿児島県指宿市","1.20km2","淡水","火山湖","4.20km","120  m","56.5m","北緯31度13分20秒東経130度36分20秒﻿ / ﻿北緯31.22222度 東経130.60556度﻿ /31.22222; 130.60556座標:北緯31度13分20秒東経130度36分20秒﻿ / ﻿北緯31.22222度 東経130.60556度﻿ /31.22222; 130.60556","","","","","","","","","","",""
"大浪池","[大浪池おおなみいけ鹿児島県火山0.2511.60.002] 大浪池 （おおなみのいけ、おおなみいけ）は、 鹿児島県 霧島市 の北東部、 霧島山 にある直径630m、周囲約2km、ほぼ円形の火口湖。古くは 大波池 とも呼ばれていた。","https://ja.wikipedia.org/wiki/大浪池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","鹿児島県霧島市","0.25km2","淡水","火口湖","1.90km","1241  m","11.6m","","酸栄養湖","","","","","","","","","",""
"薩摩湖","[薩摩湖さつまこ鹿児島県海跡0.1011.00.00062] 薩摩湖 （さつまこ）は、 鹿児島県 日置市 吹上町中原にある 湖沼 である。古くは 中原池 と呼ばれていた。 東シナ海 から 吹上浜 を隔てて約1.5キロメートル内陸にある。吹上浜の砂丘により海が区切られて取り残された、砂丘湖あるいは海跡湖である。","https://ja.wikipedia.org/wiki/薩摩湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯31度30分50秒 東経130度20分28秒","鹿児島県日置市","0.10km2","淡水","砂丘湖","1.8km","25  m","11.0m","","","","3.8 m","0.00062km3","","","","","","",""
"住吉池","[住吉池すみよしいけ鹿児島県火山0.15520.003] 住吉池 （すみよしいけ）は、 鹿児島県 姶良市 にある直径550メートル、周囲3.2キロメートル、面積0.15平方キロメートル、ほぼ円形の火口湖である  。水面の標高は38メートル、最大水深は52メートル  、蒲生町側の池畔には公園とキャンプ場がある  。","https://ja.wikipedia.org/wiki/住吉池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯31度46分18秒東経130度35分30秒","日本鹿児島県姶良市","0.15km2","淡水","火山湖","3.20km","38m","52m","北緯31度46分18秒東経130度35分30秒﻿ / ﻿北緯31.77167度 東経130.59167度﻿ /31.77167; 130.59167座標:北緯31度46分18秒東経130度35分30秒﻿ / ﻿北緯31.77167度 東経130.59167度﻿ /31.77167; 130.59167","","","","","","","","","","",""
"なまこ池","[なまこ池なまこいけ鹿児島県海跡0.5026.40.0055] なまこ池 （なまこいけ、海鼠池）は、 上甑島 （ 甑島列島 ）の北東海岸沿いに横たわる 潟湖 である。なまこ池の南東海岸沿いに並ぶ貝池（かいいけ）、鍬崎池（くわざきいけ、かざきいけ）、須口池（すぐちいけ）と合わせて 甑四湖 （こしきよんこ）と呼ばれる。","https://ja.wikipedia.org/wiki/なまこ池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯31度51分58秒 東経129度52分21秒","鹿児島県薩摩川内市","0.50km2","汽水","海跡湖","6.50km","0  m","26.4m","","","","","","","","","","","",""
"大池 (沖縄県)","[大池おおいけ沖縄県その他0.311.30.0002カルスト湖。] 大池 （おおいけ）は、 沖縄県 島尻郡 南大東村 南大東島 の中央部にある カルスト湖 。面積0.47km 2  。自然湖としては 南西諸島 で最大の面積を持つ。隆起した 環礁 の 石灰岩 が雨水に溶解した カルスト地形 の窪地に水が溜まって成立した。","https://ja.wikipedia.org/wiki/大池_(沖縄県)","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯25度51分18秒東経131度14分19秒","日本沖縄県島尻郡南大東村","0.47km2","汽水","カルスト湖","5.50km","1  m","1.3m","北緯25度51分18秒東経131度14分19秒﻿ / ﻿北緯25.85500度 東経131.23861度﻿ /25.85500; 131.23861座標:北緯25度51分18秒東経131度14分19秒﻿ / ﻿北緯25.85500度 東経131.23861度﻿ /25.85500; 131.23861","富栄養","",">1.2 m","0.0002km3","","","","","","",""
"Template:アジアの題材","[表話編歴アジアの湖沼一覧（関連カテゴリ：Category:各国の湖）] 大陸ごとの題材テンプレートは、同一の大陸内で同じ題材を扱う記事をグループ化し、 Template:Navbox による ナビゲーションテンプレート の作成を可能にします。","https://ja.wikipedia.org/wiki/Template:アジアの題材","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"北アジア","[北アジアロシア1(ウラル連邦管区、シベリア連邦管区、極東連邦管区)] モンゴル および ロシア （ ウラル連邦管区 、 シベリア連邦管区 、 極東連邦管区 の各連邦管区）の領土が含まれるが、モンゴルおよびロシア極東部は 東アジア の一部とされることや、東アジアと併せて 北東アジア とされることもある。 中華人民共和国 東北部 （旧 満州 ）の一部や 内蒙古 、 カザフスタン 北部を北アジアに含むこともある。","https://ja.wikipedia.org/wiki/北アジア","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
