"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種別","起終点","駅数","開業","所有者"
"踊場駅","踊場駅（おどりばえき）","https://ja.wikipedia.org/wiki/踊場駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度24分20.4秒東経139度31分6.7秒","■ブルーライン（1号線）","5.7 km（湘南台起点）","横浜市交通局（横浜市営地下鉄）","1999年（平成11年）8月29日[2]","地下駅","1面2線","横浜市泉区中田南一丁目2番1号[1]北緯35度24分20.4秒東経139度31分6.7秒﻿ / ﻿北緯35.405667度 東経139.518528度﻿ /35.405667; 139.518528﻿ (踊場駅)座標:北緯35度24分20.4秒東経139度31分6.7秒﻿ / ﻿北緯35.405667度 東経139.518528度﻿ /35.405667; 139.518528﻿ (踊場駅)","業務委託駅（京王設備サービス）","","9,546人/日（降車客含まず）-2019年-","B05","19,146人/日-2019年-","","","","","","",""
"音羽町駅","音羽町駅（おとわちょうえき）","https://ja.wikipedia.org/wiki/音羽町駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度58分42.11秒東経138度23分45.62秒","S静岡清水線","1.0 km（新静岡起点）","静岡鉄道","1908年（明治41年）12月9日","地上駅","島式 1面2線","静岡市葵区音羽町北緯34度58分42.11秒東経138度23分45.62秒﻿ / ﻿北緯34.9783639度 東経138.3960056度﻿ /34.9783639; 138.3960056座標:北緯34度58分42.11秒東経138度23分45.62秒﻿ / ﻿北緯34.9783639度 東経138.3960056度﻿ /34.9783639; 138.3960056","","","798人/日（降車客含まず）-2018年-","S 03","1,674人/日-2018年-","","","","","","",""
"尾奈駅","尾奈駅（おなえき）","https://ja.wikipedia.org/wiki/尾奈駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度47分02秒東経137度32分30秒","天竜浜名湖線","58.1 km（掛川起点）","天竜浜名湖鉄道","1936年（昭和11年）12月1日*","地上駅","1面1線","浜松市北区三ヶ日町下尾奈1170-4北緯34度47分02秒東経137度32分30秒﻿ / ﻿北緯34.78389度 東経137.54167度﻿ /34.78389; 137.54167座標:北緯34度47分02秒東経137度32分30秒﻿ / ﻿北緯34.78389度 東経137.54167度﻿ /34.78389; 137.54167","*1987年まで国鉄二俣線","オナ←ヲナ","35人/日（降車客含まず）-2018年-","","","","","","","","",""
"女川駅","女川駅（おながわえき）","https://ja.wikipedia.org/wiki/女川駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■石巻線[1]（■■仙石東北ライン含む）","44.7 km（小牛田起点）仙台から塩釜・矢本経由で64.0 km","東日本旅客鉄道（JR東日本）","1939年（昭和14年）10月7日","地上駅","1面1線","","業務委託駅","オハ","220人/日（降車客含まず）-2019年-","","","","","","","","",""
"小名浜駅","小名浜駅（おなはまえき）","https://ja.wikipedia.org/wiki/小名浜駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","本線","4.8 km（泉起点）","福島臨海鉄道","1907年（明治40年）12月1日","地上駅","","福島県いわき市小名浜","貨物専用駅","","","","","","","","","","",""
"御成門駅","御成門駅（おなりもんえき）","https://ja.wikipedia.org/wiki/御成門駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度39分40.3秒東経139度45分5.6秒","●[1]三田線","5.3 km（目黒起点）","東京都交通局（都営地下鉄）","1973年（昭和48年）11月27日","地下駅","1面2線","東京都港区西新橋三丁目24-6北緯35度39分40.3秒東経139度45分5.6秒﻿ / ﻿北緯35.661194度 東経139.751556度﻿ /35.661194; 139.751556座標:北緯35度39分40.3秒東経139度45分5.6秒﻿ / ﻿北緯35.661194度 東経139.751556度﻿ /35.661194; 139.751556","直営駅","御（駅名略称）","","I06[1]","52,228人/日-2019年-","","","","","","",""
"国土交通省立山砂防工事専用軌道","鬼ヶ城駅（おにがじょうえき）","https://ja.wikipedia.org/wiki/国土交通省立山砂防工事専用軌道","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鬼瀬駅","鬼瀬駅（おにがせえき）","https://ja.wikipedia.org/wiki/鬼瀬駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度11分43.39秒東経131度29分7.94秒","■久大本線","124.6 km（久留米起点）","九州旅客鉄道（JR九州）","1915年（大正4年）10月30日[2]","地上駅","1面1線[1]","大分県由布市挾間町鬼瀬[1]北緯33度11分43.39秒東経131度29分7.94秒","無人駅[2]","オセ←ヲセ","17人/日（降車客含まず）-2015年-","","36人/日-2015年-","","","","","","",""
"鬼越駅","鬼越駅（おにごええき）","https://ja.wikipedia.org/wiki/鬼越駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度43分12.09秒東経139度56分13.92秒","■本線","20.1 km（京成上野起点）","京成電鉄","1935年（昭和10年）8月3日","地上駅","1面2線","千葉県市川市鬼越一丁目4番5号北緯35度43分12.09秒東経139度56分13.92秒座標:北緯35度43分12.09秒 東経139度56分13.92秒","","","","KS17","5,811人/日-2019年-","","","","","","",""
"鬼塚駅","鬼塚駅（おにづかえき）","https://ja.wikipedia.org/wiki/鬼塚駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度25分12.28秒東経129度59分13.02秒","■唐津線（■筑肥線直通含む）","36.6 km（久保田起点）","九州旅客鉄道（JR九州）","1899年（明治32年）6月13日","地上駅","1面2線","佐賀県唐津市養母田鬼塚1434北緯33度25分12.28秒東経129度59分13.02秒﻿ / ﻿北緯33.4200778度 東経129.9869500度﻿ /33.4200778; 129.9869500﻿ (鬼塚駅)","無人駅","オニ","109人/日（降車客含まず）-2016年-","","221人/日-2016年-","","","","","","",""
"小奴可駅","小奴可駅（おぬかえき）","https://ja.wikipedia.org/wiki/小奴可駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度59分40.51秒東経133度12分40.25秒","P芸備線","33.6km（備中神代起点）新見から40.0 km","西日本旅客鉄道（JR西日本）","1935年（昭和10年）6月15日","地上駅","1面1線","広島県庄原市東城町小奴可2581-1北緯34度59分40.51秒東経133度12分40.25秒﻿ / ﻿北緯34.9945861度 東経133.2111806度﻿ /34.9945861; 133.2111806座標:北緯34度59分40.51秒東経133度12分40.25秒﻿ / ﻿北緯34.9945861度 東経133.2111806度﻿ /34.9945861; 133.2111806","簡易委託駅","オヌ","1人/日（降車客含まず）-2018年-","","","","","","","","",""
"小野駅 (長野県)","小野駅 (長野県)（おのえき・東日本旅客鉄道中央本線）","https://ja.wikipedia.org/wiki/小野駅_(長野県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度2分48.74秒東経137度58分14.17秒","■中央本線（辰野支線）","17.8 km（岡谷起点）","東日本旅客鉄道（JR東日本）","1906年（明治39年）6月11日[1]","地上駅","2面3線（実質2面2線[1]）","長野県上伊那郡辰野町大字小野[1]北緯36度2分48.74秒東経137度58分14.17秒座標:北緯36度2分48.74秒 東経137度58分14.17秒","簡易委託駅[1]標高：813.2 m[1]","オノ[1]←ヲノ","124人/日（降車客含まず）-2019年-","","","","","","","","",""
"小野駅 (滋賀県)","小野駅 (滋賀県)（おのえき・西日本旅客鉄道湖西線）","https://ja.wikipedia.org/wiki/小野駅_(滋賀県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度8分19.99秒東経135度55分21.15秒","B湖西線","19.8km（山科起点）京都から25.3 km","西日本旅客鉄道（JR西日本）","1988年（昭和63年）12月4日[1][2]","高架駅","2面2線","滋賀県大津市湖青一丁目1-4北緯35度8分19.99秒東経135度55分21.15秒﻿ / ﻿北緯35.1388861度 東経135.9225417度﻿ /35.1388861; 135.9225417座標:北緯35度8分19.99秒東経135度55分21.15秒﻿ / ﻿北緯35.1388861度 東経135.9225417度﻿ /35.1388861; 135.9225417","業務委託駅みどりの窓口有","オノ","2,901人/日（降車客含まず）-2019年-","JR-B24","","","","","","","",""
"小野駅 (京都府)","小野駅 (京都府)（おのえき・京都市営地下鉄東西線）","https://ja.wikipedia.org/wiki/小野駅_(京都府)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度57分40.38秒東経135度48分45.83秒","東西線","3.6 km（六地蔵起点）","京都市交通局（京都市営地下鉄）","1997年（平成9年）10月12日","地下駅","1面2線","京都市山科区小野西浦北緯34度57分40.38秒東経135度48分45.83秒﻿ / ﻿北緯34.9612167度 東経135.8127306度﻿ /34.9612167; 135.8127306座標:北緯34度57分40.38秒東経135度48分45.83秒﻿ / ﻿北緯34.9612167度 東経135.8127306度﻿ /34.9612167; 135.8127306","","","","●T04","7,518人/日-2019年-","","","","","","",""
"小野駅 (兵庫県)","小野駅 (兵庫県)（おのえき・神戸電鉄粟生線）","https://ja.wikipedia.org/wiki/小野駅_(兵庫県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","粟生線","26.2km（鈴蘭台起点）湊川から33.7km新開地から34.1 km","神戸電鉄","1951年（昭和26年）12月28日[1][3]","地上駅（橋上駅）[1]","1面2線[1]","","無人駅[1]*1988年に電鉄小野駅から改称[1]","","1,753人/日（降車客含まず）-2019年-","○KB57","2,519[2]人/日-2019年-","","","","","","",""
"小野駅 (長崎県)","小野駅 (長崎県)（おのえき・島原鉄道）","https://ja.wikipedia.org/wiki/小野駅_(長崎県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯32度50分2.31秒東経130度5分9.15秒","■島原鉄道線","4.8 km（諫早起点）","島原鉄道","1911年（明治44年）6月20日","地上駅","1面1線","長崎県諫早市宗方町北緯32度50分2.31秒東経130度5分9.15秒﻿ / ﻿北緯32.8339750度 東経130.0858750度﻿ /32.8339750; 130.0858750﻿ (小野駅)","* 年間乗車人員を日数で除算","","*63人/日（降車客含まず）-2017年-","","143人/日-2017年-","","","","","","",""
"尾上高校前駅","尾上高校前駅（おのえこうこうまええき）","https://ja.wikipedia.org/wiki/尾上高校前駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯40度37分31.18秒東経140度34分38.58秒","弘南線","12.5 km（弘前起点）","弘南鉄道","1999年（平成11年）4月1日","地上駅","1面1線","青森県平川市猿賀上川50-3北緯40度37分31.18秒東経140度34分38.58秒﻿ / ﻿北緯40.6253278度 東経140.5773833度﻿ /40.6253278; 140.5773833座標:北緯40度37分31.18秒東経140度34分38.58秒﻿ / ﻿北緯40.6253278度 東経140.5773833度﻿ /40.6253278; 140.5773833","無人駅","","","","169人/日-2017年-","","","","","","",""
"尾上の松駅","尾上の松駅（おのえのまつえき）","https://ja.wikipedia.org/wiki/尾上の松駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度44分55.23秒東経134度49分16.21秒","本線","35.5 km（西代起点）","山陽電気鉄道","1923年（大正12年）8月19日[1][2]","地上駅[1]","2面2線[1]","兵庫県加古川市尾上町今福283-2[1]北緯34度44分55.23秒東経134度49分16.21秒﻿ / ﻿北緯34.7486750度 東経134.8211694度﻿ /34.7486750; 134.8211694﻿ (尾上の松駅)座標:北緯34度44分55.23秒東経134度49分16.21秒﻿ / ﻿北緯34.7486750度 東経134.8211694度﻿ /34.7486750; 134.8211694﻿ (尾上の松駅)","無人駅[1]","","2,129人/日（降車客含まず）-2017年-","●SY 30","","","","","","","",""
"小野上駅","小野上駅（おのがみえき）","https://ja.wikipedia.org/wiki/小野上駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度33分8.75秒東経138度55分19.47秒","■吾妻線","11.9 km（渋川起点）","東日本旅客鉄道（JR東日本）","1945年（昭和20年）11月20日[1]","地上駅","2面3線[1]","群馬県渋川市村上3330-2北緯36度33分8.75秒東経138度55分19.47秒座標:北緯36度33分8.75秒 東経138度55分19.47秒","無人駅[1]（自動券売機 有）","ノミ","113人/日（降車客含まず）-2011年-","","","","","","","","",""
"小野上温泉駅","小野上温泉駅（おのがみおんせんえき）","https://ja.wikipedia.org/wiki/小野上温泉駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度33分24.76秒東経138度54分15.71秒","■吾妻線","13.7 km（渋川起点）","東日本旅客鉄道（JR東日本）","1992年（平成4年）3月14日[1]","地上駅","1面1線[1]","群馬県渋川市村上字塩川376-1北緯36度33分24.76秒東経138度54分15.71秒座標:北緯36度33分24.76秒 東経138度54分15.71秒","無人駅","オン","31人/日（降車客含まず）-2011年-","","","","","","","","",""
"小野田駅","小野田駅（おのだえき）","https://ja.wikipedia.org/wiki/小野田駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度0分27.48秒東経131度11分7秒","■山陽本線","488.0 km（神戸起点）","西日本旅客鉄道（JR西日本）","1900年（明治33年）12月3日","地上駅","2面4線","山口県山陽小野田市大字東高泊1723-1北緯34度0分27.48秒東経131度11分7秒﻿ / ﻿北緯34.0076333度 東経131.18528度﻿ /34.0076333; 131.18528座標:北緯34度0分27.48秒東経131度11分7秒﻿ / ﻿北緯34.0076333度 東経131.18528度﻿ /34.0076333; 131.18528","業務委託駅","オノ","1,311人/日（降車客含まず）-2019年-","","","","","","","","",""
"小野田港駅","小野田港駅（おのだこうえき）","https://ja.wikipedia.org/wiki/小野田港駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度58分19.2秒東経131度10分30.53秒","■小野田線","6.5km（居能起点）宇部新川から8.3 km","西日本旅客鉄道（JR西日本）","1915年（大正4年）11月25日**","地上駅","2面2線","山口県山陽小野田市北竜王町4-23北緯33度58分19.2秒東経131度10分30.53秒﻿ / ﻿北緯33.972000度 東経131.1751472度﻿ /33.972000; 131.1751472﻿ (小野田港駅*)座標:北緯33度58分19.2秒東経131度10分30.53秒﻿ / ﻿北緯33.972000度 東経131.1751472度﻿ /33.972000; 131.1751472﻿ (小野田港駅*)","無人駅","オコ","83人/日（降車客含まず）-2019年-","","","","","","","","",""
"雄信内駅","雄信内駅（おのっぷないえき）","https://ja.wikipedia.org/wiki/雄信内駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯44度54分41.1秒東経141度56分9.5秒","■宗谷本線","183.7 km（旭川起点）","北海道旅客鉄道（JR北海道）","1925年（大正14年）7月20日","地上駅","2面2線","北海道天塩郡幌延町字雄興北緯44度54分41.1秒東経141度56分9.5秒﻿ / ﻿北緯44.911417度 東経141.935972度﻿ /44.911417; 141.935972﻿ (雄信内駅)","無人駅","オノ","","○W68","","","","","","","",""
"小野新町駅","小野新町駅（おのにいまちえき）","https://ja.wikipedia.org/wiki/小野新町駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■磐越東線[1]","40.1 km（いわき起点）","東日本旅客鉄道（JR東日本）","1915年（大正4年）3月21日[1]","地上駅","1面2線[2]","","業務委託駅みどりの窓口有[2]","オニ←ヲニ","371人/日（降車客含まず）-2019年-","","","","","","","","",""
"尾登駅","尾登駅（おのぼりえき）","https://ja.wikipedia.org/wiki/尾登駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■磐越西線","101.0 km（郡山起点）","東日本旅客鉄道（JR東日本）","1955年（昭和30年）10月1日[1]","地上駅","1面1線[2]","","無人駅[2]","オリ","5人/日（降車客含まず）-2004年-","","","","","","","","",""
"小野町駅","小野町駅（おのまちえき）","https://ja.wikipedia.org/wiki/小野町駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度50分1.62秒東経134度55分5.78秒","I加古川線","13.7 km（加古川起点）","西日本旅客鉄道（JR西日本）","1913年（大正2年）8月10日","地上駅","1面1線","兵庫県小野市下来住町字中前962北緯34度50分1.62秒東経134度55分5.78秒﻿ / ﻿北緯34.8337833度 東経134.9182722度﻿ /34.8337833; 134.9182722﻿ (小野町駅)","無人駅（自動券売機 有）","ノマ","413人/日（降車客含まず）-2019年-","","","","","","","","",""
"尾道駅","尾道駅（おのみちえき）","https://ja.wikipedia.org/wiki/尾道駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度24分17.4秒東経133度11分37.2秒","X山陽本線","221.8 km（神戸起点）","西日本旅客鉄道（JR西日本）","1891年（明治24年）11月3日","地上駅","2面3線","広島県尾道市東御所町1-1北緯34度24分17.4秒東経133度11分37.2秒﻿ / ﻿北緯34.404833度 東経133.193667度﻿ /34.404833; 133.193667座標:北緯34度24分17.4秒東経133度11分37.2秒﻿ / ﻿北緯34.404833度 東経133.193667度﻿ /34.404833; 133.193667","直営駅（管理駅）みどりの窓口有","ミチ","5,587人/日（降車客含まず）-2019年-","JR-X18","","","","","","","",""
"小野屋駅","小野屋駅（おのやえき）","https://ja.wikipedia.org/wiki/小野屋駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度11分6.81秒東経131度27分8.65秒","■久大本線","119.6 km（久留米起点）","九州旅客鉄道（JR九州）","1915年（大正4年）10月30日[3][4]","地上駅","2面2線[1]","大分県由布市庄内町東長宝476-6[1][2]北緯33度11分6.81秒東経131度27分8.65秒","無人駅[5]","オノ←ヲノヤ","340人/日（降車客含まず）-2019年-","","","","","","","","",""
"姨捨駅","姨捨駅（おばすてえき）","https://ja.wikipedia.org/wiki/姨捨駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度30分9.23秒東経138度5分35.95秒","■篠ノ井線","12.5 km（篠ノ井起点）","東日本旅客鉄道（JR東日本）","1900年（明治33年）11月1日","地上駅","2面2線[1]","長野県千曲市大字八幡姨捨4947北緯36度30分9.23秒東経138度5分35.95秒﻿ / ﻿北緯36.5025639度 東経138.0933194度﻿ /36.5025639; 138.0933194座標:北緯36度30分9.23秒東経138度5分35.95秒﻿ / ﻿北緯36.5025639度 東経138.0933194度﻿ /36.5025639; 138.0933194","無人駅（乗車駅証明書発行機有）スイッチバック駅標高：551.2m[1]**","ステ","53人/日（降車客含まず）-2019年-","","","","","","","","",""
"小波瀬西工大前駅","小波瀬西工大前駅（おばせにしこうだいまええき）","https://ja.wikipedia.org/wiki/小波瀬西工大前駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度45分10.85秒東経130度58分18.93秒","JF日豊本線","22.2 km（小倉起点）","九州旅客鉄道（JR九州）","1948年（昭和23年）10月15日[1]","地上駅","2面3線[1]","福岡県京都郡苅田町大字新津[1]1622北緯33度45分10.85秒東経130度58分18.93秒","業務委託駅みどりの窓口有*1992年に小波瀬駅から改称[2]。","オハ","1,893人/日（降車客含まず）-2019年-","JF  09 ","","","","","","","",""
"小幡駅","小幡駅（おばたえき・名古屋鉄道瀬戸線）","https://ja.wikipedia.org/wiki/小幡駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度12分0秒東経136度58分32秒","瀬戸線","8.6 km（栄町起点）","名古屋鉄道","1905年（明治38年）4月2日","地上駅（橋上駅）","相対式 2面2線","名古屋市守山区小幡南一丁目21-21北緯35度12分0秒東経136度58分32秒﻿ / ﻿北緯35.20000度 東経136.97556度﻿ /35.20000; 136.97556座標:北緯35度12分0秒東経136度58分32秒﻿ / ﻿北緯35.20000度 東経136.97556度﻿ /35.20000; 136.97556","","","","ST  10 ","13,381人/日-2019年[1]-","","","","","","",""
"小俣駅 (三重県)","小俣駅 (三重県)（おばたえき・近鉄山田線）","https://ja.wikipedia.org/wiki/小俣駅_(三重県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度30分45.88秒東経136度41分6.58秒","M山田線","24.2 km（伊勢中川起点）","近畿日本鉄道（近鉄）","1931年（昭和6年）7月4日","地上駅","2面2線","三重県伊勢市小俣町元町8254-5北緯34度30分45.88秒東経136度41分6.58秒﻿ / ﻿北緯34.5127444度 東経136.6851611度﻿ /34.5127444; 136.6851611座標:北緯34度30分45.88秒東経136度41分6.58秒﻿ / ﻿北緯34.5127444度 東経136.6851611度﻿ /34.5127444; 136.6851611","無人駅（乗車駅証明書発行機 有）","オハタ","370人/日（降車客含まず）-2019年-"," M71 ","","","","","","","",""
"小幡緑地駅","小幡緑地駅（おばたりょくちえき）","https://ja.wikipedia.org/wiki/小幡緑地駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度13分7.49秒東経136度58分58.43秒","ガイドウェイバス志段味線（ゆとりーとライン）","6.5 km（大曽根起点）","名古屋ガイドウェイバス","2001年（平成13年）3月23日[1]","高架駅","2面2線","名古屋市守山区竜泉寺二丁目北緯35度13分7.49秒東経136度58分58.43秒﻿ / ﻿北緯35.2187472度 東経136.9828972度﻿ /35.2187472; 136.9828972﻿ (小幡緑地駅)座標:北緯35度13分7.49秒東経136度58分58.43秒﻿ / ﻿北緯35.2187472度 東経136.9828972度﻿ /35.2187472; 136.9828972﻿ (小幡緑地駅)","*高蔵寺方面は平面走行区間","","752人/日（降車客含まず）-2019年-","Y09","","","","","","","",""
"お花茶屋駅","お花茶屋駅（おはなぢゃやえき）","https://ja.wikipedia.org/wiki/お花茶屋駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度44分51.3秒東経139度50分24.6秒","■本線","9.9 km（京成上野起点）","京成電鉄","1931年（昭和6年）12月19日","地上駅（橋上駅）","2面2線","東京都葛飾区宝町二丁目37番1号北緯35度44分51.3秒東経139度50分24.6秒﻿ / ﻿北緯35.747583度 東経139.840167度﻿ /35.747583; 139.840167座標:北緯35度44分51.3秒東経139度50分24.6秒﻿ / ﻿北緯35.747583度 東経139.840167度﻿ /35.747583; 139.840167","","","17,180人/日（降車客含まず）-2019年-","KS08","34,319人/日-2019年-","","","","","","",""
"御花畑駅","御花畑駅（おはなばたけえき）","https://ja.wikipedia.org/wiki/御花畑駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度59分32.69秒東経139度5分1.01秒","■秩父本線","59.7 km（羽生起点）","秩父鉄道","1917年（大正6年）9月27日","地上駅","2面2線","埼玉県秩父市東町21-3北緯35度59分32.69秒東経139度5分1.01秒﻿ / ﻿北緯35.9924139度 東経139.0836139度﻿ /35.9924139; 139.0836139座標:北緯35度59分32.69秒東経139度5分1.01秒﻿ / ﻿北緯35.9924139度 東経139.0836139度﻿ /35.9924139; 139.0836139","直営駅（管理駅）","ハナ","1,285人/日（降車客含まず）-2019年-","","2,579人/日-2019年-","西武秩父線（西武秩父駅）","","","","","",""
"小浜駅","小浜駅（おばまえき）","https://ja.wikipedia.org/wiki/小浜駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度29分30.29秒東経135度44分43.58秒","■小浜線","49.5 km（敦賀起点）","西日本旅客鉄道（JR西日本）","1918年（大正7年）11月10日","地上駅","2面3線","福井県小浜市駅前町1-1北緯35度29分30.29秒東経135度44分43.58秒﻿ / ﻿北緯35.4917472度 東経135.7454389度﻿ /35.4917472; 135.7454389座標:北緯35度29分30.29秒東経135度44分43.58秒﻿ / ﻿北緯35.4917472度 東経135.7454389度﻿ /35.4917472; 135.7454389","直営駅みどりの窓口有","オハ←ヲハ","834人/日（降車客含まず）-2019年-","","","","","","","","",""
"小林駅 (兵庫県)","小林駅 (兵庫県)（おばやしえき・阪急今津線）","https://ja.wikipedia.org/wiki/小林駅_(兵庫県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度47分20.41秒東経135度21分9.45秒","■今津線","2.8 km（宝塚起点）大阪梅田（西宮北口経由）から20.5 km","阪急電鉄","1921年（大正10年）9月2日[2]","地上駅[2]","2面2線[2]","兵庫県宝塚市千種二丁目1番1号[1]北緯34度47分20.41秒東経135度21分9.45秒﻿ / ﻿北緯34.7890028度 東経135.3526250度﻿ /34.7890028; 135.3526250﻿ (小林駅)座標:北緯34度47分20.41秒東経135度21分9.45秒﻿ / ﻿北緯34.7890028度 東経135.3526250度﻿ /34.7890028; 135.3526250﻿ (小林駅)","","","","HK26","","","（通年平均）14,763人/日（特定日）17,196人/日-2019年-","","","","",""
"小原駅","小原駅（おばらえき）","https://ja.wikipedia.org/wiki/小原駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度58分5.81秒東経133度57分43.34秒","T津山線","45.5 km（岡山起点）","西日本旅客鉄道（JR西日本）","1956年（昭和31年）10月1日","地上駅","1面1線","岡山県久米郡美咲町小原北緯34度58分5.81秒東経133度57分43.34秒","無人駅","オハ","32人/日（降車客含まず）-2019年-","","","","","","","","",""
"飫肥駅","飫肥駅（おびえき）","https://ja.wikipedia.org/wiki/飫肥駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯31度37分39.57秒東経131度21分43.39秒","日南線","39.8 km（南宮崎起点）","九州旅客鉄道（JR九州）","1941年（昭和16年）10月28日[1]","地上駅","1面2線[1]","宮崎県日南市星倉一丁目6674[1][2][3]北緯31度37分39.57秒東経131度21分43.39秒﻿ / ﻿北緯31.6276583度 東経131.3620528度﻿ /31.6276583; 131.3620528座標:北緯31度37分39.57秒東経131度21分43.39秒﻿ / ﻿北緯31.6276583度 東経131.3620528度﻿ /31.6276583; 131.3620528","業務委託駅[2]","オヒ","373人/日（降車客含まず）-2019年-","","","","","","","","",""
